字段1_文本,字段2,字段3
我有执念,2023-02-27 首次发表,"
            
                
                    81258km
                    
                    行驶里程
                
                
                    8.5L
                    百公里油耗
                
                
                
                
                
                
                
                
                
                
                
                

                
                
                    24.98万
                    裸车购买价
                
                
                    2023-01
                    购买时间
                
                
                    宁波
                    购买地点
                
            
            
    
        
            
        
        
            
        
        
            
        
    
    

    
        $(document).ready(function () {
            var koubeiid = 4841353;

        });

    


            
                最满意
                最满意的当然是小迷你的外形设计了，除此之外，内饰精致的做工和高级的用料，也值得点赞。
            
            
                最不满意
                不满意的有两个地方，第一是空间较小，第二是价格稍微贵了点，一分钱不让，也没有赠品相送，买车感受不太好。
            

            

    空间
        
            
            
        
        4
    
    
    虽说这是迷你家族中的大个子了，但跟其他紧凑型SUV相比，它的空间还是小了点，尤其是后备箱的装载能力很一般。
    
    






                

    驾驶感受
        
            
            
        
        5
    
    
    幸好买了1.5版本，不仅更省油，而且动力表现也一点也不弱。加速感真是超强，轻踩油门，就能立刻达到目的。
    
    






            

            




            

    油耗
        
            
            
        
        5
    
    
    对迷你的油耗，我在买车之前就打听过，有人说迷你的油耗高，也有人说迷你挺省油的，我现在客观的说一句吧，我的迷你目前的平均油耗是8.5升，这个表现还可以。
    
    





            
            

    外观
        
            
            
        
        5
    
    
    帅气时尚的小车，虽然车身尺寸不算大，但是整体看上去还挺有气场的，就是因为这个车头的设计很帅气。大灯造型也是经典又时尚，是整个车头最亮眼的地方。
    
    





            

    内饰
        
            
            
        
        5
    
    
    做工和用料都是其他车没法比的，迷你不愧是大品牌，这么多年来一直保持着高水准，在用料和做工方面一点也不松懈。
    
    





            

    性价比
        
            
            
        
        4
    
    
    迷你确实是我喜欢了很久的一款车，无论从哪个方面来看，它的实力都是很强的，但价格和它的设计一样执着，买车的时候竟然一分钱的优惠也没享受到，这方面真是不太满意。
    
    





            
                

    配置
        
            
            
        
        5
    
    
    定速巡航系统蛮不错的。上次跑高速公路的时候，因为头天夜里熬夜了，所以精神不济，很有疲劳感，还好有定速巡航，在一定程度上缓解了驾驶疲劳。
    
    




            

            



        "
唐小生1001,2023-02-27 首次发表,"
            
                
                    1025km
                    
                    行驶里程
                
                
                    8.2L
                    百公里油耗
                
                
                
                
                
                
                
                
                
                
                
                

                
                
                    27.53万
                    裸车购买价
                
                
                    2023-01
                    购买时间
                
                
                    苏州
                    购买地点
                
            
            
    
    

    
        $(document).ready(function () {
            var koubeiid = 4840567;

        });

    


            
                最满意
                当然是颜值了，谁能拒绝迷你这样经典时尚的造型呢。买下来的理由倒不是仅仅因为颜值，主要是内在表现也不错，性能也很稳定。
            
            
                最不满意
                说到这个最不满意的地方，我想起有一次开朋友的车，他那台车有个功能挺不错的，叫自动驻车，本来以为迷你也会有这个功能，可惜的是没有，而且还没有倒车影像，这个不太满意。
            

            

    空间
        
            
            
        
        5
    
    
    买车之前也听朋友说过，空间小是迷你的短板，我觉得还可以吧，我对空间的需求也没有那么大，我们一家人身材都不算是高大的那种，坐在这个车里是正好的。
    
    






                

    驾驶感受
        
            
            
        
        5
    
    
    说到这个驾驶感受，那就有话说了，动力方面确实很强劲，别看只是1.5的排量，但开起来比一些2.0排量的车还要猛。车身尺寸不算大，所以操控的灵活程度也恰到好处，方向盘没有任何发飘的问题。
    
    
    
    
    


    
    
    
    


    






            

            




            

    油耗
        
            
            
        
        5
    
    
    都说迷你这个牌子油耗大，我现在倒是没觉得百公里的油耗8.2升，个人感觉还可以吧，没有太大的经济压力。
    
    





            
            

    外观
        
            
            
        
        5
    
    
    最突出的就是外观设计了，颜值非常高，而且还有一种经典的韵味，是一台既时尚又耐看的小车。
    
    
    
    
    


    





            

    内饰
        
            
            
        
        5
    
    
    内饰在设计方面真是太让我满意了，没有一点不顺心的地方。用料和做工也可以，符合这个车子的定价
    
    





            

    性价比
        
            
            
        
        5
    
    
    每个人的需求不一样，所以对性价比的看法也是不一样的，我的需求就是既要有实用价值，又能有驾驶乐趣，迷你做到了。
    
    
    
    
    


    





            
                

    配置
        
            
            
        
        4
    
    
    不知道我是不是要求高了，我觉得迷你的配置只能说够用，但谈不上齐全和丰富。发动机启停技术和上坡辅助都蛮不错的，如果再多个自动驻车就更好了。
    
    




            

            



        "
Kevin_00,2023-02-26 首次发表,"
            
                
                    948km
                    
                    行驶里程
                
                
                    8.8L
                    百公里油耗
                
                
                
                
                
                
                
                
                
                
                
                

                
                
                    35.31万
                    裸车购买价
                
                
                    2023-02
                    购买时间
                
                
                    苏州
                    购买地点
                
            
            
    
        
            
        
        
            
        
        
            
        
        
            
        
    
    

    
        $(document).ready(function () {
            var koubeiid = 4839788;

        });

    


            
                最满意
                第一，迷你的操控真是太棒了，动力强劲不说，整个车开起来就是一个轻松自在。第二，虽然动力强劲，但用车成本并不算高，和其他SUV的油耗差不多。
            
            
                最不满意
                虽说在整个迷你家族里，这个车的尺寸已经是比较大的了，空间上有很大的进步，但我觉得后排还是有点小，长途驾驶的话，后排的乘客舒适性就会受影响了。
            

            

    空间
        
            
            
        
        4
    
    
    驾驶空间和后备箱的储物空间都挺不错的，算得上是宽敞明亮了，但后排的乘坐空间稍微有点局促，后排的乘坐舒适性也大打折扣了。
    
    






                

    驾驶感受
        
            
            
        
        5
    
    
    同样都是2.0的车，我觉得迷你的动力更强劲一点，而且后期的发挥也比其他几款车稳定。底盘的表现也相当不错了，遇到减速带的时候，有时忘了减速也不会影响车身的稳定。
    
    






            

            




            

    油耗
        
            
            
        
        5
    
    
    在没出磨合期的情况下，百公里的油耗8.8升，我认为已经是相当不错了。听朋友说，他那台SUV的排量只有1.5，没出磨合期的油耗还得接近九升呢。
    
    





            
            

    外观
        
            
            
        
        5
    
    
    给迷你的外观造型打100分，相信很多人都没有意见，大家都是冲着这个外形才对它有兴趣的。
    
    





            

    内饰
        
            
            
        
        5
    
    
    同事坐我的车，说我变成了萌大叔，当时还不明白啥意思，后来才明白，因为车里有许多圆形的设计，看上去非常可爱，所以就把这个名头给了我。
    
    





            

    性价比
        
            
            
        
        5
    
    
    性价比说起来就要看个人感觉了，我觉得是很不错的，这个车的价位算是合理，而且安全性能比较强，操控感受也很棒。
    
    





            
                

    配置
        
            
            
        
        5
    
    
    多媒体的上网速度还不错，语音识别的功能不算多，只支持电话，但也挺好用的。
    
    




            

            



        "
Willkings,2023-02-25 首次发表,"
            
                
                    2145km
                    
                    行驶里程
                
                
                    8.5L
                    百公里油耗
                
                
                
                
                
                
                
                
                
                
                
                

                
                
                    35.31万
                    裸车购买价
                
                
                    2022-12
                    购买时间
                
                
                    辽阳
                    购买地点
                
            
            
    
        
            
        
        
            
        
        
            
        
        
            
        
    
    

    
        $(document).ready(function () {
            var koubeiid = 4838596;

        });

    


            
                最满意
                今年过年回老家，由于路途比较远让我对MINICOUNTRYMAN非常满意。因为长时间驾驶很容易疲劳，但是它开起来舒适度却非常好。不管是我开着还是我老婆坐着，都没有觉得很累，腰部的支撑力很好。另外车子的底盘做的也非常不错，减震效果很好。回老家路况就不是很好了，过一些坑洼路段的时候，车内的颠簸并不是很大。空间也比较宽敞，头顶足够高，坐在里面伸展自如。后备箱也挺大的，放了很多东西带回老家。
            
            
                最不满意
                车子刚拿回来的时候闻着有异味，到一个月左右才完全散光了。
            

            

    空间
        
            
            
        
        5
    
    
    像我身高本身不是特别高175，坐在车内的空间表现是非常好的。头顶空余很大，所以丝毫没有压抑感。储物空间设计的也很合理，中控的扶手箱设计的很深。能够放置很多东西，门板上也能放一些小物件。
    
    






                

    驾驶感受
        
            
            
        
        5
    
    
    动力十分够用，上坡的时候劲儿比较充足，回老家就上过几次大坡，完全没有压力。车子平稳性很好，驾驶起来比较轻松。方向盘握着轻重正好，转向也十分灵活。
    
    






            

            




            

    油耗
        
            
            
        
        5
    
    
    由于这段时间天气比较冷，我也经常开空调。走的路况并不是很好，目前的油耗就是8.5，感觉还是满意的。
    
    





            
            

    外观
        
            
            
        
        5
    
    
    一眼看上去就是家族式的风格，大灯也是炯炯有神。
    
    





            

    内饰
        
            
            
        
        4
    
    
    内饰的设计风格我也是非常满意的，除了刚拿回来有点味道，其它地方没毛病。
    
    





            

    性价比
        
            
            
        
        5
    
    
    在同等价位的车子里，我也看了很多，最喜欢的还是这一款。品牌知名度高，所以性价比很好。
    
    





            
                

    配置
        
            
            
        
        5
    
    
    车子配置的都是一些实用性的功能，比如驾驶辅助功能比较多的。
    
    




            

            



        "
深圳车友1267908,2023-02-25 首次发表,"
            
                
                    1578km
                    
                    行驶里程
                
                
                    8.5L
                    百公里油耗
                
                
                
                
                
                
                
                
                
                
                
                

                
                
                    35.31万
                    裸车购买价
                
                
                    2023-01
                    购买时间
                
                
                    江门
                    购买地点
                
            
            
    
        
            
        
        
            
        
        
            
        
        
            
        
    
    

    
        $(document).ready(function () {
            var koubeiid = 4838359;

        });

    


            
                最满意
                外形当然是最大的优点了，这个设计也是非常经典的，男女老少都会喜欢。然后就是内饰的精致程度也值得点赞，买车还是要买这种大牌子，无论看哪个地方，都觉得赏心悦目。
            
            
                最不满意
                倒车的时候还有速度比较快的时候，感觉噪音有点大，我本人倒是没觉得什么，反而觉得这种发动机的声浪挺动听的，但对别人就会形成一种干扰了。
            

            

    空间
        
            
            
        
        5
    
    
    号称是最大的迷你，也确实是如此，坐在车里，一点压力都没有，车里的储物格也比较丰富，日常使用很顺手。
    
    






                

    驾驶感受
        
            
            
        
        4
    
    
    起步的时候一点都不肉，加速也非常顺畅，其实每次加速都不用深踩油门的，因为这个油门很灵敏，轻轻一点速度马上就能升上来。虽然动力很强，但开起来像轿车一样轻松。
    
    






            

            




            

    油耗
        
            
            
        
        5
    
    
    现在还没出磨合期，油耗暂时稳定在8.5升左右，个人认为这个油耗还是不错的，这也说明我的技术不错，没有猛踩油门的坏习惯。
    
    





            
            

    外观
        
            
            
        
        5
    
    
    就这个车的外观，再开上10年或者20年以后，看着还是很经典，不像有的车型，一有了新款，老款就没法看了。
    
    





            

    内饰
        
            
            
        
        5
    
    
    用的材料非常讲究，什么地方该用什么样的材质，都是经过精心设计的，做工更是没问题了，对得起这个大牌子。
    
    





            

    性价比
        
            
            
        
        5
    
    
    性价比就要看每个人是怎么看的了。有的觉得这个价位能买配置更丰富的车，但像我这样的铁粉也不在少数，就是冲着一个喜欢和情怀。
    
    





            
                

    配置
        
            
            
        
        5
    
    
    说实话，配置不算多，但有个定速巡航系统还真是蛮不错的，我体验了一共有两次吧，能减轻驾驶压力。
    
    




            

            



        "
郑在璐上,2023-02-24 首次发表,"
            
                
                    912km
                    
                    行驶里程
                
                
                    9.2L
                    百公里油耗
                
                
                
                
                
                
                
                
                
                
                
                

                
                
                    35.31万
                    裸车购买价
                
                
                    2023-02
                    购买时间
                
                
                    北京
                    购买地点
                
            
            
    
        
            
        
        
            
        
        
            
        
        
            
        
    
    

    
        $(document).ready(function () {
            var koubeiid = 4835668;

        });

    


            
                最满意
                外形的魅力自然就不必说了，这就是男女老少都喜欢的造型，但最让我满意的还是灵活的操控。
            
            
                最不满意
                没想到迷你这么抢手，等了有半个月的时间才终于等到了，这个我倒是可以理解，但我不理解的是，为什么我的车油耗这么高啊？百公里都超过九升了，难道是我使用不当？
            

            

    空间
        
            
            
        
        5
    
    
    我和媳妇现在还没有要孩子的打算，迷你对我俩来说，空间足矣。出行购物、游玩代步，都很舒服。
    
    






                

    驾驶感受
        
            
            
        
        5
    
    
    操控方面真是没得说，这个车的尺寸本身就不算大，不管是男生还是女生，老司机还是新手司机，都能轻松驾控。
    
    






            

            




            

    油耗
        
            
            
        
        4
    
    
    提起油耗，虽然说不至于冒火吧，但还真是挺焦虑的，就是买了个代步工具，排量也不是很大，为什么油耗这么高啊？
    
    





            
            

    外观
        
            
            
        
        5
    
    
    自从买了迷你这台车，大家都认为我是个颜控，事实上我在某些时候，确实是挺关注颜值的，迷你的这种经典造型谁又会拒绝呢。
    
    





            

    内饰
        
            
            
        
        5
    
    
    坐在车里，摸摸这里，摸摸那里，感觉质感都挺不错的，关键的一点是整体很有设计感，每次开车都有一个好心情，再打开音响，听听音乐，真是轻松了很多。
    
    





            

    性价比
        
            
            
        
        5
    
    
    要我说性价比就是你说了算，你的开车感受好，你就认为性价比是高的，开车感受不好，性价比自然也不会高，我现在就觉得迷你的性价比很不错，因为我的开车感受很好。
    
    





            
                

    配置
        
            
            
        
        5
    
    
    都说迷你的配置不够多，但是这台车根本就不需要所谓的高智能配置，因为它本身的操控已经很完美了。有那么多配置，反而会影响最原始的驾驶乐趣。
    
    




            

            



        "
四轮车车11,2023-02-21 首次发表,"
            
                
                    588km
                    
                    行驶里程
                
                
                    9.5L
                    百公里油耗
                
                
                
                
                
                
                
                
                
                
                
                

                
                
                    35.76万
                    裸车购买价
                
                
                    2023-02
                    购买时间
                
                
                    广州
                    购买地点
                
            
            
    
        
            
        
        
            
        
        
            
        
        
            
        
    
    

    
        $(document).ready(function () {
            var koubeiid = 4829689;

        });

    


            
                最满意
                第一，当然就是外观造型了，第二，是精致的内饰和考究的用料，第三是强劲的动力和轻松的操控。
            
            
                最不满意
                月初刚买的车，现在才跑了不到600公里，可能就是因为跑得少，磨合得少吧，油耗不太稳定，现在算起来挺高的，百公里到了9.5升，这个油耗说实话有点离谱了！
            

            

    空间
        
            
            
        
        5
    
    
    迷你家族里最大的车了，空间要看自己的需求了，外形对空间有点限制，但问题不大，满足日常生活还是可以的。
    
    






                

    驾驶感受
        
            
            
        
        5
    
    
    方向盘的手感非常好，底盘很扎实，开起来就像是开卡丁车一样轻松自在。动力表现非常充沛，无论在哪个模式下，都有很强的加速感。
    
    






            

            




            

    油耗
        
            
            
        
        4
    
    
    如果油耗在9升左右，我是可以接受的，毕竟是2.0的车，动力又这么强，但是快要超过9.5升了，这个就有点接受不了了。
    
    





            
            

    外观
        
            
            
        
        5
    
    
    好不好看，看看路人的反应就知道了，每次开车出去都能引来超高的回头率。
    
    





            

    内饰
        
            
            
        
        5
    
    
    方向盘皮质不错，质感非常细腻，握在手里大小正合适，挺舒服的。运动风格的座椅也是值得点赞的一个大优点，舒适度非常赞，而且前排还支持腿托调节，相当高级了。
    
    





            

    性价比
        
            
            
        
        5
    
    
    买车当然要考虑性价比了，在我看来，这个车比同级车型贵了那么一点，但是很值，就是喜欢这种有个性的小众车型。
    
    





            
                

    配置
        
            
            
        
        5
    
    
    操控配置很齐全了，除了常规的驻车雷达和倒车影像以外，还有较为高级的自动泊车入位和定速巡航系统。此外，车里的多媒体液晶屏也挺好用的，蓝牙电话和语音控制都不错。
    
    




            

            



        "
走在青春的大街上,2023-02-20 首次发表,"
            
                
                    1235km
                    
                    行驶里程
                
                
                    8.7L
                    百公里油耗
                
                
                
                
                
                
                
                
                
                
                
                

                
                
                    35.31万
                    裸车购买价
                
                
                    2023-01
                    购买时间
                
                
                    无锡
                    购买地点
                
            
            
    
        
            
        
        
            
        
        
            
        
        
            
        
    
    

    
        $(document).ready(function () {
            var koubeiid = 4828057;

        });

    


            
                最满意
                操控起来灵敏轻松，方向指向精准度很强，油门刹车的灵敏程度恰到好处，尺寸虽然不大，但空间足够生活使用，各方面表现都让我很满意。
            
            
                最不满意
                一月初买的车，现在也就只跑了1200多公里，要说不满意的地方，暂时还真没发现，唯一的有一点就是，刚开始觉得车里有一股刺鼻的气味，需要经常开窗通风。
            

            

    空间
        
            
            
        
        5
    
    
    这个空间其实还是挺不错的，外观看上去并不大，但坐在车里却发现真是别有洞天的感觉，尤其是头部上方的空间还是挺宽裕的，后排的乘坐空间也很舒服，没有特别拥挤的感觉。
    
    






                

    驾驶感受
        
            
            
        
        5
    
    
    2.0确实比1.5的加速感强，这也是我在试车的时候得出的结论，我平时是比较喜欢开快车的，所以果断选择了2.0。
    
    






            

            




            

    油耗
        
            
            
        
        5
    
    
    未来应该还有下降的空间吧，现在的油耗也算是在合理范围内了，百公里8.7升的油，对于SUV来说，是不高不低的一个表现。
    
    





            
            

    外观
        
            
            
        
        5
    
    
    迷你家族式的设计真是值得大大的点赞，虽然已经过去了那么多年，但是这种传统的理念始终没变，这是我非常喜欢的英伦气质。
    
    





            

    内饰
        
            
            
        
        4
    
    
    车里的这些圆形的设计给人一种传统复古的感觉，就像是以前流行的那种老爷车一样，特别值得一提的是，整体的做工相当精致，用料也非常考就。就是新车的气味有点明显，其他就没什么毛病了。
    
    





            

    性价比
        
            
            
        
        5
    
    
    现在用着得心应手，上班代步或出行购物，都能够满足需要，确实是实力够强的车。
    
    





            
                

    配置
        
            
            
        
        5
    
    
    要是比配置的数量，迷你是比不过其他同级车型的，但它的强项并不在于配置的齐全，而是在于现有的配置是否能发挥最大的作用，目前来看，是挺不错的。
    
    




            

            



        "
0c7a5bbh,2023-02-19 首次发表,"
            
                
                    1135km
                    
                    行驶里程
                
                
                    8.9L
                    百公里油耗
                
                
                
                
                
                
                
                
                
                
                
                

                
                
                    29.53万
                    裸车购买价
                
                
                    2023-01
                    购买时间
                
                
                    武汉
                    购买地点
                
            
            
    
        
            
        
        
            
        
        
            
        
        
            
        
    
    

    
        $(document).ready(function () {
            var koubeiid = 4826977;

        });

    


            
                最满意
                各方面都挺满意的，如果评第一名的话，当然就是它超赞的外观设计了。
            
            
                最不满意
                和相同级别排量的SUV车型相比，这台迷你的油耗还是偏高的。
            

            

    空间
        
            
            
        
        5
    
    
    如果说这个迷你家族的大块头有一个宽敞无比的大空间，那就是有点夸张了，但它的空间是足够用的。
    
    






                

    驾驶感受
        
            
            
        
        5
    
    
    超赞的动力表现，这个1.5排量真是足够用了，加速强劲有力，遇到不好的路况，车身的稳定也维持得很好。
    
    






            

            




            

    油耗
        
            
            
        
        4
    
    
    有一次跑高速的时候，让我挺高兴的，因为当时的油耗竟然降到了8.5升，可见，迷你还是有经济油耗的，在一定的速度下，油耗也并没有高得那么离谱。但在市区里，油耗确实不算低，百公里到了8.9升
    
    





            
            

    外观
        
            
            
        
        5
    
    
    又帅气又可爱，迷你的这种造型可以说是男女老少通吃了，没有人会拒绝这样可爱的造型吧！买回来之后，老婆说要再给它美容一下，加点车贴什么的，我正想办法极力阻止，因为我觉得还是原汁原味的迷你更有魅力。
    
    





            

    内饰
        
            
            
        
        5
    
    
    除了精致的做工和考究的用料之外，这个车内环境氛围灯也让我挺满意的，八种颜色足够调换使用了，夜间点亮之后，带来的感受确实很浪漫
    
    





            

    性价比
        
            
            
        
        5
    
    
    整体表现和性价比比我想象得好多了。当初决定要买迷你纯属自己的喜好，就是喜欢这种英伦范儿的感觉，现在看起来它的实用性还是很强的，家用代步完全够格。
    
    





            
                

    配置
        
            
            
        
        5
    
    
    配置虽说没有那么齐全，但我觉得现有的配置也足够使用了，而且迷你的最大好处是安全装备极为丰富，安全行驶是最重要的，其他方面也就无所谓了。
    
    




            

            



        "
Wudidayy,2023-02-19 首次发表,"
            
                
                    2835km
                    
                    行驶里程
                
                
                    8.3L
                    百公里油耗
                
                
                
                
                
                
                
                
                
                
                
                

                
                
                    29.63万
                    裸车购买价
                
                
                    2022-11
                    购买时间
                
                
                    广州
                    购买地点
                
            
            
    
        
            
        
        
            
        
        
            
        
        
            
        
    
    

    
        $(document).ready(function () {
            var koubeiid = 4826171;

        });

    


            
                最满意
                除了从里到外的设计是我最满意的地方之外，操控感受和舒适性也是非常不错的。
            
            
                最不满意
                现在唯一不太满意的地方就是配置有点少吧！买车的时候就听朋友吐槽过，说明你哪哪都好，就是配置不够丰富，对操控感受有点影响。
            

            

    空间
        
            
            
        
        5
    
    
    从外表看起来，确实是小小的一只，但坐在车里其实感觉还可以，并没有那么拥挤。
    
    






                

    驾驶感受
        
            
            
        
        5
    
    
    只要是有一定技术的老司机，开迷你都会体验到相当不错的驾驶乐趣，我第一次开迷你，就感觉非常舒服，动力和操控样样都很棒。
    
    






            

            




            

    油耗
        
            
            
        
        5
    
    
    迷你的油耗表现挺玄幻的，如果你一味地追求驾驶激情，深踩油门的次数比较多，那油耗肯定是高的，但如果掌握好技术，匀速前行，油耗也并不高，我的车现在的油耗是8.3升。
    
    





            
            

    外观
        
            
            
        
        5
    
    
    单纯地用时尚可爱去形容它已经不足为道了，它还有一种低调奢华的感觉，车漆的颜色闪闪发亮，配合整个造型，真是完美的艺术品。
    
    





            

    内饰
        
            
            
        
        5
    
    
    设计上的优点就不必说了，和外观一样，它拥有独一无二的经典设计。用料的考究程度，真是豪华品牌一贯的水准了，精致程度也值得点赞。
    
    





            

    性价比
        
            
            
        
        5
    
    
    都说买迷你就是一种情怀，不用考虑什么性价比，这根本就是不对的，谁买车不是考虑实用性啊？我觉得它的性价比就挺高的，因为现在的用车感受很不错。
    
    





            
                

    配置
        
            
            
        
        4
    
    
    说到这个配置，还真是一言难尽，你说它不齐全吧，但是有定速巡航、发动机启停技术和上坡辅助这些高级的配置，但说它足够齐全吧，也不正确，因为它没有倒车影像，也没有前驻车雷达。
    
    




            

            



        "
