字段1_文本,字段2,字段3
福州车友0996108,2023-12-08 首次发表,"
            
                
                    1500km
                    
                    行驶里程
                
                
                
                
                
                
                
                    13.7kWh
                    冬季电耗
                
                
                
                
                
                
                     430公里
                     冬季续航
                
                

                
                
                    22.09万
                    裸车购买价
                
                
                    2023-10
                    购买时间
                
                
                    上海
                    购买地点
                
            
            
    
        
            
        
    
    

    
        $(document).ready(function () {
            var koubeiid = 5236725;

        });

    


            
                最满意
                最喜欢smart精灵一号的外观，小巧可爱的车身，圆润而灵动的线条、车顶的撞色设计，无框车门，隐藏把手，封闭进气格栅，矩阵大灯，贯穿式尾灯，整体的外观设计让我第一眼就喜欢上它了。
            
            
                最不满意
                车机系统还可进一步优化完善，遇到过一些小问题，比如曾经碰到过一次行驶中死机，自动重启后好了，可能是放U盘音乐的过程中U盘松掉了导致：低速行驶时360有时会弹出来有时不会，弹出来的这个360小窗不能拖动位置：车机自带的USB音乐播放居然不支持aac、ac3的m4a，我iTunes里收藏的很多m4a音乐需要转换成mp3才能在车上播放。
            

            

    空间
        
            
            
        
        5
    
    
    驾驶位175的身高上下调节空间很富裕，没有任何压迫感。
    
    
        ☆ 空间设计亮点
        空间设计体现了实用性、灵活性，第一个就是后排座椅可前后调节，包括靠背角度，还能水平放倒，可以给后备厢备用的扩容空间，毕竟大多数时候是不会装很多东西的，体现了够用即可的实用主义。
        
        
    
        车内储物能力
        车内储物最大的亮点就是排挡下方的空间了，得益于手排挡设计，给传统排挡下方留下了储物空间，放个小包啥的很方便，网上也有专门的储物盒，不过感觉没太大必要。另外杯架后方的储物盒还带空调，夏天保冷也不错。
        
        
    
    
    
    


    
    
    
    


    
        第二排空间
        后排乘坐空间2人足够，中间扶手，加上全景天幕打开时会更敞亮。3人应急时可以挤挤。
        
        
    
        后备厢容积
        后备厢稍小，不前移或放倒后排座椅时，也就放两个小行李箱吧，盖板下方还有一层不规则空间，可放些小件物品，前备箱可放随车自带的工具包。
        
        
    






                

    驾驶感受
        
            
            
        
        5
    
    
    方向盘力度三档可调，整体驾驶上手很快，不愧说是电动大玩具。车速超过100后感觉有点飘。
    
    
    
    
    


    
        起步/加速动力
        动力输出反应快，基本上是指哪打哪，给超车带来信心保证。
        
        
    
        刹车灵敏性
        刹车前段很柔，然后需要用些力有点硬，经历了几次急刹还是很可靠，但还是提前降低车速安全些。最近改成动力回收为标准，松开油门车速会平稳较快地降下来，用刹车的时候少了一些。
        
        
    






            

            




            

    续航
        
            
            
        
        5
    
    
    66kwh大容量三元锂电提供最高560km续航，稳定保障市区通勤和短郊出行，个人主要市区使用，用车了两个多月，一般经济模式，动力回收标准，百公里耗电大概在12.5至14.7之间，一般都开到20%去慢充，充过6次电了，感觉市区用是没什么里程焦虑的。
    
    
    
    
    


    
    
    
    


    





            
            

    外观
        
            
            
        
        5
    
    
    外观整体较为圆润，购车前比较过各种颜色，如果配芭比粉，时光绿等会更显得卡通可爱，粒子白比较中性，沉寂黑沉稳低调但容易脏，个人感觉男士比较适合赛博银，动感不失风度，有米的话上个哑光灰质感会更强。
    
    
    
    
    


    





            

    内饰
        
            
            
        
        5
    
    
    内饰用料环保，新车基本没什么味道。塑料件稍多，但膝盖能碰到的地方都是软包贴皮，还是很贴心的。真皮座椅稍硬了些。自己冬天还是配了垫子、腰靠和颈枕的，保证长时间驾驶的舒适度。前后13个beats音响与64色氛围灯，也使驾驶旅途体验增色不少。
    
    
    
    
    


    
        空调效果
        平时空调开起1挡风就够了，车机会自动检测PM2.5，超标时自动打开空气净化。自带的三种气味香薰也不错，夜间疲劳驾驶时会自动打开，还能通过车机语音调整切换很方便。
        
        
    





            

    性价比
        
            
            
        
        4
    
    
    性价比方面一般吧，还是有一定品牌溢价的。今年做了几次优惠活动还是满赞的，有一个宣传上是给退役军人，教师，医生，警察等职业一定的现金优惠。
    
    





            
                

    智能化
        
            
            
        
        5
    
    
    360显示，hud抬头显示，高德地图，智能语音助手，音乐播放是我最常用的车机功能。特别是前三项，有了这些保障，使我拿了驾照后十几年没怎么开车的人，都敢单枪匹马去提车，第一天就开了70多公里。
8155芯片、全车共23个雷达和摄像头的设置，保障了市场主流的智驾体验；侧方告警、前方碰撞告警等通过hud和声音及时提醒给驾驶位，主动智驾功能用过自动泊车和自动跟车，自动泊车对新手友好，但需要地面停车线比较清楚，停车情况不复杂时使用，遇到障碍会自动退出，熟练后还是看360和后视镜自己操作更稳妥。自动跟车配合车道保持在堵车时使用过，脚就虚放在刹车上，可以减少频繁在刹车油门切换，但如果停车超过一段时间就自动退出跟车了。24款高配出厂自带行车记录仪，还是很方便的。
    
    
    
    
    


    
    
    
    


    




            

            



        "
北京车友7937841,2023-12-04 首次发表,"
            
                
                    351km
                    
                    行驶里程
                
                
                
                
                
                
                
                    18.2kWh
                    冬季电耗
                
                
                
                
                
                
                     350公里
                     冬季续航
                
                

                
                
                    22.17万
                    裸车购买价
                
                
                    2023-11
                    购买时间
                
                
                    北京
                    购买地点
                
            
            
    
        
            
        
    
    

    
        $(document).ready(function () {
            var koubeiid = 5233582;

        });

    


            
                最满意
                选车时考虑的优先级为：20-30万之间，颜值高，品牌可靠。smart的竞品其实不多，紧凑车型本来也不是热门车型，现在电车内卷，smart的性价比其实不高，但是胜在smart实在美丽，纯粹是为了美貌买单。无论是外观和内饰都特别满意，而且看似小巧，其实内部空间也还比较可观，后排腿部空间充足，后备箱双层总量还可以，车小，好停车，实用性很强
            
            
                最不满意
                车子智能化程度很高，语音几乎能够控制绝大多数指令，小精灵也很聪明，不过车机确实卡，这车机能做的这么卡也是挺离谱的
            

            

    空间
        
            
            
        
        5
    
    
    Smart的内部空间还是比较惊喜的，后排两大一小完全没有问题，而且腿部的空间也比较舒适。后备箱分两层，大概可以放2个行李箱。前备箱就有些鸡肋了，除了工具包也没什么能放的了
    
    
    
    
    


    






                

    驾驶感受
        
            
            
        
        5
    
    
    smart操控很好，加速快，底盘很稳，方向盘很轻，驾驶感偏向油车，开惯油车的人也能很好适应，隔音效果还不错，音响效果很好，绝大多数操作都可以语音控制，非常方便。而且配置很足，24款premium，抬头显示，自动泊车，L2的辅助驾驶，座椅记忆，矩阵大灯等都配备了。对于停车拥挤的小区真的是好开好停，而且外观虽小，Smart的内部空间还是比较惊喜的，后排两大一小完全没有问题，而且腿部的空间也比较舒适。后备箱分两层，大概可以放2个行李箱。
    
    






            

            




            

    续航
        
            
            
        
        4
    
    
    冬季续航肯定打折，不过安装了家充，市内通行没有续航压力，而且现在快充速度快，快充又充足，都很方便
    
    
    
    
    


    





            
            

    外观
        
            
            
        
        5
    
    
    外观呆萌可爱，设计独特，选配时光绿的颜色，视觉上让人眼前一亮，而且现在电车外观设计都太千篇一律了，smart算设计精致类了
    
    
    
    
    


    





            

    内饰
        
            
            
        
        5
    
    
    内饰真的是很奔驰的设计，选的全黑内饰，看上去很有质感，氛围灯晚上绝美，由其是音响上的氛围灯设计，特别吸引人，音响效果也很好
    
    
    
    
    


    
    
    
    


    





            

    性价比
        
            
            
        
        4
    
    
    光看配置性价比不高，尤其是方向盘加热和座椅通风还要单独收费，同平台的极氪x性价比高一些，但是买这个车的人大概也不图性价比
    
    





            
                

    智能化
        
            
            
        
        5
    
    
    语音交互很灵敏，有很多有趣的小设计，比如迎宾语之类的，车机有些卡，ota算多的，期待以后能更新哨兵模式
    
    
    
    
    


    




            

            



        "
榴莲王子y,2023-12-03 首次发表,"
            
                
                    884km
                    
                    行驶里程
                
                
                
                
                
                
                
                    15.0kWh
                    冬季电耗
                
                
                
                
                
                
                     380公里
                     冬季续航
                
                

                
                
                    22.09万
                    裸车购买价
                
                
                    2023-11
                    购买时间
                
                
                    南京
                    购买地点
                
            
            
    
    

    
        $(document).ready(function () {
            var koubeiid = 5232718;

        });

    


            
                最满意
                电车比油车智能的多了，安全驾驶系数很高，关键整个车颜值太高了，女司机没法不爱
            
            
                最不满意
                暂时没发现不太满意的，续航可能有点低了，也可能目前是冬天，
            

            

    空间
        
            
            
        
        5
    
    
    我一开始以为车子小小，没想到去试驾的时候看到实物，一点也不小，而且坐进去，前后排的空空是绰绰有余，后面我183的朋友坐进去也毫无压力，而且后排座椅还能调节放倒，拓宽空间，说是紧凑型的suv，对我来说真的很大很实用了，这么小的车坐进去有这么大的空间实属难得了
    
    
    
    
    


    






                

    驾驶感受
        
            
            
        
        5
    
    
    等红绿灯起步甩其他车一截，跑高速毫无压力，碾压油车，一路狂飙，简直不要太给力，一路上的回头率不要太高，开累了高速巡航110也超级实用
    
    
    
    
    


    






            

            




            

    续航
        
            
            
        
        5
    
    
    续航冬天可能会虚一点，加上前一天才跑的高速，期待春天出去露营玩的时候，续航会提高，充电速度也很快，目前使用来说一周冲一次电，充电桩也很便捷，有机会还是要自己安装家充，毕竟smart的充电桩也无比可爱的
    
    
    
    
    


    
    
    
    


    





            
            

    外观
        
            
            
        
        5
    
    
    无边框车门，加上前脸矩阵大灯的设计，又奶又帅，又可爱又呆萌又酷飒，很难有小姐姐不喜欢的，车漆也很有质感，轮毂也特别的有科技感，很概念车的感觉，我很喜欢
    
    
    
    
    


    





            

    内饰
        
            
            
        
        5
    
    
    空调效果很棒，还有香氛，前排自带了座椅加热，冬天暖暖的，还加入了行车记录仪，自带64色氛围灯，开门还有迎宾灯，还有beats的音响，整车有13个音响，简直太酷了，简直是我的梦中情车，每一个小设计都在我心巴上了，有很多方方面面的贴合女生的小设计，简直就是空间管理大师，比如主驾驶下面还有一个空间可以放驾驶本或者口红；副驾驶的开合挂钩还可以挂奶茶外卖啥的，中控下面有个很大的空间可以用来放包包之类的，中控扶手箱还有小冰箱功能，夏天很方便放饮料啥的，前后排都有两个杯架，超级适合我这种早八人的咖啡脑袋了，后排还可以直通后备箱，拿取东西不要太方便，还有自带的香薰设计，有三种香味，不要太懂女生，顶上有专门放墨镜的镜盒，还能提供无线充电，出门不用焦虑没数据线了，车后备箱也特别能装，还有两层设计，而且是电动尾门，用脚踢也可以感应开关门，平时不用的东西放下层，空间很富余，等明天春天完全可以去露营
    
    
    
    
    


    
    
    
    


    
    
    
    


    





            

    性价比
        
            
            
        
        5
    
    
    看了几个版本，我买的是续航是560km的2024年新版的premium顶配，什么配置都齐全了，用积分兑换了一个可爱的蓝色头枕和安全带护肩带，颜值满满
    
    
    
    
    


    
    
    
    


    





            
                

    智能化
        
            
            
        
        5
    
    
    Smart的安全性能也很高，车机的反应特别快捷，电车就是很智能，什么自适应巡航，自动泊车，辅助驾驶，车道居中，前后交叉预警，最重要的对我来说还是有360和HUD抬头显，对我这种萌新女司机不要太友好，越开越喜欢，最近也在为新车慢慢布置中～
    
    
    
    
    


    
    
    
    


    
    
    
    


    




            

            



        "
牛纯洁,2023-11-16 首次发表,"
            
                
                    403km
                    
                    行驶里程
                
                
                
                
                
                    17.0kWh
                    春秋电耗
                
                
                
                
                
                
                    450公里
                    春秋续航
                
                
                
                

                
                    410公里
                    冬季续航
                
                
                    22.09万
                    裸车购买价
                
                
                    2023-11
                    购买时间
                
                
                    宁波
                    购买地点
                
            
            
    
        
            
        
    
    

    
        $(document).ready(function () {
            var koubeiid = 5216466;

        });

    


            
                最满意
                女孩子嘛，最最最最满意的就是她超级美丽可爱的内饰，以及精致且富有设计感的UI和一些细节，包括空调出风口以及遮阳帘的设计都十分贴心到位。
            
            
                最不满意
                不满意手机app的蓝牙钥匙，每次开车需要先打开app才会连上蓝牙。
            

            

    空间
        
            
            
        
        5
    
    
    别看精灵一号体型小小的，可是坐上我车的朋友们都惊叹于车内空间如此之大。我想应该是新能源车的优势之一，少了发动机占用的空间，使得在同样的体积下，乘坐空间变得更大。车内储物空间中规中矩，有一个扶手箱深度很深，里面有空调出风口，可以做小冰箱使用。后备箱容积一般，但是放点日常用的东西也是够用了，露营旅游什么的应该也是够的。真想搬家什么的，我想还是需要货拉拉。
    
    
    
    
    


    






                

    驾驶感受
        
            
            
        
        5
    
    
    因为我还是新车，所以暂时一直开的节能模式，但还是可以感受到相较油车加速的轻快感。只是松开电门减速会比较快，这点还是需要从油车过渡来的新车主适应下。方向盘轻重可以调，毕竟很多小姐姐开这款smart。刹车灵敏，但是美中不足的智能驾驶这一块有待加强。
    
    
    
    
    


    
    
    
    


    






            

            




            

    续航
        
            
            
        
        5
    
    
    我这边浙江宁波，平时充电用随车充，3.5kw的那种，相当于普通家充一半的功率，一般我开到50%的电量开始充，充到90%停止，大概五六个小时充满。如果用的是实际续航，那么表显最好续航十分准确。冬天一共大概能开410km，但具体的我也没有测试过，只是通过表显续航来推测。
    
    
    
    
    


    
    
    
    


    





            
            

    外观
        
            
            
        
        5
    
    
    不愧是奔驰操刀设计，整体感觉smart精灵一号外观圆润大气，不愧为“大聪明”的称号，特别为人称道的是车灯的设计，每次上下车都会有灯语，灯语也可以在手机app上设置。别的方面，在车的底部不同于别的车型，是用黑色的塑料件包裹而成的，我想磕碰到维修时也会比较方便且便宜。
    
    
    
    
    


    
    
    
    


    





            

    内饰
        
            
            
        
        5
    
    
    空调舒适，空气净化系统可以在app上设置自动在有污染的时候打开，也能提前打开空调座椅加热和方向盘加热，冬天开车还是比较舒适的。外观没的说，一个字，绝。
    
    
    
    
    


    
    
    
    


    





            

    性价比
        
            
            
        
        5
    
    
    总体来说还是比较满意的。不管是外观还是驾驶感受都比较不错。
    
    
    
    
    


    





            
                

    智能化
        
            
            
        
        5
    
    
    自动泊车有一说一还可以，智能驾驶在高架和高速上的表现一般，在城市道路可千万别用。
    
    
    
    
    


    




            

            



        "
盛哥2663,2024-01-08 首次发表,"
            
                
                    777km
                    
                    行驶里程
                
                
                
                
                
                
                
                    17.7kWh
                    冬季电耗
                
                
                
                
                
                
                     400公里
                     冬季续航
                
                

                
                
                    22.09万
                    裸车购买价
                
                
                    2023-11
                    购买时间
                
                
                    武汉
                    购买地点
                
            
            
    
        
            
        
    
    

    
        $(document).ready(function () {
            var koubeiid = 5270513;

        });

    


            
                最满意
                外观炫酷，内饰时尚，提速快，方向灵巧，车机互动优秀，续航里程不错！
            
            
                最不满意
                后备箱较小，车机系统开机过慢，胎噪过大，车内塑料件过多，有异响，玻璃单层
            

            

    空间
        
            
            
        
        5
    
    
    我身高178，体重190公斤，标准大胖子，但smart1号也能很好承载我，空间表现优异，后排乘坐空间合适，坐姿舒适
    
    
    
    
    


    






                

    驾驶感受
        
            
            
        
        5
    
    
    加速迅猛，百公里5.6秒，电门踏板线性柔和，方向盘轻盈，加减速无顿挫感
    
    
    
    
    


    






            

            




            

    续航
        
            
            
        
        4
    
    
    开车在武汉，大部分季节气温在0度以上，电池达成率在75-85%左右，城市通勤表现理想，高速电量耗损相对大一些
    
    





            
            

    外观
        
            
            
        
        5
    
    
    奔驰出品，外观时尚流线设计，不过度设计，时尚萌宠，轮胎宽，车灯犀利，主打一个炫酷，回头率高
    
    
    
    
    


    
    
    
    


    
    
    
    


    





            

    内饰
        
            
            
        
        5
    
    
    内饰做工精细，氛围灯炫美，真皮座椅，座椅加热通风一应具全，车内无异味，用料上乘，车内甲醛测试结果0.02远低于国家标准0.08限值！
    
    
    
    
    


    
    
    
    


    





            

    性价比
        
            
            
        
        5
    
    
    对比特斯拉和大众ID4，感觉smart品牌附加值大，原车价值24.59价格优惠后22.09万，新价比高
    
    
    
    
    


    





            
                

    智能化
        
            
            
        
        5
    
    
    支持互联驾驶L2，能简单路况跟车，避障，自助泊车可选择横停竖放，斜向45度自定义泊车
    
    
    
    
    


    
    
    
    


    
        车机功能及流畅度
        车机界面友好，时尚，支持多个平台app如爱奇艺，腾讯，酷狗音乐等还可以车内接蓝牙话筒k歌
        
        
    
    
    
    


    
    
    
    


    




            

            



        "
Winifred_Qiu,2023-12-31 首次发表,"
            
                
                    411km
                    
                    行驶里程
                
                
                
                
                
                
                
                    19.0kWh
                    冬季电耗
                
                
                
                
                
                
                     330公里
                     冬季续航
                
                

                
                
                    22.59万
                    裸车购买价
                
                
                    2023-11
                    购买时间
                
                
                    上海
                    购买地点
                
            
            
    
    

    
        $(document).ready(function () {
            var koubeiid = 5264303;

        });

    


            
                最满意
                提车一个月整，来谈一下感受。
张江长泰店购买，销售吴小姐很热情，讲解很专业很详细，给顾客的联系也比较中肯。
从订车－到提车大概半个月，还是比较快的。
外观很满意，圆润，可爱，甜美。氛围灯，内置香氛，中控储物，迷你保温箱等都很优秀。
内饰我选了黑色，就是纯粹因为前面两部车都是黑色内饰，习惯了。白色的内饰也挺好看的。
因为我之前买的时候小鹏，所以smart开起来比较顺手，大部分操作都是差不多的。转弯的半径对女孩子们很友好。
储物空间挺大的，在盒马X买了整整一个半购物车的东西，都轻松装下了。
前排和后排空间也比较优秀，本人1米7，老公1米8，都有足够的活动空间。
            
            
                最不满意
                就电车的智能性一块，跟某些新势力品牌其实还是有一点差距的。智能辅助一块，还算可以。自动泊车功能，一般。人机互动反应比较慢一点。外面听起来，空调声音比较大。
加999开通了方向盘加热，被家里人吐槽了两天。
自带的行车记录仪，我至今还没成功连接上手机。
            

            

    空间
        
            
            
        
        5
    
    
    本人1米7，老公1米8，前后排空间，上下空间都够。后备箱两层，可以放挺多东西的。最近一次在盒马X买的这一个半购物车，东西轻松放进去了。
    
    
    
    
    


    






                

    驾驶感受
        
            
            
        
        5
    
    
    动力很好，起步，加速都很满意。满载的情况下，上坡也很顺畅。方向盘可以调节模式，我因为之前也来开的电车，觉得还是很舒适的。刹车还好，正常水平。
    
    
    
    
    


    






            

            




            

    续航
        
            
            
        
        5
    
    
    我因为开车时开空调，开方向盘加热，开座椅加热，开香氛，音乐也比较大声，可能会费电一点。这一个月下来，大概大6到6.5折吧。
    
    
    
    
    


    





            
            

    外观
        
            
            
        
        5
    
    
    好看，可爱，圆润，反正就是很喜欢。小区里3辆，单位碰巧也有3辆。小姐姐们都很喜欢大聪明呢！
    
    
    
    
    


    





            

    内饰
        
            
            
        
        5
    
    
    真皮座椅，很舒适。全黑内饰，简单大方，我也是比较喜欢的。到处圆圆的，心情很好。随音乐变动的氛围灯，很有律动感。
    
    
    
    
    


    





            

    性价比
        
            
            
        
        5
    
    
    这个问题见仁见智了。我反正是觉得挺好的。保险6000不到，我买的时候22.59万，便宜5000。我又买了一个10800的车辆延保。除去方向盘加热要收费，座椅通风要收费，我也觉得没啥需要吐槽的地方。
    
    





            
                

    智能化
        
            
            
        
        4
    
    
    和有几个造车新势力的品牌对比的话，智能化不突出。人机语音交互有延迟，流畅度也一般。辅助驾驶试了一下还可以。我酷狗的会员，在其他品牌新能源车上都能用，smart的车载不行。嗯。还有就是内置的行车记录仪，我至今还没成功连接手机。。。
    
    




            

            



        "
cathy8282012,2023-12-29 首次发表,"
            
                
                    1100km
                    
                    行驶里程
                
                
                
                
                
                
                
                    18.0kWh
                    冬季电耗
                
                
                
                
                
                
                     325公里
                     冬季续航
                
                

                
                
                    22.00万
                    裸车购买价
                
                
                    2023-10
                    购买时间
                
                
                    上海
                    购买地点
                
            
            
    
    

    
        $(document).ready(function () {
            var koubeiid = 5262630;

        });

    


            
                最满意
                Smart精灵1号的外观、内饰和动力表现都非常出色。它不仅拥有时尚的外观和精致的内饰，而且动力充沛，可以满足我日常出行的需求。
            
            
                最不满意
                车机智能系统，可以更加优化。23年，有5次更新，希望越来越好满足更多人的需求
            

            

    空间
        
            
            
        
        5
    
    
    车内空间宽敞，后排座椅可放倒。平常大多一个人开，完全够用。
    
    






                

    驾驶感受
        
            
            
        
        5
    
    
    动力方面，最大功率200kW，相当于一台高功率的2.0T发动机。比我之前开的Ct200，更强，能够满足日常家用需求。
    
    






            

            




            

    续航
        
            
            
        
        5
    
    
    家里有充电桩，没有续航焦虑。冬天现在实际续航300-350km，@上海
    
    





            
            

    外观
        
            
            
        
        5
    
    
    Smart精灵1号的设计非常独特，当时一眼就看中了，圆润的线条和可爱的外表。采用双色设计，悬浮式车顶更显年轻时尚，辨识度极高。Smart精灵1号的外观设计非常符合我的审美需求。
    
    
    
    
    


    
    
    
    


    
    
    
    


    





            

    内饰
        
            
            
        
        5
    
    
    内饰方面设计同样出色。中控台采用大尺寸触控屏幕，操作简单方便。最喜欢的氛围灯，夜晚开车时效果非常赞，而且可以根据喜好调节颜色也可以跟着音乐变换。座椅采用黑白双色设计，舒适度较高。
    
    
    
    
    


    
    
    
    


    





            

    性价比
        
            
            
        
        5
    
    
    价格上海都是统一，没有特别优惠。主要可以满足我的需求，觉得smart很赞。
    
    
    
    
    


    





            
                

    智能化
        
            
            
        
        4
    
    
    Smart还配备了智能互联功能，支持手机互联、语音控制等功能，小宠物也可以变化，特别可爱。 流程度有待加强。
    
    
    
    
    


    




            

            



        "
Vivien7664,2023-12-27 首次发表,"
            
                
                    80km
                    
                    行驶里程
                
                
                
                
                
                
                
                    16.5kWh
                    冬季电耗
                
                
                
                
                
                
                     360公里
                     冬季续航
                
                

                
                
                    22.59万
                    裸车购买价
                
                
                    2023-12
                    购买时间
                
                
                    上海
                    购买地点
                
            
            
    
    

    
        $(document).ready(function () {
            var koubeiid = 5257644;

        });

    


            
                最满意
                车身流畅圆润，内部空间大，内饰时尚简约，是一部很懂女生的车车。
            
            
                最不满意
                没有专用充电桩，厂家也不送充电桩，只能到三方充电站充。
            

            

    空间
        
            
            
        
        5
    
    
    买之前还怕太小，没想到内部空间很大，180大长腿毫无压力。后排坐两个人也很宽敞。坐满3个人的话可能会略挤吧。
    
    
    
    
    


    
    
    
    


    






                

    驾驶感受
        
            
            
        
        5
    
    
    踏板有点轻，不过习惯了也就好了。秉承电车的一贯优势，起步加速都很快。行驶过程中也很静音。配备的HDU功能很实用，可以专注驾驶。
    
    
    
    
    


    






            

            




            

    续航
        
            
            
        
        4
    
    
    动态续航在最冷的天气约360公里，还行吧。作为日常城市通勤也是足够了，江浙沪单程无压力。
    
    





            
            

    外观
        
            
            
        
        5
    
    
    车身线条流畅，圆润可爱，银色很耐看，一眼就爱上啦！
    
    
    
    
    


    





            

    内饰
        
            
            
        
        5
    
    
    内饰简约大气，很精致。各种小细节很贴心，比如超大储物箱，无线充电，内置眼镜盒，还自带香氛，真是太懂女孩子了！
    
    
    
    
    


    
    
    
    


    
    
    
    


    





            

    性价比
        
            
            
        
        5
    
    
    价钱在同类车内不算便宜，但是配置功能齐全，外加奔驰加持，可以接受吧。
    
    





            
                

    智能化
        
            
            
        
        5
    
    
    车机系统智能化很好，大部分功能都可以语音控制而且反应灵敏，跟之前开过的大众ID4比好太多了。部分功能个人觉得可以优化增强，比如提供更多应用程序下载。
    
    
    
    
    


    
    
    
    


    




            

            



        "
上海车友6058733,2023-12-23 首次发表,"
            
                
                    500km
                    
                    行驶里程
                
                
                
                
                
                
                
                    22.0kWh
                    冬季电耗
                
                
                
                
                
                
                     450公里
                     冬季续航
                
                

                
                
                    22.50万
                    裸车购买价
                
                
                    2023-12
                    购买时间
                
                
                    上海
                    购买地点
                
            
            
    
        
            
        
        
            
        
        
            
        
        
            
        
    
    

    
        $(document).ready(function () {
            var koubeiid = 5254240;

        });

    


            
                最满意
                观望了很久Smart精灵#1。对比了Model3、ID4、海豹后还是选择了Smart。由于家里已经有一辆油车。所以选择第二辆车时对于外观及内饰这类主观性较强的方面比较在意。Smart外形较圆润，属于比较时尚大气的类型。内饰方面有奔驰设计团队加持，基本不可能翻车，氛围灯及Beats音响更是加分项。配置方面，选择的是Premium版本。所以基本该有的配置全部拉满。HUD抬显，和各类辅助驾驶一应俱全。对于一辆小型SUV，Smart的动力和操控性肯定没话说。基本在同价位中也是很有竞争力。属于性能小钢炮级别。空间方面后排1.8身高男生也可以有一拳半的空间。后排不会出现太过于拥挤的情况。坐垫的长度也室刚好，不会坐的很累。后备箱中规中矩，但在后排可以放倒的情况下属于空间巨大了。功能方面还支持对外放电，对于有频繁露营的家庭也是十分友好了。
            
            
                最不满意
                smart专属充电站比较少，大部分使用第三方充电站充电。
            

            

    空间
        
            
            
        
        4
    
    
    充分利用内部空间，空间做的比较不错。同级别内也有竞争力。
    
    






                

    驾驶感受
        
            
            
        
        4
    
    
    百公里加速足够满足90%的动力需求。车子操控顺滑灵活。
    
    






            

            




            

    续航
        
            
            
        
        4
    
    
    续航冬季由于天气原因有所下降，作为日常通勤足够。
    
    





            
            

    外观
        
            
            
        
        5
    
    
    整体圆润，涉及简洁大方。街上回头率超高！
    
    





            

    内饰
        
            
            
        
        5
    
    
    奔驰设计团队涉及，不翻车。用料扎实。车内氛围灯气氛拉满。
    
    





            

    性价比
        
            
            
        
        4
    
    
    设计，品牌方面有一点溢价。但考虑综合性，不二之选。
    
    





            
                

    智能化
        
            
            
        
        4
    
    
    智能泊车，车道保持，前方碰撞检测，后方碰撞检测
    
    




            

            



        "
上海车友三新桥,2023-12-18 首次发表,"
            
                
                    400km
                    
                    行驶里程
                
                
                
                
                
                
                
                    13.0kWh
                    冬季电耗
                
                
                
                
                
                
                     460公里
                     冬季续航
                
                

                
                
                    22.09万
                    裸车购买价
                
                
                    2023-12
                    购买时间
                
                
                    上海
                    购买地点
                
            
            
    
    

    
        $(document).ready(function () {
            var koubeiid = 5247558;

        });

    


            
                最满意
                外观设计可爱大方，内饰精致细腻，动力顺滑，流畅度好
            
            
                最不满意
                松脚踏板后，减速可能有些快，或者可以慢慢的松踏板，不要一下子就全松掉。之前开习惯了油车，有时可以滑行，有时正常减速，不会有一种很猛的感觉
            

            

    空间
        
            
            
        
        5
    
    
    我是1.78的身高，坐在主驾驶位置，比较宽敞，视野开阔，当然可以调节座椅，让自己处在一个更舒适的位置上。后排空间也比较好，没有局触感。氛围灯增加了氛围感，再加上音乐，增强了驾驶的乐趣。
    
    
    
    
    


    
    
    
    


    






                

    驾驶感受
        
            
            
        
        5
    
    
    加速比较快，之前一直开油车的，起步比别人慢很多，有时啥不得大油门踩下去，慢慢提速。对比下来，电车这方面要强很多，提速快，加速顺滑，没有顿挫感。
    
    
    
    
    


    
    
    
    


    






            

            




            

    续航
        
            
            
        
        5
    
    
    续航还没有具体感受，刚开了一周多。70%多的时候，充了一次电。今天剩了22%又充了电。总体感觉还是不错的。交付讲，日常充电到90%就可以了。所以，没充满过。
    
    





            
            

    外观
        
            
            
        
        5
    
    
    设计的比较有灵气，比较稳重，又有一种超然感，回头率比较高，同事们看了后都感觉不错。
    
    





            

    内饰
        
            
            
        
        5
    
    
    内饰座椅是浅色的，皮质的座椅，摸起来比较软滑，质感好，比之前的油车好了不少。我选的是触感金，提升了不少档次。
    
    
        内饰用料
        内饰用料还是下功夫的，细节处理上比较用心，正常的茶杯座，收纳，小物件等，不是敞开的，看起来规整。后排座椅中间有个挡板，打开后可以拿后备箱里的东西，感觉方便了很多。
        
        
    
        第二排舒适性
        座椅软硬度合适，膝盖，腿部，与大车相比，差别不大。音响主位置可以调节，右后排，坐后排，中央三个位置可选，不同的位置听起来的效果是不同的。
        
        
    





            

    性价比
        
            
            
        
        5
    
    
    对20出头的一款车，从智能化，安全性，美感度等几个方面，我感觉还是可以接受的。24款增加了安全气囊，增加了行车记录仪。
    
    





            
                

    智能化
        
            
            
        
        5
    
    
    智能化比较好，我有一次在地下车库倒车，突然之间车子一下子就停住了。再看一下与侧后方的车辆靠的太近了。对于新手来讲，还是很有帮助的。行中驶变道，有车辆靠的紧，会发出滴滴的提示。行驶中超速，也会提示。抬头显示，一目了然，比较方便。红绿灯停下来，如果时间长，可以用力踩下刹车，抬头显示会出现@，大写的A，这时候右脚可以放松下。
    
    




            

            



        "
