字段1_文本,字段2,字段3
淡泊星空,2023-02-10 首次发表,"
            
                
                    6200km
                    
                    行驶里程
                
                
                
                
                
                
                
                    25.0kWh
                    冬季电耗
                
                
                
                
                
                
                     250公里
                     冬季续航
                
                

                
                
                    14.68万
                    裸车购买价
                
                
                    2022-11
                    购买时间
                
                
                    无锡
                    购买地点
                
            
            
    
    

    
        $(document).ready(function () {
            var koubeiid = 4810610;

        });

    


            
                最满意
                和大家一起分享我作为一名创维车主的用车感受。

我以前开的是一辆丰田锐志，2.5排量6缸自然吸气发动机，百公里油耗12升，我是一名汽车配件供应商，每天需要去各个乡镇送货，平均每天行驶120公里左右，按照汽油每公升8块钱计算，我一天需要115元油钱，一个月就是3456元。我综合考虑入手了创维EV6这款车，这款车后备箱空间非常大，加上后排座椅可以轻松放平，整整1米8的长度，以前装不下的大件货物现在可以轻松装下了，410公里的续航也足够满足我的日常使用需求。最关键的是省钱，我现在都是晚上充电，电费3毛5分钱一度，折合下来平均每公里用电7分钱，一天8块4毛钱电费，一个月就是252元，这样算下来我每个月能省3206油钱。我选择的是店里提供的0首付购车方案，每个月月供2911元，而我每个月油钱能省3206元，减去月供我每个月还赚295元。再加电池终身质保，终身免费保养等强大的售后保障，创维汽车买的开心，开的省鑫，用的放心！
            
            
                最不满意
                车型太少，就一款，期待多点款式可供不同的人选择
            

            

    空间
        
            
            
        
        5
    
    
    1.8米坐后排膝盖与前排还有三拳距离，很宽敞，坐在后排不觉得拥挤，后备箱467L,后排座椅可完全折平，将空间扩容至1141L
    
    






                

    驾驶感受
        
            
            
        
        5
    
    
    百公里加速仅需7.9秒，燃油车瞬间呈现在我的倒车镜中，
    
    






            

            




            

    续航
        
            
            
        
        5
    
    
    我是在江苏宜兴，冬天续航掉的多点，没有秋季时跑的多，但算下来差不多也能跑250多公里，秋季350左右，厂家送的充电桩，每天晚上插上电，充一晚上，电充满了就自动断电了
    
    





            
            

    外观
        
            
            
        
        5
    
    
    车头独特的盾形LOGO车标，硬朗的侧方造型设计，呼吸式尾灯，前大灯是LED的，采用棱角分明的刀锋设计，立体感十足
    
    





            

    内饰
        
            
            
        
        5
    
    
    车内内饰使用严苛的环保制造工艺，用的大量都是环保材料，超舒适睡眠座舱技术的座椅
    
    





            

    性价比
        
            
            
        
        5
    
    
    同级别中，质量最高，价格便宜，拥有自己的生产基地和超过10年的新能源汽车技术积淀，掌握核心三电技术能力
    
    





            
                

    智能化
        
            
            
        
        5
    
    
    智能车家互联，可远程操控家中电器，也可手机远程操控汽车，智娱生活影音，移动式量贩KTV
    
    




            

            



        "
北京创维爱好者灿姐,2023-12-03 首次发表,"
            
                
                    560km
                    
                    行驶里程
                
                
                
                
                
                
                
                    17.0kWh
                    冬季电耗
                
                
                
                
                
                
                     300公里
                     冬季续航
                
                

                
                
                    20.00万
                    裸车购买价
                
                
                    2023-11
                    购买时间
                
                
                    保定
                    购买地点
                
            
            
    
    

    
        $(document).ready(function () {
            var koubeiid = 5232330;

        });

    


            
                最满意
                科技感特别强，起步快，行驶平稳，刹车性能好，宽敞舒适，后座椅可以调节到床，出门太方便了，
            
            
                最不满意
                陡坡起步会滑坡一点点，外观没有买到黑色略微有点遗憾，繁星蓝还可以，又定了一款HTi白色，油混的，远行没有续航焦虑的，
            

            

    空间
        
            
            
        
        5
    
    
    宽敞适合，大气，后背箱特别好，操作方便，出门可以当双人床用，设计太好了，
    
    
    
    
    


    
    
    
    


    
    
    
    


    
        乘坐空间
        160高114斤体重，感觉车空间特别大，全家出游方便换班休息能躺下了，并且特别好操作，后背椅放下来特别简单
        
        
    






                

    驾驶感受
        
            
            
        
        5
    
    
    得力于身材标准，感觉性能很好，轻快，起步，动力，平稳，跑高速都非常平稳轻快，就是费电
    
    
    
    
    


    






            

            




            

    续航
        
            
            
        
        5
    
    
    日常上下班开，充满电可以用5天，消费50元左右，太香了，最远天津往返300多公里，充一次满电，可以可以，
    
    
    
    
    


    
    
    
    


    





            
            

    外观
        
            
            
        
        5
    
    
    中型suv，大车灯led非常明亮，漆面优，轮子也很好看，前后左右都还好，
    
    
    
    
    


    





            

    内饰
        
            
            
        
        5
    
    
    内饰整体设计很满意，宽敞舒适，细节都很好，中控大屏幕，听歌，导航，小维小维呼叫功能，非常喜欢，放杯子，手扣都很贴心，方便
    
    





            

    性价比
        
            
            
        
        5
    
    
    之前看过问界，宝马纯电，价格差不多，还是选择了创维，有科技感，智能，空间大，终身免费保养，
    
    





            
                

    智能化
        
            
            
        
        5
    
    
    智能高端，语音互动优，倒车影像清晰，后备箱一健开关方便
不跑远途可买纯电，考虑远行买插电混HTi，
    
    
    
    
    


    
    
    
    


    




            

            



        "
帥多罗罗,2022-01-14 首次发表,"
            
                
                    2800km
                    
                    行驶里程
                
                
                
                
                
                
                
                
                
                
                
                
                

                
                    400公里
                    冬季续航
                
                
                    18.88万
                    裸车购买价
                
                
                    2021-12
                    购买时间
                
                
                    遵义
                    购买地点
                
            
            
    
        
            
        
    
    

    
        $(document).ready(function () {
            var koubeiid = 4100322;

        });

    


            
                最满意
                空间大：（前排常规驾驶坐姿以后，后排腿部以及头部空间都很富裕，后排地板纯平，坐三个人也不显挤，后备箱很大，日常物品收纳很轻松，而且后排座椅放倒之后能达到一个纯平的空间，像张床似的）
底盘调教：麦弗逊独立悬架➕多连杆独立悬架
这种配比虽然很常见，但是这个车调教挺不错，过坑洼路面以及减速带特别明显，跳动幅度控制得相当好，弯道支撑性很明显，很有德系车的味道。
配置丰富：19寸的大脚，全车安全气囊，主动刹车，自动泊车，全景天窗，电动感应后备箱，无钥匙进入，手机无线充电，自适应远近光，电动座椅，座椅通风和加热，自动防眩目……太多了，打字累😂，对了，可以用手机控制车辆，这个挺不错的

外观：外观这东西吧，仁者见仁智者见智，萝卜青菜，各有所爱，最开始看到这车的时候，觉得谈不上喜欢，也不反感，只能算中庸，要不是没找到油箱，我和我爸都认为这车是个燃油车，没有其他新能源汽车的科技感，看久了觉得挺不错的，个人感觉（非喜勿喷）
售后：保养不花钱，哈哈，之前开的奥迪A4L，保养一次得千把块，突然觉得挺省，还有就是换电池不也不用掏钱。
            
            
                最不满意
                语音助手不能控制车窗，挺遗憾的。
轮胎抓地力差，我这个配置的是个固铂轮胎，轮胎太硬了，下雨天有点打滑，我把轮胎的气放了这个情况才好了。
流量不够用，每个月送了5个G的免费流量，小朋友每次坐车又要看奥特曼，根本不够用，只有连手机热点。
雷达无法关闭，每次等红绿灯的时候提示音挺烦的。
车机系统很烦，看电视，电影啥的都要会员，我登录了手机腾讯视频还是看不了，要用电视端的会员，很烦。
            

            

    空间
        
            
            
        
        5
    
    
    我173的身高，头部富裕，可以翘二郎腿
    
    
        乘坐空间
        我173的身高，头部空间富裕，翘个二郎腿啥的完全没问题。
        
        
    
        ☆ 空间设计亮点
        前排两个杯架，后排有扶手，也带有杯架，还有这硕大的后备箱空间。
        
        
    
    
    
    


    
        后备厢容积
        给我的感觉就是大，能装。
        
        
    
    
    
    


    
        车内储物能力
        扶手箱储蓄空间很大，门板上也能放点东西，座椅后面也可以放点东西，设计挺合理。
        
        
    
    
    
    


    






                

    驾驶感受
        
            
            
        
        5
    
    
    电车的动力，简直没得说，204匹马力，动力随叫随到。
    
    
        跑高速
        加速给力，超车啥的很轻松，电车都这样吧。
        
        
    






            
                

    操控
        
            
            
        
        4
    
    
    方向盘的转向手感可调节的，没之前的A4L手感细腻，刹车脚感也可以调配。
    
    




            

            




            

    续航
        
            
            
        
        4
    
    
    高速90KM-120KM之间行驶，续航在360KM左右。
日常行驶：430KM左右
    
    





            
                

    舒适性
        
            
            
        
        4
    
    
    座椅舒适度还可以，但是没我朋友的日常舒服😂😂
没啥异味，4S店送的脚垫异味有点重，质量差了点。
    
    




            
            

    外观
        
            
            
        
        3
    
    
    外观中庸，没有那种让人眼前一亮的设计，后备箱有一个贯穿式的尾灯，车门有一块护板，挺贴心的，下车时不会弄脏裤脚。
    
    
    
    
    


    
    
    
    


    





            

    内饰
        
            
            
        
        3
    
    
    科技感差，能摸到的都是软的，但是太像一辆油车了，看习惯了就只能凑合了。
    
    





            

    性价比
        
            
            
        
        4
    
    
    新能源车的用车成本低，我的充电桩还没开始申请，小区车位还在规划，目前都是在外面充，大约1毛多一公里的样子，
不用保养，而且电池也是免费更换，这点挺喜欢。
拿到车牌就迫不及待喊我弟给我装上了😁
    
    
    
    
    


    





            

            
                



            



        "
张梅8856,2021-11-29 首次发表,"
            
                
                    315km
                    
                    行驶里程
                
                
                
                
                
                
                
                
                
                
                
                
                

                
                    450公里
                    冬季续航
                
                
                    16.58万
                    裸车购买价
                
                
                    2021-11
                    购买时间
                
                
                    温州
                    购买地点
                
            
            
    
    

    
        $(document).ready(function () {
            var koubeiid = 4000841;

        });

    


            
                最满意
                以前开了两辆燃油车了，那辆现代也开了有10年了，感觉未来肯定是新能源天下，对比了好几款新能源，这车眼前一亮，前脸很大气，有点大厂新能源的感觉，不喜欢那种太夸张的前脸，外观是个蓝黑颜色的，整体感觉挺厚实，车子内部空间很大，儿子坐在后排空间特别大
            
            
                最不满意
                充电地方再多一些就好了，因为小区里没有车位装充电桩，现在有时候不忙就在店门口便携式充，不然就要去快充三四十分钟
            

            

    空间
        
            
            
        
        5
    
    
    我有一米八身高，坐后排都有大空间，后背箱有时候拉拉货挺满意的，因为做鞋的，有时候不多，把后排座椅放倒，很平得，很满意
    
    
        ☆ 空间设计亮点
        中央扶手箱里还有一个小冰箱夏天可以喝冰水了
        
        
    
        后备厢容积
        后备箱特别深，有时候放倒带带店里东西很合适
        
        
    






                

    驾驶感受
        
            
            
        
        5
    
    
    电动车加速感觉比以前2.0燃油车猛多了，刚开始不敢开，还好有一个D挡，可以开稍微慢点，还可以能量回收
    
    






            
                

    操控
        
            
            
        
        4
    
    
    车子还是比较稳重的，底盘调教还是比较偏向稳重一些，感觉没有那么松散，满满厚实感
    
    




            

            




            

    续航
        
            
            
        
        4
    
    
    冬天续航感觉最多是460Km，有打折，毕竟刚刚买的，夏天会好一些
    
    
    
    
    


    





            
                

    舒适性
        
            
            
        
        5
    
    
    座椅和天籁有的比，真心舒服，软软的，开的很舒服，悬挂有一点点硬，也许是以前开轿车习惯了
    
    




            
            

    外观
        
            
            
        
        5
    
    
    外观，比较大气，比较喜欢黑蓝黑，黑色太死板了，蓝黑显得上档次
    
    
    
    
    


    





            

    内饰
        
            
            
        
        4
    
    
    
        

        0% buffered00:00播放暂停00:00/00:05倍速2x1.5x1.25x1x0.75x0.5x标清标清全屏切换50%75%100%满屏00:00汽车之家视频播放器  之家首页  复制链接  版本号 : 2.5.32

  
    
      
        
        
          
        
        
          
        
        
      
    
  


    
    

    内饰没有那种新能源很夸张的内饰，就是简单有显出科技感，还自带了车联网，听音乐，很舒服
    
    





            

    性价比
        
            
            
        
        5
    
    
    对比了很多款，突然一天在小区里看到一个开这车，刚以为是蔚来，蔚来太贵了预算不够，想想也是未来发展的趋势，蔚来预算不够，也这么大，比蔚来香，买车都是找来找去，好不容易在瓯海梧田街道教导路6号有一家卖新源得，竟然可以直接选车牌
    
    





            

            
                



            



        "
性感胖胖哥,2022-05-27 首次发表,"
            
                
                    2000km
                    
                    行驶里程
                
                
                
                
                
                
                
                
                
                
                
                
                

                
                    300公里
                    冬季续航
                
                
                    13.00万
                    裸车购买价
                
                
                    2022-05
                    购买时间
                
                
                    唐山
                    购买地点
                
            
            
    
    

    
        $(document).ready(function () {
            var koubeiid = 4379185;

        });

    


            
                最满意
                操作性和乘坐的舒适度，满意！号称游艇座舱设计，坐着就是舒服。五星好评！
            
            
                最不满意
                随车带的是慢充，晚上回家冲上，第二天早上上班才能充满，如果有个快充就更完美了
            

            

    空间
        
            
            
        
        5
    
    
    空间很大，我将近一米八的身高坐在主驾驶上距离头部还有两拳的距离
    
    
    
    
    


    
        家人乘坐评价
        坐起来很舒服，号称游艇的座舱设计，腰部背部完美贴合
        
        
    
    
    媳妇很满意
    


    






                

    驾驶感受
        
            
            
        
        5
    
    
    提速很快，比起来我的老爷车来说优秀很多 ，而且动力稳定
    
    
    
    
    


    
    
    
    


    






            
                

    操控
        
            
            
        
        5
    
    
    操控性很不错，转向轻松，刹车制动灵敏，底盘稳重，操作感满满
    
    




            

            




            

    续航
        
            
            
        
        5
    
    
    续航里程一直是电车的通病，我也专门测试了一下这款车。这款车标称续航410公里，满电的时候拿到手的，还回去还有20%的电，这几天应该开了将近260公里左右，全程开着空调，算起来的话现在这个季节开到三百七八十公里没啥问题，对于续航里程来说也是比较满意的
    
    
    
    
    


    
    
    
    


    





            
                

    舒适性
        
            
            
        
        5
    
    
    舒适度上乘，坐在车里没有丝毫异响，隔音效果也很好
    
    
    
    
    


    
    
    
    


    




            
            

    外观
        
            
            
        
        4
    
    
    这台车整体来看外观没有啥特别的亮点，我感觉没有啥特点恰好是它最大的特点，外形适合所有的年龄段，年轻的人开不显得低调，岁数大点的人开也不显张扬。
    
    
        车灯设计
        这款是led大灯，晚上开车感觉大灯打的比一般的车都远，灯光很亮，而且不分散，据说这款灯是特别设计的，亮而不刺眼，当然我开车的具体此言不刺眼我就不能体会到了，反正对面汇车的时候没有车给我打双闪
        
        
    
        车轮设计
        轮子使用了18寸的铝合金轮毂，235的轮胎，具体啥是235的轮胎我也不知道，我知道的就是这个轮胎比我以前的车宽，开起来感觉很稳就对了
        
        
    
    
    
    


    





            

    内饰
        
            
            
        
        5
    
    
    12.8寸的大屏，全程语音控制，导航，拨打电话，点歌，基本的功能全部可以用语音控制，操作起来比较方便
    
    
    
    倒车辅助系统
    


    
    
    语音导航放歌
    


    
    
    音乐效果超棒
    


    
        ☆ 车联网
        可以连手机，可以连电视，可以连空调，可以连一切可以连的设备
        
        
    
    
    
    


    





            

    性价比
        
            
            
        
        5
    
    
    这款车13万多点就可以拿下，对于我这种工薪阶族来说很合适，无论是外观，续航里程，驾驶的操作性，乘坐的舒适度来说都值得购买。
    
    





            

            
                



            



        "
小东东123,2022-05-22 首次发表,"
            
                
                    4300km
                    
                    行驶里程
                
                
                
                    16.0kWh
                    百公里电耗
                
                
                
                
                
                
                
                
                
                
                

                
                    330公里
                    冬季续航
                
                
                    18.88万
                    裸车购买价
                
                
                    2021-11
                    购买时间
                
                
                    北京
                    购买地点
                
            
            
    
    

    
        $(document).ready(function () {
            var koubeiid = 4363671;

        });

    


            
                最满意
                够大、够轻、够安静、够舒适、够智能。驾驶座设计很符合人体工程学，座椅的舒适度很好，特别是配有健康睡眠模式座椅可以一键放平还配有腿托，利用午休时间车里小憩一会真的是超级舒服。
            
            
                最不满意
                车子外观设计，不够明显体现出是纯电动汽车
            

            

    空间
        
            
            
        
        5
    
    
    前后排都比较满意，家里人坐在车上的时候也是能活动自如，后备箱也是超级的大，还可以全部放平，简直就是张双人床
    
    






                

    驾驶感受
        
            
            
        
        4
    
    
    前期动力还不错，后期一般般，没有燃油车那股子源源不断的输出
    
    






            
                

    操控
        
            
            
        
        5
    
    
    方向盘以及刹车踏板力度可以调这点还是非常不错的
    
    




            

            




            

    续航
        
            
            
        
        3
    
    
    北方天气原因吧 冬天掉电太快了 特别是跑高速
    
    





            
                

    舒适性
        
            
            
        
        5
    
    
    主要是空间比较大，后排乘坐3人还是比较宽敞的，前后排坐着很舒服，尤其是驾驶位
    
    
        ☆ PM2.5过滤装置
        配备的这个配置太好了 可以净化车内空气简直就是给车带了个大口罩
        
        
    




            
            

    外观
        
            
            
        
        4
    
    
    整体设计比较简洁，前脸辨识度比较高贯穿一体式的大灯
    
    





            

    内饰
        
            
            
        
        4
    
    
    内饰有一个明显的不足，整体中控用料比较普通，但他的座椅特别舒适
    
    





            

    性价比
        
            
            
        
        5
    
    
    性价比超高，20万以内落地，而且还是终身免费保养
    
    





            

            
                



            



        "
桂林车友3167667,2021-08-23 首次发表,"
            
                
                    2000km
                    
                    行驶里程
                
                
                
                
                
                
                
                
                
                
                
                
                

                
                
                    16.98万
                    裸车购买价
                
                
                    2021-08
                    购买时间
                
                
                    桂林
                    购买地点
                
            
            
    
    

    
        $(document).ready(function () {
            var koubeiid = 3806044;

        });

    


            
                最满意
                世界大品牌，电视销量激活用户中国第一。外观设计大气，腰线饱满圆润，前脸辨识度很高。一眼就能看出来。超喜欢他的语音控制功能，跟家里的电视一样棒。
            
            
                最不满意
                车子太大了，新手司机停车的时候有点难度
。这个车子目前来说是没有什么优惠的。
            

            

    空间
        
            
            
        
        5
    
    
    全家一起出行，毫无压力
    
    
        乘坐空间
        我160斤的大个做进去空间都好宽
        
        
    






                

    驾驶感受
        
            
            
        
        5
    
    
    得益于车子底盘调教的比较好，动力输出还是可以的。
    
    






            
                

    操控
        
            
            
        
        5
    
    
    方向盘有虚位，跑高速时有轻微的松软。但是底盘调教的比较好，不注意的话也感觉不出来。
    
    




            

            




            

    续航
        
            
            
        
        5
    
    
    我就是上下班通勤车，星期六偶尔去外面玩，一个礼拜充一次电够用了。
    
    





            
                

    舒适性
        
            
            
        
        5
    
    
    悬架片偏舒适，过小的路基舒适度好。过大点的减速带还是有点硬。
    
    




            
            

    外观
        
            
            
        
        5
    
    
    外观设计大气，端庄。前脸整体辩识度高，后面贯穿试尾灯也很时尚。
    
    





            

    内饰
        
            
            
        
        5
    
    
    整体简洁明了，优雅的同时不失庄重。配上木条纹，感觉蛮上档次。
    
    





            

    性价比
        
            
            
        
        5
    
    
    总体来说还不错的，未来定会有无限可能。大家一起期待
    
    





            

            
                



            



        "
海达老司机,2021-08-12 首次发表,"
            
                
                    1092km
                    
                    行驶里程
                
                
                
                    15.0kWh
                    百公里电耗
                
                
                
                
                
                
                
                
                
                
                

                
                    290公里
                    冬季续航
                
                
                    19.88万
                    裸车购买价
                
                
                    2021-07
                    购买时间
                
                
                    赤峰
                    购买地点
                
            
            
    
        
            
        
    
    

    
        $(document).ready(function () {
            var koubeiid = 3784581;

        });

    


            
                最满意
                舒服点1
座椅非常软，坐上去很舒服。

舒服点2
前后都是独立悬架，开这个车有点像开船一样，不硬，过个包啊，坎啊啥的，软绵绵的就过去了。不像我的那个宝马悬架似得，搁楞搁楞的。

舒服点3
刹车油门很舒服，因为是电车，类似于油车CVT变速箱那种，没有档位，说白点就是无级变速，动力随踩随有，而且没有油车换挡那种卡顿的感觉。刹车的那叫深度很深（太专业的名词不太会说），就是想慢点停就轻轻踩，快点停留狠踩。脚感很不错。

舒服点4
自动泊车的侧方位停车真的是太好用了，作为老司机的我，开车钻空啥的，拿捏的死死的，唯独侧方停车，到现在还是不是很熟练。有了这个功能，停车基本都不用我，看着停不进去的地方，它都能直接给我停进去。并且~重点来了昂，侧方停车咋快速出去这个事儿，创维也给安排了，给“自动泊出”功能点个赞，停进去，开出来，都不用我操作，安排的都很好。

舒服点5
远程手机操作太好用了，不光能远距离直接开启空调和座椅加热或者通风，还能人不在车上，直接把我的车当遥控车开。有一次停车挡路了，人家司机给我打电话要挪车，我去了就站在车边上，用手机把车给挪了，那个司机直接惊掉下巴了😄。惊呼“这车还能这么开了？”

哈哈，总结一下，开上这个车以后，是惊喜不断。现在的纯电动车果然是汽车行业的一个转折点，从原来的代步。到现在的汽车为你服务。你用着不得劲，不熟练的地方都能给你解决。不错不错~有要想试一试的小伙伴可以私信联系我。独乐乐不如众乐乐嘛~完事儿
            
            
                最不满意
                不满意的地方，我觉得有两点。

第一
高速很费电，标的续航里程有点虚，跟油车正好反过来了，油车市区费油，高速省油。我的小宝马走高速一箱油跑出来过850公里的好成绩，市区内也跑出来过420块的油钱，只跑了450公里的悲惨数据。所以你要是经常跑高速的话，一定要自己留个心，看好你的路线经过哪些充电站，别到时候给你扔道上。😮（小贴士：现在各大地图APP都带新能源出行的模块。设置好目的地，自动就显示沿途哪块有充电站了，也是很方便）

第二
想了半天好像没啥了，都挺好的。记着刚才想了两点。到写的时候忘记了。想起来的时候再补上吧。
            

            

    空间
        
            
            
        
        5
    
    
    178大个，快躺着开车了，后排翘二郎腿无压力
    
    
        乘坐空间
        178大个~后排无压力
        
        
    
    
    
    


    
        这后排空间~
        后排放倒后，三人斗地主，4人打对调空间够够的
        
        
    
    
    
    


    






                

    驾驶感受
        
            
            
        
        5
    
    
    2吨重的车身 7.9秒的零百加速数据， 虽然不是很高，但是油门响应快啊。就很爽。
    
    






            
                

    操控
        
            
            
        
        5
    
    
    方向盘低速时很灵敏，很轻快，随着车速上去慢慢变沉。很不错。
这个车自重将近2吨，有一部分重量是电池，电池在底盘那，所以这个车的重心就比普通的SUV重心很低，过弯，操控性能就很高

自动泊车系统很好用，勉强也算到操控里吧~哈哈
    
    




            

            




            

    续航
        
            
            
        
        4
    
    
    日常就在市区开，充一次电跑一周多。电耗高低无所谓倒是，关键电便宜啊
    
    





            
                

    舒适性
        
            
            
        
        5
    
    
    悬架因为是前后独立悬架，虽然不太懂是啥意思，但是好车一般都是这个配置，悬架偏软，前面说过了，整体开着挺舒服
    
    




            
            

    外观
        
            
            
        
        4
    
    
    外观绝对杠杠的没问题，谁要是说这个车丑，那基本上别的车都没法看，没有蔚来小鹏那样充满个性感和未来感，和理想的车型差不多吧，看上去很舒服。耐看
    
    
    
    
    


    
    
    
    


    





            

    内饰
        
            
            
        
        4
    
    
    内饰简单，咋说呢，用惯了觉得还好，该有的都有，我觉得用的比较好的就是它还带实体按键。不是所有都是电子屏控制。用着还挺顺手。
    
    
        多媒体车机
        跟创维电视一样，呼叫小维小维（因为是和百度合作推出的语音，叫小度小度也可以）就可以实现车里大部分功能的语音控制，挺方便。
        
    
        

        0% buffered00:00播放暂停00:00/00:27倍速2x1.5x1.25x1x0.75x0.5x标清标清全屏切换50%75%100%满屏00:00汽车之家视频播放器  之家首页  复制链接  版本号 : 2.5.32

  
    
      
        
        
          
        
        
          
        
        
      
    
  


    
    

        
    
        异味/异响
        异响没有，都挺结实，
异味散的也挺快，大概放了有半个月的时间，上车的都闻不见新车的那种味儿了。
        
        
    





            

    性价比
        
            
            
        
        5
    
    
    整这个车，纯是因为真的是太省了，动力够用，科技感够用，开着还省钱，空间还大，售后有保障，除了充电稍微麻烦一点，别的都非常好，爱屋及乌嘛，哪有那么十全十美的车，用上就知道了
期间也看过小鹏G3，威马W6，都是不到20万的电车，但是那空间就不行了。
    
    





            

            
                



            



        "
沧州车友2115142,2021-08-15 首次发表,"
            
                
                    1000km
                    
                    行驶里程
                
                
                
                    20.0kWh
                    百公里电耗
                
                
                
                
                
                
                
                
                
                
                

                
                    450公里
                    冬季续航
                
                
                    19.98万
                    裸车购买价
                
                
                    2021-07
                    购买时间
                
                
                    沧州
                    购买地点
                
            
            
    
        
            
        
    
    

    
        $(document).ready(function () {
            var koubeiid = 3790614;

        });

    


            
                最满意
                信赖创维品牌，车型外表样子挺好看，科技性能高，关键平躺座椅特适合我，尤其是在等孩子放学或课外辅导班时，我可以休息一下。开起车来一点儿噪音也没有，以前没开过电车，现在一对比汽油车确实是超静音驾驶。最后还是省钱这是最重要的，原来我是台奥迪Q5，加一箱油要500元，差不多跑500公里，现在只要几十块钱，就跑500公里，真是太省钱了
            
            
                最不满意
                现在是夏天续航还不错，不知冬天会缩短多少。因为创维汽车刚上市，大多数人还不知道，我经常会被人问到开的是什么车
            

            

    空间
        
            
            
        
        5
    
    
    每日两个人，超级宽敞，尤其后排，比原来我开的Q5宽敞一倍不止哟
    
    
    
    
    


    






                

    驾驶感受
        
            
            
        
        4
    
    
    
    
    
        加速动力
        市区试了一下，加速有推背感
        
        
    
        动力平顺性
        还没上过高速，市区开着不错
        
        
    
        跑高速
        目前，还没上过高速呢，期待下次分享
        
        
    






            
                

    操控
        
            
            
        
        5
    
    
    开在路上挺稳的，倒车影像也很好用，对我这驾驶水平起到很大作用
    
    
        底盘稳定性
        开着底盘挺稳的
        
        
    




            

            




            

    续航
        
            
            
        
        4
    
    
    跑了这1000公里，我差不多冲了三次电，有的时候40-50%的电量我就充电，听说30%以下充电就可以
    
    





            
                

    舒适性
        
            
            
        
        5
    
    
    真心推荐舒适性，真的很舒服尤其是这个可以躺的座椅
    
    




            
            

    外观
        
            
            
        
        5
    
    
    外观大气高端上档次，比较稳重，我比较喜欢这种大气的外型
    
    





            

    内饰
        
            
            
        
        4
    
    
    内饰的材质感觉好像不是特别好，也许和我选的内饰颜色有关系，我这是深色的
    
    





            

    性价比
        
            
            
        
        5
    
    
    性价比很好，比其他车价格低了一倍，性能配置一点也不少
    
    





            

            
                



            



        "
济南车友6412724,2022-02-28 首次发表,"
            
                
                    1500km
                    
                    行驶里程
                
                
                
                    15.0kWh
                    百公里电耗
                
                
                
                
                
                
                
                
                
                
                

                
                    430公里
                    冬季续航
                
                
                    19.58万
                    裸车购买价
                
                
                    2022-01
                    购买时间
                
                
                    济南
                    购买地点
                
            
            
    
    

    
        $(document).ready(function () {
            var koubeiid = 4166092;

        });

    


            
                最满意
                静音、实跑续航非常满意，高速转向车身倾斜度很小，一键睡眠功能强大。
            
            
                最不满意
                自使用以来行驶约1500公里至今未发现令本人不满意的地方。
            

            

    空间
        
            
            
        
        5
    
    
    前排和后排空间都不错，178的个头在车内很宽敞。
    
    






                

    驾驶感受
        
            
            
        
        5
    
    
    起步快，以前开别的车没感觉这种感觉，超车油门一点就OK
    
    






            
                

    操控
        
            
            
        
        5
    
    
    方向灵敏，操作舒适，声音唤醒一键睡眠及其他智能控件。
    
    




            

            




            

    续航
        
            
            
        
        5
    
    
    表显续航里程准确，充电快，冬季是有电损的，但在接受范围之内。
    
    





            
                

    舒适性
        
            
            
        
        5
    
    
    座椅舒服，特别是一键睡眠功能强大，空调效果快，车内无噪音，无异味。
    
    




            
            

    外观
        
            
            
        
        5
    
    
    大灯矩阵式，后尾灯流线好，夜间效果更佳，前头设计大气。
    
    





            

    内饰
        
            
            
        
        4
    
    
    内饰做工精良，无异味，座椅皮质用料好，内饰一些细节还是挺不错的。
    
    





            

    性价比
        
            
            
        
        5
    
    
    性价比高，省汽油费，以前每月汽油费1300多，现在每月用电300多，而且车价本身定位就不高，很中意这款车。
    
    





            

            
                



            



        "
