字段1_文本,字段2,字段3
黔北刁民,2024-02-28 首次发表,"
            
                
                    5000km
                    
                    行驶里程
                
                
                    5.8L
                    百公里油耗
                
                
                
                
                
                
                    20.0kWh
                    冬季电耗
                
                
                
                
                
                
                     63公里
                     冬季续航
                
                

                
                
                    20.00万
                    裸车购买价
                
                
                    2023-12
                    购买时间
                
                
                    遵义
                    购买地点
                
            
            
    
        
            
        
        
            
        
    
    

    
        $(document).ready(function () {
            var koubeiid = 5303016;

        });

    


            
                最满意
                车辆外观很漂亮，驾乘感受也很好，提速快，底盘有质感，亏电油耗低。
            
            
                最不满意
                原车轮胎胎噪声音有点大。平滑的路面不影响，比较粗糙的路面胎噪声大。
            

            

    空间
        
            
            
        
        5
    
    
    我身高1.72米，坐到后排很宽敞，后排座椅还可以前后移动和靠背调节，赞。其它的储物空间也足够。CRV是空间魔术大师，名不虚传。很满意。
    
    
    
    4.7米长的车身，空间肯定不会差。
    


    
    
    尾箱开口低，装载空间大
    


    
    
    后门开启角度达90度，上下车很方便。
    


    






                

    驾驶感受
        
            
            
        
        5
    
    
    由于有电机的加持，起步很轻快，加速动力随叫随到，超车很轻松，转急弯很稳，基本没有侧倾，底盘支撑性很好，开空调一点也不影响动力，高速路上超车动力也是随叫随到，这个混动系统逻辑性很好，发动机介入完全没有感觉，刹车很线性，完全没有突兀感，制动效果也很不错，唯一方向机有一点重，习惯了到也没事。插混还带悬挂软硬调节，很大程度上提升了驾乘质感，大大的福利。
    
    
    
    2.0阿特金森发动机，亏电时动力也足够，本田发动机名不虚传。
    


    
    
    刹车效果很好，双活塞卡钳刹车很线性，100-0公里制动距离37米多，秒杀好多同级车。关键时刻能救命。
    


    
    
    前悬挂下面带二个大大的减震胶套，配合电磁减震技术，行车质感大大提升。
    


    






            

            




            

    续航
        
            
            
        
        5
    
    
    满电满油800多公里以上，实测可以达到900公里，完全没有了续航焦虑。而且纯电续航里程比厂家标的73公里还要高，不玩虚标，赞一个。唯一缺点是只有慢充，有家用充电桩到是不影响。充满电一般需要2.5小时。优点是厂家包充电桩安装，距离30米以内自己不用花一分钱，节约几大千。
    
    
    
    市区冬季实测亏电情况的油耗不会超过6个，很满意。
    


    
    
    厂家送的充电桩看起来质量很不错，安装人员安装得也很规范。
    


    
    
    自己还买了一个外箱，更加安全。
    


    





            
            

    外观
        
            
            
        
        5
    
    
    我选的黑色，沉稳大气，线条流畅，2023款比之前的外观有了很大的进步，更加年轻时尚，动感。尾灯比之前的造型也漂亮很多。车身质感也很好。
    
    
    
    车头年轻时尚，与老款相比，改变很大。
    


    
    
    各个角度都很耐看。
    


    
    
    帅气的尾灯，辨识度很高。
    


    





            

    内饰
        
            
            
        
        5
    
    
    车内座椅座垫够长，长途驾驶不感觉累，内饰用料一般，本田向来不重视内饰的设计和用料，家用确实不影响啥，空调效果不错，很短时间内就有明显的感觉，空间是确实大，后排乘坐空间足够。
    
    
    
    其实中控看起来还可以，简单大方。也不是啥豪华车，感觉不错啦。
    


    
    
    还带可开启全景天窗，面积也足够大。
    


    
    
    按键式换档，用习惯挺好。
    


    





            

    性价比
        
            
            
        
        5
    
    
    买这车当时就看中它的性价比，官降2万，4S优惠3万多，等于优惠了差不多6万，一二年前这个价格想都不敢想，关键是这车的发动机很好，本田的发动机口碑很好，省油耐用，用着心里踏实，后期保养费用也不高，烧的是92号粗粮，省钱省心。
    
    
    
    后排也带出风口和充电接口，这些都是比较实用的配置。
    


    
    
    R18的轮圈，可是比以前的大了一圈，还做了熏黑处理，帅。
    


    
    
    底盘也很规整，比燃油版的底盘做得好很多。
    


    





            
                

    智能化
        
            
            
        
        5
    
    
    带L2辅助驾驶，碰撞预警，车道偏离预警等都很好用，提示及时，不习惯的可以手动关闭，车机流畅度也很好，带全速自适应巡航，实测效果很好，倒车影像也很清晰，也带OTA升级，这个不错，后期地图，系统等有什么需要升级的方便很多，唯一的是车载导航基本不能用，误差太大，只能自己手机导航，但可以用数据连接手机使用车载的百度地图。
    
    
    
    最后大鹏展翅一个，祝车友们2024心想事成。
    


    
    
    另外，这车全系没有行李架，批评一个，自己花钱安装了一套。
    


    




            

            



        "
lw维啊,2024-03-05 首次发表,"
            
                
                    100km
                    
                    行驶里程
                
                
                    3.0L
                    百公里油耗
                
                
                
                
                    12.2kWh
                    春秋电耗
                
                
                
                
                
                
                    73公里
                    春秋续航
                
                
                
                

                
                
                    22.50万
                    裸车购买价
                
                
                    2024-03
                    购买时间
                
                
                    凉山
                    购买地点
                
            
            
    
    

    
        $(document).ready(function () {
            var koubeiid = 5305952;

        });

    


            
                最满意
                最满意的是可油可电，完全没有续航焦虑，前期买车贵，后期用车成本低，放心耐用。底盘质感好，很好开。
            
            
                最不满意
                胎噪较大，车内的静谧性略差，是略，满电情况下还是很安静的。
            

            

    空间
        
            
            
        
        5
    
    
    空间魔法师称号不是浪得虚名。紧凑车做出了中型车的空间
    
    
    
    
    


    






                

    驾驶感受
        
            
            
        
        5
    
    
    省油好开，动力随叫随到，加速顺滑，
    
    
        起步/加速动力
        平顺，低速电，
        
        
    
        刹车灵敏性
        加减速都很线性，加减速都很线性，加减速都很线性，
        
        
    






            

            




            

    续航
        
            
            
        
        4
    
    
    在四川这边，方便且实用。油⚡️混合动力，节省用车成本。
    
    
        表显续航准确性
        表现里程准确，
        
        
    





            
            

    外观
        
            
            
        
        5
    
    
    不太喜欢老款圆润的感觉，新款的设计一下子就长到了我的心窝上。有棱有角甚是喜欢
    
    
    
    
    


    
    
    
    


    
        车头造型
        车头设计很中庸，说不上哪里好说不上哪里不好，像是长在你心上，很耐看。
        
        
    
        车尾造型
        车尾很好看。也很实用。
        
        
    
    
    
    


    





            

    内饰
        
            
            
        
        3
    
    
    用料很好啊，并不像网上说的那么差，空调冷暖快。座椅包裹性很好。坐上去不会塌腰，支撑性很舒服。
    
    
    
    
    


    
        第二排舒适性
        第二排可以前后移动。靠背角度多角度调节真的是太爱了，座姿可以调到一个很舒服的角度，不会觉得累，后备箱空间绰绰有余。带加热，属实很贴心。
        
        
    





            

    性价比
        
            
            
        
        3
    
    
    落地下来23万多，在国产里面有很多的选择，无论是车身尺寸还是车机功能，都好很多。怎么说呢，千金难买我喜欢，在这个把车越做越大，内饰越做越豪华的主流下，坚持本心就好。千金难买我喜欢。
    
    





            
                

    智能化
        
            
            
        
        5
    
    
    智能化相较国产车而言差很多。无论是流畅度，还是功能性像是3G时代的智能手机，在5g的今天多少会显得有些简陋。车的职能就是路上跑，功能越多越是容易让驾驶者分神。不得不表扬一下本田造车的理念，我没有花里胡哨的功能，但是我注重安全。很多人说他车薄，接近两吨的车身我也不知道从哪里来的，总之千金难买我喜欢，看了他的前防撞梁，有人说他防撞梁薄，殊不知他有两个防撞梁，前面为了保护一般小的冲击，如电瓶车，试想一下如果用硬的防撞梁去和这些电瓶车对冲，车身损失倒是小了，可是人员所受的伤害就会增大很多，车值钱还是人值钱，

当车身经历了较大的冲撞，他就会越过第一层防撞梁，来到第二层全铝防撞梁，吸能的同时，油能很突入其来的能量对抗，凭心而论，本田还是很重视驾乘人员的安全保护，全系该有的气囊不会因为配置不同而增减安全配置。
    
    




            

            



        "
陈果果的老爸,2023-03-30 首次发表,"
            
                
                    
                    暂无
                    行驶里程
                
                
                
                
                
                
                
                
                
                
                
                
                

                
                
                    28.99万
                    参考价格
                
                
                    2023-03
                    探店时间
                
                
                    郑州
                    探店地点
                
            
            
    
        
            
        
    
    

    
        $(document).ready(function () {
            var koubeiid = 4886691;

        });

    


            
                新车好评
                新车的造型进行了细节上的升级，中网的造型使用了大尺寸多边型网状结构的设计，在车头的LOGO标志添加了象征新能源的蓝色来点缀还是很好看的，车内我最喜欢的就是后排座椅了不仅空间大，而且座椅靠背的可调节角度也是很大的。
            
            
                新车槽点
                纯电续航只有71公里，而且这个还不支持外放电的功能，这也让开车自驾外出少了很多的乐趣。
            

            

    空间
        
            
            
        
        5
    
    
    作为一台紧凑型SUV，车内的空间还是很大的，前排在座椅调整好坐姿后头顶还有十多公里的距离，而且坐在车里视野也是非常好。在座椅不变的情况下二排的空间那是很大，头顶的空间大概是一拳距离，腿部空间大概有二十多公里的距离，后备箱的空间表现也是相当不错的。
    
    
    
    
    


    
    
    
    


    
    
    
    


    






                

    驾驶感受
        
            
            
        
        4
    
    
    作为老牌畅销SUV，整车的驾驶质感还是非常好的，起步和加速的平顺性都是没有问题的。
    
    






            

            




            

    续航
        
            
            
        
        4
    
    
    纯电续航真的有点不尽人意，不过好在满油满电的综合续航还算不错。
    
    





            
            

    外观
        
            
            
        
        5
    
    
    车的前脸主要是在细节上有些差异，大尺寸多边型网状结构的进气格栅，在车头的LOGO标志添加了象征新能源的蓝色来点缀。这个晶耀白的车漆也是CR-V专属车漆，看上去确实很有质感。
    
    
    
    
    


    
    
    
    


    
    
    
    


    





            

    内饰
        
            
            
        
        4
    
    
    在内饰方面车内采用了10.2英寸的全液晶仪表盘和10.1英寸的中控屏，座椅采用了黑白拼接的皮质材质，坐上去的感觉稍微有点偏硬，不过后排的座椅给我很大的惊喜，座椅靠背可调节角度比较大，能够找到舒服的乘坐姿势。
    
    
    
    
    


    
    
    
    


    





            

    价格政策
        
            
            
        
        4
    
    
    就以最高配28.99万元的锐 混动e+2.0L为例，新车上市基本上没有优惠，所以这个车的落地价基本上就要30了，不过现在店里有置换补贴政策和分期政策，感兴趣的可以咨询一下当地政策。
    
    





            
                

    智能化
        
            
            
        
        5
    
    
    车上常用的智能化配置，前后雷达、360全景影像、倒车预警、自动泊车、可变悬架、HUD抬头显示、手机无线充电、ETC等这些配置在顶配车型上都是有的。
    
    
    
    
    


    




            

            



        "
徒脚走遍世界,2023-03-29 首次发表,"
            
                
                    
                    暂无
                    行驶里程
                
                
                
                
                
                
                
                
                
                
                
                
                

                
                
                    28.98万
                    参考价格
                
                
                    2023-03
                    探店时间
                
                
                    哈尔滨
                    探店地点
                
            
            
    
    

    
        $(document).ready(function () {
            var koubeiid = 4885798;

        });

    


            
                新车好评
                我是丰田荣放2.0汽油版车主，当成买车时也是最先开的本田CR-V。
但由于当时荣放优惠比较大，当时现金优惠38000元，本田那会销量应该在荣放之上，优惠10000元。
所以本着价格优势选择了荣放。
但不可否认的是CR-V的其它优势存在。
这次新款CR-V的新能源上市也是备受瞩目，我觉得给我眼前一亮的是它的外观设计，看着非常舒服，我就比较喜欢简单的外观设计，比如理想品牌。
            
            
                新车槽点
                新款CRV的缺点我认为就是价格偏高，新上市车型优惠力度比较小，在这个内卷的车市，这个价位很难有市场老百姓都会擦亮眼睛。
按照丰田荣放的插电混去对比，预计优惠到油电混的价位估计会受欢迎。
            

            

    空间
        
            
            
        
        4
    
    
    相比老款crv新能源,新款电池做了优化,这使得内部空间使用率更大了，
    
    
    
    
    


    
    
    
    


    






                

    驾驶感受
        
            
            
        
        4
    
    
    新款和老款也有了一定的升级,搭在2.0缸内直喷阿特金森循环发动机,最大功率110kw,老款是107kw,匹配高功率双电机,驱动电机最大功率是135千瓦最大扭矩335牛米,发电机功率120kw,采用宁德时代电池,纯电续航73km,这个续航指数一般般啊,热效率达到41%。急速可达193km,这一方面还是很厉害的。充电方面从原来的4小时缩短到2.5小时,其实最可观的是油箱体积的增加，有原来的26升增加到46.5升油耗。
    
    






            

            




            

    续航
        
            
            
        
        4
    
    
    内饰整体年轻的许多,方向盘的皮手感很好,关键四驱配置第二排地板也是很平整的,而且第二排座椅可以前后移动很多,而且靠背的角度移动幅度也不错,然后流媒体后视镜, HUD, AR实景导航都有,另外这个车最良心的地方是配了10个安全气囊,陡坡缓降也都有。官方百升油耗5.5L,但在北方一般实际油耗都会虚高,综合油耗在6.1L这样。
    
    





            
            

    外观
        
            
            
        
        5
    
    
    我个人比较喜欢本田的外观设计。
看起来更简单一些，而且黑色轮毂配黑色倒车镜先得更年轻，这一点要比荣放好看的多。
    
    
    
    
    


    
    
    
    


    
    
    
    


    





            

    内饰
        
            
            
        
        3
    
    
    纯黑内饰说实话很压抑，而且特别不耐脏。
而且中控的设计已经跟不上现在主流的大连屏了。
只能靠稳定和耐用来实现它最后的价值了。
这一点和荣放旗鼓相当了。
    
    
    
    
    


    
    
    
    


    
    
    
    


    





            

    价格政策
        
            
            
        
        3
    
    
    目前新车优惠2万元，订车周期3周。无赠品。
    
    





            
                

    智能化
        
            
            
        
        3
    
    
    搭在本田3.0智导互联系统,新增液晶仪表卡片钥匙和自动泊车功能,比较实用的一些配置、而且安全方面搭在360安全超感系统，而且这个crv360我发现比我的荣放360清晰度和智能性都高了很多,这一点丰田是真的很无奈啊。
    
    
    
    
    


    
    
    
    


    




            

            



        "
只爱全球车型,2023-08-31 首次发表,"
            
                
                    1680km
                    
                    行驶里程
                
                
                    3.9L
                    百公里油耗
                
                
                
                
                
                    4.3kWh
                    夏季电耗
                
                
                
                
                
                
                    75公里
                    夏季续航
                
                
                

                
                    75公里
                    冬季续航
                
                
                    23.00万
                    裸车购买价
                
                
                    2023-06
                    购买时间
                
                
                    无锡
                    购买地点
                
            
            
    
    

    
        $(document).ready(function () {
            var koubeiid = 5129940;

        });

    


            
                最满意
                才开了1600多公里，总体来说都挺满意的，我上一辆也是CRV，开了15年真的没出现过问题，所以这次换车还是考虑的CRV，别的车我看都没去看，我呢喜欢每年出去自驾游，纯电车不考虑，CRV又是全球车型，23款的插电混动外观真的太吸引我了
            
            
                最不满意
                暂时还没有不满意的地方，等再开个几千公里再来给大家汇报吧
            

            

    空间
        
            
            
        
        5
    
    
    5座空间挺宽敞的，后尾箱又宽又大，非常适合我的用途
    
    






                

    驾驶感受
        
            
            
        
        5
    
    
    动力真的很充沛的，油门提速贼快，挺满意的，谢谢大家的支持
    
    
    
    
    


    
    
    
    


    






            

            




            

    续航
        
            
            
        
        5
    
    
    续航马马虎虎吧！70多到80公里也够了，就算不够亏电油耗也低的很
    
    





            
            

    外观
        
            
            
        
        5
    
    
    买这车首先就是冲着这个外观去的，无论前面还是后面，真的越看越喜欢
    
    





            

    内饰
        
            
            
        
        5
    
    
    内饰颜色挑的全黑，另外还有一个白色，白色不喜欢，所以选的黑色
    
    





            

    性价比
        
            
            
        
        5
    
    
    还行吧，插混官降两万，4S店再优惠两万，又没有购置税，性价比超高
    
    





            
                

    智能化
        
            
            
        
        5
    
    
    用着还可以，没有其它纯电车这么花里胡哨的大电视，不过我就喜欢这样的小屏，毕竟还是专心开车为好，本人觉得大屏有安全隐患🫠
    
    




            

            



        "
donkevin,2021-03-21 首次发表,"
            
                
                    2540km
                    
                    行驶里程
                
                
                    6.2L
                    百公里油耗
                
                
                    14.4kWh
                    百公里电耗
                
                
                
                
                
                
                
                
                
                
                

                
                
                    28.88万
                    裸车购买价
                
                
                    2021-01
                    购买时间
                
                
                    广州
                    购买地点
                
            
            
    
        
            
        
        
            
        
        
            
        
        
            
        
        
            
        
    
    

    
        $(document).ready(function () {
            var koubeiid = 3545189;

        });

    


            
                最满意
                最满意的当然是我这款插电混动的CR-V的燃油经济性。充电情况下，满电能跑80多公里，市区代步出行足够用。出远门的话，油耗又很经济，不充电的情况下，百公里油耗也就是6L出头，非常省钱。
            
            
                最不满意
                没有全液晶的仪表，中控屏尺寸也不算大，内饰设计上不够新潮，还是比较偏传统的造型，没有突出新能源车的前卫。另外就是价格方面，毕竟动力系统更复杂，加入了电机和电池，成本更高了，所以价格对比同级别的汽油版本要贵一些。
            

            

    空间
        
            
            
        
        5
    
    
    本田的车，没有哪辆空间小的，我的CR-V也是一样，后排很宽敞。上个礼拜才带着几个同事，公司一起自驾去团建，车上坐满5个成年男性一样不拥挤。后备箱尺寸很大，而且对比其他的SUV，感觉我这车的地板要更低，放东西的时候不需要抬的更高，很省力。
    
    






                

    驾驶感受
        
            
            
        
        5
    
    
    初段的加速很快，在市区里面80km/h以下的路况行驶，感觉动力很猛。高速上相对低速要弱一些，不过满足超车还是完全够了。总体来讲，如果要和一些动力强劲的2.0T车型比加速，CR-V的优势或许并不明显，但是在同级对比，也能排的上中上水准，对于我的驾驶习惯而言足够。
    
    






            
                

    操控
        
            
            
        
        5
    
    
    开起来和普通的汽油车没有太大的区别，油门和刹车踏板的行程都比较线性，在我的掌控之中。原厂还有可变转向比，低速下打方向的圈数会减少，感觉更灵活，掉头停车很方便。
    
    




            

            




            

    续航
        
            
            
        
        5
    
    
    我平时充电挺多的，因为单位就有充电桩，很方便。市区里面开，满电不开空调的话，跑到80km很轻松，经常都是几天充一次电，也不麻烦。有时候忘记充电，烧油行驶，平均油耗也就是6L多，其他同事朋友都很羡慕我这个油耗。
    
    





            
                

    舒适性
        
            
            
        
        5
    
    
    本田的车一贯不算安静，不过我这款插电式混动的系统因为本身噪音来源就小，所以隔音效果有所提升，观赏窗户之后也还是很安静的。底盘调教很紧凑，整个车身都很稳，没有那种走烂路摇摇晃晃的感觉。
    
    




            
            

    外观
        
            
            
        
        5
    
    
    外观总体和汽油版的CR-V保持一直，不过前脸多了些镀铬饰条，算是作了些区分。我喜欢它的侧面，双色轮毂很漂亮，视觉效果上也十分修长，线条很流畅。
    
    
    
    
    


    





            

    内饰
        
            
            
        
        4
    
    
    按键式的换挡机构很独特，习惯以后操作挺方便的。就是整体的布局造型比较老套，看着没有什么新鲜感。中控的触控反应不算太快，有时候会卡住，像是几年前的安卓机，还不够流畅。
    
    





            

    性价比
        
            
            
        
        4
    
    
    价格肯定算不上便宜，毕竟同价位甚至能买一些豪华品牌SUV的低配了。不过考虑到日后用车能帮我节省回来一些，想象心里也平衡一些
    
    





            

            
                



            



        "
梦想启航16888,2022-10-10 首次发表,"
            
                
                    1980km
                    
                    行驶里程
                
                
                    5.5L
                    百公里油耗
                
                
                
                
                    20.0kWh
                    春秋电耗
                
                
                
                
                
                
                    69公里
                    春秋续航
                
                
                
                

                
                    60公里
                    冬季续航
                
                
                    22.00万
                    裸车购买价
                
                
                    2022-09
                    购买时间
                
                
                    辽阳
                    购买地点
                
            
            
    
        
            
        
    
    

    
        $(document).ready(function () {
            var koubeiid = 4622751;

        });

    


            
                最满意
                用车过程中最满意的就是外观漂亮大气、隔音和细节方面要比燃油版好太多、空间超大、动力方面给力
            
            
                最不满意
                中央扶手箱不喜欢、没有URV大气、中控屏幕太小、只能说够用、
            

            

    空间
        
            
            
        
        4
    
    
    本人身高180、空间那是绝对够用、驾驶位置调好后排可以葛优躺了、为啥没给五星？就是因为中央扶手箱减一分、是真的不喜欢、没有URV、冠道那么大气、最主要按键式档位中间凹下去那么多、要抬起手去点档位
    
    
    
    
    


    
    
    
    


    
    
    
    


    






                

    驾驶感受
        
            
            
        
        5
    
    
    不管是纯电模式还是混动模式都没有顿挫感、运动模式适合超车、动力输出那是相当给力
    
    
        跑高速
        跑高速想超车就按运动模式、
        
        
    
        起步/加速动力
        纯电和混动模式动力都很强劲、想要推背感就选运动模式
        
        
    
    
    
    


    






            

            




            

    续航
        
            
            
        
        4
    
    
    我生活在北方地区、9月份刚买完车、10月初就开始下雪了、天气一直在0度左右、刚提车那会比较热、200块钱油续航里程显示604公里、天冷200块钱油续航500左右、
    
    





            
            

    外观
        
            
            
        
        5
    
    
    外观大气、漂亮、比燃油版要好看很多、车漆薄所以第一时间贴了车衣、要不然崩个石子都能掉块漆
    
    
    
    
    


    
    
    
    


    
    
    
    


    





            

    内饰
        
            
            
        
        4
    
    
    内饰颜色、做工、用料都很喜欢个人觉得很高档、触手都是软皮的、车内异味说真心话不大、我特意买的飞利浦净化器、从开始到现在车内甲醛都没超标过、我以前的车是起亚、座椅真的很硬、日系车的座椅说是沙发一点不过分、很舒适、隔音不能说有多好、至少比燃油版好太多、细节也比燃油版要好不少、跑高速的时候不吵、说话很正常的沟通就可以主动降噪确实很实用、
    
    
    
    
    


    
    
    
    


    





            

    性价比
        
            
            
        
        5
    
    
    性价比没得说、正好国家政策补贴、还免购置税、个人觉得值得入手
    
    
    
    
    


    
    
    
    


    
    
    
    


    





            
                

    智能化
        
            
            
        
        5
    
    
    主要是安全性上面、车道偏离预警、跟车距离、全自适定速巡航、L2级道路辅助驾驶、对于新手来说绝对是安全的保障、对于老司机来说绝对不用因为长时间驾驶感觉疲劳
    
    
    
    
    


    
    
    
    


    
    
    
    


    




            

            



        "
忧郁的小卷羊,2022-05-04 首次发表,"
            
                
                    8000km
                    
                    行驶里程
                
                
                    6.2L
                    百公里油耗
                
                
                
                
                
                
                
                
                
                
                
                

                
                
                    26.00万
                    裸车购买价
                
                
                    2021-10
                    购买时间
                
                
                    咸宁
                    购买地点
                
            
            
    
    

    
        $(document).ready(function () {
            var koubeiid = 4317688;

        });

    


            
                最满意
                乘坐空间大，座椅相对于强混坐起来要舒服很多，家里安了充电桩上下班开充电很方便，充满一次电费八块左右
            
            
                最不满意
                发动机噪音大，后备箱空间因为电池占了一部分所以缩水了很多，放不了多少东西，温度稍微低一点纯电续航就会缩水很多，冬天的时候充满电四十公里不到，车机放音乐经常出现卡顿，要重启才会好，油箱26l太小了，跑个一百公里的地方来回一趟就得往加油站跑，车子不支持快充，要是家里不方便充电的话根本就没办法充电使用，不充电开起来体验极差，车子动力弱，开久了完全没有开快的欲望，车漆薄，新车回来没多久上面很多地方都是小洞洞露出里面的铁皮
            

            

    空间
        
            
            
        
        5
    
    
    本人180，前排后排空间都很大，后排坐下来还有一两拳的距离
    
    






                

    驾驶感受
        
            
            
        
        2
    
    
    动力很慢，开本田的车子已经习惯了老头乐，爬坡有点吃力，日常超个车只要肯给油门都没有太大问题
    
    






            
                

    操控
        
            
            
        
        4
    
    
    方向稳定，车子悬挂偏软，转弯侧倾很大必须减速
    
    




            

            




            

    续航
        
            
            
        
        3
    
    
    刚开始没充电用了两个月平均油耗八九个点，后面充电了现在在5.2
    
    





            
                

    舒适性
        
            
            
        
        5
    
    
    空间大，座椅支撑强，经常会停好车再跑到后排坐着休息
    
    




            
            

    外观
        
            
            
        
        5
    
    
    稳重，黑色的好看，送了行李架，装起来就有越野那个味了
    
    
    
    
    


    





            

    内饰
        
            
            
        
        4
    
    
    中规中矩，空调边上的小饰条没有安紧，会有异响，手按一下就好了，顶配好多东西都用不上，但是必须得有！
    
    





            

    性价比
        
            
            
        
        1
    
    
    没有性价比，不如强混的省心，但是用着也还不错，个人觉得比强混的好看
    
    





            

            
                



            



        "
天一生水2386,2021-08-10 首次发表,"
            
                
                    1286km
                    
                    行驶里程
                
                
                    5.0L
                    百公里油耗
                
                
                    10.0kWh
                    百公里电耗
                
                
                
                
                
                
                
                
                
                
                

                
                
                    24.68万
                    裸车购买价
                
                
                    2021-07
                    购买时间
                
                
                    枣庄
                    购买地点
                
            
            
    
        
            
        
    
    

    
        $(document).ready(function () {
            var koubeiid = 3780219;

        });

    


            
                最满意
                开着静，用着省，提速快，空间大，经常市内开的话最划算的一款车。
            
            
                最不满意
                暂时没发现有什么不满意的地方，油箱小点算一个的话，就这一个。
            

            

    空间
        
            
            
        
        5
    
    
    本人1.83米，以前开思域，轿车的高度跟CRV还是没法比的，后排空间也大，座椅放倒后可当床用，后备厢虽有个突起，并不太影响储物，其实不出远门的话，车里也不太放大件东西。
    
    






                

    驾驶感受
        
            
            
        
        5
    
    
    加速很快，停在有坡的地方换档时有顿挫感，变速厢有声音，问四S店说这很正常，不值得大惊小怪。没跑过高速，不知感受如何。
    
    






            
                

    操控
        
            
            
        
        5
    
    
    操控很灵敏，刹车反应很快，好几个功能还没用过，慢慢用了再写。
    
    




            

            




            

    续航
        
            
            
        
        5
    
    
    厂家送的充电桩，就在家门口，充电很方便。能耗有接受的范围之内，比之前的车省心多了。充电一次十度左右，民用电一度五毛五。
    
    





            
                

    舒适性
        
            
            
        
        5
    
    
    座椅很舒适，后排空间也大，减震很好，新车有点异味，想也正常，空调自动调节温度，很舒服。
    
    




            
            

    外观
        
            
            
        
        5
    
    
    大气，新颖，颜色也很满意，感觉几年内外观方面也不会过时。
    
    





            

    内饰
        
            
            
        
        5
    
    
    传统内饰，没感觉哪里不好，手机互联很方便，车联网响应迅速，内饰材料都差不多，音响效果挺不错，可能高一档的更好些，低配的少几个喇叭。
    
    





            

    性价比
        
            
            
        
        5
    
    
    店员服务态度很好，还专门建了个群，回复我的种种问题，没保养过，以前就开本田，对这个品牌认可度很高。
    
    





            

            
                



            



        "
济南30193,2022-03-29 首次发表,"
            
                
                    17500km
                    
                    行驶里程
                
                
                    1.5L
                    百公里油耗
                
                
                    16.0kWh
                    百公里电耗
                
                
                
                
                
                
                
                
                
                
                

                
                
                    25.98万
                    裸车购买价
                
                
                    2021-07
                    购买时间
                
                
                    济南
                    购买地点
                
            
            
    
        
            
        
    
    

    
        $(document).ready(function () {
            var koubeiid = 4232697;

        });

    


            
                最满意
                电动车的丝滑体验，不是油车所能具备的，360度全景影像必须有，那叫一个满意！家用商用都不掉价，
            
            
                最不满意
                刚购买一段时间导航系统死机，显示内存不足，后换模块解决问题，后备箱错台影响使用功能，稍感遗憾
            

            

    空间
        
            
            
        
        5
    
    
    乘坐空间实至名归，紧凑车型，中大型车的感受，满意
    
    
        ☆ 空间设计亮点
        百变魔术空间实至名归，后排商务体验
        
        
    






                

    驾驶感受
        
            
            
        
        5
    
    
    加速顺滑，只要不是一脚踩到底，发动机一般不会介入
    
    






            
                

    操控
        
            
            
        
        5
    
    
    电子按钮式操控，高科技感，当有乘员满满的新奇发问，也是蛮自豪的
    
    
        ☆ 自动泊车入位
        自动泊车入位体验新鲜，总体评价不错
        
        
    
        ☆ 主动刹车
        多数都能提前警告音提醒，紧急情况下安全带束紧，让人体会到即将发生碰撞
        
        
    
        刹车表现
        刹车舒服，不跑偏
        
        
    
        底盘稳定性
        只要不是急转弯，感觉都蛮舒服舒适，车体厚重感十足
        
        
    




            

            




            

    续航
        
            
            
        
        5
    
    
    小熊油耗，截止今天里程17500公里，电度表跑码2800度左右
    
    
    
    
    


    
    
    
    


    
    
    
    


    
        充电
        多数3个小时左右即可充满
        
        
    
        冬季能耗
        冬季满电60公里左右
        
        
    
        续航里程
        满电满油续行里程大约在450公里左右
        
        
    
    
    
    


    





            
                

    舒适性
        
            
            
        
        4
    
    
    座椅加热，让全家人肯定，尤其是冬季，怎一个舒服来表达
    
    
        ☆ PM2.5过滤装置
        没感觉到噪音
        
        
    
        座椅舒适性
        座椅加热全家人喜爱
        
        
    




            
            

    外观
        
            
            
        
        5
    
    
    外观造型非常满意，尤其是前面和侧面，非常喜欢
    
    
        车灯设计
        喜欢LED，喜欢弯道自动跟随调节功能
        
        
    
        车身做工
        尾门缝隙不均匀是通病，喜欢车体的侧向观感，大气上档次
        
        
    
        车轮设计
        大大方方的米胖子轮胎，满满的喜欢
        
        
    





            

    内饰
        
            
            
        
        5
    
    
    内饰不高调不张扬，满足居家需求，商务也不掉价，知足常乐！
    
    
        ☆ 车联网
        天气预报实时提醒，语音控制等都不错，比我前两台车功能强大多了，还是满满满满的幸福感，知足！
        
        
    





            

    性价比
        
            
            
        
        5
    
    
    车买来是自己用的，不比对比任何人，自己喜欢就是最好的车！
    
    





            

            
                



            



        "
