字段1_文本,字段2,字段3
哭唧唧的小彤彤,2023-11-14 首次发表,"
            
                
                    1000km
                    
                    行驶里程
                
                
                    10.0L
                    百公里油耗
                
                
                
                
                
                
                
                
                
                
                
                

                
                
                    15.90万
                    裸车购买价
                
                
                    2023-10
                    购买时间
                
                
                    上海
                    购买地点
                
            
            
    
    

    
        $(document).ready(function () {
            var koubeiid = 5215029;

        });

    


            
                最满意
                主要还是新款车，保有量小，人无我有，开在路上回头率还是很高，问是什么车的人也很多。
            
            
                最不满意
                1、配置表上写的三色氛围灯竟然是空调旋钮3色。。。顶配氛围灯还是白色一条。
2、噪音是本田通病了，关上车窗，BOSE音响调大声吧。
3、月光蓝真的是洗车蓝，懒人不推荐选这个颜色。
4、车机真的很傻，慢慢等升级吧。
5、车漆真的很薄，有条件还是贴个车衣
            

            

    空间
        
            
            
        
        4
    
    
    座椅偏硬，后排地台较平，后排放个安全座椅，再坐两个女性问题不大，本田毕竟空间魔术师。后备箱自带隔板，需要放大件物品隔板可以收到预留的槽位中很方便。

总体车内储物的地方有点少，前排也没有扶手，家人有些不习惯。
    
    
    
    
    


    






                

    驾驶感受
        
            
            
        
        4
    
    
    
        

        0% buffered00:00播放暂停00:00/00:12倍速2x1.5x1.25x1x0.75x0.5x高清高清全屏切换50%75%100%满屏00:00汽车之家视频播放器  之家首页  复制链接  版本号 : 2.5.32

  
    
      
        
        
          
        
        
          
        
        
      
    
  


    
    

    之前也没开过什么车，但是HRV是SUV的视野，轿车的支撑，方向盘也挺准，转向也挺稳，个人感觉可以。

挂倒档cvt通病，动力不足需要踩油门。

动力不错，中段加速很快，s档超车很轻松
    
    






            

            




            

    油耗
        
            
            
        
        4
    
    
    上海拥堵路段油耗很高，应该没有参考价值。试过小绿叶模式，大概能低1个油左右。高速还好6-7个油。所以市区代步考虑省油建议上混动。
    
    
    
    
    


    





            
            

    外观
        
            
            
        
        4
    
    
    贯穿灯和流水转向灯是当下比较热门的配置，高配的轮毂也非常好看。

月光蓝在大晴天和阴天会有两种不一样的色彩。
    
    
    
    
    


    
    
    
    


    
    
    
    


    





            

    内饰
        
            
            
        
        4
    
    
    比上不足比下有余。和豪华车新能源车不好比，但是同级别车里已经算良心，和人接触的地方都是软性材料了。
    
    
    
    
    


    





            

    性价比
        
            
            
        
        4
    
    
    hrv算六角星战士，15万左右同级别suv拉单项条件来比都很强，比如，比丰田空间大，比美系油耗低，比德系后排地台纯平，比国产就比品牌。。。
    
    





            
                

    配置
        
            
            
        
        4
    
    
    配置的话就看预算了，劲睿是最有性价比的，后期很多东西都可以加装。我是嫌麻烦一步到位算了，顶配的功能基本都用的到，360全景，真皮座椅，bose音响，自动车窗，全液晶仪表，天窗，米其林轮胎大轮毂，大灯多个矩阵的，电动座椅，前排加热。4s店送了雷达，基本齐活，最多再加装一个电尾门家用小车就到位了。

L2辅助驾驶功能很好，自动驻车、ACC巡航、车道居中都很好用，也不算什么新科技了，大家放心大胆使用。
    
    




            

            



        "
tz84veon,2023-09-14 首次发表,"
            
                
                    500km
                    
                    行驶里程
                
                
                    9.5L
                    百公里油耗
                
                
                
                
                
                
                
                
                
                
                
                

                
                
                    14.69万
                    裸车购买价
                
                
                    2023-08
                    购买时间
                
                
                    潮州
                    购买地点
                
            
            
    
        
            
        
        
            
        
        
            
        
        
            
        
        
            
        
        
            
        
    
    

    
        $(document).ready(function () {
            var koubeiid = 5149184;

        });

    


            
                最满意
                本田发动机YYDS，1.5吨多重的车超车只需踩1/2油门就过去了，涡轮启动大概用了1/2秒的时间，对于喜欢激烈驾驶的朋友很适合。我正常开都设置了econ模式，以前开的自吸养成了大油门的习惯，不用econ的话，猛烈加速度会吓自己一跳。设计用料比较用心，17万落地的本田车还能有点高级时尚的感觉。
            
            
                最不满意
                不能遥控一键升降车窗，夏天要开窗换气比较不方便。自带的QQ音乐音质比较一般，没办法设置无损格式。期望后面能改进。
            

            

    空间
        
            
            
        
        5
    
    
    在同级别的suv里面，算是空间比较大的了。后备箱也足够自驾游使用。
    
    






                

    驾驶感受
        
            
            
        
        5
    
    
    HR-V起步线性，油门响应很快，1.5发动机带动这部庞然大物居然可以用轻松来形容！一直打开空调，没有对动力有影响。真皮方向盘精致好看，轻重合适。刹车比较灵敏线性，刹车距离适中。还没有跑过山路和高速路，不过就这几天开下来感觉悬架和隔音都是中等以上的，市区来说表现优秀，无愧于他自封的“城市爬山虎”称号。劲潮的轮胎是邓禄普max050型号，主打操控，其实降噪和舒适性也还行。
    
    






            

            




            

    油耗
        
            
            
        
        4
    
    
    市区油耗不低，但是优秀的动力肯定需要油耗来支撑的。毕竟是辆suv，有那么重，那么宽的车身。经常上高速路应该就可以跑出官宣的数据。
    
    





            
            

    外观
        
            
            
        
        5
    
    
    外观用时尚来形容。进气口蜂窝状网略粗犷，大灯扁长内敛，前脸总体比较大气。车身规整，后视镜和车门用了撞色设计不单调，车窗的镀铬条都省了（呵呵顶配混动也没有），减少金属条可能是本田新车的理念吧！最满意的后门设计，利用熏黑尾灯贯穿设计，提升了视觉宽度。轮毂很亮丽，是整车的加分项。
    
    





            

    内饰
        
            
            
        
        5
    
    
    中控和CRV，CIVIC，INSPIRE，不能说一模一样，只能说如出一辙。有人说复古，我是感觉有档次，整洁。软皮材料用的比较多，本田这次不抠门。后排座椅稍微短了点对大个子比较不友好。总的来说优惠了3万能买到这样的本田车内饰，只能暗爽了！
    
    





            

    性价比
        
            
            
        
        5
    
    
    性价比这个问题看你想要的是什么东西，我买车首先是动力，耐用，保养便宜，大牌子，这些满足了我觉得物有所值了，加上外观和内饰令人赞美，所以HR-V劲潮17万左右落地无疑性价比是高的。顶配的性价比我个人就觉得不高。
    
    





            
                

    配置
        
            
            
        
        5
    
    
    配置丰富体现在4G娱乐导航实用，语音控制很灵敏，辅助驾驶很方便容易上手，路况好的话可以用，市区还是算了。
    
    




            

            



        "
湖北网友213,2023-09-04 首次发表,"
            
                
                    1030km
                    
                    行驶里程
                
                
                    7.5L
                    百公里油耗
                
                
                
                
                
                
                
                
                
                
                
                

                
                
                    13.09万
                    裸车购买价
                
                
                    2023-08
                    购买时间
                
                
                    武汉
                    购买地点
                
            
            
    
    

    
        $(document).ready(function () {
            var koubeiid = 5135077;

        });

    


            
                最满意
                空间:整体空间表现不错，后面坐三个大人不会感觉拥挤，和老款crv空间差不多，不会感觉空间不足。
油耗:本田车跑的越快越省油，市区基本控制在9个以内，郊区7.5左右，估计跑高速会更低一点。
动力:动力比较充沛，深踩油门有推背感！特别是S挡超车时非常从容，能够保持较高的档位与动力储备。起步时油门踩到底有烧胎的现象，动力没得说。
安全辅助系统比较全面，自适应定速巡航 自动跟车 碰撞预警 车道偏离 自动刹车等非常实用。
劲睿版该有的配置都有，都比较实用。
            
            
                最不满意
                做工有待加强，门板和中控挂挡的地方有点松散的感觉。
自动启停每次需要手动关闭
            

            

    空间
        
            
            
        
        5
    
    
    乘坐空间和储物空间非常适合家庭用车需求。在城市中也方便调头和停放
    
    






                

    驾驶感受
        
            
            
        
        5
    
    
    动力随叫随到有推背感，特别是s挡，但是相应的s挡油耗会有所增加，如果不爬坡或者超车基本D挡也是够用。
    
    
    
    
    


    






            

            




            

    油耗
        
            
            
        
        4
    
    
    市区开空调保持9个以内，郊区的话7.5左右，开空调的情况下
    
    
    
    
    


    





            
            

    外观
        
            
            
        
        5
    
    
    外观是我喜欢的类型，比zrv好看，特别是前脸
    
    
    
    
    


    





            

    内饰
        
            
            
        
        4
    
    
    内饰布局可以，有很多储存东西的地方，非常实用
    
    





            

    性价比
        
            
            
        
        4
    
    
    综合性价比挺高，从空间 动力 油耗 配置等综合比较。
    
    
    
    
    


    





            
                

    配置
        
            
            
        
        4
    
    
    L2的自动辅助驾驶系统不错，不过一般的没有标志的路识别不了，高速上很好用。
    
    
    
    
    


    




            

            



        "
徒脚走遍世界,2023-04-10 首次发表,"
            
                
                    
                    暂无
                    行驶里程
                
                
                
                
                
                
                
                
                
                
                
                
                

                
                
                    19.59万
                    参考价格
                
                
                    2023-04
                    探店时间
                
                
                    哈尔滨
                    探店地点
                
            
            
    
        
            
        
    
    

    
        $(document).ready(function () {
            var koubeiid = 4901666;

        });

    


            
                新车好评
                这次试驾HR-V总结亮点有两条，首先，SUV坐姿视野好，其次1.5T动力充沛cvt平顺性很ok，市区代步优于它大哥CR-V。动力方面虽然从数据上看强于大众途岳，但实际试驾起步中段都不如途岳来的更直接，这应该就是cvt和双离合之间的差距。所以数据只能看看，只有实际驾驶才知道它们几斤几两。
            
            
                新车槽点
                这次试驾的是HR-V高配版本，方向盘处两个换挡拨片很搞笑，cvt你给我搞个拨片意义何在？不如减掉这没有实际用途的配置降低指导价更能让老百姓接受。这一点和大众途岳有同样搞笑的是标号92#汽油，但实际还是95#更适合，92#容易出问题，这不是很尴尬的事么？
另外，按照ZR-V的市场表现销量惨淡，优惠的少不如直接CR-V，HR-V的混动版本还是算了，完全没有竞争力。
            

            

    空间
        
            
            
        
        4
    
    
    车内空间表现还是非常不错的，虽然定位在CR-V和XR-V之间，但实际乘坐体验和数据确实和老款CR-V几乎一模一样，对于一家三口这是黄金比例空间，因为轴距的原因，小车在市区的驾驶感以及停车都是具有一定优势的，咱不能一味地只考虑坐进去多么多么大，而是要综合考虑实际用车感受，另外后备箱大小属于适中没有什么亮点，不过第二排座椅放倒的平整度还是可圈可点的，这一点要比途岳舒服的多。
    
    
    
    
    


    
    
    
    


    
    
    
    


    






                

    驾驶感受
        
            
            
        
        4
    
    
    本田的发动机大家有目共睹，实际上买本田咱不就是奔着发动机去的么？
这次我们先聊数据，HR-V最大KW134.扭矩240Nm，而途岳最大KW118，最大扭矩250Nm，账面看本田更胜一筹，但实际驾驶还是途岳稍强一点点，这事我想咱们老司机心里都清楚，当然动力是大众的强项这事不服不行。
这次HR-V在实际驾驶过程中涡轮的介入非常舒服，在市区配合cvt的变速箱舒适性要比途岳好很多，毕竟市区车多，平顺性才是舒适性的关键所在，而且车身小于CR-V在转弯超车情况下显得灵活很多，这次最值得让我关注的就是本田的刹车制动要比我想象中好很多，应该是做了新的调校和配置，因为在我的印象里德系的刹车一贯的出色，而这次本田HR-V也有了如此的表现很是意外、另外本田的发动机声音是真的好听。
    
    
    
    
    


    
    
    
    


    
    
    
    


    






            

            




            

    油耗
        
            
            
        
        5
    
    
    官方数据就不说了，本田的发动机省油是毋庸置疑的，参考ZR-V实际市区7升左右是个常态，长途6升，妥妥的家用经济型，极限动力输给途岳的同时，油耗妥妥的扳回一局。
    
    





            
            

    外观
        
            
            
        
        4
    
    
    HR-V无论是外观还是内饰，其实和新款CR-V都非常想象，很多神似的地方，特别是前脸中网标镀铬贯穿大灯亮条，看起来干净利索，给人非常爽快的感觉，符合我的审美，简单干净，虽没有什么亮点，但完全不突兀，侧面线条简单，后备箱有点小溜背的感觉，整体看着稍显运动，这个设计是我喜欢的类型。
    
    
    
    
    


    
    
    
    


    
    
    
    


    





            

    内饰
        
            
            
        
        4
    
    
    内饰我不想过多描述，因为我这次看的是高配车型，肯定不是实际销售的主力车型，咱不能都拿高配来说事，谁家的高配都好，所以标配才是关键，所以内饰优点坐垫包裹性非常好，软硬度很好，坐姿正，其它无明显亮点。
    
    
    
    
    


    
    
    
    


    
    
    
    


    





            

    价格政策
        
            
            
        
        3
    
    
    目前预售阶段，价格我们可以参考ZR-V 1.5T 15.99W-19.59W。（混动就没有必要研究了，起步的价格都18W了，主力配置在21W所以，这个价位没有市场是一定的了，我总不能颠倒是非，我怕被喷。）因为预算阶段，所以优惠多少也只能参照ZR-V，现金1.5W左右。
目前订车周期2周左右，店内无强制上商业险等捆绑业务。
    
    





            
                

    配置
        
            
            
        
        3
    
    
    因为没有正式上市，所以最低配和次低配并没有实际看到实车，所以具体详细的配置大家还要等一等官方消息，但HR-V如果想要得到老百姓的口碑只有一点，就是定价实在或者有一个较大的优惠力度，必须和CR-V拉开价格差。另外HR-V的混动版本我觉得没有市场空间，当然不是主力车型，毕竟它的汽油版本油耗已经很经济了，而且它的1.5T涡轮对于这个车的重量和实际表现已经超过大部分同级别对手，比如cx-30，逍客，奕泽，等等，所以这个混动的存在意义就不大，混动的价格就不如上纯油更高级别的车，换句实在的话混动的价格买个比亚迪护卫舰那岂不是嘎嘎的香！！
但话说回来，如果价格到位，本田家用还是无敌般的存在，毕竟稳定经济才是家用的首先！！一句话总结‘老百姓的钱要花在刀刃上’。
    
    
    
    
    


    
    
    
    


    




            

            



        "
凉山车友9887867,2024-01-28 首次发表,"
            
                
                    2000km
                    
                    行驶里程
                
                
                    7.3L
                    百公里油耗
                
                
                
                
                
                
                
                
                
                
                
                

                
                
                    12.80万
                    裸车购买价
                
                
                    2023-12
                    购买时间
                
                
                    成都
                    购买地点
                
            
            
    
        
            
        
    
    

    
        $(document).ready(function () {
            var koubeiid = 5287605;

        });

    


            
                最满意
                最满意
买它就是图他是本田地球梦发动机,故障率低省心，1.5吨多重的车超车只需踩一点油门就过去了，涡轮介入快，设计用料比较简单。
刹车比较灵敏，刹车距离刚好。跑过山路感觉不错，不过就这几天开下来感觉悬架和隔音都是中等以上的，没有网上那么夸张还能接受。
            
            
                最不满意
                内饰比较简单，看起来没有质感，虽然主打三大件还是希望以后用点心
            

            

    空间
        
            
            
        
        5
    
    
    一家人坐在里边空间都还是不错，将就用。中间的人可能稍微挤一点。但是一般都坐不满。
    
    






                

    驾驶感受
        
            
            
        
        5
    
    
    刹车灵敏度很高，加速也很快，
    
    
        跑高速
        高速行驶平稳，不发飘，比较稳，胎噪还能接受吧
        
        
    






            

            




            

    油耗
        
            
            
        
        5
    
    
    平时跑过市区也跑过高速。市区的话油耗稍微高一点。大概在七八个。高速的话省油一点。但是新车还不稳定。还要多跑点公里数才能稳定。
    
    





            
            

    外观
        
            
            
        
        5
    
    
    车头很大气车身线条明显主要是喜欢圆润的尾部贯穿式尾灯晚上看起来很漂亮。
    
    





            

    内饰
        
            
            
        
        4
    
    
    内饰的话比较简单，没有那么豪华。劲睿是不带天窗的，但是我也不喜欢天窗。
    
    





            

    性价比
        
            
            
        
        5
    
    
    10多万预算的，其实选择hrv也是个不错的选择。毕竟是1.5t家用还可以。
    
    





            
                

    配置
        
            
            
        
        5
    
    
    这款车有L2级别驾驶辅助功能，一键启动倒车影像还有语音识别，无钥匙进入，加热后视镜折叠。
    
    




            

            



        "
北京车友1953286,2023-12-21 首次发表,"
            
                
                    500km
                    
                    行驶里程
                
                
                    7.6L
                    百公里油耗
                
                
                
                
                
                
                
                
                
                
                
                

                
                
                    12.60万
                    裸车购买价
                
                
                    2023-11
                    购买时间
                
                
                    成都
                    购买地点
                
            
            
    
        
            
        
    
    

    
        $(document).ready(function () {
            var koubeiid = 5251615;

        });

    


            
                最满意
                1.5T的发动机市区通勤代步动力储备足够了，而且也用不到那么多，毕竟都是走走停停，赶上早晚高峰大多数都是堵车，所以这个时候就得看平顺性了。好在HR-V用的是CVT变速箱，不管是起步还是低速跟车行驶的时候，都没有所谓的顿挫感出现，这样开起来就蛮舒服。
            
            
                最不满意
                内饰设计比较简单希望以后能注重下内饰设计吧。。。。
            

            

    空间
        
            
            
        
        5
    
    
    HR-V的后排空间还是比较宽敞的那种，后排坐三个人挺轻松的，真要是后排坐四个人也没啥的。拿我自己来说吧，我不到一米八的身高，体型偏壮坐在后排，膝盖还有将近两拳的距离，腿脚活动没啥问题，坐着也蛮舒服，主要是座椅确实软乎。
    
    






                

    驾驶感受
        
            
            
        
        5
    
    
    油耗能接受加92，养得起换挡不顿挫值得下手
    
    
        方向盘轻重
        不重很好控制
        
        
    






            

            




            

    油耗
        
            
            
        
        5
    
    
    7.6左右，说的新车开一段时间后还会降拭目以待
    
    





            
            

    外观
        
            
            
        
        5
    
    
    我对外观颜值倒是没有特别强烈的需求，个人觉得外观只要不难看就行。
    
    





            

    内饰
        
            
            
        
        4
    
    
    比较简单没啥亮点希望以后多多改造，功能还挺多的总体来说够用
    
    





            

    性价比
        
            
            
        
        5
    
    
    最后做个小总结吧，HR-V这车感受不错，不论是动力还是平顺性都合适，而且油耗也不高。空间确实是宽敞，日常家用绰绰有余。外观年轻还运动，整体的线条饱满圆润。总之，HR-V的表现让我满意，没什么短板。
    
    





            
                

    配置
        
            
            
        
        5
    
    
    有ACC自适应巡航，能自动跟车，有低俗跟随，配上车道保持还有偏离预警，还是挺安全的。
    
    




            

            



        "
孙帅,2023-11-22 首次发表,"
            
                
                    3000km
                    
                    行驶里程
                
                
                    7.8L
                    百公里油耗
                
                
                
                
                
                
                
                
                
                
                
                

                
                
                    12.90万
                    裸车购买价
                
                
                    2023-09
                    购买时间
                
                
                    成都
                    购买地点
                
            
            
    
        
            
        
    
    

    
        $(document).ready(function () {
            var koubeiid = 5222497;

        });

    


            
                最满意
                现在觉得操控性在这个价位也还可以，家用车动力够了，平时走的平路比较多，整体来说各个方面都很不错
            
            
                最不满意
                劲睿版是17寸轮毂，还是高配
18寸的安逸，发工资就去改个18寸的轮毂
            

            

    空间
        
            
            
        
        5
    
    
    虽然比他的大哥小一点，但是后排座椅可以放倒，还是比较不错，反正够用
    
    






                

    驾驶感受
        
            
            
        
        5
    
    
    我觉得方向盘灵敏度非常高，跑起来感觉也不飘，驾驶过程中也比较平顺
    
    






            

            




            

    油耗
        
            
            
        
        5
    
    
    目前跑了3000公里，综合油耗7.8左右再跑一段时间看一看吧，现在还不准
    
    





            
            

    外观
        
            
            
        
        5
    
    
    我非常喜欢它的外观，我觉得比其他车型好看
    
    





            

    内饰
        
            
            
        
        5
    
    
    车子内饰没有仔细研究，这个版本不带天窗，没有电动座椅，将就吧
    
    





            

    性价比
        
            
            
        
        5
    
    
    当时优惠还是比较可以，还有刚好遇到补贴而且还有置换补贴，总的来说，优惠了三万多
    
    





            
                

    配置
        
            
            
        
        5
    
    
    基本的八个喇叭，倒车影像，L2级别驾驶辅助功能都有
    
    
        语音交互准确度
        语音识别还可以，发出的指令还是能识别，将就吧，总体来说没有十全十美的车，够家用省油省心就行
        
        
    




            

            



        "
LV1秋天不回来,2023-10-27 首次发表,"
            
                
                    650km
                    
                    行驶里程
                
                
                    6.0L
                    百公里油耗
                
                
                
                
                
                
                
                
                
                
                
                

                
                
                    12.69万
                    裸车购买价
                
                
                    2023-10
                    购买时间
                
                
                    运城
                    购买地点
                
            
            
    
    

    
        $(document).ready(function () {
            var koubeiid = 5198841;

        });

    


            
                最满意
                动力很好，三大件稳定，安全配置高，油耗也相当美丽。
            
            
                最不满意
                胎噪，劲睿版不知道什么胎，特别吃路面，路面好基本没啥声音，路面不好胎噪很美丽。
            

            

    空间
        
            
            
        
        5
    
    
    空间很大，后排也很大，满载也不拥挤，后备箱也还可以。
    
    
        ☆ 空间设计亮点
        后排空间很大，只比crv少几公分，相当可以。
        
        
    






                

    驾驶感受
        
            
            
        
        5
    
    
    一脚油门就窜出去了，动力很好，当时就是看中这个动力。
    
    






            

            




            

    油耗
        
            
            
        
        5
    
    
    市区不暴力驾驶，油耗还是相当美丽的，代步车还是可以的。
    
    
    
    
    


    





            
            

    外观
        
            
            
        
        5
    
    
    除了喇叭小和大灯不亮外，其他都还可以，特别是白色，显大还耐脏。
    
    





            

    内饰
        
            
            
        
        3
    
    
    内饰就一般般，该有的功能都有就行，其他就不挑剔了，毕竟合资车内饰就那尿性。
    
    





            

    性价比
        
            
            
        
        5
    
    
    还可以，白色落地15，性价比还是很高的，强烈推荐购买。
    
    





            
                

    配置
        
            
            
        
        4
    
    
    除了倒车雷达没有，其他配置都够用，360对老司机来说也没那么必须的。
    
    




            

            



        "
紫嫣怡帆,2023-09-07 首次发表,"
            
                
                    800km
                    
                    行驶里程
                
                
                    8.0L
                    百公里油耗
                
                
                
                
                
                
                
                
                
                
                
                

                
                
                    13.00万
                    裸车购买价
                
                
                    2023-08
                    购买时间
                
                
                    郑州
                    购买地点
                
            
            
    
    

    
        $(document).ready(function () {
            var koubeiid = 5139429;

        });

    


            
                最满意
                外观好看，适合年轻人开，和crv没啥区别，便宜两三万加油，买肉吃也挺香，底盘和开关车门都有厚重感，车顶属于低趴类型，本田安全辅助系统挺牛。操控挺好，新手司机都能开，视野比轿车好，但是操控和轿车差不多。开过之后我都不想开俺家轿车了。现在本田都放低身段了。优惠三万左右，隔以前最多优惠一万八，两万左右，现在诚意满满。对比了探歌，途岳，星脉罗没去试驾，可能试驾之后会喜欢星脉罗，途岳同价位配置寒酸，试驾混动hrv提速真快。开着挺爽，比劲锐版多一万多块钱。有喜欢可以选择混动。
            
            
                最不满意
                后备箱间隙有点大，跑高速速度80之后胎噪挺大，可能这款是玛吉斯轮胎，以后的更换，加满油一箱四百多块钱。续航六七百那样，感觉也不省油。可能出门都开空调原因，现在本田车都能优惠两三万，确实不错，底盘有厚重感，劲锐版没有电动尾门，开关后备箱有点沉。没有倒车雷达，对新手司机不太友好。总之车不错，和crv区别不大，省个两三万加油挺香。车载usb安上不能用。不懂啥原因。白色加两千不能理解。感觉黑武士也挺漂亮，回头率杠杠的。
            

            

    空间
        
            
            
        
        5
    
    
    本田魔术座椅也不是浪得虚名。后排座椅支持完全放倒，晚上拉着老婆出去交流交流感情也是完全够用。
    
    






                

    驾驶感受
        
            
            
        
        5
    
    
    加速需要慢慢来，毕竟cvt变速箱，不能急。佛系开车。不比大众双离合开着还是挺轻松。
    
    
    
    
    


    
    
    
    


    






            

            




            

    油耗
        
            
            
        
        4
    
    
    表显示8L出门都空调。高速六个多。
    
    
        开空调油耗
        8l左右，高速会低，平时城镇用车。一箱油，四百多块钱，续航六七百。
        
        
    





            
            

    外观
        
            
            
        
        5
    
    
    外观是我的最爱，开出去回头率杠杠的。黑武士多好看，何必买白色加两千呢？？
    
    





            

    内饰
        
            
            
        
        5
    
    
    还可以，希望很多软东西需要去买国产，合资车，该软，该硬拿捏死死。
    
    





            

    性价比
        
            
            
        
        5
    
    
    比途岳好看，比探歌大点。回头率高。本人喜欢，家里俩车都白色，所以这次买黑色。
    
    





            
                

    配置
        
            
            
        
        5
    
    
    平时用的都有，倒车影像，没有雷达，无钥匙进入，无钥匙启动，买个usb128g下载歌曲安上不管用。不懂咋回事。没有天窗，本人也不喜欢。轮毂小点，后期还得改。
    
    
        OTA更新体验
        可以，用着挺好。
        
        
    
        车机功能及流畅度
        很流畅，暂时没啥不妥。
        
        
    




            

            



        "
0rtqv8cy,2023-07-25 首次发表,"
            
                
                    3000km
                    
                    行驶里程
                
                
                    9.5L
                    百公里油耗
                
                
                
                
                
                
                
                
                
                
                
                

                
                
                    13.90万
                    裸车购买价
                
                
                    2023-07
                    购买时间
                
                
                    乌鲁木齐
                    购买地点
                
            
            
    
    

    
        $(document).ready(function () {
            var koubeiid = 5071158;

        });

    


            
                最满意
                最满意的应该是空间了，一家四口，无论出去玩，还是上下班代步，足足的。后排可以放倒，玩累了，还可以躺着休息一下。最满意的还有动力，谁叫谁到！红绿灯永远是第一个，俗话说我可以不要，但是你不能没有。还有外观，一直想买一个不大不小的合资SUV，也看了好多车，最早看的是雪佛兰的星迈罗，无奈销售太牛了，爱搭不理的，也就果断放弃了，。上一辆是轿车，所以这次不想开轿车了，看来看去唯有hrv最中意，侧面是我最喜欢的，小卡宴。还有轮毂也是我比较喜欢的样式，有的车轮毂太难看，车买回来了，还要二次花钱去更换轮毂，又是黑色的显的高端大气上档次。
            
            
                最不满意
                1，劲睿版本的不带天窗。一直想买个带天窗的，但是如果要天窗价格又超出预算了，不过也能接受。
2，做工不是特别好，说实话比不上我原来开的车的做工，但是本田车标可以弥补这一块。
            

            

    空间
        
            
            
        
        5
    
    
    本人身高179，做到后排，腿有3拳的距离，头顶还有1拳多的距离，媳妇167，加两个孩子，一家四口，一点问题没有。后排出风口挺不错的值得表扬，不用的时候可以关闭，后备箱大小也够用，平常装一些杂物啊啥的，都可以装的下，后排的充电口也挺不错的，小孩子在后面玩手机时候可以排上用场了。
    
    
        ☆ 空间设计亮点
        后排中间几乎全平，后排座椅放倒有一点点坡度。
        
        
    






                

    驾驶感受
        
            
            
        
        4
    
    
    动力没话说，只要你给油，它就走，超车无压力，，红绿灯起步暂时都是第一个，开空调对动力基本没啥影响，方向盘还挺好的，略微的有点重，女生开的话，可能会有一点影响，男生来说，没所谓。刹车超出我的想象，这个车的刹车比以往的本田车要好的多，而且比较平。弯道超车也是没有问题的，动力源源不断
    
    
    
    
    


    






            

            




            

    油耗
        
            
            
        
        3
    
    
    乌鲁木齐市区还是比较堵车的，油耗基本在9.5左右，高速油耗在7.5-8个之间，还是希望做完首保后油耗能在底一些。
    
    
        城市油耗
        本田车油耗是一大亮点，我原来的轿车都9.3左右，这么大的SUV才9.5完全可以接受的
        
        
    





            
            

    外观
        
            
            
        
        5
    
    
    外观满意，是理想中的样子，侧面特别漂亮，
    
    
    
    
    


    





            

    内饰
        
            
            
        
        4
    
    
    内饰还可以吧，我对内饰的要求不太高，做工要是能提成就更好了，
    
    





            

    性价比
        
            
            
        
        4
    
    
    买车之前去看过雪佛兰的星迈罗，丰田的威兰达，三菱的欧蓝德，最后都是因为外观不太满意，一眼看上HRV的外观了，果断提车了，
    
    
        售后服务
        售后也挺好的，接待我的是丁经理，介绍的特别详细，该送的都送了，比较满意的一次购车体验了
        
        
    





            
                

    配置
        
            
            
        
        5
    
    
    本田这次也感觉到压力了，也在配置这一块下功夫了，车级系统还行吧，倒车影像，无钥匙进去系统，手机远程启动，自动锁车，倒车后视镜自动变化，自适应灯光都有
    
    




            

            



        "
