字段1_文本,字段2,字段3
树哥1999,2024-02-13 首次发表,"
            
                
                    1800km
                    
                    行驶里程
                
                
                    6.2L
                    百公里油耗
                
                
                
                
                
                
                
                
                
                
                
                

                
                
                    15.79万
                    裸车购买价
                
                
                    2024-01
                    购买时间
                
                
                    上海
                    购买地点
                
            
            
    
    

    
        $(document).ready(function () {
            var koubeiid = 5294870;

        });

    


            
                最满意
                1 购车价格很有性价比，不包括置换补贴，才15.8W，还有两年贴息补贴，置换补贴。2 高速油耗很低，车很宽敞，后备箱很大。3 大灯很亮。4 高速开启自适应巡航很轻松。5 高速油耗很低，春节车流很大，油耗能开到6.2，牛，包括30公里上海高架和30公里乡镇道路，其余全程高速。6 开这个车就怀恋我以前的小明锐了。油耗也很低，车也耐开。7 原来建议斯柯达车头格扇更立点就好了，现在新款速派我看真是这样设计的。
            
            
                最不满意
                外观总体很满意，车屁股不是太好，特别是尾部一个大黑条真是败笔。白色不是我的最爱。还有就是后排隆起确实不好。倒车镜倒车能自动折叠就好了，四轮胎压能适时监控就好了。
            

            

    空间
        
            
            
        
        5
    
    
    空间很大，买这车就是看中空间，后备箱能放，回家过年啥都能放了。原来开的明锐也很能放。
    
    
    
    
    


    






                

    驾驶感受
        
            
            
        
        5
    
    
    2.0T动力肯定杠杠的，油门踏板很轻，脚轻轻一点，马上就有响应，超车很轻松，方向盘指向精准。特别是自适应巡航，不是转弯车道，开启很舒服，车流量大也合适，就握好方向盘就行了，胆子小可以把脚放刹车上。安全距离能自动减速停车，不用太费心。
    
    
    
    
    


    






            

            




            

    油耗
        
            
            
        
        5
    
    
    油耗很低，达到6.2，这个包括30公里上海高架，30公里乡镇道路，其余高速，全程自适应巡航，春节车流量大，不堵车。空调一直开着20度，全程4人，后备箱满载，空调也开了。
    
    
    
    
    


    
    
    
    


    





            
            

    外观
        
            
            
        
        5
    
    
    外观造型轮廓分明，进气格扇大气，白色也很好看，越看越喜欢。不过我还是喜欢灰色或者网上那个蓝色
    
    
    
    
    


    
    
    
    


    
    
    
    


    





            

    内饰
        
            
            
        
        5
    
    
    内饰还行吧，家用够了。中规中矩，谈不上多高级。全景天窗也很好，开车后排看看天空不那么压抑。座椅还有通风功能。大灯很亮，自动开启。
    
    
    
    
    


    





            

    性价比
        
            
            
        
        5
    
    
    性价比肯定够了，我第一辆车是明锐，中间公司给了一辆7座SUV。买柯迪亚克就是对斯柯达的热爱，还有就是看上性价比，好开不费心。
    
    
    
    
    


    





            
                

    配置
        
            
            
        
        4
    
    
    配置家用还行吧，空间也大。特别自适应巡航好用。大灯很亮，全程开启自适应大灯，不用费心。还有感应雨刮，阴雨天开车很丝滑，不像前面车，没有感应雨刮，很不方便。这车后玻璃也是感应雨刮，下雨开车方便多了。
    
    




            

            



        "
李梅,2023-08-27 首次发表,"
            
                
                    65km
                    
                    行驶里程
                
                
                
                
                
                
                
                
                
                
                
                
                

                
                
                    19.50万
                    裸车购买价
                
                
                    2023-08
                    购买时间
                
                
                    合肥
                    购买地点
                
            
            
    
    

    
        $(document).ready(function () {
            var koubeiid = 5122468;

        });

    


            
                最满意
                柯迪亚克整体上颜值非常高，7座非常适合家用，开起来起来也非常的丝滑
            
            
                最不满意
                目前为止没有什么不满意的，都非常非常的满意
            

            

    空间
        
            
            
        
        5
    
    
    空间真的非常大，就算是体型比较大的人坐在后面，后排的空间也是非常大的，后排空间也非常大，非常的实用
    
    
    
    
    


    
    
    
    


    
    
    
    


    






                

    驾驶感受
        
            
            
        
        5
    
    
    驾驶感受非常的棒，然后车辆的转向系统也比较灵敏。速度非常快
    
    
    
    
    


    
    
    
    


    
    
    
    


    






            

            




            

    油耗
        
            
            
        
        5
    
    
    油耗也比较低，在市区上班，开也没有很高的油耗，非常的省钱
    
    
    
    
    


    





            
            

    外观
        
            
            
        
        5
    
    
    车子的外观真的是没话说了，线条流畅设计风格我很喜欢，满满的科技感，简直就是我的车
    
    
    
    
    


    
    
    
    


    
    
    
    


    





            

    内饰
        
            
            
        
        5
    
    
    内饰的设计还是比较大气的，配置也很齐全，看起来也非常豪华，非常符合我的气质
    
    
    
    
    


    





            

    性价比
        
            
            
        
        4
    
    
    车子的性价比就不用说了，这个价格买到了7座的车，而且颜值动力油耗，各个方面都非常的突出，非常的满意，下次还来
    
    
    
    
    


    
    
    
    


    





            
                

    配置
        
            
            
        
        5
    
    
    配置都非常的齐全，满足了我的所有要求，非常的奈斯
    
    
    
    
    


    




            

            



        "
上海车友6866544,2023-05-13 首次发表,"
            
                
                    4100km
                    
                    行驶里程
                
                
                    8.0L
                    百公里油耗
                
                
                
                
                
                
                
                
                
                
                
                

                
                
                    17.89万
                    裸车购买价
                
                
                    2023-01
                    购买时间
                
                
                    上海
                    购买地点
                
            
            
    
    

    
        $(document).ready(function () {
            var koubeiid = 4957780;

        });

    


            
                最满意
                首先是价格，落地十九万多，动力好，2.0T大心脏，油耗我最低开到7点几，真的省，
            
            
                最不满意
                这个七座我觉得就是噱头吧，第三排真的太小了，压根做不了大人，小孩还可以勉强坐坐，内饰方面用这么多塑料件干嘛😂，弄软和点不好吗
            

            

    空间
        
            
            
        
        4
    
    
    空间可以，
    
    
    
    
    


    
    
    
    


    
        乘坐空间
        身高180坐进去还有一拳左右的的空看
        
        
    
        后备厢容积
        后备箱装个五六个行李箱我觉得一点问题都没有，虽然目前没有实际装过
        
        
    
    
    
    


    
        车内储物能力
        还是比较能装的，就是里面不能放一些零零散散的东西，会比较不隔音，
        
        
    
    
    
    


    
    
    
    


    
    
    
    


    
        第二排空间
        我身高180坐进去空间充足
        
        
    
    
    
    


    






                

    驾驶感受
        
            
            
        
        5
    
    
    只要舍得给我油，超车一点问题没有，真的，跑高速也是稳如老狗
    
    
    
    
    


    
        起步/加速动力
        起步比我之前1.6自然吸气的好太多了，动力也是随叫随到
        
        
    
        跑高速
        急加速情况下动力反馈也很及时，超车很有信息
        
        
    






            

            




            

    油耗
        
            
            
        
        5
    
    
    这是我在郊区用车，当然现在天气还没开空调，我相信即使开空调应该也不会有太多的涨幅吧
    
    
    
    
    


    
        城市油耗
        我记得有一次市区，很堵，油耗大概在10个左右吧
        
        
    





            
            

    外观
        
            
            
        
        4
    
    
    看着还是有点唬人的🤭，家里人都说看着硬朗，大气
    
    
    
    
    


    
    
    
    


    
        车身做工
        外表摸起来挺硬朗
        
        
    
        车头造型
        四个字，硬朗，大气
        
        
    
    
    
    


    
        车尾造型
        个人感觉车尾造型一般，没有途观好看
        
        
    
    
    
    


    
        腰线设计
        时尚沉稳，还是很运动的
        
        
    
    
    
    


    





            

    内饰
        
            
            
        
        3
    
    
    刚提车味道有点大，开了窗户两三天就好了，感觉前排还好，后排塑料感太强，一模都是硬邦邦的
    
    
    
    
    


    
    
    
    


    





            

    性价比
        
            
            
        
        3
    
    
    买车时赠送了终身质保，五年的保养，还是不错的，之前后面用车不用担心
    
    
        购车优惠
        购置税减半很给力
        
        
    





            
                

    配置
        
            
            
        
        4
    
    
    自带的无线手机连接，手机无线充电，点到辅助，ACC，这些功能很实用，液晶仪表盘显示的东西挺全面
    
    
    
    
    


    
    
    
    


    
    
    
    


    




            

            



        "
akjfrirp19g,2023-05-04 首次发表,"
            
                
                    5300km
                    
                    行驶里程
                
                
                    8.0L
                    百公里油耗
                
                
                
                
                
                
                
                
                
                
                
                

                
                
                    18.09万
                    裸车购买价
                
                
                    2023-02
                    购买时间
                
                
                    宝鸡
                    购买地点
                
            
            
    
        
            
        
    
    

    
        $(document).ready(function () {
            var koubeiid = 4942924;

        });

    


            
                最满意
                最喜欢的还是柯迪亚克的外观时尚大气，整车线条感特别犀利，给人一种力量感，而且听销售顾问讲柯迪亚克引擎盖采用双V型的设计语言，代表胜利✌的意思！还有就是柯迪亚克前脸配备了RS的运动风格套件，使整车风阻系数有效降低，太赞了！，
            
            
                最不满意
                唯一有点遗憾的是德系车后排都是有隆起，人多的时候后排中间的人乘坐会有一点点不舒服
            

            

    空间
        
            
            
        
        5
    
    
    超大的空间也是选择这款车的理由，车身长度4701cm宽度1883cm轴距2791cm给家人可以带来比较好的驾乘体验！
    
    
    
    
    


    






                

    驾驶感受
        
            
            
        
        5
    
    
    柯迪亚克配备了2.0T的发动机与之匹配的7速湿式双离合变速箱也是大众集团黄金动力组合，加速的时候非常平顺，动力也是随叫随到
    
    
    
    
    


    






            

            




            

    油耗
        
            
            
        
        5
    
    
    用车这么长时间了油耗也是给我大大惊喜，之前想着这么大的排量可能需要10L的油耗，使用中发现最低平均油耗可以做到5.2L
    
    
    
    
    


    





            
            

    外观
        
            
            
        
        5
    
    
    德系车总能给人那种棱角分明的感觉，我就非常喜欢
    
    
    
    
    


    





            

    内饰
        
            
            
        
        5
    
    
    符合人体工程学的运动式一体座椅，驾驶的时候也是非常舒服，座椅采用不等密度发泡棉，软硬适中！
    
    
    
    
    


    





            

    性价比
        
            
            
        
        5
    
    
    也看了好多车，最后选择柯迪亚克，还是他的高性价比，途观也看过同配置价格要差3万多！销售也从方方面面讲的比较到位，也很有耐心，买车只是开始，用车这么长时间了，但凡车上有什么不懂问销售，态度也是一往如初
    
    





            
                

    配置
        
            
            
        
        5
    
    
    大众目前最先进的车机还是非常好用，像我这种平时喜欢用手机互联的人，经常会忘记带数据线，柯迪亚克的无线连接还是非常好用，而且车上还有无线充电，太赞了！
    
    
    
    
    


    




            

            



        "
拼搏中的老男孩,2023-02-02 首次发表,"
            
                
                    3800km
                    
                    行驶里程
                
                
                    10.0L
                    百公里油耗
                
                
                
                
                
                
                
                
                
                
                
                

                
                
                    20.49万
                    裸车购买价
                
                
                    2022-10
                    购买时间
                
                
                    重庆
                    购买地点
                
            
            
    
    

    
        $(document).ready(function () {
            var koubeiid = 4799682;

        });

    


            
                最满意
                外观可以，动力方面可以毕竟是EA888发动机➕湿式双离合变速箱，又是4x4
            
            
                最不满意
                第一就是经销商高度忽悠（车定了交了定金结果答应的1000元油卡到提车时没有啦，这个中汽思达店在我不知情的情况下还乱加保险业务）。第二我定的全黑内饰提车时变成棕色内饰。第三提车当天车机系统故障，到现在都是问题，倒车看不到，放到放到音乐就死机重启。这是我买车这么多次最差的一次体验，商家垃圾，车也垃圾！贴个膜到处都是泡，真的是太垃圾啦！
            

            

    空间
        
            
            
        
        3
    
    
    一般话将就够用，在要我选择的时候，我不会远它
    
    






                

    驾驶感受
        
            
            
        
        1
    
    
    
        

        0% buffered00:00播放暂停00:00/00:25倍速2x1.5x1.25x1x0.75x0.5x高清高清全屏切换50%75%100%满屏00:00汽车之家视频播放器  之家首页  复制链接  版本号 : 2.5.32

  
    
      
        
        
          
        
        
          
        
        
      
    
  


    
    

    车机系统垃圾，新车过来都是这个问题！没人处理，售后也是卵的，个人建议不要买
    
    






            

            




            

    油耗
        
            
            
        
        1
    
    
    基层上不开空调12个油，开空调的话估计在15个左右
    
    





            
            

    外观
        
            
            
        
        5
    
    
    外观还是好看，漆颜色我喜欢，这也是我唯一想要的样子
    
    





            

    内饰
        
            
            
        
        1
    
    
    我要的全黑色提车变棕色，前门都有氛围灯后面门都没有，节约这点成本
    
    





            

    性价比
        
            
            
        
        3
    
    
    一般话，没得啥子性价比，我反正很后悔，车友们自己可以多看看
    
    





            
                

    配置
        
            
            
        
        1
    
    
    车机系统就是个垃圾，要死机重启，倒车影像也看不到，网也连不起，车子跑几百公里啦，地图都出来不到
    
    




            

            



        "
广州车友7610271,2023-05-25 首次发表,"
            
                
                    1000km
                    
                    行驶里程
                
                
                    8.2L
                    百公里油耗
                
                
                
                
                
                
                
                
                
                
                
                

                
                
                    19.99万
                    裸车购买价
                
                
                    2023-05
                    购买时间
                
                
                    深圳
                    购买地点
                
            
            
    
    

    
        $(document).ready(function () {
            var koubeiid = 4978894;

        });

    


            
                最满意
                我就想选择一台耐用，省油，空间大的车，我到斯柯达4s店看到柯迪亚克之后，感觉这台车还是比较适合我的，首先就是空间大，而且三大件儿还是用的大众的，油耗也不高，最重要的就是价格方面，我也可以接受。
            
            
                最不满意
                不满意的就是配置稍微有点低，车机系统的功能有点少，用着不是很方便，但是对我日常家用来说还是足够用了。
            

            

    空间
        
            
            
        
        5
    
    
    不管是前排空间还是后排空间都是很充足的，坐着也没有压抑的感觉。后备箱平时给两个孩子放放行李，放上两三个行李箱也没压力，使用起来足够了。
    
    






                

    驾驶感受
        
            
            
        
        5
    
    
    我感觉底盘非常扎实，在跑高速的时候，非常稳定，在走一些烂的路面的时候，也没有太大颠簸的感觉，开着还是很舒服的，而且加速几乎感觉不到什么顿挫。
    
    






            

            




            

    油耗
        
            
            
        
        5
    
    
    我觉得油耗这个东西还是要看个人的驾驶习惯的，我平时驾驶习惯比较猛，但是油耗也就在八个多油，还可以接受，我觉得还是不算费油。
    
    





            
            

    外观
        
            
            
        
        5
    
    
    整体给我的感觉就是四个字，大气稳重。而且是比较耐看型的，可能乍一看没有什么突出的地方，但是看时间长了，我就是越看越喜欢。
    
    





            

    内饰
        
            
            
        
        5
    
    
    内饰看着一点儿也不老气，液晶的中控大屏，电子手刹看着很有科技感。而且按键还有一定的阻尼感，手感非常不错。
    
    





            

    性价比
        
            
            
        
        5
    
    
    在空间，油耗，价格等等方面都比较满足我的需求，日常驾驶也是很方便的，而且质量也有保证，我才选择的柯迪亚克。
    
    





            
                

    配置
        
            
            
        
        4
    
    
    总的来说，配置还算可以，自适应巡航，倒车影像等等，日常使用是足够了。有不好的一点就是车机屏幕的功能有一些少，但是用着还是很流畅的。
    
    




            

            



        "
巴斯光年的车,2023-05-25 首次发表,"
            
                
                    4670km
                    
                    行驶里程
                
                
                    7.4L
                    百公里油耗
                
                
                
                
                
                
                
                
                
                
                
                

                
                
                    19.19万
                    裸车购买价
                
                
                    2023-04
                    购买时间
                
                
                    重庆
                    购买地点
                
            
            
    
    

    
        $(document).ready(function () {
            var koubeiid = 4977838;

        });

    


            
                最满意
                最满意它的外观设计，真的太有科技感了，买车首先看中的就是颜值。
            
            
                最不满意
                不满意它的提车速度以及店内的服务体验，真的是有点差，感觉看不起顾客一样。
            

            

    空间
        
            
            
        
        5
    
    
    空间真的太优秀了，就算体型偏大的人坐满后排空间也是够用的，加上储物空间也很大，很实用。
    
    






                

    驾驶感受
        
            
            
        
        5
    
    
    驾驶感受很棒，车辆的转向系统灵敏，没有虚位，并且发动机的动力很大，平时超车根本不是问题。
    
    






            

            




            

    油耗
        
            
            
        
        5
    
    
    油耗也是很低，哪怕是我在市区里开车上下班也没有很高的油耗，省钱又省心。
    
    





            
            

    外观
        
            
            
        
        5
    
    
    外观的设计风格太有风格了，满满的科技感，远远看着就非常的动感。
    
    





            

    内饰
        
            
            
        
        5
    
    
    内饰的设计很大气，一点不也像这个价位的，绝对媲美豪华品牌。
    
    





            

    性价比
        
            
            
        
        4
    
    
    买车时销售的态度让人十分不爽，让我感觉体验感不好。
    
    





            
                

    配置
        
            
            
        
        5
    
    
    配置是真的高级，该有的功能全都配备，上路非常省心，很喜欢它。
    
    




            

            



        "
重庆车友0790906,2023-05-11 首次发表,"
            
                
                    3200km
                    
                    行驶里程
                
                
                    7.2L
                    百公里油耗
                
                
                
                
                
                
                
                
                
                
                
                

                
                
                    19.38万
                    裸车购买价
                
                
                    2023-04
                    购买时间
                
                
                    重庆
                    购买地点
                
            
            
    
    

    
        $(document).ready(function () {
            var koubeiid = 4953398;

        });

    


            
                最满意
                最满意的是科迪亚克的动力，速度很充沛，超车不顿挫。
            
            
                最不满意
                提车时间有点慢，店里没有现车，感觉自己点子不好了。
            

            

    空间
        
            
            
        
        5
    
    
    空间大小还是挺棒的，后排座椅的宽敞能看出来，腿不受拘谨。
    
    






                

    驾驶感受
        
            
            
        
        5
    
    
    动力输出试一脚就知晓了，起步都很灵巧，超车带劲儿的很。
    
    






            

            




            

    油耗
        
            
            
        
        5
    
    
    油耗高低能接受，百公里的耗能是七个多，挺经济的。
    
    





            
            

    外观
        
            
            
        
        5
    
    
    科迪亚克的造型设计还是挺时尚的，吸睛效果很足。
    
    





            

    内饰
        
            
            
        
        5
    
    
    新车内饰没啥异味，而且风格也很好看，液晶屏很有科技感。
    
    





            

    性价比
        
            
            
        
        4
    
    
    科迪亚克是好车子，性价比也高，就是店里没有现车，挺让我着急的。
    
    





            
                

    配置
        
            
            
        
        5
    
    
    各种辅助超多哦，底盘也扎实，随便开着去任何路况都够稳。
    
    




            

            



        "
重庆车友7055069,2022-09-19 首次发表,"
            
                
                    296km
                    
                    行驶里程
                
                
                    8.7L
                    百公里油耗
                
                
                
                
                
                
                
                
                
                
                
                

                
                
                    17.60万
                    裸车购买价
                
                
                    2022-09
                    购买时间
                
                
                    重庆
                    购买地点
                
            
            
    
    

    
        $(document).ready(function () {
            var koubeiid = 4590976;

        });

    


            
                最满意
                销售小李服务很热情，车子讲解得很细！总是喜欢笑的女孩！
            
            
                最不满意
                订车砸那个金蛋抽奖，没有抽到我想要的自行车！
            

            

    空间
        
            
            
        
        5
    
    
    这次是我第二次买车，我的第一辆车是17年买的一台轿车日系的轿车，当时是因为老婆要生娃儿买台车代步，时隔5年我换车了，又是因为老婆要生娃儿，二胎宝宝，买了一台斯柯达的SUV柯迪亚克，空间大些，出行装东西方便！
    
    
        乘坐空间
        前后空间都很满意，坐上去还可以跷二郎腿！
        
        
    
    
    
    


    
        第二排空间
        后排空间大的好处就是抱娃儿很方便！
        
        
    
    
    
    


    
        后备厢容积
        确实装得，座椅放倒后我感觉放个一般大的冰箱都可以。
        
        
    
    
    
    


    






                

    驾驶感受
        
            
            
        
        5
    
    
    这次从第一次看车到买车用了二十几天的时间，开始想的是买一个稍微大点的SUV，预算19万左右，二十几天时间不长看的车也不好，看了奇骏、途观L、探岳、昂科威等一些车，反正是看得眼花缭乱，最终确定的途观L和柯迪亚克还有探岳三个车选一个，之前开的日系动力太弱给我造成了阴影，哈哈！其实其他也还好！
 这次换个口味买德系，看车关注了几款车外观啊，内饰啊、试驾的舒适感和操控感，以及油耗和动力，最后还有就是关键的价格，经过多方比较最后买了柯迪亚克，从我的体验来看柯迪亚克外观是我喜欢的类型，动力很好！加速超车都很方便！加速快了还有推背感，可能我之前那个动力太肉了，开柯迪亚克感觉处处是惊喜！
    
    






            

            




            

    油耗
        
            
            
        
        5
    
    
    才开了十几天，目前油耗在9个不到！我觉得等多开一段时间了在看看多少！
    
    
    
    
    


    





            
            

    外观
        
            
            
        
        5
    
    
    感觉很有立体感，外观是我喜欢的类型，但是我老婆有点偏向于圆润点的外观！每个人喜欢的风格不一样吧！
    
    





            

    内饰
        
            
            
        
        4
    
    
    内饰在我看的几款车型中感觉都差不多，说不上特别好，也还可以！
    
    
    
    
    


    
        ☆ 语音控制
        语音导航很方便，还能语音控制空调，其他看视频什么的用处不大！
        
        
    





            

    性价比
        
            
            
        
        5
    
    
    二十几天也看了些车，看的博越、奇骏、途观L、探岳、昂科威等一些suv，最终确定的途观L和柯迪亚克还有探岳三个车中选择，总体的来说柯迪亚克性价比更高，从价格，配置什么的，只是斯柯达这个标识有的人说太小众了，我不在意，自己喜欢就好！不是耳熟能详的东西不一定就不好吧！
    
    
    
    
    


    





            
                

    配置
        
            
            
        
        5
    
    
    配置的话，我觉得实用的就是无线手机充电，氛围灯也还可以，和老婆约会可以用，语音空调导航和语音控制空调也可以，其他感觉用处不大！
提新车去露营！
    
    




            

            



        "
最爱法拉利1500,2022-07-30 首次发表,"
            
                
                    152km
                    
                    行驶里程
                
                
                    9.0L
                    百公里油耗
                
                
                
                
                
                
                
                
                
                
                
                

                
                
                    19.99万
                    裸车购买价
                
                
                    2022-07
                    购买时间
                
                
                    烟台
                    购买地点
                
            
            
    
        
            
        
    
    

    
        $(document).ready(function () {
            var koubeiid = 4507564;

        });

    


            
                最满意
                等了接近一个月终于喜提这台柯迪亚克2022款，最满意的还是这款车的颜值和配置，感觉同样的配置，柯迪亚克要比大众显得更有个性，特别是前大灯的设计造型棱角分明个性十足！而2.0T涡轮增压发动机和7速湿式双离合变速箱的动力配置也是挺给力的，在路上行驶提速和超车都没有压力，这是我比较满意的几点。
            
            
                最不满意
                爱车刚刚开了100多公里，要说有不满意的地方，那就是我发现前机盖没有隔音防护，另外就是倒车影像的清晰度不高，其他的缺点尚未发现。
            

            

    空间
        
            
            
        
        5
    
    
    当时选择这款车的主要原因就是这台车的尺寸和空间表现不错，柯迪亚克定位于中型SUV，车身长度为4701mm、车身宽度1883mm、车身高度1676mm，轴距达到了2791mm ，所以车内的空间还是很宽敞的，特别是第二排的腿部空间很宽敞，家人在第二排乘坐空间表现不错。
    
    
    
    
    


    
        储物空间
        后备箱的空间非常宽敞，暂时只买了个后备箱垫装上了，个人感觉这台车的空间表现，日常家用或者外出自驾游都是游刃有余的，还是比较适合家用的。
        
        
    
    
    
    


    






                

    驾驶感受
        
            
            
        
        5
    
    
    因为是新车还没上过高速，在市区里面跑了这一百多公里的个人感受还是挺不错的，2.0T的发动机动力很充沛，双离合变速箱的换挡也算平顺，整台车的操控性非常不错，开起来感觉很轻便，驾驶感受还是挺不错的。
    
    
    
    
    


    






            

            




            

    油耗
        
            
            
        
        4
    
    
    新车刚刚行驶了150多公里，不看表显油耗，我自己算的百公里平均油耗大约9-10L左右，另外如果开空调在市区跑，我感觉实际油耗会更高一点。
    
    
    
    
    


    





            
            

    外观
        
            
            
        
        5
    
    
    当时选择柯迪亚克这款车的主要原因就是因为这款车的设计我觉得很漂亮，2022款对比2021款在前脸下方有做了一个新的设计，所以整体看起来挺年轻和个性的，比大众的设计感觉更有特色。
    
    
    
    
    


    
    
    
    


    





            

    内饰
        
            
            
        
        4
    
    
    内饰设计的算中规中矩吧，不过液晶仪表和大尺寸的中控屏还是挺漂亮的，而且功能也比较全面和丰富，我觉得也是不多不少刚刚好。
    
    
    
    
    


    





            

    性价比
        
            
            
        
        5
    
    
    这款车的落地价在21万左右，个人感觉性价比感觉还是挺高的，购车赠送了5次保养，而且毕竟用的是大众的三大件，而且有官方三年八折回购政策，我觉得性价比和保值率都是不错的。
    
    
    
    
    


    





            
                

    配置
        
            
            
        
        5
    
    
    柯迪亚克这款车配置了EPB电子驻车+Auto Hold自动驻车、MKE智能疲劳提醒、全模块ESP车身电子稳定系统、MKB多次碰撞预防、TPMS胎压监测系统等功能，配置较为全面和丰富，而且这款车车还获得欧洲5星安全标准评定，所以各方面的配置都是比较丰富和全面的，令我非常满意。
    
    
    
    
    


    
    
    
    


    




            

            



        "
