字段1_文本,字段2,字段3
酷牛2000,2024-01-31 首次发表,"
            
                
                    1100km
                    
                    行驶里程
                
                
                
                
                
                
                
                    18.5kWh
                    冬季电耗
                
                
                
                
                
                
                     350公里
                     冬季续航
                
                

                
                
                    31.41万
                    裸车购买价
                
                
                    2024-01
                    购买时间
                
                
                    天津
                    购买地点
                
            
            
    
        
            
        
    
    

    
        $(document).ready(function () {
            var koubeiid = 5289785;

        });

    


            
                最满意
                外观和智驾，以及大轮毂和动感内饰，这也是选择这辆车的主要原因。
            
            
                最不满意
                1.内饰异响，这是我最不能能接受，提车第二天就有异响，修好一处另一处又响，没完没了，到现在还有。
2.前备箱不好关闭，提车当天就发现，不好维修，没时间耗着，回头再说。
3.交付中心维修能力有待提高。
            

            

    空间
        
            
            
        
        4
    
    
    三口之家足矣。1.8的身高没有空间限制。唯一不足的是前排高度空间较常规SUV稍低。
    
    
    
    
    


    






                

    驾驶感受
        
            
            
        
        5
    
    
    转向精准，较为舒适，3秒破百确实可以让人眩晕。
作为华为粉丝，智驾也是选择阿维塔的原因之一。目前所在地只有高速智驾，高速智驾毫无压力。
代客泊车更是让这个大玩具更有可玩性，下了地库，启动代客泊车，点上烟收拾心情，配合华为手机丝滑锁车，就是这么简单。
提速有百分百信心，建议车友加速收敛一点，安全第一。
不足:petalmap数据不够成熟，有部分错误，例如限速等
    
    






            

            




            

    续航
        
            
            
        
        4
    
    
    地处北方，双电机，续航确实比想象的少
上下班通勤（0度左右），一半高驾，不开空调续航达成率65-70%，开空调50-60%
高速（0度左右），续航达成率50%-55%。
    
    
    
    
    


    





            
            

    外观
        
            
            
        
        5
    
    
    在路上比在交付中心好看的多，因为在路上更有横向对比。
激进的外观又不失东方圆润之美，独特的大灯夺人眼球，22寸轮毂凸显运动风格，黑武士更是绽放异彩，已经不止一次在等红绿灯被人围观。
尾翼是一个亮点，让整个车身和感觉更加运动。
    
    
    
    
    


    





            

    内饰
        
            
            
        
        5
    
    
    眼前一亮，简约运动风格，处处彰显高档，细节不错，电动门让整辆车提高了档次，情感涡流是内饰的亮点，说明设计师用心了！屏幕分辨率分辨了如果再提高点就更好了！暂时并没有发现前排座椅不适，可能还没经历长途吧（新款已经座椅加长，妥妥大冤种）
    
    
    
    
    


    
    
    
    


    





            

    性价比
        
            
            
        
        4
    
    
    不同配置之间:我个人觉得奢想版性价比最高，多了电吸门+双电机+运动包围+隐私玻璃+22寸轮毂卡钳等等
其他车型横向对比:我觉得不算高，但也不算低，属于中等偏上水平。
    
    





            
                

    智能化
        
            
            
        
        5
    
    
    遥遥领先
华为车机遥遥领先，只有华为和其他之分，智驾无敌的存在，就差无图开放了，非常期待。
小艺的语音控制有待提高。
    
    
    
    
    


    




            

            



        "
axj52lwqk7m,2024-03-11 首次发表,"
            
                
                    4330km
                    
                    行驶里程
                
                
                
                
                
                    18.6kWh
                    春秋电耗
                
                
                
                
                
                
                    555公里
                    春秋续航
                
                
                
                

                
                
                    33.50万
                    裸车购买价
                
                
                    2024-01
                    购买时间
                
                
                    广州
                    购买地点
                
            
            
    
        
            
        
        
            
        
        
            
        
        
            
        
        
            
        
    
    

    
        $(document).ready(function () {
            var koubeiid = 5309346;

        });

    


            
                最满意
                动力很足，驾控起来很舒服，没什么颠簸感，开起来很稳，过弯的时候侧倾感也很少，还是非常难得的。
            
            
                最不满意
                基本上暂时没有什么太不满意的吧，价格方面有点小贵，不过还算在接受的范围之内。
            

            

    空间
        
            
            
        
        5
    
    
    这么大的SUV，空间足足的，前后排乘坐都相当宽裕，车内的视野也相当的好。
    
    






                

    驾驶感受
        
            
            
        
        5
    
    
    首先动力充足，开起来确实就轻松，然后指向也精准，没有什么虚位，开起来游刃有余的感觉。
    
    






            

            




            

    续航
        
            
            
        
        5
    
    
    500多公里的续航完全足够了，充一次电跑一个星期没什么问题，而且现在充电也方便，到处都是充电桩。
    
    





            
            

    外观
        
            
            
        
        4
    
    
    外观虽然不耐脏，但是比较耐看，也比较大气，实车看起来很霸气的感觉，科技感实足，开在路上的辨识度也相当之高。
    
    





            

    内饰
        
            
            
        
        5
    
    
    内饰都是软包材质，提车时间不长，也没什么异味，还是相当靠谱的，也很有档次的感觉。
    
    





            

    性价比
        
            
            
        
        4
    
    
    性价比还算是可以的，价格虽然不算便宜，但是也可以接受吧。
    
    





            
                

    智能化
        
            
            
        
        4
    
    
    语音控制，智驾辅助都还是比较好用的，中控屏幕也很大，分辨率很高，车机流畅。
    
    




            

            



        "
aa8htjrlwun,2024-03-10 首次发表,"
            
                
                    1160km
                    
                    行驶里程
                
                
                
                
                
                    18.5kWh
                    春秋电耗
                
                
                
                
                
                
                    460公里
                    春秋续航
                
                
                
                

                
                
                    29.40万
                    裸车购买价
                
                
                    2024-03
                    购买时间
                
                
                    珠海
                    购买地点
                
            
            
    
        
            
        
        
            
        
        
            
        
        
            
        
        
            
        
    
    

    
        $(document).ready(function () {
            var koubeiid = 5309014;

        });

    


            
                最满意
                确实很多方面都是很满意的，不然我也不会买这个车，颜值就很高，开出去拉风，然后加速快，性能也好，而且续航持久，这么方面也没什么焦虑。
            
            
                最不满意
                虽然有一点小缺点，不过还好吧，可以接受，没什么大毛病。
            

            

    空间
        
            
            
        
        4
    
    
    这个级别的SUV空间都不会差的，阿维塔11乘坐空间很宽敞，完全足够，后备箱也很大，完全能够满足日常出行和露营自驾游。
    
    






                

    驾驶感受
        
            
            
        
        5
    
    
    电车的动力比传统油车确实强劲不少，开起来推背感实足，而且没有发动机的轰鸣声，开起来更加安静舒适。
    
    






            

            




            

    续航
        
            
            
        
        5
    
    
    续航还是相当不错的，电控蛮好的，电耗也不高，所以续航持久，也没什么可担心的。
    
    





            
            

    外观
        
            
            
        
        4
    
    
    就是颜色有点不耐脏，外观造型非常的时尚大气，开出去回头率那是赚足了的。
    
    





            

    内饰
        
            
            
        
        5
    
    
    内饰设计的很简约，但是还是蛮有质感的，这种设计风格我是喜欢的，比较耐看，也比较舒服，坐进车内很放松的感觉。
    
    





            

    性价比
        
            
            
        
        4
    
    
    性价比是比较好的，价格还算比较合理，主要颜值高，性能好，配置也丰富，值得这个价位。
    
    





            
                

    智能化
        
            
            
        
        5
    
    
    智能化方面还突出了，智驾特别的好用，很聪明，用起来不会鸡肋，跟车的加减速也是相当线性，一点都不突兀，开起来很放心和安全。
    
    




            

            



        "
东莞车友7175501,2024-03-10 首次发表,"
            
                
                    5150km
                    
                    行驶里程
                
                
                
                
                
                    18.2kWh
                    春秋电耗
                
                
                
                
                
                
                    470公里
                    春秋续航
                
                
                
                

                
                
                    30.00万
                    裸车购买价
                
                
                    2024-01
                    购买时间
                
                
                    东莞
                    购买地点
                
            
            
    
        
            
        
        
            
        
        
            
        
    
    

    
        $(document).ready(function () {
            var koubeiid = 5308995;

        });

    


            
                最满意
                开起来感觉还是蛮爽的，电车是不一样，加速很快，开起来很有推背感，堪比一些大排量自然吸气车子的感觉。
            
            
                最不满意
                目前就觉得外观的颜色选择不多，只能开段时间后期自己去贴膜了。
            

            

    空间
        
            
            
        
        5
    
    
    空间没的话说的，阿维塔11的乘坐空间是很大的，后备箱空间也不小，不管代步通勤，还是出差旅行，都方便。
    
    






                

    驾驶感受
        
            
            
        
        5
    
    
    底盘很稳，开起来很有信心，转弯车身姿态回正的很快，动力也好，驾控感一流。
    
    






            

            




            

    续航
        
            
            
        
        5
    
    
    续航不需要什么担心，电池是大容量的，家用代步续航肯定是足够了，没什么焦虑。
    
    





            
            

    外观
        
            
            
        
        4
    
    
    外观可选择的颜色不算多，不过外观的造型还是很有设计感的，特别好看，很帅气运动的感觉，开出去十分拉风。
    
    





            

    内饰
        
            
            
        
        5
    
    
    内饰很大气，质感特别的好，主要是用料比较良心，确实是感觉很高级。
    
    





            

    性价比
        
            
            
        
        5
    
    
    性价比真的是很不错了，价格没超出预算，入手也没压力，主要性能确实好。
    
    





            
                

    智能化
        
            
            
        
        4
    
    
    智驾辅助很不错的，很聪明，现在一般的路况只要不是特别复杂的情况下，我都用智驾，开起来感觉多了一道安全保障，人也更轻松。
    
    




            

            



        "
王虎义03,2024-03-10 首次发表,"
            
                
                    2810km
                    
                    行驶里程
                
                
                
                
                
                    18.7kWh
                    春秋电耗
                
                
                
                
                
                
                    560公里
                    春秋续航
                
                
                
                

                
                
                    33.50万
                    裸车购买价
                
                
                    2024-02
                    购买时间
                
                
                    东莞
                    购买地点
                
            
            
    
        
            
        
        
            
        
        
            
        
        
            
        
        
            
        
    
    

    
        $(document).ready(function () {
            var koubeiid = 5308958;

        });

    


            
                最满意
                阿维塔11的外观设计，立体感很强，整车流线型的造型能吸引很多人的目光。线条是很硬汉的风格，比以前的车型都更加突出，完全符合我的口味。
            
            
                最不满意
                暂时还没发现什么问题，这个价位该有的配置都有了。
            

            

    空间
        
            
            
        
        4
    
    
    作为SUV，空间上还是足够宽敞。我这180斤的大体格坐前排感觉空间上还是有富余的，后排坐着也不觉得拥挤。后备箱放了辆露营车和一些杂物，周末带着老婆孩子去露营、烧烤问题都不大。
    
    






                

    驾驶感受
        
            
            
        
        5
    
    
    感觉阿维塔的底盘调教和他的外观一样，都是运动型的。加速快，转变的时候没什么侧倾，方向盘完全是指寻打哪，高速上开到100多操控也很灵敏，一个字，爽！
    
    






            

            




            

    续航
        
            
            
        
        5
    
    
    城市代步能有这个电耗我已经很满意了。看到其它牌子好多电耗都是二十多，我还是挺欣慰的。再加上800V平台的超充，两百多kW的高功率，基本上我去买杯奶茶的功夫，基本上就能满电再出发了。
    
    





            
            

    外观
        
            
            
        
        4
    
    
    我是一眼就被这个外观吸引住了。很多SUV车头都很宽大，阿维塔看起来更像轿跑，侧面比例看起来很修长。曜黑这个颜色也是十分霸气，再加上白色线条的点缀，感觉高级感十足。
    
    





            

    内饰
        
            
            
        
        5
    
    
    公司午休的时候，我都会进车里躺着，那感觉是比家里大沙发都舒适的存在。
    
    





            

    性价比
        
            
            
        
        4
    
    
    虽然价格相对较高，但考虑到其卓越的性能、舒适的驾驶体验以及高科技的配置，我认为它值得这个价格。与同类车型相比，阿维塔11在续航、智能化以及外观设计等方面都有明显的优势，入手它不后悔哟。
    
    





            
                

    智能化
        
            
            
        
        5
    
    
    全系都有的3颗激光雷达加上华为的ADS 2.0加持，这个智驾体验无敌了。在城市中来回穿梭，自动避开障碍物，开起来如行云流水，到地下车库打开自动泊车，最后掏出我的华为手机一键锁车，完美！
    
    




            

            



        "
宁宠而,2024-03-10 首次发表,"
            
                
                    2368km
                    
                    行驶里程
                
                
                
                
                
                    16.8kWh
                    春秋电耗
                
                
                
                
                
                
                    600公里
                    春秋续航
                
                
                
                

                
                
                    33.50万
                    裸车购买价
                
                
                    2024-01
                    购买时间
                
                
                    广州
                    购买地点
                
            
            
    
        
            
        
        
            
        
        
            
        
    
    

    
        $(document).ready(function () {
            var koubeiid = 5308953;

        });

    


            
                最满意
                外观，外观，还是外观，太帅了，太有辨识度了，科幻感直接拉满， 现在的智能电动车在智能化方面普遍接受程度上都差不多，凭啥我要花大几十万买单，靠的就是第一感觉，车子开起来有面子，有豪华感，比几年前的奔驰宝马奥迪更带劲。
            
            
                最不满意
                整体下来感觉都还可以接受，除了有几次语音识别不准确之外，语音控制用起来是真不习惯，有点别扭。
            

            

    空间
        
            
            
        
        4
    
    
    光看车身尺寸就知道里面的空间小不了，实际乘坐起来也挺宽敞，我身高180、80公斤，也算是个壮汉了，前排的头部大概还有一拳多的空间，后排的腿部一拳 三指，头部的话三指左右，作为家里块头最大的在乘坐方面都很富余了，其他人更没有问题。
    
    






                

    驾驶感受
        
            
            
        
        4
    
    
    不像其他电车那样的傻快，6.9秒的百公里加速对我来说都有点过剩了，底盘相当扎实，尤其实在高速上显得很沉稳，再加上优秀的隔音，能达到准D级车的行驶表现。
    
    






            

            




            

    续航
        
            
            
        
        4
    
    
    表显里程730KM，目前平均电耗在16到17徘徊，主要是上下班代步，偶尔有高速路况，充电速度够快，30分钟左右能充到80%，长途旅行问题应该也不大，虽然我还没试过。
    
    





            
            

    外观
        
            
            
        
        5
    
    
    上面外观也说了，外观就是我最满意的地方。
    
    





            

    内饰
        
            
            
        
        5
    
    
    内饰的用料、设计，大屏的分布等等，营造出来的氛围感和科技感直接无敌，尤其是4K的全景宽屏，横跨主副驾驾驶区域，能显示动画、行驶信息等等，去年我买个4K的电脑显示器都犹豫了好久，没想到现在的车内显示屏都用上4K了，咱们这代人是不是有点落后于时代发展了。
    
    





            

    性价比
        
            
            
        
        5
    
    
    性价比看跟谁比了吧，同等价位下，特斯拉、极氪001当时都去看过，要么外观内饰差点意思、要么就是芯片跟不上，既然都考虑买电车了，还是得精打细算一番，避免自己被当韭菜给噶了。
    
    





            
                

    智能化
        
            
            
        
        5
    
    
    原本我以为城市NOA系统已经是现在智驾方面最牛的技术了，没想到阿维塔11可以通过3颗激光雷达、6颗毫米波雷达、12个超声波雷达、13个摄像头共同协作，识别车道以自身为基础构建场景，将导航与实际环境相融合以达到自动驾驶的目的，在此过程中我只需要少量接管即可，但是实际体验下来只要我设置好目的地基本上就不用管了，车子自己就能开到地方，省心省力，不得不承认华为还是有点东西的。
    
    




            

            



        "
麻菜子,2024-03-10 首次发表,"
            
                
                    3600km
                    
                    行驶里程
                
                
                
                
                
                    18.3kWh
                    春秋电耗
                
                
                
                
                
                
                    480公里
                    春秋续航
                
                
                
                

                
                
                    30.00万
                    裸车购买价
                
                
                    2024-01
                    购买时间
                
                
                    广州
                    购买地点
                
            
            
    
        
            
        
        
            
        
        
            
        
    
    

    
        $(document).ready(function () {
            var koubeiid = 5308936;

        });

    


            
                最满意
                外观时尚大气，流线型的设计有一种超跑的感觉，内饰设计也是端庄大气，完全符合我的审美，智能化配置非常齐全，尤其是各种主动安全功能，包括车道偏离预警、主动刹车等功能，让我在驾驶过程中感觉更加安心。
            
            
                最不满意
                可能是驾驶习惯的原因吧，电耗还是比较高的，等温度高一点再看看续航能提升多少。
            

            

    空间
        
            
            
        
        4
    
    
    从外表看空间不算大，实际体验车内空间分配还是挺合理的。座椅比较舒适，后排坐满也不觉得拥挤。后备箱挺大的，对有娃的家庭很合适，不像我以前那辆车，放一辆推车就放不了什么东西了。
    
    






                

    驾驶感受
        
            
            
        
        5
    
    
    电车推背感确实强烈，一脚油门就能跑的老远，在路上超车完全没有压力。底盘整体上是偏运动的调教，转弯的时候感觉不到侧倾。再加上21寸的大轮毂，就在算高速上行驶方向盘也是指哪找哪，操控非常灵敏。
    
    






            

            




            

    续航
        
            
            
        
        4
    
    
    因为开了电车嘛，电费也没几毛钱，空调加热什么的，都是大手大脚尽管开，现在也看不出什么，但上下班开开是完全够的。我上下班通勤13公里，一半高架，一半市内，续航差不多打个七折。等天气回暖，再观察一下吧。
    
    





            
            

    外观
        
            
            
        
        5
    
    
    外观是比较经典的设计，感觉像是现代科技的风格混合一种古典美。黑白的内饰也是比较简约大方的设计。总之，这个外观我还是比较喜欢的。
    
    





            

    内饰
        
            
            
        
        5
    
    
    这车的内饰黑灰双色设计我很喜欢，有些车全部都是黑色的，看起来很压抑。内饰的质感摸上去细腻舒适，对的起这个价位。座椅感觉很舒适，真皮的材质我很喜欢，一股浓浓的高档气息。
    
    





            

    性价比
        
            
            
        
        4
    
    
    买之前对比了很多车型，感觉还是阿维塔合适，价格在我接受的范围内，外观配置各方面也满意。
    
    





            
                

    智能化
        
            
            
        
        5
    
    
    华为ADS2.0智驾果然是遥遥领先，入门即满配的3颗激光雷达绝对物有所值，精准识别路况信息，并且高架高速和城市道路都能用，让驾驶员轻松不少。只要体验过了，就再也回不去了。
    
    




            

            



        "
你开了开,2024-03-09 首次发表,"
            
                
                    2488km
                    
                    行驶里程
                
                
                
                
                
                    17.3kWh
                    春秋电耗
                
                
                
                
                
                
                    560公里
                    春秋续航
                
                
                
                

                
                
                    36.00万
                    裸车购买价
                
                
                    2024-01
                    购买时间
                
                
                    深圳
                    购买地点
                
            
            
    
        
            
        
        
            
        
        
            
        
        
            
        
    
    

    
        $(document).ready(function () {
            var koubeiid = 5308494;

        });

    


            
                最满意
                用车最棒的还是配置高，功能又实用，操作的很有帮助，驾驶感也好，车子开着很灵活，特别动力杠杠的，男人开车就喜欢激情一点的，起步速度快，每次红绿灯只要我在前面都要甩后车老远，开着很有自信感。
            
            
                最不满意
                我要吐槽的就是轮毂样式不太好看，还有功能多还有不少没适应，充电时间稍稍有点长。
            

            

    空间
        
            
            
        
        5
    
    
    阿维塔11的内部空间够用，前后的乘坐都很宽敞，后排家人坐着也很宽敞，顶部也宽敞，腿部空间也还有很大的间隙。
    
    






                

    驾驶感受
        
            
            
        
        5
    
    
    驾驶感很好，提速很给力，新能源动力很强劲，加速爆发力很强劲，开着推背感十足。
    
    






            

            




            

    续航
        
            
            
        
        5
    
    
    市区能开五百多，费用也很便宜，小区都装了不少充电桩，不过充电时间还是有点长，快充还能接受，慢充稍微有点慢。
    
    





            
            

    外观
        
            
            
        
        4
    
    
    外观很帅气，LED日间行车灯，运动感十足的车身设计，整车开着很有霸气感。不过轮毂的花型设计还是不够大气。
    
    





            

    内饰
        
            
            
        
        5
    
    
    内饰的设计很豪华吧，材质摸着感觉质感还是相当棒的，新车味道也不重，座椅软带上大空间乘坐的舒适度相当高了。
    
    





            

    性价比
        
            
            
        
        4
    
    
    性价比还行，就同级别车比较下还是很有优势的，续航方面也还可以，动力，颜值都很出众。就是价格有点高，对我来说超了点预算。
    
    





            
                

    智能化
        
            
            
        
        4
    
    
    功能让喜欢的还是有不少，用习惯的全景影像，自动泊车，感觉还是很棒的。语音上识别还是有一点小弊端，偶尔也是要多说几遍。
    
    




            

            



        "
记几家如今,2024-03-09 首次发表,"
            
                
                    2000km
                    
                    行驶里程
                
                
                
                
                
                    20.5kWh
                    春秋电耗
                
                
                
                
                
                
                    470公里
                    春秋续航
                
                
                
                

                
                
                    30.00万
                    裸车购买价
                
                
                    2024-01
                    购买时间
                
                
                    广州
                    购买地点
                
            
            
    
        
            
        
        
            
        
        
            
        
    
    

    
        $(document).ready(function () {
            var koubeiid = 5308466;

        });

    


            
                最满意
                家里的第二辆新能源车了，外观帅气，老婆的眼光所选，内部的乘坐空间也大，SUV就是坐着宽敞，以后自驾游和出去游玩也要方便不少。
            
            
                最不满意
                用车不太喜欢的还是功能使用上感觉有点不太适应，屏幕操控真没有按键操控来的方便。
            

            

    空间
        
            
            
        
        5
    
    
    空间给力，老婆一开始看车需求就是要内部空间大一点的，这样她和闺蜜出去玩乘坐充足，后备厢也是够放行李。
    
    






                

    驾驶感受
        
            
            
        
        4
    
    
    驾驶感很好了，刚开就觉得很轻松，方向盘很轻便，转弯灵活性好，没有虚位，指向很精准。
    
    






            

            




            

    续航
        
            
            
        
        5
    
    
    续航还可以，不开空调时电池消耗很小，充电后470还是能跑到，市区路况也好，就是红绿灯多一点，有等待的电量损耗。
    
    





            
            

    外观
        
            
            
        
        5
    
    
    外观很霸气，我特喜欢看它的LED日间行车灯，我觉得启动后LED日间行车的给我的视觉冲击还是挺大的。
    
    





            

    内饰
        
            
            
        
        5
    
    
    内饰很高级，材质用的很好，现在也都是软包裹的，质感方面高，乘坐舒适，顶部大天窗设计，打开后车内还是很通透的。
    
    





            

    性价比
        
            
            
        
        5
    
    
    选择它还是老婆喜欢，加上车机系统也好用，功能配置全。
    
    





            
                

    智能化
        
            
            
        
        5
    
    
    智能化功能配的多，操作整体实用性都还行，就是屏幕上操控时有些不习惯。
    
    




            

            



        "
虎皮鸭爪,2024-03-09 首次发表,"
            
                
                    2930km
                    
                    行驶里程
                
                
                
                
                
                    18.5kWh
                    春秋电耗
                
                
                
                
                
                
                    470公里
                    春秋续航
                
                
                
                

                
                
                    35.00万
                    裸车购买价
                
                
                    2024-01
                    购买时间
                
                
                    东莞
                    购买地点
                
            
            
    
        
            
        
        
            
        
        
            
        
    
    

    
        $(document).ready(function () {
            var koubeiid = 5308428;

        });

    


            
                最满意
                阿维塔11的车内乘坐舒适度是我最满意的，座椅材质很软，座椅包裹性好，隔音也好，车内乘坐感受很棒，家人坐着也很舒服。
            
            
                最不满意
                还能说什么，就是价格不满意，没有优惠，一点也不便宜。
            

            

    空间
        
            
            
        
        5
    
    
    阿维塔11的空间很大，内部乘坐后都还有不少位置，膝盖前面都有两拳左右间距。
    
    






                

    驾驶感受
        
            
            
        
        5
    
    
    阿维塔11还是很灵活的，车子方向盘很轻，转弯精准，转弯指哪打哪，车身稳，开着平顺性很好。
    
    






            

            




            

    续航
        
            
            
        
        4
    
    
    续航满意，对我们这种上班族来说肯定是纯电车要划算一点，电耗低，一月充3次电完全足够。
    
    





            
            

    外观
        
            
            
        
        5
    
    
    车身颜色好看，轮毂的设计也是偏霸气一点，车身线条流畅，开着不缺回头率。
    
    





            

    内饰
        
            
            
        
        5
    
    
    内饰很豪华，中控屏设计很大气，看着就觉得有档次，使用触感很灵敏，画质高清晰度不错。
    
    





            

    性价比
        
            
            
        
        4
    
    
    阿维塔11总体来说还是比较值，性能上好，动力很强劲，配置丰富，内饰豪华，要价格在来点优惠就好了。
    
    





            
                

    智能化
        
            
            
        
        5
    
    
    智能化功能很全的，自动驾驶，自动泊车，全景影像都很好用。
    
    




            

            



        "
