字段1_文本,字段2,字段3
皇帝柑994,2023-11-12 首次发表,"
            
                
                    7800km
                    
                    行驶里程
                
                
                
                
                
                    15.0kWh
                    春秋电耗
                
                
                
                
                
                
                    600公里
                    春秋续航
                
                
                
                

                
                
                    20.00万
                    裸车购买价
                
                
                    2023-07
                    购买时间
                
                
                    东莞
                    购买地点
                
            
            
    
        
            
        
    
    

    
        $(document).ready(function () {
            var koubeiid = 5213678;

        });

    


            
                最满意
                其实手里已经有一台油车了，但这两年身边买新能源汽车的朋友越来越多，我也是真心动了，今年7月份终于实现了这一愿望，直接入手风行雷霆630 Pro 。到手四个月，这台车让我最满意的地方之一就是它的外观了，整体还是非常前卫的，尤其是封闭式中网内部的六边形格栅以及两侧个性十足的大灯就很有未来感，Logo放在中间也很抢眼。然后从侧面看上去紧凑饱满的车身以及黑色车顶的造型也让它的外观多了几分运动感，还有前后包围和侧裙部分的亮色饰条也点缀的恰到好处，风行雷霆的外观完全是我喜欢的类型。另外就是这台电车的续航表现也是可圈可点的，其实我之前一直在纠结也主要就是纠结纯电动车的续航，目前来看是多虑了，尽管最近这段时间天气已经转冷了，但是它的续航达成率依旧不错，实际续航基本上都在600公里左右，充满一次电确实挺耐用的。
            
            
                最不满意
                除了小众一点，后面保值率怕会低，其它真的没毛病。
            

            

    空间
        
            
            
        
        5
    
    
    毕竟风行雷霆也是我们家里的第二台车，所以我对空间还真没有太高的要求，况且这台车的车内空间还是蛮宽敞的，车内的座椅布局也很合理，包括留给后备厢的储物空间也挺大的，而且后排座椅放倒之后也是比较平整的状态，就算偶尔需要放体积较大一点的东西也没有问题。
    
    






                

    驾驶感受
        
            
            
        
        5
    
    
    虽然咱已经是驾龄将近十年的老司机，但是之前还真没怎么接触过纯电动车，所以在店里试驾风行雷霆的时候它的动力表现就给我带来了不小的惊喜，跟传统燃油车不同的是它的动力响应非常迅速，而且平顺性也更棒，用车这段时间以来也能明显的感觉到它的底盘素质也是相当不错的，车子开起来特别稳，行驶质感还是挺高级的。
    
    






            

            




            

    续航
        
            
            
        
        5
    
    
    我们这次给家里添置这台电车后，短期内就不打算再换车了，所以当时就直接买了630km长续航车型，而且这台车的续航达成率也是真不错，它的实际续航基本上也能达到600公里左右，包括之前夏季开着空调的情况下续航表现也是很OK的，会比现在少一点，但也完全在可接受的范围内。
    
    





            
            

    外观
        
            
            
        
        5
    
    
    我当时看车的时候对于这台车的外观还真是有种一眼就相中的感觉，特别是它的前脸造型带来的视觉冲击力非常强，而且从侧面看上去这个黑色车顶也更加增强了整台车的运动感，还有饱满的轮廓以及硕大的轮胎也让它的外观看起来年轻又帅气，外观完全符合我的审美。
    
    
    
    这个颜色真的没选错，实车要比图片惊艳，真的很好看！！
    


    





            

    内饰
        
            
            
        
        4
    
    
    我还是挺喜欢它的内饰风格的，特别是第一次见到时真会让人有种眼前一亮的感觉，圆形的空调出风口和荧光饰条真是时尚又漂亮，10.25英寸的中控车机和同尺寸的全液晶仪表也很有科技感。
    
    
    
    
    


    
    
    
    


    
    
    水晶挡把，高级
    


    





            

    性价比
        
            
            
        
        5
    
    
    现在感觉家里有一台油车和一台电车真的非常香，短距离出行的话就由电车来完成，和燃油车比起来纯电动车的养车成本真的要低很多，再加上城市里的充电桩也确实比较普遍，基本上是不存在续航焦虑的，所以我觉得这台车的性价比特别高。
    
    





            
                

    智能化
        
            
            
        
        4
    
    
    车机可以联网，和平板电脑没啥差别，然后也有自适应巡航，算是比较主流的配置水平吧。
    
    
    
    
    


    
    
    
    


    




            

            



        "
肇庆车友2810371,2023-11-12 首次发表,"
            
                
                    5700km
                    
                    行驶里程
                
                
                
                
                
                    15.1kWh
                    春秋电耗
                
                
                
                
                
                
                    580公里
                    春秋续航
                
                
                
                

                
                
                    19.70万
                    裸车购买价
                
                
                    2023-07
                    购买时间
                
                
                    广州
                    购买地点
                
            
            
    
        
            
        
        
            
        
        
            
        
        
            
        
        
            
        
        
            
        
    
    

    
        $(document).ready(function () {
            var koubeiid = 5213240;

        });

    


            
                最满意
                1、我觉得风行雷霆在价格上确实是有着非常大的优势，我买车的时候磨了几天销售，最后要到不错的优惠力度，算下来性价比还蛮高的。2、这台车目前所带来的用车体验也是非常棒的，有着不错的空间，同时也有着非常好的乘坐感受，实际的体验是很棒的，老婆最近也总是表扬我说这个车买的好。3、电车嘛关于大家关心的续航问题，我也很关心。本来想买430km的顶配，性价比高一些，但想了一下，过年过节啥的要回去乡下，单程400公里左右，跑高速是不太够。后来跟老婆商量了，还是咬咬牙入了这个630km的版本。目前来看市区跑得多，基本可以跑到580km以上，高速的时候哪怕再打折一些，一趟回到老家是妥妥的足够了。
            
            
                最不满意
                味道有点大，需要开窗通风一段时间，其它没啥不满意的了。
            

            

    空间
        
            
            
        
        5
    
    
    在我看来，这台车子的空间实用性还是非常强的，前后排空间都足够，而且值得表扬的就是这台车的乘坐舒适度也是非常棒的，座椅特别舒服，皮质的触感也很赞。
    
    






                

    驾驶感受
        
            
            
        
        5
    
    
    动力很强，随传随有，而且整个车子的底盘质感以及刹车的表现都相当优秀，开起来的感觉的确是很棒的，同时我也非常享受这台车子的乘坐舒适性，不管是车内的隔音还是底盘的舒适度都没有什么问题。
    
    






            

            




            

    续航
        
            
            
        
        5
    
    
    结合现阶段的用车经验来看，风行雷霆的满电续航基本上都在580多公里，一周充电一次没有压力。
    
    





            
            

    外观
        
            
            
        
        5
    
    
    我觉得风行雷霆的外观设计确实是很有创意的，并没有现在很多新能源电车那种非常简约的设计风格，反而更具辨识度的设计看起来也非常漂亮，在一些细节的设计上也做得确实是挺优秀的，比如说这个轮毂和前脸的造型就非常有创意，科幻又有个性。
    
    





            

    内饰
        
            
            
        
        4
    
    
    比起非常有创意的外观设计来说，我觉得风行雷霆的内饰也就没有太强的视觉冲击力了，还是比较简约的风格，不过好在用料、质感都很不错。
    
    





            

    性价比
        
            
            
        
        5
    
    
    跟销售磨了几天，最后买车的时候优惠力度还可以，而且这种电车用起来确实挺省的，所以说在我看来这个性价比真心挺高的。
    
    





            
                

    智能化
        
            
            
        
        5
    
    
    自适应巡航是我比较喜欢的功能，尤其是跑长途高速的时候打开这个功能，解放双脚的感觉不要太爽。而且它还有车载微信，上下班期间开车之前登录微信，遇上客户来找，也能及时回复处理。
    
    




            

            



        "
宝马王子hx,2023-10-30 首次发表,"
            
                
                    5000km
                    
                    行驶里程
                
                
                
                
                
                    15.3kWh
                    春秋电耗
                
                
                
                
                
                
                    567公里
                    春秋续航
                
                
                
                

                
                
                    20.90万
                    裸车购买价
                
                
                    2023-05
                    购买时间
                
                
                    重庆
                    购买地点
                
            
            
    
        
            
        
        
            
        
        
            
        
        
            
        
        
            
        
        
            
        
    
    

    
        $(document).ready(function () {
            var koubeiid = 5202011;

        });

    


            
                最满意
                颜值确实挺高的，我觉得很多入手风行雷霆的车友应该都是颜控吧？颜值确实嘎嘎的高，开出去回头率十足。然后我们当时也选择的是这个630公里长续航版车型，就目前看来，这台车子的续航能力还是相当可以的，夏季实际的续航轻轻松松跑500公里也没有任何问题，而且整个车子所带来的驾驶体验也是非常棒的，电车开起来给我的感觉就是非常轻松，也特别安静，整体的驾驶体验是相当可以的。
            
            
                最不满意
                对于20万级的一台国产纯电动SUV来说，风行雷霆的整体智能化配置确实不是很强的，而且东风风行其下的新款纯电动车型这台车子的认可度确实是挺低的，尤其是新车刚买回来的时候，身边很多朋友都不认识东风风行的这个logo，但很多朋友都觉得风行雷霆的颜值挺高的，每次都要和别人解释一番，这是东风风行旗下的电车，哈哈。
            

            

    空间
        
            
            
        
        5
    
    
    风行雷霆的车身尺寸在这些同级别SUV中也就是中规中矩的水平，整个车内的空间表现其实也是相当出色的，毕竟这台车子的车身造型相对就比较饱满，所以说车内的后排空间还是非常充足的，后排地台很是平整，而且座椅的舒适度也很棒，同时整个车子的储物空间设计也做的非常优秀，值得表扬的就是后排不仅仅是有手机充电口，而且还有一个220V的电源接口，这一点做的确实是很贴心了，在车内给电脑充个电之类的都很轻松。
    
    






                

    驾驶感受
        
            
            
        
        5
    
    
    这台车子所带来的驾驶体验是真心很棒了，之前也没有开过电车，但现在拥有了这台风行雷霆之后，感觉开起来的体验还是非常不错的，尤其是在动力这一块也确实有着相当出色的表现，动力响应速度比较积极，而且平顺度也非常好，电车开起来就非常安静，同时这台车子的底盘质感也是很可以的，开起来是真心挺稳的，包括本身的底盘也比较高，通过性也挺好的，平时跑一些烂路心里也挺踏实。
    
    






            

            




            

    续航
        
            
            
        
        5
    
    
    这台车子的续航水平也是相当可以的，目前满电状态下的实际续航基本上也都在570多公里了，这样的达成率还是比较高的，而且随着后面天气没有那么热的情况下估计续航跑到600公里左右应该也没有什么问题，最主要的就是这种电车的用车成本，相对于油车来说要低很多，如果说像我这样用车强度比较高的情况下，结合之前油车每公里5到7毛钱的费用来说那一年下来仅仅是油费这一块应该也能省下15000到2万元左右。
    
    





            
            

    外观
        
            
            
        
        5
    
    
    风行雷霆的颜值是真心挺高的，可以说在当初买车的时候也有很大一方面是背着非常炫酷高档的外观设计所吸引，整体的风格看上去非常运动，但又没有那种特别复杂的线条，整个车子的前脸设计是真的挺漂亮的，尤其是这个车灯的设计，看起来确实有着非常强的未来感，辨识度也一样是很高的。
    
    





            

    内饰
        
            
            
        
        5
    
    
    这台车子的内饰也是我比较喜欢的类型，整体造型看起来非常简约大气，不像现在很多电车那样做的比较浮夸，包括整个车内的配色也是一样，给我的感觉就比较沉稳一些，同时车内的用料以及做工水平也没有任何问题，虽然说中控车机的功能不是特别丰富，但可以肯定的是，这个屏幕的分辨率确实很高，看上去也比较细腻，还有一点值得表扬的就是这个多功能方向盘也是这种物理按键，并没有做成所谓的触控式，包括按键的质感是很棒的。
    
    





            

    性价比
        
            
            
        
        4
    
    
    从价格方面来说，我觉得这台风行雷霆也的确是没有太大的优势，当初之所以选择这台车子，更多的也是看中了这更强的续航能力以及更酷的外观设计，同时作为东风风行旗下的一款新车型，这台车目前的认可度和保有量也确实不高，所以估计后期的保值率也没有太大优势。
    
    





            
                

    智能化
        
            
            
        
        4
    
    
    这台车子在这些智能化配置上确实是挺一般的，至少对于一台20万级的国产纯电动车型来说，不管是车机的体验还是，其他的一些配置都不是很给力，我们所入手的这个也算是高配车型了，但也没有360度全景影像，L2级别的辅助驾驶系统也不是很好用的。
    
    




            

            



        "
眉梢那段情h,2023-10-30 首次发表,"
            
                
                    1200km
                    
                    行驶里程
                
                
                
                
                
                    16.5kWh
                    春秋电耗
                
                
                
                
                
                
                    525公里
                    春秋续航
                
                
                
                

                
                
                    18.60万
                    裸车购买价
                
                
                    2023-07
                    购买时间
                
                
                    湛江
                    购买地点
                
            
            
    
        
            
        
        
            
        
        
            
        
        
            
        
        
            
        
        
            
        
    
    

    
        $(document).ready(function () {
            var koubeiid = 5201987;

        });

    


            
                最满意
                这台车的空间表现还是很让我满意的，虽然说风行雷霆是我们家里的第二台车，但自从买了这台纯电动车之后燃油车的出勤频率都比较低了，主要是这辆车可以应付大部分的出行需求，宽敞的空间满足我们一家五口正常乘坐没有任何问题，而且它的续航表现也是非常棒的，520公里左右的实际续航满足一些远距离出行的需求都是很轻松的，而且充电话费可比燃油车加油要节省的多，另外就是这辆车的外观也是非常有个性的，我还是比较喜欢它这辨识度极高的前脸造型。
            
            
                最不满意
                我感觉电动机后半段的动力还是不太足，高速超车的话明显会比较费劲，包括开着空调的情况下对动力的响应速度也会有一定的影响。
            

            

    空间
        
            
            
        
        5
    
    
    从车身尺寸来看，风行雷霆就是一台中规中矩的紧凑型SUV，坐进车内感觉活动空间还是非常宽敞的，后排地板中间的一点点凸起对中间位置的腿部空间基本上也没有太大的影响，还有驾驶位的腰部支撑功能也特别实用，而且驾驶位的座椅也是支持电动调节的。
    
    






                

    驾驶感受
        
            
            
        
        4
    
    
    买车之前看过很多博主对于风行雷霆的一些评测，这台车子在看不见的地方也同样是挺用心的，底盘的用料非常好，前后都采用了独立悬架，同时还有横向稳定杆，所以开起来还是很稳的，包括跑在高速上也是一样，再者就是电动机的动力响应也确实更迅速，只不过后半段的动力储备有限，高速行驶时想要超车的话还是稍稍有点费劲的，关掉空调还能好一点。
    
    






            

            




            

    续航
        
            
            
        
        5
    
    
    我当时选择理论续航为630公里的车型也正是奔着它的长续航而来，如果需要跑较远一点的路程开这台纯电动车也是没有任何问题的，它的实际续航能够达到520公里左右，中途充电的话快充一点也不麻烦。
    
    





            
            

    外观
        
            
            
        
        5
    
    
    这台车让我比较惊艳的地方就是它的外观了，虽说整个车身没有过于硬朗的线条，整体给人的感觉依旧是运动感十足的，双色车身的设计和前后包围以及侧裙部分的装饰条也更好的增强了整台车的运动气息。
    
    





            

    内饰
        
            
            
        
        5
    
    
    10.25英寸的中控车机和同尺寸的全液晶仪表看起来还是很协调，没有为了所谓的大而大，双联屏的设计也很有科技感，还就是车内的颜色搭配运动风格的座椅也更增强了内饰的运动氛围，这种比较年轻的内饰氛围让人坐进车内心态都跟着年轻了很多。
    
    





            

    性价比
        
            
            
        
        4
    
    
    买车那会也确实享受到了比较大的优惠力度，不过对于这个价格的国产电动车来说风行雷霆给到的配置确实没有太大的亮点，再加上东风风行在众多的国产品牌中也确实不那么有吸引力，因此也直接影响到了旗下车子的保值率，综合多个方面来说，我觉得这台车的性价比挺一般的。
    
    





            
                

    智能化
        
            
            
        
        5
    
    
    我们买的高配车型给到的配置还是非常丰富的，对于我们这经常城市用车的车主来说主动刹车功能就特别实用，之前在小区就有触发过一次，所以说小区里的人车分流还是很有必要的，还有对外放电功能也特别好用，开这台车出行就意味着带了一个移动电站，随时随地户外用电。
    
    




            

            



        "
圉主镟律,2024-03-06 首次发表,"
            
                
                    9800km
                    
                    行驶里程
                
                
                
                
                
                    15.7kWh
                    春秋电耗
                
                
                
                
                
                
                    520公里
                    春秋续航
                
                
                
                

                
                
                    21.20万
                    裸车购买价
                
                
                    2023-06
                    购买时间
                
                
                    广州
                    购买地点
                
            
            
    
        
            
        
        
            
        
        
            
        
        
            
        
        
            
        
        
            
        
    
    

    
        $(document).ready(function () {
            var koubeiid = 5306757;

        });

    


            
                最满意
                爆发力很强了，提速很快吧，反正开着整体感受是很好的。
            
            
                最不满意
                外观的设计还是有点普通了，反正跟我想象中的有点不一样，看着整体感觉还是挺不错的。
            

            

    空间
        
            
            
        
        2
    
    
    储物的空间确实是蛮少的，我就希望后备箱的空间能够再大一些，这样装什么东西就方便多了。
    
    






                

    驾驶感受
        
            
            
        
        5
    
    
    每次提速都能够感受到爆发力很强的，提速很快的。
    
    






            

            




            

    续航
        
            
            
        
        5
    
    
    和很多的车相比这样的电耗是算比较低的了，所以开这个车还是很放心的。
    
    





            
            

    外观
        
            
            
        
        2
    
    
    每个人对于外观的评价都是不一样，我个人觉得外观确实没有那么漂亮，其他方面都还好。
    
    





            

    内饰
        
            
            
        
        3
    
    
    从一开始我就觉得内饰的用料是不怎么好的，因为用手摸上去也有一些粗糙。
    
    





            

    性价比
        
            
            
        
        3
    
    
    当时买车的时候就觉得性价比不高，因为送的礼品真的太少了，反正我是有点小失望的。
    
    





            
                

    智能化
        
            
            
        
        3
    
    
    整体的配置算是比较多的，但是还是有一些我觉得比较常用的配置，这个车没有，所以我觉得不咋满意。
    
    




            

            



        "
偶尔开个口,2024-02-04 首次发表,"
            
                
                    7600km
                    
                    行驶里程
                
                
                
                
                
                
                
                    15.6kWh
                    冬季电耗
                
                
                
                
                
                
                     520公里
                     冬季续航
                
                

                
                
                    22.68万
                    裸车购买价
                
                
                    2023-06
                    购买时间
                
                
                    佛山
                    购买地点
                
            
            
    
        
            
        
        
            
        
        
            
        
        
            
        
    
    

    
        $(document).ready(function () {
            var koubeiid = 5292418;

        });

    


            
                最满意
                品牌很出名，开这个车的感觉还可以的，还是很不错。
            
            
                最不满意
                速度还是稍微慢了一点，就是后期的提速没有我想象中的那么快。
            

            

    空间
        
            
            
        
        5
    
    
    不管是什么时候这样的空间都是符合自己的心里预期的，我觉得特别是后备箱的空间还是很大的。
    
    






                

    驾驶感受
        
            
            
        
        4
    
    
    不管是什么时候，我都觉得提速倒是挺快的这一点倒是没有那么多操心的，后期的提速再快一点就更好了。
    
    






            

            




            

    续航
        
            
            
        
        5
    
    
    电耗可以说是很低的，没有超出过自己的预期,而且电费也便宜，每个月能省不少钱。
    
    





            
            

    外观
        
            
            
        
        5
    
    
    外观的设计就是那种很大气的感觉，腰线的设计也是可以的，这些倒是不用操心。
    
    





            

    内饰
        
            
            
        
        5
    
    
    用手摸上去感觉内饰的用料是比较好的，真的不用我过多的说什么，座椅柔软舒服，开久一点也不会累。
    
    





            

    性价比
        
            
            
        
        5
    
    
    价格就不用说了，反正是我比较看好的价格，还赠送了很多小礼品，蛮高兴的。
    
    





            
                

    智能化
        
            
            
        
        5
    
    
    很多配置都是有的，还不错，用起来的时候就特别的方便。
    
    




            

            



        "
赵绪平,2024-02-04 首次发表,"
            
                
                    10000km
                    
                    行驶里程
                
                
                
                
                
                
                
                    19.6kWh
                    冬季电耗
                
                
                
                
                
                
                     290公里
                     冬季续航
                
                

                
                
                    14.99万
                    裸车购买价
                
                
                    2023-05
                    购买时间
                
                
                    商丘
                    购买地点
                
            
            
    
        
            
        
        
            
        
        
            
        
        
            
        
    
    

    
        $(document).ready(function () {
            var koubeiid = 5292355;

        });

    


            
                最满意
                首先要夸的，当然是颜值确实高呀！！！买车之前看过了几款车，风行雷霆是最有辨识度的一台，也是个人觉得最个性、最好看的一台！无论是前脸、侧脸还是车尾，360度无死角的帅气，哈哈哈。然后这个车的续航表现我也要夸一下，目前表显百公里电耗是15kWh左右，这么大的车子，加上现在也是冷天，我上车都是直接开暖气的，所以这个能耗表现我是满意的。
            
            
                最不满意
                买车的时候跟销售磨了几天，感觉优惠还可以再大一点，或者多送我一些东西也可以呀。
            

            

    空间
        
            
            
        
        5
    
    
    第二排空间比较宽敞，而且中间地台是纯平的，坐满三个人跑长途也一点问题都没。
    
    






                

    驾驶感受
        
            
            
        
        5
    
    
    不算很猛的那种动力调教，好处就是平缓线性的加速，减少了坐在车内的家里人的眩晕感，以前他们打车打到电车都说晕车的，但现在坐我的车，一点都不会抗拒，就很赞。
    
    






            

            




            

    续航
        
            
            
        
        5
    
    
    我买的是430km的续航版本，实际能跑到接近350公里，一周充电一次，一个小时不到就搞定，不会占用太多时间。
    
    





            
            

    外观
        
            
            
        
        5
    
    
    这个车的颜值上面也说了，是我最满意的，现在开在路上，回头率也是杠杠的高。
    
    





            

    内饰
        
            
            
        
        5
    
    
    内饰走简约、时尚的风格，没有过多复杂的元素，挺好。做工用料也不错，新车提回家的时候就没有啥味道，说明材质环保性也可以的。
    
    





            

    性价比
        
            
            
        
        4
    
    
    价钱不算便宜咯，不过一分钱一分货，这个车算是有颜值、有内在也有大空间，对于我来说，性价比是蛮高的。
    
    





            
                

    智能化
        
            
            
        
        4
    
    
    也不是什么科技控，所以智能化这个不好评价，就我用到的功能来说两句吧，360全景影像清晰度够高，定速巡航跑高速的时候也还算稳。
    
    




            

            



        "
眼笑迷人,2024-02-04 首次发表,"
            
                
                    4800km
                    
                    行驶里程
                
                
                
                
                
                
                
                    18.8kWh
                    冬季电耗
                
                
                
                
                
                
                     500公里
                     冬季续航
                
                

                
                
                    22.99万
                    裸车购买价
                
                
                    2023-09
                    购买时间
                
                
                    深圳
                    购买地点
                
            
            
    
        
            
        
        
            
        
        
            
        
        
            
        
    
    

    
        $(document).ready(function () {
            var koubeiid = 5292224;

        });

    


            
                最满意
                最喜欢的外观肯定是首要，外观就是形象，看着霸气，开出门都有很底气。
            
            
                最不满意
                最不满意的就是价格，新能源车价格就比较过硬，没什么优惠力度。
            

            

    空间
        
            
            
        
        5
    
    
    空间很大，内部设计一点不小，我175的身高里面前后排坐着都觉得很宽敞，头顶上面还有两拳的距离。
    
    






                

    驾驶感受
        
            
            
        
        5
    
    
    新能源车好开，动力很强劲，方向盘又灵活，转弯很顺手。
    
    






            

            




            

    续航
        
            
            
        
        5
    
    
    续航很高，充电上大城市都不用担心，充电桩位置很多，充一次电也是能开上两周。
    
    





            
            

    外观
        
            
            
        
        5
    
    
    外观很霸气，SUV大气一点，看着就很威武，而且轮毂好看，开着霸气。
    
    





            

    内饰
        
            
            
        
        5
    
    
    中控设计很时尚，内饰的材质用料也好，隔音效果不错，内部都没有什么噪音。
    
    





            

    性价比
        
            
            
        
        4
    
    
    性价比还是比较不错的，价格虽然不少，但是品牌我觉得很好，续航方面也不错。
    
    





            
                

    智能化
        
            
            
        
        5
    
    
    智能化配置都很高，自动泊车都支持，倒车贴心多了，还有感应后备箱，车机，语音交互都是常用到的。
    
    




            

            



        "
北方爱人08,2023-11-14 首次发表,"
            
                
                    3900km
                    
                    行驶里程
                
                
                
                
                
                    16.5kWh
                    春秋电耗
                
                
                
                
                
                
                    350公里
                    春秋续航
                
                
                
                

                
                
                    14.20万
                    裸车购买价
                
                
                    2023-05
                    购买时间
                
                
                    聊城
                    购买地点
                
            
            
    
        
            
        
        
            
        
        
            
        
        
            
        
    
    

    
        $(document).ready(function () {
            var koubeiid = 5215131;

        });

    


            
                最满意
                现在电车也是大趋势了，动力强、用车成本低都是优势，所以我们这次再给家里添置第二台车时毫不犹豫的选择了纯电动车，通过这段时间的用车来看，风行雷霆完全打消了我之前对纯电动车的一些偏见，最主要的就是续航，本来之前还挺担心后期的充电频率会太高呢，其实还真没有，这辆车的实际续航能够达到350公里左右的，对于我们经常城市代步的家庭来说充满一次电至少十天左右都不用管，跟传统燃油车一样省事，重点是充满一次电的花费可比加满一箱油要便宜多了。
            
            
                最不满意
                我觉得这台车子在质量方面确实没有什么问题，目前就是感觉整个的动能回收过程中平顺度不是很好，其他方面的表现其实都还可以。
            

            

    空间
        
            
            
        
        5
    
    
    雷霆的车内空间还是挺宽敞的，坐到前排视野非常开阔，坐到后排腿部空间也足够，而且后排的中间位置也同样是有头部靠枕的。
    
    






                

    驾驶感受
        
            
            
        
        4
    
    
    这台纯电动车的加速表现确实是相当合理的，而且电动机做功的时候也确实非常安静，但就是感觉这个动能回收的过程中不是特别平顺，目前还是有些不太适应。
    
    






            

            




            

    续航
        
            
            
        
        5
    
    
    这台车的续航表现还是挺让我骄傲的，充满一次电差不多能跑350公里左右，我们买这台车主要就是为了短距离代步方便，对我们来说十天充一次电都完全足够了。
    
    





            
            

    外观
        
            
            
        
        5
    
    
    作为全新车型的风行雷霆在外观的设计上还是挺有创意的，这无边框样式的前脸造型以及两侧个性十足的大灯使得整个车子看上去机甲风满满，包括中网内部的格栅造型也充满了未来感。
    
    





            

    内饰
        
            
            
        
        5
    
    
    这台车不仅拥有着个性十足的外观，而且内饰风格也同样是很有特点的，大量的圆形元素和亮色饰条看起来特别时尚，两块10.25英寸的大屏，周围也没有太宽的黑边，科技感还是很到位的。
    
    





            

    性价比
        
            
            
        
        5
    
    
    我们是新车刚刚上市那会就买车的，当时确实没有太大的优惠力度，但早买早享受嘛，况且添置了这台纯电动车之后也确实在很大程度上节省了养车花费，所以我还是觉得它的性价比挺高的。
    
    





            
                

    智能化
        
            
            
        
        5
    
    
    360度全景影像还是挺实用的，显示非常全面，而且成像效果也比较清晰，还有就是中控车机的很多功能也是可以语音控制的，这样就方便多了。
    
    




            

            



        "
长情战士r1,2023-11-14 首次发表,"
            
                
                    3500km
                    
                    行驶里程
                
                
                
                
                
                    17.0kWh
                    春秋电耗
                
                
                
                
                
                
                    340公里
                    春秋续航
                
                
                
                

                
                
                    14.10万
                    裸车购买价
                
                
                    2023-06
                    购买时间
                
                
                    内江
                    购买地点
                
            
            
    
        
            
        
        
            
        
        
            
        
    
    

    
        $(document).ready(function () {
            var koubeiid = 5215125;

        });

    


            
                最满意
                我觉得这台车的空间表现还是相当不错的，车身尺寸中规中矩，但实际坐进车内感觉活动空间还是挺充裕的，即便是车上五人满座的情况下每个人也都可以坐的很舒服，主要是后排地板中间没有太高的凸起，后排的中间位置也有头部靠枕，有必要的话还可以把后排座椅放平来延伸后备箱的储物空间，除此之外这台纯电动车的动力表现也是可圈可点的，十分跟脚的动力响应让人觉得车子开着特别轻快，而且电动机在工作过程中也是比较安静的，这样也带来了更棒的乘坐感受。
            
            
                最不满意
                对于一台15万级的国产纯电动SUV来讲，我觉得这台车子在这智能化配置上做的确实一般般，车机系统的功能不是很丰富，同时还不支持手机互联或映射，这就不太方便。
            

            

    空间
        
            
            
        
        5
    
    
    风行雷霆的车内空间还是挺宽敞的，我1.78米的身高坐在后排的中间位置腿部的活动空间都足够充裕，主要也是因为后排地板中间没有太高的凸起，所以满座三人的情况下也都是很自在的。
    
    






                

    驾驶感受
        
            
            
        
        5
    
    
    这台纯电动车的动力才是真正的“随踩随有”，电机的动力响应速度非常快，而且厚重的底盘对于不太好的路面有着非常棒的适应能力，所以车子开着也是很舒服的。
    
    






            

            




            

    续航
        
            
            
        
        5
    
    
    续航肯定是所有想买纯电动车的朋友都比较关心的问题，这台车的续航达成率也确实挺可以的，全程空调开启的状态下满电续航也是能够达到340公里左右。
    
    





            
            

    外观
        
            
            
        
        5
    
    
    之前在店里看车的时候就有被它的外观吸引到，前脸的机甲龙鳞格栅看上去未来感十足，包括两侧的大灯也是非常犀利的，不夸张的说这台车开出去回头率都很高。
    
    





            

    内饰
        
            
            
        
        5
    
    
    风行雷霆的内饰就走了这种比较简约的路线，中控部位简单且不缺乏层次感，而且通过挡杆周围的钢琴烤漆饰板也更好的增强了内饰的档次感，包括这个水晶挡把也是很显高级的。
    
    





            

    性价比
        
            
            
        
        5
    
    
    总的来讲这台车带来的动力体验和驾乘感受都是很OK的，而且纯电动车所产生的养车花费也真不高，包括本身的质量确实稳定，所以我觉得雷霆的性价比还是挺高的。
    
    





            
                

    智能化
        
            
            
        
        4
    
    
    对于这个价格的纯电动车来讲，很多车型也都拥有着丰富的智能化配置，但风行雷霆在这一方面并不是很出色，主要是基础的就是基础的中控车机也不是很好用，内部功能不是很丰富，而且像比较常用的手机互联以及OTA升级功能也都是不支持的。
    
    




            

            



        "
