字段1_文本,字段2,字段3
GrandLatte,2024-01-18 首次发表,"
            
                
                    400km
                    
                    行驶里程
                
                
                
                
                
                
                
                    17.7kWh
                    冬季电耗
                
                
                
                
                
                
                     450公里
                     冬季续航
                
                

                
                
                    19.20万
                    裸车购买价
                
                
                    2023-12
                    购买时间
                
                
                    上海
                    购买地点
                
            
            
    
    

    
        $(document).ready(function () {
            var koubeiid = 5278684;

        });

    


            
                最满意
                我对飞凡R7最满意的地方在于它的驾驶感受和续航能力。这款车的驾驶体验非常棒，动力充沛，加速顺畅，操控精准。无论是城市驾驶还是高速公路行驶，飞凡R7都能为我带来稳定和自信的驾驶感受。此外，它的续航表现也非常出色，满足了我日常出行的需求，让我无需担心电量不足的问题。
            
            
                最不满意
                虽然飞凡R7总体上让我非常满意，但也有一些细节需要改进。首先，车内的储物空间可以进一步优化，以便更好地存放随身物品。其次，如果能提供更多的智能驾驶辅助功能，如自动泊车等，将进一步提升驾驶的便利性。
            

            

    空间
        
            
            
        
        4
    
    
    飞凡R7的空间表现相当出色。前排座椅宽敞舒适，驾驶员可以自由调整座椅位置，获得最佳的驾驶视野。后排座椅同样宽敞，腿部和头部空间充足，使得后排乘客能够享受到舒适的乘坐体验。储物空间方面略显不足，但总体来说还是能够满足日常使用需求。
    
    
    
    从后方还是能看出R7空间还是挺大的
    


    
    
    溜背肯定会影响一些后排头部空间，但整体还好
    


    






                

    驾驶感受
        
            
            
        
        5
    
    
    动力输出平顺且强劲，加速表现非常出色。悬挂系统调校得当，路面不平时车身依然保持稳定。总体而言，飞凡R7提供了卓越的驾驶体验，无论是在城市道路还是高速公路上都能让我游刃有余。
    
    






            

            




            

    续航
        
            
            
        
        5
    
    
    在正常使用情况下，车辆的续航里程能够满足我一周左右的出行需求。目前冬天电耗稍微高点，大概17-18个电百公里，不过作为一台中大型SUV，这个电耗已经蛮不错了。
    
    





            
            

    外观
        
            
            
        
        5
    
    
    飞凡R7的外观设计时尚大气，线条流畅，充满动感。前脸造型独特，大灯组犀利有神，散发出强烈的科技气息。车身侧面线条优雅，配合溜背式设计，彰显出轿跑SUV的风范。尾部造型饱满，贯穿式尾灯与前脸相呼应，整体外观给人留下深刻的印象。
    
    
    
    
    


    
    
    
    


    
    
    
    


    





            

    内饰
        
            
            
        
        4
    
    
    内饰方面，飞凡R7注重品质和细节的处理，中控台布局简洁大方，，座椅材质柔软舒适，提供了良好的支撑性。
    
    





            

    性价比
        
            
            
        
        5
    
    
    相较于同级别的其他车型，飞凡R7的售价我只能说真香！它不仅具备了丰富的配置和出色的性能表现，还拥有品牌口碑和可靠的质量保证，综合考虑性价比实在是高啊！而且安亭交付中心也很气派，服务很好！
    
    
    
    
    


    





            
                

    智能化
        
            
            
        
        5
    
    
    车辆配备了很好用的车控功能和语音识别功能，让驾驶更加便捷和安全。同时，车机系统反应速度快，导航、音乐等应用程序一应俱全。
    
    
    
    
    


    




            

            



        "
不关橙喵喵的事,2024-01-03 首次发表,"
            
                
                    700km
                    
                    行驶里程
                
                
                
                
                
                
                
                    17.6kWh
                    冬季电耗
                
                
                
                
                
                
                     460公里
                     冬季续航
                
                

                
                
                    20.90万
                    裸车购买价
                
                
                    2023-12
                    购买时间
                
                
                    上海
                    购买地点
                
            
            
    
        
            
        
    
    

    
        $(document).ready(function () {
            var koubeiid = 5265862;

        });

    


            
                最满意
                外观大气，选21寸轮毂，大脚丫子，作为一只大SUV，侧面流线型＋溜背造型，真动感，很拉风。无框车窗，内饰和方向盘像我的奔驰glc，看起来有质感。驾驶感受操控很稳，车内隔音不错，提速很猛，经常悄无声息一下速度就上去了，还没注意到呢。自带hud平视，清晰度居然可以看剧（得停车时）。性价比超高，20万左右拿下这个配置，特别能打，朋友一看车第一反应说得快30了吧。
            
            
                最不满意
                没有副驾前面的那个储物箱（叫手套箱吧），可能三联屏大屏幕占了空间吧。车门边上的储物盒尺寸稍小。自带etc，用的是上海etc的微信小程序或app注册激活，不好的是后面绑卡流程很不方便，好处是外观简洁集成在后视镜上面盒子内，不用后装。
            

            

    空间
        
            
            
        
        4
    
    
    车子空间够大，前后排我都试过，我是175cm，170斤，感觉宽敞舒适。加上头部超大玻璃顶，躺下看全景树荫啊。门板储物格恰好放个2～3瓶600ml那种矿泉水吧，略小。中间扶手箱大小还可以，设计像奔驰，再前面是放手机无线充电和杯子的区域。
    
    
    
    
    


    
    
    
    


    
        ☆ 空间设计亮点
        左边箭头指的地方是放手机，可以支持无线充电，盖子往前一推，会向后缓慢闭合，像电动的一样有点意思。右边箭头指的是放杯子的地方，往后翻盖掀开，2个圆是下沉式的水杯架
        
        
    
    
    
    


    
    
    
    


    






                

    驾驶感受
        
            
            
        
        5
    
    
    驾驶体验可以调节，我选的无级提速，像动力响应，刹车，方向盘都是标准模式。
    
    
        起步/加速动力
        标准模式下动力响应绝对够用，一脚就窜出去了。起步要是踩到底，有贴背窒息感。
        
        
    
        方向盘轻重
        标准模式下方向盘偏稳重，尤其高速时感受我觉得偏重，可以自己调轻点
        
        
    
        刹车灵敏性
        刹车很好！一踩就有，车虽然2吨了还重些，感觉比我奔奔glc刹得住，刹车也确实如宣传说的能抑制点头，车身稳健
        
        
    






            

            




            

    续航
        
            
            
        
        4
    
    
    冬季续航还可以。返程一次性连续开了106公里，有一半路程是高速基本按110码左右开的，室外5摄氏度，综合电耗百公里17.6度。进阶pro版总共是77度电。
    
    
    
    
    


    
        充电时间
        室外5摄氏度公共桩，从14%开始充电，是国家电网e充电。超充口是充电小门里面左边那个。充到88%，用了1个半小时左右
        
        
    
    
    
    


    
    
    
    


    
    
    
    


    





            
            

    外观
        
            
            
        
        5
    
    
    这些图是我元旦大冬天开去太湖西山岛环岛自驾游的图片。
第一张，一人一车，依在湖面石桥上，特别凸显车身线条和比例，帅的很！
第二张是45度前方模样，车头造型我也喜欢（屁股白天看一般般）
    
    
    
    
    


    
    
    
    


    
        车灯造型
        晚上停在明月湾古村，有点雾，下车忽然看车灯射出两道光线，倍有神，这个角度看有点像驯龙高手里面的小黑龙。
尾灯不是跟风一根线贯穿那种看起来呆呆的，线条有设计感，这点我比较喜欢
        
        
    
    
    
    


    
    
    
    


    
        车窗车门
        无框车窗，像跑车吧，24款用的是电吸门！
        
        
    
    
    
    


    





            

    内饰
        
            
            
        
        5
    
    
    内饰棕色，座椅是软皮质的，带通风加热按摩，坐上去蛮舒服，加上隔音好，很享受，家人在外面边上说话都听不见。中间后视镜是视频的，可以关掉变成普通后视镜，但溜背的后窗视野会小，所以建议别关。车机超大三联屏，副驾老婆坐，单独副驾屏幕，副驾座椅带腿托，所以老婆一上车就是加热按摩躺下看剧
    
    
    
    
    


    
    
    
    


    
    
    
    


    
        座椅舒适性
        前排和后排坐垫尺寸充足，坐上去对腿部支撑很好，屁股很享受
        
        
    
    
    
    


    





            

    性价比
        
            
            
        
        5
    
    
    性价比很高，20万左右很能打，还是大suv。配置非常齐全了，该有的都有了，我前前后后都说了些，太专业的词汇我也不懂，可以对比下。我前期也对比了蔚来，特斯拉，还是被新R7的外观、配置和价格吸引。
    
    





            
                

    智能化
        
            
            
        
        4
    
    
    当你新车停车不想被右边车子开门杀时，是不是得使劲靠左边。太贴左边是不是上下车不方便？我反正可以用app在车外边遥控车子出了车位，然后再上车。
冬季出行前，可以用app远程开启暖风，提前预热。
    
    
    
    
    


    
        夜间智能驾驶辅助
        在高速上，特别是夜间我专门测试了一下高速领航功能，手不用管方向，车道线和周边障碍物识别准确，带华为ar hud平显还会给你在挡风玻璃上标出有别的车忽然切入了你的车道，这时车子会及时减速。
        
        
    
        智慧空调
        车子在经过隧道、拥堵路段时，语音提示会把空调自动切换为内循环模式，避免吸尾气。
        
        
    
        AR HUD平视
        停车的时候，我喜欢把综艺视频在HUD上投出，清晰度可以，方便正靠座椅上按按摩看剧不用斜视。
        
        
    
    
    
    


    




            

            



        "
会飞的猪R7,2023-12-13 首次发表,"
            
                
                    2799km
                    
                    行驶里程
                
                
                
                
                
                
                
                    18.0kWh
                    冬季电耗
                
                
                
                
                
                
                     420公里
                     冬季续航
                
                

                
                
                    18.98万
                    裸车购买价
                
                
                    2023-12
                    购买时间
                
                
                    深圳
                    购买地点
                
            
            
    
        
            
        
    
    

    
        $(document).ready(function () {
            var koubeiid = 5242613;

        });

    


            
                最满意
                舒适性高，隔音好，操控性好，智能配置够用，豪华配置很高，面子里子都有
            
            
                最不满意
                安全带设计确实有点不合理，每次上车系安全带有点费劲
            

            

    空间
        
            
            
        
        4
    
    
    乘坐空间没问题，储物空间一般，没手套箱，杯架储物槽设计不合理，不该带绒，无线充太靠前，拿手机不方便
    
    
    
    
    


    
    
    
    


    






                

    驾驶感受
        
            
            
        
        5
    
    
    动力强劲，油门和刹车灵敏，刹车点头不明显，单踏板模式特别好用。低速刚启动那个区间偶尔感觉有明显顿挫，自动驻车好用。
    
    
        起步/加速动力
        起步可以很温柔也可以很暴力，朋友开我车都说百公里加速不超过5秒，体感加速度快
        
        
    






            

            




            

    续航
        
            
            
        
        5
    
    
    平均时速120高速续航电耗20-22，城乡道路电耗基本在14左右，续航蛮扎实。我开单踏板模式，最低能耗开过11.3，没开空调，室外温度16度，并不是最温柔驾驶，平均速度也40左右了，国道，按这个能耗可以续航600+。高速续航测了几次，每次不一样，深圳测一次时速120时电耗25，车载3人加行李。在合肥到徐州高速测过一次，同样时速3人，电耗只有不到20，我感觉应该是路况问题，合肥到徐州下坡？
    
    





            
            

    外观
        
            
            
        
        4
    
    
    前脸设计满分，屁股设计不及格，不喜欢这个屁股，不够性感
    
    
    
    
    


    





            

    内饰
        
            
            
        
        4
    
    
    内饰颜色其实白色最漂亮，棕色次之，总体内饰质感不错。座椅舒适性很好，长途开了两千公里没感觉屁股不舒服，座椅通风和按摩很好用。原车门槛条贴在中间不太合理，应该靠边贴才能起到防刮作用。
    
    
    
    
    


    
    
    
    


    





            

    性价比
        
            
            
        
        5
    
    
    本来订了智己ls6，21.67，交了2000订金锁单，因为试驾不太满意，感觉智己太追求运动感，动能回收弱导致电耗高，还有倍耐力轮胎胎噪太大，走烂路低频振动扰人烦，决定放弃重新选。这时新R7上市价格出来18.99，省了两万多，真香。现金优惠3000，选装2000air-hud，试驾各方面满意，配置到顶，电吸门都送了，还能拿深圳地补，真香。
    
    





            
                

    智能化
        
            
            
        
        4
    
    
    语音交互只能做到基本操作，还有更加人性化的操作需要OTA，比如我要切换内循环，空调是要先开启才切换。基础版的智能领航就是车道居中保持，对我来说够用了，蛮好用。360影像好多车友反映不清晰，尤其车侧两边晚上不清晰，我没有太依赖360，但是如果能清晰一些更好。
    
    




            

            



        "
a九离i,2024-02-15 首次发表,"
            
                
                    1000km
                    
                    行驶里程
                
                
                
                
                
                
                
                    18.9kWh
                    冬季电耗
                
                
                
                
                
                
                     601公里
                     冬季续航
                
                

                
                
                    23.10万
                    裸车购买价
                
                
                    2024-01
                    购买时间
                
                
                    泉州
                    购买地点
                
            
            
    
    

    
        $(document).ready(function () {
            var koubeiid = 5295300;

        });

    


            
                最满意
                在颜值即正义的时代R7炫酷的外观流畅的车身线条深深吸引了我，同时是同级别唯一能够选装华为AR-HUD车型，智能交互体验十分优秀。还拥有同级别最大的空间，头部腿部空间表现十分出色，手能摸到的地方都是软包材质，豪华感十足，前排座椅通风加热按摩极大增强了驾驶人员的舒适性。
            
            
                最不满意
                车机自带的百度地图版本过于落后，夜间360清晰度过低希望下次OTA能够有所提升。
            

            

    空间
        
            
            
        
        4
    
    
    前排调到最舒适的位置后排空间表现依旧十分优秀，腿部空间有个3拳的距离，溜背设计头部也有个2拳距离。后备箱空间比想象中的大，能够满足日常使用需求。
    
    
    
    
    


    






                

    驾驶感受
        
            
            
        
        5
    
    
    0到100加速5.8秒，动力输出十分线性。起步嘎嘎丝滑，高速行驶非常容易不知不觉就超速了。刹车的灵敏度可调节，每个人都能找到合适的力度。急刹不点头，过弯不侧倾，颠簸路段少摇晃，极大的增强了驾乘人员的舒服性。亲测家人乘坐未出现晕车的情况。
    
    






            

            




            

    续航
        
            
            
        
        5
    
    
    坐标福建气温20度，空调自动风，动力标准，动能回收全关。高速全程300公里压着限速120开，电耗控制在18.9，超出了我的想象，整体来说能耗的表现还是非常的优秀，毕竟这是一台车长4.9米的SUV。
    
    





            
            

    外观
        
            
            
        
        5
    
    
    前脸造型犀利，车身线条流畅，选了生耶拿铁配色，侧颜无敌好看。
    
    
    
    
    


    
    
    
    


    





            

    内饰
        
            
            
        
        5
    
    
    棕色内饰豪华感十足，手能摸得到的地方都是软包材质，总体非常满意。
    
    
    
    
    


    
    
    
    


    





            

    性价比
        
            
            
        
        5
    
    
    综合性价比无敌，同级别唯一一个能够选装华为AR-HUD就拉开了与其他竞品车型的差距了。购车前试驾了大众途观，后续听朋友推荐又试驾了比亚迪宋，总感觉差点意思迟迟没有下订。后续又陆陆续续试驾了深蓝S7，小鹏G6终因各种原因被我否决。选装了21寸轮毂及生耶拿铁配色，保险4S赠送，指导价即落地价。
    
    





            
                

    智能化
        
            
            
        
        5
    
    
    RISING OS智能座舱，双区独立影音场景，同时支持副驾领航，避免了驾驶时分心导航。同时搭配AR -HUD进一步提升驾驶感受，在也不用担心错过路口了。
    
    




            

            



        "
深圳车友0220706,2024-02-05 首次发表,"
            
                
                    1500km
                    
                    行驶里程
                
                
                
                
                
                
                
                    17.0kWh
                    冬季电耗
                
                
                
                
                
                
                     390公里
                     冬季续航
                
                

                
                
                    19.00万
                    裸车购买价
                
                
                    2023-12
                    购买时间
                
                
                    东莞
                    购买地点
                
            
            
    
        
            
        
    
    

    
        $(document).ready(function () {
            var koubeiid = 5292959;

        });

    


            
                最满意
                最满意的是这个车身霸气，上汽集团出来的有保障，内饰的座椅真心是舒服。还有底盘很舒适
            
            
                最不满意
                目前还没有发现不满意的地方，就是语音识别让他开灯，就不是变成自动的了 锁车了也还会亮着灯，要手动改善，希望OTA升级改善。还有就是偶尔自己保存的设置 有时候会默认！
            

            

    空间
        
            
            
        
        5
    
    
    空间很大，比后排1.82坐下去还有很大空间
    
    
    
    
    


    






                

    驾驶感受
        
            
            
        
        5
    
    
    加速只要舍得油门。一定可以给你满满的回馈，而且加速的时候不会有很强的抬头感觉
    
    
    
    
    


    






            

            




            

    续航
        
            
            
        
        5
    
    
    续航：570，高速实际能跑出420，这样的续航算很可以了。
    
    





            
            

    外观
        
            
            
        
        5
    
    
    外观就不用说啦，颜值很高，溜背帅气。
    
    
    
    
    


    
        车身做工
        车上做工很惊喜，方向盘就可以看的出来很用心
        
        
    





            

    内饰
        
            
            
        
        5
    
    
    内饰做工很精细！纳帕皮，感觉全身被包裹住了一样 ，确实是做到舒适了，巴赫座舱不是吹的给个大大的赞，
    
    





            

    性价比
        
            
            
        
        5
    
    
    性价比超高，毋庸置疑，这个价格，续航 空间 配置和这个驾驶感受，吊打某斯拉。
    
    





            
                

    智能化
        
            
            
        
        5
    
    
    智能化还可以，基本上全部都是语音识别，但还有些识别不了，希望后续升级改善！
    
    




            

            



        "
武裝戰線,2024-01-05 首次发表,"
            
                
                    570km
                    
                    行驶里程
                
                
                
                
                
                
                
                    18.0kWh
                    冬季电耗
                
                
                
                
                
                
                     400公里
                     冬季续航
                
                

                
                
                    19.60万
                    裸车购买价
                
                
                    2023-12
                    购买时间
                
                
                    南京
                    购买地点
                
            
            
    
    

    
        $(document).ready(function () {
            var koubeiid = 5266970;

        });

    


            
                最满意
                R7车型设计年轻化，充满时尚感。
操控体验：方向盘手感轻盈，指向精准没有虚位，提速阶段反馈迅速，超车毫无压力。
乘坐舒适：空间大，悬架调教软硬适中，能够过滤掉路面上大部分细碎的震动，同时又不失路感，全车使用双层夹胶玻璃，隔音效果也不错。
座椅舒适：包裹感很强，驾驶和乘坐都很舒适，对驾驶员来说是一个不错的驾驶体验。
            
            
                最不满意
                原厂没有遮阳帘，太阳较大的情况下真的很晒，副厂装的又太丑，建议厂家考虑加装个电动遮阳帘
            

            

    空间
        
            
            
        
        5
    
    
    宽敞的空间：飞凡 R7 的车身尺寸非常大，车内空间非常宽敞。我身高 1.81米，坐在前排时，头部和腿部都有很大的空间，完全没有压抑感；
    
    






                

    驾驶感受
        
            
            
        
        5
    
    
    飞凡R7驾驶感受平顺安静，加速和减速线性，车内噪音小，底盘调校出色，续航能力强。
    
    






            

            




            

    续航
        
            
            
        
        4
    
    
    快充一个小时能充到80%以上，表显续航比较准确，冬季0度左右 充满电续航能跑到四百
    
    





            
            

    外观
        
            
            
        
        4
    
    
    飞凡R7的外观采用简约且富有科技感的设计元素，封闭式中网配合贯穿式灯带，让整体看来更具前卫时尚和辨识度。溜背式车顶和动感的腰线设计，进一步提升了整车的运动姿态，比较符合年轻人的审美需求。
    
    
    
    
    


    
    
    
    


    





            

    内饰
        
            
            
        
        4
    
    
    飞凡R7的内饰设计简约，与该车的定位相符合。内饰造型柔和，内饰摸起来手感比较舒适。中控屏采用触控设计，三连屏颇具层次感。座椅宽大厚实，乘坐感受舒适解压。
    
    
    
    
    


    
    
    
    


    





            

    性价比
        
            
            
        
        5
    
    
    20万内新能源性价比无敌，与同级别车型相比，飞凡 R7 的优势在于四门电吸，早期预定还有21寸轮毂，空间宽敞、动力强劲、风阻系数低、适度高。
    
    





            
                

    智能化
        
            
            
        
        4
    
    
    先进的智能驾驶系统，飞凡 R7 搭载了先进的智能驾驶系统，自适应巡航、车道保持等功能，让驾驶变得更加轻松和安全。而且，它还配备了智能语音助手，通过简单的语音指令，我就可以控制车窗、空调、音乐等功能，非常方便。特别强调下，副驾屏幕看电影可以单独连接蓝牙耳机，跟主屏音乐互不打扰。
    
    
    
    
    


    
    
    
    


    




            

            



        "
飞凡车友668,2024-02-06 首次发表,"
            
                
                    700km
                    
                    行驶里程
                
                
                
                
                
                
                
                    23.0kWh
                    冬季电耗
                
                
                
                
                
                
                     350公里
                     冬季续航
                
                

                
                
                    21.20万
                    裸车购买价
                
                
                    2024-02
                    购买时间
                
                
                    上海
                    购买地点
                
            
            
    
    

    
        $(document).ready(function () {
            var koubeiid = 5292993;

        });

    


            
                最满意
                用电还是比用油便宜很多，冬季算下来也就1毛钱不到一公里

配置高，当今主流电动车的舒适配置，例如座椅通风，按摩，方向盘加热，hud抬头显示，都一应俱全。

加速快，不到6s的提速，秒杀原本想要购买的小钢炮

高阶智驾，功能还可以，特别是堵车的时候，解放了脚

空间大，特别是后排，三个人坐着也不再拥挤了
            
            
                最不满意
                玻璃顶，夏天怕晒，不过飞凡交付专员送了一个遮阳帘，等夏天的时候装上试试看。
            

            

    空间
        
            
            
        
        5
    
    
    前排空间大，副驾还可以有腿托，后排空间很大，头部空间也没问题，一家人坐着都不嫌挤，怀挡的设计，让中间扶手箱变得很大，很方便
    
    
    
    
    


    
    
    
    


    






                

    驾驶感受
        
            
            
        
        5
    
    
    加速给力，还有座椅按摩，可以边开车边按摩，副驾大屏还可以看电视剧，无极模式让电车开起来更像油车，没有那么大的顿挫感，即使晕车的人也没有那么强烈的不适感
    
    
    
    
    


    






            

            




            

    续航
        
            
            
        
        4
    
    
    装了家用充电桩，没有续航焦虑，用电也比较方便便宜。冬季要打个6折吧，夏季等到试过才知道
    
    





            
            

    外观
        
            
            
        
        4
    
    
    喜欢前脸设计风格，大灯也很好看，总体来说还是比较满意的，不太像一般的SUV那么臃肿
    
    





            

    内饰
        
            
            
        
        5
    
    
    内饰手摸到的地方都是软的，点赞。座椅加热，方向盘加热，都很舒服。中空大屏还是挺好的，虽然很像奔驰的设计。实用主义，自己用着舒服最重要
    
    
        内饰用料
        内饰用料良心，一直是上汽的风格。基本没有难闻的异味，新车味比较淡
        
        
    





            

    性价比
        
            
            
        
        5
    
    
    家用车中性价比较高，买这个车子就是冲着性价比去的，很满意。相比去年的价格，降了不少，也划算了一些，适合入手了
    
    





            
                

    智能化
        
            
            
        
        4
    
    
    自动泊车好用，自动跟车也可以，车机速度快，反应迅速。就这个价钱来说，智能化做的已经很好了。
    
    
    
    
    


    
    
    
    


    




            

            



        "
小董董180,2024-02-02 首次发表,"
            
                
                    500km
                    
                    行驶里程
                
                
                
                
                
                
                
                    18.0kWh
                    冬季电耗
                
                
                
                
                
                
                     400公里
                     冬季续航
                
                

                
                
                    19.19万
                    裸车购买价
                
                
                    2024-01
                    购买时间
                
                
                    杭州
                    购买地点
                
            
            
    
        
            
        
    
    

    
        $(document).ready(function () {
            var koubeiid = 5290957;

        });

    


            
                最满意
                满意现在说不上来，跟奥迪比起来很一般，所谓的智能化意义不大
            
            
                最不满意
                做工粗糙，车门异响，所有按键都有延迟，续航打7折
            

            

    空间
        
            
            
        
        4
    
    
    空间表现一般，没有前备箱，没有手套箱，储物空间太少了，而且后备箱和车内是通的，没有隔断
    
    
    
    
    


    
    
    
    


    






                

    驾驶感受
        
            
            
        
        3
    
    
    驾驶感觉就这样，没有什么可圈可点的地方，跟奥迪比起来也就提速快一点
    
    






            

            




            

    续航
        
            
            
        
        3
    
    
    续航虚的厉害，570的续航，实际使用最多350，就算很小心的开趴窝了最多也就400
    
    
    
    
    


    





            
            

    外观
        
            
            
        
        5
    
    
    就是奔着这个外观去去的，可能是为数不多的亮点
    
    
    
    
    


    
    
    
    


    





            

    内饰
        
            
            
        
        5
    
    
    内饰看得见的地方都是软包，这是为数不多的可以表扬的地方
    
    





            

    性价比
        
            
            
        
        4
    
    
    性价比不好，这个价格，做工太差了，车门都装不好，开了3天，两个后门都异响
    
    





            
                

    智能化
        
            
            
        
        4
    
    
    智能化其实都是噱头，也就是刚刚拿到手的时候新鲜一下
    
    




            

            



        "
mhjann,2023-12-19 首次发表,"
            
                
                    103km
                    
                    行驶里程
                
                
                
                
                
                
                
                    15.0kWh
                    冬季电耗
                
                
                
                
                
                
                     450公里
                     冬季续航
                
                

                
                
                    18.99万
                    裸车购买价
                
                
                    2023-12
                    购买时间
                
                
                    杭州
                    购买地点
                
            
            
    
    

    
        $(document).ready(function () {
            var koubeiid = 5248295;

        });

    


            
                最满意
                外形不错，配置也高，空间够，上汽也是大牌子。对比了很多，就是觉得这车基本是20以内纯电最能打的
            
            
                最不满意
                屏幕不能自己调节雨刮器的速度，这个不太满意。其他都还好
            

            

    空间
        
            
            
        
        5
    
    
    空间不错，我之前八代凯美瑞，后面空间太小，这个完全满足日常需求
    
    






                

    驾驶感受
        
            
            
        
        5
    
    
    动力还不错，也比较顺畅，开起来比我同事的特斯拉好太多了
    
    






            

            




            

    续航
        
            
            
        
        4
    
    
    高速续航是真不行，城市道路开开我估计480问题不大，我一个星期充一次电
    
    





            
            

    外观
        
            
            
        
        5
    
    
    有点保时捷的感觉，前灯有点熏黑，很帅，其实更喜欢生耶拿铁，就是要加钱
    
    
    
    
    


    





            

    内饰
        
            
            
        
        5
    
    
    皮质包围感觉不错，有质感，氛围灯也能调节
    
    





            

    性价比
        
            
            
        
        5
    
    
    20以内最能打的纯电，没有之一，别克E5太粗糙，小鹏G6有点小，价格还要贵。比亚迪小问题太多了设计感也不强。看到R7降价直接下定
    
    





            
                

    智能化
        
            
            
        
        4
    
    
    该有的功能都有，平常开开真的足够了，充电口不能感应充电枪自动开门这个不大好，每次还要自己摁一下
    
    




            

            



        "
吴1234567897431,2024-02-12 首次发表,"
            
                
                    628km
                    
                    行驶里程
                
                
                
                
                
                
                
                    16.8kWh
                    冬季电耗
                
                
                
                
                
                
                     535公里
                     冬季续航
                
                

                
                
                    31.90万
                    裸车购买价
                
                
                    2024-01
                    购买时间
                
                
                    泉州
                    购买地点
                
            
            
    
        
            
        
        
            
        
    
    

    
        $(document).ready(function () {
            var koubeiid = 5294630;

        });

    


            
                最满意
                外观大气，侧面流线型＋溜背造型，R7车型设计年轻化，充满时尚感，简单来说，开出去相当有面子，同时乘坐舒适且空间大，座椅舒适，包裹感很强，按摩功能很舒服，全车使用双层夹胶玻璃，隔音效果非常不错，驾驶体验不错，价格还是很实在，用功质量都很NICE，智驾各方面的配置做得都是顶级的安全系统和辅助驾驶系统都非常的全面，而且动力也特别的给力
            
            
                最不满意
                这车需要很爱卫生，为啥，上面天窗看风景很漂亮，但是有些赃物会很明显的，同时没有遮阳帘，太阳较大的情况下真的很晒，网购的遮阳帘感觉档次又差一点，有点难于抉择，储物的空间感觉少了点，没有我想象中的那么大，尤其副驾驶手套箱
            

            

    空间
        
            
            
        
        5
    
    
    这款车子的空间确实是Very Good，其实是身高1.8米多的大个,腿部空间非常宽松,头部空间也是非常充足的,一拳多是有的，尤其是后排座椅，也兼顾了头部空间，这一点的设计真的非常的人性化。后排的三个座椅空间都很大，人坐在里面活动自如，翘个二郎腿是毫无压力,中间位置也没有突出的地方，整体的乘坐感受是非常好的，而且腿部空间比较宽敞,坐着很舒服，比原来B级车完全不可同日而语。后备箱的空间就更大了，
    
    
    
    精彩的图片备注能为你的口碑增彩
    


    
        乘坐空间
        3个人将近500近，坐着也不会显得特别拥挤
        
        
    
    
    精彩的图片备注能为你的口碑增彩
    


    






                

    驾驶感受
        
            
            
        
        5
    
    
    车子虽然很大，但是开起来,怎么说呢，特别的轻便，方向盘非常的柔和对于家用来说动力足够了，毕竟天天拉5个人次数也不多。起步平顺，加速线性，没有小排量涡轮发动机的那种延滞感，尤其没有眩晕感，有些电车开完有点晕车
    
    
    
    精彩的图片备注能为你的口碑增彩
    


    






            

            




            

    续航
        
            
            
        
        4
    
    
    百公里电耗在16.8千瓦左右，第一次跑了540KM,在充电的，基本跑到剩下15%，这样的表现应付日常用车，市区驾驶，还是绰绰有余的，一周充电一次，一次70块，确实比油车香多了。周末来个小长途自驾游，快充功能非常的给力，半个小时就可以充满电了就是现在充电桩多了，但是还是比油站少，有这个水平还是挺让人放心的。
    
    





            
            

    外观
        
            
            
        
        5
    
    
    外观运动感实足，车身线条流畅，时尚造型，寸轮毂又大气，LED日间行车灯又好看，开着回头杠杠
    
    
    
    精彩的图片备注能为你的口碑增彩
    


    





            

    内饰
        
            
            
        
        5
    
    
    棕色皮质，质感实足，太高档了，40万车都不一定有的质感，确实是做到舒适了，巴赫座舱不是吹的给个大大的赞
    
    
    
    精彩的图片备注能为你的口碑增彩
    


    





            

    性价比
        
            
            
        
        5
    
    
    性价比很高，尤其现在各个汽车品牌卷起来，让我有计划买到这个划算的性价比
    
    





            
                

    智能化
        
            
            
        
        5
    
    
    一个屏幕，3个屏显，特别高档，整体性强大，辅助驾驶和车载智能系统用的都是最高级的，真是方便呀
    
    




            

            



        "
