字段1_文本,字段2,时间,字段3
折一朵草莓,"首先说下为什么要买这辆车，家里一直开的是日系油车（这个喷子勿怪哈），由于日系油车开了好多年开下来是相当的满意，事少，保养便宜，不容易把你抛路上，基于以上几点，再结合日系车的大本营广汽集团，本着对广汽集团做工上乘的感觉，又本着支持国货的心理，来广汽埃安4S淘淘货，进到展厅里面被广汽埃安V70科技版给吸引住了，又经过销售员多角度多维度多深度的讨价还价以后，家里人一商量，就合计买它了，主要它还送沪牌。买了之后当然要评价一番咯！

【最满意】
车内空间够大，属于中大型SUV，躺在后排，脚放的比较轻松，空间足够！真皮座椅材质感很好，让人坐上去很舒服，时间久了，也不会感到不适感，这个和日系座椅调节很像。储物格设计的也比较好，能满足放置各种乱七八糟东西需要，反正一定要有！要可以放！
方向盘比较轻巧，不用什么力气就能得到很好的操控体验，女孩子开也很简单，再配上电车那起步快，响应快的优势，推背感还是很强烈的。
【最不满意】
说好了满意的，那必须要说些不满意的，第一个就是广汽埃安的车机，一点没有亮点可以说是，反应中规中矩，车机软体一般，这个能不能给厂家点意见，都这个价位了是不是可以考虑鸿蒙系统，万物互联啊，这个挡位配上华为车机系统，那才是电车需要有的！
第二个要吐槽的是冬季电量虚的问题，也看过网上好多自媒体车评价所测试的冬季亏电情况，相对的对于电车来说，冬季亏电是真伤不起，7折是常态，有的时候到6折，开长途的时候还是会有续航焦虑，会让人有很大的压力感，就怕开到一半路没有电了，抛路上。目前没有出现过，续航还是比较满意
以上是我这个埃安车主的用车感受，就当散文随便看就行哈！",2024-02-19,
用户5309371929868,"【购车经历】
7月底提的车，坐标武汉，送的东西看不上都没要（什么垫子，膜之类的），送个延保…我不是什么大神，就类似于那种什么地盘很散，压到石子怎么怎么样之类的具体描述，我表述不出来…买之前看过id4,宋，元，深蓝，海豹，小鹏，零跑，埃安Y（像面包车）,S（老婆不喜欢）,综合情况，最终选的这个（主要是用车较多，有延保感觉好一点）
【空间表现】
空间来说，家里人都跟满意，够大，对于我这种司机来说无所谓，反正没人跟我抢位置😂
【续航】
以目前的天气（36度左右），就城区路况而言，我自己感觉续航应该能跑到个9.5折左右，肯定不会低于9折，车在续航还有120公里的时候跑过一次比较极限的续航，往返大概100公里，跑完还剩5%，10%以下具体续航数就不显示了，而且有非常明显的类似于电流的声音！！！8.10跑了个自驾，目的地恩施，转一圈之后去了湘西，张家界，然后回家。全程1500多公里，（城市路况10%，高速40%，山区50%）全程单踏板模式，3档空调，人+物负载大概380斤左右，音乐，座椅通风，没有刻意的去节约或怎么样，第一站建始，310公里左右，满电出发，具体能耗没看，因为够用，就没有太在意这个，爬山最高的时候干到38.7kwh,最低的时候是0，还能反充点，也不知道怎么去算，是高还是低也说不清楚，看官们自己算吧（懒😂😂）第一个图是第一天充电的，第二个是全程的，因为忘记拍了，又多跑了100多（高速占70%）

【驾驶感受】
对于我这个驾驶不算激烈的习惯来说还可以
【智能化】
对于ID都在考虑范围的人，你们懂得
【吐槽】
车机，一切的源头就是这个有点蠢的玩意，不能修改默认播放器，用蓝牙或下载的其他播放器放歌，如果一不小心打开了默认播放器，因为不能完全退出，那怕暂停了，在你用方向盘点下一首的时候，默认播放器会和你抢，播放器的优先级更高，要解决，只能重启；在其他播放器放音乐（如酷狗），主界面不会显示歌曲名，歌词等信息，默认播放器和蓝牙没影响，可以正常显示。导航也蠢且轴，能直行的让你转弯掉头在转弯，我要走国道，非让我掉头走高速，按手机导航来说，我已经走过高速口了，应该智能跟我搞新路线，它不行，你的掉头进高速，导致我现在走偏远路线的时候已经放弃了车机导航。
app里的能耗明细会掉，且不准。
倒车影像和360影像，当在酷狗页面放歌时遇到过影响切不出来的情况，回主页后又正常了…
【总结】人无完人，车无完车。不太在意智能化（相较于手机），日常的使用基本满足。毕竟开车的时候也没空去鼓捣这么多东西，干不过就放弃，无非就是上个手机支架😡😡😡",2023-08-30,武汉
汽车图书室,"首先从外观上来看，采用了封闭式的格栅设计，并且采用了分体式的LED大灯，整个前脸设计得很有辨识度，外观设计得比较英俊时尚。

从侧面来看，车身设计的比较饱满，并且采用了无门把手的设计风格，风阻系数0.321Cd，汽车的长宽高为4650x1920x1720mm，轴距为2830mm。

从尾部来看，两侧设计了个性的尾灯，并且还采用了内凹的设计风格，底部采用了黑色的包围，给人一种稳重和敦实的感觉。

内饰风格
内饰方面来看，设计得比较简洁大气，采用了贯穿式的线条，搭载15.6英寸中控屏、12.3英寸全液晶仪表盘、皮质多功能控制方向盘、可开启全景天窗等。车机系统支持GPS导航系统、导航路况信息展示、道路救援服务、车联网、OTA升级、语音识别控制系统等，增加了后期的可玩度。

空间大小
笔者身高178cm，首先将座椅调整至正常间距，笔者进入前排进行体验，头部空间有2拳多点距离，进入后排进行体验，头部空间有2拳的距离，腿部空间也有3拳的距离，车内乘坐空间宽敞，后排都可以翘起来二郎腿。

后备箱的空间也不小，内部设计得比较平整，容积达到了404L，并且后排的座椅还可以直接放倒，这样后备箱的空间就更加宽裕了。


车型配置
配备ABS防抱死、后驻车雷达、倒车影像、360°全景影像、定速巡航、上坡辅助、制动能量回收系统、低速行车警示音、无钥匙进入、远程启动等，支持运动、ECO、标准舒适三种驾驶模式。


动力扭矩
搭载永磁同步电机，电动机总功率165kW，电动机总马力224Ps，电动机总扭矩350N·m，匹配电动车单速变速箱，官方百公里加速时间7.9s，百公里耗电量15.3kWh/100km。搭载磷酸铁锂电池，电池容量71.8kWh，支持快充、低温加热和液态冷却，纯电续航为500km。


试驾体验
在试驾体验这款车时，起步的时候比较轻快，轻踩加速踏板，就能得到不错的速度反馈，虽然不会有特别强烈的推背感，但是线性加速比较稳定。当速度达到每小时80公里时，深踩加速踏板，还是能清晰感觉到，速度在逐渐提升，并且方向盘转向轻盈，也没有虚位，属于容易上手的车型，试驾体验良好。


底盘调校
底盘方面，前悬架为麦弗逊式独立悬挂，后悬架为多连杆式独立悬挂，底盘的滤震效果不错，在经过一些减速带的时候，底盘能够很好地过滤震动感，不过如果经过减速带的速度过快，后排的乘坐人员，还是能感觉到一些颠簸感，整体来说底盘调校的偏软适合家庭使用。",2022-10-11,
奢侈品,这是我的小埃 💞 购车118日。总里程582KM，每天里程5KM 👏🏻 去顺德大良保利销售点一看马上下单，确实买🉐🈶点急。因为大爱❤这个紫色，其他车型没有埃安的颜色漂亮😍，这是我自己觉得，大妈就是喜欢漂亮颜色，其他都不是重点。不过大妈是最精打细算，一进销售中心第一句就问🈶什么售后。 后来大妈逛商场发现原来新能源汽车🚗现在很多选择的，也看到雷克萨斯新能源这么便宜，真很想拿这台小埃去以旧换新。 不过后来越开就喜欢😍小埃。这是我的第八台车，之前五台卖掉。现在汽油车还有本田和奔驰，但都没有现在这台小埃开的爽。 第一次买车发现🈶个专属群组，一对一客服。这样的车价🈶这样的服务享受，超级超值令我意想不到✌🏻 外型是不是美哒哒 💖 越来越 😍 喜欢您。前后都看看 💋 外型和颜色的确吸引我。不过试过在停车场，被开雷克萨斯的 🙄 白眼我开小埃 🤭 看不起我就看不起呗，我也看不起您开油车，因为您没有我省 💰 这台电车🚃令我觉得最好玩就是充电，哈哈哈😂 就像手机📱充电一样，太好玩了 🤭 可能是家里的油车旧款缘故吧，觉得这个倒车系统非常强大，大妈易泊车都觉得很容易啦。,2023-01-12,佛山
平波清水,"好了，浑浑噩噩的貌似又等了一个月，90款胖V拿不到，只能降档换成80款，这回翘首期盼中终于拿到了。

那咱们今天就再接着聊聊吧，等我这篇帖子的兄弟们也久等了了，不好意思哈。

❶本来是4月30号拿车的，但到了5月5日才正式拿到，这之间有个小插曲，归纳起来就是：后期服务衔接不连贯，导致信息跟进不及时。
♥4S店有待提高服务专业度呀♥。

❷5月5日9：15左右到店，跟着接洽的工作人员进行了签订合同→保险→贷款→付款→检查车辆→办理临时牌照→上车教学→剩余其他事项确认等等。
♥折腾到10点左右，才结束开车离开♥。

❸检查车辆：付款手续结束，工作人员就带我去到后面的维修车间进行车辆的确认。
♥这一点需要详细说一下♥。

⒈车是停在维修车间进行确认的，车轮挺脏的，打开车门，干泥水渍车门处也很多，车内的后排塑料布耷拉在一边。
⒉车身左侧车漆有轻微刮痕，用手搓搓给搓平了。车门有一处焊点和漆面做得有一点看着毛糙。

⒊技术人员在车内完成了车辆的操作指导，很认真，但讲解有点乱，我按照自己的思维打断了几次，算是抓住重点了。
⒋等到临时牌照送来后，材料一并交给了我，并当面至少确认了两次，这个非常非常好。

⒌拿到临牌后，如果是异地上牌，需要问一下工作人员是否已经归档，没有需要及时处理。

⒍车开出维修车间不到15米，就听到咯噔咯噔的声音，下车查看，工作人员才发现车轮上卡了一个大拇指头的石头。
♥这点的确做的不好，交车验车呀♥。

7.虽然我是一个不太计较的人，但交车方面的确需要向其他讲究排面的店学学，好歹交车前洗个车，哪怕擦干净，哪怕是因为装修不太方便，把维修车间也拾到一下，别让新车边上就是维修拆车件，看着就......得亏我不讲究，可见我是多么自信和信任这家4S店

8.办理贷款的工作人员告诉我还款日期是月末30号前，我还挺高兴，发工资后还款就挺好，结果广汽汇理发来的信息显示还款日期是每月6号，工资都还没发呢，就问我要钱，正就这事儿协调呢，但感觉希望不大，先协商着吧。

❹拿到车后，我就直接上了宁杭高速去了溧阳。距离100-110公里，高速路占80%以上。

❺接下来先说说【驾驶感受】吧。
⒈车重2.02吨(高速收费站测的）。
⒉城区驾驶：转向非常非常轻松，不担心车大或重会让人产生心理上的担心。

⒊高速驾驶：速度110→115之间，明显能感觉到由于车体大且速度快，方向盘在手中有明显的转向重量感和方向不稳定感，但对于我来说还能接受，开开应该就能习惯和调整好了吧。

⒋自适应巡航功能：三个档位，我选了最短距离的，个人觉得前两档是给纯新手准备的。

⒌方向盘辅助功能：自动保持车道，感觉上像是→有人在抢你的方向盘，控制感传到手上不自然，总是一顿一顿的，视线上很短距离内就能感觉到车身忽左忽右的。

⒍驾驶模式：ECO，ECO+，运动，单踏板。我感受到的单踏板模式等同于→催吐模式。由于我是两城工作生活，所以我在高速全程都使用ECO模式和下坡就滑行，功能和驾驶习惯对于电车更重要。

⒎智能驾驶辅助：其他功能都还好理解，但有一项功能差点让我在高速上被追尾。这就是：[限速标示识别]功能，在高速上如果你开启了自适应巡航，强烈建议你关闭限速标识提醒，因为它不仅仅是提醒，而且还是会在自适应巡航开启的情况下，自动降速到限速牌的速度。

⒏车内噪音：由于没有发动机，车内只剩下胎噪和风声(高速路况)，即使不是顶配的双层玻璃，这隔音效果也是很好的了，相较于油车。

⒐舒适性：驾驶座的腰部支撑做得很好，腿部托举的也很好；高速上压过连续性的减速带，中控屏会产生物理噪音；右手臂的托举和支撑有些许累。城区过减速带，车身偏向舒适型，悬挂软，妥妥的温柔感。

10.中控屏科技界面功能：总体说75分吧，没高德导航；蓝牙连接稳定；声音调整不方便；语音关闭屏幕后，哪怕是无意识的看了一眼中控屏，就又显示了，有点烦；屏幕响应速度还行；驾驶用屏的样式太少。

11.我的高尔夫6手动和埃安v plus做对比，可以这么说：小高就是个脾气有点大的野小子，v plus就是个温柔且肌肉的文雅大叔。

由于我是两城工作生活，大伙想了解续航的，那就期待我的下一篇记录吧：

第四步：Vplus80科技版【续航里程篇】",2022-05-06,南京
楚天歌819,从3月份陆陆续续开始看车，购买力内的油车电车主流车型基本都看过了，6月海口车展盲订了比亚迪海豹，结果各种遥放鸽子，看了发布会后更是毫无期待，萌生退订的想法，趁着周末就去逛逛之前没看过的电车品牌，7月30日去宜欣城看了欧拉芭蕾猫，老婆很满意，都舍不得下来，准备回去了解下口碑就下单。结果路过埃安店里的时候被埃安LX吸引住，就进去体验了一下，瞬间就心动了，因为预算只能选择小一号的V plus了，试驾之后非常满意，回去查查口碑第二天就再回店里下定了。因为之前准备买传祺GS8混动被同事嘲笑花25万买国产纯属有病，后来就再没关注过广汽了，没想到最后兜兜转转居然还是定了只看了一眼的埃安，真是几个月的攒转反侧抵不过一面之缘。销售小哥非常给力，给争取到一辆现车，8月1号付全款，8月3日提车。同事调侃我是头号“渣男”，跟一堆姑娘谈恋爱最后和陌生姑娘闪婚，白瞎了他们这帮老司机各种指点购车经验，哈哈。废话一堆，现在讲讲目前的使用体验： 1.买之前试驾了小鹏，车机系统体验感很好，再回过头来看看咱这车机系统确实是挺呆的，不过简单的开窗开空调指令响应很快，基本也能满足要求。 2..没有自带行车记录仪确实没有想到，买之前也没问，以为电车顶部那个摄像头可以当记录仪来用。请各位大佬推荐一个好用的行车记录仪吧。 3.车刚提回来就赶上了海口疫情爆发，静态管理没办法长途驾驶，只能停在楼下开空调摸索各种功能，所以目前电耗经人的44😂 4.商店的app数量太少了，而且和车机的适配都不怎么好。爱奇艺搜索栏在最顶部，没办法搜索想看的资源，腾讯也差不多。 5.天幕感觉贴了膜也挡不住海口的大太阳，还是准备入手遮阳帘了 6.驾驶感目前没有心得，坐等疫情结束跑跑远路体验下驾驶感受。,2022-08-06,
阿秋喇嘛941119,"aion v plus70智享科技版（三元锂）
我是6月10日订的车，8月5日提车，本来考虑的是lx plus，女朋友说这个钱没必要，电车20来万预算就可以了，我自己还有一台跑车，跑车平时就是出去玩，电车市区出勤用方便一些，车子生产日期是6月22日。

【空间表现】
这款车的空间主要集中在后排，后排可以说在前排调整成驾驶位置后，后排地面都还能睡一个成年人，但是后备箱的空间的确是小了点，只能容纳三个小行李箱，23款的七座我们看了，总的来说对我和我女朋友没必要（车主要是我和她用，父母自己都有车），总得来说够用。

【续航】
市区通勤：因为我们是在贵阳市区，市区比较拥堵，况且上下弯路居多，平路一般不是太多，往观山湖区可能基本是平路，所以我以实际温度为主来说续航，这个车室外温度在12.5度以上，保持75码以内通行，开eco模式（切记不开eco+或者单踏板，感觉aion这个企业的这两个模式在这个车里是鸡肋），通过刹车来做动能回收，可以说是一比一的续航，切记，是三元锂，磷酸铁锂配置我不清楚，我只针对这款车型，至于贵阳零度天气，后期使用我会一一追加评价，对了，热天开一档风速最冷风，续航同上。
高速通勤：室外温度在23度以上，我从贵阳开到福泉，在eco模式（非eco+或者单踏板模式）情况下，从进收费站开始到福泉站站口，在保持95—100码的区间开定速巡航，空调开最冷风一档的情况下，可以做到一比一的续航，超过100码以后根据耗能情况决定，冬季开高速后期会一一说明。


【充电时间】
我是在龙洞堡这边充蔚来超级快充，4s店的要求是从20%开始充电不伤电池，充到92%我就使用慢充，在这种情况下快充的话一般时间在55分钟以内，我一般都是晚上十一点开始充电（用快电的会员，快充可以优惠到0.39元/度），总体来说比较划算，到现在没出现锁电情况。


【智能化】
22款的车机总得来说都有点卡，但是开软件放电影和vlog，流畅度在1080p视频下基本不卡，语音模式也是很好用的，但是是最基本的功能使用，人机交互方面埃安确实做的不如新势力（比如蔚来和问界），这方面确实有待提升，对了，它还有车辆吐槽模式，这是一个亮点。

【最不满意】
埃安的网速是真的慢，每个月松的6g流量不够用，联通在贵阳这边不是很流行啊，我基本开的是热点，夏天全景天幕没有遮阳板确实不行，只能在商城买配套。

【驾驶感受】
贵阳的路井盖特别多，烂路也多，过小的颠簸路面胎噪和车子晃动不是很明显，但是过减速带的话后排颠簸就比较突出，这点是不是厂家设计有自己的想法，不太清楚了，高速的话胎噪比较明显（用的是原厂玛吉斯运动胎，后期换马牌试试看），座椅偏软，包裹性比较足（适合我这种150多斤的172cm的胖纸），0-100的加速我没试过，4s店这边说是5.8秒，不过我开normal模式的话推背感是有的，至于辅助驾驶，后期我试过以后再来一一说明。
总结：总体来说性价比不错，埃安背靠广汽集团，拥有丰田、本田、三菱、jeep技术（为什么这么说，电池：中航锂电公司造，电机：日本电产马达汽车有限公司生产，变速箱：e-cvt变速箱，电控：联合汽车电子有限公司），总体来说靠谱，至于其他品牌（比亚迪，新势力等等，我不做评价，我只针对我自己的车做评价，至于大家买不买，还是自己到4s店去感受就行，），我不做评价，也不要有水军来说我，车子好不好，续航虚不虚，要自己买来开才知道，我相信，埃安肯定会越做越好。",2022-11-17,贵阳
柯基jun,"小白司机的第一辆车，大概说一下自己的买车历程吧。
买之前过小鹏g3i，小鹏p5，比亚迪宋plusdmi，大众id3，还有威马，r汽车，零跑等新能源车型，后三个品牌因为没有太让人印象深刻的特点所以也只是在车展草草了解了一下，小鹏，比亚迪，大众和埃安在我心里则是各有各的优点。
小鹏最大的优点就是智能的车机，用起来真的是很聪明流畅，一开始我是定了p5的，只是后来看到实车后感觉可能是平台原因，地板很高，坐垫短，再加上板悬，车整体的舒适感并不是特别好，再加上电池离地间隙在新能源车型里算蛮小的，让人有磕碰电池的顾虑，再三思考买车还是实用舒适为主，而且我也并非数码极客，并不需要那么智能的车机，所以最后还是决定退订p5再看看，虽然感觉挺对不起销售，好在销售也爽快，很快办理了退订，钱也很快到账，这里给小鹏点个赞！

宋plusdmi是事先在网上了解比较久，感觉确实集合了电车的优点又通过发动机发电规避掉了电车的优点，空间也大，但是坐进车里的感觉，味道，质感等方面说不太上来。。。反正并不会让人有很强的购买欲望，可能是内饰跟传统汽油车还是太像了吧～再加上等车周几过久，遂Pass。
id3给我的印象挺好的，外观小巧耐看，内饰虽不豪华，但很精致，后排空间也算够用，后备箱也贼大，感觉能在这么小的车身里做到这样的空间还是蛮厉害的，操控方面感觉这台车也是最灵活可控的一辆。缺点是性价比跟其他车比起来也是真不高，再加上本人并没有很强的合资情结，所以也Pass掉了
最终走向了aion的展台，因为当时lx还没发布，展台c位就一辆aion v，看到它的一瞬间就被吸引了，倒不是车多好看，而是造型挺有特色的，确实很抓眼球。当我打开后排车门坐进去的时候大的夸张的后排空间再一次让我映像深刻，以我个人的感觉在以上几款车里它的后排是空间最大最舒适的，整个内饰的质感和氛围也是恰到好处，不像特斯拉极致的简洁也没有油车的花里胡哨，对我来说就是刚刚好，于是对这辆车一下就提起了兴趣，让销售带我去试驾，试驾中感觉底盘滤震和座椅舒适度都还是很ok的，我没开过太多车，但这辆车给我的感觉就是并不特别灵活，也不是那么狂野极致，但就是舒服，体验下来的感觉就是一切都是那么刚刚好，真的很适合我。至于后排乘坐感受就不用多说了，超大的横纵向空间，宽大柔软的座椅，我相信很少有人会吐槽它的后排体验！续航的话我个人平时99%城市代步用，长途需要跑最远的距离也不到200km，500的理论续航对我来说是足够的，再加上纯电全铝平台，三电终身质保，让我比较放心的提了这款车，目前用车半个月，各方面都很满意，也希望后期的质量能够对得起我的选择！",2022-01-24,武汉
驾春秋,"这两天试驾了广汽AION V PLUS，因为之前试驾过AION Y，所以对于这两款车的对比特别明显。

首先就是外观上，广汽AION V PLUS的颜色特别好看，我试驾的这款车颜色和保时捷的冰玫粉几乎一样，而且在不同的关照下可以呈现不同的颜色，这个对女生来说是非常大的亮点，比AION Y的主打蓝色确实高级了不少。还有就是整个车的形态更低趴，看起来也更加运动，但是车灯出的造型还是感觉怪怪的。

坐上这款车的感觉其实更明显一些，AION Y其实更多的用户是刚需，受到成本的限制，那款车在座椅上并没有非常舒适，但是广汽AION V PLUS一坐上去明显更舒服，而且它会记录你调整的座椅位置，下一次再上车就会通过面部识别自动调整到上一次你调整好的座椅角度。

试驾的感受差别更加明显，虽然这两款车在提速的时候，都能体验到一秒弹射的体验，但是AION V PLUS在对颠簸道路的过滤上比AION Y优秀太多了，在试驾AION Y的时候，遇到减速带等地方，路感非常清晰，几乎没什么过滤，但AION V PLUS的遇到减速带时，在车内就能明显感觉到不那么明显的颠簸，这一点好感度非常高。

其实这款车的智能配置非常多，比如车机可以通过指令，满足你几乎所有的要求，而且它带有的香氛功能对女生非常友好，随时上车都能心情舒畅。

再来说说空间，这款车的空间非常nice，车身长度4650mm，轴距2830mm，让这款车的后排空间非常非常的大，一个女生来个葛优躺没什么问题，而且它的后排中部没有凸起的部分，所以后排座三个人绰绰有余。

最后说说续航，我试驾的这款车续航官标是702公里，我们周六拿到的试驾车，每天通勤加日常买菜，到周二所有还剩下150公里左右，所以真实的使用情况来看，这款车一周要充电1-2次左右。

【最满意】颜色以及空间

【最不满意】内饰有点丑，车头太长了",2022-03-23,
酷男xj,"车是2月底订的，6月份提的，一直忙，现在才有时间写个提车。

换车缘由
老车是09年购买的大众POLO劲情，已经开了13年了，皮实耐造，但是确实年头太长了，空调制冷、制热都不太灵光了，冬天经常出门到了单位空调才温，实在难受。另外，孩子越来越大了，后排空间着实太小，大人孩子坐着都不太舒服。随着油价越来越高，连92号都9块钱了，加油确实肉疼，再加上身边很多朋友都换了电车，所以也就心动打算换一辆电车了。家中还有一辆油车，所以换一辆电车代步也很适合。家里人商量后就这么愉快的决定了。

选车过程
因为一直没开过SUV，所以目标直接就定成了SUV，价格在15-20之间，当时最为心动的车型为小鹏G3i，但是经过了试驾发现刹车很硬，不太适应，家人觉得后排空间太小，比POLO没大多少，但是车机智能，APP也做的好用，最后经过反复考虑非常艰难的PASS了。本来没有想到看看广汽埃安，但是有天恰好经过了4S店就进去看了看，进入V Plus一坐，家人立马两眼发光，这后排空间简直了，没有对手，孩子在后面蹦跶一点都不局促。赶紧约试驾，方向很轻，刹车油门都很跟脚，减震感觉非常好，有高级感，比POLO强太多了，外观也很前卫，随后，当场订车没犹豫，这就是全家想要的。

使用感受
我是2月底定的，还没有涨价，2021款80科技自由灰，19.96万元，选配了电机护板0.05万元，备胎0.1万元，选装后裸车价20.11万元。订车后又涨价两轮，买到就是赚到。保险0.48万元，落地总价20.59万元，没有其他费用。续航的话nedc600公里春天在北京能开480，夏天400多，一直normal或者eco，从不单踏板，开的比较费，电车嘛，无所谓了。要知道我那1.4的POLO，夏天百公里也得9个油。

优缺点
优点是有外放电，野个炊什么的甚是方便，空间巨大，后排简直爽歪歪。80科技版辅助驾驶功能很强大，可以转向灯变道，快速路上很好。
缺点也挺明显的，拐弯半径太大了，一开始我都怀疑自己不会倒车入库了，另外蓝牙钥匙有时候识别不出来，坐到车上跟车机大眼瞪小眼。

总结一下
有人说在北京油车换电车有点傻，我倒不这么觉得，一个电车使用成本确实低，再一个两辆车一油一电是很完美的搭配，远途油车市内电车都不耽误。最后希望埃安加强软件部门研发水平，多用互联网思维开发产品，目前的手机A PP易用性、流畅性、功能性都还和头部新势力有一定的差距，车机系统的优化也需要进一步加强（820A芯片的能量没有完全发挥出来）。",2022-08-25,北京
