字段1_文本,字段2,时间,字段3,时间1
有一说一丶,"【购车经历】
家里有辆油车，想再想买一辆电车代步，预算15万。首先把比亚迪排除了，稍微颜值能打的宋L，海豹，汉价格超预算，宋plus往下的根本没法看。其他的国产电车想想还是算了，个人感觉只能用花里胡哨，中看不中用来形容。然后网上看说是大众id4crozz很便宜，很多人说14万内就可以落地了（最低配），我想着大众毕竟大牌子，底盘没有差评，三电和车机差评多点无所谓了，但颜值在线啊。结果了解了一圈常州泰州无锡苏州都问了全款都得15万出头，要不然就贷款多给利息，感觉有点怨种，凭什么别人十三万多就可以落地，于是放弃了。后来偶尔刷到了日产的艾睿雅，这颜值也是一见钟情，了解了下地盘，续航，配置都比大众id4能打。缺点就是卖得太少了月销几百台2022有召回?问了好几个店低配500没有，都是600或者600plus而且都是2022年生产的库存车（2023款），我觉得无所谓千金难买心头好，4s店都没去，试驾都没试驾，2月24号看车25号就定了交了1000定金。26号做了个顺风车异地（扬州）提车了，26号下午开回来27号上的牌。是不是很快啊?
【提车价格】
2023款艾睿雅600plus最后谈的落地价17万，什么都不送雨伞杯子都没有的那种（最后一台）
【续航】
没怎么开，4s店出门92%电，目前206公里电量38%，快充站（特来电）充了到98%一个小时多点
【最不满意】
1.目前200公里。只要刹停，100%会一前一后晃晃的。
2.高速开回来A柱那边120码风噪有点大。
3.库存车（2022年12月份）只有金色，最心仪的灰色没有?

【乘坐体验】
可能油车坐惯了，谁坐谁晕车。不过座椅包裹舒适性挺好的",2024-02-27,扬州,
瑶妹晚上大学生辛2生活y,"分几点评价一下吧
外观：满分，挑不出来缺点，颜色都是很酷的色，而且车漆工艺真是没的说，看起来实在是太棒了，属于一眼心动。
内饰：之前的车本田丰田，年初又买了特斯拉Model3，所以个人觉得这个内饰很棒了。配置很齐全很有质感哈哈
动力：自己实测百公里8.82秒{声明一下是我均为自己测试的}，虽然电车家族不算优秀，但自己体感是比较快了，也是考虑到这个价位，数据上真的差点意思。其他国产电动车能做到更快的提速。从实际上来说，真的是够用了，这个车的调料是偏后段，极速能一百六左右，实话是够用了。但是崩其他电车确实没必要
续航：车续航在625多一点，这个前提是要开经济模式，而且要精准控制脚法，不能猛开不能经常踩刹车。要是发挥动力开猛，就仁者见仁了。
车机：挺无语的，开过 modely 之后，这个车机口能说法会能用双外热出能切车机．做成这样，只能说是有本事…只比传统油车企业的车机要好，跟国产电动车第一梯队的车机差太远了，只能算第二梯队还是倒数几名的。盼着后续 OTA升级吧。

综合来说是一辆很棒的车很喜欢，每次下车都会多看几眼，真的好喜欢。经常有人会问是啥车多少钱，说了车价之后普遍会问为啥这么贵，很难和别人讲这辆车好在哪里。总不能说操控无敌，配置丰富价格实惠吧哈哈！",2023-11-15,文山,
不幸福只有自己,最大问题他的操控性一般，加速没有比亚迪的唐或宋顺滑，但静音效果比唐好。经济模式掉电比宋快，反而标准模式掉电还慢一点，本人经常番禺到花都两边跑测出来的，有可能方式方法不对 好的：底盘不错，刹车点头少了，后排空间可以，值得点赞的是尾箱空间！当时看了一年多的比亚迪唐没有买这个占了点因素，还有就是发动机不能否认别人的好，本人80后一个，考虑到后期省心的车，就选了这款艾睿雅，说实话有点小后悔没买唐，但唐的悬挂没有艾睿雅好！音响效果不错！做了隔音效果更好！建议：喜欢提速快，驾驶感，车机娱乐性，喜欢在车上睡午觉的选唐错不了 考虑后期省时省心的选艾睿雅就对了,2023-10-26,三亚,
西瓜爸爸1105,"11月6号下午提的车，因为疫情原因，终于12月2号上好了牌。简单说下购车以及截止目前用车的感受：

1、提车：先说下提车的服务体验。为了方便，就近选择在日产专营店提的车。服务人员还特意准备了花束，有点点小惊喜。整体感受应该比油车的提车过程好一些，给个好评。👌

2、外观：钨钢灰的颜值非常高，免费的可能也是最好的。当然，即便加钱也得上😎。选的是米色内饰，相对黑色看起来整体更立体一些。内饰设计整洁。如果有白色的选项或许会更惊艳。

3、车机：两个字，流畅。两个12多寸的大屏通过一个曲面连接在一起，一眼下去非常惊艳。屏幕操作起来灵敏，显色足够清晰。UI交互非常简洁，没有多余的东西，相比T牌和国内一众新能源，没有那么花哨和丰富的功能，但基础该有的都有了😊

3、性能：拿到车子以后，第一时间就上了高速。两驱顶配，调整为运动模式，开起来电门非常灵敏，动力随叫随到。还试过一下地板电，确实很刺激🐂。这里要吐个槽，运动模式下动能回收也比较强，所以我更喜欢用标准模式开。

4、操控：车身很重，2顿多的体量。所以整体重心非常低，开起来过弯很稳、很有信心。而且19寸的轮胎其实也很够用了，不管颜值还是驾驶体验，都非常棒。网上查了同款轮胎的价格，一条1000+，想想以后换胎就有点肉疼😅

5、隔音：我的是两驱长续航，前排两个车窗是双层隔音玻璃，官方也宣传在隔音方面做了很多功夫，所以我自己的感受是车速100以下非常非常安静，上到110以后开始会有明显的风噪。但是对比我家里的15款奇骏，真是碾压级，可能是日常所有车系里面的隔音天花板。

6、滤振：过减速带真的非常舒服，特别是我平时出门前面几个路口非常多的下水道，避都避不开，所以开了ariya以后，屁股再也不痛了🤣

7、续航：最后提一下电池的问题。我提车以后也陆续在懂车帝发了几个帖子，车友讨论的最多的也是续航。以我在广州用车接近一个月得过程去总结，ariya续航非常非常扎实！关于这车，每个人喜好不一样，任何地方都可以吐槽，唯独续航不可以！

这些是优点。

下面写两吐槽😂

1、电动小桌板的灯关不了。这个我也不知道Nissan设计师咋想，反正桌板开启的过程是挺有意思的，但是那个灯一直长亮是啥意思…哈哈，OTA能解决吗

2、app不能控制立即停止充电。在app里面是有‘90%电量最优’的提醒，但是为啥不能设置为充电到90%自动停止呢…所以，OTA能解决吗

3、空调逻辑我没搞清楚。最近广州天气有些冷，车内空调我只想开通风，特别是经过收费站拿了临时卡，上面都是酒精的味道，急需通风。我没有在车机、或者触控木纹上面看到仅通风类似的功能，但是，用语音是可以的…所以，只要多说话，这也不能算缺点😂

总而言之，ariya是一辆被低估的好车。

即使
不考虑设计溢价（实车外观真的好看）
不考虑电池安全（唯一一个说自己0自燃的车企）
不考虑产品稳定性（传统车企的品控、经验）
只看价格和配置，我觉得ariya也能算是一个性价比的选择。",2022-12-08,广州,
易水寒冰似刀剑,车子开起来还是不错的，对的起这个价格，悬挂偏软，刹车晃两晃也存在，隔音很好。总体来说，还算满意。,,枣庄,2024-02-16
风姿卓越可乐X0,这车是我对比锐歌（价格谈不下来，怕降价被割韭菜）、岚图追光（车是好车，配置高，但缺乏细节、底蕴，感觉像堆料，忍痛割爱）、大众ID7（没啥亮点，价格贵，唯一亮点居然是空调可以自动选择方向吹）、吉利银河E8（性价比高，让我惊艳，但总觉得有点像高科技电子产品且外观太年轻化，本人奔五，忍痛割爱）后决定买的，车本身没有什么突出亮点，就是价格便宜（各地落地价格不一样，总体会差一万左右），配置均衡（全系标配L2辅助驾驶）、安全性有保证（全球第一辆量产电动日产聆风一百多亿公里数没一起自燃）、电量够用（标501公里，冬天实测满电401，实际能开三百六七公里，开空调再减点）。总体来说，是在保证安全的前提下，价格、外观、续航都让我一个中年油腻大叔欣然接受的车。,2024-01-23,郑州,
多才多艺云朵i1,驾照到手拿到了两年（C1)的，一直在关注小型新能源车，尤其关注合资日产大品牌，日产艾睿雅今年8月提车，刚快到四个月了，聊聊最近用车感觉。外观时尚、小巧，好开好停，还省钱（用电比用油费用比为1/10，没有购置税），动力足够，满电可以跑600公里以上（剩10％去充电），还没跑过高速，特别适合城市代步车。说缺点的话，下雨天雨刮刮玻璃发出声音，很难听，下小雨刮的很快，下大雨刮的很慢，远光灯和近光灯没什么差别（尤其是在没有路灯的柏油路，几乎没有远关灯）。,2023-11-15,黔东南,
zoa早,车子操控相当灵活，底盘在这个价位里算可以，麦弗逊式独立悬架加持。智能化只能说几乎没有，和国产的纯电车没法比。青菜萝卜各有所爱，开起来不错对于我来说足够了。续航的话总体来说比较准，75%电量基本上在453km左右，一开空调基本上续航一下子砍掉30-40km。现在行驶4444公里数还不错，如果后续有一些问题我也会及时发帖，希望帮助到要买这台车的人。,2023-10-29,大兴安岭,
赶快把v额,【电耗】 开了1个月的样子，百公里大概在12.0左右的样子，挺省钱的。 【智能化】 只能听听歌跟导航，其他的基本没啥大用处 【驾驶感受】 减震不太舒服，其他的还算过得去，这个价格只能买到这个样子的车了,2023-10-25,南宁,
反应迟钝真,官方宣称满电能跑623公里，但实际正常在市区用车跟不跑不到623，在加上市区堵车走走停停，等红绿灯，满电只能跑600公里左右，如果车里在坐人的话，续航掉的更快些。而且我那里又没有快充的充电桩，每次充电充到满要充好久，等的难受，旁边没快充的充电桩不建议选电车，要是油车加个油几分钟就能解决。我从 5% 电充到 55% 电充了好几个小时。不过话说回来，电车确实省钱，油车加满的400块起步，电车充满就几十块，不超过200，用车成本确实低，就是不太方便吧。,2023-11-04,清远,
