字段1_文本,字段2,时间,字段3
一眼沦陷le,最满意，空间，高速稳当，和车身质量。基本满意，续航，外观。最不满意，刹车，不太满意，胎噪，颠簸感，内饰。零下五度开空调续航6折，不开空调妥妥300以上，室内拥堵电耗贼低，比官方说的还低，能跑400多，买了1个多月了，跑了2300多公里，前段时间跑了点高速，过年时间天气也比较冷，这2300公里电耗百公里16.2，这其中有时候开空调，今天市内跑了100多电耗只有13，有段时间跑了电耗不到11。整体续航还能接受，外观也还可以，电机电控靠车头前部，整体空间还不错，车身质量好，安全性应该好点。最恶心刹车。如果不开动能回收模式。刹车很软，很容易刹不住，市内开动能回收挡开起来还可以，速度高了噪音有点大，可能跟轮胎宽度和胎压有关，悬架硬，烂路颠簸比较明显,2024-03-04,郑州
驾仕派,【驾驶感受】动态表现也是大众的祖传优势。虽然输出功率只有150kW，百公里加速不过8.5秒，放在同级肯定是没啥可说的，但是得益于电机的扭矩特性，只要肯踩电门，加速能力日常完全够用，市区或者国道上能轻松甩开很多油车。踏板和动力输出的标定非常线性，很好控制。D挡状态下，松开电门之后的溜车阻力相比油车更小，不过 B挡显然才是更适合日常使用的挡位，尽管不能自行调节动能回收强度，但标定的回收强度恰到好处，有明显的减速度又不会让人感觉晕车。而需要指出的是制动踏板的脚感有点偏软，并且前半段的空行程略大，和动能回收之间的衔接还可以再改善一下。转向方面，由于用了后驱布局，所以前轮有很充裕的偏转空间，这带来了很小的掉头半径，原地掉头甚至只需要占据大约不到3条车道——比奥迪A3还小。方向盘的手感线性度很好，阻尼适中，有传统液压转向的感觉，但是哪怕调节成最轻的一档，反馈的手力还是偏重的，女生可能不太好掌握，而且打完转向后的回正阻尼略大。悬架的滤震风格很厚实，面对常见的破损路面能缓解不少大冲击，又不至于拉不住车身，侧倾适中。胎噪和风噪也控制得很好。整个底盘的NVH风格，展现出让人很熟悉的“德味”。 【最不满意】过于简洁的UI设计风格，让人想起了WINDOWS PHONE系统时代的诺基亚，当然这只是主观上给人的第一感觉而已。商城里适配的应用，却是肉眼可见的少得可怜，除了爱奇艺、腾讯视频、网易云音乐之类的一些相对常用的APP之外就没了，而且加载速度很慢，可用的视频资源也明显比电脑或者手机版的APP少很多。,2024-03-01,
用户5554890550352,"买电车是为了省钱，每天上班往返共75km，受够了跑加油站的日子，小刀拉的我真疼啊，速腾还要加95的，油价长到8.9的时候，下定决心换了电车，刚一开始想着买个ID3，后来我哥买个ID4C，说价格差不多，要是换购的话就不如买个大点的，后来10月30号定了车。价格还算比较合适的。
一个月的时间，中间出差了5天，跑了2000公里左右。天津最冷的那几天，零下十三度，百分之90到百分之20能跑150公里，零度左右，百分之80到百分之20能跑150公里。150公里是我上班两天的路程。
买车之后冲到90%，实验了一次。然后就一直冲到80%，每天都冲。这样每天回家后剩个50左右，有事出去也还够用。
没装充电桩，用3.5kw随车冲。还迁房，装充电要改线，嫌麻烦。地下室2.5的线，正好用3.5kw的随车充，5个小时充满和12个小时充满，没有区别，都是冲一晚上
送了点积分，零零总总加起来2500块钱的商冲电卡


【驾驶感受】
现在长期用B档。D档是像油车，但是刹车确实不线性，前半段太轻，但是刹车距离和效果还可以。大众油车前半段是松，但是还算线性，这个电的属实有点别扭。B档油门全松，自带动能回收，刹车变得线性了，缺点是动能回收力度要看当前温度好低，零下十度动能回收和零度时候动能回收的力度会不一样。
【提车价格】
落地价格。裸车＋一年利息提前还无违约金＋商业险交强险+车膜脚垫隐藏行车记录仪＋上牌。14.05w",2024-01-15,天津
IDFour,"底盘调教一贯的大众味，内饰不是豪华取向但是质量还是不错。D档好用，B档还是会有头晕，有“油车”的味道。方向盘3圈半虚位很多，但是转向半径很小还是很简单的。车机确实落后一个时代，车内很多小细节设计的不错。

【空间表现】
空间很大，特别是行李箱
【充电时间】
快充基本上30分钟能到80%
【续航】
夏季空调22度，基本上450上下没问题，冬季还没有测试
【智能化】
和国产差一个时代
【最不满意】
车体盲区比较多，新手友好度很差
【驾驶感受】
非好好，比较喜欢，稳字突出
【亮点配置】
没有突出亮点，没有短板，均衡度很高，很家用，男女老少都很适合
下次如果换车应该还是大众，国产的整车感受亮突出也会有明显的缺点，喜欢带帘子的天幕，可能像很多人说的，有点燃油车的感觉，我认为这个是对用户需求把我很好，车是个大宗物品，有点很长倒不如均衡。",2023-09-16,郑州
温存7040,驾驶感受一流，特别适合新手开，需要提醒新手的是刹车偏硬。车机比较拉夸，跟新势力是没法比的，语音的辨识度不高（说实话，它也干不了啥，就开个导航，打开遮阳帘，放个音乐之类的，可以看视频，但我觉得开车看会分心，从来没开过），续航因为在上海，新车，目前市区基本都是实跑满续航，毕竟电池大，高速还没试过（新手。。。） 至于很多车友定义这款车为老头乐，我觉得一半对，一般不对， 这车如果你比较在意外观，续航，以及驾驶的感觉选它一定没错，现在的同价位车，我觉得没对手。 如果你比较在意科技感以及额外的一些新元素，就不要选这个车了，在这个维度，这车啥也不是。 其实我觉得每款车一定会有它出彩的一面，也一定会有啥也不是的一面，重点还是看个人的需求。 10几万的车，他能给你宁德时代84度的大电池，后驱，扎实的续航，优秀的底盘（前麦弗逊后五连），坚固的车身（全车基本都是s级热成钢），优秀的转弯半径等，我觉得大众已经甩掉了合资车高高在上的态度了，至于车友们的接受程度，那就是跟挑媳妇一样，萝卜白菜各有所爱了。 反观现在的一些新势力，有些甚至都是代加工，连自己的工厂都没有的车企，车身的用材一减再减， 减安全方面的钱，加在研发一些可有可无的应用，我觉得这是忘本，违背初心。（请不要拿爱国情怀绑架我，买合资不等于不爱国） 最后，想发表下我本人对车的认知，车始终是用来跑的，大屏幕，大沙发不等于技术！,2023-12-21,上海
青少年人工智能启蒙,"ID4crozz设计较为现代和年轻，并且继承了大众的成熟底盘，又基于纯电开发了MEB平台。
        个人认为传统油车上新能源车，还是坚持把安全性能、车机结构、驾驶试验放在了首位。作为新能源车主，选车时还是多考虑用车安全。
        本人驾驶了半个多月，感觉操作有油车体验感，方向盘稳重，油门能循序渐进，刹车前缓后劲，底盘平稳。
        我买的是低配，感觉够用，智能化一般。对于从油车到电车的车主，过渡平缓，个人还是比较适应。
        作为新能源车主，我觉得智能化不是最重要的，作为交通工具的使用者还得把交通工具的安全性能、稳定性、驾驶体验排前面更可靠些。
         再安全的车，也需要好的驾驶习惯，才能保障我们的安全，避免意外发生。祝各位车友2024四轮跑起来，钱包鼓起来！",2024-01-02,成都
队友你好,"【空间表现】
中规中矩吧，跟我rav4差不多，包裹感要好一些
【充电时间】
只充过一次满电，交车的时候就30%的电，这点4s店有点抠，因为我打过招呼帮忙充一下，哈哈哈，不过服务态度很好，就没计较。
【续航】
坐标沈阳，基本23-25之间，（气温零下10左右）空调一格车温度就够了，而且我吸烟，偶尔会开窗。

【动力表现】
还可以，有点像油车，舒适模式不会那么贼，对乘坐的人友好
【提车价格】
165000+500上牌+130专用车牌架子+窗户贴膜脚垫2000

【购车经历】
试驾了宋plus ev 底盘过滤有点接受不了 c11 怕黄了…  埃安感觉有点飘  深蓝s7也不错，就是抬头显不行，我闪光，看久会晕  基本这个价格区间的都试驾了，感觉还是ID4crozz好一点 。本来是陪朋友选车，我帮忙试驾，最后我买了，他还在犹豫，哈哈哈，服了



【智能化】
这个车机，很多人吐槽了，但对于我这种只听歌的，没啥大感觉，毕竟开车就要集中精神好好开，花里胡哨的没啥用，我还是比较相信我的车技，哈哈哈
【最不满意】
这个车最让我无语的就是自动大灯无法关闭，太逆天了。像大家吐槽的车窗按键之类的，我真感觉没啥，一天就习惯了。  就是这个大灯，稍微暗一点他就开启，总有人看我车，合计这车大白天怎么开个车灯，不费电吗？（把我当新手小白）
其实我换车挺勤的，从08年第一台到现在第四台了，因为这个是电车，所以压根没考虑卖，打算一直开到报废为止了，所以我最注重的就是做工和底盘调教了，好的车，才能开的更长久些。冰箱彩电大沙发，总有一天会腻，等腻的时候，车子一盘散沙，那就闹心了。
其实大家也不用有什么里程焦虑，或者必须有车库什么的。
路程500公里左右的高速，跑250公里，就需要两个左右多小时，你也需要去服务区休息一下了，正好充一会儿，去趟厕所，然后继续跑。
大于500公里，直接高铁，飞机。可别遭罪了…  上次去山东，来回机票一个人650…哈哈哈，油钱，过路费，你肯定是下不来的…
就算全程快充，停外面，掉电快。也就是两毛一公里，有啥纠结的，该很踩就很踩，该开空调就开空调，你就往废了造，才多钱啊，不必纠结。车是服务人的，开心就好喽。
其实不想写这么多的，主要是真心给大家分享下，现在水军太多了，全是私密账号，像听真话太难，希望我能帮助到大家，最后祝大家一路平安，日进斗金",2023-11-28,沈阳
石头9085517534760,"购买电车前提：
我家里有一台纯油轿车  家里是地库可以装充电桩  我一年的公里数超过3万公里  所以决定买一台电车 能省不少钱！
选车：
我去看了很多车  基本也都试驾了，比如 广汽埃安Y  比亚迪元P  吉利银河L6 L7   奇瑞舒享家  吉利睿蓝7  别克微蓝6  名爵MG4  最后选择了一汽大众ID4C。
定车：
12月8日交的定金~1月17日提车，等的我花儿都谢了！
用车感受
外观：漂亮 大气 稳重 
空间：很大 我178身高 前排调到最合适舒服的坐姿 后排的空间我在坐上还能有将近两拳余量，后备箱也相当的大 过年回家回家装肉啊 鸡啊 各种杂货相当够用了！
动力：提速相当快  推背感挺爽
智能化：就是智能化差了点，比起我试驾的一些国产新能源车 确实智能化乐趣少了很多
驾驶感受：大众车的底盘真不是吹的 底盘厚重 紧实（这也是我选择ID4的主要原因）  比我的日系的油车好太多了，方向盘转向时候行程比我油车大  我还得适应感受！
续航：为什么最后说续航呢  因为我才提车两天  才开了不到100公里 对续航没有什么发言权  等我开一段时间后在更新续航感受，不过我提车从4S店到我家40公里 当时气温是0°左右 我用的是B挡 舒适模式 没开空调 速度多数都在50~80  用了11%的电（感觉还是不错的）",2024-01-19,大连
久睡成瘾,"等车9月17号订车的等车50天。现在开了第20天。

这车的路感偏硬，过烂路比较颠，转弯支撑不错，给我最惊喜就是急刹车，没有那种人要飞出去的感觉，不知道是不是50/50的功劳不容易倾头。

续航也是比较靠谱的，可以看图，图1和2是上牌当天拍的45公里掉了11%的电还是有一段高速在里面。图3和4是第二天拍的84公里掉21的电基本上400公里能跑。后面3张是今天拍的能耗，第五张是早上出门没开空调11.2的能耗，第六张是中午有点热开了冷空调后涨上去的，最后一张是下午回家开的能耗（我估计是因为下午温度高不用加热电池所以能耗低，而且这是我随手拍的也不是最低的时候）

其他方面，空间老实说属于够用型。车机我用carplay觉得还行，但车辆设置方面的逻辑真的让人直摇头。

综合感受就是这车让我愿意去开它，但并没有让我爱不释手，就没有新媳妇的新鲜感，更像是老朋友似得，很德味的底盘，很平淡的车机，油车的驾驶感受，可以信任的续航。第一次开这车又感觉开过了无数次。",2023-11-23,上海
菠萝爸爸的兰博基尼,【空间表现】 空间还是很满足，家里一家人坐着不挤，个人觉得紧凑车空间还是可以 【充电时间】 快充过1次，其余都是慢充，慢充需要关闭降低交流电电流，不然充电特别慢 【续航】 续航很真实，第一次从成都回家全程200多公里高速，再加上山区道路，第一次充电跑了580公里，高速加市区道路加城郊哟。 【智能化】 智能化挺垃圾，但是开习惯了听音乐都没有的大车，也觉得还习惯，语音系统垃圾，那个车窗控制升降，也习惯了还好。 【最不满意】 最不满意 1，车辆1000公里报了两次故障，一次是sos故障，但是重启之后就好了。 2，360全景影像报了故障，然后去4s店解决问题，表扬4s店，态度积极，解决问题很快。 3，车辆高配360全景影像调出来很麻烦，需要按很多下。 4，自动泊车功能比较鸡肋，还是全靠自己比较靠谱。 5，快停住的时候刹车会卡的一声，影响不大。 【驾驶感受】 驾驶感受就很nice~.底盘很整，自我感觉比开过的迈腾底盘质感好，然后还是尽量过减速带慢点，因为下面的橡胶垫片很多，磨损多了，预计会有影响，烂路上面的驾驶感受整车感很强，个人建议，少去跑那种特别烂的路，后期更换橡胶垫片麻烦。 补充一点~大家过马路牙子还是注意前唇，很容易磕碰到，还有就是容易刮底盘的路别去，电车最怕就是底盘 整体还是非常满意~选择没错，还有就是灰色小灰灰真的不耐脏啊！！！最后请大家欣赏美照 手动@圈主加精😁😁😁,2023-12-14,成都
