字段1_文本,字段2,时间,字段3
Arthur,"去年8月刚提的一台ID3，纯净版落地13万，由于工作需要，经常来回往周边县份上跑，ID3续航确实短了，经常中途需要充电，还去过一趟三亚自驾，平均200公里就需要充电，太累了。今年被销售一阵忽悠，ID4优惠巨大，和媳妇合计，干脆就置换了，ID3全款购买的，亏了3万块，合计使用5个月，每个月亏6000，本来打算购买长续航纯净版，但还是被销售一阵忽悠…..多2万多，本来预算15万以内，添了4万块钱，贷款5万块钱，最终选择了极智长续航，含保险落地19万出头，算下来优惠还是很多，毕竟去年8月也没优惠这么多，主要是被这个碳晶黑颜色种草，知道这个车也许还会降，但电车不就这样吗？想不了这么多，行驶了快一个月，整体还是很满意！

【外观】真的比ID3大，尽管所谓的轴距一样，很喜欢大众Id系列的气场，这个颜色路上还是有回头率的

【智能化】无力吐槽，比不了新势力这是事实，但行驶听听歌够了，CarPlay够用，辅助驾驶高速还是节省不少体力

【续航】标续607公里，实际使用下来，我平时高速占70%，城区30%，充到90%，平均能行驶420公里，比较符合自己的预期

【驾驶感受】大众真的地盘调教没问题，转向精准，行驶很有质感

【最不满意】这个辅助障碍急停，有时候真的后面或者前面什么都没有，在低速情况下突然给你来这么一下，真的会把人吓一跳！",2024-02-25,遵义
无忧的橙子U0F,"从去年九月份车展开始就一直关注这款车型，当时就交了定金，奈何贷款一直批不下来，想了很多办法，终于24年一月底提车成功，裸车13.5，落地14.1，选的贷款是邮储的两年可以提前还，两年利息一共1万块
车型当时在上汽和一汽犹豫了很久，一汽的会便宜几千块钱，最终还是因为上汽整体比较合眼缘，加上有座椅加热方向盘加热以及仿皮座椅选的上汽。
车型同级别不算大，但是够用，他把一部分空间留给了后备箱，一排二排后备箱空间都很均衡。家里都是一米七一米八的个子，坐上不会拥挤。后备箱是我比较满意的一个点，因为有旅行的爱好，并且会放一些乐器等等，足够我使用
一月底提车，目前跑了四千多公里，从青岛到西安来回，青岛到南京来回，高速以及市区都跑了很多以下是总结经验，基本都是吐槽
内饰：没有什么亮点，和一汽的相比，少了几块仿木饰板。其余没什么差别，
另外换挡拨片确实不太方便，放在了仪表盘旁边，着急掉头的时候DR档总是换错，但是适应之后也还好吧。再就是车机，虽然功能不太多，但是没有网上说的那么卡，就是一般水平吧，基础的软件都还是有的，并且支持carplay。也就没有什么吐槽的地方了
第二就是按键，很多按键都是触控的，最奇葩的设定就是主驾那里只有两个升窗的按钮，要想控制后排升降还得用一个触控按钮切换，不是很灵敏，我手指得在上面摩搓半天才有反应
其次是音量控制，方向盘可以控制音量，但是对于导航和娱乐音量分别控制设计的有点扯淡，导航出声的时候控制导航，娱乐音响的时候控制娱乐，问题是车机没有那么智能，总是调不到我想要的。他还没有一个准确的控制按钮像手机一样。
第三是辅助驾驶，他只能识别一个车道的情况，如果有车变道，车身进来一半以上才会识别，所以得多关注一下
以上是内饰以及车机的一些槽点

其次是电机和刹车的
他这个刹车确实不好用，不过舒适驾驶没什么问题。稍微激烈驾驶就有点跟不上了
前半段好像踩棉花，一两公里的降速，后半段才比较硬，刹的有力道。因为这个有好几次差点刹不住
其次不知道是否因为是新车稍微踩大一点刹车，最后都会有咯噔咯噔的声音
优点是刹车的姿态挺好的，没有点头的情况出现
电机就那样，不快，整体就是一个舒适型的车，追求不了速度与激情。激情不了就只能优雅了
最后也是最重要的一点，能耗了
这个车官标425，青岛这几天都是零度上下，市区能跑到260左右。（偶尔开空调除雾，不开座椅方向盘加热）
高速不知道为什么也差不多230-260左右。有一次跑了210多公里还剩百分之二十七的电量（图三是在高速上，21.5的能耗，依旧是无空调无加热）
能耗基本是在25左右
在南京比较暖和，十几到二十多度，能耗在12-13kwh
电量30%充满四十分钟左右
整体这个车没有特别突出的一点，但是这个价格放在这个区间里，我感觉所有车都能比一比，很均衡的一个车型，我蛮喜欢的～",2024-02-21,青岛
造物玩车,"提车已经21天，开了超过1000km，现在就来和大家分享一下我的用车体验！
车辆概况：
?用车城市：上海
?车型配置：2023款纯净长续航版 离子灰+潮流坐标内饰+电动尾门
⏰购车时间：2023年11月

外观内饰
ID4X设计上在新能源阵营里并不显眼，但确实也符合大众的审美，没有非常炫酷超前的设计，但也感觉到年轻时尚的元素。如果说贯穿式前后灯已经是如今新能源车的标配，那么极具辨识度的发光LOGO是比较特别的存在。在内饰设计上，ID.4X采用了不少浅色软包，尽显高级感。车内空间宽裕，后排座椅放倒后，可提供更多的储物空间，实用性较强。

驾驶体验
不得不说，这21天的驾驶体验真的让我爱不释手！每次上路都能感受到电机迅速的动力输出。而且，ID4X的操控性也是一级棒！以前开的是轿车，原本以为SUV重心高了会没那么稳，没想到得益于接近2吨的重量，转弯时稳稳的，给我一种安全感。并且，由于座高比较高，视野更好，开起来更有信心。

一些吐槽
· 提车第二周多次遇到了报红色故障码无法启动问题，车友群说是车闹脾气了，放一会儿就好，确实静置15分钟后又可以正常启动，后来到4s店检查，刷新了驱动固件，服务还算好，暂时没有再遇到了。
· 内饰门把手和中央扶手等手经常触摸区域都是高亮黑塑料，简直是指纹收集器。

总的来说，ID4X无论是外观、内饰还是操控性，还是比较满意的！",2023-12-18,上海
霹雳游侠迈克,大前天看车试驾，前天付款，昨天挂牌 … 【外观】 车身修长，车头两侧隆起显得有力量感，贯穿尾灯实际看比图片更好看，前后标灯贯穿，晚上挺漂亮，启动车时矩阵灯像眼球一样左右摆动一下，然后向上转，感觉灵动、有神，点睛之笔，比大众上一代车的中庸之道更好看一些， 感觉新能源还是选个彩色的更动感、有质感、有活力、显高档一点， 感觉蓝色最好看，可惜现车只有白色、灰色，就要了白色，听销售说选白色的最多， 时和上一代CRV放一块，不论车身还是车头，都更显大。 4X和4C外观基本一样，区别就在前杠和尾灯稍有一点不同，外观选哪个都行，不需纠结 【配置】 谈价时要电尾门，提车时有矩阵灯，高兴！ 低配，4X比4C多：前后发光标（感觉买ID必须要有它）、仿皮座椅、座椅加热、腰部调节（三十多岁腰间盘突出，感觉有它太合适了，要不座椅怎么调都对腰部支撑不够，加个靠垫不如这个方便、舒适），感觉4X丐版配置就能满足自己了，4S送的行车记录仪要跑线从保险取电不想用，看有卖从后视镜后感应雨刷取电的和后视镜后面一体的记录仪，想买个 让4S装上，又看有说带行车记录功能的360，现在想买，谁装过？给推荐下 【空间】 本人1.77，前排驾驶座椅调好，后排腿部空间两拳三指，ID4是紧凑还是中型SUV？ 感觉空间挺好，吐槽下后排靠背角度太直，这一点坐时间长了不太舒服， 家里有七座SUV，媳妇开不想要更大的车了 【续航】 家里有个六年的长安奔奔180KM三元锂电，山东，冬天续航减1/3，最冷那几天续航对半折，其他季节表显里程和实际差不多，刚开电动车时，一到剩五六十公里就紧张焦虑，赶快充满，现在熟悉了，表显最后几十公里挺准的，现在经常开的剩十几公里、几公里才充电，小奔奔媳妇上下班代步，六年才跑了两万多公里，电车定位就是市区代步、上下班、买菜，所以觉得425就够了，冬天最冷的时候就算对半，回老家也能跑个来回（我觉得这是买电动车续航最低标准），刚开两天，感觉表显里程不如小奔奔实，同样的实际里程，表显4X比奔奔掉的多一些，开几天观察后再说。 【智能化】 车机不论语音、联网、反应速度，体验感都挺差，手势专门用时都没反应，有时手无意间划过屏幕前又识别了，还不如没有，和特斯拉、小鹏等没法比，从提车后就一直开半自动辅助驾驶体验，市里加塞的车多，开还不如不开的舒服，城郊、高架，基本不用踩油门和刹车，很省心，城市辅助驾驶是趋势，怪不得大众把“车机部”给开了，就这样的车机，ID7上市和“别人”怎么打？ 试驾完小鹏G6智能化代差很大。 【驾驶感受】 试驾过几个车的感受，这项着重说下（过城市铺装路面和减速带） 深蓝S03：底盘感受一言难尽，感觉半成品，底盘感觉很轻，后排抛跳感严重，隔音差，和ID4没得比。优点：估计没人会说它的前脸不好看，很吸引人，空间也可以…… 埃安Y：担心扭力梁晃后排晕车，试驾完感觉这点倒不用太担心，关键是隔音太差，胎噪大，悬挂也就十一二万车的档次，和ID4没得比，觉得十四五万就没必要买它了， 优点：后排空间比同级大、很大、非常大，后排跷二郎腿挺舒服…… 小鹏G6：车机和辅助驾驶试驾几个车里最好，是它让我对辅助驾驶有了信心，悬挂比ID4好那么一点，车身尺寸和modelY差不多，后排空间比Y大多了，后排靠背倾斜角度很大， 估计长途也很舒服、不累…… 特斯拉modelY：悬挂没网上说的、想象的硬那么硬，销售说调软了50％， 过减速带比G6更有“韧性”，感受更好一点，车机成熟稳定，保有量巨大，不愧是电车首选，就是后排空间稍坐直一点就顶头，3后排到不顶头，就是头离车顶玻璃也就一两指，怪不得说夏天开头很热，下边空调吹的还很凉，确实不舒服…… 宝马I3：火山红内挺好看，外观也就那样了，感觉屁股比前脸好看，智能化配置很低，35连无钥匙进入都不配（有人会说，拿钥匙点下锁车开锁还是问题嘛，那感觉就像习惯用指纹锁回家，再让你拿钥匙开锁的感觉，享受到智能化的边界以后，确实能改变人的习惯），驾驶感受是这几个试驾车里最舒适的，底盘调教也是最好的，但后空气悬挂只是为了支撑电池的重量，颠簸路段并没有因为空气悬挂而提升多少舒适度，过减速带时后悬还出现了左右颤抖，轿车操控先天优势，缺点底盘低， 电车刮底盘有风险， 本地挂牌新号段，选车限现车，G6、modelY等车两个月的一个月pass，在中意的ID4和I3之间选，I3-35配置太低，选配两万，本地4S落地价到了28，心里挺想要那个标，但一个15多一个28，配置差不多，空间差不多，买I3除了标就没动力了，给自己找了个理由：I3现在是过渡产品，宝马25年换纯电平台，两三年后城市辅助驾驶、800V充电、固态电池…都会更成熟，电车更新换代有点像智能手机了，迭代很快，现在的电车都是过渡产品…给自己一顿PUA，好嘛，就ID4了，因为觉得4X425配置就够用了，好，就4X了！,2023-07-22,临沂
师说财经证券,"对比了多个车型后，终于下定决心入手了上汽ID4X，我的大白。用车城市北京，驾驶了约3000公里。大白外观圆润，尺寸适中，续航扎实可靠、驾驶平稳有质感，就是智能化比较拉跨，总体来说我觉得大白颜值在线，在我的审美点上，所以入手了。接下来和大家一起分享一下我的用车感受！
      【驾驶感受】 整体驾驶感受还是相当不错的，车子提速虽然不像新势力车那么快，但8.5秒的起步速度完全够用，动力强劲，有推背感，但并没有特斯拉MODLE Y给人的眩晕感。行驶中，动力足够，没有停滞，不打滑，行驶稳健。转弯半径特别小，方向盘没有虚位，让人觉得开起来特顺手，基本上对车没有陌生感。
        转向比较轻盈，阻尼适中，转弯半径极小，可以说超级完美。但最近发现方向盘打死时，轴承发出咯噔咯噔的响声，不知道是不是冬天冻住的缘故。
         底盘扎实，过沟沟坎坎也很平稳，高速行驶也不会感觉到飘。我一般启用舒适模式，其他模式用的比较少。感觉车子整体调教的比较轻盈，隔音效果可以，特别是高速时，风噪很小，胎噪也不错，但感觉低速行驶时，反而胎噪有点大。
        大家都诟病车子是鼓刹，实话说购车时我也有过顾虑，但驾驶一段时间后，感觉刹车完全没问题，灵敏度足够，且没有刹车点头现象。但不得不说，D档时，车速真的不能过快，且需要提前减速，那种冲劲真的有时会让你有点怀疑是否刹得住。
      【空间表现】 车内空间优秀，1.80的小伙座进驾驶室，头顶还有一拳左右空间，后排腿部空间宽裕，大约离前排靠背有两拳的距离。
        储物空间足够，后备箱很大，两购物车的东西放下完全没有问题。后排座椅可以放倒，还可以铺个垫子躺平。
      【电耗表现】 续航表现优秀，动态续航显示精准，得益于83.4度的大电池，完美解决里程焦虑问题。秋天买的车，不开空调，能耗一般可控制在13左右，如果开冷风，一般在16.8左右。冬天确实能耗比较高，不开空调一般能耗在18，开座椅加热、方向盘加热一般在19.8—21，如果开空调，一般在30多了。车子续航标607，冬天充电100%一般显示470了，如果再开空调，一般显示370左右了，不过掉电一般会达到1:1。
      【优点】1.车子总体感觉开着比较稳定，开了3000多公里，没遇到过啥大毛病。
        2.外观大气，黑白搭配很经典，很耐看。
        3.内部空间感到满意。虽然轴距只有2765，但人坐进去后感觉内部空间很宽敞，不局促，车里坐进5个人，一点不觉得拥挤。
        4.续航显示很扎实。虽然冬天续航有缩水，但表显续航很准，有一次，续航显示只剩3%的电了，出现了小乌龟的码，但依然将车开回了家，心里一点不虚。
        5.座椅加热、方向盘加热很香。冬天这两个配置很实用，且不费什么电，每次上车都是先开加热，不到3分钟就热了，确实好用。
      【缺点】1.智能化水平较比一般，甚至说不敢恭维，我的车机版本是2930，有时运转不够流畅，有卡顿、死机现象。至今出现过一次黑屏，大小屏幕一块黑的那种，真的是干着急，无计可施，幸好等了一会，点了几次开关电源，自己恢复了。
        2.冬天空调耗电量大。冬季空调升温很快，但确实费电。一打开空调，就感觉续航呼呼的往下掉，尤其是短程，掉电更快。家离单位大约10公里，上车就开空调，一般单程就能下7%左右电。
        3.轮胎比较薄，且价格不菲。我的车是20寸轮毂，感觉轮胎比较薄，尤其是侧面，蹭了几次胎了，已经有了明显的痕迹。而且换一次胎，一个轮胎就要1600元左右，确实价格有些贵了。
      【其他方面】1. 内饰风格沉稳大气，实用性突出，不像某迪元P内饰那么夸张，但塑料感感觉比较强。
        2.配置丰富，矩阵大灯，20寸轮毂，电动折耳，皮质座椅，方向盘、座椅加热，除了座椅通风，基本该有的都有啦。
        3.充电方面，充电速度相对较快，0—100大约12小时左右，每天上下班25公里左右，秋天10天左右充一次，冬天5天左右充一次。
        4.价格方面，目前优惠力度相当可观。落地价17.3（含保险、出库费、上牌费等），感觉价格已到我的心理承受价位。
        5.关于赠品，脚垫、后备箱垫、贴膜和封釉。
        综上所述，ID4X是一辆非常适合家用的纯电SUV。个人觉得ID的性价比和驾驶感受都很优秀，特别是真实的动态续航显示让我在开车的时候可以精准掌握续航。ID确实是值得拥有的一款好车！
        希望小编推荐加精，谢谢。",2023-10-08,北京
小小雷子1,对于优惠后的这个价位来说，ID4还不错啦，自己关注很久了。本人对车机没啥需求，也就听听电台，听听歌，但对比国产电车，ID这个车机确实不太行，导航个人习惯，喜欢用手机。 和老婆在同价位区间试驾了很多品牌（宋plus、零跑c11、别克E5、埃安V、埃安Y等等）的电车，ID4底盘的实际调教感受属于这个价位顶流那一批；空间中规中矩吧，确实谈不上大，但也绝对够用，本人180cm，家人也都不矮；驾驶感不错，动力调得很像油车的感受了，驾驶没有不适感突兀感（本人不追求零百加速那种运动感，家用车嘛，舒适最好），总而言之，比较好开。最后综合了价格、外观、内饰、续航、底盘、品牌等方面的考虑，和老婆最终选择了4X，我俩都比较满意。 续航嘛，电车大家都差不多，都得打个折，西南地区的冬季气温还好吧，对续航的影响，我个人可以接受，北方地区冬季低温另说。 当然车无完车，谈谈目前自己个人认为的缺点吧， （1）主驾的全车车窗控制按钮实在不理解为什么那样设计，单纯就为了显得科技而科技？很不习惯，也不喜欢，在主驾开关个后排车窗，还得多按一下rear键。 （2）B档减速时，刹车灯不会亮，对比过同事的ix3，他的会亮，无法给到后车提示，个人认为，但凡跟车较近，后车开车分点心，没注意到前车距离的话，很容易追尾。 （3）自己也不是新手，上一辆明锐自己也开了快八年多了，自认为驾驶技术还过得去，但ID4的D档下踩刹车，总感觉信心不足，因为刹车前一段非常软，像没刹一样，刹车不线性，可能我自己还得适应吧。 （4）后轮鼓刹。这里我不排斥鼓刹，毕竟ID4的刹车测试还是比较优秀的，但是鼓刹有时候刹停的那一下，确确实实有异响。 另外，自己还是喜欢实体物理按键，这种全集成到车机去操作或者靠触摸的，还是不太喜欢，但可能是大势所趋吧，现在很多车都是这个趋势。 顺道儿请教一下大家，ID4x上车启动、断电下车离开时的那个音乐，或者说欢迎/告别音怎么关？自己没研究出来。。。,2024-01-05,贵阳
李察震撼,"【空间表现】
座椅调到最高身高 184 不顶头 后排空间也能伸开腿
【充电时间】
还行吧关键看充电桩最快的时候一分钟 7 公里
【续航】
没有续航焦虑 关键是跑到剩 3 公里也不怕 不会突然掉电  
【智能化】
用惯了还可以吧 除了听歌也不干啥
【驾驶感受】
D档和有车没啥区别 转向角度小很方便 驾驶质感有信心过弯支撑足够 加速市内够了 也不是赛车 反正比有车每天通勤能节省几分钟😁
【提车价格】
也是因为无意间看到价格活动 ID 三才十万去的 4S 店 看完感觉太小才买的 4 价格贷款才 13.2 万必须加电尾 2000  赶上车展政府又给了 2000 购物卷正好抵了.保险四千多 在没啥了上牌 150  买了脚垫后备箱铺平的盒子对了  还花了 1800 买了个随车充 7 千瓦的  一小时最多能充 50 公里 现在天冷了零下的时候三十多公里  挺方便的 申请家装的时候也可以当家装用 也可以拿到自己店里用  和固定的原理都是一样的，花费不到 14 万 ，算上两年利息的话就 15 了，可以接受

【最满意】
满意的当然是平时花费了  秋天续航将近四百公里吧，关键我脚狠电耗基本保持 15 左右  不是不能开到 12-13 只是开车习惯不同，冬天换了雪地胎 加上空调基本二十以上 出去快充基本只充 7 毛以下的 碰上三毛充满才十几块， 之前油车百公里五六升多（本田 1.0T）慢点跑才 4 升多很省油了一个月通勤油钱一千三四百，现在三个月跑了九千多公里 比之前跑的稍微多了一点，因为费用太低了所以有点故意多跑的感觉，因为家装还没安哪里都去充，没时间出去就在店里充，大概统计了一下这些公里实际花费没到一千块 一个月比之前省了一千来块，过一阵搬完家就把家装安上 用上谷电就更少了，

省钱只是是一方面，关键是驾驶体验，虽然最低配 Acc 座椅方向盘加热  电动座椅调节 电尾  还免费给了全自动大灯和一千的颜色，空调上车三十秒就热了  还可以提前预约，都省这么多了还管啥电耗舒服才是第一位 ，油车冬天跑几里地才能热，真的回不去了，提车半个月以后卖油车开去二手车那真的差别太大了，买车之前一定要去试驾，车是用来开的适合自己才是关键，我是每天通勤来回六七十公里再加上办点别的事就点百八十公里肯定省的多，要是每天开不了多远买电车就看你的喜好了😊所以使用场景不一样对电的态度也不一样，这些只是我个人的体验和感受和大家分享一下😊",2024-01-07,烟台
地方一级保护废物,"写完回头写下这篇文字，原来写了这么多。献给一些心动但又想得到中肯建议的人。

先说外观，整个感觉挺年轻的，不是大众车给人的那种刻板印象。胖墩墩的，挺圆润可爱的，但前脸又感觉很生气很有气势，所以奶凶奶凶的。外观最吸睛的是矩阵大灯以及前面的灯条，拿钥匙靠近迎宾时那种互动很带劲，大灯像眼球搬转动，连着车标和一整条LED灯带一起亮，赚了不少回头率。路上看到这种灯，我自己都多看两眼。

续航我挺满意的，坐标广州夏天开空调城市快速路大概13电耗，塞车开半自动驾驶大概17电耗。高速路应该要更低。

内饰的话，简单得来又有点惊喜，比全球（好啦，说一汽也行）版本更年轻时尚，中控比全球版本做得人性化。座位很舒服，还配有按摩功能。但如果是运动一点的风格就更得我心了。全景天幕有够大的，贴车衣送的冰甲还被要求加钱?，最重要的，有遮阳帘！够良心！

我选的智享长续航版是最具性价比的，但如果有极致长续航版（多一个360），我也许会选。

谈到空间，后排座位够大，地台纯平，后备箱也很大。美中不足的是后排座椅放下不能跟后备箱水平，要增购一些配件才可以做到。

智能化的话，赞一下IQ.LIGHT（还是ID.LIGHT？），还有AR-HUD，提高了驾驶安全性。即使我是22款，没有21款的断网、死机、黑屏等，但是我开始得说车机的第三方太少了，目前只有唱吧、酷我（太垃圾）、美团（有什么用？）还有个央视做的APP，只有一个爱奇艺还有点用。听说大众中国的软件工程师有不少能人，知道中国用户需要什么，但大众中国的权限太少了。车机界面的话我不太感冒，够用了，但逻辑可能偏欧洲。不过有Carplay，弥补了很多很多，车机再差也没问题了。但是如果能用carplay里的苹果地图和高德地图，能映射到AR-HUD上就更好了，万人血书求这个功能。

还有墙盒没有联网功能，也没有蓝牙功能，摔！我是22款，倒是能预约充电，听说21款车机有bug不能预约。

钥匙不能让车发出喇叭声寻车，有时候很不方便。

驾驶感受，说几个好的：
1，转弯半径很小，对我实在太有用了，因为我家小区车库设计太脑残了，我其它两辆油车出车库都要多调一次头；
2，底盘很厚实，转弯很稳，高速很平稳；
3，电门调教得很像油车，很舒服，不快但是可以超大部分路上的油车，够了够了，不是赛车；
4，B档没有这么大得拖拽感，虽然我不用；
5，半自动驾驶是L2+级，车道保持非常优秀，配合AR-HUD挺实用的。

讲几个不好的：
1，我要吐槽制动系统，但不是吐槽后轮鼓刹，后轮的鼓刹我只有一句话：后轮是大陆集团的电子鼓刹，绝对制动力比碟刹更大且鼓刹系统较轻还环保，被诟病的鼓刹弊端热衰减对电动车来说无所谓，因为家用车吨位没这么大且不大可能出现那种连续重刹的使用场景，做过测试用动能回收模式的情况下城市路段的制动系统温度基本保持在30度以内，怎么热衰减？？（好像这句话有点长?）
我也不是吐槽刹车前段偏软，那是因为鼓刹系统还没介入工作，用的是动能回收的制动方式（也呼应了前段），我也能适应。
我要吐槽的是刹车到地区状态，会突然感觉刹车力道被卸。今天得到官方确认，为了安全（我其实没搞懂），车速小于7㎞/h时，电机反向充电的制动力会撤出，最终车主的感受是刹车最后段（从7㎞/h以上到7km/h以下）非常不线性，因为你预期能刹停的距离其实不够，最后还要踩深一点。
而且刹车如果控制不好后会前后浪，因为那脚感很难控制得好，所以基本上都是浪。
2，这是我第一台SUV，不知是不是我SUV开得少的原因，我觉得悬挂偏硬，低速过减速带不太舒服。

哇，写了好多，希望加精。

---------分界线---------

220629再补充一点

我在买上汽大众的墙盒前看到APP里有“我的专属桩”的模块，还能扫码。也看到一汽的姊妹车型APP里可以绑定墙盒，就默认他们的桩具备联网功能。

结果上汽大众的墙盒是不带物联网和蓝牙功能的。这导致21款的车友们要等ota升级车机才能预约充电，虽说我是22款本身就可以依靠车机预约充电，但是总感觉被欺骗了，心里不太舒服。如果真要咬文嚼字，真不能说上汽大众什么有什么责任，毕竟人家ID豆说明里写得很明白，墙盒的相关资讯要问经销商，只能怪自己自作聪明了。",2022-06-29,广州
Hifun1960205300739,"【空间表现】
前部空间足够大。因为前部座椅可以调节的范围比较大。后部空间只是一般紧凑级SUV的正常表现，像我这样身高的坐到后排，感觉头距离顶棚还是有点近。而且后排如果乘坐三个成年人的话，还是有一点挤的。毕竟只是一个紧凑型SUV车型。
【充电时间】
充电时间相关的因素比较多。跟车辆的电池状态以及室外的温度都有关系。冬季的话充电速度就非常慢，是因为电池本身活性比较低。在进行充电的时候，BMS会降低充电的功率。在最近温度比较合适的时候，充电功率就比较高，尤其是当你开车开过一段时间，再去充电的话，充电功率就会比较高。这个跟电池的活性也有一定的关系。

【续航】
续航水平只能算是中规中矩。没有太大的惊喜，当然也不会跟理论值相差太远。续航水平主要是跟驾驶习惯，行驶速度以及室外温度有关系。如果在城市道路跑处于一个拥堵状况时开时停的话，电耗也不会低。如果是走城市高速道路。速度超过100之后电耗会比较高，基本上都是在20度/100公里以上。当然跟温度的关系也非常大，如果是冬季需要开热空调的话，电耗会非常的吓人。尤其是刚启动车辆行驶一段距离，平均下来的电耗就会非常高。天热开空调制冷比制热能耗相对要低一些。目前本人驾驶这个车的能耗表现基本上是16度每百公里。中间的路况包括1/3的城内拥堵路段和2/3的高架路段。

【智能化】
智能化的水平感觉和国内新势力车型相比而言还是比较落后的。但是这是各个品牌对于车辆的品质关注方面不一样吧。因为汽车的品质回归到最基本也就是驾驶，操控，底盘和车身强度等等这些。太多的花里胡哨的智能功能，实际使用过程中也不一定能用上多少。这个东西见仁见智，各取所需吧。
【最不满意】
这集刚开始的时候经常会断网，而且车内的各种传感器经常会报告错误。屏幕上闪烁的各种故障灯会把这个新手搞蒙的。因为你不知道哪些是真实的故障，哪一些是误报。后来经过一次硬件的驱动升级和一次撤机操作系统的升级之后，这些故障的误报率降低了不少，但是偶尔还是会出现。希望后续的OTA能够逐步的解决这些误报的问题。而且这个电控系统的功能还是需要完善，电耗相对来说还是比较高的，虽然电池很大，但是高电耗的话，必然导致这个续航会降低。
【购车经历】
本来没有打算换车，但是考虑到目前一个时期主要的活动范围局限在城市以内，不跑长途。而且每天都要开车，绿牌照的话就不受限号的影响。买车的过程也是曲曲折折，其实之前也看过一些汽油车。打算是两个油车交替着使用，错开这个限号限行。后来觉得使用成本也是比较高，而且也比较麻烦。中间也看过一些汽油和电混动的车型。但是由于机缘不凑巧，一直没有现车。而且销售人员也不是很热情。买这个车是完全处于急需用车。基本上当天试驾当天就下定了。而且买这个车有两年的无息贷款，也减轻了不少经济压力。
【驾驶感受】
感觉这个车和大众的一贯风格是比较接近的。虽然他是个电车，但是加速没有那种太突兀的感觉。而且他这个能量回收也不是那种很大力的刹车。基本上驾驶起来感觉操控比较灵活，因为是后驱车，所以他这个前轮的转向半径很小。在路上拐弯掉头都比较灵活。座椅的乘坐舒适度也还比较高。前排还有座椅按摩功能，也是一个比较实用的功能。
【销售态度】
因为购买这个车的时候，店里头有一个专职的新能源车销售员。推介起来也是比较热情，然后讲解的也还比较仔细。只是在购买的时候没有讲清楚这个车的情况。因为这个车是一个展车，相当于是在展厅里放了一段时间的。期间他的这个12伏小电瓶是亏过电的。但是销售没有如实告知。另一方面就是购车的时候有一些购车权益并没有给讲清楚。而且虽然是个展车，但是购买的时候都是按照官方的价格，一分钱的优惠都没有。对这一点感觉有一种不太诚信的感觉。当然了，主观原因还是在于自己，当时看到了现车着急购车，所以对一些细节没有太多的关注。",2022-04-29,西安
你叫我Terry就好了,坐标深圳，智享长续航，选配抬显，5月1号订车，19号通知提车，优惠完开票卡20万价格拿补贴，落地全款22万左右，省补8000已拿到手，在等区补11000审批，综合下来21万不到拿下 24000的id豆换了终身保养，轮胎险，保险补贴，三电终身，整车质保6年/18万公里，剩400豆换了v豆 4s送了行车记录仪，原厂挡泥板脚垫行…李垫，全车kdx防晒膜 自己本身开r56 mini jcw，家里有其他车，自己是银行业上班，买车原因不想jcw浪费公里数在跑业务上，家里有固定车位，就决定买一台电车城市代步，看了不少电车，中心主旨，空间大，价格不想超25万，拒绝油改电，因为两个娃，后期想买台7座mpv。本来想买aion y，涨价就觉得性价比不高。model 3后排太小，y超一点点预算，重点是要等车太久，放弃。理想one太大台，6座鸡肋。小鹏p5车身比例太丑，p7原因跟tsl 3一样。byd实在喜欢不起来，一言难尽。其他新势力就不太放心。id系列也是无意中发现，后面了解了下好歹全球销量也不错，考虑过id6，但是也是太大台，6座7座第三排都很鸡肋，而且我中间要放安全座椅，更加不好用第三排，放弃。id3也喜欢，车内空间其实跟id4差不多，毕竟轴距一样，就是车顶矮一点，车尾箱小了点，家里有小车了就不考虑了。从知道id4到下订48小时不到，问了crozz跟x，喜欢crozz前脸，但是其他折算送电卡1万多对于我可以装充电桩来说作用不大，22款配置两家都基本一致，对比下来x综合价格权益比较符合我。自己对车内智能不太感冒，觉得够用就好，自己开mini车机也只是听听歌广播，看看车子信息。id4的车机对于我已经十分够用了。国内新势力车内配置太内卷，好像少个两三个大屏就不是行内标准。我觉得车重点还是放在安全性跟驾驶感上比较好。开过不少电车，对比下来，说实在，id4的行驶质感很好，底盘很扎实。车内空间也达到个人预期需求。 目前开了1200多一点公里，家里充电花了50块不到，尝试了玩下快充花了20块。一般30%冲到80%，没什么里程焦虑，就没有特别省电开，经常躲车里开着空调玩手机。 车子车机一次转向灯声音消失故障，一次断网，均重启车机后恢复。有几次低速倒车时紧急制动，估计防碰撞太灵敏。自动跟车挺好用，自动降速加速不突兀。 总的下来，id4还是不错的。如果家里能装充电桩的直接冲电车就好，没啥好焦虑的。我也不怎么考虑保值率问题，未来的事谁知道呢。,2022-07-11,深圳
