字段1_文本,字段1_链接,字段2,时间,字段3,时间1
驾仕派,https://www.dongchedi.com/user/3357959465,【市场行情】RAV4荣放已经从20万+俯冲到十六七万了。次低配2.0L CVT两驱风尚版现在就是落地17万元出头，主打一个“自主的价买丰田经典主力车型”。双擎 2.5L E-CVT两驱精英版指导价22.58万元，优惠后落地不到21万元。高配的荣放双擎车型在2024年将越来越难卖，因为触及新能源SUV群雄混战在25万元区间的火力点了。,2024-01-31,,
威猛先生2222,https://www.dongchedi.com/user/92939149189,外观真的很不错，白色➕黑顶总共加了4000元。铂金白的车漆看起来很有质感，实物比图片好看。因为顶配底部有一圈亮黑色钢琴烤漆，所以加了2000选了双拼黑顶呼应，为了视觉上更好看一些。两三个月了还是越看越好看。 空间也够用，家用完全绰绰有余，后排和后备箱空间都算可以了。内饰其实看习惯了也还不错，大道至简吧，真皮包裹性、黑红色调还是很运动很年轻的。 配置该有的也都有了，不常用的一些功能也都有了，只是副驾无电动座椅、手动也无法上下调节，这个不知道咋想的。 精致程度稍有欠缺，车机一般，这个大彩电看起来大，但是也不会遮挡视线，日常这些车机功能也足够应付。 续航还挺好的 一般城市通勤两天一充，长途直接HV混动当双擎开。 顶配的驾驶感受很棒！无论是纯电还是混动模式 个人觉得都很棒，总之这是一辆综合来说很棒的车！开了几个月不后悔选了这辆车！,2022-02-27,杭州,
虾米RAV4,https://www.dongchedi.com/user/73121884007,"车机系统是比较差的了，导航又不能手机投屏。然后倒车影像也是比较差的了，车辆内饰也是比较差的，就这三点估计接受不了，有点蛋疼！
【空间表现】车型还是还是家用的话没问题啦，够大气的呢！也是挺喜欢的啦

【油耗】油加了两次，现在还剩半箱油。续航提示400km。算省油了吧！油耗跑高速开了定速巡航100，感觉应该是3.5左右的呢！城市跑的话，应该油耗会更加低！还有就是充电桩安装的效率有点慢了！

【驾驶感受】
有明显的推背感，动力说来就来，挺满意的啦！毕竟也是2.5L的发动机哦！还有就是提车的时候满电显示70km续航，后来多充了几次，现在续航显示85km了。希望耐用的了。
【乘坐体验】后排空间也是可以的，后尾箱堆了一堆文件，感觉够大！",2022-08-19,中山,
微言小律,https://www.dongchedi.com/user/92759198482,我是2021年6月10日定的车，定金交了一万。8月7日晚销售顾问发消息车可能马上到，8月8日去提了车。8月26日贴膜镀晶上牌，4S送的升级膜、镀晶、行车记录仪，车牌也邮到了，弄了一下午，终于全部完成。4S的对这款车也不熟悉，安装行车记录仪时还预留了安装ETC的位置，车友群里说原车带ETC，我才发现，但已晚了。我看车看了很久，最后还是定了荣放双擎E＋旗舰版Pro白色黑顶，也是价格最高的一款，裸车实价300800元，宝鸡市免税按新能源车上了绿牌，免了购置税，每年不用交车船税。第一年4S合作的保险公司保险费5700元左右，第二年保险费3000元多一点，第三年又变成3500元左右。新车动力十足，加速超车轻松，启动低速行驶安静几乎无噪声。提车后两个月一直加油未充电，自动模式基本上是HV混动模式，多数单程亏电油耗显示为5.1L左右，丰田做油电混合车最早，质量稳定可靠成熟，在此基础上增加插电动力电池，亏电油耗相对较低，偶尔出现亏电高油耗也是在冬夏季使用空调时，平均7.1L左右；高速上一般都要使用空调亏电油耗也不超过6.4L。厂家送了个充电桩，须一年内安装才免费，但是材料费还是要出，在充电桩上充电用时需四个半小时，随车带的充电枪可直接接普通插座，充满电需用八个半小时左右。刚开始那十几次充满电预估续航80公里左右，后逐渐升高至95公里。可以充电后我几乎很少用油，纯电EV模式，平均电耗约17kwh/100km，偶尔很低或者很高，实际续航从55至105公里不等，冬季比夏季短一点，开空调平均70公里多，春秋季可达官宣的87公里甚至经常超过。刚提车时气味大，就果断撕了所有塑料膜套，每天开窗行驶，半个多月已经味很小了。4S店送的脚垫不是全包围，换了，没有后备箱垫和隔断帘，得自己买。4S送了升级膜、前行车记录仪还行。喜欢荣放E＋的外观及驾驶操控的感受，乘坐舒适，各处空间足够，中控屏厚度、分辩率基本上免强能接受，车机蓝牙和360影像、收音机最实用，其他几乎不用。我认为日常主要是一人在市内驾驶，充满电官宣的续航87公里绰绰有余，长途旅行本来就不宜人多，所以五座最为实用经济，荣放的大小最为恰当，停车方便，日常使用和维护保养成本不高，口碑好质量稳定，再大点的车虽然豪华大气，但各方面均升高一级，在日常绝大多数时候只乘坐一两个人的情况下稍嫌浪费。 【最满意】 既可充电当电车，电耗相对不高；又能加油跑长途，亏电油耗也相对较低，动力充足，从未感觉加速乏力。 【空间表现】 不大不小刚刚好。 【最不满意】 车机略显落后，分辨率低。 【提车价格】 白身黑顶双色加了4千元。 【驾驶感受】 操控灵活方便，随心所欲，车辆稳定可靠。 【油耗】 亏电纯油月均未超百公里5.09L。 【动力表现】 起步提速快，加速后劲持续强大。,2021-08-30,宝鸡,
o风三哥o,https://www.dongchedi.com/user/4468033822921483,"买这车的初衷是，各项安全配置都齐全，车道保持，自适应巡航等，还有碰撞预警自动刹车，刚回来新车有天倒车差点蹭到别人奥迪Q5了，车子自动刹停了，避免了破财，车子外观颜值不错，动力充沛，跑高速的时候动力随叫随到，超车是完全不用担心。比较吐槽的地方是车机，导航比较糟糕，幸好是熟悉的路线，要是陌生的地方，只能用手机了，低配有carplay.反而高配没有，挺糟心的，这个大彩电也只能听听歌了。
【销售态度】丰田的销售服务一般般，就是那种你爱买不买的态度.
【维修成本】用车成本较低，符合家用车的要求

【购车经历】5.1订车，7.29提车，等车的周期太长了.

【最满意】外观，动力表现，安全配置

【驾驶感受】车子偏重，驾驶感觉很稳，动力随叫随到

【最不满意】车子不够人性化 大彩电感觉是摆设导航老是出错，要说在线放歌呢，车联网流量太少

【空间表现】空间中规中矩，一家五口出门够用

【动力表现】动力强劲，特别是高速上，那叫一个爽

【油耗】油耗目前卡了400公里，平均油耗5.6",2021-08-08,深圳,
优视汽车,https://www.dongchedi.com/user/6165220499,"整体印象：RAV4荣放双擎E+给我的印象就是一台可以插电的RAV4荣放车型。另外，这台车可以上绿牌，纯电的行驶里程也能达到95公里。对于那些既想要上绿牌，又想用电行驶的消费者来说，来自丰田品牌的RAV4荣放双擎E+倒也不失为一个选择。当然，新车整体价格偏贵，起步价就来到了24.88万元，所以想买的朋友可以考虑清楚。我是在前段时间去4S店里试驾了这台车，下面就简单聊聊试驾感受。

动力表现：我此次试驾的是RAV4荣放双擎E+四驱版车型（顶配），最大功率225kW，这也是目前荣放车系下动力最强的版本。官方声称的四驱版车型0-100km/h加速时间仅为7.4s。

行驶质感：实际开起来之后，配备了2.5L发动机的荣放双擎E+能为驾驶员带来不错的提速感受，对于一款家用SUV而言，动力储备够充足，而且动力输出属于循序渐进的类型，乘客会更容易接受。此外，　RAV4荣放双擎E+有EV、HV、ATO等三种驾驶模式可选，在EV（纯电动）模式下，即便把加速踏板踩到底，发动机也不会介入，而且电机足以支持车辆以时速120km/h的速度行驶。在HV（混动）模式下，发动机始终介入，但此时电机仍是主要动力源，所以只要驾驶员没有太强的提速请求，发动机就能以较低的转速工作，此时传进车内的发动机噪音也不会扰人，静谧性表现不错。至于底盘悬架，个人认为它的支撑性一般，路感也算不上有多清晰，所以这台车也终究只是一个适合通勤的家用SUV。

乘坐空间：坐进这台车的后排，其实我们可以发现RAV4荣放双擎E+在后排乘客头顶是有上凹设计的，所以即便是身高180cm的我也仍有一拳两指的后排头部空间，而腿部空间则为1拳4指。另外从测量的车内空间数据来看，RAV4荣放双擎E+的后排座垫高度比燃油版车型也降低了50mm，这样也能够有一个更舒服的坐姿。

购买建议：总的来说，RAV4荣放双擎E+给我的感觉是一台倾向于强调经济性表现的车型。它的驾驶感受非常平顺而且动力储备充足，加上得益于电动机的加持，发动机噪音也明显变小了许多。所以综合来看，如果这台车的价格能够再低一点的话，那么它的性价比就还是蛮高的。",,,2022-03-31
用户9413928642135,https://www.dongchedi.com/user/3562847971064055,"外观不多说，喜欢才买的。
内饰不多说，简单大方。（完全不敌国产车）
油耗：可以说十分低，亏电高速100-120，5.5（开空调和座椅加热）。春季3.6-4.2（不开电气设备），暴力驾驶（地板油，高速超车，懂得都懂）可以开到7-8.5；油耗不要听国产品牌吹，这个品牌可以说是天花板。有人说这个车排量大一定费油，我的小踏板100cc排量，大部分情况下真的不如150的省油，因为你要达到跟大排量同样的体感油门肯定拧得更狠。发动机这种事情，国产确实还有一段路要走；不仅仅是设计，制造也有差别。国人真的可以把差的留给自己人。
能耗：开座椅加热16-19，不开座椅加热，不激烈驾驶13.5-15.5
配置：值得说的是全车座椅加热，吐槽的是这么贵副驾驶还是个手动座椅。
智能化：渣，别问，战五渣；
辅助驾驶：不怎么好用，高速可能画龙，没有车道居中；
车速：表显比实际速度快5-8km；


【空间表现】
同价位尺寸可以说是无敌得存在！
【购车经历】
本来打算买某国产品牌，试驾了一下，刹车点头严重，后备箱也很小，由于家里人在哪个品牌的供应商工作，对那个品牌十分嫌弃，虽然比这个便宜10个但还是没买；其实很喜欢另外一个国产高端品牌，但是当时他没有出插电，然后提车一个月后他出了，很庆幸没有等，30w买个1.5T，我是真疯了吧！买这个品牌的经历很蠢，西安这边常年加价，0优惠，很恶心！送了3m贴膜，行车记录仪，全车脚垫，储物箱，雨伞，钥匙扣等一些零碎。
【驾驶感受】
感觉没有很强的信心，一般般，就是个代步水平。比某国产品牌稍微强一点。
【最满意】
后排手机快充，全车座椅加热，后备箱十分能装！希望能省心！绿牌，不限行不限车道，随便开！
【最不满意】
没有电尾门，没有副驾电动座椅；没有座椅记忆，没有方向盘电动调节，车机是个B卡b卡的电视机📺；语音基本等于没有！半年保养一次多少有点坑爹了；隔音可以说是奇差无比，连个夹胶玻璃都舍不得，真的亏了先人了。最后车内异味严重！很严重！充电功率只有3.5kwh，极慢！中配没有外放电！也不支持选装！真辣鸡！",2023-02-08,西安,
马头人车库,https://www.dongchedi.com/user/105530102790,"说实话插混版的荣放要是放在去年上市，注定是要被众星捧月的，又是丰田、又是荣放、又是混动、又能上绿牌，随便哪个关键词都能上汽车热门榜，但放在今天，它就显得有点尴尬了，因为半路杀出个和它争宠的天之骄子——比亚迪宋plus dmi。都是关注度比较高的车，都是紧凑型SUV，而且都有独特的插混技术，自然免不了被拿来比较。但客观来说，我认为这两款车实际上井水不犯河水，今天我就荣放双擎E+和比亚迪宋PLUS DM-i到底有什么区别给大家聊聊。

【价格】两辆车不在同一个价位上，荣放双擎E+是25-30万级别，而宋plus dmi则处在15-17万。因为它们完全没有价格重叠的区间，所以你就没有办法在同等价位下去对比两款车的产品力。
【技术】如果我们抛开价格谈技术，荣放双擎E+和宋PLUS DMi的混动技术走的也是不同路线。丰田是行星齿轮混动，油为主电为辅，而比亚迪则是串并联混动，电为主油为辅，两者的原理和体验感都大相径庭。另外丰田主打的是性能，而比亚迪主打的是省油，它们要解决的用户痛点也完全不同。丰田和比亚迪的这两套混动系统都有属于自己的信徒，把它们放在一起对比，无异于是让基督徒和佛教徒去辩论到底该信耶稣还是该信佛祖一样。

【动力】接下来也是我认为最重要的一点，荣放双擎E+是有四驱版的，而宋plus dm-i全系就只有前驱，当然这并不代表比亚迪做不出牛逼的四驱，只能说明荣放的野心比宋PLUS dmi更大，它不只想做一辆省油实用的代步车，而是想做一辆有一定越野性能的SUV。与其对比哪辆更值得买，不如先问问自己真正的需求是什么。荣放插混四驱版为了保证轻中度的越野性能，双擎E+给了一台2.5L的发动机，最大功率132kW，最大扭矩224Nm，而DMi则是一台1.5L发动机，最大功率81kW，最大扭矩135Nm。

其次再看电机，双擎E+给了前后两组电机，最大功率分别是134kW和40kW，加起来的总功率是174kW，而DMi则只给了一组前电机，最大功率是145kW。所以荣放双擎E+的整体动力参数是比DMi强的，当然它所要付出的代价就是更高的油耗，综合油耗为百公里1.2升，亏电油耗大约是5升左右，DMi的成绩要更好看一些。

大排量发动机，加前后双电机这个动力组合最大的意义并不在于百公里加速，因为客观说荣放双擎E+四驱版的7.4秒只比宋PLUSDMI快了0.5秒，它主要是在为越野性能做动力储备。荣放为了提升越野性能配备了三样东西：一是双横臂式后独立悬架，比宋plus dmi上的多连杆悬架具有更高的稳定性；二是E-four电子四驱系统，前后轴的扭矩比例可以在100:0至20:80之间调节，更有利于爬坡和在低附着力路面上行驶；三是它给了一个TRAIL模式，也就是一键脱困模式，在通过崎岖路段，或者底盘出现交叉轴工况时，系统会去抑制打滑的车轮，把扭矩集中到有附着力的车轮上输出，帮助车辆脱困。我也用荣放双擎E+四驱版实际去开了一个越野路段，其中包含松土、碎石、坡道、S弯、U型坑、炮弹坑等轻中度的越野地形，确实这辆车都可以顺利通过，它的越野性能对于一辆承载式车身的城市SUV来说确实算得上是非常不错的了。

客观来说，荣放插混四驱版的确是把产品力重心放在了驾驶乐趣上，而不是实用性，这一点从它略显不足的电池包容量上也可以看出来，以至于它的纯电续航里程只有87km，比宋plus dmi少了足足23km，所以为低油耗而生无法成为它的Slogen。

【购车意见】更强的可玩性和可靠的驾驶感受，或许才是荣放双擎E+的核心竞争力。不过当前双擎E+的价格比较坚挺，性价比一般，有购车意向但是不着急的朋友们可能等待半年，会等到一个性价比更合适的时机。",,,2021-06-30
瀛州玉雨花解语,https://www.dongchedi.com/user/1513382504572212,外观：仁者见仁智者见智，我觉得还是不错的 内饰：就一个词，简陋，极致的简陋，连国产10万以内的车都不如 配置：安全配置气囊驾驶辅助什么的该有的都有了，舒适型配置也不错，前后排加热分区空调什么的也有，就是车机也是简陋到极致，也就听个收音机了，别的啥都不想了 空间：前后排都很宽敞，后备箱也够用，储物格也不少 操控：转向轻盈但没有路感像在打游戏，过弯车身有点飘，过坑过减速带晃的一波三浪的虽然软但容易晕，舒适型选手，没什么操控的感觉 动力：还是不错的，低速电动起步基本上秒杀其他车，高速之后超车也是没有问题的，但是能开快也不敢开这么快，发动机跟的上怕底盘跟不上，毕竟不是操控型的车 舒适性：坐着还是不错的，座椅软硬适中，后排靠背两段可调，放倒后近乎纯平，可以睡倒，但是隔音不好，低速或者纯电行驶还行，80码以后风噪、胎噪、发动机噪音明显,2022-01-07,郑州,
虾米RAV4,https://www.dongchedi.com/user/73121884007,"因为油价一直高企不下，然后想买国产比亚迪宋plus的，奈何等待时间太让人焦虑了！最后还是选了一直喜欢的丰田车型，因为选了插电混动车型，比较喜欢外观大气上档次，目前上班地点有点远，所以就是有点续航焦虑，其他没什么的了。
【提车价格】24w


【油耗】跑了2000km了，毕竟名叫都市SUV，城市通勤跑都是油耗低，感觉跑高速的话因为新车让我跑不超过100km时速，然后表显油耗只有2.3L！对于EV模式，提车的时候显示续航75km。充了十多次电后，现在表显85km了，温柔点开应该可以跑90km的呢…
【动力表现】
动力就感觉挺好的，有明显推背感，挺满意的。
【最不满意】
应该是车机系统了吧，可惜又不能手机投屏互联的，加装了的行车记录仪像素真的感人。
【购车经历】
我的车子是两驱精英版，落地全包下来240800",2022-07-23,中山,
