字段1_文本,字段2,时间,字段3
pxpjq,从23年9月份开始看车，因为是增购不着急，一直看到12月份。第一次去看极氪x老婆就喜欢上了，从此其他的车感觉都不香了，后面陆续看了几款车都被pass了。 正好年底有优惠，也比较符合我们的需求，一是车不大，老婆喜欢小车，车大了也不敢开；二是安全性，电车品牌里面极氪安全性的口碑还是比较好的，从开始决定买电车就决定买电车里面相对最安全；买之前最犹豫的是网上看到的各种小问题，需要氪服一下。最终还是老婆喜欢最重要，12月最后两天订了车。 本来想选白色，因为没有现车，不想等太久就改成了米色。现车基本都是米色、绿色这种限时免费的，估计以为大家都会优先选这个。 提车到现在开了1000多公里，整体感觉比较满意，精致的小车，加速和操控都挺好，充电也方便，家附近就有极充站。各种极物的配件质量也不错，就是有点贵。 然后各种小问题还是有，需要克服一下，无线充电经常报错，尾部日间行车灯经常关不上，罚站等等。瑕不掩瑜吧，希望可以经受住时间的考验,2024-02-29,长沙
嘉澍9527,考虑到停车方便，优先考虑紧凑型： 大众ID3: 内饰中规中矩，驾驶感觉没什么印象。 极氪X：纯电，内饰精致，主推四座版，内饰和零重力座椅，有意思的小细节是卖点，主打一个单身小资风，次顶配20w可以落地，小型车里不错的选择。 因为看完以上小型车。紧凑车里首推极氪x 考虑到空间和舒适度的问题，常规车型也有不错的选择，之前也看了埃安和比亚迪元plus，最后还是选择了极氪X。 8月2日正式提车谈谈提车体验提车之前都是与交付微信群沟通确定好提车时间，中午11点左右到了极氪家先有人接待到车让自己先验车，后面交付讲解，之后付尾款-上保险-当天下午就可以上牌具体讲一下那个保险～图省事儿买的店内推荐的人保，也有其他的保险都会给报价单。也可以自己外面投保(有认识便宜的话)。,2023-08-10,金华
Arthur990929,"挺好的小车，对目标客户群体应该是拥有过或者想要一台钢炮的车主，速度快开着舒服，操控不错。后排翻起来能放行李箱。
下面说缺点：
座垫短不适合男生，得自己买一个坐垫延长器。副驾不是特别舒服，尤其是零重力。后排空间腿部坐着不舒服有点。后备箱24寸箱子竖着放不下…可能我开三厢车开多了，还没习惯。车机脑瘫…
【维修成本】
12月去了趟4s店，冬季检测包用掉了，结果提示进行排水管修剪、门把手电机更换等免费服务，不知道算不算召回？主要去的原因是灯进水了，左侧转向灯。当时给的建议是能蒸发干净就不要换，我没搭理继续开。修好回来第二天在高架上，驾驶过程中突然前驱动电机爆震，随后路边停车，并在刹车时听到严重响声和震动，后联系极氪官方拖车救援，随车过去告知晚上8点后不给客户免费打车。第二天得知电机坏了要维修等配件，维修费用免费，维修期间每天300元租车补贴，官方不提供备用车辆。现在还在等修好，等修完了再评论吧。


【续航】
温州充满电顶着限速和山路到杭州，高速每公里21-23，城市14-19，四驱➕暖风30，以上为耗电度数。
【销售态度】
还行吧，比大众强哈哈哈。",2023-12-23,杭州
农用车爱好者,"绿外绿内，外观内饰没毛病，像个小甲虫，媳妇看完车就直接订车了，主要是她平时上下班用的多一点，周末就是我开，目前跑了5000，一般就是平时代步用不用它跑长途。
充电桩的话装了家充，没买极氪的，买了公牛。对于能耗也不敏感，也没跑过续航，有一次不小心充满了显示510。
辅助驾驶在北京二环那种长弯的时候不太好用，跟车超级远，可能觉得前面有车。其他时候基本没问题，有时候刹车会重一些。
走窄路的时候四面八方雷达都在响，新手的话会更紧张一些。

【最不满意】
车停一晚上以后座椅记忆混乱，会默认恢复到驾驶员一。
车门夹手一次，还挺疼，带着钥匙去拉副驾驶门的时候。
360环影，四个角稍微有点大，试驾的时候可以注意一下。停路口的时候感受一下它的环影，右前雷达脑子一般。右面轮眉需要注意（已经刮了三次?车技还挺好，媳妇刮了两次，小区里面被别人刮了一次）
后视镜不能单独加热，下雨多的话比较麻烦。现在我也不知道怎么开。
中央扶手那个无线充电，发热，一般都关掉。放手还不舒服。希望后期能出配件给堵上。?

【最满意】
双电机动力很好，车开起来非常轻快。
选了轮毂刹车，刹车非常灵敏，如果几个车切换开的话要适应一下。
后面有安全带报警能让所有人都系安全带。
座椅比较舒服，而且没选那个躺椅的话，座椅角度能更大。

【续航】
感觉续航还行，基本不跑远路，跑的多三两天充一次，上下班的话一天五十公里左右，一周充一次。
充电的话装了家充，所以对能耗不太敏感。
【驾驶感受】
底盘还挺好的，感觉很稳，没啥船感，颠簸很利落。
方向很轻，调成运动也比较轻，转向精准。
动能回收一直用标准，送油门以后拖拽感不太强，但有效减速。",2023-09-11,北京
稻香迷迭香七里香,外观可以说是我见过的车里的颜值巅峰了，我是外观党，看到的第一眼就爱上了这辆车，配置各种花里胡哨，充分满足了我的小资需求，价格也合适，就去试驾了，试驾之后更满意了，三秒多的加速尤其让我心动，兼顾运动与舒适，就是空间实话实说偏点紧张，毕竟是紧凑级车型，当然定位是SUV，也不至于太差，而且各种可以动的部件，大大增加了空间的灵活性和利用率，当得起魔术空间的叫法，而且66的电池，续航绝对不富裕，但背靠宁王的电池技术，能源技术过硬，电能利用率高，也没太有续航焦虑内饰的话，腰线以上豪华感拉满，腰线以下都是容易磕碰磨损脏污的区域，做成硬包比较合适，能够理解，可以说这个价位，除了空间需求，其他的都满足了我对一辆车的幻想，是我的心中之车,2024-01-05,青岛
Arjet249,刚上市就去看了，刚好附近商场里有，第一眼就喜欢，然后后续排队等试驾。 试驾也是两驱的，悬挂很软，不运动，但是我喜欢的那种，方向盘指向在运动那一档下指向性还行，底盘非常扎实。 车机的话我觉得算是流畅的，没有太多复杂的功能，我个人也不太需要。智能驾驶现在更新到可以打灯变道了，我觉得已经满意了，高速上面偶尔用一用完全足够，跟车三档距离调节。但是遇到过一次弯道比较大，也没有车，然后就加速过弯，有点危险。 续航电池的话我的是两驱的，自己家里有充电桩，三元锂一直让他不低于20%就冲，90%就停这样。电耗中规中矩，我使用舒适模式，动能回收最弱，失去电耗一般都是14，高速20上下。这里要说一下快充的电很虚，会导致表显明显很高，慢充就很实，所以在高速上面充了跑续航是还要打折的，平常家用20-90市区都是跑300km左右。 一些不满意的地方： 1、有一个一直没有好的小bug，空调调到auto之后老是自己更改成吹脚模式，然后选回其他的就退出auto…2、手机蓝牙钥匙体验一般，只带手机的话，有时候会出现说车里没钥匙，挂不了档。实体钥匙没问题，但是有时候走近的时候不开门。强调一下实体钥匙千万保护好，只有一把，然后我当时掉了，要去再配一个，一个是要配很久，另一个是极贵，690+50人工=740…. 3、车内储存空间少得可怜，后备箱也小得很，放两个小行李箱就没得满了基本，但是这个是看车时就已经知晓的了，但事实确实如此。 4、雅马哈音箱低音效果不明显，不太好，而且后座行李箱上面说有两个音箱好像没有什么声音。 5、夏天前挡风玻璃巨透巨热，然后最重要的是空调好像不太得劲，经过对比，调21度以下的感觉跟其他车子24度差不多感觉，不知道会不会对电耗不太友好。 6、车机网络前几个月经常上车没网，在某一次ota后稳定性大大提升了。 不过用车7500km快半年了，提车应该是第一批里的第二小批吧，用还是很满意的，用车里也有一些小惊喜。大灯感觉很亮远光也很好，进车库立刻就亮，灵敏度很好，可能家里其他车子没那么灵，感觉灯很不错。开起来一切都很好，没有过故障，不完善的地方也慢慢在ota变好，希望一切都越来越好。,2023-12-19,深圳
隔壁小Zzz,这个价位大品牌、浩瀚出品～双电机3.7秒，外观个性，内饰精致，配置拉满，空间够用，除了极氪也就smart3号，但综合还是极氪性价比更高，省几万充充电不香嘛😄/目前开了几百公里，悬挂确实软，但是五座的好像又比四座的要稍微硬点，不知道是不是错觉，但底子摆在这，如果喜欢激烈驾驶的还是建议换套避震吧，不然侧倾吓死你，正常舒适模式安稳点开百公里电耗15度左右，切换运动模式激烈一点20左右，个人感觉电耗还算低的，毕竟接近2吨的车重再加上双电机已经不错了，其他问题暂时还没发现，因为我选的蓝白内饰，所以平时窗户都不敢开，怕外面灰尘进来就乌漆麻黑了，还好新车没啥大的味道，就算暴晒完之后也是能接受的范围内，建议就买点炭包放放，找个干净点的地方晒一下基本就没味了。目前用下来没有发现什么问题，车机这块确实相比新势力差距明显，有一些功能还没有开通，用语音识别也只能识别一些基础的功能，还有开机速度也比较慢，希望极氪赶紧OTA解决，总得来说这款车优缺点明显，就看你更侧重哪方面了，但话说回来整车质感不管开起来还是静态绝对杠杠滴，是一部好车！,2023-08-24,常州
dragonflyer007,"【购车经历】
6月试驾了特斯拉y、小鹏G6、极氪X、蔚来ES6、宝马3之类的一系列车型之后，还是对极氪X这辆车念念不忘，于是就它了。
买这车，主要是我目前就我一个人开，而且基本都是市区通勤，而且公司楼下就有特斯拉和第三方的充电桩，所以主要看电车了。试驾了极氪X、特斯拉Y、小鹏G6，觉得Y有点过于简陋了，就pass了；G6的智能辅助、自动泊车确实牛掰，但是车身太宽，试驾的时候3次差点剐蹭上了（新手司机车感差），然后就选极氪X了。于是6.18下定，8.1到店。

【驾驶感受】
刚提车就出去开了200公里，整体驾驶偏舒适，加速秒杀路边油车，AR-HUD、防碰撞提醒、主动避险、360等智能辅助对新手还是挺有用的；方向盘转向有小幅度虚位，刹车点头，走环线修修补补的不平路时上下颠簸幅度明显。我朋友开宝马，试我的小车说刹车不线性，有点晕，但是对我花里胡哨的功能留下了羡慕嫉妒恨的高度兴趣。

【最满意】
1，开起来舒服，冰箱沙发大平板。
2，可玩性强，外观个性，内饰漂亮，跟朋友秀一秀零重力座椅、滑动屏幕、移动中岛、后排座座椅套翻折，还有躺在购物车纠结要不要买的冰箱。
3，味道散得贼快，跑2天就没有什么味道了，然后就剩下淡淡的香薰味了，点个赞。

【最不满意】
1，雷达白天很清晰，晚上挺模糊，没有激光雷达还是差点意思
2，刹车就点头，搞多了前排还好，后排容易晕。",2023-08-13,长沙
通勤小电车,"外观好，动力足，配置高，续航够用，尺寸还不大。这样的纯电小车充分体现了极氪的造车实力。

缺点就是悬挂偏软，不适合激烈驾驶，开快了后座容易晕车。 

其他软件小问题等OTA吧，不影响整体体验

更新续航：
现在夏天，温度30-36。日常跟着车流上下班，每天偶尔几次急加速超车，能耗基本显示在14-15，续航里程大概400km。每天通勤30km，正常开可以两周充一次电。 
高速跑120，极限续航也就300km。

更新缺点：
一次室外暴晒，车内温度接近50℃，空调开起来5分钟内基本没效果，还特别耗电…可能是空调高温下制冷工况恶化，这点不如燃油车。

目前车机主要bug：
1, HUD AR 功能经常自动关闭，需要手动开启。
2, 车机重启后，屏幕黑白主题不能自动切换，需要手动触发一次。
3, 360偶尔卡死在之前的画面。",2023-06-29,深圳
Limaimai,座椅偏硬，驾驶比较轻盈舒适，车机系统有待提升，经常无缘无故跟我对话，最不满意就是系统，不推荐去亦庄买车，更喜欢王府井店，如果我再次选择一定去王府井店购买，店里店员一问三不知，只有店长能解答我的问题。我是女生驾驶，能增加手机遥控停车入位就好了，有的地方真是车能进去，人下不来。第一次开电车还是有续航焦虑的，有点后悔没有买001，当时咨询了店里，城市代步哪个更适合，给我的答案是x，当然不差钱的前提下问的，所以听了店里建议，不如多花点钱买个大点电池的车，这个车从北京通州梨园开到天津滨海新区，往返是够呛的，途中如果不充电我怀疑很难跑回来，充电100条件下到滨海还剩53，点对点，不能去其他景点的情况。所以，必须要充电才行。手机充电贼慢，必须插线！,2023-10-29,北京
