字段1_文本,字段2,时间,字段3,时间1
单纯糯米Dw,smart精灵1 2023款 pro版本 6月份订的车，7月份就提车了，现在产能上来了提成速度真的比刚出来那会快多了。下面总结一下这车的优缺点吧。 优点： 1.颜值是真的高，这个价位买一辆带奔驰标的精品小车还是很香的。双拼色的外观女生更是看了无法抵挡啊。PS：车内氛围灯在晚上很有感觉哦，车内营造的高级感氛围还是很棒的。 2.配置还蛮丰富的，在车内等人啥的可以在车里看个电影什么的，也不会觉得无聊。开高速用过自适应的巡航还蛮方便的，很省力。尾门是电动的，用起来很方便。倒车是360°全景的，对于新手来说很有用，没有盲区了，倒车更有信心。 3.比起小鹏、极氪这些，我觉得smart这个品牌更有格调，各有个性，再加上奔驰有加持，设计和品控都是在线的。 不足： 1.蓝牙钥匙经常链接问题，有几次都打不开车门，只好上楼拿钥匙才开车门，所以现在钥匙都随身带. 2.花钱解锁的一些配置、功能实在不能接受，有点坑。 3.避震有点硬，喜欢开运动车型的小伙伴可能会喜欢。 4.百公里电耗大概在17个左右，和官方标得有点差距。大概续航在300km左右，作为代步车的话够用了，用车成本很低。但是开长途就有点焦虑了。,2023-10-23,,
大表妹说车,"随着国内汽车市场的竞争越来越激烈，豪华品牌也相继在布局20万以下的入门级车型，Smart作为奔驰汽车旗下的品牌，smart精灵#1的指导价区间为17.90-27.90万，定位是纯电动小型SUV，零百加速的成绩为6.7秒。今天我们来看到的是smart精灵#1 2023款 Pro，指导价为17.90万，看看这款车在各方面有哪些亮点。

【外观设计方面】
前脸采用了贯穿式的LED灯带，灯光打开后呈现出的是“X”型的视觉体验，前大灯组配备自适应远近光，前包围下方保留了大尺寸的进气格栅设计，车头整体看上去圆润饱满。
侧面采用圆润的造型，门把手采用的是隐藏式门把手的设计，配备了尺寸为235/50 R18的轮胎，裙边与顶盖的设计上下呼应，提升了整体的运动感，侧面窗边底部的镀铬装饰条延伸到车尾。尾部造型简洁，尾灯组采用了与前大灯组相呼应的贯穿式设计，灵动的后包围设计让这款车看上去更显年轻化。

【内饰设计方面】
这款车的内饰采用了科技感的设计风格，出风口采用的是横向的模块化造型，配备9.2英寸的液晶仪表和12.8英寸的中控屏，内饰采用了大面积的镀铬装饰提升质感。

【驾乘空间方面】
这款车的车身尺寸为4270x1822x1636mm，虽然是一款小型SUV，但轴距却达到了2750mm，内部驾乘空间是完全够用的，1.75米的体验者坐进后排，在确保前排驾驶位空间的情况下，后排的腿部前方仍有两拳的剩余空间，能带来相对舒适的驾乘体验。后排座椅支持按比例放倒，全平放倒后可以得到一个相对宽敞的拓展空间。

【动力续航方面】
这款车采用的是后置后驱的驱动方式，配备了功率为200kW的电动机，电动机总马力272Ps，电动机总扭矩为343N·m，官方百公里加速时间为6.7秒，从客观的角度来看，这样的动力水平在同级、同价位车型的对比中处于中等偏上的水平。
这款车配备了容量为49kWh的磷酸铁锂电池，电池组提供的是8年或15万公里的质保，续航里程为400km，充电时间为：快充0.5小时、慢充5.5小时，对于周末外出中短途的郊游来说也不用担心充电问题。

【配置方面】
首先看到的是安全配置，这款车配备了车道偏离预警、前方碰撞预警、主动刹车，提升了行车过程中应对危险情况的安全系数，并配备了车道居中保持、车道保持辅助系统。
在智能与辅助配置方面，这款车配备了1个毫米波雷达、8个超声波雷达、5个车外摄像头，全速自适应巡航和360°全景影像的实用性是比较高的。还配备了骁龙8155的车载智能芯片，支持车联网、Wi-Fi热点、连续性语音识别、语音分区域唤醒识别功能，支持手机App远程控制。

【总结】
smart精灵#1作为一款纯电动小型SUV，小巧的车身尺寸的优势在城市穿梭是比较有优势的，同时也让停车入位变得更简单，400km的续航里程对于城市出行而言是足够的，并且在智能与安全配置方面的表现也是不错的，如果购车预算在20万以内的话，不妨看看这款车。对于smart精灵#1，你们有什么看法呢？",2023-04-02,,
睿智拐了又拐,"2024款 Premium版

当初上市是真的火爆，订车都要半年以后才能等到车。今年家里的孩子要上学了，也正好要买辆代步车给老婆，来接送小孩、上各种补习班用。又去问了问，现在只要一个月左右就能提车了，于是也没考虑太多就下订了。6月订的车，7月初就提了，果然快。

小车颜值没得说，有点萌萌的感觉。考虑到老婆经常开还要接送小孩子，所以驾驶安全配置更全的pulse心动版，并线辅助、疲劳驾驶提示、感应后备箱、抬头显示等配置都是对女司机很友好的配置，还是蛮值得的。

先说不足：
1.无框车门帅是帅，但是上了高速风噪很明显，要把音响开大压住才行，不然有点吵。
2.奔驰的标不够显眼，如果能放在明显的位置，或者在大点就好了，毕竟买这个车也有一部分原因是冲着奔驰标去的，哈哈哈。
3.安全座椅的卡扣藏的太深了，装起来很费劲。
4.66度电池太小了，如果有80度或者100度的电池可以选就更好了。

再说优点：
1.颜值高、够个性，几乎看到的人都说好看。
2.好开，动力很顺畅，操控很好。避震也不错，不是硬梆梆的，属于软硬适中水平。
3.不要看车不大，但是里面的空间真心蛮大的，适合三口之家，后备箱放倒之后更能装。
4.用车是真的省，这几个月都是夏天，充满大概可以跑个420左右，还算不错。跟油车一比是真的省钱，平均下来一个月充电费用在100-200元左右。现在基本近郊的自驾都是开它了，真的省钱。

大致就是这些啦，想买精品小电车的话，这个车是目前唯一的选择了",2023-10-14,,
偷红苕,我是6月6日晚8点57分的订单，原定是重庆第一批9月23日提车车主。但是种种原因26日提到了smart！目前行驶了快接近2个月，行驶了2100多公里。可以稍作谈谈用车感受，以及各项smart配套！ 外观内饰:首先外观方面，见仁见智，不论你说的再怎么天花乱坠，每个人的定义都不一样，你喜欢他就是最好的。声明一下，我是男士，对这个圆润的外观也是无抵抗力的。内饰方面:我选择的白色内饰，忘了颜色叫什么名字，相对于其他深色的，白色比较耐脏，因为我另一辆黑色内饰的仪表台我经常要打理掉落上面的衣服纤维，白色不容易显现，而且白金搭配很有质感。 动力电耗:动力272P的马力，3百多的扭矩加上电机瞬时输出，体感应该不到官方宣称的6.7，有的路况下我觉得6秒内都有，超车游刃有余，动力储备不像特斯拉或者小鹏之类的纯电车，急加速是那种瞬间给你动力拉满然后再踩速度也就最快了。smart精灵的动力调教属于你踩3分之二就已经很快，但是你再踩他还有还能输出，动力输出不会很突兀，最快跑过160但是脚步电门回传给我的就是，我再踩他还能给你提速。电耗城市市区通勤动能回收强（可以省去很多踩刹车的机会，啰嗦几句:就算强动能回收，也不会一下就给你拖拽感，松店电门后会有个逐渐变强的过程，一切都很友好）一般我都在11.2-13.5之间，可能不同车友的脚法不一样，比我更低的都有。高速动能回收弱，电耗在15.6-18.8之间。续航城市内一周一次充电完全没问题，跑高速续航400也是杠杠的。 充电:目前从购车到现在一直是家充桩充电，一周一次，每次20-95设置的是。晚上回家充上，早上拔枪充满，没有过里程焦虑。高速快充桩20-95，充电55分钟，国网功率可以保持在110-135W。目前提车到现在充电电费话花费157元，很省很省，什么空调自由，无限流量车里等人看视频听歌耍B站什么的都是自由。 舒适性:座椅前后排都挺舒适的，空间也很不错4米2的车这个空间，你还要什么自行车。唯独后备箱稍稍有些局促。不过我代步使用，偶尔一两个人乘坐空间几乎不担心。音响也是很不错，前提是你开通QQ音乐会员后，无损音效，加几十种音效调节，总有一款适合你，真心可以。 说了这么多优点，他肯定也是优缺点的: 1.车机目前bug很多，语音助手老是改了名字下次上次就又得重新录入。 2.主驾座椅记忆也是，保存后偶尔上次后又得重新调节。 3.车机重提车到现在都偶发性的语音提示:车辆轮胎异常（实际轮胎无任何问题） 4.手机端APP蓝牙用车一次没用成功过（华为mate40PRO手机），另外APP需要优化很卡进去后。 5.原车行车记录仪操作繁琐，而且最主要的是车机不能播放行车记录仪视频和照片，那你车机里给个相册干嘛？难道需要我插个U盘放照片用？而且原车记录仪画质待优化，夜间没下雨压根看不清同向车道前车车牌。 6.蓝牙充电桩APP从安装好到现在一次没连接上过，APP的设计也有问题。 总之，车无完车，优缺点都有，总体是瑕不掩瑜，目前已经有一些车友接到车机升级推送，优化了缺点里的问题。我也就坐等推送，尽快优化！,2022-11-19,重庆,
小龘916,"【最满意】整体的设计，奔驰还是奔驰，外观内饰的设计还是在线，各种灯的安排非常靠谱，晚上一点亮，你就是街上最亮的仔/女。Brabus版本的加速非常给力，双电机很靠谱，吉利的浩瀚平台还是牛逼的。

【最不满意】软件的标定就是吉利永远的“痛”，8155已经是目前车机芯片的天花板了吧？（别杠，8295基本还没上车）结果还是有点卡卡的，车机的功能布局比较混乱，经常丢配置文件，一会这个开关就不知道为啥给关掉了。加速踏板的CRBS（动能回收）的标定突兀，每次松加速的时候都会拖拽一下，知道的是软件标定不行，不知道的还以为照顾油车用户刻意做个“换挡顿挫”咧。

【购车经历】就是买给家里人的买菜车，偶尔自己3.9S飚一下，置换掉了18年最后一代的老Q5（费油、空间小），老实说老Q5的机械素质真是没话说，不过还好自己换的快，不然现在这个大跌之后。。。等了大半年，今年1月底提的车。

【整体感受】
1. 操控：底盘比较韧，德味浓，因为车身小，侧倾基本不明显，但是来回变相还是感觉支撑不是很到位，日常开没毛病，会感觉比较整，但是跑弯差点意思；转向比较准，但是不是很精，也可以理解为不“贼”，手感相对于女生开偏重，建议放在轻柔档；刹车标定不舒服，前段软、后段突兀，总有种刹不住但是硬踩又点头的感觉，难受；加速标定更不舒服，因为动能回收最小也只能放在“低”，所以加速踏板要踩不踩的时候动能回收会很突兀的拖拽一下，不管动能回收在哪个档位都有这个感觉，特别影响加速体感，有一种“油车换挡”的感觉，完全没有一台电动车的顺滑感。不过有一说一，巴博斯模式是真的暴力。

2. 乘坐：座椅不算很硬，相比纯粹性能车好多了，但是也不是特别家用的那种，肩膀支撑不好（座椅形状就空了一截），坐垫短，半截腿都在外面。巴博斯居然没有通风，据说是用了翻毛材质的原因，我觉得都是借口。

3. 舒适配置：大屏配8155，按理说应该很不错，但是软件就是吉利的最大问题，居然还是有点卡卡的。功能点的布局也有点混乱，让人用着不知所措，除了界面比较卡哇伊（讨好女生）以外。Beats的音响不功不过，好好调一下基本能达到哈曼卡顿的效果吧，不过腾讯爱趣听这个垃圾软件极大的拖了后腿，还不如直接放QQ音乐这些app。氛围灯好评，为数不多的奔驰感的配置，颜色很丰富，亮度不错。NVH一般，也就比特斯拉Modle3好点。材质全是硬塑料！各种硬！除了好看，手感真的很差！Hud亮度颜色都不错，就是显示内容太少了，还是托吉利软件团队拉胯的“福”。

4. 能耗：双电机导致能耗不咋地，市区最低也就去到15，一般在16-17（广州20度左右，已经是电动车天堂般的天气了），正常在20%-95%左右的电量部分，续航350左右，估计跑高速撑死300。原装充电桩很漂亮，挚达代工，大品牌，如果不是缺那1000块咸鱼钱，建议还是自己用。

5.智能化：基本的L2的车道保持、跟车、手动变道都是可以实现的，就是手动变道标定的范围比较严格，要本车道和准备变的道都要很少车才行，稍微有点车多就完犊子了，其他的啥NGP之类的一概欠奉。不过买巴博斯的，大多数还是自己“飙车”吧？

总结：正常买个心动版是比较靠谱的，落地23，城市里小女孩带个步不错的。买巴博斯的就是真情怀，冲着3.9S去的，但是这个车除了傻快，操控比较一般，如果要真好好开，刹车、悬挂必要改。",,,2023-03-14
聪慧熊猫UTH,一眼就被 smart 一号的外观吸引了，从十月选车到最后订车，还是觉得 smart 最耐看。相同价位的车看了一圈，还是大聪明最好看，选了赛博银，低调、耐看、还耐脏！迎宾灯也很高级，回头率很高！目前开了一周，eco模式能量回收最低开起来和油车感受一样。 车机除了反应有点慢，现有的功能已经足够用了。音乐可以用 qq 也可以连手机蓝牙，等人休息的时候可以看爱奇艺和 b 站。高德地图希望能更新红绿灯倒计时功能。 【驾驶感受】 起步加速很快，比油车开起来更带劲。刹车够灵敏，弯道方向盘打弯灵活，尝试了一次跑高速除了胎噪有点高，其他什么都好。辅助驾驶很省心，设定的一百，它就能一直保持在一百，前车如果有并线，刹车反应也很快！ 【空间表现】 空间足够用，扶手箱深度可以，放了好多小零食在里面。后排乘坐也不会觉得拥挤，后备箱完全可以放下两个大尺寸行李箱。特别喜欢氛围灯的设计，尤其晚上很好看。抬头显好用，选择的雪地模式，橙色的更明显！目前最长的行程开了一个半小时，座椅舒适度适中。 【续航】 上下班代步用，往返二十公里，差不多一周一充，冬天开空调可能耗电会快，充电选得慢充，基本七八个小时充到百分之九十。 【购车经历】 年底优惠活动比较多，提车之后参加打卡活动还可以有积分换东西。,2023-12-26,北京,
汽车Z博士,"外观设计

首先从外观上来看，设计了个性的外观，前脸采用了贯穿式的线条，底部还采用了黑色的包围，前脸设计得十分有辨识度。侧面来看，设计了悬浮式的车顶设计，底部还设计了黑色的包围，汽车的长宽高分别为4270x1822x1636mm，轴距为2750mm。尾部方面，设计了贯穿式的尾灯，拉宽了尾部的视觉宽度，底部还设计了黑色的包围，尾部十分有辨识度。

内饰风格

车内设计了贯穿式的线条，拉宽了内饰的视觉宽度，还增加了银色的镀铬，车内显得非常地精致，搭载9.2英寸的全液晶仪表盘、12.8英寸的中控屏等。

车型配置

smart精灵#1 2023款 Pro，配备车道偏离预警、前方碰撞预警、主动刹车、胎压监测系统、前驻车雷达、后驻车雷达、倒车影像、360°全景影像、定速巡航、全速自适应巡航、上坡辅助、5个车外摄像头、8个超声波雷达、1个毫米波雷达等。

动力扭矩

smart精灵#1 2023款 Pro，搭载永磁同步电机，电动机总功率200kW，电动机总扭矩343N·m，匹配电动车单速变速箱。搭载磷酸铁锂电池，纯电续航为400km。

试驾体验在试驾这款车的时候，动力表现还是不错的，起步的时候也比较安静，深踩加速踏板，还会有推背的感觉，动力驱动上比较激进。前悬架为麦弗逊式独立悬挂，后悬架为多连杆式独立悬挂。",,,2023-04-08
ENZO碎钞机,"【最满意】
Smart和Mini是很多都市男女的执念，但花十多万买一台钥匙扣一样的小车，又实在是无法说服自己。新精灵1号，显然给了他们一个入手的理由。
颜值这一块其实还是很有味道的，很多人说它没以前有灵气了，其实根本原因在于尺寸上来了。从两座小车变成五座SUV，这也是在所难免的。

【最不满意】
这车的缺点不算多，我个人感觉较为严重的问题是后备箱空间很局促。另外价格再压下来一点就好了。",,,2023-03-23
驾仕派,【销售情况】smart精灵#1这款车，之前我们已经跟踪过它的销量了，这次再次提到它，是因为经过1、2月的整体市场低迷期之后，这款车在3月份又实现新的突破，上险量达到5823辆，而此前表现最好的是去年12月，售出4615辆。实际上，smart精灵#1这款车的订单依然存在明显的滞后，吉利的浩瀚架构现在出现了极氪001、009和已经上市的极氪X，精灵#1的需求到低有多高，我们依然没有一个准确的概念。如今3月份上险量接近6千辆，这已经是合资传统势力中表现最好的纯电车型，并真正达成了“热销”的标准。接下来值得关注的，是丰田借助比亚迪核心技术的bZ3，如果它也能实现突破，那么外国品牌同中国车企深入合作开发新能源车，可能很快就会变成一个普遍现象。,2023-05-01,,
vvhhvbb,外观：最开始是被概念车吸引了，实车出来后和概念车整体还是比较还原的，主要是少了对开车们！前脸下方多了两个到导流槽（没办法，为了风阻的妥协），第一眼觉得我没那么好看了，但是多看看还是挺满意的，属于耐看型。 内饰：内饰呢还是比较满意的，毕竟奔驰设计，很抓小女孩心，氛围灯、beats音响都不错，配合起来晚上效果很好。缺点就是白内饰的中控台有反光的问题，的确反光比较明显，特别是拍照更清楚。但是司机用车中，专注前方路面后，反光并不会司机驾驶行车，主要影响的还是副驾驶观感，官方也出了垫子防止反光，虽然很小，但是为了副驾的安全（安全气囊）也将就用吧，算是一种妥协。 空间：空间是真不错哈，小车车空间完全够用，代价就是后备箱比较小，紧急时刻可以放倒后排座椅增加后备箱容积。 续航：我们用车在成都，不会很低的气温，平时上下班通勤，一般用到20%朵的电量就充电了，上班来回40km，充一次充到90%，跑个一周7天没问题40*7=280km，续航达成率在71%左右，属于一个正常水平吧。,2023-03-08,成都,
