字段1_文本,字段2,时间,字段3
风中塑料袋子,"1、空间...不得不说..是真的够用..对比MPV虽说第三排稍微有点紧凑..不过坐孩子妥妥的够了相比于其他城市SUV第二排真的是大了很多..宽了很多.…买七座不就是为了能一家老小一起出行..而正常通勤也少了MPV那种5100cm以上驾驶的焦虑感...毕竟也得考虑女主人的驾驶感受...对吧...
2、外观...买之前觉得还可以...现在感觉越看越好看...龙鳞翼大进气格栅独特大灯造型...霸气外露...
两侧和后背线条硬朗...大气不奢华...镀铬亮条多方面搭配渗透各棱角...闪亮有内涵...
3、续航...有一说一...虽然关标1200+肯定是达不到的...差多少对我来说现在已经不重要了...毕竟买这个车不光是为了续航对吧..再说了..哪家的电瓶零度以下不打折扣？...但随着陕西这边天气越来越好我感觉对我来总体是省的..正常通勤纯电4天充一次...工信部的110km续航还是很准的..高速就直接保电吧..很不错..不会的去看看我上一篇的详细分享...总的来说对于ES9的续航仁者见仁...智者见智..作为我来说总体还是满意的吧...
4、服务...我从选车到订车到接车到现在APP的专属客服一路走来...我感觉是传祺人很用心..购车的时候不管有什么问题积极处理...购车之后申请补贴等一系列政策享受没有说你付车款后的爱答不理...优惠的现金能及时沟通进展情况积极对付..APP的专属客服不管是人工还是AI无论何时提出问题都能第一时间回答或者查询相关问题...这样的客服相比于我2006年的29万蓝鸟客服..以及2014年的34万途观强多了...

最后...希望传祺更加努力...越做越好...",2024-03-11,渭南
A鸭梨山大324,2015年购入人生中第一台车，广汽传祺gs4，9年时间gs4一直陪伴，从未有过丢在路上的情况。对于传祺车辆的质量及品牌的喜爱，再考虑换车时仍是第一品牌的选择，当考虑更换车辆时直接选传祺品牌，也感谢小4的9年相伴。从决定换车到提车一月时间，虽然说es9是新车上市，没有口碑可以借鉴，但是对于传祺老用户对于传祺的品质还是不担心，也恰好品牌有置换活动，1月7号下定，1月18提车，从试驾到提车，不得不说，广汽传祺东莞煌健新能源店销售的服务非常值得点赞，记得试驾时因为工作原因，没有时间到店，销售直接把车开到家门口进行试驾，好的产品+好的服务，让人对于品牌的认可更加加分。过年期间，来回3000+公里，es9油耗也是非常满意，也有车友提车高速时方向盘有抖动现象，本人实测是没有发现过。说说车辆的空间，春节回家真的是非常满意，第三排放到，简直就是一台皮卡，大包小包的行李全部可以塞下。春节期间，七座也得到充分利用，家人都说，第三排坐人一点不拥挤，让家人有一个舒适的环境不就是我们的幸福感吗，es9满足了这点，非常棒👍🏻。还没体验过外放电功能，待后续春游时再进行分享！,2024-03-09,东莞
王浩浩郡,"1.购买这款车主要是外观霸气，漂亮，空间也是非常大，驾驶舒适度也非常好，购买7座版本主要是过年过节的方便拉人，所以就选择了这款车，坐满人是一点都不会觉得拥挤!




2.动力方面呢也很充足，2.0T巨浪发动机加上DHT的变速箱随叫随到，它有几总模式可选，节能，舒适，运动，日常驾驶感觉舒适就足够用

3.看网上说的车机卡的问题我现在还没遇到过，就是车机软件较少用起来像是老年机，现在已经5000公里有多了刚做完首保之后1万公里做一次保养就可以



4.油耗方面，可能因为它是混动车型吧，我高速跑下来7个油左右，这么大的车感觉还可以了，跑市区基本都是纯电，纯电基本满足日常短距离出行，如果经常跑市区的建议入手这款车还是很不错的


【购车经历】
看过很多车型也对比了很多，主要是这款外观设计的很棒，其他车型没有ES9看着大气，所以就选择了es9
最不满意的就是这车具备了放电功能，居然不配送放电插排这个是非常令人疑惑的


【驾驶感受】
这车开起来完全没有问题动力随用随到，运动模式下推背感十足开起来没得话说，很稳，长途坐车也不累!",2024-03-14,临沂
儒雅晚风ctp,"1.车子总的来说外观大气，漂亮，空间也是非常大，对比比亚迪唐的空间来说就大很多了，舒适度也非常ok！
我们家平常过节人比较多，所以就选择了这款车，坐满人是一点都不会觉得拥挤！
2.动力方面呢也很充足，2.0T巨浪发动机加上DHT的变速箱随叫随到，当然，它有几总模式可选，节能，舒适，运动，我自己习惯用舒适模式，看个人喜好。
3.看网上说的车机卡的问题我现在还没遇到过，用起来还算比较流畅，现在已经5000公里有多了。
4.油耗也不高，可能因为它是混动车型吧，我高速跑下来6个油左右，市区的话我都是充电用，都不用加油，如果经常跑市区的车友们，建议入手这款车，各方面都能满足你的需求！
【提车价格】
当时在店里面谈的价格是24.98没少，保险6k，等下来差不多在26个

【购车经历】
看过很多七坐车型也对比了很多，比如比亚迪唐，蓝山，奇瑞等！唐的最后一排座位太挤了不堪入目就没选择它，当我进传祺店看到E8的时候是准备买E8的，后面又到另一家店看，同时看E8和 Es9的时候又感觉e8没有es9看着大气，所以就选择了es9，在国货里面传祺算是良心企业了！
【最不满意】
最不满意的就是送的车机流量太少了不够用，还有这个倒车影像的像素能不能提高点，看着挺模糊的
【驾驶感受】
开起来没得话说，很稳，长途坐车也不累！",2024-03-10,广州
小小闲暇,"这车就一个字大 ，空间舒服，省钱，上下班纯电家充一公里0.06分，跑长途也是很省油，百公里6-7升之间吧@
【购车经历】
我也是对比过蓝山的，比亚迪唐，因为单位里这两辆车都有同事买的，我也看过了感觉差点意思，我追求性价比，es9最佳 蓝山6座25个以上，比亚迪唐 空间没es9大，国产车在我认为20个左右买全尺寸suv最佳的价位，我也是考虑过车子更新换代太快，买太贵意义不大，反正都是国产，都是国企。懂的都懂！
【驾驶感受】
es9开起来很爽，我单位开车10多年了所以试驾下就订了，比汉兰达好开。体验感不错，坐后排没有啥晕眩感，这个很好。

【动力表现】
动力2.0T还搭配个25.6度电池，爽的一批。
【续航】
这个续航感觉虚标，没有150公里油表显示110公里，只能市区上下班够用，我一般一周一充，便宜哈哈，用电就是爽，周末就想着去哪里玩。目前开了2500公里了才用了400块钱的油。说到底还是电车爽！
【空间表现】
不错的，这个只有去试驾体验了才能感受到，说的话我只能讲，这个价位车配这个空间，满意
【亮点配置】
我就说说我的感受吧，从买来开到现在，我买的是标配，不喜欢天窗，而且价格也便宜，算上置换补贴等于21万，保险加上去刚刚好21.5就可以搞定了。还有很多人说这个车的车机烂，其实我觉得还好，汽车太复杂麻烦后期就越多，简单点，耐开就行。总结下我非常喜欢这个的一点是，上班纯电，长途用油，稳稳当当。而且重点是2.0T发动机！7座车！够了！值了！",2024-03-13,厦门
聪明的菠萝OAz,总的来说还算满意，我主要看好这车的空间大，就算人员不满载的时候二排三排可以变大床，这个出去玩真的特别方便，就是二排三排不平，需要用垫子铺平，动力也能将就，这车本身也没主打性能，续航喜忧参半，山东地区冬天不开空调满电续航在70km左右，春季不开空调满电续航在100左右，夏天还没来，不知道制冷电耗怎么样，馈电油耗和正常2.0t的燃油车差不多，高速六七个，城市八九个，辅助驾驶和导航挺落后的，和现在的新能源普遍不在一个档次，车内的皮革味提车三个月了暴晒后还是很大，我买这车主要是在保证空间大的前提下，是插电混然后尽可能便宜，预算摆在这，没得挑没得选，哪怕放到现在让我选，我还是会选es9，补充一点，外放电好用，快充功率有点慢,2024-03-08,东营
儒雅清风hoS,"之前开着一辆瑞风s3开了好几年了，因为空间小，前两年就考虑换车，偶然一次看到了gs8,他那方正的造型，龙鳞翼的中网，征服之眼的大灯，还有车内的空间，都深深地吸引了我，因为当时条件不允许就暂时的放下了，以后也看了其他品牌的车，一直都没有考虑好，直到es9的出现直接下定了决心。 车子已经开了一段时间了首保也做了一直开着质感挺不错的，我就分享下缺点吧，1：油表续航里程永远都是未知数，加满油显示800公里，开个100公里续航可能就变成600多了，我上次加了200块的油，市区加国道一共跑了300公里，买车宣传的满油满电1200公里我感觉也就是700左右，油耗可以接受，就是续航里程有水分。 2：大灯的亮度太低了把gs8上标配的矩阵大灯都减配了，雾灯也没有了，晚上开近光对面来车根本都看不到路，尤其是刚发布的贺岁版把减配的大灯也给装上了，雾灯也有了。 3：亏电发动机噪音大，尤其是电切换油的时候，动静大很多，之前还遇到过电切换油时发动机抖动特别厉害跟纯油车缺缸一样，同时还伴随当当的异响 4:天冷开暖风，热的慢，电池续航要缩水一半，现在天暖和了续航还可以， 5：20多万的车开车门的迎宾灯都没有，新出的贺岁版比原来高配贵了1万块钱征服之眼的大灯有了，雾灯有了，迎宾光毯有了，轮穀样式改了，蓝牙钥匙有了，舒适头枕有了，差了一万块，配置多了好多，我想问问加钱能给升级不，",2024-03-13,邯郸
喜提ES9,12年开车到现在，汉兰达开了10年了，不得不说车子还可以，就是小毛病太多了，而且只适合公用车，家用有点耗油了，所以现在准备换车，对比过很多车型，也看了很多车型，蓝山，理想，领克，比亚迪，传祺，每款车都各有各的优点跟缺点，我用车场景主要还在市区，平时也跑高速，过年回家几千公里，所以对插混非常中意，而且亏电油耗不能太高，车子我喜欢方方正正的，突出一个字，大。这些车都看了一遍后，最终选择了传祺ES9，因为本来就看中GS8，但是这个三电机，比大8更具优势。 当时跟老婆一起过来看车，就喜欢龙鳞翼版本，就下定龙鳞翼MAX版本，黑外棕内，裸车24.98，加上保险5000，上牌600，一共255400，手上有点闲钱，就直接全款拿下了。 10月5日下的预售单，到10月29日下的大订，11月1日，车子到店，2号去验车，3号提车，整整等了30天，我的爱车终于拿到手了。 续航情况：现在已经跑了600多公里了，整体来说感觉不错，地盘调教的非常好，目前只是在市区行驶，官方称143公里，我感觉随便可以跑到，因为要保底3个电，所以我最长一次，97个电跑了145公里，平时上下班够我用一星期，这点非常满意。 车机功能：车机系统我感觉还是够用，有些朋友车主说，车机太单调了，功能不够，我觉得这要看个人，因为我主要用于导航，听歌这块，其他的我感觉无所谓(我这人比较佛系)，该有的正常功能就足够了，而且车机非常流畅，语音控制也是反应很快，随叫随到。 乘储空间：储存空间还是挺大的，像车门，中控，后尾箱的空间都挺满意。过年回家当成大五座用，后面的空间都可以搬家了。而且三排空间也不错，我身高173，体重180，坐进去还勉勉强强，不过一般坐在三排的都是小体重的，不能说多舒服，但是能够临时使用的。 新车舒适性：刚提车那天，车上还是有点异味，不过这个正常，因为毕竟是新车，贴了个车衣，然后消毒，现在车子里面一点异味都没有了，隔音效果也不错，开汉兰达这么久，隔音效果真差，猛的一开这车，还有点不适应，关上玻璃窗，感觉太静了。 智能辅助：这几天用集成，全适应都试了下，进去退出很方便，方向盘有调车速的，加速也挺稳，跟车距离也可以调，识别不了红绿灯，但是跟车不错，前车走，跟着走，前车停，跟着停。左边有车过，方向会向右边靠点，右边有车过，会向左边靠点，不说多智能，对我来说也是够用了，我的感觉是方向盘在自己手上比较放心。 驾驶感受：电车跟油车的差别就提现在这里了，电车起步非常的平稳，而且速度非常快，还没注意，就80迈了差点就超速，而且刹车也非常平顺，家里人都说买这车真的值了。 下面说一些缺点，我感觉这车唯一的缺点就是，太大了，我自己开刚好，很喜欢，我老婆一开，就说这么大个车，怎么开啊??,2024-03-08,南宁
服雾于人民,提车到现在过了3个多月，总里程数才4千多，天气冷外出游玩的机会少，平常就是上下班开开，也跑高速回老家了两次。这个3个多月里面城市道路、郊区道路、高速公路、积雪道路都跑过，车辆的性能、空间使用、能量模式也算是有了比较细致的了解。 【最不满意】 要吐槽的地方就是车机上的高德版本落后、不智能、不更新，熟悉的路程不用导航，不熟悉的路程不敢用车机导航，解决的办法是用改手机导航，浪费了抬显和大屏！其他车机软件少，但也够用，花里胡哨的反而不喜欢，语音控制也还不错，响应及时，平常用的最多的就是听音乐、听广播。另外传祺厂家，你软件升级都没升过才几个月又出个贺岁版，让我们前面买车的人怎么想？ 【驾驶感受】 驾驶起来非常轻松，没有大车的感觉，有360全景影像、前后雷达的辅助，停车非常轻松。日常行驶就是电车的感觉，急加速超车的时候发动机也会启动提供动力，超车的信心非常足，百公里加速应该不低于宣传的8秒多。车内的空间宽敞，自己驾驶也好，家人乘坐也好都是非常满意，二排坐垫长度足够，大腿后部也完全支撑住，靠背调节角度很多，调至最大角度后跟乘坐轿车差不多。整车的前后排储物空间很多，水杯、纸巾、抹布，另外车门内侧拉手旁边的凹槽深度、宽度非常好用，门板上的储物空间放保温杯也很合适。三排座椅在二排往前调节一点后自己乘坐是可以接受，乘坐因个人身高不一样，所以不多说，自己去试坐感受。七座状态下就小多了，这是没办法的事。 平常工作通勤每天上下班加起来约38公里，天气冷的时候电耗确实大一些，但是还有油啊，不一定非要用电跑吧。气温低的时候不想频繁充电可以设置强制保电，也可以设置智能保电，强制保电模式下设置保多少电量数值就保多少电量，发动机会频繁工作。智能保电模式下在城市里跑掉电速度慢些，发动机启动频率会降低，可能理解为大号的GS8双擎版。跑高速的时候要看目的地充电方便否，也要看目的地有没有放电需求，我在元旦第一次跑高速用的强制保电模式，去程140公里，返程用智能保电，到家再充电，春节期间第二次跑高速，同样的路线距离，去程用智能保电，返程用智电混动，2次小长途保电模式下都是设置的80%，所以用电设置没有绝对的数值，根据自己的行程来就可以，路上超车提速轻松、稳当，安全超车后就没必要再刷数据了。 至于这3个多月4000多公里的电耗、油耗，跟个人开车脚法、开车的心情以及气温有很大关系，充电方便的情况下几乎用不到油，我想刷低电耗可以温柔的驾驶，跟普通油车差不多但要强些，怎么说呢，起步的时候可以稍快点，速度起来后可以松一点油门稳住，小计里程电耗也不会升高，我想体验加速的感觉就油门踩重点不要计较电耗，当然这都是在智电混动模式下进行，基本上就是用电，发动机在急加速超车的时候才会启动一会，到水温表一格基本上就停止启动了，现在气温升高了，每天开车相同的路线小计里程电耗也降低了很多，基本上10%的电量可以跑15公里左右，所以表显电量WLTC纯电续航里程110公里完全可以跑到，至于CLTC纯电续航里程143公里在气温合适的情况下也可能很接近了，提车到现在只加了3次油花了800多元，充了150多元的电（包含两次外面快充，私桩家充），我是上班期间可以薅羊毛充电所以电费用的少。 驾驶辅助目前还没怎么用过，短时间启动了一会就退出了，自己都没开过瘾。 总之，ES9的优点喜欢，缺点能接受，哪有那么完美的车，自己满意就行。,2024-03-11,武汉
空白,【最不满意】 车机不智能，最基础的导航红绿灯读秒都没有，carplay和华为的hicar也没有，而且只有三四个应用可装，OTA升级太慢，保养公里数模糊不清，油电续航不能分开计算保养里程，统一一万公里保养一次，但是我们提混动版肯定是正常通勤全用电啊，三千多公里了一箱油还没用完呢就得保养了。希望以后可以升级一下车机系统，把油电里程分开计算。车机连续工作会卡顿的现象处理一下。方向右偏，这个应该是通病，很多车友都遇到这个问题了，还有方向盘抖动，目前也有部分车友出现这种情况，我是首保之后出现的，目前店里还没有给出处理方法，一直在等待。最最最痛心的是我连首保还没做呢，传祺官方用只比MAX版本贵一块钱的价格出了个贺岁版，这几何大灯，迎宾光毯，前雾灯，车内生物监测，疲劳检测，膝部气囊，座椅震动，人脸识别，前排四向头枕调节，后排航空头枕，这让我们盲订MAX的车主深感背刺，痛心疾首，传祺官方惨无人道啊！！！唉，作为第一代GS5的十一年车主，深感无力，只能自我安慰了。 【购车经历】 起初也并没有想着还换传祺的打算，一直想的是要换肯定奔着合资品牌的，但是抵不过一见钟情，这个就很无解了，就像当初买GS5的那样，只因一眼便无法自拔，内心就是非它莫属了，当然外观方面见仁见智罢了。一家人只有我力挺ES9，最后删了途观和唐的销售微信，跟老婆软磨硬泡才最终决定预定这台车。 【提车价格】 2012年提的第一代GS5手动限量版深林绿，跟着我们一家走过了十多年的风雨，始终任劳任怨，没有给我们丢在路上一次，前双叉臂，后五连杆的底盘，放在现在还是很能打的，除了油耗，别的一切都很好，这个是值得推荐的，十多年的车没有出现底盘松散的情况，这点估计可以秒杀大部分同车龄的车了，但是呢，保值率这块也是真的拉，当时上路快十六的车了，七千块被我买了，唉，我的老伙计，终究还是一别了，祝你找个好人家。最终新车就给减了两万的置换补贴，四千五的保险，店里帮着上牌没有收手续费，这点很值得肯定。落地23.5左右，对了预定客户送了一台遥遥领先，店里给送了一个电踏，三次基础保养，没了，结束。 【驾驶感受】 作为老车主来说，这款车没有我的GS5开着舒服，可能是车大的原因，坐起来后排有些晃，但是开着舒服，坐着就有些不太理想了，悬挂很硬，应该是车重的原因吧，悬挂软的话肯定更晃了。 【油耗】 油耗目前我一直充电，算上两箱油差不多三毛左右。这个怎么说呢，要是上下班每天充电的情况下真的很省，馈电油耗大概在8到10和左右，我个人开车喜欢大油门，当初2.0L的GS5在我手里动力也是嗷嗷的，所以这个见仁见智了。 【续航】 续航方面，目前我每天上下班四十五公里，电耗可以做到一比一，这点还挺满意，但是，冬季开暖风我满电一个来回都得启动发动机了，这个冬季续航太差。 【动力表现】 动力那是随叫随到，这个价格的插混应该就传祺是2.0T的了吧，只要你踩，随时有动力。不过我没上过一百六，反正这个速度以下是随叫随到。 【销售态度】 我的销售我要给她一个大大的赞，感谢她忙上忙后的，真心感谢，因为我的旧车在我妈妈名下，需要过一次户才能上我的名字那补贴，这里面前前后后都是她帮着搞定的，感谢广汽传祺阜阳众宏店的蒋娟。 【亮点配置】 这个价位跟贺岁版我是无力吐槽了，希望以后传祺能少背刺老车主，不过呢目前大环境也就这样了，我只能用早买早享受，晚买享折扣来自我安慰了，估计这也是大部分预定车主的心声了，就看官方后期出不出升级包了。,2024-03-11,阜阳
