字段1_文本,字段2,时间,字段3
夯得动,"终于开完一个完整续航了，nedc 550公里，实际跑了532公里，厂家打的真续航广告确实没瞎说！！！！

我是1月1日提车的，正直上海冬季，在路上开的话只能说掉电的速度还好，因为从闵行开回宝山，中环一路走，那时高架上开的速度80～90的速度，气温在10度以内，满电情况下到家掉了10%的电，接近1比1了，后来天气越来越冷，开的话掉电会快一点，不过没一些品牌掉的那么夸张，天气暖和以后是真坚挺，接近1比1了，或者说就1比1的掉吧，随心所欲，心里没波澜的那种。
对于续航，我问了一圈周边买特斯拉或者小鹏p7的车主，没一个能打的，想想自己才花了16万。感觉捡到便宜了😂😂，10分必须给满分💯💯💯💯💯💯💯💯💯💯💯💯

说下驾驶感受吧，对得起16万的价格，你如果要求很高级那种或许是真没有，但是底盘还是有韧劲的，过减速带或者一般的起伏路面不怎么跳，但是过坑坑洼洼的路面，就好比在虹口区广粤路一段，那么就会左右恍，因为后悬挂是扭力梁的缘故吧？不过其他情况下如我所说底盘不散，调的适中。如果要求很高，确实也达不到。

说下车内舒适性，2700的轴距，普通175的身高调整好驾驶坐姿，后排腿部空间2拳半，可以翘个二郎腿，因为我全家身高都不高，后排是绰绰有余的大。但是人很高的话，那就仁者见仁智者见智了。车内的bose音响值这个价，朋友们都说好。座的皮质也挺柔软，最关键是车子里新车味道不是特别大。另外什么cn95，氛围灯，hud这些行业水准是有的吧，符合这个价位。可以看我上传的照片，有一定参考价值吧。

吐槽点我也说一下，这个车机系统设计的真丑，毫无一点当代风格，虽然埃安那车不行，但是人家车机的面子工程做的不错，大气现代，这个gkui真的像七老八十的老头那样，吉利还是太传统了，思想观念要跟上来，广汽学的就不错。另外车机只能装qq音乐和喜马拉雅，其他就没了。因为我本身对这些东西不感冒，所以谈不上槽点，如果要装更多app，网上有破解教程的，看自己了。

最后说下油改电的问题，一定让很多想了解这款车的人望而却步，我说下自己看法，油改电的不好，就是你从车屁股看，电池包是沉下来的，但是离地不是很低，因为吉利深度优化过。然后后排中间凸出一块，但是凸出的不多，坐在中间没什么不适。可能和纯电平台比空间上有直观劣势，但是后排空间也够用的吧，网上水军喷油改电是因为他们是某品牌的销售所以必须要胡扯，实际开下来油改电没什么不好，至少吉利的油改电很稳定，驾驶安全同时有一定的智能化，如果你手里预算就20万不到，纯电不纯电其实没什么参考价值，这个价位其实也就看可靠稳定，所以吉利这种深度优化的油改电产品放心买。但是你预算超20万了，买油改电就是买个锤子了，因为这个价位的纯电平台调教的也好，车子档次也上去了，买油改电这种技术就亏了。关键看你预算多少

本人不是卖车销售，是一个90后上海小市民，平常开车出去兜兜转转，如果有车友群的可以拉我进去😁😁",2022-05-13,上海
湘巴佬做装修,"车是好车，续航没得说，前后排空间不错，后备箱有点小，比我原来的朗逸小很多。就是内饰没得选，随机发车，发到什么颜色就什么要什么颜色，本来喜欢灰色的，结果给我发的奶咖色的，将就着用吧。
还有就是买回来第二天仪表报传感器故障，显示是左后轮胎胎压传感器故障，第一次去买车的总店去检查，（车是在广州分店买，专卖几何新能源，总店在佛山专卖吉利燃油车），技师检查怀疑我用了车载手机无线充电支架干扰引起的，要求我先别用看看先，结果回去的路上还没有到半路又出现同样的报故障，怹销售反映，第二天总店打电话来通知给我定了一个新的回来，过了大概四五天吧，通知我去更换，更换过程发现品牌不一样，发的新货包装写的是吉利原厂配件，车上拆下来的是领克的的，感觉几何的用料不差哦，竞然用领克的配件，赞一个，换完到现在什么事都没有，我的手机原来该怎么充电就怎么充电。
还有就是感觉售后服务不咋地，有待提升，车开到维修售后没有人接待，还要自己去找人。

【空间表现】
前后排还可以，对我170的身高来说。
【充电时间】
百分之75之前充电还算可以，过后要充满将近要一个小时，外面快充。
【续航】
扎实不虚
【最不满意】
内饰不能自定
【购车经历】
看过元Plus和埃安Y，元差点下单了，朋友推荐几何，第一次进店就下定了，元都去谈了三四次了。
【提车价格】
159900元
【驾驶感受】
提速快，底盘比元plus还整，没有那么晃荡。
【乘坐体验】
空间不是很大仅仅够用，好开。
【销售态度】
销售服务态度不错，很好，就是售后一般般，不知道去分店售后会不会有所改观，因为去总店近。",2022-11-23,广州
文才武进,之前一直开油车，奈何今年的行情紧张加上海南的油价永远都是全国第一，一升九块六啊，随便出趟门加油都是300+，无奈只能考虑电车，之前曾经考虑混动，可是车价高，而且后期的保养维护费用会比纯电或者纯油还要高，所以果断放弃，之前看了很多电车，比亚迪元plus ，小鹏G3I，哪吒U，威马EX5这些车，比亚迪是出了名的等车困难户，可是奈何元plus的外观内饰都是自己喜欢的，所以排在预选位，小鹏和威马续航貌似虚标厉害，就放弃了，哪吒U的话总体还行，可是销售对他们自己的车知识储备还没我多，感觉有点不靠谱，就算了，后面去了几何，看了一下几何C还是很喜欢，就是总体感觉车子小，而且底盘有一块电池是挂在下面的。就担心蹭底，上车试过后，觉得不管动力，颜值都还不错，就是后备箱空间有点可怜，我之前的油车是宝骏560那后备箱，杠杠的。不过是电车就不纠结那么多了，预算就那么点，鱼和熊掌不可兼得，原来想等等比亚迪，可是听说明年补贴就没了，后面买电车平均增加8000左右，想想两年前巨额两万补贴没赶上不要等到啥都不剩了再去买，这就啥都拿不到，后面问了销售竟然有现车，就果断订下了，上周提车，感觉这辆车续航特别扎实，而且加速不是盖的，只要你舍得踩电门，他就给你推背感，基本上市区真的是跟表显的一样，而上高速也可以跑个300+，作为电车它很不错了。不过还有一个要吐槽的是作为车机，app商城竟然只有三个，我也是醉了，最基本的音乐软件也就只有QQ音乐，还好做过攻略后期可以自己＋软件，就无视这个简陋了，提车后自己加了酷狗音乐这些常用软件，作为我的第二辆车，希望他能够给我带来方便和快捷吧！,2022-12-04,海口
王哈哈,"除了续航真，其他一般，造型不错，外观可以，夏季续航跟春秋季续航可以说是很标准。有时候还会超出400，冬季台州地区零下3°左右，空调二十六七度两档风，打一会儿关一会儿，车子跑趴窝大概在250公里左右，这是实测，空间方面只能说够用，在乎空间的不建议选这个但正常坐4个人是绝对没问题的，满载中间这人，由于是低配车型，后排中间没有头枕，因为我家里算上老婆以后孩子加老妈也就4个，所以四座对我来说够用了已经，因为我人生第1台车是吉利，所以电车还是选了吉利。再加上吉利的电池是比较实在的。他们主打的也是一个真续航，才买的，车子的造型很适合城市通行。买了台蓝色。个人感觉是黑色跟银色当中最好看的。当时买车的时候140,700车价加上保险5200贷款手续费2000，还有一个上牌费杂七杂八加起来148,000左右，这个价格应该是几个c最贵的时候买的，现在这个价格已经可以买高续航了，但是无所谓了，早买早享受。晚买有折扣，你要说配置的话，这个车就是没有的。什么娱乐系统啥都没有，但是我不在乎，想要娱乐系统，家里面有苹果iPad。所以不在意。只要电池好用就行。如果选择买这款车的。建议卖高续航，一个续航多150公里。第2个后排头枕也有了。头顶还有一块天幕在乎空间的同级别可以考虑元plus。埃安Y。家里面没有1米8以上的大高个这款车是完全没问题的。大家还有什么补充吗？",2023-03-20,台州
MOTO,"首先先说续航能力方面，我主要试驾的路段是在市区，整个测试过程中都没有打开空调，在一个小时的测试时间里，大约40%让车辆处于加速状态，大约35%的时间处于减速状态，大约10%的时间处于巡航状态，剩余的时间都处于停车状态，实际行驶了60公里，表显63公里，为了测试的数据更为准确，在市区测试结束之后又去省道跑了70公里，道路上基本上没什么车，也没有出现走走停停的情况，实际行驶了70公里，表显也在70公里。这款几何c在绝对续航里程方面真实性很强，电量没有出现虚标的情况。

　　其次在此次的试驾过程中，我们还使用了甲醛检测仪对车内的甲醛含量进行的测试，车内甲醛检测只为0.07毫克/立方米，低于对人体造成伤害的0.1毫克/立方米，优于国标，车内环境还是很健康的。

　　这款车的舒适性也很不错，座椅的包裹性很强，坐上去非常的舒服，坐在车内，基本上听不见外界的噪音，行驶过程中，平顺性也很强，再加上空气特别清新，滤震效果也很棒。

　　几何c的外观确实惊艳到我了，无论从哪个方向看都特别的喜欢，整体设计时尚的同时还有一点点商务的感觉，瞬间拉升了外观的档次，实际开在路上的回头率很不错，动感的轮毂，饱满的尾部，以及贯穿式的尾灯。开在路上回头率非常的不错。

　　360度全景影像可以清晰的看到车子周围的情况，停车的时候非常的轻松，除此之外，还可以使用手机App来进行遥控泊车，这是在之前的自动泊车上升级来的功能。后视镜带有加热，以及自动助力电动调节等7个功能，而且智能化很足，通过大灯上的眉梢就可以判断充电时的电量，隐藏式的门把手，当车钥匙靠近时会立即作出反应。安全性能方面也很不错，主副驾驶位的安全气囊以及前排侧安全气囊，都在行车过程中提供了安全保障，整体的配置确实非常的丰富。",2022-11-29,
生活点滴皆是菩提,"开门见山，先说一说大家最关心的续航问题：
     由于我买车提车都是十二月初了，帝都已经很冷，基本都是零下十度，有几天甚至是零下二十度，因此经过这段时间的驾驶和计算，对本车冬天低温的续航还是比较有发言权的：晚上零下十度左右出门，开出五到十公里再开空调，基本续航打个七折吧，也就是三百八左右，如果一上车就开空调，估计也就是三百五左右，热泵空调在凉车的时候效能并不高；下午回家零度左右开着空调比早上续航能多个三十左右吧，有一个周五下班早，温度也差不多有八度吧，单位到家五十公里，续航基本也是一比一的掉，那是最好的一次，不过那次看到温度尚可，没开空调。根据我五年多的电车驾驶经验估计这车春秋季开得好续航能超过五百五，夏天开空调如果是市内也应该在五百左右，跑高速四百左右应该没有太大问题，不过冬天跑高速就算了。
 
      驾驶感受的话，与我先前那辆猪鼻子电动车相比，这辆车的整体驾控感肯定是高出一个层级的存在：同样是将电池安装在地盘的位置，几何 c 明显在行驶中更稳，高速路上给人自信心更足；车内隔音还可以，路上风噪还是有点大，特别是八十以上，说明隔音还有提升空间，顶配米胖子的胎在一定程度降低了胎噪，其他车型胎噪估计要命；虽然是紧凑型 suv 车型，但过弯时侧倾不明显，看得出吉利这种传统车厂在整车调教上的技术积累和优势；过减速带和颠簸路面时前排的滤震还是不错的，车身一体感比较明显，不像我之前那车开个破路全车松散像要散架似的；
      后排虽然非独立悬挂，但调教得还是能接受的，你非要它有中级车甚至空气悬挂的体验那是不太现实的。仪表盘很多人说这块仪表盘太小看着难受，不过真开上这车后我发现，这块看似小的显示屏数据排列有序，即使是行驶中看各类行驶数据也毫不费力，反倒是抬头显示关闭的时候更多，这就尴尬了哈哈。中控大宽屏分辨率不错，看着很清楚，触感尚可，响应速度不算特别好，略有迟滞；刚开始觉得很复杂的车控系统用了几天觉得还是挺简单的，熟悉每个菜单目录下的具体项目后就能轻松掌握上手了。
 
另外有几处用着不是那么舒服的地方：
       1.后排脚部空间可能是我脚大的缘故，前排座椅稍往后一点，坐后面就觉得鞋有点怼前面椅子了，腿部空间足够。
       2.后备箱：一是开的比较高，而且实际容积并不大；而且这个价位不给个自动尾门让人很不解。
       3.防碰撞的神逻辑：有天我车生生在路口被停了得两分钟吧，重启车机两次踩电门オ让走。这里很不理解的一是为啥离那么远就报警，我设置的并不是灵敏那一档，二是为啥踩着刹车还要阻止我前进，这防碰撞逻辑太奇葩了吧? 
      4.监控录像TF卡的插槽位置：在副驾驶脚垫下面，掀开后摸了半天才找到，就不能把插槽放到一个更容易插拔的地方?",2021-08-29,北京
殷殷只看不买,"【空间表现】
车宽有点窄，2700的轴距够用了，后备箱也勉强够用。
【充电时间】
挺快的，前半小时170A的电流，到80%就开始变慢了，最慢是到90%的时候，只有40A，但是我也基本不充满，每周充一小时我觉得很合适。
【续航】
看了大半年的电车，几何的续航测评各种第一名，开下来真的不虚。高速定速巡航110+跑一百公里平均电耗17-18，平时城乡道路电耗12-13，真的不虚标，最低的一次是开了70公里的长下坡老国道，开出8.8的电耗，贼舒服，有图有真相。昆明冬天也很少到0下，所以估计冬季续航也差不到哪里去，到冬季了再来续更。
【购车经历】
从去年7 8月份开始了解电车，到1月份去试驾，再到2月底跟女朋友去订车，3月底提车，前前后后大半年。赶在了全系涨价前订的，算是省了不少钱。也对比过同价位的其他品牌，比亚迪去看了元plus，元pro，海豚，个人感觉（防杠）做工比较粗糙，不管是焊接缝的处理还是关车门的反馈，都很难让我喜欢。广汽埃安y不喜欢外观设计，网传虚标严重，看b站测评续航确实拉胯。小鹏G3i超预算了，所以最终选择了几何。
【提车价格】
指导价12.97，服务费4k，贷9万分三年，厂家金融有贴息，完了有7.9k的利息，保险全部加起来4k，加起来落地就是14.5。
【驾驶感受】
拿到驾照后累积驾驶3k公里，开过的车型:朗逸，凌渡，荣放，Crv，Xrv，Q5，领克02…不列举了，油车跟电车的驾驶感受完全是两码事，开过电车确实就不太想开油车了。几何c的话，油门调教很舒服，加速线性也不错，204的马力7秒破百，对我来说很够用了，整体感受很好。不足的就是后悬挂表现，我不坐后排所以忽略不计。刹车就比较灵敏了，只能轻点，踩重就点头。但是我习惯了动能回收，现在基本很少用到刹车，计算好距离提前丢电门，速度就减下来。

【亮点配置】
车机不卡，语音识别很准，省心，车机自带导航也挺好用，登录QQ音乐就能关联所有歌单，绿钻表示很舒服。手机智能钥匙也挺好用，开窗透气，提前开空调这些功能还是挺实用的。我买的最低配，因为觉得很多舒适性配置没必要（说到底还是没钱），买车嘛，适合自己的就是最好的。
【最不满意】
开了一千三百公里，空调出风口会反光在侧窗上，导致影响看后视镜，我看其他人都有这个问题，解决办法是去把出风口银色装饰条贴膜，改成黑色就没那么明显。然后是A柱盲区大，在转弯的时候尤为明显，只能减速然后偏头观察。底盘差点意思，转弯侧倾大，且回正后有多余晃动，但是这个价位，也没那么多要求了。还有就是内饰，我很喜欢这种简约的风格，看起来不累眼，但问题是吉利能不能重视下几何，自己有翻毛皮厂为什么不能给几何也用上，车门上还有中控台都是硬塑料，换成星瑞的翻毛皮立马再上一个档次（别说成本控制，仿的不值多少钱，个人感觉就是吉利不重视纯电，毕竟油车卖那么好）
【最满意】
车灯贼亮，对面车老以为我是远光，然后远光提醒我，我开了远光…还挺不好意思的，但是我可以治远光狗了。新车没啥味道，除了有一点点座椅的仿皮的味，能接受。做工挺精细的，关车门有厚重感，很多小细节不会给人廉价的感觉。续航扎实！续航扎实！续航扎实！重要的事说三遍，当然有人会说新车自然扎实，开两三年怎么办云云。开这车很多人都来搭话，问的问题千篇一律：充一次跑多远？充多久？去哪里充？几年质保？多久换电池？再专业点的会问车重，参数，电池等，我都耐心解释。其实每个人都有个电车梦（特别是现在这个油价），但是很多人不了解，所以会充满好奇。
总结:电车的续航焦虑是个伪命题，只要充电足够方便。电池衰减只要在合理范围内，我觉得1000次循环对于家用车来说真的足够，换电池只不过是油车企业在商言商刻意的说法。国产车挺好的，只要解决了电池安全问题，没什么不能买的。油改电也没事，几何c的拆车证明对得起这个价格，只要价格合适，油改电真的不错。100块电费我跑了一千三百多公里了，从用车成本来说，选纯电真的舒服。",2022-04-11,昆明
鱼在温水游泳,"新时代，新发展，现在买车大部分年轻人都选择纯电车，主要还是电车的优点多，环保也健康这一点估计一般上升不到这个高度，一般就是为了省钱，用车成本低。我也是因为现在油价太高，只能买电车来开，主要是平时不去外地，所以开电车上下班也是可以的，没什么两样，而且比燃油车省不少钱呢。
   像我这样的工薪家庭，我们家买电车也是为了生活考虑。我看中吉利这个牌子是续航和耗能这两块做的不错，而且它今年新款的纯电车几何C也比较符合现在年轻人的审美。
  那就先说一下外观吧，我还是挺喜欢的，感觉萌萌的，外观很新颖时尚，就比较现代化。其次就是我喜欢配置，每次坐在车里开车，都感觉科技十足，因为内饰风格简约大气，中控屏很大，我买车之前听朋友说新车的异味特别大，但是我完全没有闻到。一般可能是新车的座椅上容易有味，但是我还故意闻了闻，也没有。整体上车内还是非常可以的，这个价位里面算是中上游水平了，这台车用的材料都是新型的，当然我也是听销售讲的，属于环保类型的，我总感觉这台车全身带着环保气息，看来这台车就是为了环保而生的。
    开了一个月的电车，觉得这台车算是性价比最高的了，跑一百公里平均电耗9.0，跟最开始销售说的差不多。可以说在各方面都是不错的选择，几何C这次真的值得选择，对了最主要的是听说后期每次的保养也就一百多而已，虽然还没保养呢，但是肯定比燃油车成本低很多。",2022-07-28,常德
王思思5950,"我是去年9月26日去看的车，当天就付了全款，隔了2天提车，10.1就开车600多公里回了威海老家，长这么大，没见过什么事是下决定这么快的。
【购车经历】
      在北京通勤这么多年，每天上下班挤地铁，自认为练就了一身挤地铁的本领，可是渐渐发现一天的心情很多时候，都是由早上挤地铁的人多人少，人善良不善良，能不能上的去，下一趟要多长时间会不会上班迟到……等诸多外在环境因素决定的！
      也曾想过在北京买车，但是我因为中途断了一次社保，还不能摇号，老公摇号10年都未下车。鉴于这种情况也想过租牌照，但是考虑到安全长远性因素，也没下定决心去4s店看过一次车！去年9月份，逛完合生汇要打车回家，在等车的时候老公说你听过几何这个汽车吗，目前好像有活动可以送2年牌照……说是也巧，那天打到的车就是几何a（通俗理解：几何a是轿车，几何c是小型suv）。坐上去感觉也不错，我不懂车，不会说那么多专业名词，我的体验就是坐着舒服，后座空间比较宽敞，看手机不会像其他电车会晕车。
     回去我俩就开始搜索北京周边的几何4s店，找了一家比较近的 约了周末去看车。看车试驾也就2个多小时，又和父母沟通了一下，就决定买了！因为那会还有疫情，10.1回老家票买的是动车，想着有了车就可以自己开回去多爽。考虑到舒适性和人机交互体验感，买的是顶配，算下来一共是19.6w。
     有朋友调侃，你为啥不去别的地方再看看了？说实话，真没想过，因为油车没有牌照，看了也白看！看其他牌子的新能源，也没有送牌照的政策，看了也是白看！要不就是不买车，继续挤地铁上下班所以考虑的点就很简单，要不要买车？答案肯定是要买！那就入手了几何c！这就是我俩当时的心声。

    眼看着入手一年了，就简单分享一下感受：
     1.智能：我拿牌照10年了，都不敢开车，但是买了车后我敢开，之前开家里的车，死活不敢上驾驶座，这个车有智能领航和车道辅助功能，开夜路，或者新手对车道把握不住位置总压线，都有辅助提醒功能，我胆小的人，来回回家高速都敢开，但是在北京上下班我不行，不敢开目前。
     2.好看：外观来看用我的话说就是流线柔和，后面车屁股够翘，在20万以内的车里，几何虽然没有其他专门做新能源车那么招风，但是深得少女心这块做的也还可以。",2021-10-14,北京
逝水无痕如梦,"【购车经历】家里有美貌娇妻一枚，选择几何C也全然是她的想法，要是依我的想法，我肯定买坦克300了，只是实在是拗不过她软磨硬泡，再加上赛博版也没订到手，其他版本又看不上，索性就由她去了。她看上几何C，无非不就是看中了这个颜值，内饰又科幻，加上几何这个名字听起来还挺高端的感觉（其实就是他那群闺蜜没人听说过这车，有吹牛逼的资源而已）；满打满算到手三个月，反正她是满意的不行，从我的角度上来讲的话，没那么多惊喜，少一点激情而已！！！
 
【空间】 本人177，驾驶位坐着尚可，座椅调到最高，头部基本顶着车顶；座椅调低一些，可以相应开阔点，但膝盖会显著高于臀部。后备厢容积，大约3个20寸登机箱放满；里面放点东西，顶多放2个，之前送客户，2个登机箱差点没放下。
【加速】整体感觉不错，开启运动模式，推背感明显，毕竟7s百公里加速。
【高速行驶】与一般电车一样，时速超过100，后面加速就比较难了。
【操控】 方向盘、电门、刹车都比较灵敏。
【油耗】实际续航与标称续航里程基本一致，标称550公里，实际跑530-540公里。省电：平时用运动模式,高滑行反馈，目前平均电耗为12.9度/百公里，续航扎实，与标称续航时间差不多。
【外观】 单纯看这车，设计还不错。但作为一辆SUV（号称），身高156就有点矮，哪怕小型SUV基本也没身高低于160的，被说为跨界车（两厢跨SUV）名副其实。
 
【缺陷】比较伤腰！！！！！！！自从开车上下班以来（每天开车约2小时），右侧腰部酸疼，一段时间不开车就能恢复。具体而言：  
     ①座椅前高后低，靠背角度100度，实际感受背部往前顶；靠背角度调整为110及以上，腰部感觉好一点，但整个背部只有腰部能与座椅挨着，上背部全部悬空。
    ②踏板的问题，难以形容，刹车踏板感觉过于居中，且与电门距离过大，“正踩刹车、斜踩电门”难以实现，基本就是“外斜踩电门，内斜踩刹车”。前一个缺点太明显，其他的都属于小问题。     

     当然，个人因身材不一，可能体会不尽相同，有车友说也挺舒服的（比如我媳妇儿），看个人而言吧！而且我朋友买的三十多万的蔚来，基本上也是我这个毛病，所以总体满意。",2021-08-30,上海
