字段1_文本,字段2,时间,字段3,时间1
用户817752044846,五一期间跟朋友一起去看了车展，打算要入手一辆车来做生意，就让朋友陪我去参考参考，车展真的是人山人海，好多品牌五花八门，现场还有好看的车模，我去看了哪吒的展台，因为朋友开的是哪吒U这个车，在大街上也是好多人买这个，一起去看看咋样。 现场好多人在看这个车，朋友也在推荐我说这个车子真的还不错，性价比也很高，加上现在的油价也不是很稳定，所以买这个新能源比较有保障。坐上去体验这个车，各方面来看都是非常不错的，整体的空间很大，再加上它的后备箱也是足够大，乘客坐在后面也很舒适，之前我是有试开过这个车的，动力这方面还是挺不错的，看这个车的人也不少，灰色这个颜色也是比较大众，整体来看还是非常不错的，刚好车展有活动，价格会比平时优惠点，朋友也在跟我说可以早点入手，因为整个车来看还是相当不错的，性价比也高。我也觉得朋友有开过，肯定知道他的好坏，所以也就听了他的意见，下订看这个车，对于这个车子，家里人也是很满意的，我要的配置刚好有现车，挑个好日子就提车啦！ 主要的优点就是空间大，提速快，性价比高，续航行驶一天没觉得虚耗，就是需要速度不要那么快，太快有点影响续航，外观酷炫，语音只能也不错。 下面来欣赏昨天提车拍的照片吧！！！,2023-05-17,海口,
用户8735276116145,"提车一周开了1000km 

【空间表现】前排还是可以，手套箱太小了，后备箱中规中矩，整体更加靠近跨界车

【续航】城市里的续航开经济模式电耗可以到12.5-13，充满续航有650。不过高速也拉过了130的时候掉电真的厉害，开空调能耗到18。整体来说续航真的牛逼

【充电时间】快充真的太快了，刷了几个视频就30多块没了，真的心疼


【最不满意】找不到只开自适应驾驶辅助的情况，尤其在高架上有时候车道保持不太准还是有点吓人的，下雨天和日落光线强的时候前摄像头很容易失灵，辅助驾驶瞬间失效。自带的行车记录仪像素太低了，车牌号都看不清，看以前版本还能调1080p现在版本就直接460p了吧，一直插着u盘容易烧，开了一个礼拜就报废个u盘。",2023-10-03,上海,
初夏小夏夏,"【购车经历】
买车是因为喜欢到处旅游，油车的用车成本比较高所以考虑新能源汽车，但是市面上品牌太多看花了眼睛，我的需求很简单10万左右续航高，空间大性能好就可以。上下班途中无意看到哪吒4s店就进去看了一下车，一下子就被哪吒U的大气外观吸引，试驾后就对它恋恋不忘。思考合计后马上就带着卡去提车了

【提车价格】
我当初看的哪吒U400指导价是126800，店里当时有带牌新车说是能优惠一点，最终11.7万成功购车，买了保险5000左右。这个价格在我的预算之内，还是比较满意的

【空间表现】
哪吒U的空间表现我是比较满意的，自己喜欢旅游经常约这三两好友来一场说走就走的旅行，行李自然是很多的。今年6月份开车去三峡大坝旅游，3个人3个大行李都放在后备箱还有空余的。真庆幸当初买了这台大空间的哪吒U，我的诗和远方它都能装得下

【充电时间】
买车送了一个充电桩，慢充400公里续航夏天6个小时左右，冬天8个小时左右，我一般习惯电量剩下30%就要续电。去旅游上高速才会用快充偶尔冲一下，30分钟左右就可以冲到80%左右的电量，基本在服务区吃个饭上个厕所就充好了

【续航】
夏天续航400可以跑360到380，冬天可能就350左右。每个人驾驶习惯不一样，不知道别人的续航表现怎么样，我会给它4星。如果开空调还会再打点折，我自己家里充电很方便，所以空调都是想开就开，也没什么续航焦虑。

【驾驶感受】
用车10个月开了2万公里对哪吒U的驾驶超控感很喜欢，动力加速很快基本上轻踩油门速度就提起来了。都是皮质座椅内饰长途开车也能坐的舒服，智能化的大屏幕听歌，看电视，导航都是可以语音控制。驾驶的时候也不需要去手动操控了。

【保养】
目前没有做过维修不知道维修费用是什么样的，但是可以分享一下保养成本。买车送了第一次的保养免费，一万公里开去4s店保养。做了一个空调滤芯的更换和安全的一些检测，正好车机更新，免费做了一个升级，都是免费的。做完首保还帮我把车洗干净了，服务也是没话说。第二次保养是2万公里去的，费用450元做了一个中保，下面是第二次保养的时候拍了一些车子的照片分享给你们",2023-12-22,孝感,
吴佩频道,"新车名字叫哪吒U-Ⅱ，主要变化有三点：
①、新增了粉、黑两色；
②、车机换上了8155芯片；
③、驾驶辅助功能升级，且降低了使用价格门槛。

★ 换了8155之后，跟老款比新车车机反应速度没有太大变化，别误会，是因为老款本身也不慢。
★ 新款车型从14.28万的400三元锂版开始可以选装L2，用上地平线征程3芯片，给到5个摄像头、12个超声波雷达和5个毫米波雷达。
★ 功能上增加了打灯自动变道功能，但试驾同事徐鑫觉得标定过于保守了，只有在它认为非常安全的情况下，即变过去的车道前后车都要离得比较远，它才会完成指令，从而降低了该功能的实用性。
★ 自适应巡航的刹车比较猛，无论是追上前车还是被加塞的时候其舒适性都有待提升，而且即使设定到最近的挡位，自适应巡航时车辆还是离前车较远，导致容易被加塞，被加塞后它又大脚刹车，恶性循环了属于是[允悲]
★ 电门和老款一样还是偏轻，阻尼有点小，堵车时容易累，但不至于像老款那样很贼了。
★ 换挡旋钮周围的三个按键依旧在白天反光，建议换成物理按键或提高背光亮度。",,,2023-03-04
用户7185980113269,"【最满意】
因为工作原因需要到处跑，之前的油车是一个长的货车，但是需要经常加油，费用很高，我买的这个SUV真的性价比太高了，而且现在到处有充电桩，充电也方便，市区内的小区都有快充，再就是手机app功能，冬天提前开空调上车就是暖和的，唯一就是耗电，试驾的车子是高配，功能比较多，智能化高，全是大屏幕，车子就几个方向盘按键，语音识别控制车辆的基本操作，你喊，你好哪吒，打开空调，切歌，导航，打电话，都能办到，也支持手机远程控制车辆，远程锁车这个很方便，总是忘记关，在家就能操作，车钥匙现在有蓝牙也基本不带钥匙了，，手机上操作很方便
【最不满意】
就是内置的车机游戏功能太少了，有时候在外面中途休息，听歌什么的不太方便，耍抖音也是没有，其他方面还是很不错的

【购车经历】
门店销售很热情，目前做过一次保养了，售后接待流程很好，过程也紧凑，买车很重要的一点就是售后服务了，还能上门取车。

【驾驶感受】
起步还比较平滑，可能大体重的原因，油门我也加的比较猛，操控性还是挺强的，就是要把驾驶辅助关掉，这个不是很适应，会影响驾驶感受，电流声比较小，动力足，和油车来说，是个很大的优点了。在武汉，冬季有影响，但是就一段时间，暖和就好了，太冷了就要随充随用了，和客服也反馈过，能理解这个，这算是电车都有的问题，内饰包裹性很强，坐着也舒适，摸上去手感也很好，对于一天都在车上的人来说，空间，内饰都挺重要的，再颜色选择多，我就选了中规中矩的白色，内饰是黑色的
【乘坐体验】
我北方的，身高180以上，体重也大，这个就很适合我，不显得拥挤，我的头顶和腿的空间也不难受。总体来说是很不错的，前排后排空间也大这个第二排放置我的工作配件也很方便，平时带家人休息出去玩也是足够的，后排脚部是平整的，也无形中节约了空间，车子有点脏，所以看起来有点乱糟糟的
【保养】
保养我办理了售后的套餐，总体还是很划算的

【续航】
电车到了冬季，续航耗电量大也可以接受，特别是开了空调以后，电量掉的也快，但是市区的充电桩很多，充电还是很方便的
【外观】
外观那我还是很满意的，线条流畅，总体没有什么大毛病，车灯也很大气， 车身轴距都很大，4.54米，高也有1.62，外观够流畅，看着舒服，比开小轿车舒服多了！

【空间】
储物空间还是非常多的，门板上都有很大的储物空间，可以放杯子什么的，扶手箱空间也很大，一些杂物放里面显得车里大了许多，主副驾座椅后背上面也加了网兜，可以放东西，空间大，就是买SUV很重要的一点。",2024-01-11,,
知料汽车,哪吒U-II进行改款之后新增加了两种颜色，粉色和黑色，这两种颜色可谓深得少男少女们的心，一下为车型增加了不少活力。车内基本由三块屏幕组成，全液晶仪表、车机屏幕和下方的空调控制，强调新能源车型的身份，同时增强座舱科技氛围，即使如此，哪吒依旧贴心的保留了物理按键，方便驾驶员在驾驶过程中进行盲操作，这一点必须点赞。另外，哪吒U-II改款后升级了第三代骁龙8155芯片，实现了小程序、站外下载等，最好用的我认为是——语音控制所见即可说，简单来说就是屏幕里显示的文字，我们照着读就能执行指令，驾驶过程中不用分心总结指令，而且识别率谦虚点说的有99%了，体验感很好。对于15万元级别纯电动车型，一般我们都不会对其驾驶辅助功能给予希望，但是哪吒U-II依托地平线征程3芯片和感知硬件，能够做到在高精地图下的高速打灯自主变道，实际体验过程中整个流程相当顺滑。如果买这台车就是为了城市通勤不用辅助，哪吒也不捆绑销售，买车时不选择智驾包就好，非常人性化。另外哪吒U-II还实现了自动泊车入位和遥控泊车，整体速度和精准度和30万元级别车型没有差距，对于刚拿驾照或者车位狭窄的情况这两个功能相当实用，毕竟是新能源车型嘛，有时候下决心买单的就在智能科技配置方面。,2023-03-05,,
咸车,身处竞争尤为激烈的紧凑型SUV市场，哪吒U-II一直有着不错的销量，那它是凭什么突出重围的呢？今天就让我们一起来看一下吧。【外观】“颜值是第一生产力。”大多数人买车还是看眼缘的，哪吒U-II凭借年轻时尚的造型俘获了不少年轻人的芳心，并且星钻魅影粉和暗夜机甲黑两种全新配色的推出，更显质感。但我选择的是暗夜机甲黑，绿色线条的点缀显得整车更有运动范。【内饰】首先映入眼帘的是三块大尺寸屏幕，营造出不错的科技感。三块屏幕的功能划分十分明确，操作起来比较便捷，得益于高通骁龙8155芯片，实际的使用感受就是处于同级上游的水平，操作十分流畅，语音响应灵敏。此外车机内还内置了许多娱乐性应用，比如：抖音、腾讯视频、爱奇艺等，满足用户日常使用的需求。不过选择这台车并不是因为外观，而是动态体验上。【动力】搭载一台最大输出功率为120kW的电机，峰值扭矩210N·m，续航里程为501km。让人颇感意外的是哪吒U-II的工程师们对电门的调校并不像其他厂商的那般激进，甚至开起来不像电车，电门的行程偏长。实际体验更接近于一台自然吸气发动机的燃油车。这让开惯燃油车的我更容易接受这台车的动力输出，电门的前三分之一都有些许迟滞，但一旦突破那个阀值，还是能感到一定的动力输出，零百加速10s内，日常生活完全够用，对于新手司机比较友好。CRBS的调校也偏线性，不过优点就是能给到乘客比较不错的体验。【驾乘感受】悬架结构虽然没有变化，采用的还是前麦弗逊后多连杆的独立悬架组合，不过本次的小改款在调校上有很大的进步，整体感受稍硬，想必是为了迎合更多的年轻群体。过弯时能给到不错的侧向支撑力。但在面对较大的坑洼时，车身晃动有些明显，缺少一些厚重感，不过在同级别依旧属于上游水平。【智能化】另一部分惊喜就在这选装尊驾包后，搭载地平线征程3芯片的哪吒U-II可实现L2.5+级别的智能驾驶辅助。实际使用起来比较保守，但已能处理大部分的复杂路况。【总结】虽然改款后售价略微上涨，但在15万元区间依然算是性价比之选，选配尊驾包后，智能驾驶配置同级别最为齐全，两种新增的主题配色，又能满足大多年轻群体，如果对智能驾驶辅助系统比较依赖，这台哪吒U-II没准会给到你惊喜。,2023-02-13,,
真实用车测评,"【哪吒U智400证真实长途续航】
从江西省赣州市南康区开车自驾到福建省漳州市东山岛，单面总里程为510公里，续航测评如下：
往返总共行驶了1100公里（其中95%为高速行驶），充电金额为：36（充满出发+30（第一次服务区）+68（第二次服务区）+69.7（返程前充满）+62.5（服务区）+49.3（服务区）=325.8元，返程到家后最后剩余续航里程公里数为78公里。
评论每公里0.295元，高速行驶过程中续航基本是6.6折，大家觉得这个续航能力如何？

高速服务区充电速度快，基本不存在拥堵排队情况，所以续航焦虑大可放心，提前做好规划即可。

车辆行驶8900公里，下面简单说一下感受：
1.冬季续航不足5成：车辆续航里程400，冬季走城区道路+乡镇道路+小部分省快速道（非高速路），续航最多200公里（注意是冬季），高速路直接打6折左右，能接受的也不是不能买哈。【以上行驶均是在没有开空调的状态下】。夏季在开空调状态下基本续航里程要打7—7.8折。

2.双大屏基本就是摆设：双屏幕+空调控制屏幕，美观上显得科技感十足，但实用性确实有待考证，比如这个主屏幕上只有导航，还有个QQ音乐软件（特别注意这个坑：听歌需要开通会员），还有个收音广播，还有个链接手机的功能，其他的都是车辆设置的按钮了。
这个OTA系统你觉得怎么样呢？是不是值得深思是否选择？仅供参考哈，大家自行考虑。

3.USB接口无法读取优盘：试了4个不同优盘，只能读取金斯顿品牌优盘，且不能讲歌曲存入车辆系统内存，因为系统根本没有可使用的储存内存，这点你是否能接受？

4.噪音偏大，驾驶舒适度不够：能明显听到点击的声音，速度超过60，明显的风噪音。

5.空间十足：坐后排座，可以跷二郎腿基本不成！问题。后备箱空间比较实用，尤其下方暗格，可以存放大量私人物品，就是拿取不太方便。

6.三档模式，个人爱好运动模式：节能模式提速较慢，但相对更省电，运动模式和标准模式提速较快，但耗电也快。

7.充电模式快慢两用：慢充在仅剩10%左右电量时，需要7.5小时左右充满，快充基本1小时左右可以充满（超过80%电量后，充电功率下降，启动智能保护电池装置）。

8.座椅电动调节：主副驾驶座均可电动调节座椅，舒适度提升。",2023-02-05,赣州,
ZhongShuLing,"【购车经历】
我是在去年也就是2022年购车，当时选择性比较多有埃安有比亚迪。埃安总体外观比较像面包车不太喜欢比亚迪同等续航要贵个2万多块由于预算有限也排除了.选择哪吒u 因为外观比较入我眼球，续航400公里也够用，我觉得还有一个重要点是店家服务态度非常好.比如我去比亚迪.可能他们车太好卖了所有服务没那么积极。价格也是铁打般一分不让. 哪吒相对比较就好多了.价格也比较实惠.

【充电时间】
快充很快，官方宣布0.5小时充满。我在商场充电如何逛一逛商场.基本上就冲好了，也比较符合官方时间。 家庭充电8-10小时 我比较喜欢晚上预约充电 手机app可以预约 预约之后0.29毛一度电。
【续航】
续航官方400公里，实际自己体验来看也差不多我平常都是跑380左右如何表显还有20左右.续航来说也比较符合官方宣布的. 很多人说新能源高速会打折，我没跑过高速所以没有发言权。有空去跑跑
【驾驶感受】
使用接近快一年了，这个有发言权.底盘比比亚迪宋啊元啊好多了、这个实话实说，比亚迪电池好点但是底盘一言难尽.油门踏板的线性➕方向盘转向反馈要比埃安y 好.除了价格合适外观设计好看外，驾驶感受也是选择的原因。

【空间表现】
空间很大，后排能放倒能得到更大的空间.切记想要空间大，就看后排能不能放倒，只要一台车后排能放倒基本上空间利用率就不会差. 

总体来说 哪吒u还是一款各方面都没什么短板的一款新能源.我用车主角度评价就是.优秀 好评.",2023-02-20,河源,
海参,"【购车经历】家里的车已使用多年，需要更换，由于已为老婆新购入混动一辆，加之种草电动车已久，所以决定为自己买辆性价比高的电车。一开始看的埃安Y，空间大、内饰漂亮，但是还未下定，已经涨价，只能放弃。同价位海豚，空间太小，不考虑。元PLUS，内饰感人，加之价格贴近15万，也放弃。比亚迪的DMI是真的香，但是没有固定车位，120KM续航充电太麻烦。一次偶然机会，看到哪吒，品牌小众，外形尚可，内饰在电车里中规中矩（但是比油车好很多），主要是价格合适啊，400KM的10万出头就可以了。3月17日晚上，涨价前，下定金，总算赶上末班车。 【购车价格】10.48，加保险，上牌，总计10.9不到。送了脚垫（已扔杂物间）、送了贴膜（你懂的，推荐你加2000升级，不加钱就是几十块的染色膜，我最后某宝买了陶瓷膜）。 【驾驶感受】十几年老燃油车换新能源车，区别太大。 1、 油门反应，这点不必多说，随踩随有； 2、加速，虽然比不上某鹏、某斯拉，但是日常超车足够，红绿灯也可以做第一名了（没那么多BBA车主会咬牙踩油门跟你抢风头）； 3、空间很不错，后座地台纯平，后排空间仅比老婆的英仕派少2-3指； 4、车机不错，符合新能源的特色，语音、视频、音乐功能齐全，每个月5G，足够日常使用，还可以热点给自己的手机用（鄙人每月经常不够流量）； 5、目前看电耗不错，参见下文； 6、倒车影像很清晰，比家里另一辆马赛克级别的本田车，好多了； 7、空调风力很大，制冷很快，现在的天气用三档都够我吹了，可能夏天才用得到7档。 8、2年免费充电，薅羊毛的感觉很好，关键是可以在峰电时候无压力充电，不必在谷电时候人挤人（不在意电价或有家冲的，可以忽略本条）。 【最不满意】 1、转弯半径比较大。 2、车后有异响，原因不明，不清楚是塑料件，还是后备箱里面泡沫箱在摩擦； 3、转弯时候，侧倾严重； 4、车前部的塑料，经过太阳猛晒，会异响； 5、黑烤漆面，有廉价感，而且一点灰尘就显脏； 6、后备箱关门时候，上面的尾灯会抖动，严重怀疑会掉下来； 7、底盘滤震很一般。 8、门要大力才关得上 【空间表现】 1、前面很舒服，鄙人177，头顶空间很大，腿部支撑舒服 2、后排空间也好，见上文； 3、后备箱，符合这个价位的要求，主要没有备胎，里面还有一个很大的泡沫箱（求车友推荐,这里怎么利用起来） 【油耗表现】第一次充满电后的用车环境：室外15-23度，市区上下班堵车：市郊匀速=6:4，节能模式，回收三级，单踏板。表显10.几至13不等。（车友老铁们，有人说运动三级更省电？是这样么） 第一次充满电后，从续航400公里开到续航145公里，实际开了306.9公里，等于用了255的续航开了307公里，所以计算得出1:1.2。据说最后100公里很实在，不过鄙人打算续航剩100公里时候，就去充电了。这个1:1.2的续航，供大家参考下就行。 【总结】11万的新能源车，SUV、空间大，如果不在意品牌的话，个人很推荐购买。",2022-05-05,宁波,
