字段1_文本,字段2,时间,字段3
当当的柚子,提车四个月行驶五千多公里。目前没有出现问题。驾驶体验整体不错，360全景影像和雷达以及导航投屏仪表功能对新手友好，能快速上手。不足之处是自带的高德导航定制版无读秒功能，还得另下载别的可读秒版本。 前两排座椅配备按摩加热功能，舒适感提升。后排座椅小孩和大人都可乘坐。不足之处是后备箱储物空间有点小，尾箱再加长10cm更佳。 智能辅助驾驶稍逊色，例如730尊享型无自动泊车功能，防撞制动会有误操作。目前的办法是关闭横向碰撞紧急制动功能，保留了预警功能。 续航在10月份基本能跑500公里+，余20%续航。冬天400公里左右，可以接受。家装慢充16小时左右充满，0.47元每度电，百公里不到10元电费，相比油车这点很香。快充也很方便，目前只应急充过两次快充，不到半小时，速度快。,2024-02-22,北京
我有一颗手榴弹,个人情况说下:男，坐标河南，今年31岁，15年大学毕业开始上班，从事地产销售，2016年攒了点小钱买了人生第一辆车福特福睿斯，挺皮实，别的不想多评价，以后打死都不会考虑福特这个品牌。到了19年升职加薪了也就顺利想换车，农村人出身没开过豪华品牌，20多岁的梦想就是买个bba，前后对比了奔驰cla，奥迪a4，果断提了宝马320，记得提车的第一感觉就是，草终于开上宝马了，草！3年的320跟着我跑了9万公里，操控没的说，也没出过什么毛病，就是配置上确实差的多。2022年又是3年过去了，过得不好不坏，也有了点积蓄，房子也早买了，有了点嫌钱就心里痒痒的想买个配置丰富的车。对于价格心里能接受的车是30-50万。考虑到自己年龄也到了，加上今年结婚，所以对换车的要求是suv，6座优先，主要是幻想着以后拉着老婆孩子老人一起出去玩??。 品牌选择上，这几年贸易战，疫情，台湾问题，让我越来越坚信想买一台国产车，因为买过bba深深知道为什么年轻人爱买，因为装逼?，毕竟人之长情。个人情节原因买车日系是第一pass，特别是丰田。也考虑过奔驰E，但老感觉因为奔驰的标买e多花了20万。想再买个宝马，但没有合适的suc车型，买5系又觉得不如不换车，国产弯道超车只能看新能源。最后在新能源和燃油车上和老婆商量了一下，最终考虑买纯电，因为单位充电也方便家里有车位也能装充电桩。新能源车去了正弘城转了一圈基本都看了一遍，比较喜欢理想one和问界m5，特斯拉不考虑主要原因是内饰毛坯不能接受。大众id6拉胯的空间直接劝退，足浴王liriq交了小定金一眼爱，后来阴差阳搓拐到了比亚迪店里，一眼看中了唐ev的6座布局和续航。回家后各种看参数，理想不考虑因为底盘用料问题，最后锁定lirq，宝马ix3，即将上市的问界m5纯电，唐ev。lriq是考虑车型中性价比最低的，除了喇叭和外观的亮点，好像其他没什么性价比，直接淘汰。最后给自己做了很多思想工作，安慰自己我换车是为了自己舒服，不要太在意面子，面子是害人的王八蛋，最后洗脑成功，直接盲定唐ev730。比亚迪的三电技术，丰富配置，6座通风按摩，730续航，其他的小问题小毛病完全可以忽略了。730和4驱630最后选730的原因很简单，多100的续航多一分保证，咱又不开斗气车4.4s没有意义。 下面说下基本用车感受吧 1.外观比较低调，一眼看上去就是个20万左右的车。 选装6座，内饰比较整洁舒适，槽点是烤漆面板。 2.配置基本拉满没有能吐槽的，唯一要吐槽的是都32万了你加个方向盘电动调节很难吗？？？ 3.续航虚头很少，平稳驾驶跑700没问题。正常开7成高速不超120，3成市区不猛加电门能跑600多点。如高速超速猛给电门，满载空调满开，测试了一下实际续航480km，所以说买纯电就要有心里准备，不要激烈驾驶！不要超速！ 4.空间上前后排很舒适，没毛病，3排座儿童没问题，成年人也可以，比同级别车好很多，起码不鸡肋。 5.智能化方面吊打各种合资进口，除了华为应该就是byd了。槽点是360车机偶尔死机，开高德地图后听歌按方向盘切歌变成了暂停，软件兼容上有待提升。手机直接控制车子真的是太太太方便了，app上锁开窗提前开空调，非常喜欢！ 5.驾驶感受上操控挺好的没有太多虚位，颠簸路段的减震处理一般，隔音及格，但是胎噪有点大。转向角度偏大，整体可以接受，比我之前开的宝马3跑长途舒服太多太多了。 最后总结真心希望国产好起来，也希望比亚迪能更多的倾听用户心声，做好售后工作，不要辜负每一个国人对品牌的信任！好好做车，少点水军，多点用心！,2022-09-07,郑州
诺111116,5年来，换了3次车，从奥迪A4到宝马X3，我从来未写过什么提车作业。这次我真的想写，或许我想分享我自己纠结了很久的决定。我想让更多关注这款车的朋友对唐，对新能源有更多的理解，或许不能帮助，但，是我亲身经历。 比亚迪，是我以前一定不会考虑的车，因为品牌，因为做工，因为驾驶的散架感，因为…… 7月底，一个偶然的机会，在4S点看到了它，唐EV。展车上小坐了一会。可能是有所成见并没有太多好感。只是觉得功能强大，国产车嘛，不强大怎么卖？ 左倒腾一下，右倒腾一下，忽然发现了很多细腻处理还真的不错！门拉手缓速，仪表缝隙，车机系统等等，哟，感觉的确还不错哟！突然有想试驾的冲动，无奈当天太晚，想着第二天和老婆去试试！ 如期，开始了试驾。首先，让我很惊讶的是提速，动力的澎湃不需要任何等待！(和油车两个概念）其次是安静，的确比油车安静太多！再者是操控，实话说，没有宝马那么精准，但的确没有了散架感，整个底盘表现紧而舒适。这次的试驾，让我第一次有了换车的冲动！ 回到家，开始看大量的视频，论坛，参数，对比，咨询朋友……陷入了深深的纠结！从品牌，从安全，从续航，从经济，从驾乘感受…… 第二次，带着彷徨，再去了4S店。再次认认真真体会了一把唐！感受依然……功能配置的强大，操控舒适的刺激，让我真的中了毒！我印象最深的是，销售顾问给我说了一句话“如果这是宝马，卖你60万，也应该！”或许是的，我差的不是车好不好，差的是选择新能源，选择比亚迪，选择全新用车模式的勇气！(我想这一点是很多朋友纠结的核心。电车到底行不行？传统燃油车就是好？电车发展速度？真的好用吗？)各位，电车是趋势，明确的汽车工业趋势…… 回到家，和老婆认真商量许久，许久……是的！唐EV，就他了！ 我来说说几点我自己的理解，不一定对： 1，安全。很多朋友说，电车不安全，自燃。我想比亚迪的销量，客户的口碑能够回答这个问题！燃油车不自燃？我想怎么安全驾驶才是安全最重要的保障。 2，续航。我选择的730版本，截止现在15度/百公里耗电。我记得特斯拉的马斯克说过“我可以让电车续航超过1000KM，但请问意义何在？”我认同，电车电池很重，我想大家都明白，如果要你为了续航过千，背负着过多的电池你愿意吗？再者，你每天需要跑500公里还是800公里？油车一箱油能跑多少？为什么油车不装载200升油箱，让你一次加个够也开个够一周的通勤，还有剩，难道不够吗？是的，长途呢，怎么办？我的理解是，随着电车的发展，充电会越来越方便，我们完全可以没有里程焦虑。我还看到很多人说，电车高速堵车不能开空调。哈哈，据我亲测，电车原地一个小时电耗1度左右……大哥，大姐们，你们油车如遇堵车，发动机不烧油吗？ 3，经济。这一点我想是最香的！今天我看到一个车友在说。电车买回来，每个月公里数比开油车时翻了一倍。。是的，当你不再有油费困扰，当你的出行比地铁还便宜，当以前你在纠结选择去还是不去，贵还是不贵的时候，电车说走就走的喜悦才是给你的最好答案。 最后我要说，车没有完美，我也不认为唐就是完美。它适不适合你，能不能给你全新的驾驶体会，还是因人而异的。起码，它给了我很多宝马不能给我的。 💰费用明细 落地31.98➕保险费(看你保险选择) 🧮选车对比 放弃了蓝天白云，选择了成就梦想 ✏️新车初体验 总体很棒，6座的布局，丹拿的音响，座椅通风按摩，4.0的车机系统……都让我很满意 唯一不足，操控精准度差一点。方向虚位是存在的。,2022-08-08,深圳
浅淡时光浙A530,"7月5号从汉创世版四驱转订唐635四驱，7月25号提车。

裸车价33.98+保险8800（人寿）+1万装潢6座+上牌500+500+4000免息按揭金融服务费（10万两年24）

一个月不到已经跑了3326公里，高速占80%，单趟300公里轻松跑，目前为止没有什么里程问题。动力没话说，标准模式开城市道路感觉都动力过剩。电门很轻，踩的还是不习惯，车辆是黑色的加装了车衣（感觉黑漆真的容易花，布擦的都感觉会花），挡泥板必须装（比亚迪App买的）！脚垫是淘宝买的全包580，底盘全护板App1770，电动踏板App4879还没装，打算发了工资买，上下车确实不方便腿不够长。

日常用车说说缺点:刹车点头还是很有轻微明显，刹车已经收的很轻了，刹车有时候有异响，到红绿灯完全杀停的时候有咔、当的声音。高速智能辅助领航偏右，特别是开第二车道，压着右边线开，总感觉会跟大货车擦上。高速开第一车道偏右问题也不大没有心理负担。辅助驾驶后方向盘会明显加重，变道特别明显，还是有点跟人抢方向的感觉。

外观无可挑剔，高速续航打折还是有点厉害7-8折，但是可以接受。浙江内跑高速都没有问题。

总体舒适度没什么好说的，安静，舒适，起步快，标准模式加速快，中端加速也一样有推背感，基本上用不到运动模式。我是开了紧急车道碰撞避让，触发过一次，自动打了右转灯但是右方有超车就自己放弃回到原位了。

充电:120kW的直流快充电桩可以到90-110kW一个小时搞定。家用充电桩需要在微信小程序里申报，24小时内安装完成，30米内是不收任何费用的，线真的长可以自己买6平方的，真的长100米的建议买10平方的（安装师傅讲的，线千万不能自己剪，剪了就费了！！！）。空开收费60元，具体还得根据你的实际情况，我的条件方便。",2022-08-22,杭州
车知灼见,"去年8月份，2021款唐EV正式上市，除了延续老款车型出色的加速能力之外，它的续航、动力也有小幅提升。本周笔者借到一台唐EV的试驾车，此次试驾的车型为2021款 EV 四驱高性能版创世旗舰型，新车指导价31.48万元。如果对这台车比较感兴趣的朋友，不妨来看下我对它的测评。

先和大家简单介绍下唐EV的动力系统，该车搭载前、后双电机，前电动机最大功率180kW，后电机最大功率200kW，而电动机总功率达到了380kW。亮眼的动力参数，能帮助这台自重接近2.5吨的大家伙在4.4s完成0-100km/h加速。此外，2021款唐EV换装比亚迪最新研发的刀片电池，NEDC续航里程得到小幅度的提升。

那么新款唐EV与老款开起来有没有区别呢？答案是肯定的，但是区别并不明显。首先2021款唐EV的动力输出的特性得到优化，驾驶起来的平顺性更加出色。其次就是刹车系统，刹车脚感变得更加线性，前半段也可以获得比较足的制动力。

唐EV提供雪地、运动、经济三种驾驶模式，经济模式又被称为ECO，日常通勤的话选择该模式即可，此时油门反馈的不是特别灵敏，转向手感也比较轻柔，在拥堵的路况下行驶时非常轻松可控。再来说下能量回收的相关问题，正常行驶的话选择标准的能量回收力度就行，松开油门踏板，能量回收介入的并不突兀，没有明显的拖拽感，减速过程有点像手动挡车型松开油门踏板一样。

对于悬架系统的调校，唐EV有着明显的舒适性取向，对于一般的细碎震动可以轻松化解掉，应对连续颠簸路段时，悬架处理震动的动作也十分轻柔，车身没有过多的弹跳，车内乘坐舒适性相当出色。同时在过弯或者并线时，又能感受到悬架充足的韧性，可以尽可能的抑制车身侧倾。

唐EV是一款七座中型SUV，理论上车内是可以乘坐七个乘员的，但是第三排更多的是应急使用，两个成年人同时落座会有些拥挤。前两排的空间表现尚可，参考本人179cm的身高，前排座椅调至最低的情况下，头部剩余一拳余量，第二排的腿部空间刚好两拳。至于后备箱空间，第三排座椅没有放倒的话后备箱容积较小，只能放下随身背包这些物品，放倒之后，空间则有很大的提升。

聊完这台车的动态表现和乘坐空间，我们再回过头来看看它的外观设计。其实比亚迪在提出“Dragon Face”家族化设计语言之后，旗下大部分车型的“颜值”是有质的变化的，而唐EV同样继承了这套成熟的设计语言。中网内部的结构与燃油版和插混版存在很大的区别，使用点阵布局的镀铬元素，看上去非常时尚。来到车身侧面，22英寸的轮圈使得车身的视觉重心得以提升，同时还强化了整车的运动属性。车尾造型圆润，贯穿式的尾灯带来较高的辨识度。

2021款唐EV整体的变化并不明显，除了换装最新的刀片电池和更新DiLink 3.0智能网联系统外，其余地方没有过多的调整。从产品力方面来看，唐EV拥有4.4s的百公里加速成绩，并且配有电动四驱功能，在同价位的纯电动中型SUV阵营里，具备较为出色的产品竞争力。",2021-06-22,
知料汽车,"近几年比亚迪在新能源领域一路高歌猛进，宋PLUS新能源、汉、秦PLUS等车型在其细分市场连续数月销量位居榜首。作为家族的旗舰级SUV，2022款比亚迪唐EV在上个月正式上市，售价区间为27.98-33.98万元。作为中期改款车型，新车相比较老款车型都有哪些地方做了升级？顶配版本车型在30万级同价位新能源车型中是否值得入手？

新款比亚迪唐EV的前脸更加高级，老款车型上的点阵式中网被贯穿式镀铬饰条取代，上挑灵动的矩阵式LED大灯配合下方全新设计的前杠，辨识程度足够高且视觉张力十足。全新的轮圈样式采用半封闭设计，21英寸的尺寸放在这台中型SUV上比较协调，在轮胎规格上新车采用米其林PS4 SUV系列，规格为265/45 R21，此外前制动系统还配备了布雷博六活塞卡钳。新车长/宽/高（mm）为：4900/1950/1725，轴距为2820mm，较短的前悬设计使得侧面造型更为耐看，新车尾部造型和老款车型相比变化不是很大，连体式尾灯很是抢眼，下包围细节更丰富。

视线来到车内，“苍穹灰内饰”在配色上极具东方美感，带有橙色缝线的白色皮质、拉丝质感饰条、副驾前方能够发亮的钢琴黑色饰板的运用，令新车的视觉看点更丰富且氛围感提升到新高度。12.3英寸全液晶仪表UI界面十分清爽，双辐式平底方向盘外侧握环被细腻皮质包裹，高配车型还提供四向电动调节功能。中央的15.6英寸可旋转屏幕已经非常熟悉，应用丰富程度、系统响应速度足以媲美主流智能手机。

实拍车型座椅采用Nappa皮质包裹，配合靠背处波纹装饰，触感和视觉感受都没得挑，第二排双独立座椅除了扶手外，还提供按摩、通风、加热、电动角度调节等功能。

我们本次试驾的顶配版本车型采用前后轴双永磁/同步电机，系统总功率达到380kW，峰值扭矩为700N·m。新车起步阶段对于扭矩的抑制较为出色，整体提速过程轻快且较为线性，这样偏向中性的标定对于家用需求而言非常友好。新车提供标准、运动、节能三种驾驶模式，在节能模式下电门的响应稍显迟疑，但其他两种模式动力的响应和电门的开合程度关联度非常高，即便是中高速工况下动力储备也依旧绰绰有余。2022款唐EV动能回收力度提供两级调节，在标准模式下松开加速踏板，动能回收产生的拖拽感微乎其微，体感更像一台正在滑行的燃油车，而在较强模式下制动力度就比较明显了，但整体制动过程较为线性。前麦弗逊、后多连杆独立悬架形式较为常规，车辆整体调校偏向硬朗，悬架初段能够过滤掉细小的振动，经过减速带、沟坎时，伴随着“砰砰”两声，底盘的紧绷感和质感都能够给予较高评价。

此次中期改款，2022款唐EV可谓诚意十足，“苍穹灰内饰”将东方美感展现的淋漓尽致；在动态表现上新车各方面已经非常均衡，轻快的动力输出配合线性的动能回收，驾驶起来非常得心应手，此外底盘质感以及隔音静谧性的表现也都能够给予较高评价。新车除了顶配车型CLTC纯电续航达到635km之外，还提供CLTC纯电续航730km的中配版本车型，强悍的续航能力也是唐EV备受追捧的另一大亮点，在三十万级新能源SUV中产品力非常突出了。",2022-07-22,
郝车来袭,"导购：提到国产纯电动SUV，比亚迪唐EV绝对称得上是同级别标杆车型，其他品牌推出全新中型纯电SUV几乎都会将比亚迪唐EV作为最大的竞争对手，似乎这才算进入主流行列一般。2022款比亚迪唐EV虽然属于中期改款，但无论从配置程度还是续航里程都进行了大幅调整，下面郝哥就来带您看看2022款比亚迪唐EV都有哪些亮点吧。

车型：由于肩负着比亚迪王朝系列旗舰SUV的重任，比亚迪唐同时推出了纯电动EV版本、主打燃油经济性的DM-i插电式混动版本以及更注重运动性能的DM-p插电式混动版本，三种版本几乎覆盖了所有新能源车细分市场，更满足了不同消费者的需求。同时凭借刀片电池、宽温域高效热泵空调、八合一电机以及支持5G的智能网联系统等黑科技配置加持，比亚迪唐已逐渐迈向了高端纯电动SUV的阵营，那么哪种版本更适合您呢？

外观：2022款比亚迪唐EV最大的改变就是通过全新家族封闭式运动前脸区别了DM-i版本，并且新增动态流水迎宾灯。银色饰条将大灯相连巧妙地融为一体，下包围层次感分明，两侧的通风口并非装饰而是真实的。侧面悬浮式车顶+硕大的车身极具视觉冲击力，全新轮圈样式也为新车加分不少。相比车头，尾部同样是我们熟悉的味道，流行的贯穿式尾灯点亮后效果不错，下包围更为精致的细节处理可能是唯一区别老款的设计了。总体来说，比亚迪唐EV不仅具有电动车的标签属性，同时个性时尚的设计也给大家留下了深刻的印象，据悉，新款还新增极光蓝配色，为消费者提供更多选择。

内饰：内饰风格给郝哥的第一印象就是一个词—“高级”，全系标配的15.6英寸中控大屏支持90度旋转，大幅提升了用车生活中的实用性，无论是反应速度还是画面清晰度都令人满意。车机系统搭载DiLink4.0系统和5G技术，完全可以当作是一部安卓大屏手机来使用。配置上，比亚迪唐EV依然相当豪横，而且80%的配置均为全系标配，例如主动刹车、车道保持、360度全景倒车影像、自适应巡航、遥控泊车等具备L2级别驾驶辅助系统的全套安全配置，此外还有真皮座椅、座椅加热通风、12扬声器丹拿音响等舒适豪华配置，也就是说，即使买辆27.98万的最低配也能享受近乎豪华品牌的配置。

空间：新车最大的亮点是全系标配七座版本，但花费1万元即可升级为六座版，七座版更适合家庭出行，而六座版则大幅提升了乘坐的舒适性，这里郝哥建议，如果是三口之家可首选七座版，而家里没有孩子且预算充足的可选装六座版。这里需要说明的是，这1万元选装包不仅仅是变身六座，同时还新增了前排座椅按摩、龙鳞纹NAPPA真皮座椅等等。车身尺寸方面，新车长宽高分别为4900/1950/1725毫米，轴距为2820毫米，相比老款新车长度增加了30毫米。

动力：作为一款纯电动SUV，续航里程和充电时长才是消费者最关心的话题，2022款比亚迪唐EV提供了600公里/730公里以及635公里三种续航，相比老款的505公里和565公里续航均有大幅提升，其中600公里续航版本最大功率168千瓦；峰值扭矩350牛·米，续航730公里最大功率180千瓦；峰值扭矩350牛·米，续航635公里的四驱版本还配备了双电机，最大功率380千瓦；峰值扭矩高达700牛·米，零百加速仅需4.4秒即可。在快充模式下，30分钟即可从30%充至80%，官方称充电10分钟最大续航140公里。值得一提的是，新车全系还提供了超大功率外放电功能，号称是移动电站。

导购：2022款比亚迪唐EV共在售三款车型，售价区间为27.98万~33.98万元，上期郝哥也曾介绍过由于新车诸多全系标配，因此如果只注重配置则首选最低配600公里尊享型即可。其实三款车型最大的差异为续航里程，增加130公里续航预算需要增加3万元左右，而顶配635公里四驱旗舰版虽然续航不及中配730公里，但却配备了双电机以及四驱系统，百公里加速仅需4.4秒，同时还新增了方向盘加热、自动泊车、悬架软硬调节和香氛系统等几个配置，预算却达到了近34万元，如果您预算充足且对动力要求更高则可以考虑顶配版。另外，根据店内透露，现在购车还将享受两大无忧购车政策+无忧用车保障+五大专属贵宾服务以及五大智联在线服务等等。

总结：相信通过郝哥的介绍，您对2022款比亚迪唐EV也多少有些了解了吧，希望能对那些潜在车主们提供些帮助，新车主要竞争对手将锁定为特斯拉Model Y和蔚来ES6等主流中高端纯电动SUV，那么您更看好谁呢？感谢您关注《郝车来袭》。",2022-07-16,
小号撩车,"比亚迪唐EV的定位是一台纯电动中型SUV，目前我所在的地区这款车没有任何优惠，以官方指导价31.48万元的顶配车型为例购置税不用交，保险车船税在1万元左右，最终落地价32.5万元基本上就够了。

此前我曾体验过一段时间比亚迪唐EV车型，对于优点和缺点都比较了解，下面就分享给大家。

这款车优点如下：

1、前脸采用了大嘴式进气格栅，内部辅以点阵式中网进行点缀，并没有采用纯电动车型上常见的封闭式进气格栅设计，我很喜欢这种风格，至少看起来并不算另类。下包围两侧还营造出了类似獠牙的视觉效果，很有视觉冲击力。大灯组内部采用熏黑处理，配备了矩阵式LED光源，照明效果很出色。侧面采用了悬浮式车顶造型，给人的感觉很时尚，车窗周围以及侧裙部分的镀铬条加上22英寸的轮毂也极大的提高了档次感。尾部贯穿式尾灯组辨识度非常高，尤其是点亮之后有着出色的视觉效果。

2、内饰采用了比亚迪最新的设计语言，虽然整体布局变动不大，但通过细节方面的调整极大增加了豪华感。双幅式多功能方向盘、全液晶仪表盘、电子挡把以及悬浮式中控屏极大的增加了科技感。座椅大面积使用了菱形缝线材质进行装饰，门板部分还有翻毛皮材质包裹，档次感营造的很到位。15.6英寸的中控屏不仅支持电动选装，还支持在线导航、语言识别以及手机远程互联等功能，而且还能安装丰富的第三方应用，在我体验过的中控屏中属于使用体验最出色的。

3、作为顶配车型在配置方面提供的非常丰富，辅助驾驶功能方面包括并线辅助、车道偏离预警、车道保持辅助、主动刹车、全速自适应巡航等等，一方面能够有效降低交通事故发生的概率，另一方面在长途跑高速时也能极大的分担驾驶压力。前后驻车雷达和全景影像功能在停车时也很方便，画面清晰，辅助线也非常精准。

4、座椅采用了2-3-2七座布局，我身高1米7，乘坐在第二排腿部空间最大可以接近3拳，而且中央地台完全纯平，中间位置乘客的腿部空间也有保证。适当调整第二排座椅，第二排和第三排乘客都能够获得1拳出头的腿部空间，表现并不算局促，有一定的实用性，至少第三排座椅并不是摆设。

五座布局下后备箱纵深比较出色，实测放入四个比较大的行李箱还有额外的空间放置背包等物品。第二排座椅同样支持放倒，而且地台基本上纯平，自驾游时当床用也足够。后备箱支持电动感应开启，使用很方便。

5、搭载了前后双电机，最大功率380kW，峰值扭矩680N·m，百公里加速仅需4.4秒，同级别来看非常优秀。起步加速轻快，中后段动力储备充足，即便是时速超过100km/h之后依然有出色的爆发力。动能回收力度可自行调节，最低模式下和燃油车开起来没区别，很容易上手，最高模式下能够实现单踏板策略，仅靠着动能回收就能把车辆刹停。

6、悬架的调校比较舒服，给人的感觉偏软，对于大小颠簸都有着比较好的过滤效果，虽然轮毂达到了22英寸，但车内路感并不算清晰，过减速带时冲击力也并不明显。而且方向盘的手感低速轻柔，高速沉稳，回馈力度也很线性。NVH比较好，风噪和胎噪都比较小，急加速时电机的啸叫声也不明显。

7、NEDC续航里程可达505km，春秋季节市区内代步续航基本上能够达到450公里左右，足够满足一周通勤所需。跑高速的话能接近400公里，短途自驾游什么的并没有问题。

这款车缺点如下：

1、悬架偏软，转弯时侧倾偏大，车身极限并不高，因此它的优势是直线加速能力，但操控性并不算好。

2、七座状态下后备箱空间比较好，基本上只能满足日常购物需求，放不下较大的行李箱。

3、动力续航里程衰减比较严重，开暖风的话续航只有不到300公里，和官方标称值差距比较大。

最后来说说保养成本，作为纯电动车它并不需要怎么保养，定期在售后检查三电系统即可，每两年需要更换一次刹车油，价格不到250元。

总的来说，比亚迪唐EV是一款动力强悍、空间够用、配置丰富、外形和内饰都比较出色的车型，续航方面也基本上能够满足日常通勤和短途自驾游的需求，乘坐舒适性也不差。缺点是操控性一般，并不适合激烈驾驶。如果有充电条件，想买一台加速比较快的纯电动SUV，唐EV是值得考虑的。",,
小号撩车,"唐EV定位是一款中型纯电动SUV，也是目前国内新能源车市场上销量非常出色的一款车型，竞争力比较强。

优势如下：

1、搭载了前后双电机，最大功率380kW，峰值扭矩680N·m，满电状态下百公里加速仅需4.6秒，同价位来看是非常优秀的表现。

日常驾驶时起步非常轻快，但不会感觉到窜，非常容易上手。电门踏板给人感觉比较轻，动力输出线性，市区内或者高速上超车都非常轻松。深踩电门也能有出色的推背感，尤其是踏板行程超过一半之后动力输出明显有了爆发力，开启运动模式之后加速感非常出色。

2、能量回收力度可以调节，标准该模式下回收力度比较轻，不会有拖拽感，较大模式下减速也不会很突兀，有一个类似轻踩刹车的过渡过程，不会让车内乘客感觉到不舒服。

3、NEDC续航里程为505km，春秋季节实际续航里程可以接近400km，在大部分城市都能够满足一周通勤所需，实现一周一充电。

4、充电速度比较快，实测使用国家电网充电桩44分钟左右即可将电量从30%充到80%。

5、外形大气，改款之后前脸更显精致，尾部运动感也更强，侧面悬浮式车顶造型非常时尚，

6、内饰豪华感营造到位，软质和皮革材料应用比较多，档次感对得起售价。全液晶仪表盘、悬浮式中控屏的显示效果非常细腻，搭配电子挡把带来了出色的科技感。中控屏功能丰富，除了在线导航、在线影音之外还能安装第三方App，实用性和流畅度表现都让人满意。

7、座椅采用2-3-2布局，可在5座/7座之间自由切换，而且空间实用性比较高，身高1米7的同事乘坐在第二排能有1拳半左右的腿部空间，此时第三排空间也能接近1拳，长时间乘坐不会觉得不舒服。如果是在5座布局下，第二排腿部空间能够达到2拳半左右，对于一台中型SUV来讲是符合预期的表现。

8、配置厚道，主动安全性配置和舒适性配置提供的都比较丰富，性价比表现出色。

9、悬架调校比较舒适，对于颠簸的过滤比较到位，车内乘客不会感觉到明显的冲击力。

10、新能源车，在很多城市都能够享受不限购不限号的待遇。

缺点：

1、冬季续航不足，部分车主反馈开暖气状态下冬季的里程只有200多公里，基本上打了5折，不适合长途出行。

2、悬架支撑性比较一般，刹车时车头下倾比较严重，和出色的动力有点不太匹配，所以尽管刹车成绩出色，但并不适合激烈驾驶，因为车身晃动幅度会比较大。

3、第三排坐姿偏高，乘客的头部空间比较局促，身高1米7几乎都能顶到头。

总结：

唐EV是一款直线加速能力出色的车型，但并不适合激烈驾驶，日常驾驶很轻松，超车也没压力。配置、舒适性以及颜值方面的表现让人满意，空间实用性也比较好。如果一家人市区内代步郊游的话是比较合适的选择，如果经常高长途的话它并不适合你。",,
新能源老韭菜,"7月下旬交钱，8月初提车。635km六座山灰。
帝都新能源指标，17年娃出生，想着买辆车使用，当时可选择不多，入手帝豪ev300，开的不多12000公里。

一、选车：
年想换辆suv要求续航高些600以上（家里装不了桩）安全性好些。7月开始看车，看了一些纯电suv，新势力没考虑，综合考虑家里人需求，宝马ix3感觉空间小了些；大众ix6车机问题太多、异常响动还有个鼓刹劝退；奔驰eqb260后排座椅短（家人可能坐着不舒服，前排长期空着，lp和孩子主要坐后排），考虑家人感受排除了，其实我个人喜欢这款车，和唐比都是油改电但是底盘调教和品控还是好很多的；又看了唐ev2022款，家里人都看上6座了，第三排空间也不局促（全是大汉除外），整体配置也比上述几个高，除了底盘是败笔。
最后综合考虑家人乘坐舒适性、使用智能性还是买了唐ev。


二、用车：
说下提车使用一天的感受，动力没的说，今天家人坐车刚开始还有些不适应（堵车期间启动刹车力度我还在适应），加速快超车变道很平稳，高速很稳定，过坎船感挺明显。

三、问题：
1.底盘电池离地距离小，开着suv操着轿车的心。提回来看了下护板，有个地方凸出来一块，这样离地更低了，安全性明显下降了，联系了ssss店，看下周怎么处理下。
2.今天发现大家说的后尾灯裂痕了，不是贯穿的，4处，下周去换，太隔应了刚提回来就有这问题。
3.今天试用了一下app远程开启空调，提示车解锁...我赶紧锁了车。后来回家又用了一下车，nfc解锁，钥匙在兜里，门把手微动开关锁不上车，最后app上锁的。问客服说是用过app解锁造成的，后来ssss店技术说是两种可能车钥匙被干扰或者微动开关有问题，我明天再试一次看看究竟什么问题。
4.内饰烤漆要贴膜，用了一会就有划痕，很明显。
5.没有发现车友说的车门异响，可能今天走得主要是铺装路面。
6.还没充过电，续航可能不准，下周跑一次高速（起始点400km）再来报告。

刚用车，整体感觉就是大问题还没发现，小问题不少，徒增烦恼。帝豪ev300开了4年多没出过问题。
以后用车多了再来给大家报告。",2022-08-06,北京
