字段1_文本,字段2,时间,字段3
顶级海洋1P3,"G6是我综合对比20万左右各家纯电车型以后的选择，这里不得不给小鹏的销售点个赞，热情友善，也是我最终选择G6的主要原因！
外观：g6就像一个丑蛋，主打一个丑萌，真的谈不上好看或则帅气
内饰：我选的蓝白内饰，整体素雅，但是一个容易脏，也并不是太像20万车的感觉，整体还是太素
配置：电车无法评价具体什么技术，毕竟钱到位供应链可以解决一切，而且小鹏用的电池也并不是顶级的那几个牌子
空间：后备箱够大，后排坐的也很宽裕，还是能满足大部分家庭需求
续航：我买的标续580，实际能跑470，这个470也是wltc车辆显示续航，开下来感觉基本1：1，不过这点就要批评小鹏销售，买的时候一句不提，交付的时候才告诉我！新手买车大不易
智能化：自动泊车超级好用，反正我停不进去的全靠小P，但是自动驾驶还是太野蛮，上海高架上面不安全超车，车道合并不提前减速或变道，反而加速超车变道，尤其是距离不够的时候，实在吓人，我已经不信任它了，但是车内智能化小功能还是很实用的
驾驶感受：中规中矩，车辆有些点头，底盘略硬，路面感受很明显

【提车价格】
买完就降价，狠狠的被背刺了",2024-02-19,上海
周末愉快,定车到提车，等了5天，和预期时间差不多，主要看中小鹏G6的空间和智能辅助驾驶买的，正好又碰到降价活动，这价位感觉很香了，家里一直都是开轿车，年中旬小宝宝就要出生了，想着把一辆老车换SUV吧，后备箱放婴儿车会好放些，这时间换个车正好可以散散味道。定车以后天天刷，天天心心念这小6，看APP上有考试，都提前把智能驾驶考试通过了，提车时登录后回家路上立马就能体验这智能驾驶。开了两天开了70公里，上班走的快速路有NGP超车变道都很丝滑，就有一次感觉就是红绿灯路口时会有点奇怪，感觉在向对面的车冲去，忍不住打方向托管了，感觉辅助驾驶还是得用心盯着，G6哪方面都挺满意的，底盘有点硬导致抖个人觉得能接受，其他都很满意，没后悔入G6，只后悔没再咬咬牙加2万入755的max，感觉580的续航还是低了点，470的wltc，随便跑跑就300多了。。。 智能场景是真好用！能够自己根据习惯弄些人性化的东西，很自由，而且里面有很多别人分享的人性化配置，智能化挺高的，小P语音识别也很准 外观仁者见仁，刚开始也有点看不惯屁股，现在越看越喜欢，而且有的吐槽刹车灯下面两点太小了，不弄在中间转弯灯那，我觉得这设置对后车挺合理的，现在好多车跟风弄大长条的刹车灯，排队等红灯时简直就是一片光污染，小鹏这设计我觉得应该是考虑到了这一点，挺好的。希望小鹏继续做更好吧，可别垮了，加油,2024-02-24,贵阳
高空Power,小鹏G6的外观真的是因人而异，而且实车确实比图片好看不少的那种，内饰素雅，干净简洁是我喜欢风格，配置该有的都有，比较怨念的是，如果可以加装更好的音响、女皇座位的腿托，按摩座椅就更好了。空间巨大，超能装，前排舒适，后排宽大，后排靠背还可以调节，这点真的很棒！点个赞！提车那会儿温度还挺高的，那会儿差不多可以做到1:1续航，后天冬季温度下降了，你也知道今年很冷的嘛，这台580km的版本也可以跑到320-350公里左右，有几天温度直冲20°的时候续航更是反向虚标，很给力！补能超快，超充站一般30-40分钟就完全充满了，很省心。智能方面听说是小鹏的强项，实际用下来也确实如此，绝大多数功能都可以语音直达，执行力杠杠的！智驾水平也是第一梯队，每天都用，是通勤路上的好帮手。驾驶质感自然比不上更高价位的车型，但是我已经觉得很好的。,2024-02-28,杭州
用户9274624831387,"从2023年11月29日提车到现在差不多三个月行驶了5623公里，讲评下自己的使用感受：

1. 小鹏G6的外观精美流畅，属于那种第一眼觉得不是很好看👀，但越看越喜欢的类型，内部空间也是非常宽松，2.89的轴距，坐在里面或者是后排非常宽松，尤其是后排还可以调节，非常方便。

2. 智能语音非常丰富，响应和识别准确，车机运行很流畅，提速非常快，动力响应随叫随到，超车和起步那真不在话下。

3. 配置也是比较实在的，标配即是高配，这点小鹏挺讲究的，只是副驾没有储物箱，多少有些文件资料摆放不太方便，据说是因为具备热泵空调和800V碳化硅高压充电平台而取消了，中间扶手位有个储物箱，空间相对来说还可以。

4. 驾驶操控也相当不错，尤其是智能辅助驾驶和自动泊车，还有一键泊车启动出入，在某些特定的不方便的停车环境，那是带来非常的便利的，也让驾驶变得更轻松，特别是还有个XPedal模式，也叫单踏板操作模式，那是对标ModelY的，试驾过毛豆Y，单踏板是直接可以操控停车的，G6的单踏板模式减速下来最终还会有时速1到2公里的状态，也就是说没有完全停止，但G6有个autohold模式，深踩下就停车了，踩电门又启动，对于短期内及等红绿灯时非常方便，习惯了单踏板驾驶模式，这个真是香，可以实现一个踏板加速减速的状态，日常驾驶基本上是比较不会用到刹车了。

5. 后备箱空间也大，经过了这个春节返乡大行李包箱的检测，完全够日常使用。

6. 在充电速度方面也是没得说，有借于G6有800V碳化硅高压快充，这充电速度一般电车真没得比，在小鹏充电桩二十多分钟能补电将近四百公里，在高速服务区上曾经充过半小时补了四百多公里，基本上休息一下吃点东西就够了，有很多次都是后去先走，除了回家跑个高速这个续航里程确实打折比较严重，速度越快掉的越快，这个跑长途走高速得计划好中途补电，这是所有电车存在的通常现象，日常工作生活行驶这续航里程是没问题的，续航基本上基本上是比较真实的。

7. 另外有个小插曲不知道其他的鸡柳车主有没有遇到，就是在不平的氺泥路上低速行驶，会有耳鸣现象，但耳鸣程度尚能接受，速度上来了以及行驶在柏油路面又没有这情况，不清楚是轮胎还是胎压的问题，同4S店反应过说要现场了解下看。

8. 小鹏4S店售前售后服务也是非常棒，我是在东莞市高埗镇小鹏销售服务中心下单的，从下单到提车上保险验车上牌及保养售后服务，全程各环节均有不同的团队提供优良的服务和协助，且基本上都是在手机上电子化操作，这种体验感受非常棒。

9. 在选择小鹏G6前，说实话一直是对ModelY情有独钟，后续看到G6横空出世，计算下性价比，再结合下家人对特斯拉的不良印响及反对，最终还是选择了G6了，事实证明也是个不错的选择。
春节开回老家这回头率还是挺高的，亲朋好友也有围观点赞👍的。

我是从油车过来的，现在用着小鹏赠送的权益免费充着电，以及在个别第三方充电桩充满电才二十来块钱，比起加油几百块简直是爽歪歪了，象大家说的，开过电车，这油车真是回不去了。

整体来说还是不错的，愿小鹏汽车越来越好，加油！",2024-03-04,东莞
duel168,"【购车经历】自去年10月去给油车做保养的时候，试驾了一下电车过后，对电车的平顺性和智能感受念念不忘，随即开始试车，由于目标比较明确，1.纯电SUV 2.一定要智驾 3.智能化能力要够用，4.车内空间一定要足 5.价位20W附近。经过小半年的挑车、看车过后，随即把目标锁定在问界M5、智己LS6、小鹏G6中间，正好看到零跑C10的发布会，看到C10的外形也比较符合我这种大叔的审美，也下了预订。其实在所有的目标中，小鹏G6是最不会选择的一款，原因很简单，这个外形太丑了，前脸看过去，那个不明所以的中间打断的灯带，侧面看起来后部的驼背，背面那些弯弯绕绕的曲线，只能评价一个字“丑”。由于问界M5的价格有点高攀不起，零跑C10的那个智驾直播看的让人蛋疼，故原计划年后直接买LS6的最低配的，年前看到二手车市场有个5000多公里的755MAX价格非常合适，而且车身颜色和内饰都是看上去最顺眼的一款，原来的老油车正好2月底保险啥的都到期了，联系车商以后当天就把油车给置换给他，换了现在这辆小鹏G6-755MAX回家。

【驾驶感受】春节期间将爱人和孩子送出去旅游过后，一人在家无事，便想着开车出去旅游，每天围绕着江苏，苏南-苏北的跑，顺便也是把智驾功能好好的体验一下，体验过后完全是被震撼到了，严格来说我并不是一个喜欢开车的人，车对我来说就是个上下班的代步工具及社交工具而已。原来买车也是因为同事、朋友都买了，自己也需要一辆满足面子需求而已，其实上下班也不过8公里的路程，虽说平时也有开出去旅游的心愿，最近这几年油价上涨以后，算算成本其实跨市旅行还真不如高铁、飞机来的舒服。这次春节期间趁着高速免费，一个人狂薅羊毛，每天都是一大早出发，无锡-南通-泰州-扬州-沭阳-宿迁-淮安-常州-无锡，绕着江苏跑了个遍，基本都是每天换个地方感受下当地的特色为主，一个人随心所欲的旅行，几天时间也跑了2700多公里，关键大部分都是智驾为主，一点都不累。这小鹏G6最让我满意的也是这个智驾功能，能大大减少驾驶过程中的劳累感。

【乘坐体验】G6的空间可以说是内有乾坤，经过几天的使用，座椅的舒适度还是比较满意的，最满意的其实是前面座椅可以放平，初5晚上赶去“启东圆陀角”准备看日出，晚上12点到的，就直接在海边将前排座椅放平凑合了几个小时，早上精神满满的去了海边，节省了房费。

【续航】实测续航，可以看图2，途中的旅程基本全程高速，NGP定速130，框中的小600公里全部跑下来，回无锡还显示有100的剩余续航，感觉电车完全没必要有续航焦虑。这次的环江苏之旅下来，试过多个充电站，我的这款G6还是比较给力的，基本充电桩都能跑满，一般来说。20%-90%都是40分钟充满，最多1个小时，也能充满99%了。

【最不满意】车身外观太差，座椅少个按摩功能，少个零重力座椅的选配。隔音比较差，车舱内饰有异响存在，主要集中在安全带扣会有概率出现咔咔的声音，高速行驶下左侧A柱会有细碎的沙沙声，底盘位置也会有细碎的声音出来。论坛上反应的漏风问题是真实存在的，只是苏南毕竟温度较高，达不到冻腿的程度，高速路程中可以明显感到，左腿有凉风吹过。",2024-02-19,
敏锐风声0b7,·?购车background： 九月底打算结婚，想把手里11w公里的高尔夫换掉，看了一圈后，暂定Model3，别克e5，大众id4，根据就没注意到29号发布的G6，实际试驾了几个期望车型后，最喜欢m3，驾驶质感，车机反馈（AMD太流畅了，可惜导航垃圾）。 ·?初识六子： 再下定m3前一天，看到关注的一个汽车博主提了G6，才注意到这个车，然后恶补了800v & XNGP知识，才发现现在新势力进步好快啊，不再是几年前的电动三傻了，实际试驾下来，虽然质感没有m3和高尔夫好，但是也是能接受（油门和方向盘调为运动模式），而且空间大好多，车机交互yyds，高尔夫还在手指捅捅捅捅…. ·?六子家族选谁呢： 最心水的是580max，7月中旬销售说要等三个月！三个月？！…太夸张了，为了赶上婚礼，退而求其次，选择了580p，不着急用车的xdm无脑max吧，惊喜更多 ·?提车两周心得： 油门刹车方向盘调到运动模式，驾驶质感还可以，pro的ngp真滴好用，max估计更棒，nvh效果还可以的，充电快充40分钟充满，目前充了两次??车机交互是让我最吃惊的，连续指令识别几乎没延迟? ·?缺点！ 为什么没有手套箱？！why？ 没有就没有吧，扶手箱分格层也没有，成本也就10元吧？ 整车储物空间太少了！后窗视野差，建议增加流媒体版本。,2023-08-31,上海
开着拖拉机拖垃圾,"提车半个月开了 1000 公里，G6 车主真实感受，可以给各位有兴趣的提供参考。
首先选车上，根据我个人需求：没有充电桩，日常城市通勤 20km，偶尔回趟老家 300km 路程，周末会去郊区玩玩，对智能驾驶要求高速高架能车道保持省心省力就够了，轮毂 18 寸除了丑没啥问题。最后选了 755pro，还有五千选装基金留着充电。自己花了两小时上牌，上牌费 600 也省了。纠结选择的先考虑自己的实际需求再做选择，别被推销啥的创造需求。
 电耗:确实低，动能回收中，完全不省着开，城市平均 12，36°C 热天高速顶着 120 码开平均 15，充满 wltp 续航 620 km 左右，正常冲 90%差不多 553km。
内饰:太简陋，没有抬头显和按摩扣两分。
空间:车内空间我觉得够大，不过没有手套箱。
内饰空间自己去体验看一下就完事了，没必要太多介绍。
pro 智驾:网上体验 pro 的不多，我回了趟老家来回 600km，高速高架以及城市隧道三个地方可以用 ngp，变道超车（后面有车跟着变道就特别慢），高速堵车跟车也不错（跟车距离调最小档还有两车位距离），总之不赶时间的可以省心省力，一趟 300km 一点不累 ，pro 能做到这点就够了，之前开油车纯人力怎么着都要去服务区休息一下。
有个问题，ngp 超车时候始终保持车道居中，右侧车如果偏左一些，会贴得很近，不会适当向左偏一点。尤其有大货车时候都要自己接管一下，离得太近压迫感太强了，这点车友群里 max 车主也反应一样，希望改进。",2023-08-16,杭州
纳什接班人拉石,下单情况：七月份下定580pro，后为了常州补贴选择常州提车，当时销售说是八月底提车，等到八月中旬还没消息，于是主动问销售，说会有交付人员联系我，但是一直没人联系，于是打400，说5天内联系我，等了一周还没人联系，于是又问销售，说等常州拉群，打给常州店客服说等销售拉群，就是来回拉扯，最终销售拉群，搞笑的来了，销售群里@交付专员，一天没回信息，没在群里说一句话。我第二天又在app上联系人工客服反映情况，中午交付就给我打电话了，说车已到店，现在可以来提车。我就问交付，为什么不回信息，他说群里拉错人了，可是后面群里说话的就是他；我问不是说提前通知提车我好准备材料车款，他说太忙了……反正这一点体验很不好。 提车情况：跟交付对接了之后决定第二天去提车，一早高铁过去，到店验车，发现：1、车窗玻璃日期都不一样，是都不一样，但是日期都是车子之前，问了说是正常的，批次问题；2、后备箱左侧缝隙略大，也说是正常。也没太纠结，就办手续交钱了，保险被宰了一刀，7000，说我评分太高过不了要加险种额度啥的，当时急着走就没比价，煞笔了我。然后上牌交了600上牌费，到车管所中介带办，两天车牌寄到家。 使用情况：提车当天基本满电跑了370公里，包括330公里高速，电耗16左右，速度115左右，开的舒适，动能回收最低，到家还有13%的电，感觉够用的，路上开了lcc挺好用的。城市使用低速感觉底盘细微震动，换句话说路感比较清晰，开的车不多不好比较，高速感觉还挺稳的。 总结：目前开了近500公里，感觉比较满意；销售还行，交付不行。,2023-08-27,常州
用户8086359711923,"我是一个新手司机，因为换工作通勤时间变长，不得不考虑学车买车，具体是今年5月底拿的驾照。刚开始关注了比亚迪的元plus、大众ID4，元说实话开起来有点飘，质感不得行，内饰也接受不了，遂作罢。大众ID4被淘汰是因为极度不愉快的购买过程，好早6、7月份没买哦，不然真的大冤种了……最后是选的迷糊了，干脆选热门的小鹏G6吧，预算up、up。

驾驶感受：截至今天已经开了半个月左右，跑了800多公里，作为一个新手，不得不说最好的体验就是这个车的360系统和透明底盘，准确便捷，倒车入库信手拈来。压线提醒、SR实时显示前后左右距离之类的功能什么的也很到位，让我开起来不再害怕！——对不起新手就是那么的浅薄。自动驾驶销售建议我先自己开熟了再用，所以目前暂未体验。

续航能力：我上班单程是40KM，有一段15KM的路可以跑上90（同时也是这段路，速度快起来车抖的有点凶，这点真得批评一下），实际上跑下来续航只掉了35KM，这点还是比较满意。平时是在公司充的慢充，还没有去感受过800V快充的速度。

颜值评价：外观选的灰色，耐脏，越看越习惯，算是低调质朴的款式。内饰是蓝白，建议还是加垫子，不然真的容易包浆。

总的来说，买这个车到现在没有后悔。希望我的用车旅途平平安安，小灰车多陪伴几年！",2023-11-04,重庆
Galaxty,外观就不多说了，喜欢的喜欢，不喜欢的完全不想看一眼，但是多看了也会看习惯。 【购车经历】 7月去看车的时候，销售基本不会搭理你，只有你去询问才会和你说上几句，等十月再去看的时候销售就变得很热情了，也不知道是不是整顿过了。问了价格，真的很符合我这种要买车又没多少钱的年轻人，高速ngp，接下来的xngp，真的很吸引人，配置合理，两个激光雷达，感觉是下了本钱的，对于期外貌，哈哈，也就忽略了。试驾后马上决定订车，ps充电桩双十一优惠力度太大，买早了血亏简！车到的那天中午给我打电话，我问我啥时候有空，我说现在可不可以，他问了下交付，有时间就马上安排我提车了，美滋滋，第一时间拿到了车！由于交付临时安排，也就没有弄交车仪式，小鹏的熊真的很好看，好想要一个，不过只有盲定用户才有的样子，难受。 【最不满意】 充电桩降价太凶，我们等了3个月支持小鹏，交车仪式就算了，结果充电桩降价了，小熊也没送，唉！对了，车友群有的鹏有收到了中秋月饼，嫉妒到变形！,2023-11-03,宁波
