字段1_文本,字段2,时间,字段3
移山灬,"新摩卡提车两周及500公里之初体验
     自7月10日提车到今日已有两周，从最开始小心翼翼到现在的渐入佳境。整体就用几个二字词语来概括：轻快、智能、静谧、扎实、实用、省油。
轻快充沛的动力 
     新摩卡是一台插混车，纯电续航175公里，日常驾驶用电即可，电门响应速度很快，没有延迟，超车简直是小菜一碟，经常感觉还没怎么踩油门速度就已经80+了。有一次电用完了试了试油驱动，动力依然充沛，而且油电之前的切换没有顿挫感，不仔细注意基本没感觉切换了。支持三种动力模式和四种驾驶模式切换，提供更多驾驶体验。总而言之，新摩卡的这套1.5T+电机+两档变速的动力系统，不会让人对动力有任何不满意！
智能便捷的系统 
     新摩卡的车机系统和一系列安全配置都非常的智能便捷。车机采用长城自研coffee OS2系统，通过一句十指令，可实现对车辆的一个便捷设置。诸如玻璃升降、音乐播放、座椅调节、氛围灯、导航、空调等等，均可通过语音控制。安全配置上也很智能，全速自适应巡航可以自由设定跟车距离。主动刹车也能在关键时刻守护安全，刚提车那天在路边倒车，没注意一辆电瓶车在后面横向穿过，车子感应到自动刹停，避免了我的新车被开光。。。
静谧舒适的乘坐体验
     全车双层隔音，搭配主副主动降噪。使整个车的隔音效果达到跨级别的存在，车玻璃关闭的一瞬间感觉最为明显。座椅宽大柔软，包裹性很好，前排主副座椅都带有通风和按摩功能，在舒适性上吊打同级别任何品牌的车。空气净化器能够时刻保持车内空气的清爽。晚上开车，在车里抽根烟，空气指数直接爆表，空气净化器自动开启，熄了烟后没多久指数就下来了，问了问后上车的家里人，都没闻到车里的烟味。不得不说，空气净化的效果和效率都是不错的。
扎实稳定的地盘
     底盘这块我不懂，只能说说我的实际体验感受和其他车型的对比。在试驾摩卡之前我去试驾了唐，平路感觉还不错，到了颠簸路段直接像开船一样，我一个驾驶员都有点晕车的感觉，也是因为这一点唐被直接pass掉了。而摩卡完全没有这个感觉，比唐还要大一点的车身结结实实的，地盘感觉是一个整体不松散。急停急刹整个车身姿态都很整体很稳，这里就体现出长城在SUV领域的技术含量了。下面这张图片不是对某迪的恶意，哈哈。
实用丰富的车内空间
     必经这车的尺寸和轴距在哪放着呢，不管是前排还是后排以及后备箱，空间都非常富裕。标标准准的大五座SUV。前排的储物空间很多，扶手箱，手套箱，中控下也有空间，杯架无线充等等，绝对满足日常使用。这里要特别说一下后排，很多五座车后排空间看着大实际上是牺牲了后排座椅长度，看着大坐着很不舒服。但摩卡没有这种情况，后排座椅长度很长，对腿部的支撑很到位，腿部空间也很足。靠背也支持两档调节，进一步后排提升乘坐感受。家庭用车后排舒服才是真的舒服！
经济省油的能耗控制
     因为摩卡的纯电里程达到了175公里，基本上市区和周边城市之间的往来都是以纯电为主。我这500公里就提车时加了200块油，现在可能还有180块的油？基本没用过。插混车，用一滴油都感觉是罪过，哈哈！现在装了充电桩，每度电4毛4，充满只需15块，可以跑175公里，每公里还不到1毛。。。再加上买车时送的终身保养，这养车成本还有啥说的。
说完了优点，再说几个不满意的地方。就比如上电之后总有鞥鞥的声音，4S说是电池管理系统的声音，这个是否可以在后期的系统升级中解决？还有车机应用有点少，可以尝试开源，激发一下车友的开发能力；还有待开发一个哨兵模式，毕竟硬件都能满足，只是软件的问题。别的暂时还没有什么不满意的。
     到目前为止，500公里基本都是我开的，我媳妇开过两次，怀档上手很快，她说这车在外边看着大，实际开着又很轻松。这我想就是一个优秀车企的造车能力吧。",2023-07-22,许昌
齐德隆东强灬,"车开起来质感很不错。之前开的是老款奥迪，地盘动力开起来不逊于油车的质感，续航比较准，175的市区一点不虚，高速的话混动模式只要踩油门动力源源不断，另外吐槽智能驾驶在高速上容易犯困反而用的不怎么多，高速还是依赖自己吧
      缺点：送的东西太少，慢充充电枪没有配备，车牌费也没有省，不过我购车在等着抢当地的消费券
【购车经历】
       开始是一心痴迷于油车，最相中的是沃尔沃 xc 60，关注小半年价格非常坚挺而且隔音确实不咋滴，也试驾了别克昂科威 plus ，车挺霸气颜值也可以，不过对象想看看新能源后期用车成本也低一点，随后就去试了比亚迪护卫舰和唐，很不错就是内饰没相中，基本就要订车了摩卡来了，一眼就相中了它的外观，内饰说不上高级但是比较简约，同等价位续航也高，买车是看自己需要不用特别关注销量榜，再加上家里的领导也非常满意，所以就订车加购车转了当地 4 家 4s店，最后选择了有政府优惠券的店，2 个小时搞定了，
【最不满意】
车机！！有好几次忍不住骂起来小 wey 同学，识别不出来语音内容，完成语音任务后不会自动退出，希望赶快升级吧，8155 的饮片做成这个样子也是无语
最后，我选择的是银外黑内，蓝黑是我最初的选择，后来还是觉得黑色内饰干净好看，现在每次停完车都忍不住回头看两眼我的摩卡并在心中默念：真 tma 的帅🤩",2023-07-09,郑州
新摩卡开着舒服,"从vv7时就开始关注魏牌的车了，对它的外观和精致内饰吸引，了解更多后，因为他的安全性，就更加认可了，奈何老款价格高，销量低。今年换车，先后试驾了别克e5，比亚迪唐dmi，汉dmi，小鹏p7，根据试驾感受，悬架原因pass比亚迪，新势力都是代工，还是有点不放心买，就下定别克e5，等车过程中突然发现新款摩卡phev上市，外观、内饰、价格都美丽，瞬间心动，因为e5的续航始终是块心病，还是决定改订新摩卡phev。
        6月7号提车到今天，开了一周了，里程500公里左右，都是城市路和高架路，还没上高速。详细说一下感受:漓江蓝外观漂亮，阳光下效果更好，黑棕内饰大气耐脏，静音非常好；底盘很整，悬架软硬适中；空间大，座椅舒服，家人乘坐很满意；自适应巡航很好用，可以跟停再起步，拥堵路段很适用；智能辅助驾驶在高架路上使用了一次，第一次用有点提心吊胆，但感受还不错，前面有车插队能及时刹车，自动变道的反应和及时性还有提高空间；音响效果好，音量大一点才能出来效果；车内储物空间大，好评，后备箱因为溜背，没那么大，但是足够用了；有电时提速轻快，没电时提速稍微差一点，但是家用已足够快了，提速这东西够用就好，5秒内破百的那种，家用真不需要那么大动力，头晕；电耗和油耗和官方宣传的差不多，比较真实，这个和驾驶习惯关系很大。
        开了7天，唯一不太满意的，就是车机反应有点慢，开机也有点慢，没有死机蓝屏等现象，就是慢了一点，希望后期厂家能尽快升级。",2023-06-14,济南
哈里花花,购车需求：第一辆车由于事故被保险定了全损，正好换个新能源车型感受一下。由于第一个车报废，这次打算选个没有里程焦虑的插混。本来去试驾蓝山，到店发现实车真的比网上看的大很多。考虑到6座也不是刚需，就试驾了摩卡。新摩卡在驾驶质感，底盘滤震，空间等方面确实做的很棒，不论纯电续航还是汽车的用料都对得起20w的价格。和媳妇商量后选择了中网不太明显的深空黑，内饰选择了灰蓝内饰（比较坑的是提车后灰蓝内饰阉割掉了蓝色边条，觉得这个有点不应该，那算是灰蓝内饰的亮点啊，缝线有没有都不纠结，这个去掉太不应该），深空黑虽然很好看但是是真的不耐脏，准备去贴个车衣。 提车价格：99权益5000减8000，大客户优惠3000。保险4900，除了脚垫、膜、一些不值钱的户外小椅子，其他什么没送。 第一次开新能源车，还没什么太深入的感受。后面慢慢体会。吐槽一点，车机是真的拉胯。,2023-07-18,临汾
凌晨三点1122,昨天刚提的车才跑了一百多公里，目前还没有太深入了解过一些详细参数，总体来说外管满意，五月底我去试驾的是一辆银色车子，天水蓝没有实车，那天跟老婆只看了下图片就直接选择盲订了，直到车子回来才算第一次见到实车，天水蓝这个配色很漂亮很适合二十多岁的年轻人，内饰不用说非常满意，感觉不输50万级的合资车，尤其是后排座椅很柔软坐上去十分舒适，整车质感非常好，实测车内甲醛含量很低，说明用料挺好的，底盘也看过了十分工整，粗壮的铝合金摆臂给人满满的安全感，动力表现非常出色，总是不知不觉就到八九十了，有主动降噪的加持行驶中隔音效果也OK，能耗跟我预期有一点点出入，驻车空调的话电量下去的蛮快的，在接受范围吧，34度的大电池包满电在车内休息两三晚应该没问题，槽点是感觉空间不大够用，这个类型的SUV因为溜背造型所以头部空间表现不会太好，本人一米八五身高体重185斤算块头比较大了，前后排都是完全够用的，所以高度还好，但新摩卡长宽参数大于坦克300，实际内部空间表现却低于坦克，如果有太多的行李物品空间表现就很一般，不过人无完人车无完车，23左右这个价格还是很划算的，我是23.4左右落地，加上绿牌免购置税，性价比就很高,2023-06-24,厦门
劲久999,1、价格。价格很香，性价比非常不错，看得出来魏牌想要破釜沉舟背水一战。4S不收服务费，不强制保险，心里舒坦多了。 2、外观。外观简约现代，和理想的风格很像。 3、内饰用料十足，设计合理，座椅舒服，音响给力，车机欠流畅，空调屏幕不实用，不如换成蓝山同款。摩卡因为用了遛背，尺寸上除了车高全面胜出！不足是后排地台不是纯平，大概凸起3cm！ 4、底盘扎实，良心铝合金，长城这么多年SUV经验完全可以放心。 5、电池175公里满足大部分用车场景，三元锂电对北方车友更友好。 6、智能驾驶国内算第一梯队，灵敏高效。 7、电机数据中规中矩，相比dmi长城更倾向电机发动机均衡配置。 8、刹车制动信心十足，通风盘式值得信赖。,2023-06-30,哈尔滨
sun1岁,自己看中的车只要买了不后悔就行，我自己想看的车就是插电混动，看了很多一开始的预算是18左右就行了，但是新摩卡出来发布价格我以为会21左右，但是看了很车各方面配置去参考的，最后六一之前买了99权益，本来打算在扬州买车的，但是扬州这边4儿子店一直在装修，一直没办法买，最后看了周边的城市，南京那边的销售一直在联系很热情，后来直接就大定了，而且当时南京那边有政府补贴，五六天车就到了，我也就23岁，看中漓江蓝外观和棕色内饰，我个人觉着棕色内饰并不老气，我朋友买的现代的车我哥买的车内饰都是棕色，感觉很大气，本来想着选黑色内饰的，但是去4儿子店看了实车，一眼就看中漓江蓝外和棕色内饰，好大气，虽然魏的车很容易成绝版车，但是并不会影响驾驶，我同事一辆油摩卡和插电玛奇朵，我也试了他们的车，最初想买拿铁的落地也就二十左右，但是新摩卡出的太及时没办法，最后和家里人商量提了我的摩卡，当天就上牌了，哈哈哈，我已经开了几天，驾驶感受不输同价位的车，不管它以后降不降价，还是那句话早买早享受，车子很好开。缺点就是太大了人生中第一辆车就买那么大的还是有点担心开不好的，实际还是很好开的，车机我没太大要求，反正也就导航听歌了，应用越少反而用的时间更久，就像手机一样，下载那么多软件两三年就换手机，祝大家爱自己所爱的车，早日提车，魏加油，大家加油，自己也要再努力，加油加油加油。,2023-07-05,南京
敏图,换车过程:20年第一台车是哈弗F7，2.0T的，到今年八月整整三年，行驶六万多公里，每天上班来回要50公里起步，每公里要一块钱的油，加上现在油费只涨不跌，4月份考虑着要换一辆混动车，纯电不会考虑，刚好没过多久网上看到新摩卡的消息，一直开的哈弗也没出现过问题，所以长城的高端的wey也是很相信的，前后对比了新摩卡、蓝山、理想L8、唐、宋plusdmi、护卫舰、星越L等好几款！ 换车时间:8.4号提车，第三天就上了高速，杭州到苏州参加婚礼！来回300+的高速！ 空间:空间很满意，无论是前排还是后排，空间都非常的大，之前网上看到的说后备箱很小，但是自己用下来这么久，感觉也不小的，上一辆车的东西也都完全放得下 操控:操控也是不错的，地盘非常稳，变道超车和上下匝道，车身倾斜感比较小，非常有信心！ 智能化:自动驾驶方面也体验好多次了，很灵敏，主动刹车，遇到大车主动避让都能做出来，平时开车要喝水，直接开启自动驾驶，就能很放心的去喝水！车机反应对我来说够用，也不会很慢，反应也是灵敏的，虽然不是秒反应，但也不会卡！ 配置:因为下订单是7月份，所以全车配的是纳帕座椅，主副驾都有座椅通风，腰部按摩，音响也是非常喜欢的一点！ 续航:目前开了大概一个半月，行驶了3000km+的里程，满油满电是能跑到1000㎞的，纯电的续航也是实打实的，175km只多不少，有时间电量低，开启保电，发动机多余动能还能给电池包充电！ 车子是越开越舒服！虽然不是四驱，但是两驱我觉得已经够用了！,2023-09-19,杭州
腿真粗,我是在今年3月份就开始看车准备换车了，看了BYD唐，雪佛兰开拓者，还有本田的艾力绅，还有魏派的坦克，购车目的是家里生了小宝宝，想买车给她提供一个相对宽松的驾乘环境以及一定要省油，新能源最好，看了几个月车，一只在懂车帝上面刷贴子，对比各种利弊，途中经历了3.15水军事件，对很多帖子的用心产生了怀疑，所以看什么车都觉得是水军写的，因为一直有车开，所以拖到了6月份，一开始是没关注摩卡的，去试驾了BYD，车是好车，但是内饰真的是喜欢不起来（媳妇儿也不喜欢）果断pass掉，然后又看到雪佛兰的开拓者优惠也多，就在网上看配置，结果看到加95＃号油，本人上班族，着实觉得不踏实，pass。最后又觉得看看本田的艾力绅，无奈预算不足，尽管现在已经降了很多但是下完户也要将近30W，所以pass，最后看了坦克，觉得油耗较高pass掉了，这么长时间的观望，时间已经到了6.1又在网上看了几天看到新摩卡的帖子，觉得颜值不错，又在APP上面看了内饰以及优惠政策，觉得带老婆去4S店看看，到了4S店以后，看了蓝山和摩卡，蓝山很想但是超预算，摩卡的各方面我和老婆看了都很喜欢，尤其内饰，但是我之前没有99权益，想着还得多花5000选真皮，觉得好亏，跟销售沟通后结果销售说帮我争取一个99权益，顿时觉得很满意，心情好了真的是哪哪都好，后来一切就顺利了，记得当天是周六，等到周一销售给我把99权益转过来后，转了大定，选了雾凇银外，黑内。订完后销售说大概一周可以到，不知道为啥，我们这里这么快，网上看到其他地方都是半个月往上，大概是我们这里订单少的原因？有没有懂的大哥帮忙解释一下。车在路上走了4天就到了，速度不慢，没等太久，激动的心颤抖的手，车上午到，中午他们休息让我下午2点半接车，我2点就去了，嘿嘿。去了以后把旧车置换（旧车给了折价9000，还不错），补贴5000，公务员补贴3000，还有市里的补贴2000（这个是之后打卡里），最后提车20.6。销售帮我跑手续很快就办完了，给长城的销售点个赞。提车经历分享完毕，之后还会有其他分享，谢谢。,2023-06-19,鄂尔多斯
一只海棠压梨花ld,"本来想等四驱摩卡的，6月底看小定权益要过期了，就大定了😂，现在想其实有点后悔
【最不满意】
后排遮阳帘取消
流媒体后视镜不能单独选装
【购车经历】
第一台车是本田思域，开了5年，车没有什么问题，就是配置比较低，安全性比较差
其实去年就有换车的想法，去年6月无意间在网上看到摩卡这款车，被摩卡外观给惊艳到了，到网上查了很多相关信息，也去店里试驾了（当时试驾的是油摩卡四驱的），后面听说摩卡要停产油摩卡，所以也就没卖，直到今年新摩卡出来，就直接小定了，本来想等四驱的，但不知道要多久，本着早买早享受的想法，就直接定了两驱的😂

【提车价格】
车价加保险落地23.3左右，就5000抵8000，送了一些小东西，充电桩没要减了1000

【驾驶感受】
提取很快，没有油车的那种顿挫感（之前开我的思域，起步急加速顿挫感明显😂）
隔音效果好（当然也有可能是我没来过什么好车
，是对比我之前开的思域）
空调非常制冷，提车当天开回家，开最小都感觉好冷
其他驾驶感受，等开一段时间再来给大家分享了


【油耗】
提车开回家，开了大概160公里高速，开的混动模式，显示综合油耗5.6，可能是刚开始纯电模式开了一段路，电耗没注意看
【续航】
提车回来开了3天了，昨天晚上冲了第二次电（提车当天销售给车充满电了），续航175应该是问题不大的
【乘坐体验】
提车回来暂时只有我一个开，后续给大家分享后排座位体验
【最满意】
1.外观比较满意
2.车好开
【销售态度】
整体购车服务满意",2023-07-15,贵阳
