字段1_文本,字段2,时间,字段3
洒脱橘子lIX,这车外观之前官方有碰瓷卡宴的，说实在话现在车圈抄袭已经不是秘密了，所以虽然外观还可以，颜色也是我喜欢的，但是我确实还是更喜欢原创。 动力方面我的评价是很充足又平顺。 空间方面肯定满分，不管坐着还躺着怎么都是舒服，包括前备箱和后备箱空间也都喜欢。座椅舒适，全车Nappe真皮，冬天有座椅加热，夏天有通风。还有小桌板，脚蹬，腿托，前排的按摩很舒服，遮阳帘这些加分项。 续航折扣有点厉害，好在800V充电速度快，一般20几分钟充到90%，最重要是有终身免费充电，一般够用了。家里还会送个充电桩，不够家里用用也方便，价格不贵。 车机流畅度还可以，高速辅助驾驶也蛮灵活，底盘也还行。 这车还有个置换补贴和三年15万免息的政策也是大爱。,2024-03-12,宁波
大睡虫66,"去年新车刚上市就购车，目前跑了5000多公里，当时主要对比了特斯拉、智已、小鹏、非凡几个品牌的SUV，现在买车4个月了，依然感觉不亏。随车带三电终身质保、整车终身质保、终身每年送2200度电、送家充桩，感觉用车保障这块厂家给的很足。
说下4个月用车下来最满意的地方：
1. 驾驶体验好。车子好上手，刹车不点头。总体感受就是越级的驾驶感受。加速、高速动力都很好，车子灵活不笨重。
2. 空间大，无论乘坐还是载物空间，优于其它溜背SUV车型。头部空间极充裕，后排腿部空间和垂直高度都很赞。车内座椅布局灵活。
3. 超赞的仪表屏，尺寸合适，车辆状态、导航信息、娱乐信息都能清晰地显示在这块仪表屏上，看信息视线不离路面。省去了抬头显示，留给你仪表屏后一块干干净净的前风挡。
4. 全景天窗带电动遮阳帘
5. 后排带小桌板

再说下不足：
1. 缺少一些实用配置，比如方向盘加热、内置行车记录仪、流媒体后视镜等。
2. 车机缺少腾讯会议、钉钉、微信、滴滴这类实用应用。

其它方面，内饰我选的黑内，黑内很有层次。外观总结就是优雅大气，因为车高，停车场一排车里很显眼。厂家OTA也比较积极，已经升级的3次，每次都有亮点。NDA版本带高速辅助驾驶和自动泊车，对车主来说，钱花了贵在真能用的起来。我每天燕郊北京两地往返通勤，走的高速、环路都可以辅助驾驶，用过一段之后现在比较放心，经常使用。",2024-03-13,北京
直爽蛋糕Sfu,"【最满意】
1. 数字钥匙很方便，提车后实体钥匙就放家里了。平时主要家里两个人用车，车主在APP上授权他人智能车控和数字钥匙即可，开车锁车非常灵敏；
2. 座舱乘坐空间、行李箱空间很大；
3. 隔音效果不错，双层夹胶玻璃，时速80KM以下非常安静；
4. 全系标配了电动遮阳帘，避免了炎夏被烈日暴晒；

【最不满意】
1. 目前车机APP应用不够丰富；
2. 没有内置的行车记录仪，无哨兵模式；
3. 车机剩余里程显示不准确；

【购车经历】
试驾了小鹏G6、特斯拉Model Y，综合对比后选定了昊铂HT 670 后驱特高压版，直接盲订下单，23年11月15日下定2000元，享3000元预售现金权益，赠送12000豪华尊享套装（Nappa真皮座椅+前排10点SPA级按摩+后排座椅加热）。经过1个月时间的漫长等待，最后于12月22日提车。

【驾驶感受】
油门反应灵敏，加速推背感强。每次排头位等红灯后都能享受到快人一步、马路唯我独尊、远远从后视镜观看其他同行者追赶的感觉。路感反馈清晰，悬架调教偏软，高速舒适，低速过减速带有点儿摇晃。
本人习惯动能回收拉满，不过感觉厂家设置的还是偏保守了，需要提前预判及时刹车介入。
方向盘很轻，指向非常灵敏，操控性不错。5.6米的转弯半径，窄路掉头感觉很棒。

【乘坐体验】
头部空间、腿部空间超大，不过尚未有体型特别大的朋友乘坐，以后有机会再补充相关体验。小桌板、腿托用的较少，后续车型如能改成选配最好。

座椅软硬度适中，比较舒适。座椅按摩力度比较柔和，适合小憩时使用。车身地盘较高，进入座舱时门槛位置比较容易弄脏。

【能耗&续航】
城市坐标广州，使用标准模式，充到90%，仪表显示续航605公里。平时主要用车场景为市区郊区上下班通勤，每日里程80公里左右，以城市快速路（时速90公里每小时）和市区道路（有多处红绿灯，时速平均20公里每小时以下）为主，表显电耗百公里为12-14度。经过3000公里手工统计里程及充电电量计算，实际电耗为每百公里15.5度左右（12月-2月，冬季）。按照满电80度，续航里程为516公里，对比标称的670公里续航达成率约为77%。夏季续航及电耗待测试。

【提车价格】
除了预售权益外，还在24年1月获赠了价值20000的免费充电权益。最终提车价格226 900.",2024-03-11,
用户821748211925,第一次买电车，现在家里的油车基本都处于丢在那里吃灰，偶尔特意开一圈去溜达一下阶段，动力响应很快，随叫随到，指向精准，人车合一，在高速和跑山的时候超车那是真的爽！反而在城里开车的时候我不会太过激进，因为我不喜欢踩刹车，一般都是用油门控制车速，所以不喜欢跟车太近，这样我就要踩刹车，就会点头，从乘坐体验上就感觉自己是一个不合格的司机，我开车讲究的是又快又平稳，特别忌讳大脚油门大脚刹车，开得一耸一耸的！电车的油门感觉行程很短，脚法要求更加精准，只能微调，已经爱上了节能模式，高速上我基本不用踩刹车，最低在高速上电耗跑到了10当然这是因为全程下坡的原因，大部分时间在高速上顶着超速限制开电耗在18的样子，缺点就是高速掉电太快了，续航基本打六折！,2024-02-24,上海
无双船帆aT,2023年5月北京新能源指标下来了，开始选车之旅，预算在20万左右，看了7个月的车，包括宋pev、深蓝S7、零跑C11，都不太满意，11月左右出了飞凡R7与智己ls6、昊铂ht，三款车都很心动，经过综合比较，最终选择了昊铂ht 670特高压版，目前已开一个多月，1700多公里，现将这段时间驾驶体验与大家分享。 外观:这款车属于比较耐看的，自从买了车，街坊邻居都赞不绝口，外观很大气，适合全年龄段。 内饰:用料比较实在，能用手摸到的地方全是皮质，车开两天基本就没啥味道了，很赞，座椅是纳帕真皮座椅、中控屏不大不小足够用，主驾前显示屏可以代替hud，很好用，希望以后再持续优化显示内容。 配置:底盘前双叉臂后五连杆、电动遮阳帘、纳帕皮座椅，前排座椅通风加热按摩、副驾座椅腿托，还有老板键（后排坐人挪座椅特别有面），后排座椅的加热、靠背可放倒，主驾后排还有小桌板，我家小孩还小，太需要这个了，整车双层夹胶玻璃。 空间:轴距是2935mm，电动的后备箱空间超级大，有670升，后排座椅放倒能达到1800升，前备箱有55升。 舒适性:座椅既有支撑性也很软，前排座椅通风加热按摩、后排加热，还有电动遮阳帘，想开就开想关就关，随心所欲。底盘过个沟沟坎坎没什么感觉，滤振特别好，大大的赞，特别舒服，尽显豪华感受。 操控:很好开的一款车，最亮眼是它的转弯半径特别小，双向4车道，无中间隔离带，从左车道掉头，直接一把驶入对向右侧车道，太惬意了，有些车还得打2把。 动力:随叫随到，5.8秒百公里加速，基本想超就能实现，对大部分人足足够用。 智能化:基本常规操作都能通过语音解决，比传统车方便的太多了，包括车窗、空调、座椅通风加热按摩、电动遮阳帘、音乐等等。车机流畅度也不错，未发现卡顿情况。 辅助驾驶:我用过自适应巡航与车道保持巡航，开启方式很方便，自适应会根据前车车速控制刹车与油门，车道保持能够实现始终沿着一条车道行驶，假如前方车辆车速很慢，可以随前车车速行驶直至停止。跑高速开车能轻松很多，对大部分人来说也够用了。 能耗:80度三元理电池，北京2月18日至2月22日，白天0-5度左右，计算方法为两次都从20%左右充到90％电量，统计出总里程表数差值以及所充电量。综合油耗为24度电，高速与市区各50%，开高速那天有大风，没开太快，100km/h，空调设置28度，5档风速。能耗较高可能也与我一直使用快充有关。 质保以及充电服务:三电与整车终身质保，每年终身免费充电2200度，后期养车成本低。 最满意:空间大、功能全、后排有小桌板、动力足、底盘滤振好，有终身质保和免费充电权限。 最不满意:能耗有点大，可能是温度低的原因，到夏天再看看。 综合:是一款好车，推荐大家购买。,2024-02-22,北京
马嘟嘟和鸡咯咯,"版本：670特高压
已行驶：3900km（提车不到2个月）


一、	免费的才是香的
免费充电是真的，但是每年2200度。覆盖全国90%电桩我是不太信的，但是哪里都有免费的我是信的（就我们老家那种村子5公里内都有免费电桩）。但有什么比免费更香的呢？没有！厂家这波福利我是很认可，很认可的。
送度数而不是是金额最大的好处在于：充电需要看时间吗！不用！！！啥时候想充，啥时候充，何必提前做啥完整计划，苦等夜里的电价。说走就走不是更自由吗，啊哈哈哈。
就因为送了电，到现在我都没怎么开过节能模式，感觉都不是一个正常的新能源车主了。
啥？还有人不敢开空调？好像我的空调就没停过~

二、春节回家迷之续航
出发时间：2024年2月7日 下午3点
天气气温：18℃
驾驶模式：舒适
空调：23°，4挡风
人员及物品：3个大人，2个小孩。满车物品（连前备箱也塞满）
出发前里程：剩余630KM
到达时里程：剩余450KM
实际里程：160.2KM，全程2小时15分。
驾驶过程：65%自动驾驶，全程95%高速路段，路线因为是在云南，下坡、爬坡，平路均有，但整体处于下坡趋势。
达成率：160.2÷（630-450）=89%
当时我就震惊了，第一次感觉为何能有如此高的达成率，一度怀疑自己看错了数值，结果发现照片没拍全，有点后悔。
迷之续航：4天后（2月11日）基本相同的路线，我又跑了一趟，这次的区别是全车只有我，空调只开了2档风，早晨8点40出发，里程162.1KM，用时1小时54分。达成率：162.1÷（633-403）=70.48%。后面我想了一下，区别可能是出发时的气温区别大一点了，第一次出发时，下午气温较高，电池预热快一些，温度正好保持在一个比较理想的状态。第二次就是正常的了~

现在特别期待夏天时的续航，看看能不能到个9.5折。

三、	快、准、稳
充电快：昆明没有浩博超充，一直没有体验800V，但是常规电桩（120KW，160KW）的，基本上都是能定着最大功率充，而且很稳定，即便80%以后电量，功率也没有低太多。日常50度电充电时间30分钟左右。基本上都没有什么焦虑~
提速快：单电机250KW，虽然只是单电机，但是提速真没的说，60码以上提速依然说来就来。
自动驾驶：常规水平吧，不是NDA版本，也就常规保持，中规中矩。
乘坐感受：家里无论孩子、老人，都挺喜欢的，没啥电车的异常反应，后排空间足够，孩子在里面打闹也是依然很宽松。。。",2024-02-21,昆明
过杀嘴,"提车两月，分享一下我用车感受和场景。

外观内饰：我的车是白色外观黑色内饰，很喜欢的流线型车身，内饰也很简洁高级，颜控党很满意！（前排车门那里有一个突出的设计不喜欢，但也无伤大雅）?

配置：智驾上是有配置NDA功能，高速上使用感很不错。座舱是前后排都有加热，前排还有通风和按摩?（实话实话按摩力度不够），副驾有腿拖，二排有脚拖和小桌板，之前朋友在车上突然有工作拿出电脑一放，都有点商务感了（我变司机了?）。

续航：80度电池搭配NDA，在广州续航杠杠的，NDA的时候会能耗高一点，自己在广州市内开空调正常踩能踩出12的电耗。但现在充电免费，能耗也就无所谓啦而且充电速度贼快！?
 空间：空间真的巨大，打开遮阳帘后整个空间感十足。二排空间被好多朋友夸大、舒服，可以躺倒睡觉。后备箱也很大，之前出去骑行把单车放车上去水声水库，可以放到两辆自行车，也解决了想去远处骑行过江过河的难题。（终于满足4?+2?的愿望！）

智能化：NDA能自动变道、超车、刹停、进出匝道，高速上120时速转弯也特别丝滑，开始用的时候会有点紧张害怕，熟悉车跟智驾后，能比较放心交给他（车多的时候还是还是要多看着，不敢完全交给他）?

驾驶感受：舒适模式感受最好，转向半径也比较小。节能模式能量回收比较厉害，用起来还是不太喜欢。我一般都自己调个性模式，感觉可能比较好的兼顾舒适和能耗（能踩出12电耗，虽然车友们都说快乐表?）",2024-02-29,广州
爱因斯布坦,"【最满意】
1、空间：空间很大，车内空间极其宽裕，前后排空间都很大。行李箱空间很大，可以放七八个登机箱；
2、内饰：内饰豪华，Nappa座椅+按摩+后排加热，冬季非常实用；后排小饭桌小腿凳加分；前排放倒+后排143°躺下，中午休息很舒服；电动遮阳帘挺好，不怕晒。
3、辅助驾驶：高速NDA不错，春节长途回家，基本让车自己开，挺稳。
4、音响：22个喇叭，杜比音效不错。
5、操控：底盘很稳，机械素质好，最高飚到150+，依然稳如泰山。
6、充电：800V超充速度非常快，上的厕所充27%，13分钟灌进去34度电。

【最不满意】
1、车机APP少，没有QQ音乐（不能听周杰伦）
2、雷达报警声，有时候会误报，让人心烦
3、语音助手不够智能，离新势力有一定差距

【续航】
广东续航还行，最近用节能模式，平均电耗14kwh左右，开运动模式电耗16kwh左右。高速续航折扣一般，但同行也都不太行。
充电速度非常快，多次秒杀旁边的友商车辆。后到先走😎


【维修成本】
三电终身质保、整车终身质保、终身免费充电（一车传三代，人走车还在）

【乘坐体验】
空间遥遥领先所有竞品。后排143°躺平睡觉爽到爆。小桌板和桌腿加分好评。
米其林静音胎+双层隔音玻璃+后排隐私玻璃，静谧性非常好。

【购车经历】
服务周到，帮忙贴膜，赠送后装行车记录仪精品，整体服务不错。每次去店里都把帮忙洗车+充电。",2024-02-29,佛山
小令,【购车经历】 由于经常都是在市区用车，自己在用的油车油耗有点高，加上开老婆的Smart精灵1号后，新能源车的起步加速丝滑及操控都甩同价位的油车几条街，刚好大舅子的车已经十年了，和老婆商量后将油车给他，自己置换一台新能源车，预算25之内搞掂，于是从年中就开始选车之旅： 1.宝马i3，都说男人一生中绕不开一台3系，这车进去备选是因为品牌和价钱，比起油车3系便宜足足10W！最后放弃还是因为油改电，电池突出底盘易刮底，遂PASS！ 2.新岚图Free，这车是十一车展看到的，觉得外形很机甲风，然后这个价位唯一配空悬，增程也没有续航焦虑，APP上预约后就送车上门试驾，整体感觉都不错，后面放弃原因是中控设计还是沿用油车那套设计，略显复杂，然后就是后排和后备箱空间也一般，加上百度阿波罗智驾价钱略贵，遂PASS！ 3.智己LS6，同样都是车展看了实车，当时无感，后看到发布会后那价钱真的炸裂！全系标配激光雷达，智驾终身免费，高配准900V平台，综合来说非常优秀！但无奈外形有点偏女性化，屁股的“烈焰红唇”灯组更是直呼“噢买尬”！所以暂时还是PASS！ 4.小鹏G6/G9 选择小鹏就是看中XNGP的智驾能力！试驾后觉得也OK，初用XNGP在快速路上很吓人。最终没有选择是因为G6外形和造工差点意思，G9符合审美及造工，但有点超预算，也暂时备选！ 5.阿维塔12，这个外形设计真的惊艳啊！配上三激光雷达及华为鸿蒙座舱的加持，直击心理！但试驾后有点失落，原因是长安把底盘造成舒适性调教，和这个车外形很不符合，有点性格分裂的样子，然后就是首发权益不选装车身也要28，然后家用后排空间也跟板凳，中年男人为生活折服，遂放弃！ 6.昊铂HT，轮到主角登场！起初知道这个是因为看到国产鸥翼门这个宣传的，当时没发布也没多感兴趣，所以没点进去详细了解！（广汽的宣传团队真的要检讨一下，只挑了那些华而不实的“亮点”宣传，没有吸引国人的其他配置进行并列宣传！）后面发布价钱后觉得也就那样了，契机是去维修老婆的Smart时路过刚好有个昊铂中心，鬼使神差的就拐进去了，那时HT试驾车刚办完临牌可以试驾，也刚好有期间就试驾了！看到试驾车觉得用料真心不错，然后驾驶操控也很灵敏，近5米车子转弯半径也不大，两个车道可以一把掉头，后排座椅配置也是同级佼佼者！试驾NDA版本在环城路表现也很令人满意，综合配置和价钱都在预期之内，家用属性拉满！加上销售小哥热情的态度，综合考虑后最终决定选择昊铂HT！至此漫长的选车经历终于结束！ 12月初定的车，12月中下旬提车，申请广州的补贴（现在还没有到手），经历2024年初终身免费充电由老车主背刺变成全体车主福利的风波，更加肯定了我选择昊铂的决定！ 这个就是选车经历，用车感受后续有空再写一下吧！,2024-02-25,东莞
吴凯,车子开起来还蛮不错的，就是感觉车机是个半成品，有很多功能都得等OTA。 一开始连智能钥匙感应都没有，后来OTA升级了。现在智能远光系统，尾门感应开启，还静待OTA。 设计细节还是不够，车机有的功能蛮奇怪的，比如不能语音调出雨刮敏感度设置，要一步一步去按，很麻烦。也没快捷设置。 有许多花里胡哨的功能，比如灯光秀。 倒车和转弯的时候自动跳出的360环影没啥用，还不如埃安s的功能，调出该方向的摄像头就行。 NDA地图有些地方精度不过，京沪高速上面会忽快忽慢，限速的位置不对。 空间最为满意，驾驶质感也不错，高速满稳，超充电也快。车机反应也很快。 后雨刷没有，感觉是个隐患 最最严重的问题是不支持500V及以下的快充。这个确实要注意，京沪有些老的服务区就没法用了。超级冲真是快，30分钟的样子就充满了，麦当劳薯条都还没吃完呢。 车内要是有个220v插座该多好 车内各种充电口蛮多的，手机充电没问题。,2024-02-15,
