字段1_文本,字段2,时间,字段3
30秒懂车,"【外观】
星越L一直都说自己是紧凑级SUV，但是你见过哪台车长4770mm、轴距2845mm的车，管自己叫紧凑的。这不是谦虚，这就是越级、碾压。所以不论是燃油版、Hi·F还是Hi·P，它们都相当魁梧。只是不同版本在下保险杠位置，有些许不同设计。

【内饰】
星越L的前排座舱依旧还是非常透亮，坐姿很高、视野很好。而且如果我没记错的话，在老牌车企里，星越L应该是第一个把中控台铺满三联屏的。整体的用料也都是全皮，填充物、包裹性绝对主流没的说。当然，这次试驾的重点肯定是要放在动力感受上。

【动力】
首先官方说法是这台车一车解锁三车，意思是你既可以选择纯电，也可以选择增程或者电混三种驾驶模式。同时这台车依旧拥有雷神动力的3挡DHT Pro电机，所以在不同工况下的动力响应都更直接，同时电耗更低。

【驾驶感受】
我第一点感受是，这台车开起来真的好静。在120km/h时速的高速路段，除了细微的风声，剩下就是车里的音乐。其次才是动力部分，星越L Hi·P标配了一块41.2度的宁德时代CTP平板电池，节约空间的同时，还能加入更多电芯，电量和密度都得到了增加。

市面上80%的电动车用的都是单挡电机，但对新能源汽车来说，单挡肯定够用，可不够全面。我们可以套用回AT的逻辑，不同车速、不同转速，堵车、高速、再加速，这些场景对电机工作效率的要求都不同。所以车辆才需要纯电模式下的独立驱动或者双电机串联，或者全速域并联。",2022-11-23,
Reason,购车一个月，已经行驶了5000公里，由于个人原因，需要一个纯电续航超200的电车，但是由于续航焦虑，不得不考虑插混，目前这个车用起来挺满意的，纯电续航妥妥的200以上，而且家用桩两毛三一度，充满了就9块多一点，真的是用电就等于白嫖，个人一直就比较喜欢混动的外观，老婆看别的时候又喜欢这个白色，所以买车时就一拍即合。 再说说空间，后备箱几乎能放平，本人173后备箱放平了睡两个我没问题，储物空间也基本够用，目前来看就是扶手箱有点深了，不太用的了，建议买个扶手箱分层的盒子。 行驶起来地盘比较硬，路上的小接缝都能感觉的比较明显，但确实又不是那种硬邦邦的感觉，总的来说质感还行，比迈腾这种大众的车比起来感觉差一点点，路感过于明显，跑起来隔音很不错，几乎只有胎噪，120左右开始才会有明显的风噪。,2023-09-11,成都
过的刚好wj,外观很大气，内饰也不错，41度大电池，加92的油，可油可电没有续航焦虑。 【最不满意】 吉利的400 886 9888售后太差劲👎了，咨询问题永远都是我反馈一下，然后就没下文了，不会给你解决问题，这一点特别反感。还有就是座椅Napa真皮的，才坐一个星期就感觉起皱了，赶紧去买座套，车机互联没有CarPlay，只能华为VIVO等国产手机可以连，没有方向盘加热，AR-HUD晚上前车开灯，白天太阳大感觉就一直看不清楚。 【购车经历】 一直在等坦克300插混，CC一直拖拉，然后在懂车帝无意间刷到星越L增程电动车型，一开始看指导价二十多万感觉太贵，后来经过了解现在有优惠十多万可以落地，正好本地有一辆现车，当时就来看了觉得不错，但是因为三缸机，销量差应该停产了，厂家也放弃这款车型了所以不敢买，正好我朋友找我玩跟他讲了一下，经过军师分析之后觉得优势有几点，41度电池，续航205公里，（按每年续航损耗，这车大电池开个十来年都没事）电芯宁德时代的，底盘二十多厘米，电车最重要的电池在车底，底盘高一点心里踏实等等，这价位和这配置性价比很高，所以就马上下手买了，而且送了一堆东西什么露营装备，充电桩，放电枪，车膜等等 【驾驶感受】 加速到60码左右，有一段有顿挫动力上不来的感觉，高速不能用增程油耗太高使用混动更省油，平时充满续航205公里，我一般充90%，可以续航180公里左右，一个星期充一次电。 【空间表现】 后备箱感觉有点高，而且小，放不了多少东西，没有我以前的车能装，第二排空间不错。,2024-01-16,厦门
大静候佳音,动力足够，换挡有顿挫，比较经常出现的是在78~80km的位置，到100多的时候有时候也会出显的。车机不够智能，相比于时下新势力来说，整体的语音控制还是不属于第一梯队。自动空调很笨，这是我开过的所有车当中自动空调最笨的一台，自动空调是恒温空调，设定一个温度以后，车会根据我们设定的温度和调整风量，这车就不会调整风量。座椅的皮面可能因为浅色的缘故非常容易看到折皱，感觉座椅海绵支撑力度不够，正常是用真皮的话，应该回弹力度更好，不知道厂家是不是在这里省材料了？座椅通风感觉不够给力，看前面有朋友测试的是吹风的方式。智能驾驶还是比较笨，高速上跟车，刹车会偏重，车道保持上也不是很好，特别是阴雨天和过鱼骨线。没有备胎，路上碰到大钉子，没地方补的话，就直接要换新胎。新车已经更换了两个胎压传感器，分别是左前右前，检测问题是胎压传感器电池鼓包。快速充电出现一次故障，导致十分钟的动力限制。断电十分钟后解决。说了那么多不好的，说一点好的吧，已经是第三辆吉利的车了，感谢吉利没有主动把我扔的路上。希望吉利可以多听听用户的意见。越做越好！,2023-05-03,福州
开坦克地贝塔z,"【驾驶感受】
提速很快，而且很稳，这车我测过得最高时速是210多点。
【续航】
目前行驶里程是4700多公里，纯电行驶了3000多，燃油行驶里程1000多，目前表显油耗是2.5左右，电耗14个多。
这款车在亏电的时候还是比较耗油的，我的亏电油耗最高跑到过10个多，那会的驾驶情况是山路，加上气温在-3度左右开的一档暖风。
电量在健康状态下发动机基本全程不介入，除非大脚油门，发动机才会介入。
整个车的噪音表显我觉得还可以，不算特别好，但也不算特别差，高速120续航，车内正常说话交谈还是没问题的。

【最满意】
最满意的还是这辆车的外观，以及纯电续航，官方标注200，实跑的话能到200，电门踩得不狠的话可以跑到200多一点，全程高速续航的话大概180，我觉得很不错了。
【空间表现】
我觉得这辆车空间很大，标注的是紧凑级SUV，但是去看他的三维尺寸与定义中的中型SUV大小，那妥妥的就是中型SUV。两个人外出旅行，后排放倒完全可以当一张大床，本人身高180躺下完全没问题。
【最不满意】
座椅，目前刚提车两个多月，行驶里程4700座椅已经有一些小坑了，真皮座椅这么不耐用吗，本人体重170。
换挡有顿挫，车辆在49和79这两个时速的时候会有一个比较明显的顿挫，不知道是个例还是大家都有这种感觉，还有一点比较担心的，这款车的变速箱到底怎么样，有待考究，不知道会不会出现网上说的时速等情况，希望不会哈哈。",2024-01-07,郑州
欢快柑桔iGF,操控性能：方向盘手感不错，转向灵活准确，车辆的悬挂系统也很扎实，给人一种稳定和安全的感觉。 舒适性：车辆的座椅舒适度很高，后排空间宽敞，空调系统也很给力，让乘客在车内感受到舒适的温度。 配置丰富：这款吉利新能源车配备了丰富的配置，如自动驻车、自动大灯、自动空调等，非常实用。 价格合理：相对于同级别的其他品牌车型，这款吉利新车的价格非常有竞争力，性价比很高。作为人生首款吉利新能源车，我对其整体评价是非常满意的。它不仅在外观、动力、操控、舒适性等方面表现出色，而且配置丰富、价格合理、续航里程理想，同时还具有品牌口碑的保障。如果你正在寻找一款高品质、实用的新能源汽车，那么这款吉利新车绝对是一个值得考虑的选择。,2023-11-06,泸州
果苒开心,中规中矩，城市代步，旅游全家四口够用，优惠力度大才买了，买车看了好多家，最后一家从进门到付款只用了15分钟，也算是冲动了一把！同行帮忙看车选车的大哥都没拦住！！！提车确实比原价便宜了7万多，性价比很高！媳妇儿也觉得够用了！她也能有空开开，商务接待也够用。周末带孩子回新密了一趟，驾驶者感受可以，比较丝滑跟油车比较，但是坐后面的孩子下车就吐了，以后开车还得改进一下，不能让孩子受罪！松油门动能回收减速，踩油门加速，估计这个原因让孩子难受了！车开了1200公里目前还没出来啥毛病，车机确实有点不够意思，新车机用起来感觉都有点卡，语音交互还不是很智能，但愿吉利工程师们软件师们共同努力改进更新一下，还有就是中午我在车里午休了一次，熄火后会自动断电，空调跟音乐都断电了，没办法不熄火开空调或者听音乐吗？这个应该很好解决吧，希望能尽快程序优化更新一下，还有就是大灯晚上近光灯有点近，拨到最远距离还是感觉不够用，能再照亮5米会好很多！希望车友们告知怎么解决！车膜车衣车垫都用什么牌子的？也希望车友们能给点建议，谢谢了,2023-11-20,郑州
我的HIP,"【最不满意】
最不满意的是这车的车机上，车机反应很慢，语音呼叫要很大的声音才能反应过来，用我家小孩来说就是有点智障的感觉，

【购车经历】
打算购车时刚好赶上疫情期间，推迟好几次去试驾，试驾完当天就下订，提车都推迟了。这款车在购买时，就是在三线城市没有授权，跑到南昌去买的，这点不方便，
【提车价格】
价格嘛当时在心里的价位有所增加，我的价位在二十。如果现在买就香了。
【驾驶感受】
城市道路我都是用电，高速上混动开油耗基本在4.8到5油。这车就是悬架偏硬了点，驾驶操控都很到位，三挡PHEV模式在时速45/75/90都有换档顿挫感，最明显的在时速75这里，如果加速段在时速75公里上很明显，45/90这两档几乎感觉不到，




【油耗】
用车差一个月多点有一年跑了13800多公里，基本上都是用电，上下班接送小孩上放学，都是用电，期中用油我都是跑的长途高速,我加的都是95号油，油费在1500块左右，油耗上都是很低，跑高速用混动模式基本在4.5到5.2的油耗在保电30%的情况下，用增程模式要6个多点油，我都是用混动模式跑的，
【续航】
41度的电池官方是205公里，正常使用情况下都能达到，有时还能超过205公里，用了快一年，今天跑了202公里，充满电表显199公里，四个人开空调一档21.5度温度，高速将近一百公里，",2023-11-05,南昌
辽南佳禾,"车购于今年 8 月份，四儿子店销售态度不错的，赶上优惠力度很大的时候买的。现在跑了 5500 公里。
【最不满意】
纯油续航虚标，加了一箱油跑了近俩个月。
馈电的时候油续航掉的快，实际一公里掉将近两三公里。听说这是插电混汽车的通病。没开过别的插混，也不知道是真假。不应该加满油，加 一两百就可以了，不然时间长了不用油，容易变质。另外这个车混动模式下 50 左右速度的时候有轻微顿挫。增程模式下 70 多的时候有轻微顿挫。不知道后期是不是可以通过刷机解决。不过不影响使用，客服说不要轻易刷机。可能是我太追求完美了
【续航】
满油满电表显续航 1100 公里，实际开不上，因为我经常用电跑，所以没电就充，到现在也不知道到底能跑多少公里。700 是有了的。还算满意吧。
【保养】
还没保养呢，没时间去。
【油耗】
这个没法算，感觉综合油耗 6 个吧。我表显油耗 1.8，因为实际用电多。偶尔 100 多的时候用油。

【亮点配置】
三联屏，但是副驾驶屏幕感觉鸡肋，车机系统还可以继续完善，听说 12 月升级 2.0 系统，期待。燕飞利仕音响，民谣声音不错。低音感觉不如博世。我原来的公爵博士音响是真的牛逼。

【驾驶感受】
提速很快，等红灯基本都是第一个冲出去的，后面车吃灰。前边说了，混动 模式 50 左右的时候有轻微顿挫，增程 模式 70 的时候有轻微顿挫，不知道可不可以通过刷机解决。但是这个车本质存在 3 档 dht 变速箱，顿挫还是有的，只不过抑制还可以提升。就看厂家愿不愿意解决了。速度上来感觉很快，轻轻踩油门就 80 了。好几回都没注意，干超速了。后悔了整顶配好了，至臻版没有抬头显示。没有后方来车预警。底盘紧凑，减震较硬。大的坑包过滤不错，小的减速带，坑，过滤差点意思。销售说是运动底盘。
【最满意】
我买的磨砂灰，加了 8000 大洋。这个颜色很稳重的感觉。我很喜欢。看上去就是与众不同！不想弄马路上烂大街的车了。 10 个人 8 个人问我，车衣在哪贴的，挺好。我 tm 原车漆，原车漆。懒得解释了。还有不少问我这是啥车，我也耐心的解释好多次。续航啊，价格啊，感受啊。厂家是不是得给我点广告费。",2023-10-29,大连
琪车人,"外观：前脸采用点阵式的半封闭式的设计，与燃油版不同，吉利的新能源车型的标志都换成了可以点亮式的，看起来更为的具有科技感。其次，这款星越L电动增程版的大灯、侧身的线条和尾部的贯穿式尾灯和燃油版一致。星越L电动增程版，作为一款新能源车，为了降低风阻，轮毂采用半封闭式设计，前脸下半部分也大多采用封闭式设计。

【最满意】空间：星越L电动增程版给自己的定位是紧凑型SUV，属实是太谦虚。这款车车身长4770mm，车身宽1895mm，但轴距达到了2845mm，轴距仅仅只比汉兰达的轴距少了5mm，几乎可以忽略不计，所以这个空间表现对于日常家庭使用来说，已经很优秀了。

配置：轮胎的规格很高，配备的是固特异的performance的高性能的轮胎，对性能有所提升。
内饰：三块屏幕都是12.3英寸，三联屏加起来估计有1mi多长，车机系统搭载了8155的芯片以及银河os的系统。三联屏可以实现三指飞屏的联动，其他配置：座椅的通风加热、HUD抬头显示、燕飞利仕的音响。

【驾驶感受】
大多数时间，感受都是很不错的。换挡平顺、动力够用、静谧性好，但是偶尔也有一些小bug，比如说车机系统不是那么的流畅，智能辅助系统无法识别锥筒等情况出现。

综上所述，这台车其实很适合家用，且在同级别的国产车中算是用料比较扎实的了。",2023-02-27,
