字段1_文本,字段2,时间,字段3
进退相宜552,都说电耗高，其实测试电耗这个和气温、海拔、驾驶习惯都有关系，更重要的是测试路段和方法。有些人只测单程，找个下坡或者上坡的单程，能耗完全不同，比如：我上班就是10个电，下班就是20。总体能耗，20℃，海拔1800，空调制冷3档风，市区郊区16个左右，高速顶着120开，遇80也遵守交规，平均速度90+左右其实也不慢了，这种情况下电耗19左右，现在开了5000公里（误操作清过一次里程)，平均电耗16.9。优点：驾驶感很不错，很安静，大连屏操作流畅，启动速度也很快，信息排列合理，不用满屏幕去找，全景天窗一点也不晒，世面上主要的充电桩都能吃满，充电速度平稳。缺点主要是空间不像中大型SUV想象中那么大，后备箱空间一般，米色内饰容易脏。,2024-03-10,昆明
赤小豆8381,车辆整体感受还可以，外观的话各有所爱吧，喜欢就好，车子有些小细节还需要提升，我的车买来就发现前面两个屏升起后高度有落差，交付中心搞了一次，也没弄好，但落差不大，也不想拆太多东西改了，就这样吧。 关于智己的OTA升级，有需要吐槽的，每次升级都会都会带来一些问题，软件程序发布都不带测试的吗，还是让车主免费测试找问题啊。 关于车子的电耗问题，如果不开空调，温度10度左右基本在15-18，但是空调一开，立马会到25左右，而且空调加热不行，要到25度才有明显感觉，我都是开座椅加热和方向盘加热的。 这个车最大的问题不是在车辆本身，反而是在售前售后服务这一块，我买车的时候主理都没和我讲过几次话，每次去都不在，都是让店长接待的，最后下订了才出现下。售后就更拉胯了，买车是承诺的充放电枪，都快3个月了，还是没给我，每次问都是还没到货。去交付中心贴膜，连个招待的人都没有，还是我自己打了壶水烧下，自己倒了杯水，一上午就没人进来过，但是的主理见面了连个招待都不打，估计都不认识我。 重点提一下智己的400服务，我发现在APP上远程打开空调后，座椅迎宾功能就会实现，和售后反馈了，前几次都和我说是年前那一次升级后导致的，后面会更新改善，我提出有没有改善计划和补偿措施，回答是没有，到后面再给我打电话说这个本来就是这样设计的，远程打开空调，就默认车上有人，座椅会自动回到驾驶位置，取消迎宾功能，我就感觉这是个扯淡的说法，让他们提供官方公布这个结论，400又说没法这样做。 总结一下，现阶段这个价位的车，车辆本身还是可以的，但售前售后服务是最大的问题，太拉后腿了,2024-03-09,无锡
Sina音乐,"对LS6素人车主来说，本人绝对有极大的可信度的发言。
首先20-30万中大型电动SUV来说，性价是无敌的，至少23年是无敌的，甚至24年中以前基本也属于无敌状态，24年底群魔乱战就不得而知了。
整个车的外观适偏圆润，拥有较好的设计感，再加上艺术车漆，整车外观素质较好，属于中上水平，当然你要欣赏不来，我也懒得跟你说。
内饰来说，我只能说20万左右还有谁？所见都是皮，肯定不是全是好皮，但是诚意还是有了。当然也有槽点，中控的充电、眼镜盒、车顶不能选装翻毛皮，手感不舒适，座椅不是一体式。
性能来说，很不错了，电门没有延迟，加速线性，整车调教体现了大厂水平的。

【驾驶感受】
整车的操控性还是不错，毕竟没有空悬，与有的还是有一定差距，不过在意的可以看看7系列。辅助驾驶系统还是很不错的，尤其是pilot模式，一上内环高速必开，但是自动驾驶还是不够好用，高速上会出现一个逻辑问题，如果你设置的是120码，但是到了隧道之类的，识别限速80，就会极减速，然后过了这段路程就出现极加速情况。看后续ota吧，但是用pilot就不存在，它是定速巡航+的辅助驾驶。

【最不满意】
最不满意就要吐槽下了
1、经销商模式，太垃圾了，经销商就一????表达
2、风噪、胎噪，与7系列比差太多了，高速行驶情况下静谧性不好。",2024-03-11,重庆
用户2152142345653,价格相对于竞品和产品本身还是比较合适有竞争力的，硬件比较强，软件也不错。车的外观比较风骚，内部空间也不小，内饰、方向盘、外观整体辨识度比较高。 1. 外观比较风骚，侧面很流线顺滑，在马路上比较吸睛，尺寸又比较大，尤其我的银灰色更帅，和model 3停一起直接气势上就霸气碾压。 2.车机还挺好用的，副驾屏看视频问题不大，车内的音响效果也比较好，开车听音乐不错，语音控制也算一梯队基本可控制导航、车窗、空调、音乐、座椅等全部功能。高架高速95%以上路段可以放心交给noa，大大减轻自己开车劳累度。 3.空间比较大，后排坐3个人位置也足够，后备箱很大可以放不少东西。 4.续航表现整体还不错，过年期间江苏上海路段跑高速能120的地方就120基本打七折，满电cltc680km，跑光可以450km-480km，正常350km-400km的路程可以无任何担忧随便跑。充电也很快，找到100kw左右的桩基本半小时可以从20%冲到80%，多补充400kmcltc续航。 5. 车身用料比较扎实，低速下和一辆威马车碰过，他的前保险杠塑料碎了，我的后屁股只有一点点小伤痕。,2024-02-18,上海
手机用户9091764917,提车以后开了几天，都是在市区跑，主要是上下班通勤。总的来说，对LS6还是比较满意的，外观高端大气，路上回头率很高，刚开着上班第一天，就有不少同事跟我了解这辆车的情况，都说这车很好看。这几天对以下几方面有一些初步的感受: 1. 驾驶体验。车子挺大挺宽，但是开起来挺灵活的，行驶过程中还是比较安静的（比我以前的车好），停车稍微有点不方便，毕竟车子大，不过有一键泊车，目前看有车位线的地方用起来还是不错的。 2. 续航里程和能耗。提车时交付中心给充好了电。这几天北京的气温是零下七八度到零上四五度左右，上下班通勤开。早上气温零下7二三度度，出发前先开启空调25度预热，能量回收为较低模式，单程17公里，百公里能耗在22左右，续航达成率也就60%左右吧。看来气温对续航影响还是挺大，后面跑高速再看看续航情况。 3. 充电体验。前两天电量用到20%以下了，第一次去充电，用的开迈斯的120KW直流快充，不愧是准900V平台，充电功率直接拉满，一直到80%基本保持在119KW，超过80%才开始下降，充电速度很满意。,2024-02-18,北京
小小语杨,"【购车经历】
购车想的比较简单，对比过小鹏G6，颜值我家那位不喜欢果断放弃，主要不是自己开所以比较注重外观，选择了LS6莫奈青色，如果是自己开的话大概率会考虑极氪001或者极氪007。

【提车价格】
裸车价24.17万，5600的保险，500上牌，总计24.78万，拿了5000元政府补贴。

【驾驶感受】
20来万的车全铝底盘，机械素质已经很顶了，加上上汽大厂的调教水平，在相同价位里底盘的行驶质感应该优于其他新势力了（此处有不同观点也别喷，仅个人感觉）。
一键代驾功能（一键泊车、一键贴边、倒车寻迹等）的加持对于新手女司机来说绝对是很有帮助的，对于老司机来说还是自己动手速度比较快。

【亮点配置】
中控屏升降功能算是个亮点配置，感觉会比较有科技感！实用性嘛。。。。(并无L用，字母自己猜吧，作为智己人我相信车主都是有文化的人。哈哈...）

【动力表现】
动力没的说，就算是单电机动力也过剩了。此处我想说电机用这么大功率，有没有考虑到续航！！！

【空间表现】
平时用车2-3人，无论是腿部空间还是头部空间，空间绝对够用了。

【续航】
重要的放在末尾！！！最后说说续航问题，买车前逛遍了各大论坛，反应最多的就是续航！果不其然！
废话不多说直接上结论：
最近无锡地区气温0-8℃
充电至100％CLTC续航680KM
目前开了290.5KM，续航消耗466KM。62折
电量剩余31％214km，换算一下剩余电量实际续航大约132KM，满电续航实际总共也就是420km左右。扣掉保电20%及日常充电至90%，大概续航294km。还是平时城市低速工况，如果是长途纯高速出行，差不多250km就得充电。

续航一块个人觉得还是比较拉胯的，不知道800V版本会不会好一点。

以上保证是车主本人实况发布，仅供大家参考。",2024-02-28,无锡
Brilliant★杰,这个价格来说，配置颜值身材都很有性价比，适合女孩子开，装配还不错，细节也可以，唯一就是这车外观不同材质的漆面有色差，强迫症的慎入，另外雨刷用起来咯吱异响，半幅方向盘很爽，空间还不错了。吐槽几点，车内照明阅读灯管特别特别暗，后备箱也是，氛围灯带只有前门一条，这点成本省了不应该，手机无限充电功率太低，搞不懂怎么想的。如果增加选装电动门，遮阳帘会更好。另外，门板和扶手箱位置太低，胳膊搭不住，有点累。最后两点涉及安全性，一个是开门键很容易误碰，低速未上锁的时候就会打开，非常不安全，第二就是这车不系安全带车门不关依然可以挂档走，我另一个车 主驾驶车门如果打开的，是开不走的，打开安全带后打开驾驶位的门也是自动跳到P档的，这个一定要升级一下。自动驻车要深白踩，而且倒车的时候不能自动驻车，这个在坡道倒车的时候不好用，也希望能升级。第一辆电车，续航智驾什么的没有太多要求，没有对比过，不多评价，总体来说，这个价格还是值得入手的，对了，24年产的车已经自动是一条尾灯带了，很好看。,2024-02-15,乌鲁木齐
逸丶风君,"从智己L7天使轮还没上市就开始关注，已经好几年了，只是40几万的价格让我觉得性价比太低。去年LS7上市，本来还是很心动，但家里人对电车还是有些犹豫，老爸总劝我再等等。今年6月，LS6上市的消息出来后，我就决心再等等。八月去成都车展看了实车，直到10月正式上市，决定说服家人，就他了！10月20日到南坪店里谈好价格和赠品，锁单！
提车过程太漫长，因为中途被群里灰外加21轮毂的图片吸引，想着反正4000的基金不用浪费，加了2000换21寸轮毂，结果一等不来，二等不来，催了无数次都是没消息。一直到12月23日，交付说车到了，喊提车。赶紧联系粗哥@粗人明教，约着帮忙验下车车，周三下午一路紧赶慢赶，终于见到了苦等两月的小6，灰内灰外，21寸花瓣轮毂。仔细核对车辆信息，包括车型、颜色、配置，检查了车身、漆面、底盘等。一切确认无误后，我签订了购车合同，并支付了尾款。然后交付介绍了车辆的各项功能及使用方法，接着买保险，上临牌，回家！

用车初体验：开了五天，仍在适应当中，底盘、驾驶质感都很好，这里只想说下缺点：一是按充电口盖子右上角打死不开，只能车机上点。二是“你好智己”识别度不高，说临江公园非要出来滨江公园，气死人。三是能耗有点超预期，不知道是不是天气冷的缘故，提车cltc600，跑了296公里，就只剩了90，不过感觉充到100%后这次要耐用些，cltc消耗280公里，跑了189公里，这次试试城区90%-20%表现，希望智己越来越好，加油！",2024-01-12,重庆
Aquarius🍼萌,"从L7开始就了解到智己，各种小设计小细节不要太抓女生的眼球，奈何L7超预算，今年六七月份看车的时候根本也没去看智己，一直在小鹏p7i和比亚迪汉之间纠结，因为家里有一辆suv了，主要还是关注轿车。 后来10月份都准备再拖一拖双十一去下定p7i了，突然刷到ls6横空出世！智己依旧牢牢抓住了我的审美点，虽然是suv，但不像其他纯电suv那样显得很笨重，配色也很多很好看，立刻心动💗 经过前后三次试驾，反复纠结，终于还是趁着上市权益结束前下定青内青外680版本。

锁单后大概两周多车架号就出了，三周多就告诉我车到了可以提车了，拖了几天才过来把小青提回家🤭朝阳交付中心的交付小姐姐对车很了解，介绍的很详细，干活也特别麻利，要不是我去的有点晚只能下午办临牌，保险还墨迹了一会儿估计不到两个小时就能搞定。

提车当天北京还挺暖和的，下午和晚上开了几十公里能耗基本都在15左右，最近降温了，有地库和家充，非暴力驾驶能耗不超过25感觉还是可以接受的～",2023-12-26,北京
Potato。,家里有三辆油车，一直想换购一辆电车。之前看的极氪001，各方面都很喜欢，无奈价格偏高。无意中商场里看到了智己，了解体验了下 发现性价比超高，在双十一的时候下定了。因为主要是城市通勤，有车位可以安装充电桩 所以选择了丐版，后续就是漫长的等车时间。 12月15日，交付中心通知车子到了，可以进行提车流程。因为想要申请常州的新能源补贴， 所以必须要在月底前上好牌。整个提车过程出现了一些意外导致提车时间一拖再拖，甚至闹了些不愉快。好在最后26号让我先提了车，27号去上了牌，后续还送了保养。 说说车子本身 车子空间大，后排和后备箱都很宽敞，腹肌座椅舒服 车身又长又宽，停车略有难度，好在一键停车用了几次还挺好用 内饰的大连屏，很酷，中控屏幕流畅度也不错。 不过车顶的材质很一般，摸上去很粗糙 有点廉价感，另外没有手套箱 ，前排储物空间少了些 配置的话相当丰富，除了没有座椅按摩和HUD 稍显遗憾 续航 我的是丐版71度电池的，第一车电开了350km左右还剩百分之十几，比较一般，看看后续会不会有变化 整体车子开了一个星期左右，底盘、隔音、驾驶感受等各方面还是比较满意的 可是最近新车扎堆上市，车商各种卷配置，性价比都超高 有点扎心 希望明年我们第一波ls6车主不要被背刺,2024-01-01,无锡
