字段1_文本,字段2,时间,字段3
honda思密达,电动的加持让汽车驾驶起来更加的安静，同时拥有更快的加速体验。本人是医生，平时通勤每天出行不到十公里，插混车型就相当经济。 目前已经行驶五百+的里程，除了车机蓝牙钥匙出厂时存在硬件问题，通过沟通现已完全解决。 通过最近一段时间的驾驶体验，车辆没有什么明显异常，毕竟是新车，以后每半年我都会更新一次用车体验。本人对汽车一直都有十分浓厚的兴趣，所以在车辆上的选择上也是会考虑的全面一点。这是第二辆汽车，之前是轿车所以这次就选择了suv，同时为了适应时代发展并避免本人存在的里程焦虑因此选择插混车型，也算是时代改变中的转型期产品。至于为什么这次我选择了本田crv，23款的外型加上其品牌下2.0自吸的稳定性，让我放弃了对燃油要求更高切相比下不稳定因素更多的涡轮车。 下图是与亲戚家大奔gls450的尺寸对比，说实话本来只是开玩笑的停一块，毕竟都是黑车，看起来很是协调。可是23款本田的车身尺寸真的是有惊讶到我，真的是很意外了,2023-08-22,宝鸡
驾域AUTO,"本田大概自己也没想到作为串并联式混动模式的鼻祖，如今在国内插混阵营自己却远远落后了。但是从这一代新CR-V e:PHEV（简称CR-V插混）来看，它正在积极的融入中国本土供应链，不仅价格降了，降成本的同时也力争将固有的槽点基本都解决掉。

      例如电池从本田自己的锂电池换成了宁德时代的三元锂，成本降了密度还增加了，电池容量增加到17.7度，WTLC纯电续航73公里。和宋PLUS DMi用18.3度电池做到85公里相比，水平相当。已经赶上了国内插混车的一线水准。

     随之带来的还有，全新的电池和电控系统改善了车身的结构。油箱容积增加到了46.5L，满油满电续航达到916公里。虽然相比国产品牌动辄在1200公里以上，似乎还是有差距。但你要相信合资品牌在关键数据上，一直还是比较保守，水分较少。

      另外第四代iMMD体系下，2.0L阿特金森发动机从多点电喷改成了缸内直喷，压缩比从13.5提升到13.9，动力从146匹提高到150匹，馈电油耗从6L降低到了5.5L。

     从实际驾驶看，和老款的感受并没有太多区别，中低速下多数时候用电驱，高速时发动机介入后还是能感受明显的噪音与震动，不过因为它的发动机直驱有高速和低速两个挡位，因此NVH表现相比老款有一定的提高。整体动力表现和能耗都符合预期。横向对比，150匹发动机+184匹电机外加两挡直驱，这套动力论输出的综合能力相比国产插混也是十分有竞争力的。

      目前CR-V插混的问题还是价格太高，在国产插混阵营和它做到差不多的动力、能耗水平的前提下，价格要比它便宜好几万。老款CR-V插混退市前曾给出了8万的优惠（一抢而空），日常平时优惠也有6万以上。新款虽然价格降了，产品力也提升了，但要想消除老款的印象非朝夕之功。何况今年一线合资自主品牌的压力相当大，也增加了市场对后期降价的预期。

     如果能降两三万，可以和唐、护卫舰07等中型SUV价位有重叠，预计能分流一部分客户。如果能像老款一样降5万以上到20万以内，对自主插电混会形成强有力的冲击。就看本田有没有这个魄力了。",2023-04-07,
挺OK个小青年,个人驾驶感受觉得一般般，就是助力有点沉，我爱人说开完她自己的车开我的像开拖拉机，像是机械助力而不像电子助力，所以从那以后从来不开我的车，我也是肩周炎犯了，插电混是双层玻璃 隔音效果比油电混强很多，买完四个月一万公里，5月份提车，当时领越版指导价26.99，4S店讲到5.5W优惠，21.49W裸车价提车。买完两月后也就是7月后厂家指导价下调两万，给提前买车的车主升级权益，“终身免保养和三电包终身。”当时购车时跟售后谈好的终身免机油也算是白费口舌了。 按键式档位挺方便，中控系统没有CarPlay比较垃圾，有胎压监测没有胎压显示，这个比较鸡肋，20多万车连个行车记录仪都没有，自己网购一个也算是比较及时，走乡镇路被前车溅起的石头子砸到前档，果断调取录像报警去事故大队联系车主，对方保险索赔3000+和750玻璃贴膜钱。 这车漆不是一般的薄，路人小孩背书包路过停车位，不小心碰一下露底漆了，停车场别的车开车门不小心又是一块，4S建议贴车衣，也不打算弄了，总是两个城市来回跑，准备换理想l9。,2023-09-22,长春
屠龙俊俊,"【购车经历】
  为了一个深圳车牌，无奈选择了插混，因为每年要出几次800km远门电车实在不方便。     
       先看了二手迈腾，crv，途观L，探岳，荣威和比亚迪跑网约车的比较多，所以没去看二手。车况好的或新车并没想想那么便
宜，二手CRV睿驰1000km  6个月车也要23.4万，所以放弃了二手。
      新车先去看了大众帕萨特先排除了，去看看迈腾，探岳，途观L，先说迈腾其他都OK但是试驾后感觉座椅好硬，加速顿挫，电续航短又是帕萨特兄弟车，改看SUV了，途观L和探岳都还好就是后排座位两边短半截，不好看不说，真是不舒服，再加上中间凸起，后排设计要改进。
第二站比亚迪宋plus，从数据上看吊打所有同级别车，油耗，隔音，内饰都很好，价格太有魅力了。最主要唯一担心耐久和保值，因为提车要半年以上，就没定。
第三站丰田去看了，有点心动，优势有备胎，后背箱没有断层，油箱50L续航远，就是一分优惠没有，聊了半天没给降价，送了七七八八不值钱的东西，所以就没定。
最后去了东风本田深圳这家4S店比较热情，办事效率高，为他点个赞??优惠也比较大，不能说最便宜吧，价格还是挺满意的。
【提车价格】
裸车23.35万，其中包含加装电动尾门1500元，保险加上牌检测24.35万落地，以下是自己买的地毯468元（一般，底下双面胶沾的，用力踩下去，会打滑）专用手机固定13.9元（优秀，无线充电支架是旧的），防摩擦迎宾踏板310元（不好商家变形刮花不给换），贴膜53元（一般，仪表盘的贴了半天贴不上，不建议买），行车记录仪298元（非常好??，只是前面，这个特别满意，不用沾在玻璃上，又不用拉线）。钥匙套65元（一般，紧急钥匙拿不出）。16A插头转换22.98元（还没用），方便临时充电。充电桩用线超出30米770元。

【空间表现】
满意的地方，crv前排空间很好，头部腿部都OK，储物多，除了中控台的两个水杯位置，两边的侧门还能放好多瓶，放置手机的地方还可以无线充电，充电速度还挺快。后排座位应该是最满意的地方，空间特别大，我个子不高，开车靠前，所以后面有头等舱感觉?，后排中间没有台阶，做三个人的时候也不会拥挤，
不满意的地方，后备箱是crv插电混动的软肋，两个24寸的箱子的时候，必须要打平，加那个保护电，所以打平时非常不方便。要多装就要把上面护板拆掉，不过一年能要装满后备箱的机会屈指可数，不会影响日常，


【舒适性】
满意的地方，前排座椅整体都比较厚实，坐起来都比较舒服，久坐也不会有很不舒服的感觉，后排座椅的倾斜度也可以满足，在车上睡觉的，不会感觉到一特别直，后排的车门可以直角开启，后面的人上下车非法方便，而且CRV的整体高度不高，后排上车不会那么困难。
不满意的地方，1.隔音不知道怎么形容，总是像感觉没关窗，路面不平胎噪还是蛮大的。2.后视镜太暗了，说是防眩，晚上根本眼不见，3.充电开关必须到车里操作，钥匙无法完成。4.下车后遥控钥匙无法关闭车窗。5.方向盘皮过于光滑，转向容易打滑。（个人喜好吧，不喜欢三点支持方向盘）


【油耗】
上了图片平均油耗3个，充了130度电，150元，晚上12点后便宜，加了430元油，已经跑1596km，还能跑个437km，平均下来2.9元一公里，刚装好电桩以后会更便宜些。高速还是高些，会去到6个油。

【续航】
满油满电630km，开暖风空调，在开空气过滤600是没问题的，还是比较满意，以前开九代雅阁续航也差不多，油箱少了一半以上。
去北方估计就不行了。

【智能化】
满意的地方，定速巡航防偏移一起在高速用非常方便，就是太方便了容易打瞌睡。盲点也是比较喜欢的，先后雷达也比较给力。
不满意的地方，车载语音识别超过三个字无法识别，导航经常定位不准，经常一会儿显示高速一会儿显示低速，无法提供最佳路线，升级软件要重新交钱。总之，软件是非常垃圾，还不如外面装的，越用越来气?。

【驾驶感受】
在几种模式都试过，对一个家用车没太高要求，整体说就是稳，换句话就是肉，电动模式下还是挺好的，提速也可以，亏电就不行感觉发动机很吃力的样子，声音有点大，高速也是一样，经常保持有电才会有好的驾驶感受。

【充电】
有定时充电，是为了峰谷12点后充便宜，公共的充电桩就不用说了，肯定是没办法这样去充的，但是东风本田装的充电桩，要刷卡之后才能充电，同样完成不了这个定时充电，所以是个非常鸡肋的功能，自己不装充电桩的话，找慢充充电桩也是非常困难。而且我转换器去充快充，希望今后能够解决，Hv充电模式我也试过，充电速度还是很快的，但是不知道油耗是耗多少，不建议经常使用。

总得来说目前还是满意的，买这车主要是为了车牌，空间，省心，保值买的。代步工具吗不要让我太操心，卖的时候太痛心就好。前两天看到圈圈里有把电池磕坏的，所以想在装个底盘护甲。",2022-02-07,深圳
车圈不香,"今天给大家带来的这台车是粉丝购买的本田 CRV PHEV 2021款 锐·混动e+ 2.0L 睿智版，今天就展开对这台车进行深度评测。
车型分析:
首先本田CRV PHEV这台车定位一台紧凑型SUV那么同级别的竞品车型就锁定在了领克01 PHEV以及标志4008PHEV等等这些车型，那么车主为何偏偏选择了这台本田CRV PHEV了呢？请跟随我的脚步一起找车主一探究竟吧!车主说当时确实考虑领克 01 PHEV，但是个新品牌考虑耐久性以及保值率，果断放弃了领克 01 PHEV。剩下标志4008PHEV根本就没考虑过，所以最终选了了本田 CRV PHEV这台车。价格层面这台车官方指导价为27.38万，以我们太原市为例优惠2万，优惠后裸车价为后裸车价为25.38万，保险（含强险）8000元，车船使用税360元，上牌费300元，最终落地价为26.24万。
静态部分: 
老规矩先来报一下数据，本田CRV PHEV车身长度4694mm，车身宽度1861mm，车身高度1679mm，轴距2660mm。内饰部分中控台上方为软质材料包裹，往下是仪表台部分采用全液晶仪表，方向盘材质采用皮质方向盘，整体握感比较细腻。中控台下方皮质包裹中间镶嵌着一块7英寸的中控屏，整个内饰看起来毫无高级感。座椅部分采用仿皮座椅材质，整体观感不错而且填充比较软，坐起来比较舒适，但是座椅包裹性偏差，这一点待优化。我们把前排座椅调整到适合我的坐姿（香哥身高173cm，体重55kg），前排座椅调整到最低，前排头部空间1拳零1指。然后保持前排座椅位置不变一起去后排感受一下后排空间表现如何吧？后排腿部空间2拳零4指，头部空间4指，就空间表现而言还比较宽敞。
动态部分:
这台车搭载着一台2.0L自然吸气发动机搭配一块16kWh锂离子电池与之匹配一台E CVT变速器，最大功率107kw（146Ps），峰值扭矩315N.m。整个动力表现特别平顺，特别是起步动力表现不错而且极致平顺，但是上了高速100km/h巡航的时候你就会发现这台车后段动力储备不太好，再加速能力一般。底盘悬架部分采用前麦弗逊后多连杆式独立悬挂，整体调教风格偏软偏舒适，但是支撑性表现就特别一般了，快速过弯侧倾严重。隔音静谧性方面这台表现就一般了，比纯油版本好一点，但速度上了60km/h往上胎噪和风噪比较明显。燃油经济性方面，还是老办法太原市内实测百公里油耗在4.2L。
总结部分:
如果你必须买一辆新能源混动简单代步的合资紧凑型SUV的话，我认为你可以考虑一下本田CRV PHEV这台车!",2021-04-24,
领带猫说车,东风本田的热销车型CR-V推出了新能源PHEV版本，该插电混动车型也填补了本田在华没有PHEV的空白。采用2.0L+单电机的组合，油耗表现相较普通油电混动版有了更进一步的降低。 外观方面，PHEV前脸和燃油车型相比相对低调一些，搭配蓝色框框的“Honda”车标，全系标配LED头灯以及自适应远近光灯，而锐·混动e+ 睿雅版作为PHEV的顶配车型，增加了转向辅助灯。车身侧面则基本没有变化，只是一侧是加油口的同时另一侧增添了充电口。车轮则是配备了235/60 R18的米其林浩悦轮胎。车尾双边两出排气，增加e：PHEV标识。外观提供晶耀白、星曜蓝、彩晶黑和雅韵金几种颜色，其中星曜蓝为PHEV专属配色。 内饰及功能方面，与燃油车型相比，PHEV的内饰也没有太大变化，真皮多功能方向盘，配有HUD抬头数字显示，真皮座椅，前后排座椅加热及驾驶位座椅记忆功能，后排控制多媒体功能，全车车窗一键升降，雨量感应式雨刷功能等。另配有7英寸液晶仪表，全速自适应巡航、360度全景影像、倒车车侧预警系统、自动泊车入位、电动感应后备箱、主动刹车系统、车道偏离预警系统、主动降噪等功能，配置功能也是比较丰富实用的。 空间方面，车身长宽高分别为4694mm、1861mm和1679mm，轴距为2660mm，PHEV在车身长度和宽度上略有提升，在紧凑型SUV的车身表现上也还行。油箱容积26L，整备质量2018kg，由于工信部综合油耗仅有1.3L/100km，所以油箱容积略小，毕竟在有充电条件的情况下，汽油机用的不多。 动力方面，CRV锐·混动e+ 搭载2.0L自然吸气发动机和电机组成的e+插电式混合动力系统，该插电混动系统是基于i-MMD混动平台打造，在动力参数上与油电混动版CRV相同，其中发动机最大输出146Ps，107kW，峰值扭矩175Nm，电动机总功率135kW，扭矩315Nm，最大总输出215Ps。电动机搭配16kWh的动力电池，纯电模式下NECD续航里程为84km，百公里耗电量为13.8kWh。 总的来说，这款PHEV的厂家指导售价在29.98万元，如果不是在限行限号限牌的刚需条件，接近30万的价格应该主动选择它的人并不多。毕竟CRV的普通油电混动车型虽然不能上绿牌但已经比较出众了。当然，它的配置上也比较丰富了，还能享受免购置税和上绿牌的政策福利，优惠力度也要大于非插混车型。在有充电条件的环境下，油耗成本还是非常低廉的。,2021-04-19,
兰戈学長,"本田CR-V PHEV这款车很早之前就想试驾了，奈何没有机会，最近4s店终于联系我了，唯一的一台车参加完活动回到店里了，所以我也迫不及待的就去试驾了，由于没有其他人试驾，所以征得同意后，我们试驾的时间长了点，较好的体验了这台车，希望以下分享对大家购车能够有所帮助。
该店的试驾车型是2021款 锐·混动e+ 2.0L 睿驰版，并不是最高配版本，是一台中配车型。目前有1万多的现金优惠。
【动力方面】 
这是一台插电混动版本车型，所以它在纯电模式下的行驶质感与一台电车无异，安静且动力强劲。它的纯电续航有84公里，如果是家里有充电条件，并且上下班路程不算很远的话，这完全可以当做一台电车来开。
更多的使用模式还是混动模式，它自身搭载了一台2.0L的发动机，发动机得最大功率就有107千瓦，而整套插电混动动力系统的综合功率可以达到158千瓦。动力是足够用的。但是这台车的极限并不高，零百加速时间只有10.3秒。
【操控方面】
这台车的驾驶感受与燃油车很相似，油门的踩踏力度和反馈感受都很容易适应，刹车脚感也很舒适，制动力释放的比较均匀。
底盘方面的反馈与普通的CR-V车型类似，能够保证较好的柔韧度，但是整体性略差，经过连续颠簸路段时会显得底盘有一点散。
方向盘的很轻盈的，而且圈数适中，掉头操作时比较容易。
【油耗表现】 
因为它的电池电量不是很充足，我们纯电模式下行驶的距离不长，大多数时间都以混动模式驾驶，也就是亏电模式，试驾全程70公里，包含了40公里的快速路，车速80km/h左右，其余路程为正常城区道路驾驶。得到的综合油耗表现为百公里4.3L。
后来我们也了解到，这台车的官方亏电油耗为百公里5L，相比于它的油电混动车型，这个油耗表现并没有什么让人惊喜的地方。
【乘坐方面】
乘坐的舒适性还是不错的，座椅厚实，城市道路它的底盘舒适性还可以，不会让你有不舒服的感觉。
而更直接的提升方面是它的NVH表现，尤其是纯电模式下，驾驶质感提升明显。亏电模式下，发动机的运转也相对安静了许多。
【空间方面】
空间方面表现与普通版本CR-V基本保持了一致。尤其是后排乘坐空间十分宽敞，车门开启角度也很大，家用足够。整体空间表现在同级别车型当中排名靠前。
【好的方面】
1.享受新能源政策。
2.可以纯电行驶，驾驶质感更好。
3.空间大，配置丰富。
【不足方面】
1.亏电行驶油耗不算低。
2.车机系统难用。
3.性价比太差，价格贵。
4.底盘的行驶质感一般。
5.车辆太重，动力体验一般，不够强劲。
【车型总结】
虽然不能把简单的把插电混动版本的CR-V当做是一台电池容量加大的油电混动版本车型，但是广义上也可以这样理解。只不过插电版本CR-V采用纯电优先的驾驶策略，让它避免长时间亏电行驶以获得不错的油耗表现。这台车比较适合有固定充电条件并且日常代步距离不算远的家庭使用，这样的话用车成本会比较低，而且驾驶质感就是一台纯电动车的感觉，否则的话，不如买一台油电混动的CR-V。
试驾完毕后，这台车并没有给我很惊艳的感觉，因为相比于插电混动的比亚迪唐，这台车的表现只能用成绩平平、性格平平来形容。参照它近30万的落地价，这台车的性价比实在不高，不太推荐购买。",2021-04-24,
让她随,开了接近半个月了，也只有体验了才有发言权，在下定决心买本田锐混动e睿驰版前，中间也是一大波周折，其实计划中是买燃油版，因为我本来就有蓝牌指标车牌，但是车牌被无赖不肯配合过户，时间一直耗着，起初在没燃油车牌，我老婆是考虑丰田的威兰达插电混动的高性能版，不料丰田因为芯片停产问题，得到明年的2月才能提车，最后下了决心直接车管所报停自己原有车牌…………省略。国庆前两天打听到本田有现车，只有蓝色和黑色，立马直奔本田四儿子店，赶在9月30下午提的车，9月29号定的车，时间上很快，相当两个工作日完成，可惜就是海南新能源补贴1万块钱名额已经用完了，全省一年2.5万个名额，白花花的1万块钱，心疼哟，领的是临时车牌可用15天，行驶了大概半个月了，总体来说，空间还行，配置和内饰嘛都是本田风格，没有什么新颖的地方，我本人习惯属于简约风格，所以对于本田这样的内饰还算习惯能接受，已经开了大概600多公里纯油耗平均百公里不会超过6个油，充满纯电跑大概75公里左右，动力除了sport模式下，纯电或者燃油启动比较线性，给人感觉就是温顺，不急不慢，感觉很符合我开车性子，个人不满意的地方就是油箱太小了，后车厢是我最不满意的，像台阶一样不平整，虽然有架子可以架起来，但是板和车直接有很大缝隙，很不完美，还有只能慢充，不能快充!       话说回油耗问题，可能很多车友是内地的，说买本田这样的插电混动是钱多人傻，可相对海南这个地方来说，确实就是不一样，海南整个省没有收费站，油价比内地任何地方每升都要贵1块多钱，虽然海南目前还未限制蓝牌，但是综合油耗来说，长远纯电和混动的确实非常的经济性，整体来说本田这样的插混可以打个8分吧，以后还有什么新的使用情况，在慢慢和大家交流诉说,2021-10-11,三亚
一号汽车,"在消费者强烈呼声下，本田的PHEV车型终究还是来了，首款车型放在了CR-V这台极为热销的紧凑型SUV上，也让它涵盖了燃油、混动和插混三种不同动力系统。看似是简单的产品线扩充，不过原先的i-MMD之后悄然增添了Plug-in的标签，就隐约感到事情不简单。

虽然结构上是PHEV，但一向“黑科技”傍身的本田此次依然带来了惊喜。传统的PHEV的设计思路通常是在电量较高时采用纯EV或者HEV行驶，亏电时采用发动机行驶顺带充电，致命缺陷是一旦当电量低或耗尽时，发动机会频繁介入，整体NVH会受较大影响，油耗也会由于车重的关系而暴增，这点在自主品牌车型上尤其常见，因为电机的性能与充电效率都存在技术瓶颈。

本田CR-V锐·混动e+采用了一台阿特金森循环2.0L发动机+双电机+复杂的电控系统组成了插电混动系统，它的特别之处在于设计思路--尽可能地在发动机低效率的工况下采用EV驱动。听起来好像是一句废话，任何PHEV的初衷都是如此，这套技术的精华在于发动机的工作特点：如无必要只负责为电机充电，厂家方面也强调了本田CR-V锐·混动e+能带来“无限接近EV”的感受，当然这只是一种说法，试过才知道。

出发时电量剩余一半，正好供我们我们能够在高低电量的两种情况下来体验低速行驶、超车、高速行驶三种工况。正如同大家所了解的那样，电动机的扭矩优势较为显著，得益于参数为184匹马力、315牛·米电动机的加持，CR-V锐·混动e+起步十分轻快，这种感觉和开一台纯电车型别无二致。

超车加速时没有丝毫的加速延迟，虽不狂暴但足够线性，体感舒适，当然如果动力请求过大，发动机也会参与发电，带来更畅快的加速；高速巡航由于与之前的HEV车型的发动机介入不同，PHEV电池容量的优势得以展现，难怪有权威机构测得其高速的纯EV续航里程居然高达73.3km。

作为PHEV车型，高电量的情况下的确是很爽，那电量消耗之后又将如何呢？在低速行驶时，得益于其电量管理系统，依然可以用纯EV模式起步甚至行驶较长的距离，当然这时候的电量指示一定看得让人心慌，建议默默打开HV模式，这时候在超车加速或者快速路上，那台“被遗忘”的发动机终于能够好好表现一下了，随着发动机的咆哮声，加速力在法定速度区间内都可圈可点，不过CR-V锐·混动e+上这套系统依然明显偏向于经济性，9秒多的0-100km/h加速时间对于电机的潜力来说还有很大的上升空间。

来到高速路，由于到了发动机的最佳效率区间，选择HV强充电模式是最合适不过的选择，这时电机会与轮胎断开连接，由发动机直接驱动车辆的同时发动机还会对电机进行充电直至60%左右。这里提一嘴动能回收，CR-V锐·混动e+拥有4种力度可以选择，方法是通过方向盘换挡拨片切换，十分顺手。

低电量情况下的一通操作让人熟悉，这不就是本田原有的HEV工作原理么，从表面看是没错，但远不止于此，重要的原因便在于PHEV明显更大的电池容量。首先是纯EV行驶时间有着巨大优势，甚至每天的上下班出行都能以纯EV模式解决，充电可比加油便宜多了。其次是同样在主动充电或者动能回收的模式下，CR-V锐·混动e+的电池能够充进多得多的电量，不像HEV车型那样需要发动机更频繁介入，对于整体的NVH以及油耗都有着更佳的控制，权威机构也做了相关测试证明了这一点。

除去整套动力系统的表现，CR-V锐·混动e+的行驶品质方面分为2个纬度。在NVH纬度，纯EV低速模式下，得益于发动机的0噪音以及ANC主动降噪，整车的NVH十分优秀，当然速度一旦起来，风噪、胎噪依然可闻；在HV模式下，发动机噪音会随介入强度变化，不过好在除了急加速时候发动机的声音，其他时段都能接受；HV强充电模式下发动机在为电机充电时会发出一种特别的声音，不过对于NVH影响几乎可以忽略，只是需要习惯。

而在底盘纬度，前麦弗逊、后多连杆悬挂结构与标准CR-V并无二致，整体调教显然偏向于舒适，细小的颠簸处理的较为柔和，长波等大震动也足够从容，此外得益于底盘位置额外的电池组带来的更低重心，在变道以及过弯时的侧倾反而有了进步，简单总结就是比标准CR-V更好开！

CR-V的金子招牌加上限牌城市牌照政策的因素，让CR-V锐·混动e+在初期就获得了较高的关注度，不过千万不要以为多掏了钱只是为了那张绿牌。本田在现有的基础之下，凭借对于PHEV的理解以及HEV领域的经验，打造了这样一款满电情况下纯EV、低电情况下HEV的“节能怪兽”，加上CR-V本身在其他方面极为均衡的产品力，这本身就是一台科技含量颇高的优质家用SUV产品。",2021-04-14,
达达56940621,"已经提车三个月，行驶5000多公里了。
【驾驶感受】
最满意的就是有电动车的操控感。起步和堵车的时候，没有换挡的顿挫感。前进除了d档以外，还可以选择b档，是一个能量回收档位，对于我个人觉得b档很实用，正常都是超过限速行驶，到探头之前松一下油门，速度就降到限速以下了，省的踩刹车了。
【续航】
另外纯电续航，基本跟速度有关。如果速度在60公里以下，充满电开到过90多公里。如果开90以上的速度，纯电也就能开70多公里。
【舒适性】
我的一个朋友购买的21款的CRV油混，乘着我的车后第一感觉就是车比他的更高，感觉视野也高了很多，总体可以令人满意。

【油耗】
实测自己用家里的插座充电，充满需要7个小时。使用7千瓦功率的慢充充满需要2.5小时。亏电状态，开高速120公里时速，百公里油耗接近6个，如果开到接近140公里，油耗要6个多。",2023-09-19,北京
