字段1_文本,字段2,时间,字段3,时间1
知料汽车,"合资品牌几乎所有的新一代纯电车型我都试驾过，包括丰田bZ，大众ID，奥迪e-tron，美系雪佛兰畅巡，韩系的菲斯塔等等，所以对东本的e：NS1其实期望是比较高的，但从实际的初体验来看，我觉得有些遗憾，特别是结合它的售价区间。为什么这么说呢？下面来解释一下。

【最满意】第一眼确实会被e：NS1的外观造型吸引，再加上这个特别醒目的车身配色，很容易俘获年轻用户的心。开一圈下来，对内饰啊配置啊动力感受都有了比较清晰的认知之后，回过头来再看外观，这些设计依旧能吸引你再看一遍。高颜值就相当于成功了一半，设计团队的功夫没有白下。

内饰和配置部分，说实话并没有特别的新鲜感，毕竟包括特斯拉在内的新势力品牌拽着行业跑了这么多年，像驾驶辅助、智能车机这些功能，如果没有反而会被消费者减分，e:NS1内饰用一块大屏幕来基本上搞定了所有操作，显示区域划分是比较清楚的，液晶仪表盘给到的信息也比较易读。其中比较有意思的一点是，人脸识别和动作识别很灵敏，可以在驾驶中有效提示很多不安全的操作，这一点是我没有料到的，可以达到和新势力品牌媲美的程度了。

从车身尺寸应该也能发现，这是一款小SUV，2610mm的轴距在实际使用中，前排坐入一名身高在180cm以上的驾驶员，后面身高180cm的同伴就只能采用北京瘫的坐姿无法并拢双腿了，所以空间并不是这款车型的优势，很明显它在乘坐空间和后备厢之间是做了和燃油车相类似的取舍，让这款纯电动产品用起来更像燃油车，也就是说，即使后排乘坐空间已经比较紧张，还是没有采用进一步加长轴距的设计，这样就呈现出一个更漂亮的溜背造型，后备厢也就留出了比较大的储物容积。

动力和驾驶感受是我期望值比较高的部分，实际体验中，150kW前电机的加速感受实在不能要求太高，再考虑到从侧面稍微俯下身就能明显看到的电池包，说明这款车型从结构物理学角度也不具备支持更高性能的能力。所以驾驶的全程我尽量放平心态，和车载电脑开启对赌真实续航的游戏。结果还是令人满意的，尤其是这次还加入了很长一段高速公路的行程，最终表显续航反馈和真实行驶里程的达成率能够达到90%左右，当然，这是在北京初春的气温条件下的成绩，很期待在冬季再来一次续航测试。

【最不满意】底盘的反馈是我比较失望的所在，硬或者软我都能理解，但是e:NS1给我的感觉有些松旷，这和我对本田品牌的认知是有出入的。

小结一下，现在东风本田e：NS1的售价已经发布了，从价位区间可以感觉一些错位竞争的气氛：比ID.4便宜，比ID.3续航里程长。但是这个级别这个价位的新能源车型，自主品牌有大把可以产品选择，是时候考验消费者对本田品牌的信任度了。",2022-04-26,,
路客汽车LA,"随着纯电动汽车市场的内卷，各大品牌都纷纷推出了高性价比的电动汽车。而在今年的4月份，本田也推出了e：NS系列的首款电动汽车——东风本田e：NS1车型，我们一起来看一下这款车有何优缺之处。

【外观个性时尚】本田e：NS1的外观和海外版的缤智有着很多的相似之处，有种“兄弟见兄弟”的感觉。整体采用e.N Design的设计语言，封闭式的进气格栅彰显电动汽车的身份。中间搭配可发光的扁平化logo设计，十分具有科技气息，并且这个设计将成为今后e:N系列车型的新标识。中间盖板可以打开，内部隐藏了快慢充电的接口，快充的话大概只需40分钟左右，日常紧急充电之类的也很方便。两侧的大灯组造型狭长，还可实现“Heart beat 心动交互灯语""功能，不仅照明感够强，还给你满满的仪式感。

车身长宽高分别为4390*1790*1560mm，轴距为2610，整体尺寸和本田XR-V基本持平。后门把手位置以及开合方式也和XR-V基本一致，是本田的标志性设计。硬朗的线条营造出侧面十足的运动气质，包括下方18英寸马牌UC6轮胎，也很具有运动感觉。不过电池放在了底盘上，所以车辆的离地间隙相对较低，通过性略显不足。但是像无钥匙启动系统、无钥匙进入功能以及远程启动功能等都有配备，科技感得到兼顾。

车尾的整体设计相对简洁干练，时下相当流行的贯穿式LED尾灯组，加上全新的本田英文标识Honda，预计会成为路上一道独特的风景线。掀背式尾箱不仅空间不小，开启之后的尾门高度也很高，不会担心放东西时会碰到头之类的，配备离车自动关闭和防夹功能，对于忘记关尾门的你，是不是相当周到？还配备了电动后备箱、感应后备箱以及后备箱位置记忆功能，十分的科技现代化。

【内饰简洁 质感提升】本田e：NS1的内饰一改往日品牌下硬质塑料为主的特点，采用了大量的仿皮材质包裹，质感将有很大提升。中控台上面为硬塑料，下方拼接仿皮包裹，凸起线条设计，展现出十足的个性。和往日不同的取消了大量的物理按键，取而代之的是中控屏上的液晶操作。三幅式多功能方向盘采用传统的本田风格设计，真皮包裹在握感上舒适细腻。10.25英寸的全液晶仪表盘显示非常清晰周到，符合我们日常的一些操作习惯。

和以往不同的是，本田此次采用了15.1英寸的超大悬浮式液晶中控屏，内置Honda CONNECT 3.0智导互联系统，不仅有AI语音助理、车家互联、OTA升级等功能，还首次使用了三个分屏功能，界面的设计感不错，操作流畅度也得到了保证。提升了不少的科技气息。此外，新车还提供流媒体内后视镜以及疲劳驾驶监测系统，当监测到驾驶者疲劳时，会通过调大空调出风或多媒体声音来提醒，相当实用。当然，安全上还有胎压报警、安全带未系提醒、并线辅助、车道偏离预警、车道辅助保持系统、道路交通标识识别、主动刹车、倒车影像、倒车车侧偏离预警以及全速自适应巡航等功能，以此来为驾驶过程保驾护航。

【乘坐空间】对于一台小型SUV的定位来说，整体的内饰空间表现都可圈可点，仿皮材质包裹的座椅在内里填充物也做的相当柔软细腻，以保证乘坐的舒适感。而后排的腿托长度也很不错，并且没有牺牲腿部空间，值得表扬。提供的独立空调出风口以及中央扶手和杯架也让后排显得更加周到温馨。个人身高175cm，前排调整到舒适驾姿后，头部空间大概在1拳左右。后排乘坐，头部空间四指出头，腿部距离有2拳，表现可以说足够优秀。

【驾驶感受】动力搭载电池能量为68.8kWh的永磁/同步单电机系统，最大输出功率为150kW，峰值扭矩可达310N·m，CLTC工况下，续航里程可达510km。参数方便几乎可以媲美市面上很多2.0T版本的车型，相当不错。实际驾驶的感受，起步时比较迅速，几乎没有延迟，这也是电动机的共性。不过这台车的油门调校兼顾了很多燃油车的驾驶感，提速时没有特别窜的感觉，比较平顺线性。方向盘上的拨片换挡可以说是本田的小倔强，不过这个是并不是换挡机构，而是动能回收的调校。三挡动能回收模式，即便开到最高，在松开加速踏板时也没有瞬间减速的顿挫感，保证了驾驶的平稳性。另外，加装了发动机的模拟声浪，在急踩加速踏板时会传出燃油车的模拟声浪，给你驾驶的乐趣。当然，满足驾驶乐趣的不止于此，运动模式下，基本可以满足我们日常对驾驶的快感需求。

前麦弗逊式独立悬架+后扭力梁式非独立悬架的组合比较中规中矩。不过整体底盘的调校相对软硬适中，没有一味牺牲驾驶乐趣来保证舒适性。不过车身的整体俯仰控制不错，加上底盘的柔软调教，可以减少很多颠簸以及晕车的感觉，保证车内的舒适环境。不过美中不足的是，降噪性方面不是特别出色，驾驶过程中的风噪以及胎噪都能明显有所感受。

【总结】本田e：NS1外观相对个性，内饰也比较科技豪华，动力感受以及续航能力都不错，但20万左右的售价个人感觉有些略微偏高，不知道正在考虑买电动汽车的你，觉得如何呢？",2022-05-20,,
合车社,"【外观】
从去年10月本田中国电动化战略大会亮相以来，东风Honda e:NS1作为Honda纯电动品牌e:N系列的首款车型，继承了本田70多年的造车基因。

从外观上来看，采用e:N Design设计理念，时尚感和未来感都很强，狭长的大灯与多边形的封闭式中网相连，没有太多复杂的线条，而且车标还会发光，充电口盖板呢是内翻的设计，跟一般的车型不一样，在充电过程中还有灯语表情，是不是有点意思。车尾的品牌标识也从原来的“H”标变成了Honda的英文字母，视觉上看起来格局一下就大了有没有？

【内饰】
如果你觉得外观设计还不够大胆，那内饰在电气架构下所营造出来的氛围就很不本田了“科技感”这种形容词也难得的用在了本田的内饰上，首先我们来看看他的设计，横向采用了使用了曲线和平直线条混搭的设计，出风口和中控台面板层次分明，还带氛围灯，给人设计感还是很强的，整个内饰最吸引我的呢，就是这块15.2英寸的触摸屏，应该是目前我见过的本田车系里最大的一块屏幕了，里面搭载了Honda CONNCET 3.0 纯电车型专用的版本，他的出现大大简化中控的实体按键，空调控制面板也集成在了里面。

同时他也可以和全液晶仪表盘进行联动，听工作人员介绍目前系统还不是最终量产的状态，后面就等拿到试驾车再跟大家家好好探索一下他的功能了，从目前交互手感的反应速度和逻辑来看，还是比较靠谱和跟手的，不会说有明显的卡顿与延时。

质感方面在中控台上、门板扶手都用上了皮质材料覆盖，摸上去比较细腻，观感也不错，纯电车型在用料上还是比较舍得的。这一点上本田似乎悟道了点什么。

科技配置上像流媒体后视镜，自动泊车、360全景影像，带车道保持、碰撞预警的全速域ACC等等这些功能都有提供，总提来看的确是跟的上目前的电车应有的一个水平。

【后排】
那他的后排空间我像大家就不必多虑了，在燃油车时代就能偷出这么多空间，作为空间魔术师的本田在新能源车型上，那自然更不会让大家失望，2米6多的轴距，数据看起来不大，但是腿部空间很大（具体根据实际体验叙述）有纯平的地台，空调出风口和两个充电接口，这些都属于常规操作了，最让我意外的是后排座椅居然还带有加热功能，这也太阔了吧。总体来看他空间够用配置够高，但是嘛去缺点就他的中间座椅和靠背隆起较为明显，坐着不够舒畅。

【动力】
新车动力方面将推出两种续航版本，分别位420公里和510公里，两款车型电池组种类均为三元锂电池，电机最大功率为150kW，应付日常使用应该是没有压力的，并且在运动模式下会有充满运动感的Honda EV Sound加速声浪。

其实e:NS1动力部分最大的亮点在于：这是一台非常容易上手且开起来像“燃油车”的纯电动汽车，延续燃油车时代“动力本田”的核心优势，e:NS1号称找到了“操控的喜悦”与“乘坐的舒适”间的平衡，得益于最先端的Honda CONNECT、Honda SENSING系统，他将为用户提供安全、舒适、高效的智慧出行体验，那至于是不是真的如此，等我们拿到量产版的试驾车，开起来后再跟大家分享动力部分的真实情况。看看他到底有没有水分，大家点个收藏，保持关注。

【结尾】
随着新能源汽车的快速发展，汽车行业正处于一个巨大的变革时期。想要在这场洗牌中抓住机遇，是需要随时紧跟行业主流发展趋势，才能成为最后的赢家。而在国内众多的车企中，东风Honda显然是意识到了这一点，开始加大在新能源车型上的投入。",2022-04-02,,
汽车焦点,【最满意】作为一台本田出品的纯电动车，e:NS1在驾控方面可以说完全保持着本田油车的水平，不论是动力输出的及时响应、刹车的脚感还是整个底盘的工整程度都要比同价位新势力品牌的出品来得优秀。并且这台电车开起来也完全不会有那种一顿一挫的感觉，就算是急加速也有一个迅速将进的过程，这不意味着这台车并不快，7秒级的破百成绩还是很不错的，而且还不会晕车，这点真的好评。 【驾驶感受】开起来非常像一台油车，上一个采用这种调校的还是大众的ID.系列车型，毫无疑问这些传统车企在造纯电动车的时候都遵循的好开好用这个法则，毕竟大部分家用消费者并不需要动辄5秒级的加速成绩，还不如踏踏实实做好续航。 【乘坐体验】座椅非常柔软，甚至都有点日产的感觉，前排坐姿比较高，看的远。后排虽然空间不算特别大，但是分段式天窗还是有全平的后排地台坐得还是挺舒服的。不过后排在经过减速带的时候会有略微的弹跳出现。 【续航】e动版官方续航里程为510公里，而实际在99%电量状态下，表显续航里程为397公里，虽然跟官方数据有所差距，不过实际开了160公里之后，表显续航也只是掉了168公里，很明显e:NS1的续航计算方法属于比较实在的那种，并不会为了账面上的“好看”而把续航标的非常高，其实这也我们开车出门反而会更有信心。,2022-07-18,,
驾仕派,【最不满意】好吵!这车的轮子会把路面的每个细节全部灌到这个车厢里面。无论是细小的沙粒还是起伏还是冲击，你全部都能从这个声音这里感知到，并被放大然后传到地板和座椅上。我知道你们想说本田就是没有噪音控制的，飞度也是这个样子。但家人们，飞度他有一个1.5升纯汽油机对吧，他可以嗷嗷叫，路噪就没那么突出了呀，但这个纯电车他是没有发动机的，这路噪就算得上如雷贯耳，真的我没有夸张，如果三五公里之外打一个雷，我在车内我是不一定能听得到的，所以很明显啊。 【最满意】这个车本田e:NS1不适合走高速，那在城里这个车就很合适吗？那相对会合适一些，因为这个车有两个点还是可以称赞，一个是转弯半径很，小，什么乱七八糟的小窄弯他都能转过去，有些奇奇怪怪的停车位也能倒进去，这也是小型SUV普遍的优势啊。还有一个是刹车他脚感比较好，很线性也很自然像汽油车一样，也可能是因为本田做了这么久混动有了一定的技术积累。 【驾驶感受】客观来评价的话，本田e:NS1这个动力水平无论是在高速还是低速都会让我想起本田雅阁混动版，因为我怀疑这个电机就是从雅阁混动上面搬下来的。参数十分接近，虽然本田e:NS1这个车重了差不多100公斤，但因为电机的特性，所以呢开起来并不是特别明显。你只有在很高的速度下，比如说时速110公里然后超车的时候才能感觉到车重带来的动力差异。悬架就是很典型的小型SUV了，不太适合在高速行驶，因为它会把所有的颠簸很诚实的传到这个车厢里面，然后伴随着很高分贝的噪音；城里开会好一些，转向系统我很喜欢，它比较顺滑，不会让你从车身姿态上感觉到这是一个1.6吨的车。它在刹车然后入弯出弯都是比较轻快的，但我很不喜欢油门的标定，因为大部分情况下它只有加速和减速两个反应，特别在时速二三十公里时我想要维持车速是非常困难的，他会在加速和减速之间不断切换，同时还是会产生顿挫，这就比较离谱了。,2022-11-13,,
线外邦,"首先，跟大家明确一个问题，虽然e:NS1看上去跟XR-V相似度非常高，但e:NS1确实不是油改电，而是本田全新研发的电驱平台。

【最满意】
本田最让人喜闻乐道的就是操控，e:NS1也继承了这个优点，尤其是它的操控，底盘方面，虽然是最低端的结构，前麦弗逊后扭力梁的组合看起来很是寒酸，但本田就是会魔法，底盘的表现很有质感，在弯道中能拉住车身，过滤颠簸的表现也不错，日常行驶的时候，车身的跟随性也很好。转向和刹车都是典型的本田风格，有一定的质感，但还是日系车的风格，跟欧洲车有明显的区别。
动力则是调得足够有味道，前置的单电机账面参数只有最大马力204匹，最大扭矩310牛·米，也就跟2.0T发动机差不多，实测零百加速能够做到7.4秒，分为了三种驾驶模式，日常驾驶用经济就好了，标准就有点强了，运动模式的响应很快，尤其是在中途再加速时，响应非常快，甚至能给踹你一脚的感觉。

【乘坐体验】
e:NS1的空间表现也继承了本田的优势，虽说是车身尺寸不大，但内部空间还真的很不错，尤其是后排的腿部空间，有很大的余量，不过因为它是溜背的设计，导致头部空间显得很是局促。

【续航】
官方标的续航里程为510公里，实际充满之后的表显续航里程497公里，表显续航里程会根据你是否开空调、切换驾驶模式以及当前的驾驶习惯进行调整，实际能跑400公里以上，表现很不错了。

作为本田的首款纯电车型，e:NS1并不激进，调校思路也跟本田燃油车的调校思路相近，开起来对于开惯了燃油车的人来说更容易适应。综合来看，e:NS1是一款很不错的车型。",2022-04-26,,
二师兄玩车,"缺点一：续航短
本田e:NS1的最高续航里程表现为500km，这样的续航里程表现基本可以覆盖我们的日常用车需求。但是，这样的续航里程表现放在当下，完全没有优势；要知道，与本田e:NS1处在同一价位的国产车型，续航里程少说也有六七百公里，相较之下，本田e:NS1的续航里程表现确实不值一看。

缺点二：定价高
在上文中，我们之所以会提出本田e:NS1的续航里程表现一般，主要原因之一是这款SUV的价格偏高：本田e:NS1的起售价就要17.50万元，最高售价则是要21.80万元。在纯电动车领域姗姗来迟的本田，是觉得自己的本田标比较值钱吗？还是觉得自己在纯电动汽车市场，可以像在燃油车市场那样，做到“一呼百应”？

有网友就指出，本田e:NS1的价格真的不低。

缺点三：快慢充电口的设计位置不合理
除了上述两个短板外，我们还发现，本田e:NS1的快慢充电口都设计在车头Logo盖板内，这就意味着在垂直车位上充电的时候，e:NS1的车头必须向内。

显然，本田还没搞清楚中国的用车场景：在美国，车尾比较宽，用户可以一头扎进去；但是国内的车位一般比较窄，我们习惯倒车入位。而本田e:NS1的充电位设计，就与我们的驾驶习惯很不符合；为了充电方便，我们开着本田e:NS1，就只能一头扎进车位里了。


缺点四：空间规划不合理
本田历来有“空间魔术师”的美名，但是在本田e:NS1上，我们却没有体会到这一点。由于车辆的电池结构将地台升高，我们发现这款SUV的乘员舱的头部空间被明显挤压，如果你身高超过180cm，这种压迫感还会更明显一些。

有车主就表示，自己觉得本田e:NS1的乘坐舒适性很一般。

缺点五：不支持CarPlay
众所周知，智能网联化是新能源汽车的最大卖点之一，本田e:NS1配备了Honda Connect系统，支持语音控制、OTA升级以及Wi-Fi热点等功能。
但是，这套车机系统支持CarLife功能，却不支持CarPlay功能：这对苹果用户来说，也太不友好了。

优点一：外观造型科技感较强
说完了本田e:NS1的缺点，我们再来谈谈这款SUV的优点。
在我们眼里，我们觉得这款SUV的优点之一，就是外观设计得比较好看有科技感。这款SUV的前脸部分采用了全封闭式的前格栅设计，两侧大灯组由一个贯穿式的亮黑色的装饰面板连接，提升了车头的视觉宽度；而且大灯组还可实现“Heart beat 心动交互灯语”功能，比较有个性。

车侧部分，这款SUV采用了比较硬朗的线条设计，18英寸轮圈一定程度上带来了比较有冲击力的视觉效果。

车尾部分，这款SUV的车尾造型比较简洁，拥有类似溜背式的设计，让整车看起来具有一定的运动感。

关于本田e:NS1的外观，许多网友也和我们看法一致，觉得这款SUV确实挺好看的。

优点二：内饰设计比较新颖
本田e:NS1的外观造型，让我们觉得眼前一亮，这款SUV的内饰设计，也可圈可点。
内饰方面，本田e:NS1采用了电动化新时代的设计理念，10.25英寸全液晶仪表盘搭配三辐式多功能方向盘，再配以15.2英寸的竖置中控屏，科技感较强。而且中控台取消了大量物理按键，整个内饰设计确实比较新颖。

优点三：开起来比较轻松
本田e:NS1的动态表现也挺让我们满意的：这款SUV开起来比较平顺，没有刻意追求感，整体驾驶感受比较轻松。而且切换到驾驶模式后，这款SUV独有的加速声浪确实带感，能给我们的驾驶增添不少乐趣。

另外，这款SUV的动力回收强度也是经过一番考量，拖拽感比较柔和、容易适应，介入也不算突兀。",2023-01-01,,
有点车事,"作为本田在国内首款纯电车型，东本用e:NS1揽下了这个重任，而从实际体验来看e:NS1也体现出了足够的实力和诚意。

【驾驶感受】e:NS1即使是纯电车型，但驾驶起来仍然保留着本田特有的驾驶体验，转向手感固然轻快，但是依然能让人时刻获得一定的路面反馈，并且能带来足够的驾驶乐趣。

【乘坐体验】e:NS1的空间表现不错，头腿部空间都发挥了本田车型一向的优势，在行驶时也给予了一定的舒适性体验。

【最满意】e:NS1整体完成度让人满意，既展现了自身品牌的技术积累，又向消费者体现了作为新世代本田车型，仍然能为车主的日常用车带来充足的实用体验。",,,2022-04-30
老黄开车,"最满意的地方：眼看近年油价不断上涨，觉得新能车也是个很好的代步选择。e:NS1的巡航实际里程还不错，市区通勤上下班和接送孩子全靠它代步，基本小半个月才充一次电，那是相当的划算。宽敞的空间表现作为一台小型SUV来说还真是挺满意的，日常使用没什么问题。

最不满意的地方：隔音水平一般貌似是本田车老生常谈的话题了吧，开起来那种所谓的电流声倒是没怎么感觉到，但是速度快起来之后还是能听见胎噪和风噪的。还有空调系统的调节要是有实体按键可能会实用一些，因为触屏的设计开起来后不好盲操作。",2022-10-19,,
买车家,"前几个月，东风本田旗下的全新纯电动小型SUV车型——e:NS1正式的上市，这款车无论是从产品角度还是战略角度上来说，都算得上是一款重磅产品，所以新车上市之后也迅速吸引了一大波粉丝的围观。在外观上，e:NS1的车头整体比较干净，看上去很有运动气息。前车灯十分简洁，视觉冲击力不错，但设计上总给人一种熟悉的感觉。该车配备了LED日间行车灯、前雾灯、大灯高度调节,自动开闭,自适应远近光,延时关闭等。坐进车内，本田e:NS1内饰可以说是突破了东风本田一贯的设计风格，整体看上去很有凌厉的感觉，方向盘设计不错，还配备了方向盘手动上下+前后调节等功能，并且厂家为了更追求极简化的设计理念，还取消了车里大量的实体按键，取而代之的是触摸式按键，就连档把的设计也采用了电子按键的换挡方式，营造了不错的科技感。配置上，该车搭载了15.1英寸的触控液晶屏，卫星导航系统，导航路况显示，支持Carlife，车联网及OTA升级等等，不过说实话，e动版虽然是中配版车型，但售价已经超过了20万元，并且功能配置与售价结合来看，在性价比层面确实不高，不过倒也可以满足日常使用。这台车电动机最大马力达到了204马力，动力性能还算不错，续航为510km，从在动力与续航这两个电动车最重要的参数方面，这款车还算是跟上了目前市场上主流电动车的水平，不过从售价来看，个人觉得这款车的性价比并不算很高。",,,2022-07-22
