字段1_文本,字段2,时间,字段3
麋鹿的Luu,"【购车经历】
北京家庭新能源指标在23年5月就下来了，期间关注了很多20万元价位的汽车，小鹏g6，深蓝s7，byd宋，id6，飞凡r7，当然还有我们的小狐狸，基本也都试驾过，总的来说这个价位的汽车都多少有点不完美。个人性格比较稳重，所以不是很喜欢智驾，这也是这个价位最终选择小狐狸的一个原因吧。
就这样拖了将近一年的时间，赶上年前极狐有优惠，在自己心理价位，并且除了智能化基本上配置拉满，这真的很满意。试驾过后毫不犹豫直接订车，一周左右就上完牌开上小狐狸了。

【驾驶感受】
极狐单看数据来说动力不是很足，之前我开的沃尔沃xc60，驾驶感受感觉还挺像的，基本不用太多适应，而且电车加速真的快，即便动力数据不出色但实际驾驶来说真的足足的了。


【空间表现】
空间和内饰一起说吧，试了这么多车，储物空间小狐狸应该是最大的了，该有的都有后备箱也足够大，后排放倒能放很多东西。内饰的屏幕真的是心头爱，副驾驶也能看视频，我和女朋友都很开心。

【最不满意】
最不满意的就是车机流畅度，虽然我不喜欢智驾也不喜欢花里胡哨的东西，但是说实话车机刚开机还是很卡的。虽然使用过程中没出现过卡死的情况，但流畅度有待提升。",2024-02-21,北京
Cx5295,"入手小狐狸也有半年了，刚做完首保。跑了快1万公里了吧，说一说自己的看法。
【空间表现】
       后备箱空间确实是小了一点，前后排的空间很大很舒适，后排可以跷二郎腿也没什么问题
【续航】
       续航还是蛮扎实的，冬天基本可以从太原往返石家庄（还是比较极限的） 夏天充满电688的续航去跑高速到目的地一共322公里，到达后还有200多点的续航。从太原去青岛中途还是需要充电一回的
【智能化】
       不是高通骁龙的芯片，车机真的是拉胯，响应速度和系统要差，希望后续可以升骁龙的芯片
【驾驶感受】
       之前有4、5年的油车驾驶经验，入手小狐狸前试驾过蔚来es5、比亚迪汉和吉利星越混动，蔚来就不用说了，如果经济实力允许闭眼入。吉利的驾驶感还是不错的，比亚迪的驾驶感受是最差的（仅个人观点），当时试驾员很自信的跟我吹嘘了半天底盘，说加速入弯很稳的，试了一下真。。。比亚迪的底盘懂得都懂吧，通过比亚迪的试驾，开上小狐狸的感觉很舒服，有种开油车的感觉，加速很稳，底盘过减速带反馈挺不错，高速跑过170多，感觉还有余力，但是车顶天窗的风阻声响有些大了就，正常跑静谧性还是挺棒的。最后考虑市区通勤还是选择了小狐狸，主要贷款政策太香了。现在手机app上也可以买电了，我和我媳妇两个人一人1000两年充电应该是够死了。
       最后还是除了车机，这个车还是不错的，毕竟背靠北汽",2024-02-09,太原
微笑远山out,我买的是极狐森林版T688E，冰灰色，整体很漂亮，遗憾就是车头看着比实际小，不够大气，可能厂家是为了整体效果吧。很喜欢标志可以点亮，还有开门时的激光车标。内饰最喜欢的是三联屏（顶配有抬显是四联屏，觉得多9000不划算没买），看着就很上档次，现在后悔了，还是该买顶配。晚上在配合氛围灯，更漂亮。驾驶位和副驾空间很大，腿可以伸很长。后排够用。作为中型车，空间差不多了。吐槽的是车机系统智能化一般，语音识别容易听不懂或者混淆。车载百度地图比较烂，远不如手机版的好用。我对车内空气质量要求较高，喜欢森林氧吧模式，换气时候感觉空气要清新。最喜欢的是小憩模式，特别跑长途时候，一边充电一边在车内休息。会自动打开按摩功能，然后可以选择不同的情景模式，我比较喜欢选择年轮低语情景。全景天窗天气好的时候可以用下，平时我通常都把遮阳帘开启的。续航理论上688公里，但是三元锂电池通常充到90%就是实际620公里，说经常充满会影响电池寿命。三元锂电池这方面是不如磷酸铁锂电池的，可以满充满放。这个问题卖的时候销售没说，提车时候才说，心里多少有点不舒服。因为我用车多，经常长途，提车不到三个月，都开了16000公里，真实续航里程是会直接影响我选择品牌和车型的。但是销售确实态度非常好，也就忍忍没说了，何况也不能因为这个就不要车了，上牌这些都办完了。在四川跑高速测试按照100公里巡航，节约用电可以达到8.243折，如果放开了用电，比如空调，按摩，氛围灯这些都打开，速度在120公里，能达到7.23折，电池续航靠谱，是这个车子的亮点。这也是朋友一直推荐我买这个车子的理由，朋友买的是708S。方向盘加热和座椅加热真的很实用，特别是在一个人开车，感觉冷又不想开空调的情况下。顶配的后排座椅可以加热，适合老年人。整体说来这个车子性价比高，物有所值。,2024-01-07,成都
只爱陌生人3465,车机智能化是短板，希望车机灵敏性变好点。服务还是可以的，夏天开空调续航7折左右，还没有跑过长途高速，还没有开过冬天。新车没有任何异味。车内空间大，后排可以轻松跷二郎腿，车身大，转弯半径大，开了一个月了才有点适应。洒过水的柏油路上起步时候，稍微电门点深一点就有轮胎打滑的感觉。过地下车库减速带时候震撼明显，滤震效果一般。跑起来是真的稳，加速度感觉也很舒服。智能尾门的AR投影经常失灵，踩几下不开门的时候被旁边人看的好尴尬，尤其大雨中、强光烈日下最容易失灵，售后说后期OTA升级了就好了，但愿吧。中控台偶尔会有轻微的咯吱声，感觉像热胀冷缩引起的板件伸缩摩擦声。充电桩免费送、20万三年零息零手续费，这些也是吸引我买他的要点，我直接把准备好的买车钱拿出20万去还了20万的房贷，房贷利年率是4.4%，三年省去利息就是26400元。这车总结起来优点缺点都有，缺点就是纽曼做的车机娱乐系统太一般了，坑洼路滤震效果一般。优点相对缺点还是要更突出更多一些，车身安全性、内饰环保性、开起来的平稳性、续航真实性、对客户的服务、优惠力度大等等都很好，总体来看还是值得入手的，开了一个多月了，已经跑了2400公里，感觉还不错。,2023-08-22,西安
小乐夫,从年初决定要买车开始，先后依次对比了问界M5、E5，ID6，小鹏G6，极狐是最后才注意到的，但是极狐一出现在印象中就觉得这应该就是自己想要的满足自己需要的车了。 首先，我们一家三口，有7岁小孩，买车的需求是满足自己通勤和周末节假日在北京周边出游，预算25以下； 第二，安全作为首要考虑因素，在一开始，这一点包括车身强度和电池安全性，这一点在对比过程中参考了网络上的一些评测，感觉各有千秋，但在刷单极狐与某车碰撞之后，自己极狐的80公分涉水深度之后，感觉极狐整体上还是可靠度更高； 第三，作为家用，舒适度作为第二考虑因素，具体包括空间，内饰；空间在对比的几款车里E5最大，极狐上中，太大了停车作为非老司机来说会受到一些影响，所以这一轮感觉极狐还是更适合自己的需求；内饰方面，个人对可开启的全景天窗有偏爱，但有要保证在夏天有遮阳帘，这一条排除了很多同级别的车，剩下了对比的几款，除了G6；其三，希望车内异味少，这一点又恰好是极狐在懂车帝夏测中的排名中，让我给极狐的砝码增加了；而且极狐有空气净化滤芯，新车开不到一个月现在坐我车的都说车里还真是没什么气味； 第四，预算，极狐的阿尔法T688e+指导价25.4，在和几家销售商询价砍价后，空间还是不小的，这一点E5和M5优惠空间小，ID系列则最为有优势，但ID的外观对于我个人而言不太能接受，加上内饰的老气，所以这一点还是极狐胜出，极狐有3年免息贷款，这一点对于刚买房的我很友好，而且审批很方便，店里面不到两个小时就审批通过了； 第五，续航真的很扎实，这个秋天的季节通勤（一半的时间开空调）续航达成率百分之90以上； 第六，其他方面，极狐的小配置，50w的无线充电，多个高功率的USB接口，后备箱这次外放电插口，手机远程备车，包括远程锁车开窗开空调，主驾驶座位的多档位调节，腰托调节，高度调节，SUV的车身高度+座位调高的基础上，视线高度确实很爽，还有智能实体钥匙（这一点在E5群里是很多车主诟病的点）； 最后说缺点，车机用的不是8155，是英特尔的芯片，速度确实慢一点，但是没有死机的情况；智能化程度和辅助驾驶的实用性不高，当然辅助驾驶我没用过，也不知道是不是能用，个人不太敢用；另外0-100加速差一点，像我这种温柔型选手在起步的时候基本都是舒缓启动。 附图，极狐的前侧45度和屁股的颜值是我最喜欢的，卡丁车活动是极狐搞的车主活动，带小孩第一次体验，还蛮爽的,2023-09-18,北京
飞翔呆鱼,"不知不觉我的极狐阿尔法T已经陪伴我80天了，行驶了6500公里，让我在各个方面都加深了对极狐的阿尔法T的了解。就我个人而言，极狐T各方面表现均超预期，续航扎实，驾驶感受优异，做工用料足，乘坐舒适，安全性高，外观颜值时尚在线。当然人无完人，车无完车，小狐狸也有自己的缺点不足，今天分享给大家，仅供参考，欢迎交流。首先说一下我选车逻辑，再说一下目前我能感受到小狐狸的优缺点。
        我的选车逻辑：由于本人的指标是新能源纯电的，只能选择纯电车型。首先我看中的是续航，小区不能装家充桩，不想频繁的充电浪费时间，刚好极狐T是93.6度的SK三元锂电池（宁德版本是94.5），续航扎实，北京的冬天最冷零下20度，三元锂电池相对来说再低温表现稍好。第二看中的是安全性，极狐T采用的上钢下铝的结构车身，用料足，看了网上和某外资的车型对撞视频后，对极狐的安全性认可度增加了。第三看中的空间，家里有二胎的缘故，所以对空间是有需求的，极狐T无论是二排还是后备箱，空间都挺大，5个成人坐下，一点不拥挤，后备箱特别能装。第四看中的性价比，20万出头的价格，能买到一台车长接近4.8米，车宽1.94米的中型SUV，可谓是性价比满满，而且极狐T一身的名牌：93.6度进口韩国SK电池、西门子电机、圣戈班的玻璃、邓禄普的轮胎（前期也有米其林）、燕飞利仕的音响等等。
        选车期间也看了试驾了很多车型，包括：ID4、汉EV、元PLUS、C11、海豹、埃安V和Y、极氪001、G6、阿维塔11、毛豆Y，因为种种原因都没选择，最终选择极狐阿尔法T。
        优点：
1，续航扎实，驾驶感受优异，小狐狸配备的是西门子160kw电机看似数值不高，实则动力很足，况且北京这么拥堵的城市，功率多余也是摆设。底盘质感很突出尤其是过井盖颠簸路段底盘不松散。续航扎实，国庆开高速巡航110，空调1档23.5度，差不多7折。目前冬季北京综合大致电耗在20kw⸱h/100km左右，在预期内，冬天什么电车都一样电耗会突增，我的想法就是怎么舒适怎么开。
2，做工用料很足，麦格纳的工艺毋庸置疑，采用上钢下铝的结构车身，上车体采用高强度钢材和热成型超高强度钢，实现了高强度笼式车身；在下车体采用铝合金材料，实现轻量化的同时保证碰撞吸能和载荷传递，阿尔法T整车扭转刚度高达55000 Nm/deg，带来的好处除了碰撞更安全，同时能提升整车操控性、驾驶舒适性、静谧性，以及整车耐久性。此外，极狐在笼式结构最关键的A柱、B柱都是四层结构，并且采用了强度高达1500MPa以上的热成型钢，让整个车体承受能力、抗撞能力都杠杠的。
3，舒适度高：舒适配置足够多，座椅加热，方向盘加热，前排座椅按摩，后排加热，后排空间很大，家庭小朋友多的很适合。后排放倒连同后备箱可以做大床用。
4，外观颜值在线，这个因人而异，我比较喜欢t的线条，前后设计都不错，设计大师沃尔特⸱德⸱席尔瓦亲自设计。
5，售后目前很满意，我感觉车窗和右门有异响，跟师傅聊了下，都给解决解答了。
        缺点：
1，车机确实比较一般，可以装的软件比较少。车机配的百度导航一般，据说后面会加入高德，希望早点加入。小狐狸智能语音有时候不是很灵敏，可能跟网络有关系吧，希望后期OTA升级一下。
2，辅助驾驶还需要加强，高速有轻微左右修正频繁的情况，希望后面OTA加强，不过对于没有激光雷达的辅助驾驶各家都差距不大。",2023-12-13,北京
向日葵CBJ,"终于把爱车提回来啦！漫长的购车旅程长达两年半之久…其实在2021年摇号中签之前，就开始关注新能源汽车了，刚开始看同事开着比亚迪秦、北汽EU5，感觉绿牌电车真方便，因为我的车是石家庄牌，每次办进京证都要算好日子，一年也就12次机会，从那时开始就想着买辆电车吧，再也不用限号、不用办证了…
    因为媳妇一直在家全职带娃，我们用车时间其实并不多，小迪开了8年了，也就6万多公里…所以买车没那么着急，从第一次约试驾小鹏p7以后，就开始了我的试驾之旅，那时感觉p7是真的帅，车机非常流畅，智能化也高，当时让我比较犹豫的是后排座椅有点短，后备箱还没有按键，后来看同事买了一辆，跟他细聊了一下，他说其他都好就是掉电比较快，就想着再等等吧…后来比亚迪宋普拉斯刚上市，看了看车，龙颜设计的SUV真漂亮，而且出来就成了爆款，心想大家都买肯定没问题，试驾了一下，感觉动力还差点意思，续航也一般，就想着等升级了再买吧，这一等就快两年了，在这期间，试驾了很多车，比如蔚来es6,外观漂亮，内饰高级，服务超好，感觉性价比不高…零跑C01和C11，性价比超高，看到威马的情况，又没敢买…大众ID6，车空间大，还是7坐，车门厚实，优惠幅度还大，不过后来被车机和鼓刹劝退了…特斯拉毛豆3和Y，感觉操控真好，不过内饰简单，关键后来了解到我们不能买…宝马IX3，品牌价值高，空间够大，操控也舒服，又感觉超预算了…后来就想油车干脆不卖了，买个便宜点的吧，就看了元普拉斯，操控很舒服，不过感觉空间有限，还是想买个空间大点的…
    直到今年5月份，去了趟华熙，在费大厨辣椒炒肉等餐时，看到对面有个极狐展厅，就想着看看车等着排号吧，就这样开启了极狐之约，试驾后感觉操控和油车很相似，很容易上手，用料扎实，智能化配置拉满了，媳妇也喜欢，但是看了看极狐销量，又让我有点犹豫了…后来，宋普拉斯冠军版上市了，也去试驾了一下，感觉各方面都比老款有所提升，正好有位同事也买了一辆，结果同事说气味大，坐着还头晕…让我本想下单的又停手了，后来就想着在它和极狐阿尔法t中选一辆吧，留给我们考虑的时间真不多了，手机收到几次提醒10月31日前必须买车上牌，否则失效…然后深入了解了一下极狐阿尔法t688e+，感觉安全性高，用料绿色环保，新车基本没什么味儿，心想就这个吧！在一个4s店跟销售聊价格的时候，还认识了一位同样要买这车的大哥，我们一聊很开心，大哥人很好，跟我说了他了解的情况，后来我俩约好一起团购，他也在另一家4s店聊到了心怡价格，就这样，我俩一起预订了极狐阿尔法t森林版…
    虽然提车时间不长，但对我的小狐狸已经有一定了解了。总体感觉还是不错的，漂亮的外观和内饰，买回来吸引了很多同事关注；空间也够大，家人都感觉非常舒服，都不愿意坐另一台油车了；90多度电的电池，慢充充电时间的确比较长的，不过也是晚上充一晚上的事儿，并不会有太多影响；续航总体还比较满意，688的总续航，也不怕打折了，音乐、空调、按摩随便用；舒适的配置也拉满了，森林氧吧、小憩…各种模式非常多，随便呼唤，小狐狸都会给你响应；最不满意的地方也就是车机反应稍微慢了点，上车需要等一会儿才能呼唤小狐狸，要是能上8155芯片估计会好很多，不过适应了也就好了…喜欢的朋友，现在价格优惠大，值得入手！",2023-10-15,北京
青涩船帆sVx,"【购车经历】
我之前也是一直开的纯电汽车。今年一个开同车型的朋友把车卖了，价格很理想，再加上北京出了一个置换补贴的政策，换车能拿到8000置换补贴。突发奇想，要换车，跟爱人说了之后，得到了绝对肯定，我俩就行动起来了。在我计划的品牌车型里面，极狐 阿尔法T其实并不是最理想的车型。销量、口碑排名都不靠前。但试驾了广汽、比亚迪、极客等等相似车型后，我爱人笃定的选择了极狐 阿尔法T，我当然是服从领导指令。

【乘坐体验】
我爱人并不懂车，但一圈试驾下来，她在相比较下相中了这车的外观。说后排座坐着很舒服，这当然是跟我之前那辆车比较的，要是坐过豪车的话估计就不觉得了。我儿子对车子只有一个要求，后排空间要比之前的埃安V大，对这个车，他表示满意。偶尔，充电的时候我也会在后排小憩，感觉还可以。中间去看了宋PLUS，两个人去后排座试了下就直接pass掉了，连试驾的机会都没有给我。还有，这个车内的气味确实比较小，相对试驾过的几台车。

【驾驶感受】
从试驾开始，4s工作人员就给我讲这个车注重安全，还特意找了一段不太平整的路面我感觉了下。和我之前开的埃安V相比较，这个车确实平稳，转弯也更加灵活。因为双层玻璃的原因，隔音也更好。这些是我比较满意的。相对试驾的车俩，最终购买的车噪音控制差了些，估计原因是试驾车是米其林轮胎，而实际销售的车是邓禄普轮胎。一个轮胎就差好多钱呢。

【续航】
我是7月20日左右购买的2023款 森林版 688E+，算是这个车型的第一批车主。夏天，满电基本能开到600公里以上。到9月之后至11月初，满电基本可以跑到标称值，续航还是比较实在，毕竟大电池在那摆着。暑假带孩子去了一趟张北草原，国庆节期间往返北京至济南一趟，全程毫无历程焦虑。

【最满意】
这个车子的续航、驾乘体验都可圈可点。后备箱空间对有孩子的三口之家出行也是够用的。很贴心的在后备箱准备了一个三口放电口，这个值得点赞。

【最不满意】
这个车子的车机相对不是强项，小狐狸在车辆加电后的几分钟内不会搭理我。

【提车价格】
4s送了首年保险，几次保养，礼品也是比较实用。当然，和现在的降价幅度比起来，就毛毛雨了。",2023-11-28,北京
奋发熊猫RT,"购买地点，上海
【1、想油车转电车】
从最开始想购买电车，源于本地牌照，虽然上海对于外牌的限制并不过分，但一天来回80多公里的通勤距离，油车的成本确实很高，2.0的油车一个月油费1K多，因此换电车确实从成本角度考虑很匹配。
【2、横向对比看外观和内饰】
2020年从比亚迪汉出来，心里对纯电汽车就蠢蠢欲动，但一直担心续航是否虚标以及安全性能等问题，未有进一步的行动，以观望为主。整体更偏向电动中大型轿车。当然内饰品质肯定不能太水，其中内饰有甲醛等刺激气味的一律排除，当初很喜欢的上汽飞凡F7就这个原因忍痛排除。外观对比过飞凡R7、智己LS6、小鹏G6，最后还是极狐越看越喜欢。阿尔法T的外观特别大气，前头还带有点类似保时捷卡宴前头的大灯，而车尾灯带有奔驰部分低调沉稳的味道，特别是隐藏式的后雨刮，确实是唯一一台觉得很顺眼的SUV，其他SUV就再没看过~唐当时也试驾过，但由于整车更重更大，改版后纯电前头太臃肿，看不惯。
新车到手，是有一点点新车气味，不确定是不是送的脚垫的气味，但问题不大，尽量通通风基本就没什么感觉。
【3、撞击安全第一位】
直到看到极狐的电池包碰撞测试以及跟汉和魔豆Y碰撞对比，甚至有车主分享高速近百公里时速追尾，人没事！最后认可了极狐的安全性。
【4、看线下渠道状况】
实际上2021年之前，极狐算是深藏功与名，线下购物商场新能源车一大堆扎堆推广，但从没遇到过极狐的体验店，直到最后在上海的一个商场碰到了，也是基于此开始试驾深度体验极狐。遇到的经销商和销售都很好，1年里上门试驾了3次，无论是微信咨询还是直接沟通都很详细，想办法给我提供解决方案，也是最后觉得值得信赖的。
【5、厂家政策支持力度】
比亚迪还有其他品牌充电桩上牌等还要额外各种付费，另外没有厂家金融0利息政策，最后锁定极狐…支持毕竟是要跟预算挂钩的，表示绝不当冤大头~
【6、一个月的用车体验】
（1、车机）
很多车友反馈车机一般般，作为一般使用，说实话是足够了，我的688E+，带有HUD抬头显示，结合内置百度地图，相比carplay导航，提示效果很不错。另外提及辅助驾驶，过去没来过自动驾驶车辆，完全让汽车自动驾驶是不敢的，但L1级别定速巡航自动跟车，在城市堵车里真的很安逸，脚是解放了，但预判汽车加插还是时刻准备踩刹车打断自动操控还是必要的！另外辅助驾驶还有前方和后方车距判断的系统紧急刹停操作，对于老司机也是一个帮助，毕竟不小心刮花大包围的情况太普遍了~

（2、驾驶体验）
除此以外，车子整体动力很足，5人满座下，载重500斤，突然加速，基本做到稳定的线性加速。
（3、续航能力）
688公里里程，正常10度以下，使用carplay播放音乐，不开任何控温空调，基本做到85%以上的续航。目前看历史，不开空调基本控制18kwh/100km，但零下实在要开暖气，毕竟靠靠一身正气真的扛不住，这个打开的掉电速度真的快一倍 ，大概在23kwh/100km续航。
（4、充电口吐槽）
提到充电，充电头在车头真的很不方便，车头入充电车位真的很麻烦，车子本身是超宽的，车头进停车位容易刮花。
关于其他车友说的异响问题，我是真的没碰到过，只能往后再观察~
（5、售后服务）
最后提一下极狐的售后，之前出过威马汽车的企业被收购，APP无法使用情况，之所以选择极狐，也是看中其北汽蓝谷股东里有奔驰，结合欧洲麦格纳调教技术，就认为长期售后应该不会差，目前所有问题都有车主微信群快速反应引导，消费者感知确实真的做得相当可以。
最后一句，买极狐阿尔法T绝不后悔，真的值得拥有！",2024-01-03,上海
Momo等安来,"购车经历
家在上海，上下班基本不开车，所以以前都没有用车的需求。随着孩子到出生，到今年两岁多了，每周末出行游玩没车就很不方便了，买车就变成了刚需。老婆也在今年拿到了驾照，所以她也有买车的想法，而我也一直对车挺喜欢的，比较关注，综上，买车选车提上了日程。
因为是在上海，现在的牌照政策是纯电车送免费绿牌，燃油车或者插混增程车需要大牌额度，这个要额外花费九万多去拍一张牌照，很划不来。另外对我来说，非常不喜欢燃油车的噪音和怠速抖动，所以我们基本确定要买一个纯电车。
由于是家庭用车，宝贝的滑板车、平衡车、露营的帐篷、拖车等等都要扔到车里，所以适合家用空间大还得SUV。
至于价格接受区间，15~25之间都行。开始下载汽车软件APP，关注新能源车的主播、up主。选车的范围有很多，也去试驾了很多（由于自己是本本族，所以试驾就当练车，其实试驾也没试出啥名堂，嘿嘿），关注的车有元PLUS、埃安V plus、深蓝S7、小鹏G6、极狐阿尔法T。
元plus挺好，空间稍微小了点。深蓝S7外观好看，内饰用料感觉不太好，味道有点大。埃安V PLUS也不错，但没啥突出点。小鹏G6，科技含量高，外观也是我喜欢的。一度想放弃小狐狸，定这个的，小鹏G6和极狐阿尔法T之间徘徊了好久。最终结合我的需求，选择了极狐阿尔法T。
因为是家用，并且家里有小孩，所以第一需求是安全，极狐的抗扭刚度是第一梯队的，基本没有对手；第二是环保，内饰用料要好，甲醛异味要少，刚好也了解到森林版的测评，这一项极狐也是基本排在第一位的，森林氧吧也是加分项；第三是外观，刚好极狐今年出的森林版主打色雾云灰我特别喜欢。至于也了解到极狐的弱点，车机芯片不是8155，比较拉胯，对我来说，只要有能听歌，能导航这两个就够了。再加上极狐是国企，不太担心会倒闭，售后给了三电终身质保，整车终身质保，比较满意。综上，最终选择了极狐阿尔法T。具体型号则是极狐阿尔法T 688E森林版。

使用感受
绝对越用越喜欢的，两岁多的娃开始天天吵着要做小狐狸，可喜欢小狐狸了，不开每天都要去车里待一会。续航比较扎实，电耗在15左右，还可以。每次开完车，经常还看一下APP的行车报告，看看电耗之类的。开车很舒适，比以前在老家开油车的感受强太多了。外观及颜色真的是越看越喜欢，属于经典耐看型，比较有个性，又不非主流。感觉雾云灰就是YYDS。
车机遇到过几次卡顿，遇到过自动重启一次，不过不影响行车，一会就好了，我也能接受。内饰也是我喜欢的，原来还以为白色很难打理，容易弄脏，后面发现也还好，皮质的，湿巾一擦就干净了。最容易弄脏是宝宝在车里吃东西掉落的碎渣之类的，后来买了一个车载吸尘器，就很方便清理了。
最后希望极狐越来越好，卖的越来越多。",2023-11-24,上海
