字段1_文本,字段2,时间,字段3,时间1
NeroZHANg,"7年标致车主报到，祝标致211周年大卖！生日快乐！8月20日，折腾了4个多月，终于提到我精挑细选，选中2021款4008 PHEV 三擎豪华版（青岩灰），做为不惑之年送给自己的生日礼物。提车2个多月了，行程近2000公里，下班代步，偶尔出去玩下，还没有上个高速，总体使用起来还是比较满意的。买之前，几乎对比了能对比的所有车型，CRV、URV、Q2L、XT4、小鹏P7、汉EV、唐DMI、宋DMI、RAV4、威兰达、POLO、途观L PHEV、荣威、MG新能源、领克03、05、06、2008、星越L、2008、DS7、探界者等等，对比安全性、操控、舒适性、品牌、性价比、售前售后，也交过三次10000元大定，2008致臻版、星越L、4008PHEV，最终2008因为贵阳没货、星越L厂家政策不厚道而告吹。考虑到享受国家新能源政策、燃油经济性、续航焦虑、长期持有的原因，最终在途观L PHEV和4008PHEV之间做出了选择，当然我也算老标致车主，6年前曾经入手了3008顶配，不排除有感情、使用习惯的因素。还有就是贵阳4S店的售前售后服务还行，价格、赠品、充电、洗车都还算是厚道，必须点个赞。     
      法系新能源，传说都是为了指标，贴起本在卖，先不论真假，在贵阳4S店也主推，同等价位，确实4008GT版更香，但是我很执着的选择了PHEV，原因还是科技控、数码控的原生心理在作怪。交了定金不到10天，小4就到店了，7月15日生产，我7月17日的生日，巨蟹座，满足自己小小的生日愿望。就是上牌真心不容易，这两年标致在贵阳买得太少，PHEV更是首台，上牌上了三次，一会车管所资料库的没有，一会是电机标签贴得不规范，一切折腾，只是为了证明这是贵州省第一台2021款4008PHEV么？好吧，我承认虚荣心得到了满足，感觉像是买了一台限量版车型。好不容易上了牌，又在为充电烦恼，由于“罗”物管限制的2019年前老楼盘安装充电桩，坦白说，之前没考虑到充电桩的安装，更头大的是小4只支持慢充，而大贵阳的充电站全线换成快充，哭死，还好4S店帮忙，一周有时间就去充一次，3个多小时充电，等待的时间，没办法只能在那里蹭吃蹭喝，蛮不好意思的。2000公里，2个月来说，说多不多，说少对于我来说也还好。说起来吧，除了充电不方便、比起4008GT版来说，还是有很多功能我想要，这次还是有遗憾，比如：拉帕真皮座椅(通风，加热，按摩)，并线辅助，副驾驶电动调节，电动尾门，前雷达，360全景影像，劲浪音响，氛围灯，无线充电，夜视功能。已经了解过第三方加装需要至少2个W。先说说优点：1.性价比高，同级别同配制，不考虑保值率的话，确实没有竞争对手；2.五连杆独立悬架、电动四驱两个SPA槽点都在PHEV车型得到解决；3.用料厚道，安全性、环保性，必须点赞；4.馈电情况下的燃油经济性上，缺实比燃油版要强不少，我是长期馈电，平均6点几个油，B档动能回收模式，馈电扛堵，节油效果明显；5.舒适性、静谧性还是不错，虽然不是“魔毯”和可变悬架，但是还是可圈可点；6.驾控、主动安全提示体验还是不错；7.由于地台几乎纯平，空间体验也还好（我是个180，180斤的胖子）；8.插电混动，没有理程焦虑；9.211年造车经验，诠释“买的是车，车是用来开的”；10.性能上确实不错，个人感觉也是同级别同配制最优的选择；11.倒车辅助系统，几乎精准；12.车辆钢性不错，弯道侧倾小，方向盘小巧而精准。缺点：1.保值率不好说，4S店不能享受厂家3年回购政策（我是个懒人，没卖车的打算，之前的3008也没有选择置换，继续持有，所以无所谓）；2.馈电工况下偶尔还有轻微抖动和顿挫，也许是自己驾驶习惯的原因；3.相比GT版安全、舒适性配置有所减少（可能是成本确实高）；4.官宣后备箱12V电源接口，实车并没有，这点我也没想明白；5.车机，特别是语音控制有点打头，当然舒适性、科技配置不是传统车企的强项，可以理解；6.自动上传行程相关数据，出现过不传、漏传、重复传的现象，不过通过官方指导复位车机系统可以解决；7.仅支持慢充，期待厂家有慢充转快充接口提供，花钱购买都行，谢谢；8.新能源车型专业知识培训希望加强培训，不然我都有点担心本地4S店售后维修、保养都成问题；9.插电车型，由于既要保养发动机、又要保养电动机之类，过保后维修保养成本会比燃油版高；10.相比蔚来，老用户经营、厂家衍生品开发、兑换门槛真心有差距，希望多有点投入来维系，都说法系在中国市场在卖情怀，不能让老车主失望，相说老带新不容易是不？    最后祝标致211周岁大卖！生日快乐！（保有量起来了，咱们老车主才有虚荣心、幸福感、安全感，大家说是不？）",2021-10-29,贵阳,
大海战2硬核海战游戏,"【最不满意】
谈不上有什么最不满意的，毕竟是一分价钱一分货。这套pHev混动系统成本太高了，所以一些燃油版4008上的舒适性配置并没有被放到4008phev这里来。


【维修成本】
厂家对发动机和变速箱的质保是5年或15万公里，对电池和电机的质保是8年或15万公里，质保期内没什么好担心的，维护保养的价格也是公开透明的，官网和官方公众号都可以查到价格。


【空间表现】
虽然是紧凑型SUV。但是4008的空间表现还是很不错的。外观上看起来大气不小，但是内部空间优化的却很好，以我170的身高和我家里人平均173的身高作为参考标准空间还是很够用的。储物空间也很足够，后排座椅可以46比例放倒，平整度也算很不错。


【油耗】
官方说百公里综合油耗1.7升，我实际开出来数据1.9~2.1。这是在大多数情况下是充电有电的前提之下，如果用纯油跑车身，裸车重量接近1.9吨，市区行驶不是特别堵车，综合油耗大概在7.8升左右。这完全归功于第3代1.6T高功率版发动机的技术改进。符合国6B标准。没有限制发动机的动力，结果反而油耗下降，动力提升。所以不要被什么万年不变1.6t1.8t所蒙骗。内部技术其实一直在改进。


【保养】
按使用手册正常保养，每次的价格大概就在400元左右。


【驾驶感受】
驾驶感受完全符合标致运动的调校。雪铁龙的调教是偏舒适的。由于这套混动系统的强大支持。实测百公里加速只需要5.6秒，综合扭矩可以达到520nm。三擎四驱不是吹出来的，而且你别看他是一台SUV，你开上他的时候完全感觉不出来他是SUV反而像是轿车的驾驶感受。就算过急弯也不会觉得车身重心高不稳。由于车身重量接近1.9吨。运动模式弹射起步，因为自身重量，轮胎并不会打滑。轮胎用的是米其林的3ST轮胎。四驱模式即便电池没有电了，也还可以由发动机直接驱动电机，确保叙系统的正常工作。


【续航】
纯电续航59公里。当然这只是估算的里程，实际续航里程会根据你的驾驶习惯，气候温度而变化。",2021-11-25,,
任尔风stone,提车已经一年多，现在写评价应该相对客观一点。 这个车是平时给老婆接送孩子用的，看中的是安全和环保，另外还有深圳的绿牌。 车子平时里程不多，没办法装私桩，大部分是在小区车库充1.9元每度的电，几乎感受不到成本的优惠，但驾驶感受要好很多，动力足又安静，大部分时间就是当电车开。 外观内饰方面，当时是新款刚出来买的，可算是十分满意。 动力方面，不说双电机如何，光是那台高功率的发动机，就已经是ds同款水平了。 SUV在高速上的感受还是比轿车逊色一点，但好过大部分其余品牌SUV。后悬架也是专门针对插混车的独立悬架，比燃油版的扭力梁成本要高。 最大的槽点当然是续航，但当时50多公里的插混车还是主流，这个只能怪新时代技术进步太快了。 车出现过两次小问题，第一次是寒假太久没开，小电瓶亏电导致的牵引力故障，通过回店里升级系统搞定。第二次是系统升级后，在等红绿灯时会提示发动机不能启动，但实际上照样启动，后通过换加热器解决。有网友调侃说遇到神灯是买到真货了，有点哭笑不得，算是聊以自慰吧。 如果有人问我是否推荐购买，我的回答是谨慎推荐。这个续航已经跟不上时代了，可以等等换代（这销量难保以后不生产了）。另外，故障灯对于新手司机来说还是会慌，更推荐对汽车有一定了解的朋友购买。毕竟，这辆车和天逸phev已经代表了psa最好的堆料，如果不懂得他的好，就是牛嚼牡丹了。,2022-10-17,深圳,
小马哥MR,短评一下我的小狮子4008phev。人生的第一台法系车，第一台新能源车型！ 买他的理由很简单，25w三擎四驱，1.6t油版发动机＋爽电机＋8at。加之法系的内外设计，不拘一格、特立独行的外观，30w价格车型的内饰设计风格和用料，法系的底盘调校和操控。即使电瓶亏电只要舍得踩依旧动力十足，无论高速还是低速都给人信心满满的动力储备。最后就输出一个结论，闭眼入！ 缺点肯定是有的，有点多突出！缺点就多脑残囧副驾座椅手动…没有座椅通风加热…手动尾门…后排没有中央扶手…满电续航表现30kg实际开能跑40kg…充电只有慢充…音响没有品牌…没有语音唤醒功能…市场保有量很少不保值… 虽然缺点不少，但遮盖不住优点之强大！ 25w级别插混车中的王者。不服来战~,2022-08-17,上海,
Methratt0n,"提车三个多月了交个作业，元旦赶在中期改款前订的20款豪华版，因为迟迟没下线一直等到4.19当天才提到车，等车的期间就感觉4S销售一问三不知的，有点头痛.. 还好到的是老款的.. _(:з)∠)_..
然后讲车，之前家里的老雪铁龙底盘感受挺棒的，也没出过啥问题，等到自己20年选车的时候，正好赶上4008插混发布就了解了下，后面对比了下RAV4和CRV都感觉差点意思，还是决定上了4008插混~ 
外观内饰都挺好看的，设计感很足，质感很棒，（就是因为这个没买配置更全的天逸，毕竟舒适性配置后期基本都可以加装），常用功能基本都有独立的物理按键，切换设置很方便，除了差些舒适性配置其他功能基本都有。小方向盘不挡仪表，很灵活，手感很棒，电子助力比以前的电子液压助力低速时轻快省力，多了ACC之后高速路况开车很舒服，车道保持辅助比朋友的19款福克斯强不少..
动力系统和欧洲版应该差不多，综合功率300匹，日常使用感受很棒，低速起步电机响应很及时，随踩随有，没条件测零百，测过0-60，用了3秒，没有专业设备，仅供参考吧.. 中高速发动机介入也很平滑，隔音挺棒的，只有100+往上才会逐渐感觉到有一定的风噪。
能耗方面，暂时没装私桩，平时以加油为主，提车之后电驱的情况下开的比较激进，发动机介入之后考虑说明书说的磨合期暂时没用特别高的转速，基本4000转以内。市区高速差不多55开，起先满电纯电续航只有38km，最多遇到过表显42，上周突然想测试下电耗，只开送风纯电模式满电跑了59km，充了11度电，百公里电耗19度左右。目前累计4265公里，充了6次电，总共58度，加了270L油，扣掉充电里程的百公里油耗大概6.77，不扣的话6.33，和小熊油耗记录的差不太多。省油小技巧是多开电量保持，平时市区20km电量保持油耗不超过6个的样子..当然要是有充电条件的话充电最好.. 
底盘驾驶感受挺棒的，很整，高速很稳，有了四驱和后轮独悬，过坑洼路面很舒服，通过性也有一定的加强。刹车踏板比较线性，偶尔开电量保持刹停的时候会有闯动，但整体感觉还不错。日常使用B档比较多，不会有明显的拖拽感，但是B档充满电之后松油门就基本没有动能回收了，跟车开电量保持MAX习惯靠B档减速的话需要注意下电池电量。
车内味道很小，座椅出厂的保护套有比较大的气味，撕掉之后两三天车里就没有味道了，车内乘坐空间基本够用，座椅也比较舒服，副驾只能手动调节而且靠背是旋钮的比较难受，储物空间方面扶手箱挺大的，塞过17瓶魔爪..门板的储物格也比较实用，后备箱感觉稍微小一些，但也够用..
厂家给的政策是5年整车质保+8年三电质保，送了6次基础保养，7500保养一次，前面三年除了保险基本没有额外费用了。店里还送了常规的一些精品，就很省心。
放几个目前自己发现的缺点：APP功能比较实用但是体验相对一般，经常开小差刷新不出当前状态，行程记录不完整而且油耗电耗不准确；配置偏低，好多舒适性配置只能自己后期加装；倒车影像像素低，成像很模糊；好像没有原地增程的模式，没办法靠发动机原地发电；车机启动的时候中控屏会比较卡；偶尔不能纯电启动，点火发动机直接介入，等发动机热下机之后又可以纯电走了...其他问题就没有遇到了，到目前为止还没见过亮故障灯，可能是运气好吧..",2021-07-23,日照,
4008PHEV车主,"很帅气的一款SUV,适合有充电环境下使用!亏电行驶体验感没有比有电的时候舒服,轴距大空间大!后备箱表现一般 底盘好!滤震效果一流，隔音好到有时候连后车按喇叭都没听到， 【提车价格】 我落地连保险总计24.6万",2021-09-14,上海,
坚持所坚持446,优点：外观漂亮，动力强，隔音好，地盘质感好，高速行驶稳，起步迅速，省油 缺点：空间乘坐够用，装载力不行。和GT比少很多配置显低级。官方标注的后备箱12v电源，实际没装配。但是基本重要配置都没减，只是在不太实用的上面减了不少 关于混动：电驱先用，用完了电瓶还实际有不少电用来加速，启动，并在发动机最佳区间给电瓶填充一点电量。急加速三引擎的介入和退出有顿挫感觉，不很明显，不影响，毕竟急加速很少用，正常行驶和加速三引擎切换基本不会有声音和顿挫带来的感觉，除非很安静的低速行驶时切换，基本遇不到。 实用方面缺失：没外放功能，后排不能放纯平 总体感受：质感，动力，驾控，舒适都很优异的一款车，且有5年整车质保，8年三电质保，送6次保养，还能7折买保养，单次也就400多小保，免了购置税，期待后续使用会不会出小毛病多少。上量雪铁龙c3xr从来没修过。,2021-07-14,武汉,
高转青年,"【最满意】这么一款家用紧凑型SUV开起来、坐起来挺舒服，如果你是个偶尔想暴躁一下的小伙子，它的动力响应、动力储备也能让你满意（电量充足的情况下）。

【最不满意】在堵堵停停的路况下，车辆频繁停车、起步，发动机与变速箱相结合或车辆低速换挡时会偶尔产生抖动。

【驾驶感受】当车辆有电时，其动力响应、换挡平顺性都表现不错，你会忽略变速箱的存在，同时车辆提速响应跟脚。当车辆馈电时，发动机成为主要的动力输出源，并为动力电池充电，此时车辆动力响应表现很一般，除了发动机功率有限外，变速箱的降挡反应慢也是拖后腿的主要原因。

【乘坐体验】悬架对小颠簸的过滤比较到位，不论是前排乘客还是后排乘客都不会感受到太强的冲击感。不过悬架整体行程都是偏软的，在经过颠簸后，车辆会有一定的多余跳动；而且悬架、底盘的紧致感、厚重感还有提升空间。",,,2023-02-21
汽车相对论,新款标致4008 PHEV采用标致全新的家族式设计语言，前脸采用了无边框设计理念，前格栅与车身包围融合式设计，延展了车头的视觉宽度，同时整车LED大灯与中网相结合以及獠牙式的LED日间行车灯很又大幅度的增加了整车的辨识度。同时侧面采用隐藏式B/C/D柱设计，营造出悬浮式车顶的效果。而尾灯上采用了熏黑式的设计，整体上延续了现款车型。使得整车低调中彰显精致。 新款标致4008PHEV尺寸方面，长4510mm宽1850mm高1628m轴距为2730毫米。在内饰上采用了标志最新的i-Cockpit座舱，搭配多功能方向盘，以及12.3英寸的液晶仪表盘和10英寸的中控显示屏，使得全车的科技感不言而喻。在动力方面新款标致4008 PHEV采用1.6THP高功率版涡轮增压汽油发动机，该发动机可以提供最大功率为200马力，峰值扭矩为300牛米。同时搭配两台用于驱动的电机组以及一台辅助的BSG启动/发电一体式组成的混动系统。匹配的是8速变速箱。两台电机包括爱信永磁同步电机和法雷奥西门子永磁同步电机。位于前轴的P0电机主要用于提升混动模式下发动机介入工作时的平顺性。P2电机集成在变速箱中，P4电机装在后轴上，由此构成“三擎四驱”的动力系统。此外，全新4008 PHEV 4WD在后桥采用了全新的后副车架结构，配合五连杆独立悬架。,,,2021-05-08
汽车网评,标致4008 PHEV使用了1.6T的涡轮增压发动机+前后双电机插电混合动力系统，综合功率221kW，8AT的爱信变速箱日常行驶升挡平顺，降档较慢。纯电模式下NEDC续航里程为59km，可上绿牌。外观与燃油版没有太大差别，内饰造型也是一模一样，椭圆方向盘、12.3英寸全液晶仪表盘、8英寸触摸屏和钢琴式实体按键。4008 PHEV可以在享受法系车风格同时，也能有不错的燃油经济性体验。,,,2021-07-12
