字段1_文本,字段2,时间,字段3
软软的绵绵,"【购车经历】
买车的决定比较突然，之前的车是个16年车龄的老丰田，车很皮实一点毛病没有，但是太老了，没办法安装安全座椅，孩子小，乘车安全难保证，和媳妇一商量，决定年底买辆车，天气暖了可以带孩子去远一点的地方。
一开始看的都是油车，预算在25万左右，看了不少车，价格都谈的不错，车也都试驾了，比较纠结怎么选，结果回家路上，我媳妇提了一句绿牌子是不是不限行，一下点醒了我，索性整个新能源吃吃螃蟹?。回来考虑了一下，考虑到偶尔长途的需求，把选择范围放到了混动车型上，看了问界M7,比亚迪的几款，问界新上，比较火爆，各方面都挺好，但是只能勾到最低配，比亚迪我媳妇比较中意唐，但是我总觉得车型太老，来年万一上新款，老款又得大降，反倒是宋plus和宋L(可惜是纯电)比较顺眼，回来考虑了一下，觉得车够用就行了，也不一定预算上那么高，就对20以内的混动车型进行比较，结果就看到了深蓝S7、银河L7、枭龙max几个竞品，一看销量，枭龙max没考虑，银河L7外观不喜欢，就没有试驾，虽然评价很好，我一直觉得车这种一定要顺眼，不顺眼再好不管用，最后就在深蓝s7和宋plus里面选择，我比较喜欢深蓝，媳妇比较喜欢宋，可能是因为试驾开的比较猛的原因，我媳妇一直说深蓝坐着晕，像飞机起飞，比亚迪好一些，在我的不断劝说下，决定再给深蓝一次机会，这次就按日常节奏开，媳妇说能接受，外观也满意，最后就决定买深蓝，从看车到下定一周不到，算比较麻利了?，从目前的使用情况看，整体满意，体验很好。

【驾驶感受】
整体感受还不错，方向虚位不大，动力够用，转弯支撑性挺好，侧倾不大，但底盘确实调教的一般，对于小的颠簸路面，滤震效果很好，低一点的减速带基本不减速通过感觉不明显，但是大的坑洼和减速带真的是弹得飞起，我开车都能感觉到后排的弹跳，不过整体来说，城市路面相对还可以，问题不是很大，再就是我还是比较喜欢开车的感觉，但是这车的路感真的不清晰，开起来安静，地面反馈也不明显，真的好像开玩具，也不好说是好还是坏，只能说一下感受。

【续航】
续航只能说中规中矩，电池是宁德时代的，冬天西安0°左右，亲测不注意的话基本6折，再抛去保电17％，基本续航80km左右，后面做了做功课，上车发动机热车，空调有温度以后再出发，基本可以做到110左右，最近气温回暖，就好多了，不开强制纯电，基本在140km，还能接受，满足日常通勤完全没问题。

【最满意】
最满意的当然还是外观和内饰了，外观总体来说确实设计很成功，但是黑车的这个颜色是那种泛蓝的颜色，觉得纯黑就挺好，车漆的质感感觉一般般。内饰整体来说还不错，毕竟价位在那里，已经很满意了，尤其是这个全景天幕真的效果太好了，看夜景很完美，孩子坐车上看着天空真的很棒。

【最不满意】
引用销售的一句话，毛病不多，槽点不少挺合适。
1.底盘就不用多说了，调教的一般，后排过颠簸路面弹跳。
2.増程器冷车启动声音巨大，也不知道为啥，开起来以后就好很多，停着就很大声，而且尾气味道很奇怪。
3.没办法多个座椅记忆，必须要使用多个账户分享钥匙才行。
4.车机嵌入app太少，只能说勉强够用。
5.倒车时只要激活了倒车影像啥都不好使了，语音控制也不行，收耳朵也不行，反正就是不顺手。
6.因为遛背造型的原因，后备箱不是很能装，而且关闭的时候如果有东西关不上就停住了，开也开不开，关也关不上，必须得东西让开位置，强行关门才能复位。
目前就这些，都是比较客观的评价，整体来说，这个价格，给到的东西很足了，使用起来很不错，后续观察就看看公里数上来以后怎么样，以及售后服务好不好。最后引用网上很火的一句话，人买我不推荐，我买我真买?，只有试试才知道到底好不好，就写这么多吧，希望对大家选车有所帮助，祝大家都能买到自己心仪的?。",2024-03-05,西安
月岩灰雅迪台铃,"深蓝S7 200MAX增程 提车10天作业


前言：开过7年燃油车，油耗顶不住，打算买一台混动或电动的车型，对比过几大新势力的品牌 ，一眼就相中了深蓝的颜值，也有可能第一辆看的就是深蓝，之后看的每台车都感觉不如深蓝，从5月份看到SL03到7月份提S7总共用了两个半月。
ps：主要是销售给的小道消息长沙7.15有4000地补，为了抢到地补，妥协的选了店里的现车灰外橙内 无任何选装（幸亏选的现车，长沙700w新能源补贴几个小时抢光）

【费用明细】：2023款 200Max 增程版 
裸车16.99 
保险4400（店外购买）
无上牌费
选择了长安金融的7万24期免息政策
落地在17.4的样子
送了充电枪，放电枪，送智能钥匙（抵扣399），还有不值钱的小礼品（店里送的脚垫和太阳膜都没要的）
深蓝老带新奖励8w蓝宝石

【新车初体验】：
1.续航充电：提车后到现在高速300公里左右，城市600公里左右，车机显示平均电耗15.3，油耗5.8，国家电网充电桩充满需要50多分钟，按照表显数值的话还是挺满意的，可惜粗略算了一下应该是个欢乐表，油耗应该加1，电耗估计要加1.5，后面装上家用充电桩我会实测一下，到时候更新。

2.车机功能：车机大屏和HUD显示清晰，车机也流畅，配备了安全提示和语音报警。不过也有很多不习惯和不合适的地方，或许吾之砒霜，汝之蜜糖吧。比如空调出风口调节，后排座椅安全带提示，主驾驶迎宾座椅，向日葵屏幕，倒车影像，语音唤醒。

3.乘储空间：我和家人朋友们对车内空间还是很满意的，还配备了电动遮阳帘，无线充电，我老婆身高162cm，体重53kg，坐在后排，头部还两拳多的距离，脚部还可以翘起二郎腿，前排的话两个手机，两个水杯完全够用，设计也很合理，只是我开车的时候有时候会误碰中央扶手箱的那个按钮，这点估计大家也不可避免，多注意一下就行了。

4.新车舒适性：刚提车的前面两天，新车味挺重的，好在打开窗户通风两天异味基本闻不到了，目前行驶900公里暂无异响，前排双层夹胶玻璃对隔音效果还是可以的，车速60多空调3档，放一首音乐，完全听不到胎噪和其他声音，对车辆静止状态下的隔音尤为明显，完全听不到外面的嘈杂声。跑高速的话隔音效果也在能接受的范围内，隔音效果点个赞。

5.智能辅助：由于没有深入了解深蓝的L2级辅助驾驶，也没有实际过多使用该功能，我就不做过多评价了

6.驾驶感觉：车辆前段提速很满意，相比之前开的燃油车需要猛踩油门超车，现在包括在红绿灯路口的起步就只用轻踩油门就可以体验了电车的给人的快感了，很享受这个过程，可是坐在副驾驶的老婆和后面的家人就遭殃了，松油门过后的动能回收让她们感觉有点晕眩，这个就只能精进我的电车驾驶技术和增强她们的适应性了。

优缺点及建议
优点：颜值高，空间大，提速快，车机智能，静谧性好，没有里程焦虑。
缺点：1.蓝牙感应钥匙有点弱智，在车的旁边它就一直自己开开关关。NFC钥匙需要完全对准反光镜位置，偏离了一点都不能开锁和闭锁。
2.向日葵屏不能锁定方向，充电的时候躺在椅子上，屏幕一直左左右右。
3.主驾驶迎宾座椅没有礼让位保存，现在我都不知道为什么我的车都没有礼让我了。
4.倒车影像不是全屏，看起来有点不舒服。
5.每次调节座椅的时候屏幕自己弹出座椅调节。

建议：既然选择了深蓝，就要相信并且支持它，希望它越来越好，同时希望官方能够看到用户的反馈和建议，后续的OTA升级多多为用户带来便利。",2023-07-26,长沙
用户2118124235791,"提车已经一个多月了，这段时间跑了1000多公里
      买车主要是为了上班通勤，所以直接把目标定在了新能源车，但是又怕有续航焦虑，我是个手机电量50%以下就要充电的人，目标就定在了混动，前面半年都有在看各种新能源车，本身对车又不是很了解，现在很多电车品牌都没有听过，感觉还是不放心，所以还是准备从传统车企里面选择，目标基本上就是比亚迪和长安。
         比亚迪的混动在十几万价位的纯电里程都比较短，好像只有100多吧，内饰我也不是很喜欢。符合我条件的好像又有点超预算，都是20往上了，比亚迪海豹颜值符合我心意，但是底盘太低了，城市路还好，开着去旅游或者乡下不行，重庆的道路坡度也大 很多地下车库也陡就很危险了，只有再看其他品牌。
         懂车帝上看的车多就比较麻木了，长安深蓝主要是颜值很戳我，之前在路上看到过这个车，那时候还不知道深蓝这个牌子，就觉得很酷炫。刚好过年前没事，直奔长安深蓝4S店试驾，但是去4S店里看觉得S7好大
（家里车是轿车 从未坐过SUV主驾，本人小个子）
然后只敢试驾03，非常丝滑，我完全是个纯新手，拿到驾照后只开过家里的大众迈腾，而且从来没有独立开过车，大众的灯需要自己开，试驾03的时候觉得一切都是傻瓜操作，只需要自己踩油门动方向盘就行了。360影像完全深的我心。
回家后家人都说家里有轿车 没必要再买轿车
第二天鼓起勇气试驾S7
发现小个子也还好，窄路开360就行了，小个子开SUV的视野还开阔一些。
有抬显很方便视野比较开阔
HUD真的是太方便了，会提醒我该在哪条车道，大大的缓解我的开车焦虑，早高峰堵车再变道真的会非常麻烦
橙色座椅更好看（03没有橙色）
直接下定
几天就提车 非常快
1月28号下定，在1月30号就提醒我可以提车了
预约了2月2号提车
之前被网上那些自己车管所上牌德吓到了
说什么要去2次很麻烦
但是我那天刚好有时间就自己去上牌了
结果也还好
到店要500，自己去上才120便宜好多
所以推荐还是自己去上牌
可以找我问上牌攻略",2024-03-13,重庆
用户2674360674014,"本人是深蓝S7车主（200km增程版，无选装裸配16.99W），目前已经行驶约2000公里，以下是我的购买及用车体验： 1.提车 （1）提车快，服务态度好 7月9日下定，7月18日提车,提车效率max。等车过程中交付专家会及时告知进度和预约提车时间，提车时也非常耐心地安排交付仪式、讲解车机功能，并协助办理上牌和绿本抵押等手续的所需材料。 （2）直营模式，无额外付费项目 相比于其他品牌收取金融服务费的“免息贷款”模式，深蓝S7可以2年免息贷款7万元，并不收任何服务费，做到了真正的免息。同时，深蓝允许车主本人自己上牌和购买保险，又为车主省下了一笔费用。 2.用车 （1）纯电续航长，市区0油耗 相比于插电混动车型普遍100km左右的纯电续航里程，深蓝S7的纯电续航里程达到了200km，wltc显示为185km，亲测市区道路可以开到接近1：1的实际续航。目前我已经开了2000km，还没有见过加油站长什么样。 （2）无里程焦虑，使用体验好 作为增程式混动车型，深蓝S7在市区可当纯电车开的基础上，长途旅行时可以加油来缓解里程焦虑，增程器启动几乎无感，同时也保留了电车的平顺加速和静谧体验。 （3）各项功能齐全，性价比高 深蓝S7标配了全套的辅助驾驶，AR-HUD和头枕音响配合使用，导航体验非常nice。同时前排标配了双层夹胶玻璃，隔音效果max。除此之外，还标配了电尾门、天幕遮阳帘、外放电、14扬声器音响等实用功能，诚意满满。 （4）外观颜值高，车内空间大 在颜值方面，深蓝S7无疑是15-20万级别最强的存在。充满科技感的外观和内饰相得益彰，非常适合年轻人去开。同时，作为一款中型SUV，深蓝S7的车内空间非常大，一家五口出门旅行也不会感觉局促，作为一辆家用车是非常合格的。",2024-02-25,杭州
阿姨我不想努力了啊,"刚出来的时候就被惊艳了。
平时上班代步，周末带娃出门玩，足够了。
优点：
1.帅是真的帅。尤其是黑外内橙，进门第一眼看到S7就被吸引了。
2.智能，各种智能功能差不多都有，而且全系标配，选择困难症福音。
3.增程真的香，很喜欢增程的工作原理，大号充电宝，就像手机一样，备个充电宝，满足需求，市区用电高速用油，市区160㎞续航，足够3天的上下班了，偶尔高速用点油，油耗5.5，比我旧车都低（三缸8.1😂)。
4.宽敞，坐着舒服，很多人性化的设计，不细说了
5.动力比我之前车好太多了，制动也很不错，有点山猪吃不了细糠的感觉，底气足，敢超车了。

缺点:
1.不知道是不是轿车换SUV，感觉好晃，我看了这车的拆解视频，貌似底盘还挺舍得给料的，强烈建议深蓝出一个官方解决方案，换避震啥的都行啊，自己换万一出事保险不认怎么办。
2.续航打折有点严重，尤其温度低，苏南地区，冬天平均就0℃左右，官方160的续航，实际也就7折不到（考虑了20%强制保电）不知道是不是磷酸铁锂的通病。
3.前几周新车有点味道，眼睛很难受，赶上冬天，开车还不敢开窗，估计新车都这样。
4.说到开窗，这个后排开窗后风噪的共振，差点没把我耳朵送走，所以后续开车，我都会和坐后排的说千万别开窗！
5.车尾容易落灰，大概就是因为空气动力学了，我准备加装后轮挡泥板和尾翼，听网上说有点用。每次下车充电，看到后屁股都是灰，难过
6.出现过一次，界面卡在360，但左上角的关闭按钮是点不动的，试了很多种方式，包括按实体360按键，踩刹车挂挡，都不行。。。最后，离开车，锁车再重启解决了。

以上，车优点很多，说实话挺惊艳的，没后悔，国产车真心便宜又大碗，咱普通老百姓就好这口。
缺点嘛，一分钱一分货，都可以理解，仅分享自己的经历，支持深蓝，希望车企可以有所改善。",2024-02-26,南通
星河星辰音乐工作室,"车颜值无敌，动力强劲，操控挺好

【提车价格】因为有地补4000，17.16w上路，除了399钥匙没选装其他的。


【驾驶感受】动力强劲，操控挺好，L2的智能辅助驾驶变现挺好，不画龙，日常用足够了。

【最不满意】底盘过烂路舒适度一般是最大的缺点。另外深蓝的车机虽然用的8155芯片，但是外包给的镁佳科技做，做的一般，在不刷深蓝俱乐部的情况下，应用商店应用不多。车机的连续语音比很多其他车强，差不多最多可以同时执行四条，这方面不如某鹏，总体还行很大提高的空间，希望后期能ota！

【续航】cltc520续航，实际350-400左右，根据温度和路况，如果是高速满载估计在330-340，城区正常开的话春夏应该400多，冬天380左右，能耗变现中规中矩！



【购车经历】
看了一圈车，比亚迪元plus、零跑C11、奇瑞eq7，小鹏G6、飞凡R7，最后综合产品力、价格、品牌、厂商、售后维保等因素，选择了长安深蓝s7，可能它不一定是各方面最强的，但是应该是最为综合中庸的选择！至少背靠长安，不用怕跑路！祝各位车友早日提车！",2024-02-22,苏州
搞笑小明镜,深蓝S7是长安汽车旗下的一款新能源中型SUV，结合已知信息，我们可以总结如下特点： 1. 空间表现：•内部空间宽敞，尤其是后排座椅，腿部空间充足，适合多人乘坐，舒适度较高。•行李箱空间布局合理且实用，宽度、高度适中，当后排座椅放倒后，可获得更大的载物空间，最大容积可达435L。 2. 配置与性价比：•2023款深蓝S7配置丰富，包括舒适性、便利性和主被动安全功能齐全，特别是在同等价位车型中，其配置水平相对较高，性价比突出。•主销车型定价在20万元以内，相比竞品车型在配置和价格上有竞争优势。 3. 动力系统与能耗：•提供增程式和纯电动两种动力选择，增程版车型在实际使用中的油耗较低，约为5.5-6.5L/100km，并拥有长达121/200公里的纯电续航里程，降低了日常用车成本。 4. 驾驶体验与技术特性：•深蓝S7采用先进的NVH技术和啸叫变频主动控制技术，使得增程器工作时能够实现无感启动和隐声运行，提升了行驶过程中的安静性和舒适性。 5. 用户口碑：•用户普遍反映深蓝S7的性价比很高，特别是增程版车型在城市工况下的使用成本低，部分购车优惠政策（如赠送充电桩、保险、补贴等）也得到了好评。综合来看，深蓝S7凭借宽敞的内部空间、丰富的配置、高效的能源利用以及良好的驾乘体验，在新能源SUV市场展现出了较高的竞争力，是一款值得消费者考虑的车型。 不过，购车决策还需要结合个人需求、预算以及实际试驾体验来做出最终判断。,2024-02-29,武汉
于同学小白,车辆外观是我最喜欢的一个车的外观，内饰也是最喜欢的，看多了黑色内饰，橙色的内饰给人眼前一亮的感觉，动力日常需求足够了，买了月岩灰的外观，就是不耐脏，过年回家灰尘大，很容易脏，但是家里亲戚朋友都夸赞这个车好看，内饰也好看，外观也好看，大小也合适，空间也够，配置同价位里面的直接拉满，车很帅，无边框车门给人高级的感觉，有亲戚朋友做我的车，下车的时候不知道怎么开门，每次要讲一下，都说你这车这么高级，没有拉手按一下开门的，提车价格感觉不高不低吧，早买早享受晚买享优惠嘛，驾驶动力足够的，超车很快，还有一点不满意的就是直接用増程器冷启动的时候声音有点大，但是对比油车的声音算小的，用油的时候动力没有用电的时候提速快是真的，别的地方都挺满意！,2024-03-03,杭州
四驱小马达,"【最满意】
1、外观
如果买橙色或者黄色，绝对是村里最帅的仔，在路上的辨识度很高，深蓝S7的设计重心不高，从前到后是一种俯冲的姿态，侧面的运动感很好。
2、动力
这辆车绝对不算快的，但是175千瓦的电机输出比较丝滑，加速也不突兀，我个人是很喜欢这种的，动力日常完全够用，急加速又不难受

【最不满意】
钥匙的设计有待改进，标识太小太不清楚了，刚拿到的时候总要凑近了才看得清楚，按键的触感也有待改进

【续航】
纯电实测，城市快速路能跑120km以上，如果市区拥堵，150km问题不大

【驾驶感受】
比较轻盈，车身不小，但操控比较灵活，让你感觉不出是个4750mm的车，但悬架偏软，我个人觉得可以做的硬一些，毕竟座椅很舒服了，悬架硬一点才配的上运动外观

【乘坐体验】
零重力座椅好评，配上副驾的娱乐屏很不错，后排和后备箱的空间着实不错，对于这个级别的SUV来说很难得了",2024-03-07,
筱簌Anoxia,"先说观点：外观内饰同价位无敌，驾驶感受比同价位油车好很多，地盘啥的不追求，大不了换套避震。

【购车经历】
去年就想换车了，看了很久，感觉可以下手了，25号发布结束纠结了几天，29号跑去看车，展车灰外黑内，试驾了一下感觉还不错，当时就想定一台白外橙内20寸轮毂的，本以为要一个多月，结果店里25号买了跟我一样配置的车，因此7月19号提车了。
【驾驶感受】
没开过多好的车，最好的是老板的大G，和埃尔法，驾驶感受因人而异吧，不做评价，但这个价位的油车肯定比不过S7的。
【续航】
续航高速120码开空调打6折，市区跟表显WLTC差不多，到手一定要调成WLTC续航显示。
【保养】
销售说免费保养先到先得，不知道别的地方是不是这样的，难道没有了还要我自费吗？
【提车价格】
200max选配20轮毂加钥匙，裸车172299，保险店里6100多，无语。

说一些自己的看法，白色好容易脏，但是百搭，夏天温度能低一点。没上牌很多充电站进不去。遮物帘还得要己买。门板储物空间小了点。最不舒服的是空调出风位置，不管怎么吹感觉都不合适，2档风声就很大，再往上比车噪都大多了。音响一般般。",2023-07-20,宜春
