邮编_文本,字段1,时间,字段2
837241,不喜欢拍照，所以没车的图片 最大的问题没办法连接手机热点或wifi。操控性一般，加速没有比亚迪的唐或宋顺滑，而且静音效果更不用说了，没有纯电行驶到底的可能，时速起来了就会油混(很鸡肋，那怕是EV模式）自动模式掉电贼快，反而ev模式掉电慢，本人经常番禺到花都两边跑测出来的，有可能方式方法不对 好的：底盘不错，刹车点头少了，后排空间可以，值得点赞的是尾箱空间！当时看了一年多的比亚迪唐没有买这个占了点因素，还有就是发动机不能否认别人的好，本人80后一个，考虑到后期省心的成分就选了这款皓影，说实话有点后悔没买唐！但唐的悬挂没有皓影好！boss音响效果不错！做了隔音效果更好！ 建议：喜欢提速快，驾驶感，车机娱乐性，喜欢在车上睡午觉的选唐错不了 考虑后期省时省心的选皓影就对了,2023-09-12,广州
我要飞809,【购车经历】 走进冬天，不知不觉提车也有三个月时间了，我选的这款车是皓影PHEV，这段时间的使用也让我对这款车有了更多的了解，要说最喜欢的地方是他的外观和操控感受。车子外观造型新颖，科技时尚，年轻人喜欢的设计风格，看着挺有豪华气质的。车内配置的驾驶辅助功能高，方向盘用着轻便，转动过弯敏捷，刹车油门软硬刚好，车子开着操控简单，驾驶感受挺好的。车子基本上没啥大问题，小的细节方面还是有点问题的，比如车子内饰的用料，还是有一点点塑料感，多色氛围灯应该配置一套，这点处理的不是很好。别的方面开的时间短，车况目前表现良好，还是挺省心的。选的是PHEV至尊版顶配的车子开着不管在那种模式下动力都挺充足的。方向盘真皮包裹，握着手感好，转动过弯灵敏。电子挡把换挡，使用切换顺畅。车上面配置L2的驾驶辅助功能多，有全速自适应巡航，车身稳定控制，车子开着平稳，驾驶轻松。 【最不满意】 就是门感觉稍微有一点点重，高速的时候发动机有那么一点声音。不过比我以前铃木好太多了。 【提车价格】 整体价格优惠下来还比较合适毕竟顶配了。 【驾驶感受】 提速很快超车比我以前油车那就不是一个级别能比的。后段加速有力。轻轻松松上150以上。过弯敏捷刹车油门软硬刚好 ，有油车和电车的双重驾驶感受。 【油耗】 油耗不用说一箱油只充一次电4.5左右。1000完全没问题。我没固定车位没充电桩很少充电 。不充电只加油时的油耗6.5的样子。接近2吨的车很低很低了。以前我的铃木骁途都是6.8。 【续航】 纯电最多跑过90多点 都跑了1.3万公里了都没充过20次电这车真的太省了，动力也足够用。 【最满意】 新的内饰让人眼前一亮有高级感。功能也够用就是我用的苹果手机差点感觉 音质也很好听歌超爽。,2023-12-11,重庆
用户8443233747227,【外观评价】 实话实说，第一眼吸引我的就是皓影的外观。外在不是特别大特别臃肿，不大不小，且内部空间同级别最优秀。买之前对比过CR-V，北京地区两个车价格差不多，比较犹豫。最终还是感觉皓影插混的大灯看起来更炯炯有神一些，CR-V有点眯眯眼。车屁股也感觉更个性更年轻，不想让别人把自己当大叔，所以最终选了皓影插混，还特意选的威尼斯蓝。 【配置】 这个我压根没纠结过。准备购车预算实际上是30w，直接就上的顶配。啥都有嘎嘎香 【操控】 也没开过太好的车，但是SUV里面是我觉得操控最好的那一档。灵活，方向盘回正给我的感觉很有信心。一定要细究的话，低速略微有一点偏重，不太适合女孩子开。对我来说我无所谓。而且这个底盘的惊喜非常大，过起伏路，井盖坑坎什么的特别韧，高速过弯支撑也很足，没有晃晃悠悠的感觉。 【内饰】 内饰上面得分开看。先说颜值，插混的低配内饰灰扑扑的，不喜欢。中高配感觉上了一个档次。功能上面我直接打满分，盲操无敌。本田舍得下本钱，不高花里胡哨的大屏，这一点我就佩服。 【空间】 就是瞅着这个家用无敌的空间才买的皓影插混。特别强调一下，第二排地台和后备箱巨大没受影响。而且特意瞅了底盘，没有明显的下坠电池包，离地间隙绝对没问题的。 【动力】 插混车的动力完全不用担心。皓影插混给到惊喜主要是两点。第一是油电之间互相切换的时候，完全感受不到震动，有很轻微的嗡嗡声，这是非常考验功底的，给满分；第二是馈电的动力储备，我本身没有安装充电桩，也就是近期一直是馈电在跑，在这一块是有发言权的，我就这么说，皓影插混馈电和满电，动力的体感是没啥区别的！信我！ 【舒适】 皓影插混NVH我感觉进步很大，再加上本来人机工程学就很好，设计的挺完美的，舒适本来要打满分的。但是拉胯的车机还有广本APP启动非常慢，而且手机支架也不太好安装。所以这个分必须扣了。,2023-12-08,北京
依然随机播放,选择皓影PHEV的原因: 1:作为F1比赛的粉丝车迷，红牛车队在2022和2023赛季，RB18/RB19赛车表现出来的赛场统治力是毋庸置疑的。本田作为红牛车队的发动机供应商，自然是功不可没，通过这个赛事，也让我们看到本田公司在发动机领域的成功和技术领先。当然如您所知，F1目前使用的都是混和动力系统，国际汽联之所选择混动系统，不无民用汽车领域对动力系统的选择倾向和改变趋势。 2:我人生第一台车是2015年款缤智，七年时间这台车带我走过了13万公里，漫长的岁月里只有一次因为轮胎扎了钉子，老伙计把我搁在了上班的路上，当然这也不能怪他，毕竟不是他自身机械或者电气出现问题。说这个是为表达我对本田造车可靠性的认可，自然这也是我再次选择本田的最重要原因。 购车经历 购车经历可以说非常简单，概括下来就两个过程，1:车型信息跟踪，这个过程陆陆续续持续了有半年，开始是零零散散的信息，后来是发布会、厂家展示，车评人评价等信息变得越来越多。2:周边4S店价格咨询，最后选择了我第一台车那家店，然后就是试驾，试驾当天就交了定金，签了合同，后面就是半个月左右提车。 用车体验 动力强劲，综合158KW功率输出，动力也算是随踩随有，超车自然是轻松欢乐的。这么多年终于有车可以让我开快车了，哈哈哈 座椅舒服，特别是后排的可调节座椅，给人舒服的坐姿和身体贴合度。 空间方面，作为空间魔术师的本田自然不会让你失望。 外观设计方面，前卫时尚潮流，是我喜欢的风格。 最后说四个该车的缺点 1：转向手感偏重，女司机特别是力量较小的女生可能会比较费力。 2：车机自带的导航定位和导航准确度都是严重脱离当今时代趋势。 3：胎压监测不能显示出具体数值，让我这种习惯了只有看到具体胎压数值才安心的司机很捉急。 4：部分驾驶工况下，特别是油电混合模式下，动力输出会有不平顺的工况，比如说车速40-60下，收油门后整车会有拖拽感。,2023-12-20,
合车社,"【动态体验】
首先它提速的时候响应特别快，超车没压力，车内够安静，没有本田一贯的发动机噪音，加上它搭载了大电池，发动机日常行驶很少介入的。纯电模式下它有84km续航里程，虽然不算多，但胜在能量回收效率高，有4个档位可以调，建议日常用1、2档，电池电量耗的差不多的时候再用3、4档，就能给电池快速充电就有了额外的纯电行驶里程了，这确实可以把它当台纯电动车来用了！

还有，我觉得方向盘转向很灵活，力度回馈适中，座椅也舒适，开车的时候你的全身都是比较放松的状态，像我现在跑着长途都觉得很舒适，作为家庭用车来说，实属没什么槽点。
底盘对路面颠簸与震动的隔绝也很彻底，不会带给车内多余的震动与晃动。我猜可能是加入大容量电池后车子变重的原因，在过减速带的时候厚重感还是很强的，有点德系豪华车的感觉，滤震性比普通皓影和同级别燃油suv都要好，有着蛮不错的高级感。

反正开上它，灵巧、舒服是直观的感受，。可以简单理解为：开起来很本田，坐起来很日产。

【车内讲解】
那它作为插混车型哦，前面聊了续航，但油耗是也逃不开的话题，那NEDC综合油耗在百公里1.3L，最低电荷状态下百公里油耗是4.7L，今天我跑了大概有一百五十多公里，主要是以期间有高速路段，城市拥堵路段，快速路段，仪表百公里综合油耗是1.8L，要知道这车重2吨多，这等油耗可以说是抠门星人大福利了！
这次因为条件限制。只测到混动模式，下次有机会给你们再试一下纯电和发动机直驱模式，看看它的表现。

【内饰】
先是内饰部分，还是熟悉的味道，新车中控台布置与HEV版本基本保持一致，但是作为一款新增而非改款的车型改动不大也是理解的，不过它采用了实体按键换挡的布局，我觉得这样操作起来会更直观。在换挡按键右侧，就是车辆切换驾驶模式实体按键，清晰易懂。

那智能化配置上，它搭载了人机交互系统和一系列智能驾驶辅助功能等主被动安全配置。定速巡航、车道保持辅助、盲点监测、碰撞预警等都都是标准配置。值得肯定的是中控屏上是可以显示实时路况导航，这个超级实用，可以说是同级非标准地存在，但遗憾的是它没有搭载本田最新的Honda CONNECT 3.0系统，仍然为2.0版本。不管是界面还是操作我都不是很满意，而7英寸的显示屏也有点跟不上时代，鉴于他不是改款或换代车型，咱们就姑且原谅他，希望在下个版本能够用上CONNECT 3.0系统吧。我们再去看看后排

【空间】
虽说车机系统不够让人满意，但有一说一，坐在后排还是相当舒服的，最能让人直观感受到的就是它的座椅得到了进一步提升，增加了座椅的填充物，让它更厚实，头枕也变的更加柔软，靠背角度适中，加上这个全景天窗的加持，长途旅行的时候能让后排乘客更加舒适，不像奥迪Q5L那样直直的怎么座怎么不舒服，唯一让你不够满意的是腿部空间，如果能在大一些就完美了。

还有就是，后排可以把中央扶手放下，手臂搭在这很舒服，那提供扶手和水杯架之外，中间坐垫支持翻叠形成小桌板！翻叠之后你看，是一个手机托架，多功能控制器，和一个储物格，控制器是能控制天窗窗帘、音乐等等。

它的后门完全打开之后几乎有90度，这么大开口的设计，后排乘客上下车更方便，对于有老人小孩的家庭更是贴心。

【外观】
这外观实属老面孔了，我就不再赘述了，但是必须得多提一嘴的是它颜色更丰富了，那幻夜版一副原厂黑武士的视觉效果是很讨年轻人喜欢的，反正今天简单相处下来后，我发现它不管是在舒适性还是经济性上，表现都是都非常全面的。

【总结】
首先，它绝大多数时候开起来更像纯电动车，电机驱动的响应快，输出平顺，车内的静谧性很好，而且它的悬架、座椅也很舒服。

其次，这款车用起来综合油耗低，给你省钱啊！

还有一点就是，它能上绿牌！限牌城市的福音～


虽然说吧在动力系统上它与CR-V PHEV是完全相同的，但是在亲自体验之后，我认为皓影在舒适性与豪华体验方面会更好一些，在合资插混suv这个细分市场下，它还要面对着兄弟东风本田CR-V PHEV、广汽丰田威兰达高性能版、一汽丰田RAV4荣放双擎E+、上汽大众途观L PHEV的竞争。",2021-11-15,
线外邦,"在本田的双车战略下，越来越多的本田全球车型，都有了中国的特供版。这个皓影就是CR-V的中国特供版，所以这辆皓影的插混版，跟CR-V的插混版在技术方面几乎是毫无差别。

以当下的眼光来看，作为一辆插电式混动的车型。皓影插混在三个方面还是很有优势的。

其一是它真的很节能，如果充电方便，它宣称的85km或84km的纯电续航里程，在实际的用车场景中真的可以实现，这一点比其他很多插混车型都要好；如果充电不方便，只是用油，它的油耗也可以做得很低，基本跟之前的皓影油电混动版的油耗水平一致。

其二是它的空间真的很大，在紧凑级SUV中，它的空间被发挥到了极致，后排空间可以说吊打同级，而且它的座椅很厚很软，乘坐的舒适性也很不错。相比之前的油电混动版，因为电池变大了，侵占了一部分后备箱的空间，导致后备箱多了一个小台阶，这算是空间方面唯一的缺憾吧。

其三是它的整体操控性表现很不错，具体表现在转向很精准，底盘的支撑很到位，能够在舒适和运动之间取得一个很不错的平衡。

优点说完了，再来说说不足。

我个人对于它的动力表现不够满意，它的发动机和电动机跟之前的油电混动版一样，但是电池却加重了，所以性能变弱了。虽然电机承担了大部分时间的驱动工作，动力输出十分平顺，但着实也是太弱了，对于一辆本田，对于一辆插电式混动车型来说，确实算是缺点了。

然后是智能车机，虽然号称搭载了本田智能车机的2.0版本，但这个2.0版本还是太过于落后，落后到如今主流的车联网功能，它完全没有。要知道本田的智能车型已经更新到3.0版本了，很多比皓影插混更低端的车型都已经用上了。皓影插混还在用这么落后的车机，确实不太应该。此外，它的智能驾驶辅助系统也不是最新版本，使用体验也跟不上时代了。

总体来说，对于喜欢合资品牌、想要节能、想要绿牌的消费者来说，皓影插混依然是一个非常好的选择。",2021-11-15,
车域无疆,外观方面，插电的皓影和普通版本其实并没有什么明显分别，前脸都是带本田标的粗壮镀铬饰条，与大灯相连，尾部也是配备熏黑+暗红色的帅气灯罩。整体造型和普通版本一样潮流、时尚。较为明显的不同，主要是以下的几个细节：前脸镀铬饰条下方新增的三条细小的装饰条、右后翼子板增加了充电口、尾标表明插电身份的e：PHEV标识、新样式的轮毂等等。内饰部分，也是直接套用普通版本设计，三幅式方向盘、7英寸中控屏、按键式换挡机构、不规则状出风口、大量实体按键等，都原封不动的出现在插混车型上。当然，仪表显示和中控屏会有关于插电车型特有的显示内容。虽然本田的MM理念很出名，但是在多了一套插电系统之后，还是有不少让担心皓影的空间出现缩水情况。但就疆哥的实际体验来看，乘坐空间这块，车子并未受到插电系统影响，后排地板依旧纯平，座椅空间也和普通版本一毛一样。有明显变化的地方，主要是后备箱空间。由于插电系统的加入，皓影锐·混动e+的后备厢前半部分被垫高了80mm左右（较之后半部分）。但得益于那较为规整的设计，整体使用空间其实并未缩水多少。动力方面，皓影锐·混动e+采用的是直列4缸2.0L阿特金森循环引擎＋双电机混动系统＋大容量高功率电池的组合。其中发动机的最大功率为107kW，最大扭矩为175N·m；而电机最大功率135kW，最大扭矩315N·m，系统总功率为158kW，整体数据和不插电的混动皓影相同。尽管背上大电池和充电系统后，这款插电的皓影比普通版本重了三百多公斤，但是在起步阶段，它提速依旧轻快，踩下油门踏板的瞬间，车辆就能迅速读懂驾驶员的需求，直接给出较为强劲的动力输出。倘若是切换到运动模式的话，你会觉得这动力输出得更足，而且伴随着油门的踩下，皓影还会给出对应的模拟音浪。这一点，也有助于提升车主的驾驶欲望。随着车速的提升（80km/h+），车子的静谧度依旧保持得不错。除去明显的胎噪之外，其它风噪、电机噪等，基本很难听得到，在疆哥试驾的一众本田车型当中，插混皓影的抑噪表现完全是可以排到前三的。而去到较高车速甚至突破100km/h+之后，电量充足的插混皓影，依旧保持着电驱状态(车速上方白色段是发动机驱动，蓝色为电驱，绿色动能回收)，此时车内空间依旧很安静。对比之前开过的其它插混车型，基本到80km/h左右的时候，就能听到发动机的噪声，发动机开始介入。而皓影却还是继续电驱，这让疆哥一度以为自己开的纯电动SUV。那么，什么时候能明显听到发动机噪音呢？这时应该会有很多人说是开启混动模式时，其实不然，在混动模式下，皓影的发动机噪音其实还是很轻微。只有切换到HV模式，即给电池充电的模式下，发动机噪音才会变得十分明显，看齐纯燃油版的皓影。这里还需要提一下的是，皓影方向盘后面的“换挡拨片”并不是拿来换挡的，而是用来调节动能回收级别的，“+”号是减小动能回收，“-”号才是增强动能回收。就算是回收级别调节至最强，也不会有太强的“拖拽感”，这对开惯油车的人来说，还是相当友好的。唯一有待改善的，或许是那个只有26L容量的油箱。至于底盘部分，虽然是和普通版车型一样采用前麦弗逊独立悬架+后E型复合多连杆悬架的组合，但得益于重量的增加和悬架的优化调校，车子开起来会变得更稳一些，过弯时的支撑性也更充足一些，舒适性倒是和普通版本差不多。一番试驾之后，疆哥对插电版皓影的表现还是相当满意的，一方面是它的带电增重并未影响到车子的加速性能，另一方面则是它的行驶品质基本看齐了同价位车型。如果你真的受限于指标和绿牌，并看重合资的品质和口碑，那么皓影锐·混动e+肯定会是你的备选项。,2021-11-11,
大众侃车,大家最近买车用车最关心什么问题呢？肯定是油耗。毕竟现在油价那么高，俗话说得好92加满吃粥咽糠，95加满倾家荡产，所以说油耗成为你买车必须要考虑的一件问题。今天我们给大家带来的一个油耗测试体验呢，就是我身边这台广汽本田皓影e+，也就是插混SUV，我们来看一看它的油耗表现到底怎么样吧。先和大家说一下这台车的基本情况，广汽本田皓影锐混动e+就是一台插电混动SUV，然后呢它其实在动力系统上，和普通版本的这个混动车型是一样的，也是搭载了一套IMMD的混动系统，然后主要是靠它这套系统中的一个电机驱动，所以大家只要记得它的这个电机功率就可以了。我们在日常行驶中的话，它其实大部分时间就是一个纯电车的驾驶的感受，所以说它开起来是非常丝滑的。然后和普通的混动版本不同的地方呢，就是它搭载了一个16.3千瓦时的这样一个大电池。我们车里坐了四个钢铁直男，这是对油耗非常不利的条件，然后今天的气温也非常的高—31度，所以我们把空调已经开到了最低，风量的话是中等，这也是对油耗非常不利的一个条件。唯一的好处是今天的路况很不错，我妈驾驶在一个非常空旷的省道上，所以说不存在失去里通勤那种需要蠕行需要跟车的情况。其实油耗测试是一件非常苦闷的事情，所以我们今天在车上和大家聊一聊驾驶的感受。 【驾驶感受】 我觉得最大的感受就是非常非常的丝滑。这台车无论你是大脚给油也好，还是轻轻地给油也好，它的动力响应总是给你一种不徐不急的感觉。就是非常的丝滑，非常的接近纯电车，只不过你在开启sport模式或者是你深踩油门的时候 ，你才会感受到发动机的介入。然后发动机介入的声音意外的非常好听，非常有那种老的日系车大牌自吸的那种感觉 ，你会感觉到发动机运转地非常的绵密，很有质感，所以你会感觉这台车开起来，既有电车的那种丝滑感，又有原来老的那种大排量自吸的丝滑的感觉，所以这两种感觉会让人觉得这台车开得非常的舒服。 【最满意】 我觉得今天让我比较意外的是这台车的制动表现，它的初段能够给你一个非常精确的制动反馈，所以只要轻微地去控制刹车，就能给到你一个很好的制动响应，我觉得这是一个我没有想到的地方，因为我之前没有试过这台车，但是普通版本的皓影混动我是试过的，我觉得这两台车在这个制动响应上还是有一些区别的。 总的来说，我觉得这台皓影锐混动e+给我的最大感受是，这台车是一台开着非常舒服的车，也是一台非常适合家用的车，无论是它这个丝滑的动力响应，还有我觉得非常舒服的刹车，还有整体的悬挂调校，让你觉得很软很舒服。同时如果你想任性一下，运动一下，它的sport模式的话，也能够给到你相应的一个驾驶乐趣，然后再考虑到它是一台插电混动车型，它的这个纯电续航里程的话是到了七、八十公里的样子，所以如果你有充电的条件，理论上来说如果你每天都充电的话，其实一个月不加油是完全有可能的。所以从这个角度来看的话，它确确实实非常省油，又好开又很舒服，简直是一台非常完美的家用车。 经过了40多公里的油耗测试，这台车的油耗表现到底怎么样，公布一下答案，这台车每百公里的油耗是5.2升，还是非常不错的，因为我们车上坐了四个猛男，外面三十多度，一路开着空调，这是对油耗一个非常不利的条件，当然也有好的条件，就是今天的路况非常不错。所以说这个5升多的成绩是比较符合日常使用的一个情况。另外它只用加92号油，算一下的话一公里也就五毛多钱，无论是它的一个驾驶感受，还有内饰，以及油耗，这都是一台非常适合家用的车。另外在一些限牌城市，这台车还是个插混车型，你可以获得一个免费的绿牌，怎么样要不要考虑一下呢？,2022-07-13,
灬寒酥灬,提车有段时间了，当初选车不知道广本还有插混车型，一直就想选个Suv，逛了一圈下来也是非常纠结，最后试驾了皓影phev 就决定买它了，因为空间密闭性很好，噪音几乎没有，而且驾驶起来动力十足，而且插混也不用担心续航问题，最终优惠3.8送了脚垫、充电桩提车至尊版本，免购置税。 外观：外观整体比较大气，车身整体流线顺畅，车内视野也非常开阔，回头率很高，提车以后很多人问：表现咋样、看着挺大的、落地多少钱、绿牌是不是没有购置税等等等等… 内饰：内饰皮质感十足，座椅支撑也很到位，长途驾驶很舒服。 空间：空间很大，一直知道本田很能装，提车之后才知道，坐4个人一点不会拥挤，而且腿部伸展也非常富裕。载物空间很多。 续航：个人比较暴力驾驶，因为电机起步冬季很足，相应很及时，所以我开车续航比较低，一般满电续航50-60km，满油能跑个800公里左右，提速快，动力足，续航还高，谁不爱呢？,2024-03-13,济南
MyCyQQY,【购车经历】 从开启看车到下定这一期间，还是看了很多品牌的插混，一直都没有特别合适的，说实话，一开始没考虑日系的车，后来呢，其他品牌确实选不上了，转头看了一下两田的插混，一眼就相中的皓影的配置和外观，年轻，大气。然后就先去看了展车，然后再去试驾，最后就下定等车了。小小的不足就是，白外白内太难等了，差点就没车放弃了 【驾驶感受】 用电很平顺，油嘛。怎么说呢，低速爬坡声音还是嗡嗡响，哈哈哈，毕竟本田嘛。开开也能接受 【油耗】 日常通勤基本用电，油耗的话高速巡航120以内7个油左右吧，这么大这么重个车，也在情理之中。 【续航】 日常市区道路70以内续航达成率挺高，高速的话7折往上吧，电车都这样，没办法。 【乘坐体验】 空间大，舒适 【最满意】 外观和内饰吧，很不错 【最不满意】 车机吧。大家吐槽的点,2023-12-08,成都
