字段1_文本,字段2,时间,字段3,时间1
一念执着216463187,"【驾驶感受】
开了有一周了，已经开了800多公里了，底盘调教的绝对属于顶级的水平，过减速带干脆而且舒适。自适应巡航减速和加速比较稳，没有那么急促，不会急加速急减速的情况。
【续航】
全程大部分市区+郊区国道，续航看天气温度，第二次使用后充满电显示只有425左右（会根据个人开的工况显示实际续航，此续航能做到1：1，开了一百七十公里后只少了一公里）。冬天零度左右的天气，空调偶尔开开，市区车上坐两个人，本人脚法比较猛6.5折左右350左右续航，。十度左右天气温度能打八折420左右的续航（图片实际拍的）。充电速度很快，百分之二十到百分之百，快充大概一个小时就能充满。估计春秋天二十多度续航应该更扎实。

【最不满意】
目前没啥问题，唯一的就是感觉胎噪有点大，这道不是大问题，毕竟价格在这，想要舒适可以自己更换米其林静音胎。
【提车价格】
裸车价格174800，选的珍珠白+1000，顶配保险6300，上牌费500，总价182600，就送了五年五次保养。厂家置换补贴7000+盐城本地政府补贴15000，合计优惠22000。
【最满意】
后排可以放倒纯平，开累了或者中午睡个午觉绝对舒适，不仅有前备箱，还有后备箱小桌板外出露营很方便，还有遥控泊车感觉很高级，哈哈😄。",2024-01-13,,
Okraxxxi,去年12月底提的现车，拖到今天上完牌洗车发个照片，分享一下大家感兴趣的几点。 首先是能耗方面：第一次满电跑了320km剩10%，使用环境是城区、快速路一半一半，空载满载一半一半，平均环境温度大概5度，动能回收lv1，空调基本上都是一两挡风吹玻璃，座椅加热偶尔开，个人觉得结合这个车本身这个表现是能接受的水平，但是感觉方方正正车身可能风阻不低，跑高速后面再试下。 其次是驾驶感受：个人认为底盘舒适度在这个价位里面是顶级水平，非常有韧性，过减速带非常干脆，转弯时支撑在同类车里面非常不错，方向盘基本没虚位（其实我不是很喜欢这点，开着累），买这台车完全就是冲着机械素质去的。 配置方面：15.98Air，除了驾驶辅助的缺失，别的配置基本上都到位了，这个我也无所谓，目前合资车驾驶辅助感觉大部分也不值得信任。智能化程度以为暂时没激活车机还不能评价，车机支持carplay和carlife，音响音质在这个价位里面还算不错，所以车机肯定是够用水平。 空间方面非常满意，储物空间非常丰富，后排座椅纯平放倒后跟面包车一样能拉，放倒时坐垫是会自动下沉的，所以这台车后排不仅全平，靠背角度能调，乘坐体验也很好，这是最满意的地方之一。 总的来说这台车低配中配比较适合自己具备一定驾驶水平不太需要一些智能辅助、看重车的机械素质，对车的需求比较务实不追求花里胡哨的人群购买，你会觉得这台车非常完美。 槽点也有，比如杯架太浅了放不稳水、中央扶手稍微用力就会下沉感觉不是很可靠很害怕断掉、充电口在前翼子板充电非常不方便等等，但是整体来看还是比较满意的，感兴趣的朋友还是建议自己去看看实车体验一下，算上置换补贴、地区补贴、送的购物券这台车的价格也就是比主流网约车略贵一点而已，这个价位的车也不谈多保值、功能多丰富之类的，能有这个体验个人觉得还是非常值得。,2024-01-03,宜昌,
楚楚妹子2,"等了十来天提新车了!起亚EV5! !销售跟我说昨晚上到的，第二天就来提了，等车还是有一点点煎熬！！

我研究了一下这个车子，因为本来就喜欢出去耍嘛，觉得他这个后排放电可还行，露营最大的问题就用电，电小二虽然也行但是电不多，这个行，他这个正儿八经的可以用2.2kw，我另一个车也有，但是最多只能给设备充电，其他都不行，好像只有1.8kw，EV5正儿八经可以煮茶什么的这个我比较看好，而且晚上还可以再里面睡这个也还可以。

颜色选了个白色加了一千块钱，这点想吐槽一下，其实银色那个磨砂也还可以，但是让我加4000一下有点接受不了最后选了个白色将就。",2024-03-12,东莞,
霸王1688888,"EV5车内有2.2KW内放电，对喜欢自驾游的人来说，这个功能简直不要太棒，比外放电枪接插线板好太多，好么？而且在驾驶过程中，动态显示续航里程不虚标，不会突然大幅下降，安全感足足的。这两个功能，是来给我的钱包减肥的吧？

除此之外，我不得不吐槽一下隐藏把手，太不好用了，特别是当手里本来就拿了很多东西的时候，只能把东西放地上再开门，心疼我的包包3秒钟。",2024-03-13,苏州,
呼呼大大泡泡糖,我这台起亚EV5开了快两个月了，平时还是以日常通勤代步为主，这个车也基本上是天天都在开了，每天五六十公里的，也没停过。不过看这一个月的费用，感觉还是蛮不错的，之前开油车的时候一个月油费就要一千二了，现在一个月充电的费用也才三百多，比之前节省太多了。 这车的空间实用性和后备箱 2500瓦的插座，真的很nice了，准备春天出去烤个肉，煮个火锅啥的，你们都用来干嘛？,2024-03-13,苏州,
撩人晴话FC,"24年的第一场大雪，开车打滑，好在EV5有雪地模式，开启秀一把
行驶50KM，车轮不打滑，紧急制动，不甩尾，ABS 还没介入工作，抓地力稳的很啊！赞！

充电37分钟从4%到65%，基本能满足今天通勤需要了，20寸左右的行李箱放进去四个还是不成问题的。关键是后排左右可以纯平放倒，都能放点大件了，就那种洗衣机电视什么的，放进去绰绰有余了。",2024-03-13,苏州,
无锡老妖怪,起亚第一款国产化的电动车，在外观上和现有一些车明显区别，很好认不脸盲。基于E-GMP平台打造的车空间大，后排舒适度好自驾游出行长途不觉得累，把二排座椅倒下去后，秒变“床车”有木有？近2米的长度，睡两个成年人绰绰有余，而且椅背和后备箱是完全平整的，不像很多车型都有或大或小的倾斜角度。加上后备箱侧板上的220V放电插口和活动式挂钩设计，在户外露营火爆的当下，不得不说，起亚的设计师是用了心的。 160Kw电机，动力稍微弱，只能说家用够用，全电门下去也没有推背感，毕竟是一辆城市代步车。方向盘轻在调头，连续打方向不累，操控好开，车机智能化一般只能说满足日常行驶听听歌，前档玻璃和前排玻璃都是双层夹胶玻璃隔音效果不错（只有高配才有夹胶玻璃）。,2024-02-27,无锡,
汽车天涯,说实话，不到20万的价位能给到你720公里的纯电续航，目前的新能源汽车市场还真不多，起亚EV5就是其中之一，如果说智能化这些，合资纯电车起亚EV5还真不是国产的对手，但是在动力体验上，EV5真好开。 初段，它的电门响应快但不会窜，动力输出强劲且平顺，再配合车身前后50:50的最佳轴荷比，操控也很好，好开又好玩。重点是能量回收机制，特别人性化，符合预期并且介入无延迟，从滑行到能量回收介入的段落，整个过程过渡得比较顺滑，不会有晕眩感。 所以，如果你想买一台续航长、好开的合资纯电SUV，我觉得起亚EV5还是值得推荐的。,,,2024-02-29
么妖喵吖,"性价比极高，底盘调校有韧性，车内220v很实用，冰箱电视都能带，我们经常到处拍摄视频，拍完上车边开边充电，相机、无人机、稳定器到下一个目的地满血复活，在海边插空气炸锅做吃的，一个小时才耗4%的电，很舒心。

后排放到纯平，变成1米8大床，用来露营太舒服了

续航也超出预期，530，在深圳的冬天能跑440，比原来的油车续航还长。
隔音也很不错，前排双层隔音玻璃，很安静。

遥控挪车十分方便，经常到狭小的空间，人先下车，遥控倒入库，不怕下车开不到门。

自到刹车很准确，没出现过误刹的情况。

唯一不满意是用百度地图和百度的语音助手，语音交互不好。我说空调调小点，它给我降温，百度真的不太懂中文。希望OTA到高德",2024-01-05,深圳,
有趣的苹果l1a,"买的最低配灰色，因为不喜欢天窗，灰色因为免费，而且都差不多。毕竟这个价格比纯电比亚迪秦510欢迎你。
智能化看个人，如果我开车的时候副驾在那边用平板看电视啥的我开车会很烦，自动驾驶什么的我也不需要，当油车开，反正我觉得挺好够用
【最满意】
空间，驾驶感受，提速，价格
【续航】
460没问题，我开车还是比较猛的，但空调开的比较少，偶尔开一下，总开太热了。
开空调24.5℃ 2级风 16左右，140以上风阻很大，很耗电，不开空调13.3，市区开真的很省电11的能耗不是梦
【最不满意】
扶手箱，放下来放胳膊嫌高，不下来放胳膊嫌低。还有主驾驶门侧边储物盒为啥比副驾驶小，副驾驶的空间差不多，主驾驶有点小，感觉都放不了什么东西。


想买车不要到处问别人花多少的钱买，自己去打当地4s店去问，每个地方价格都不一样，正常是无金融费贷款免息+一万多的优惠",2024-01-11,盐城,
