字段1_文本,字段2,时间,字段3,时间1
玩车报告,"中国有神车五菱，“人民需要什么，我们就造什么”，在大洋彼岸的美国福特也是如此，但进入国内市场后，好像一直有点水土不服。这次福特全新推出福特锐际PHEV，是款插电混动版紧凑型SUV，相比于其他合资插混SUV，锐际PHEV价格上算是比较亲民。

外观方面，新车基本上延续了普通燃油版车型的设计，但在细节上还是有所改动，前格栅的镀铬条改为淡金色，慢充充电口设计在翼子板上，实话说，我会更倾向于选择充电口放置于车头或车尾，这样充电更方便。内饰采用对称式中控台布局，黑白配色，12.3吋的中控屏，旋钮换挡，承载SYNC+的车机系统还是比较不错的，现下主流的APP都包含其中。

车身长宽高4626mm/1882mm/1688mm，轴距2710mm。相比燃油版，长度增加了41mm，从数据上看属于中规中矩的表现。身高175的乘客入座前排，头顶大概1拳左右的距离，入座后排的话，腿部3拳左右，头部一拳左右，实际空间表现还是不错的。混动版和燃油版一样支持后排座椅前后调节和靠背调节，虽然座椅较短，但是后排座椅的设计还是比较贴心。

动力方面采用福特最新研发的混动系统，1.5T 170马力 L3发动机搭配两个电机，E-CVT变速箱。最大功率可达到167kw，最大扭矩235N·m。官方纯电续航77公里。整车加速能力还是很强的，零百加速4.5秒。但1.5T,3缸涡轮增压还是让人想吐槽，毕竟美版可是2.5L阿特金森循环。实际开上路，选择运动模式，猛踩油门下去，确实有那么点亢奋感，感觉还是美系肌肉车的那个味道，如果换到经济模式下起步，油门反应明显缓慢很多。但确实进入高速路段换挡平顺，动力输出平稳。

总的来说，福特锐际PHEV主要的优势还是在于省油和绿牌。",2021-07-10,,
狼师兄,"【购车经历】
杭州摇不到车牌，下定决心买一辆混动车，年初订的比亚迪，等到7月份别都没到，去了福特一眼就看到锐际phev，而且是现车，谈了半小时直接买了。成了浙江省首位车主。

【提车价格】
20.8万，刚上市价格没有优惠，但是送了很多东西，只加了保险费用就直接落地了。

【驾驶感受】
买来没多久就装了充电桩，每天上下班来回差不多50公里，纯电行驶充满电能跑77公里，完全够用，最近油价上涨省了不少油费。 用电的时候几乎感受不到声音特别安静，起步，超车特别快。还有就是切换发动机的时候几乎也感觉不到，很平顺的就切换了，而且发动机动力也很强，很满意。
【保养】
开了3个月5000公里，首保免费，送的置换终生免费保养。首保就做了最基础的。


【油耗】
由于主要是通勤用，目前用电比较多，现在综合下来油耗显示1.2😂，还是要多用用发动机，怕长时间不用有问题😄。
【最不满意】
最不满意就是这车不能选内饰，只有白色座椅。。。

总结:最后说下这个车总体空间，外观，动力都非常满意，并不像有的车评说的那样，经过三个月的驾驶，总体都很满意，车机娱乐性虽然不是特别多，但是也很智能，基础功能全有完全够用。而且说这车三缸会抖的，我是这没碰到。最后说下这车特别结实，前两天和吉利碰了一下我只有点掉漆，他瘪下去了😁。",,杭州,2021-11-12
远山观世界,电动化是大趋势，但个人觉得当前阶段综合体验最好的应该是插混车型，而不是纯电动。公司正好有充电桩，所以就买个PHEV。 动力：这个车看参数没啥感觉，我还担心动力不够，但是真正开起来才知道那叫一个猛，至今还没地板油过。虽然车重不小，但是开起来相当轻盈； 操控：虽然驾照都换了一本了，但是真没怎么开过车，还算半个新手，不过一上车立马有点车随心动的感觉，非常好驾驭，指哪儿打哪儿，走街串巷一点不慌； 油耗：纯电70左右，冬天用暖风会打折，但也还有50左右，还行。亏电后纯市区油耗大概是5点几，高速好像也差不多。对于当前的油价来说，真的美滋滋了。如果只充一次电，续航一千公里可以尝试挑战一下； 空间：如你所见，不是强项，对我来说完全够用； 内饰：吐槽一下后排安全带锁扣，不小心坐上去了会磕屁股，不过注意一下就好了，小问题； 外观：见仁见智。个人觉得后保突出，难看👀，当然习惯了也根本不看，无所谓。 其它：三缸和油电切换问题，非常平顺，比德芙还丝滑，也没有燃油车常见的顿挫，这点儿真的非常赞，我给101分。 总结：锐际开起来非常爽，原地起飞。悬架稍微有点偏硬，美式风格吧。所以坐车的可能没那么爽，不过也没啥大问题。反正我只开不坐，哈哈哈😃,,重庆,2021-11-25
侠客再生,"1.操控
起步顺滑，油门偏软，轻点油门0-60，60-90也很顺畅，但超过100后油门深踩后仍然很软，动力给予的正反馈有所减弱，感觉上后劲不足或者说没有那种猛劲（超过100之后跟翼虎相比不如翼虎猛），但实际动力也是非常强劲。总体上，并不需要太纠结三缸的问题。
底盘很扎实，过弯道（以50以上的速度）不会有甩出感，同比起来，翼虎就差一些，底盘调教比翼虎软一些，更舒适一些。

2.续航
理论电量续航77km，有试过充满电表显92km，实际可跑57km左右（满座5人，开空调工况下）。油箱45升，满油满电实际跑750km无压力（满座5人，开空调工况
下），还能有剩余油量，油表并未报警，极限情况下估计跑850-900km左右应该问题不大。没有里程焦虑的问题。

3.内饰
内饰简约，中控屏设计一般，车机互联还可以，座位偏短（跟翼虎比较），长期乘坐对乘客会不友好，驾驶员还行。后排座椅可以前后调节是亮点，后排空间还不错。车内没有异味，这点比翼虎好太多。
吐槽下，居然没有后视镜自动折叠功能。",,深圳,2021-12-18
不老男神pro,在领克01插电混动和锐际插电混动这两款之间选择对比了好久，最后选择了这款锐际插电混动。首先杭州是限牌城市，绿牌是妥妥的刚需，上一辆是福特福克斯，也是个人习惯了福特的操控性，平时跑长途比较多，纯电对一个没有车位的我来说感觉比较麻烦，领克01phev配置高，驾驶感受也不错，但因为用95号油，网上查了后续保养维护比较贵，（虽然福特锐际这款后期保养还不知道贵不贵，但本人之前开的福克斯后期保养还不算费钱）因此最终选择了这款插电混动福特锐际，花5000加装了360全景影像，因为置换赠送了后视镜盲区监测，目前开着感受还好，从2017款福克斯两厢运动版换到这款锐际插电混动款过度很自然，上手没有惊喜也没有不习惯。,,杭州,2022-04-28
zwaifr,外观：个人很喜欢 内饰：简洁明了，个人很喜欢 配置：槽点之一，配置不高 空间：很多人说后排座椅短，个人不觉得，坐着挺舒服，靠背角度跟座椅都可以调节，这点给个好评，后备箱容积就中规中矩了，只能说一般般。 续航：气温不低不开空调能开到标定的77公里，冬天环境还有待测试，提车不久 智能化：没的说，福特的sync+系统很好用 驾驶感受：不用多说了，这车最大的优点，动力操控没的说！ 充电时间：3.5-4小时充满。,,扬州,2022-04-06
大聪明的男朋友,优点：操控好，底盘整，运动调教，很好开，全景天窗，内饰用料不错，没有异味。车机符合国人使用习惯，反应速度比较快，油电混合模式加速快，超车响应积极。外形比较年轻，phev车型对限牌城市友好。 缺点：标配倍耐力的胎，胎噪不小的。急加速的话，引擎噪声也是比较大的，跑起来就好了。三缸机跑起来没特别感觉，馈电怠速时偶尔会抖一下，无伤大雅。配置看过这个车的人都懂，及格标准，反正我是够用。充电的话只有慢充，开空调纯电跑差不多只能跑到60公里。后置影像像素略渣，无前雷达360影像，对新手不太友好。 总结：适合限牌城市，四人及以内家庭使用，三大件可靠，配置不丰富但够用，悬挂偏运动，喜欢软悬挂要求高配置的人不建议选择😬,,深圳,2021-11-29
勒柯劳斯,动力十足，高速上后劲十足（只要舍得踩）。操控优秀。底盘稳，继承燃油版锐际，前后接近50:50配重比，尤其在高速上很稳。插电提高用车品质，电池不大，够冷气睡一晚上。,2022-08-22,上海,
用户2130549845751,想咨询一下有买个福特插电混动锐际的车主，谁有安装郭过360，我在4S店安装的晚上录像不清晰，想从新安装，有什么好的品牌型号推荐,2023-02-01,深圳,
有点车事,"锐际是一款相对比较特别的SUV,紧凑身段下却具备相颇为突出的动力体验，而PHEV版本则是摇身一变，成为一款强调超强续航的居家车型。PHEV取消了燃油车原来动力极为爽快的2.0T发动机，而是更换成1.5发动机匹配电机组成，而插电式混合动力好处在于其纯电续航的里程已经能够基本覆盖正常情况下的城市驾驶需要，同时电机加持下车辆的响应迅速程度一点也不输纯燃油车型。同时PHEV版车型的车机表现也匹配了其车辆身份，SYNC+系统的功能扩展性上有了很大的提升与进步。",2021-10-28,,
