字段1_文本,字段2,时间,字段3
基尔查毕理,"【购车经历】
突然准备买个车就开始看了，从纯电看到纯油又看到了混动，最后byd宋和领克进入决赛圈。宋的外观我觉得还不错但是内饰确实比较一言难尽，特别是方向盘上面那个大字还是个蓝底，每天看到真的比较糟心。所以试车的时候就直奔领克4s店了，准备混动的03.01看一看选哪个。
后来突然想到emf还要给购置税，同配置算下来并不比emp贵多少，而且绿牌成都可以不限行，路边停车也有优惠于是就直接选了emp版本，毕竟03也没有emp?



【空间表现】
因为底盘中间的T型电池，所以档把下面是完全实心的，并没有很多新能源车一样的掏空。后排地台中间也有一定的突出，不过比起之前的很多车还是好很多。前排储物空间整体比较局促，东西一般都放后排。后排放倒的话大概10度左右，没有纯平不过也够用。［见图一］           一体式座椅很帅，但是也侵占了后排的空间，而且用久了有一点塌，其实也没多久就一个多月［见图二，三］
 不过我170调整好之后后面也还不顶膝盖，同时试的02就有点顶了，但是02的屁股是真的好看阿




【智能化】
因为一直想要hud所以加了选装包，整体用起来看的很清晰，但是配套的百度地图是真的捞，经常乱导航。希望魅族接手车机之后能选用高德。提示的话如果再详细会更好，一些比较复杂的路段还是要低头看大屏才能看明白，显得鸡肋了不少。选装包一万其它的功能基本没用过。
领航功能高架桥和堵车的时候还是很解放右脚。
香芬需要自己加精油，我一次都没用过，据说是加六神都行?
自动刹车再倒车的时候有时候过于灵敏，还有半米左右就突然刹停我甚至以为都撞车了
车机系统目前遇到卡360一次，自己重启一次，整体流畅度不错不过第三方软件约等于没有。只能说未来可期。



【续航】
emp的70公里纯电续航基本能做到1:1甚至更多，唯一不足是只有慢充且充电头在左前方。很多时候需要直接怼到停车位才能充电。还好公司楼下慢充桩很多而且车少，不然只能买一个快充转慢充的转换器，官方4999，淘宝可以2000多买到功能类似的。不过安全性未知


【驾驶感受】
日常我使用的是智能模式。整体悬挂偏硬，面对减速带后排震动比较多。左右晃动有点过于明显了。有电的情况加速很给力，匮电状态下油门需要踩的更深一些。40/60码的时候会有一个降档补油的感觉，不是很线行。高速目前开过一次，120的速度感觉也挺稳。
前排双层玻璃隔音很给力，开窗明显会吵闹很多，还好领克新车味道不大，关门开车也不怕中毒。
上坡和转弯的时候偶尔中控台发出异响，问了下车友，说的恭喜我是正品领克??。要走高端路线还是希望能把细节做好，每次响都觉得自己开得是一辆20万公里的老爷车，其实才2000公里


【油耗】
市区匮电的话表显6个左右。整体还算满意，500块钱油目前跑了2000公里，当然也偶尔冲冲电。外面1.4左右的商业充电我充值300块也还没用完。还算满意


【保养】
1.5万公里一次的保养比起之前烧95的领克可以说进步巨大。具体花费只有到时候才知道了

【总结】
可能它不是一辆完美的车，但是他的确让我享受到了很多的有点。市区用成本低，可以跑高速没有续航焦虑，偶尔能够激情运动一下，也能满足我的家用装货需求。颜值也顺眼，每天看的内饰还满意。硬要说可能价格稍微不那么友好，比起byd的性价比确实差了一些。但是钱可以再挣嘛，这种年轻的不妥协和冲劲可能以后就再也回不来了。就想领克的logo一样，没有完美，总有缺陷",2023-01-05,成都
为什么名字那么难改啊,"感谢圈主星巴克在逃星选美式推荐 1,个人情况简介 23款01EMP，10月15日提车。目前1900KM，APP表显综合油耗5.9L/100km，电耗3.9KWh/100km，（近一个月使用智能模式，不充电，相当于EMF的情况使用），刚提车半月内纯电使用电耗为12KWh/100km，无空调 2,提车价格 裸车指导价22.78，落地车22.38w+保险5721元,全款，官方优惠4000元 3.真实用车体会 1. 外观内饰做工、用料 10月15日提车，有轻微塑料异味，车内购买竹炭包，大概3天左右异味散去 顶配版本，NAPPA真皮+Nubuck翻毛皮座椅体验十分优秀！舒适感拉满！强烈建议后排也能加入选装，非常的舒服座椅内饰没有异味，车内轻微塑料异味大概率是当时包座椅塑料长期在停车场停放暴晒导致（政策原因车到了很久流程没有走完） 2.驾乘空间 在选择车辆时最大的考量便是空间问题，本人170，上下空间充足，头部足够空旷，腿部没有局促感，长时间驾驶过程中不会有被束缚的感觉。后排空间同事在乘坐后表示比较舒服，一米八身高同事在后排乘坐时需要前排乘客调整座椅，略显紧凑。后排中间凸起部分比较影响乘坐体验，但其实以前的车也有，而且我自身用车环境来说并不会经常满客乘坐，所以对我来说没有担忧点。后备箱空间对我来说十分充足，提车后很快就进行了搬家，还是很能装的 3.动力感受 纯电模式：高灵敏，在起步、变道、超车过程中平滑，响应积极，十分舒适，我非常喜欢 智能模式：更加稳重，油门前半段稳提速，后半段多数应用于高速过程中，加速比较有力量，很跟脚，急加速下会有顿挫但较为平顺，很像油车的加速换挡感觉，喜欢传统油车的驾驶体验的话会很喜欢这种感觉，低速中会比纯电模式响应慢一些，进入60码以上后，发动机全部介入时，高速状态下响应会比低速更快一些，更加接近传统油车感受，不会出现高速无力感，驾驶的时候会给司机非常足的驾驶信心 运动模式：应该叫油车的纯电模式，他的响应就很电车，给人十足的驾驶感。偶尔驾驶需要激情的时候还是很舒服的 Ps：本人新手司机，以上感受仅代表个人，驾驶体验这种主观性极强的东西，还是仁者见仁智者见智了~各位当个参考看看就好~ 4.乘坐感受 驾驶过程中，座椅感受非常舒服，赛车式的包裹感要比传统油车座椅来的舒适多！整车隔音也十分惊喜，之前在选车时看了不少视频，都有对胎噪，高速风噪的担忧，毕竟是SUV。但在实际用车过程中隔音十分NICE！风噪在90以下没有明显感觉，90码以上，无音乐播放的安静环境下在两侧后视镜位置有漏风的那种风噪，声音不大，开音乐的情况下是基本听不到的，这个还是通过其他车友发现的。对于我自己来说这点风噪完全可以接受。不影响驾驶感受 关于顿挫以及底盘，一个多月体验下来，底盘偏硬，但这个是在试驾过程中就了解了，毕竟年轻人还是很喜欢这种感操控的感觉，相对于较软，像船一样的感觉本人不是很喜欢，这个东西就是仁者见仁了。变速箱顿挫的体验是从智能模式下的急加速中才会出现明显感受，顿挫比较明显，有时会出现响应不及时，副驾也会有明显感受 5.油耗感受 目前跑了1875km，全为通勤，单趟30公里，80%高架+20%市区，实际应用环境高架上班多数堵车只能蠕行，一整天60公里中40%速度会在80码左右，60%会在40码以下，综合油耗是目前表显是5.9L/100km，我做了一次满油馈电测试，最后剩余5.7L油，一共跑了649KM，每天单趟30km耗油1.5L左右，如果5.7L油跑完，就能再多跑114km，一箱油总里程就是763km（当然不会有人这么极限开车） Ps:强烈建议，赶紧更新这些个设置，保电设置不记忆好蠢啊！ 6.功能感受 360全息影响新手司机最好的伙伴！ 自动泊车对于完全无法独立停车的新新新手是非常棒的！不过有一定基础后，既使还比较新手，自动泊车就略显鸡肋像一个玩具功能。主要原因两点： 1.速度慢，多次进出找角度，这个可能是程序对于入库路线优化问题 2.应用场景有限，对于划线清晰的地库自然是没问题，但对于小区砖块画出的线或者是年代久远，线条不清晰的线路，无法识别，非常依赖划线清晰与否 音响效果 音响效果非常出众，有很好的环绕效果，我现在每天上车第一件事就是开音乐 4最不满意： 1.导航 强制只有百度地图，很蠢，当行播报反应慢导致错过出口，频繁出现。强烈建议更新应用商城！ 2.车内设置无法记忆 保电设置无法保存，每次上车都要点一遍，没啥大碍，就是显的这个8155芯片很蠢，用汽车参加马拉松，该发挥的价值是一点不发挥，希望OTA可以拯救他吧 5.总结： 合适的价位买到了心仪的车无论动力，舒适度，幸福感，拉满，对于目前出现的一些小缺点，可以接受，但一定要改！知错能改才是好孩子。朋友买车我还是会推荐领克，在我个人看来，安全、高级感、里程无焦虑、智能化领克都兼顾到了",2022-12-02,
急急国王c,"感谢圈主星巴克在逃星选美式推荐
【提车价格】落地227800，裸车价221800+7000保险.无其他费用。赠品：保养2次，全车窗膜，商城888脚垫。还有一些小礼品。还有一个就是商城可以领的放电枪。


【购车经历】对比了几家，价格都差不多是这个区间，我是10.17提的车，当时基本都有现车，最终是看服务选择了销售方。对比过宋plus·dmi，海豹，以及拿铁DHT。BYD等车基本都比较久所以最后选择了放弃，个人还是很喜欢海豹的外观的，拿铁的外观比较中规中矩，唯一的优势我觉得就是比领克01空间大。

【乘坐体验】前排运动座椅，外观霸气，黑白相间的内饰，高级感满满，就是比较难打理，也担心时间久了泛黄。前排的座椅包裹性很好，大幅度的打方向盘不会有拖拽感，后排我只坐过一次，中规中矩，中间凸起比较大，整车坐4个人感觉可以，5个人会很挤。后备箱空间算是比较满意的，电动尾门也省时省力。座椅通风感觉不是很明显，方向盘加热不错，在南方开一档完全足够。汽车香氛新系统味道有时候很浓有时候又闻不到味道，中控只有一二三档调节，具体是怎么操作逻辑还需要研究，平时用的也比较少。行车记录仪的话分辨率可以，但是没有后置的，需要自己加装，记录仪不能通过手机查看，没试过导出（听说是需要通过TF卡）。

【驾驶感受】提车两个月了，行驶总里程3100km。三种动力模式，纯电/智能/运动。
纯电：动力很足，但是回收比较明显，容易晕车。
智能：大概是80速以下都是纯电驱动，80速以上发动机会介入。
运动：轻点油门就很给力，感觉车很轻盈。提速很快。
个人推荐：智能模式+自动回收，习惯后感觉比较好用，也经济一点，基本可以通过油门来控制车速。
其他感受：中控那里常有塑料异响，在急加速或者减速，以及高速过弯的时候比较常见。行驶中有过一次车机异常重启，会警报几声然后黑屏重启，好在车辆能够正常行驶，没发生安全隐患。然后近期有发现过一次胎压监测系统异常，仪表盘会显示，车机数据有个检查会发现4个轮胎都有异常，解决方法是熄火停下跑一段路就不会了。手机的app的行车日志有20天没更新了，试过开关，卸载app暂时还是没法解决。车机蓝牙钥匙迄今还是没连接上过。咨询过客服，都需要去4S店解决，答复就是车机需要刷bios，后续会找个时间去店里看看具体是怎么回事。

【续航】官方电池续航是70km，天气不冷的情况下是能达到的，在市区的路况下。最近转凉，电池续航会有缩水，大概是只有60km左右的续航，本人在深圳，温度还不是特别低，目测北北方的话折扣的应该会更厉害。

【油耗】馈电跑了半个月，油耗大概在6左右，跑了大概500公里，高速和市区各一半吧，仪表盘和APP都会有些虚标，好像是按照最近的一段路程给出的油耗。但是总体这个馈电油耗的表现还是比较满意的，馈电跑的话建议开保电，油耗会比不保低，动力响应也会更好。槽点就是油箱太小，只有42L，然后发动机启刚开始启动时会有明显的抖动和声音，不过问题不大，只要是发动机运作都是有这个声音的，一会就会灭有。

总结：完美主义者建议不要入，确实小毛病挺多的，但是总体性价比体验还行。",2022-12-18,
梦游夜猫子,黑色恶魔，一眼定情。（九宫格打字输入EMP，会出现恶魔，所以我称呼我的塔姆为恶魔😈） 选车：9月份有购车计划，本来在BYD宋和唐之间做做选择，宋整体都可以，定金都交了，但是后来觉得做工真心一般，逼格不高，品质没达到我的预期，后来看了唐，想了想总觉得BYD这个牌子质感没达到我要求。偶尔的一次，是在10月6日，独自跑到领克的4S店看了一下，因为几年前也看过领克的车，觉得内饰外观真的是符合我的口味，这次一看觉得更加坚定了我的选择，后来也在懂车帝和汽车视频多少看过一些领克EMP的介绍，然后一眼就看中纯黑色的01EMP，当时店里只有一辆Emf试驾车，然后就试驾了一下，行驶质感比较符合我的驾驶习惯了，有动力还省油。随时就交了定金，因为销售说国庆期间订车有很多优惠政策，（感觉自己是交定金爱好者- - ），然后就是漫长的等车过程。 等车：6号订车，20号的时候销售给我发图说车还在杭州，走的是火车运，我心拔凉拔凉，想着10月份能不能提到车还是另说，车到郑州了，然而郑州由于口罩问题，一直运不过来，销售说等下个月吧。终于终于，11月7日，车到店里了，然而我被困在温县居家静默（也是口罩）。 提车:11月17日，也就是今天，终于解封，到店，刷我滴卡，提了车上了牌，自选了一个还不错的牌照，然后洗了车，干干净净的新车，垂涎欲滴😘😘，后续会更新用车感受和油耗分享。,2022-11-17,焦作
仓颉,"当初从宋pd看到唐dmi，虽然论性价比都是非常值得的，可就是坐进去不怎么喜欢，太老气，然后发现领克也出了插混，一直都是对领克的车有好感，不管是外观还是内饰的搭配看起来很有质感。虽然8月份也只是试驾了emf，当时也觉得那个三缸机地板油嘶吼起来有点难听，也只是雷神混动那一套换名字，后来想想星越L混动也出了一段时间，没有听讲有很多大问题，就抱着尝鲜的心态定了emp。毕竟在我的城市，对新能源支持力度还是挺大的，小区装充电桩也不是问题，城区道路充电桩也多。
        买来到手实际开了半个月，暂未发现比较大的问题，就我认为，能买三缸都算是够支持领克了，好的方面主要还是座椅真皮，车辆隔音静谧性对得起这个价位，音响也算不错的，底盘质感也可以，不是外挂电池，起码也不容易磕到电池。空间上三口之家还是够的，主驾配上了座椅通风，有hud也是优点之一。
        说说发现的一些缺点吧，确实车机还是很拉胯，一些功能都不带记忆，比如香氛就得每次都打开，app的智能化也不够，不能远程查看行车记录仪，就连遥控泊车功能到现在几个月了也还没开放。
        再怎么说也只能等他后续优化了，如果后续能好好完善还是考虑开个7，8年的，不然就等着三年7折换购咯。。。",2022-12-28,柳州
柳州某某卓,"从车展看星越l开始，又挑到比亚迪宋。
交完宋定金，等了一个月，按捺不住，又去试驾了比亚迪唐，大众id4。
后面又回头看星越L的时候，刚好领克4s展厅在隔壁，停在他门口时，跟老婆讲，这个领克内饰很年轻的啵，去看下。
本来也是聊她好玩而已，因为之前路上跟她介绍领克时，她嫌弃那双蛤蟆眼。
来介绍的年轻导购很热情，直接上车，试驾一圈。
老婆被路上的底盘质感惊艳到了。说坐了那么多辆车十七八万的车，还是第一辆过颠簸路不晃，有韧性。
回到展厅聊的时候，又发现01的油车，太耗油的，怕到时用车不自由，毕竟开的宏光mini恨不得打瓶加油都开车去。再加上价格抵不过三年油费，就打道回府了。
后面是在纠结要不要在宋的基础上加4.7万直接上唐，毕竟二胎家庭。
在这期间老婆又见到21.58的插混01，虽然只有70km续航，但勤快充似乎也满足市内通勤。
关键老婆念念不忘01的内饰的质感。似乎这才能给她幸福感的大玩具。想想贵2.5万就可以上了。
于是又回去找领克销售年轻仔讲价。
期间谈价也是过了好久，毕竟过日子超过预算太多就不冲动了。
后面谈到21.x万落地直接要展车，这个价格没参考性。一个是刚好6周年活动，厂家老师过来有些权限，二个也是少了撕膜的快感，三个是车子10月份的，再压一个月就成库存车了。
另外看到深圳车友有补贴两万多，所以这价格，不算高也不算低了。

昨天16号八点提车。",2022-12-17,柳州
甜麦圈翠西,"一.5月4号提车 岳父给配的婚车，后期主要我媳妇开已经开了3500➕了。油耗目前开到百公里4.6 。馈电情况下百公里油耗6.5 我基本每天都会充电，慢充2个半小时，送的有快充转接头，大概充满需要1.5个小时 平场就是接送媳妇上班➕自己通勤。
二.享受政府补贴6k ，遇到01降价反现4k ，店里优惠3k 。
空间这个级别还算可以，座椅很舒适，媳妇想要的电动座椅 辅助驾驶 电动后视镜360影像都有，还有燕飞的音响  电动后备箱。
三.驾驶感受还算可以。静音性不错，唯一可能的一点就是他是个3缸机，但是目前我感受的没有什么大问题可以接受。
四.车机的话 23款更换了8155 算是流畅吧，还没有出现卡顿或者死机情况，但是好像祖传的车载导航会出现漂移 ，说是会升级系统 期待一下 希望可以安装使用高德地图。",2023-05-26,西安
江南怪杰a,"【空间表现】够用，与同级别差距不大，主要视觉座椅厚，空间感觉小，实际差距不大与探岳比，探岳略好点点。

【续航】纯电行驶与官方宣传基本一致，能达到70公里左右，回老家33公里，来回一趟还是4公里纯电行程。加起来刚好70公里。平常行驶也在70公里左右（开空调22.5℃）。


【智能化】
已经很好，语音控制使用方便，试了自动驾驶，很智能，划线的道路可以使用，没线的道路（村道）无法识别。
【最不满意】
没有备胎。
【购车经历】离4S店较远，购车经历相对简单，去保养吉利帝豪的时候发现对面有一家领克4S店，无聊就跟老婆去看车。老婆坐进01感觉不错，加上帝豪是手动挡，老婆不会开而且容易晕车，想换车。回家后，单位准备发奖金，与老婆就决定发奖金就换车。接着就发信息给销售去试驾，纯油，油混，插混都试驾，4S店满足，试下来下来油混和插混行驶质感比纯油好些，驾驶激情比不了纯油，插混免购置税，综合下来与油混价格基本差不多，就直接订插混，谈价钱交了5000订金订车。然后就是一个月的等车。
【提车价格】
裸车优惠1.98万，优惠后17.6万，走官方10万免息贷款，上牌500，服务费2000，保险5500（含划痕险）。落地18.4万元。
【驾驶感受】
坑洼路面，低速行驶底盘有点硬，但不松垮，高速国道，路面较平，高速行驶很稳，有高级感，高速不看仪表盘很容易就会超120，总体很好开，底盘很好。转向也也好，比大众速腾好很多，能感觉到人车合一的默契。
【油耗】
馈电油耗综合每百公里6升左右，，城市道路，国道，5.6L左右每百公里，高速120—140，6—7L之间。120以下，6L左右。
【动力表现】
个人觉得动力恰到好处，很线性，不窜也不肉，超车快，打转向灯，然后感觉提速了，数到3一般就能超一辆车。",2023-08-21,柳州
躺好不动,"文章开头添加一句话  辛苦圈主（星巴克在逃星选美式）帮忙推荐



相较其他车来说，内饰没有塑料感。但是化妆镜不好。智能方面应答不太行，有时候智障。有时候应答时候语调变化非常奇怪。车机菜单深度还OK。就是每次电量保持得重新手动设置，很麻烦。仪表盘设置也不丰富。多媒体都必须绑定各种账号才给用。
驾驶感觉挺好，比其他车要稳很多。
三种驾驶模式，基本选智能或许运动。智能使用上，油门踏板给力没那么平稳，偶尔很软。运动模式加速等就很给力。告诉体验感很棒。
耗油量等还好，初上路在十个点附近。后面注意点驾驶习惯，基本拉平到了七个点。应该还可能下降吧。
只有送原装的慢充，也只有慢充接口，不太方便。虽然只有一个十四度小电瓶，但是好歹搞个快充啊。
然后ssss店销售一般都很冷。
提车没啥送的，基本原配加一把钥匙完事。
【购车经历】
省时省事
【智能化】
有时候分不清目的地和终点的含义。
【最不满意】
车机太傻。对用户接口不开放，没有个性仪表盘。
零下启动，车机黑屏，需要静置重启才能生效。
智能语音有时候听起来像感冒了，不知道是不是阳了。
【续航】
油电一起整个续航超过预期。",2022-12-10,上海
嘿嘿让我看看,内饰设计和用料都不错，外形也很有辨识度，不管觉得帅或丑，在众多车辆中第一眼就被注意到。 乘坐空间够用，尤其垂直空间，不足就是后排地台中间凸起比较高，置物空间也比较小，几乎没地方放零碎物品，后备箱容量充裕，座位放倒后也没凸起。360度全景效果挺不错，不过好像没有窄路自动触发。音响效果不错，但是车机里只有qq音乐和爱奇艺，希望以后能多支持其他第三方应用吧。悬架比较干脆不会太软晃动。动力响应迅速，隔音也很不错基本听不到发动机声音。缺点是发动机启动时慢速工况下声音质感比较拉胯，我通过回放行车记录仪听到的，车外应该也能听到。还有车窗的黑色饰条洗几次车很快就花了(通过反光才观察到)，新车味道还是轻微有一点的，应该是皮革的气味吧。总的来说符合心理预期,2023-04-17,广州
