字段1_文本,字段2,时间,字段3
想环游世界的jehu,满意的点: 1、外观实在太帅啦，而且非常有个性。 2、05的车机现在是OS Y版本，我感觉还算好用，没有出现过卡顿，死机等情况，语音识别能精准覆盖我大部分使用场景，销售说年底会升级到OS N，期待。 3、底盘很扎实，过颠簸路面有点硬，但是有一种高级感。 4、车内非常安静，几乎听不到外面的声音，车速90以上会有轻微风噪。 5、内饰也很喜欢，设计好看且用料非常高级，摸到的地方都是软的，手感也很好，因为有沃尔沃的基因，材料都选用环保材料，无甲醛，放心！ 不满意的主要有两点: 1、行驶中的加速感受，纯电到发动机介入这段没有顿挫，但3档DHT在换挡的时候会感觉到顿挫，油门踩到某个程度，触发换挡，车会有点窜出去的感觉，加速不够线性。 2、空间相较于其它正常的紧凑型SUV还是比较小的，后排空间不大，而且后排空调出风口的位置会往后突出来，如果后排乘坐3个人，坐中间的那个会比较难受了。,2023-06-07,深圳
吉米LynkCo,看上了05的外观，算是始于颜值。多款车对比试驾之后，05的操控和底盘、车身的一体性、稳定性是我最终选择他理由，如果操控不给满分的话，那么如果换挡是怀档就完美了。 纯电续航和新势力插电混动比确实不占优势。CLTC80+实际续航我上下班勉强两个来回，估计在60左右。我空调开24，音乐，导航通风座椅都是开着的。但他的操控和外观对我的诱惑可以忽略这些。这是其他同价位车型给不了的体验。 空间算是中规中矩，吐槽下后排座椅中间是凸起的。我大部分时间一个人在深圳，所以空间对我来说并不重要。后备箱我一个人用也还足够的。后排放倒，搬家也可以一次搞定。 车机用了几天体验其实还可以，没有网上吐槽的那么差，也算是中规中矩。试驾过其他车型，确实比05丝滑。但网上说的卡顿啥的我还真没遇到。当然什么时候可以自定义安装软件就好了。 周末从深圳到珠海，往返开了两次高速。高阶辅助和自适应巡航还是很好用的。转向告警辅助也很安全，解决了转向盲区的问题。 可能由于05EMP车型销量不太理想，4s店有现车，基本不到一周就把车开上了。灰色和紫色都很喜欢。但担心看久了会腻，还是选择了白色。 目前开了500+km，城市亏电油耗大概不超过7，高速亏电油耗不超过6。满电情况智能模式，油耗不超过4。介于05的动力输出表现，这样的油耗已经很好了。同事试驾我的车也是对05的动力输出和操控赞不绝口。 05EMP内饰风格只有一种，用料决对高端。这应该也是领克价格一直没有大幅下降的原因之一，确实成本肉眼可见。 EMP款虽然是个三杠机，参数配置对比同价位新能源不占优势。但竞品配置对比领克，领克有的可能没有，但领克有的，绝对做到精品。举个例子，我试驾了某蓝，吹的很厉害的AR HUD。但实际驾驶很模糊，不知道是不是我那天试驾没调好还是咋滴。而领克的HUD非常清晰，也丝毫不影响驾驶视线。最后用领克的话给即将买车的车友一些建议，车好不好，适不适合自己只有试驾了才知道。,2023-07-12,深圳
吴佩频道,能吃粗粮续航也变长了，领克05 EM-P我们试驾过了，聊几点： ★ 跟老款比，尺寸没变，外观小改，最大不同在于动力系统。跟领克01 EM-P一样，都是P1+P2的3挡混动DHT，配的是1.5T三缸发动机。新车动力180kW/545Nm，参数跟01 EM-P一样，CLTC纯电续航85km，比旧款略有提升（旧款是NEDC纯电续航81km），7.6秒破百，关键是现在加92号汽油就行了。 ★ 底盘跟外观一样很运动，扎实而且偏硬，但动力输出其实相对更家用feel，动力虽强但不会一下子“涌”出来给你，换了3挡的DHT变速箱之后加速平顺了很多。豪华感也是足够的，前排用上双层夹胶玻璃，配合PHEV车型特性，足够安静。 ★ 车子后排空间没有问题，但座椅还是跟老款一样偏硬，前排的运动座椅也是邦邦硬的，坐久了可能不太舒服但包裹感很好。 ★ 车机换了8155的芯片，总被吐槽的卡顿现象终于没了。 ★ 左前方翼子板还藏了一个交流充电口，送了直流转换头，还支持外放电了。,2023-03-18,
咸车,"最近领克05 EM-P上市了，很多朋友好奇，新车在动力上和之前的领克05 PHEV有什么区别。今天我就来告诉你。

外观：
如果在领克05 EM-P旁边摆一辆领克05 PHEV，那几乎看不出来区别。不过新增2款车漆颜色：暮光紫、暮云灰。前脸依然是蛤蟆脸的设计，换装和领克05+一样的前格栅，整个前脸的运动气息更强了。车侧采用溜背式造型设计，相比领克01中规中矩的传统SUV造型，领克05EM-P属于跨界SUV，看起来更加时尚一点。和老款的领克05PHEV比就是轮毂样式有所改变。采用19寸的轮毂，搭配马牌UC6轮胎，该轮胎主打均衡。车尾部分原来的倒车影像摄像头下移到了保险杠的位置。总的来说外观层面变化不大，而且如果想一眼区别出燃油版和插混版车型，也有些难度，要么看轮毂，要么就是看车尾标识。

内饰：
坐进车内，整体内饰依旧是环抱式座舱设计，空调实体旋钮。EM-P专属座椅款式。但是值得一提的是车机芯片升级为8155芯片，整体车机使用起来还是比较流畅的，并且支持4音区唤醒，提高了语音交互的体验。再来到后排，由于是个溜背式车型，头部空间并不充裕。腿部空间一拳，靠背角度还算不错，不过总体来说，后排表现在同级水平中没什么优势。

补能：
可以算是领克05 EM-P车型最大的亮点了，就是支持快充，电池容量从30%-80%仅需大概36分钟左右，而老款车型充满电需要3个小时。
现在充满电，表现续航里程81km，能满足大多数朋友一天的里程需求，进一步降低了用车成本。并且支持3.5kW的对外放电，平时露个营啊，也不在话下。但是作为一个中期改款车型，电池容量没有变大，纯电续航里程也多少提升，仅仅多了一个快充、对外放电，还是差点意思。

动力：
整个动力总成较老款05 PHEV是有所改变，搭载1.5T+3档DHT Pro。综合功率180kW，换算成马力就是244Ps，日常驾驶只能说是够用，如今的电动化时代，零百加速7.6s，并不值得一提。其他的优点就是能吃粗粮了，支持92号汽油，并且随着发动机功率的下降，油耗也低了，日积月累下来使用成本上能省下来不少钱。

总结：如果追求实用性，追求油耗和空间，比亚迪宋PLUS DM-i都会是更好的选择，但是比亚迪的底盘质感就稍差，那么如果你追求的是操控，并且要求外观上有个性，领克05EM-P就会是更好的选择，但是22.78万元的售价，我个人觉得有点贵，希望日后能有些优惠，提高整车的性价比吧。",2023-03-31,
Hans,"【购车经历】
选择05phev的几点原因：
1，上一辆车是03 1.5t劲pro，知道这颗小排量三缸发动机的强劲，也对领克的品质放心。
2，两年多前第一次在4s看到05，就被它的coupe造型和大屁股种草。
3，上海最后一年插混送绿牌，又正好可以买新车拿公司车补。
所以几乎没有太多犹豫就选择了05p，然而购车经历却不太顺利。3月中交定金，有现车，不出意外的话4月初就能上牌提车，结果病毒肆虐上海两个月，让我的新车变成了库存车😭

【驾驶感受】
目前总里程1800+，通勤和市内出行基本用电，跑过几次150+km的长途，几点感受：
1，省油：家里能充电，还能蹭公司和4s的免费桩，不出上海都不用烧油。但省不省钱就不好说了，因为有电池衰减和车子保值率的问题。
2，灵活：虽然现款05phev的这套p2.5混动技术落后于dmi等超级混动，但有'动力电池节电'功能，灵活度是足够的高，我可以根据自己的行程来选择电机还是发动机主导驱动。比如
- 下高速后路况好且有条件充电，可以混动模式到底把电用光，省油。
- 下高速后路况不好或者不能充电，那就把节电打开，高速烧油为主，留电应对中低速路况。
3，动力充沛：其实我还没体验过最强劲的'动力模式'，因为新车没过磨合期，不想让发动机转速过高。目前都是用混动模式，动力足够满足我的需求。混动模式下，油门踩的不深只用电，踩深一点发动机介入后，能感觉到澎湃的动力汹涌而来。别看这台车电机功率仅60kW，大部分时候红绿灯起步，不需要发动机帮忙就能甩开其他车一截。缺点是电油切换时，油门的脚感会有比较明显的差异。
4，行驶静谧：这台车的隔音很不错，关上车窗完全是自己的世界了，连发动机的介入更多是靠油门脚感的变化来感知。
5，配置丰富：市面上比较常见的配置和辅助驾驶功能领克基本都给了，最好用的有抬头显、电动尾门、高速神器领航+acc、360全景、无钥匙进入。此外还有胎压显示、自动雨刷、自动大灯、自动远近光灯、主动刹车防撞、疲劳警示、交通标志识别、车道保持、并线辅助、电动座椅、座椅记忆、座椅通风加热....基本上应有尽有，无所不有。

【续航】
电：因为目前只有夏季用车体验，感觉标称的81km纯电续航非常实在，甚至在纯高架路段，因为有动能回收，实际续航能多10%-20%。
油：油箱很小只有42L，但因为市区路段、堵车、中低速等对发动机不太友好的情况都用电，所以这42L油可以全部拿来跑高架高速，估计能跑7、8百km。
所以满油满电理想情况（低速用电高速烧油）下，能跑800-900km，近两吨的车重有这样的续航可以说非常满意了。

【空间表现】
毕竟是紧凑型，后排空间不算特别宽敞，但完全满足了我的需求，因为90%的时间后排没人，后备箱空间挺大的。

【最不满意】
一些小毛病：
1，自动雨刷遇到过小雨狂刷，之前的03没出现过这个问题。
2，可能还是新车，车机很流畅一点都不卡顿，但遇到过一次触屏完全没反应的情况，重启就好了。",2022-07-27,上海
李旭000,"#领了05PHEV用车体验
背景介绍，
五月份换工作需要用车跑客户，再加上深圳的高温买车势在必行，由于深圳的情况，蓝牌已经到了快八万的价格，摇号遥遥无期，纯电有里程焦虑，所以选择了插电混动。
预算20万左右。当时在懂车帝一直查询，最后觉得还是国产车的质感和使用碾压同价格合资，所以标定两个品牌，比亚迪和领克，先去领克4S店，由于我身高187，所以只考虑01和05，又很巧的是当天正是05PHEV的发售日，感觉一切都是缘分，没考虑01考虑05的原因很简单，05的屁股是真的性感，紫色也是真的骚气。直接不看比亚迪，当场交了定金。因为刚需买车，又是新车上市，也没考虑砍价什么的。很爽快的决定了。我本身是东北人，BYD在东北话里B养的，心里有点不舒服，当然比亚迪车很棒，只不过我心里不太接受。哈哈哈。
费用
新车有2000的补贴，
第一年保险5000补贴，后来我优惠到5260，
05什么周年庆，5000补贴，
免金融费，免上牌费，所以裸车227700，无税，我落220700，还免了第一年保险，以及，
公司是领克大客户，3000补贴，还没有发下来，实际落地217700。
送了脚垫，玻璃膜和5000Co币（我换了一个479的吸尘器）

感受
到现在已经开了1300公里
首先，驾驶质感，底盘都非常好。
功能能想到的基本都有。车道保持，定速巡航，无线网络，360，全景天窗，氛围灯，主动刹车，倒车后视镜下翻，隐私玻璃，空气净化等等，除了气动避震，其他你能想到的都有。
第一，值得说的是领航辅助，这个功能太强大了，功能非常牛，不管是堵车还是高速都可以用，自动刹车，自动打方向。美中不足的是，弯道太大他会蒙圈，无地标线的位置会不准确！
油耗方面，综合下来6个多，7个的样子，因为我一周也就有机会充电一两次，大部分是亏电再跑，有动能回收，还是不错的。
第二，三缸机的问题，别说三缸不三缸的，第一，说三缸机抖的，不知道开没开过，我开下来就两个点，第一动力够用，很澎湃。第二，一点儿不抖。没什么毛病。
第三，音响：真的哈曼这套音响非常牛，音质好的没得说，车内也很安静。
第四，颜值，颜值，还是颜值！
吐槽的点，
第一，车机有时候会卡顿，这个我倒是理解，安卓就这个样子。
第二，慢充！用特来电基本两个半小时才能充满，真的太慢了，可能插电混动没人用快充，但是同事快充一小时充满400公里，我两个半小时充80 公里，真的是有点头疼。
第三，武装到牙齿的配置居然手动调节方向盘，有点说不过去，电动也花不了多少钱吧。
第四，最想吐槽的点，为什么不支持CarPlay！开车我都要特意把蓝牙关了。最后总结，整体来讲，我觉得真的很好，我的选择是对的，有人说，二手卖不保值很坑，但是我觉得，第一我买车不是为了卖，第二，卖也是有钱了为了买更好的，作为我人生里第一辆车，05棒棒的！

#种草#
领克05PHEV一年用车感受，提车整一年了，开了26666KM的用车感受，真实车主心声。
首先说，外观，领克全系都很个性，那么05就是个性中的个性，跟很多车友聊过买05的原因，百分之八十的答案是，性感的屁股。哈哈哈，真的是，05的屁股真的翘。我买的是紫色的，很有个性又不那么张扬的，非常喜欢，到现在也依旧如此。

其次说说动力，3缸机，二十几万，有大病才买，这是大家对05PHEV的初代印象，没错，我就是这个有大病的人，但是我用性命担保，到现在我和我的车友们并没感受到所谓的抖，我们一直说，说领克三缸抖的都不是车主，真正的车主没有说抖的。是真的不抖，我都快三万公里了 真的不抖。动力还算ok。高速超车永远给你信心，我在高速上经常140公里巡航非常轻松。

车机：大家都关心的问题，领克的车机目前满足我的需求，车载导航非常好用，音乐软件我在拼夕夕上买的会员，40块钱一年，无损音质加11个还是9个infinity的音响，我是非常满足的。 当然！！！！重点说三遍，CarPlay！CarPlay！CarPlay！不支持！！！！ 车机偶尔会存在启动不了，或者卡顿的想象，我将近三万公里，共死机1次，没启动3次。不吹不黑。仁者见仁智者见智吧。

费用：我基本上是纯油跑的，没有充电条件，目前百公里七个左右，我是属于开车比价凶的那种，正常高速五六个就可以了。保养一次不到一千块。保险第二年续费三者三百万，花了不到四千块。

驾驶质感：我不是专业人士，我只能说车很稳很扎实，各种科技配置都用得到，没有鸡肋功能。满足我的需求，内饰也很豪华有质感，做过我车的朋友都非常认可。

不足：非常在乎的不足，
第一，05P不支持放电！！！06都支持，我们不支持。 第二，05P内饰少了两条氛围灯和伸缩水杯支架，
这个减配没多少钱，后面又没办法装，不知道为什么要减配这两个，不理解。 
小05是我人生第一台车，我整体是非常的满意。领克的车友都非常年轻，也交了",2021-06-16,深圳
许言不言,"本来是被领克03种草入坑的，结果车展现场和女友都被05性感的大屁股给迷住了，因为上牌的缘故几乎没有犹豫就立刻下订了phev （如果有牌必买05➕）提车到现在一个多月两千多公里使用，简单说说使用体验

续航：这应该是买Phev最关心的事，我家里有电装桩，日常通勤来回30公里左右，懒得充电基本可以三天一冲（会费一两个油），所以算上动能回收，续航里程还是很实在的，充满电两个半小时，也很快。

驾驶体验：一般上车会开纯电模式，驾驶品质没得说，安静平顺，油电转换也几乎感受不到，就是有时候突然大力踩会有小顿挫，虽然只有1.5t，但提速还是蛮给力的，有性能车那味，nvh 做得不错，隔音很好，但唯一不足的是，个人觉得胎噪比较明显，考虑去换个轮毂（之前看过关于三缸抖动问题，我只能说，完全感受不到）

空间：内部空间大小不错，后备箱确实小了点，但，他帅啊！哈哈，后排我185座进去舒舒服服的没毛病。

智能化：要说一点！领航辅助真的很好用！真的！车机系统的话，开机慢老毛病，上车得等会才反应过来。

外观：不用多说，冲颜值买单的。

最后，这是我跟女友的第一辆车，也像我们的第二个家，有了05我们就可以带着狗子经常出门玩，同时周末会去周边露营野餐，05一直陪伴，怎么说呢，就很安心，当然我也很爱护他，都是自己去自助洗车亲自给他洗澡，毕竟第一辆车对男人的意义可不一般，现在我是越看越顺眼越看越喜欢哈哈",2022-01-26,广州
不喝甜汽水,"【购车经历】
燃油版05上市后，就喜欢的不行，同事买了一台，借着踩过几脚，更是深深喜欢
终于等到05混动上市，条件合适后果断下手，当时看了星越混动、宋大妈、01混动、05混动，最终选择了05混动，01抬头显示加装要等，宋大妈质量品控太差，等车太久，当时看宋大妈属于是跟风
个人喜欢自驾，有318梦，里程焦虑，纯电直接pass
【驾驶感受】
已经过了1w公里的首保，最远一次一天搞了500多公里，没什么问题，质量、底盘、发动机、马力都是这个价位的车足够用的，路感清晰胎噪大确实有一些，不过会比燃油版好一些，动力模式会抬头，也能听到发动机的轰鸣，很有感觉，就是心疼油哈哈哈
目前没安充电桩，每个周末固定到家附近的公共桩充电，满电81KM续航，开混动刚好够我一周通勤
方向盘的感应操控区不小心就会按到，哈哈，需要躲着点
【乘坐感受】
车最多拉两人一宠物狗，前排空间足够，主驾腰脱很好用，本人身高181，前排调整好，后排不论是腿还是头，都有足够的空间，
【用车反馈】
整体用车很满意，第一辆车也是我和对象共同选择，整体综合打分的话，我们认为领克05PHEV值得9分
【用车成本】
这个还真没有计算过总的或者平均成本，毕竟怕花钱还买啥车是不，公共桩充满20，一箱油400+，最高690的续航，混动高速6个油，多充电肯定省
【最不满意】
说到这里，不得不提，由于批次问题，我不得不更换节温器，有些车友是首保时通知更换，我的比较不幸，自己漏了冷却液，开到店里免费更换的  更换完已经跑了4000公里了，没再有过问题了",2022-07-29,杭州
tyrant002,本人去年刚工作，为了通勤方便今年入手了人生第一辆车，这车的外观就不说了，各有所爱，既然买了肯定是喜欢，主要说说其他用车感受 一. 内饰，这车的内饰走的是北欧风格，有一种厚重里包裹着科技的感觉，线条很流畅，氛围很自然，多色氛围灯和燕飞利仕音响更是增加了夜间行驶的乐趣前排用了不少翻毛皮材料，舒服也好看，就是相当非常特别不耐脏，整个内饰唯一不满意的是中控屏有些不耐用，才用了没几天就有触摸的痕迹了 二.操控性，总体来说操控性是不错的，各种科技技术，智能辅助为驾驶减轻了不少压力，特别是hud，特别是hud，特别是hud，对新手司机来说太友好了，前挡风上的投屏减少了左顾右看和不会用导航的错乱感，不过05的后轮距比前轮距要宽不少，侧停和移库会比01吃力一些，而且转弯半径也算不上小 三.动力和制动，两驱加电机的配置中规中矩，比不上比亚迪汉dm四驱那样的超快加速，但日常使用是绝对够了，这车最大的优点就是用电起步相对较快，用发动机起步也并不慢，基本都在8秒以内，而且车的制动距离还是可以的，对于我这样的新手来说免不了在市区复杂路况下急刹，只要小心慢行，这车的刹车灵敏度能帮你避过不少紧急情况。还有，好多人关注的三缸抖不抖的问题，如果驾驶习惯不好，比如使用动力模式还一直虚踩刹车，我可以告诉你几分钟后你整个人都会快乐的飞起，但只要是正常开，不造车不瞎操作，就算路上飙车你都感受不到抖动，日常使用完全没问题，变速箱也很灵敏 四. 舒适度，这车的舒适性不错，座椅包裹感很强，翻毛加真皮的搭配如果不在乎难打理的话那真是完美的组合，搭配通体式的空调和座椅通风，再把座椅调高靠背放低，真的就是躺着开车的感受，不过这种舒适性是针对驾驶位而言的，副驾驶和后排就要差很多了，如果把主驾驶位比作皇帝，副驾驶就是宰相，后排就只是县令知府那一类的享受了 五. 空间，前排空间足够大，尤其是驾驶位，至于后排嘛，就只不过和把卡罗拉的屁股太高了差不多 六.其他，这车配置不低，用料也是很下功夫，看得出厂家的用心，个人感觉车的品质、质量在国际上也能排的上号，不过这样的车往好了说，20万的车质量和50万的有的一比，车漆和好多部件都是和高档车同型号的，但如果车零件出现故障，成本也和50万的车有的一比，如果说没有终身质保这一政策我是绝对不敢买这车的 最后总结一下，总的来说这车有瑕疵，但性价比还是挺好的，吉利近年来充分吸收了沃尔沃的技术，能生产出05phev这样的车实属不易，我本人并不是纯正的国货粉，也不是合资车的支持者，买这车之前我从网上了解了许多不同品牌不同型号的车，也去4s店试驾过不下15种车（我的驾驶技术都是试驾的时候练的，自从拿上驾照我都七年不摸车了），综合对比之后还是觉得05插混是同价位车里对新手最友好的车，尽管是国产，尽管是有点贵，尽管是三缸，但它适合我,2021-09-09,
油腻大叔旅行社,"综述：底盘稳如老狗，跟以往几辆BBA比毫不逊色。这个价格拿下（4S店展车），划算到泪流满面。动力不同模式如同过山车，纯电如同开公路大妈、动力模式秒变钢炮。


【购车经历】
这辆车算是急用急购、家里车不少，但是因为一辆工作车，零跑T03，打破了我们固有的用车习惯，以前觉得用油车没啥不好，用了小电车以后，觉得工作车还是电车爽，开再多都几乎没有成本，于是决定搞一辆安全性高一点，能适应中长途的工作车。
之前比较了很多混动，超混当然是最好的，但是老婆不喜欢BYD的外形，老实说我也不喜欢，只要是按着日系为模版，都觉得老气。
剩下的超混车型就是长城和吉利的DHT，还有领克的EMP，这里面长城和领克都偏贵一点，吉利雷神Hi-P比较便宜，长城有快充，而其他两个牌子没有。奇瑞的虎8鲲鹏E+又感觉低了一个档次、也是没有快充。
我这辆车的预算是20，最多不超22，如果想要快充就只能是拿铁DHT，可惜低配版很多东西都没有。
所以最后再三衡量，把目光锁定在领克01EMP上。
但是到了4s店，目光就被这辆05phev的展车吸引了，首先是便宜了3w还包上牌，作为工作车，差一代的技术，确实油耗会有差别，但是3w的价差，升30w公里都未必能回来。而且05对于喜欢的领克外观的人，还是蛮有杀伤力的，不喜欢的会觉得是翔💩。
当场拍板买展车，全款拿走。


【驾驶感受】
驾驶感受，我打的4.5分，扣的0.5是因为不同模式之间，特别是混动模式和动力模式之间差太远，跟超混车的动力转换平滑相比，这一代的PHEV明显有发动机介入的顿挫，混动模式深踩油门，会先释放完电机的扭力，再忽然发动机介入。这在试驾01EMP的时候，发动机介入时机有明显优化。
动力模式才是这辆车的真正实力，7.8s破百的成绩，还好。因为有电机的共同介入，响应比我以前用的3辆BBA都快一点。
底盘是这辆车的亮点。稳就不用说了，真稳，而且很意外的是有一定的高级感，连续过坑洼路面时候，悬挂感觉很有韧性，不会有拉拉汽车和某迪jiu5那种硬到要特别照顾后排感觉。


【最不满意】
一方面就是没有8155加持的脑残车机，其实真的用起来还可以，就是开机真慢，确实要2分钟才真正完成开机，等它启动中的画面等到烦躁。
另外就是后排沙发乘坐位有点短了，这策略跟老C class一样，后座空间不够长，就坐垫做短一点，给你视觉效果看上去大，实际上承托空间不够，影响长途乘坐的舒适感，只适合身高170以下坐。


【油耗】
车拿回来跑了两趟长途，一次是广州金沙洲往返恩平，单程190Km，电在80公里处就用尽了，准到不能再准，比较惊喜的是这80公里所以包括高速的，我平均时速有100，用过电车的都知道高速电耗高，这车在这一段路基本没开过发动机，或者是开了我不知道，反正左边油量续航是比出门时多了10km。
到了恩平，有慢充可以用，自带的慢充线是真慢，10小时才能满，这也是我挺不满意的部分，回家用零跑的便携线，6小时就能充满，而且线没领克这么笨重。
回来也是一管电，再把油加满，往返390公里135块的油加20元的家用电，平均0.407元/公里。这是蛮理想的状态。
第二次跑长途，往返珠海280公里，1.2管电（在珠海充了2小时）+100块的油。",2023-01-22,广州
