字段1_文本,字段2,时间,字段3
奋发鲸鱼0D3,外观：外观无敌，看过都说好看，流线型车身，风阻低，云舒白很有高级感，跟普通白色车漆根本不一样。 配置：三联屏打高分，副驾座椅舒服，女王座驾无疑，腿拖支撑感很强，可以一键躺平，前排座椅加热通风按摩都有，效果还不错，中控扶手箱、杯架仓的设计有槽点，合上看着还可以，打开之后贼丑，感觉中间突然缺失了一块，让人不舒服，最大的槽点，全车没有车顶扶手，车速一高或者转弯乘员都吐槽想抓没地方抓。 智能化：车机系统有待优化，虽说不卡顿，但是功能有限，拓展性和可玩性低，全速自适应巡航勉强能用，暂时没出现什么问题，车的雷达不是默认全部开启的，倒车会自动开启雷达预警，低速前进雷达不会自动开，需要人点一下，建议优化。 空间：没说的，大就完了，加上全景天幕，美滋滋，就一个问题，没有电动遮阳帘，需要后期加装。 操控：湾域系统不是吹牛逼，确实稳，跟广告打的差不多，指哪打哪。,2024-02-19,西安
气象万千Lkt2,【购车经历】 提车周期太长了，11.25下单，1.25才提车，等了60天，官方也没有一点补偿，和销售还吵了好几次。 【提车价格】 生椰拿铁加4000，保险买全了4500。 【驾驶感受】 之前开的别克凯越，提速好的多，过弯比较舒适，湾域驾驶是有点东西。 【续航】 重庆市区能耗15左右，本人不怎么开空调，高速续航就有点尴尬，春节自驾北海，温度适中，满载，没开空调，单程1200km，时速105能耗19-20，时速125左右，只能开不到300km。 【动力表现】 0-80提速比较平顺，高速最高开到过155。 【亮点配置】 这个价位有华为AR-HUD和21寸轮毂就离谱。 【最满意】 硬件：乘坐舒适，跑长途副驾后排都相对舒适，湾域驾驶系统确实有点东西； 软件：副驾屏可以单独接入无线耳机使用，不影响中控使用； 外观：生椰拿铁非常好看，棕色内饰也很显高级。 【最不满意】 硬件：车内储物空间太少了，副驾没有手套箱，也没加个脚托，中控台下方没有储物格，水杯槽和无线充的设计怪怪的，前排没有点烟器接口，其实照搬F7那套内饰多好；高速续航不是特别满意，感觉比IX3续航多不了多少； 软件：车机方面飞凡互联居然没有只更新了老款，而且互联是支持米ov，无接触解锁却只支持苹果华为荣耀，这不扯吗，没有哪款手机支持体验全部功能，参照领克08和魅族，比如你和oppo合作，就好好合作到底；HUD也是个槽点，显示内容太少了，个人试驾过的所有车型中，个人认为深蓝s7的HUD内容是做的最丰富最好的，比如车道信息完全也可以做到HUD上，而不是仅仅显示在仪表盘上。 【总结】 整车在这个价位属于降维打击了，我原本看了包年的深蓝s7，销售一直没给合适的优惠，这车只看了一周就订了，不过上汽的产能确实差，销量高一点就供不上货了，隔壁ls6也是这样。最后希望飞凡尽快ota解决上述几个软件方面的问题。,2024-02-20,重庆
好学天空Von,外观可以说完全在我的审美上了，内饰有一定的豪华感，配置堆料很足，想要的都有，续航中规中矩，八成左右看气温，浙江的温度还是比较适合电车的，空间相当充裕，但是作为一个1米9的大个子，驾驶座的宽度还是略显不足，中控台的和车门扶手如果能缩小点让出部分空间就更好了，车机和app堪用，但是自由度不高，部分时候会有些小bug，不能自行安装app也没有app商城，手机远程启动空调和冬夏模式有时会失败，手机蓝牙钥匙性能太好，有时回家了离车不够远车子会一直亮着，还有个问题是通过手机开启后备箱之后即便手动关闭之后也不会上锁，一定要到车机上关闭才会正常上锁，最后说说驾驶感受，作为一路上只开油车过来的司机，本车的驾驶体验只能用惊艳来形容，本身340匹马力的动力已经很充沛，而且电车动力的随叫随到更是锦上添花，现在上路就两个超，动不动就超车和不小心就超速，同时车机上可以对动力响应、制动脚感、方向盘力度等进行调整，可以比较完美的还原油车的驾驶体验，湾域驾驶系统也应该是有效的，原本坐滴滴电车就容易晕车，目前本车包括我在内的一众乘客没有出现晕车现象，最后本车的智驾系统我还在摸索当中，城市道路的效果一般，只能跟下车，高速还没有体验过，据说还可以，希望飞凡团队尽快进行下次ota，进一步完善各项功能,2024-02-28,宁波
用户1686298259284,"如何做到牌都没上就开8000公里！
这车从1月28号到手，到今天2月28号已经有7800公里！
当时赶时间回家结婚，录了一个月的临牌！
从昆明出发。
途径广西北海，广东广州，在到浙江温州！
回来的话是从温州出发。
途径江西南昌，湖南长沙，贵州贵阳再到昆明！
高速是跑的够够的，回来就可以保养了！

一、话说回来，先从大家最关心的续航来说。
1.因为高速上服务费贵，平均费用在每公里2角左右。
2.我开acc定在110，不敢开太快怕电掉快了。电耗保持在19kw/100km
3.我是有5人满座平均70公斤，后备箱也是50公斤左右
4.最重要的来了，高速续航打7折是比较合适的。当然这是我的情况，气候保持0度以上，下坡上坡都有，然后偶尔超车开快点！

我是挺安心的，说句实话没有焦虑过！😁
烦心的是遇到过几次充电桩故障，😭
这五千公里其实就排队过两次。
充电最高能来到90kw，已经是180kw的枪。
开3个小时，充50分钟基本就满了。
电车确实不能赶时间，这个得靠飞机和高铁！
实在不行油车更靠谱！😂

二、外观和内饰仁者见仁智者见智，个人挺喜欢的😁

三、后备箱空间挺邪门的，本来觉得太小了。可是每次都能在塞点。挤一挤空间就又出来了。
这次5000公里可是五个人一车呢😱
前面的空间大的要死，后排三个人还是没办法的只能挤一挤了，给18岁的孩子挤中间了。

四、配置是我选择中很重要的一环，太多了。
说点我喜欢的和感知不明显的。
1.就是5.8秒的提速，
2.华为hud，虽然目前没有那么好用，但是改进的空间非常大。
3.三连屏特别霸气，看着都舒服。
4.座椅通风加热按摩，这个一直都想要。
5.双层夹胶玻璃，电吸门和无边框车门。这几个一起说的原因是我觉得对隔音有影响，风和路面的噪音有点大。我开的车型不多，不知道其他的什么情况。
6.燕飞利仕音响我觉得比较一般，不知道是调教的问题还是硬件问题。
7.天窗有点太晒了，没有遮阳板有点受不了，因为提车的时候4S店说没货了。过了个把月才拿到的

五、就智能话来讲，百度地图特别难用。是真的难用，和高德对比很明显。
1.红绿灯的等待时间没有，
2.定位不精确居然给我定到隔壁另一条高速上去了
3.对拥堵路况的更新不及时

QQ音乐没有在快捷系统里，得单独点击。

还有能量回收应该给设置一个单独的开关，我个人经常切换。高速上去不停切换也危险

智能语音用的比较少，之前开油车习惯了。还是很顺畅的，毕竟是8155还没有过时

考虑到不信任智能驾驶，现在也没有这么先进，等到几年后厉害了在换车。这个进阶款辅助功能在弯道特别多的云南很难用的，到沿海和平原上的高速才方便，在云贵川高速上弯道大且多，经常会遇到过弯减速，还有那些插队的，也会让车减速。没有老司机那种顺滑

六、最后就是驾驶感受，我个人是非常满意的。大的弯道转向支撑力给足了信心。对路面的过滤也很细腻。不像我之前的suv，跟开船一样！",2024-02-29,昆明
东方和团团,成都龙潭寺提车，买车思路纯电SUV，试驾打电话4s店，成都开到仁寿试驾，服务挺好。试驾完直接订车，选的保险补贴和充电桩安装，现车，第三天就通知提车了。提车过程还是比较顺利，送了膜 放电枪 脚垫 只有三样，有个权益包2000，本身是19.19。少了2000，最后还是18.99。进阶版配置已经够用，三个配置动力一样这点挺好，也比较清晰明了，就是高阶智能驾驶和续航增加上面两个，对于不需要的这些的，解决选择综合困难症，试驾车有华为抬头显示感觉显示地方太远，在路上去了。对这个抬头显示也没太大感觉，流媒体后视镜比较有感可惜和抬头是绑定的。家里有台vv7流媒体后视镜对于后窗小的车子来说比较实用。R7的后玻璃相对比VV7大 看过去不是一条缝，车子外观流线型比较突然，选的灰色年后贴膜液态金属银，更加突出了，内饰棕色比较耐看，黑色不好看，白色应该不耐脏家里有小朋友，空间挺大，后排座椅比较长能完全拖起腿，正常驾驶位后排还有三拳多，本人1.73座椅按摩力度比较大，有明显的感觉不是鸡肋配置了，也有8个模式可以选择。前排玻璃三角处是玻璃减少了视觉盲区好评，没有自带电动遮阳帘希望厂家改进，虽然有手动的感觉不会那么会事，行驶车子给人感觉比较整，变道拖拉，毕竟车子长度摆起的比较满意。动力没话说，很猛，能把自己踩晕。把动能回收关掉和开油车差不多，只要不猛踩不会像其他电车一样难受。过弯也不像一个suV侧倾比较小这点调教的挺好，续航没有测试过，现在行驶1800多公里，跑过高速 山路 城区 感受上是够用，毕竟现在充电也方便，不管是逛街 吃饭 出去住宿 都有充电的地方。快充基本上一个吃饭时间 就满了，和油车最大感受就是安静，相当安静。也不需要点火什么的，不过厂家蓝牙钥匙无感上下车只支持华为 苹果 荣耀手机，希望改进下，钥匙只有一把电子的和两个机械的。车子旁边有人或者电动车经过判断准确 遇见过两次 车子系统直接停住 也不是那种很突然的，定速巡航希望改进下，最高只能定130，车道保持 跟车 都挺好用比家里那台VV7 的这些功能好用也方便，只需要操作一次就好了。后备箱空间够用，比家里另外两台油车都大，还有一台是名爵6，氛围灯比较隐蔽不是那么明显虽然有200多种色系，有点浪费了，只有四个门有还不是那种很明显的，希望在仪表位置加根，进阶版虽然是4G流量，速度也够用地下室信号也有，还有三年免流量我朋友的比亚迪汉是两年免，这个好评。,2024-02-23,成都
改看兵法的范厨师,【提车价格】 从下订到提车20天，感觉销售还是效率很高，说是连夜抢的资源，价钱上是跟官网一样，一分不少，但还赠了充电枪，放电枪，脚垫，后备箱垫，遮阳帘，感觉也还可以。 【购车经历】 1月4号提车，保险，上牌一条龙也就五六个小时，如果不是24年开年上牌人多点，感觉还能更快，速度确实超出我想象。 购车前还对比了小鹏跟智己还有宋L，感觉R7性价比确实挺高，还有外观也还行，丐版除了智驾跟续航，基本三个配置一样。 【驾驶感受】 车子高速上行驶挺稳，定速巡航辅助也还行，足够我的日常驾驶。加速确实快，高速上深踩一点，速度就立即提了上来。 续航也还可以，上完牌电量94%，当天130公里，大部分高速，顶着限速开的，全程空调24度，最后到家还剩62%。5号又去贴车衣，60多公里高速，还剩46%，感觉动态续航跟导航上预测续航和实际比较接近。 【最不满意】 这车系统还是1.3，原生app就几个，没有高德和网易云，用着很不习惯，希望后续系统更新吧。还有就是车子尺寸很足，但储物空间很少，没有手套箱、前备箱，中间扶手也就一层，后备箱也不大。期待官方能够出一些储物盒之类的，把空间用上，放一些驾驶证眼镜盒之类的小物件。,2024-01-05,北京
爱玩闹的小小,1月5号提车啦！！ 飞凡R7 2024进阶款，颜值是真的不错，当时看视频照片的时候就被吸引了，看着像轿车一样，配置颜色都很合心意，于是决定去广州看车（还是挺远的，4S店太少也是麻烦）。 去到一看，颜值比视频上面看着更高些，而且虽然看着像轿车，高度确实很够，在车内试驾很舒服，底盘调教也是很自在。试驾的时候销售还给我们试了0百加速，我在后排都有点眩晕。 去看车的当天还看了其他品牌新出的款，最后综合对比还是选了飞凡R7，颜值，配置，价位都差不多符合我们的心理预期。 我们是12月16日下定的，当时的担忧是看很多人说提车时间太长，店内给了保证，在官网时效内交车（7周，也就是1月底），因为我们也是想着过年能开上。没想到店长帮我们加急，28号的时候就通知我们可以去验车了，相当惊喜，后来因为时间安排，在1月1号进行了验车并支付尾款（还是4S店太远，我们边缘小城市购买着实不太方便）。 1月5号一早就提车啦，交付的态度很好，我们说是新手，看店里不忙还教我们车机系统的一些使用等。,2024-01-10,广州
运筹帷幄可乐F5x,"油转电，买车媳妇就提了几点要求，SUV、大一点、最好是新能源。本身自己就是做这一行的，油车，增程，插混，纯电的利弊和她一顿分析，说我等于没说，要我自己看着办。
      各个品牌的新能源都看了一圈，总觉得差点意思。某天在某弟上突然刷飞凡R7，乍一看，还阔以哦，就开始关注了。
      中途带媳妇去试驾了一圈，整体满意，操控，底盘，空间，舒适都还不错，配置也高。
      中途要上班就没去管这事的，但是这段时间开的油车太老了，油耗高，想着反正要换，早买早享受，开着车就去店里定下来的，当天又去把二手车处理的（效率还是很高的）
这几天的用车感受，总的来说，还是符合自己的预期的，有优点也有缺点，优点就不说了哈，大家都知道，聊聊缺点，我的观点是能接受缺点才能入手。        
缺点一：作为一个车长4900，轴距2950的中大型SUV来说，内部空间十足，这点不用担心，但是储物空间一言难尽，没有手套箱？之前是为了有副驾脚踏，现在取消了，还取消？后备箱空间看车应该很大，但是吧，理想是丰满的，现实是骨干的，只能说够用吧。       
 缺点二：车机，没错车机。屏幕够大，够豪华，够霸气，流畅度没问题，分辨率也行。但是，基于安卓开发的，端口没放开？app少不说，还不支持下载，是对芯片不自信还是怕增加车主的学习成本呀…          
缺点三：360影像，不带透明底盘就算了，那个3D成像，是认真的吗？研发人员的建模不行哈，算法有问题呀，晚上还有雪花点，看上去是黑白的…只能说有总比没有好，老司机看下前后就行 
缺点四：异响，副驾位置，座椅位置，还是中控台位置的地方过减速带或是颠簸路面会响     
     吐槽完缺点，说点开心的，能耗可以，开了1000公里了，测算了一下，大概8折多的样子。底盘可以，美系底盘？没具体研究，稳！",2024-01-26,长沙
饮水处在A区,"综述：外观亮眼，配置丰富，智能座舱感受良好！续航水平整体满意，选择飞凡，成就非凡！

【购车经历】
临近年底，为了撵上魔都的今年购车政策，抓紧置换，卖旧车，订新车。之前开的也是新能源车，所以更青睐电车，选车过程中天天刷，看到飞凡24款各方面评价都很好，性价比拉满，所以毫不犹豫的就选择了飞凡，背靠大厂有保障，媳妇见了都夸好！
拿到购车资格。所以订了现车，灰外黑内，交付中心的专员比较负责，天天关注系统消息，帮忙办理各种手续，很顺利的从下定到提车正好10天时间。新车上手心里美滋滋！虽然是老司机了，也要小心翼翼开回家，逐步去磨合。

【驾驶感受】
初步感受，新能源技术的进步确实快，之前的电车开了5年多，相比之下，新车开起来丝滑很多，优秀的电机电控带来的驾驶体验完全不一样，智能座舱舒适便捷，语音控制车内大部分功能，非常便捷。早上大雾能见度很低，语音唤醒打开后雾灯，打开后视镜加热，就是动动嘴的事。唯一一点总是感觉有刹车点头的情况，不知是我驾驶水平的问题还是车子的问题，还需要好好磨合一下。

【续航】
两天开了80公里城市道路，外面气温7-8度的样子，开空调，风窗除雾，按摩，能耗16个左右，还是令人满意！计划今年过年来个2000公里的回家过年之旅，到时再全面体验一下！",2023-12-29,上海
爱车端,外观很满意，就是看中了这个尺寸和颜值才买的。内饰也还可以，比较简洁，没有F7精致，但是也还可以了。 配置比之前有不少增加，也有减配，但是价格便宜了呀，这个还是性价比很高的。 空间够用，家里个子都不高，足够了。 智能化差了点，语音助手比较呆，都不能识别连续指令，一次只能识别一条。而且车机8155没有想象中的快。 续航估计8折吧，能耗高，所以续航差点，没办法，动力和续航只能选一项，而且发现现在每次启动一开就是少2公里，是启动耗电更厉害吗？启动次数越多，续航越低，也是奇怪。 驾驶感受挺好，虽然说的那些名词不懂，但开起来稳重，舒服，足够日常通勤了，平时也遇不到什么极端驾驶的情况。 所以总的来说，高颜值，高性价比，智能化、续航差点，瑕不掩瑜，家用不错,2023-12-15,常州
