publish,标题,名称,名称1,名称2,评分,评分3,评分4,评分5,评分6,评分7,评分8,评分9,评分10,评分11,评分12,评分13,评分14,评分15,评分16,评分17,评分18,标题19,信息,信息_链接,信息20,信息21,信息22,信息23,信息24,信息25,信息26,信息27,信息28,标题29,purpose,标题30,jia_text,标题31,信息32,图片,图片33,图片34,图片35,dw_22,dw_2236,dw_23,dw_2337,dw_1,dw_2,dw_238,dw_5,dw_539,dw_11,dw_3,dw_1140,dw_341,dw_4,dw_442,dw_6,dw_643,dw_7,dw_744,dw_8,dw_845,up_链接
"
    发表于  2022-10    

            
    
    
",科技感爆棚，很特别,https://image1.xcarimg.com/attachments/my/1/79/26/115_120.jpg,xuser1802611,支柱会员,4.63,外观,5,内饰,4,续航,5,空间,5,舒适,4,动力,5,操控,4,性价比,5,购入信息,爱车车型,https://newcar.xcar.com.cn/m64787/,2022款ID.6 CROZZ长续航PRO版,购入时间,2022/8/1,购车地点,淮安康润汽车销售服务有限公司 [江苏省],裸车价格,25.4万  (厂商指导价 29.39万),续航里程,500km,购入用途,上班,爱车简评,外观设计相当高调，相当帅，设计蛮运动的，是我喜欢的类型，加上现在电车非常流行，油价越来越贵，就有了买它的冲动，多次了解试驾之后，出手了。这一个多月来驾驶体验很满意，马上冬天了，看看到时候续航怎么样。,实拍图片,爱车评价,https://img1.xcarimg.com//review/20221010/7da59b802771d0092d2e5a9280fa0b16.jpg-169x127.jpg,https://img1.xcarimg.com//review/20221010/1b5192cf653bd0f8a97b0ec7520085e7.jpg-169x127.jpg,https://img1.xcarimg.com//review/20221010/0de9534d8adbbcb25b902e3cb4868104.jpg-169x127.jpg,https://img1.xcarimg.com//review/20221010/38cfed218548be01fb6ca489d63180eb.jpg-169x127.jpg,[最满意],外观高调帅气，很有科技感,[不满意],内饰感觉一般，没有外观那么拉风,[外观],[内饰],中规中矩吧没有外面好看,[续航],现在续航正常开400公里没问题，冬天的话不知道,[充电],[空间],小区里有充电桩，很方便很实惠,空间很大，家用没毛病,[舒适],座椅有点硬，其他还好,[动力],动力比油车猛多了，油门都不敢猛踩,[操控],操纵反应很灵敏,[性价比],我还是比较满意的,
"
    发表于  2022-08    

      
        
    
    
",外观：这ID6不似大众，不套娃了，全新的设计语言了，大灯很好看，画龙点睛的感觉，亮起来的一刻感觉车都活起来了,https://image1.xcarimg.com/attachments/my/1/93/93/030_120.jpg,xuser1949303,三星会员,4.88,外观,5,内饰,4,续航,5,空间,5,舒适,5,动力,5,操控,5,性价比,5,购入信息,爱车车型,https://newcar.xcar.com.cn/m64785/,2022款ID.6 CROZZ标准续航PURE版,购入时间,2022/2/1,购车地点, [黑龙江省],裸车价格,27万  (厂商指导价 25.89万),续航里程,280km,爱车简评,,爱车简评,之前也看了比亚迪唐和上汽大众ID6X，主要是考虑过两年要二胎，所以就想买个六座或者七座的车，又不想看着油价标涨，到时候得多掏腰包，预算也就二十多万，所以就去看了ID6，最后无脑的选择了一汽大众ID6CROZZ,,爱车评价,,,,,[最满意],最满意的莫过于这ID6CROZZ开起来不论是是在城市道路还是在高速公路上都是稳重厚实感十足，让你心里踏实，这是别的车给不了我的感觉，电车起步快，等红绿灯的时候，路灯亮了给油门直接走，这是油车给不了的，之前开的也是一辆高尔夫！,[不满意],最不满意的就是车窗控制键了，如果能多做两个最好的，也不好去改装，只能忍了，还有的时候车机系统会卡顿吧，这可能跟我用苹果有关系，苹果你就感觉不到卡,[外观],[内饰],内饰：第一眼看上去，会觉得仪表盘感觉比较小，相信这基本上的所有人的共识。但也是因为这样的布局，给我一种很强的新鲜感。结合上用料，是有精致感的是好看的。,[续航],电耗：目前夏季的电池和公里数没有让我们感到焦 虑，可能单位楼下地库就有充电桩，日常充 电方便，所以夏季没有电量焦虑。一般就充 到百分之八十左右，开到百分之三十接着 充，也不知道这么充对不对，就这样吧。,,[空间],,空间：举家出行，这空间还是够用的，需要多放东西后排座椅直接放倒,[舒适],舒适性：无论是小区减速带还是路上的坑坑洼洼，ID6的悬架几乎都是一次上下起伏就能回复正常，开起来很舒服，这进一步提升了ID6的行驶信心以及乘坐舒适感！车内味道很小。 方向盘右侧带音量调节，很方便！ 座位也舒服，主副驾还带自动按摩。 ☆ PM2.5过滤装置：上车开启，可以快速去除车内异味，挺好的！ ☆ 空调温度分区控制：空调很强大，不错。后排小孩容易触碰，所以可以在设置里关掉后排控制空调。,[动力],动力：车稳，开起来像油车，这种话就不用多说了，零百速度八点几秒，在电车里有点慢，但作为一台车，这个速度也算是中规中矩，因为车里坐的都是一家子，起步速度慢点就慢点呗，我要那么快的起步速度干嘛？我就纳了闷了，有多少开车场景需要零百三点几秒的速度，我要它干嘛?闯红灯吗?还是跟救护车飚一下谁更快？真想寻个刺激我去欢乐谷坐过山车好不好啊，还没人跟我抢路。,[操控],操控：大众的操控没得说，不论电车还是油车，都很稳重,[性价比],性价比：这车现在就是无脑的喜欢，不用担忧保养得要多少钱，就是太方便了！,javascript:;
"
    发表于  2022-08    

      
        
    
    
",外观：车身修长，大灯很炫，动态矩阵大灯，贯穿式车灯，流线型，科技感十足。,https://image1.xcarimg.com/attachments/my/1/93/93/022_120.jpg,xuser1949302,三星会员,4.88,外观,5,内饰,5,续航,5,空间,5,舒适,5,动力,4,操控,5,性价比,5,购入信息,爱车车型,https://newcar.xcar.com.cn/m65547/,2022款ID.6 CROZZ长续航Lite PRO版,购入时间,2022/5/1,购车地点, [重庆市],裸车价格,25万  (厂商指导价 28.89万),续航里程,300km,爱车简评,,爱车简评,在配置和用料水平上是没有什么问题的，车内的空间也挺大，舒适性配置也比较丰富，乘坐舒适度也是非常棒的。,,爱车评价,,,,,[最满意],目前对此车的续航、高速安静、全速自适应巡航、360影像和空间都满意。我是置换车子，以前是南方某新能源品牌，18年购置，当时410公里属于大续航了，没有能量回收，车子较小也不需要360影像，总体感觉老车还可以:但从北京到石家庄，中间必须充一次电，否则心理真的会恐慌的。目前大众这款车刚提4天，在市区跑过两次，操控性和动力感觉还可以，随叫随到。昨天刚刚跑一次高速，在京港澳行驶二百多公里，一路上空调中低风速，开了自适应巡航，设定在120迈，在相当程度上解放了右脚，车道保持非常好，很安全，驾驶很有信心。,[不满意],都是小问题和常见问题，比如新车有异味等等。,[外观],[内饰],内饰：内饰感觉还可以，真皮座椅不错。皮质缝制的也可以。扶手箱高度可调，适合不同需求的人群。全景天窗很大，很长，打开之后亮堂堂的。,,,[充电],[空间],买车也就一个多月的时间，夏天电耗明显高了点，不过也正常，总的来讲这辆车的续航能力还可以，稳定在450公里左右还是没问题的，目前的平均电耗在16kwh/100km左右。,空间：本人身高173，72kg，前排空间绰绰有余，第二排也很宽敞，二排基本纯平，我女儿直接躺在二 排地板上。第三排目前用不上。,[舒适],舒适性配置也比较丰富，乘坐舒适度也是非常棒的。,[动力],动力：跑高速的时候，自适应巡航和车道保持非常有用，很安全，开起来信心十足。舒适模式下，油门随叫随到，还没试过运动模式。车比较长，停车需要借助360影像，可以独立倒车入库。前后雷达、侧方雷达都很灵敏，很给力。,,,[性价比],性价比：这么大的车，这么足的续航，最近ssss搞活动，降价加补贴，感觉大众很有诚意。如果是油车，中大型SUV，高配起码要三十几个，这纯电平台要价很亲民，大众棒棒棒。我个人不怎么相信性价比，一分价钱一分货，大众底盘扎实，品质没得说，希望大众的新能源品牌越做越好。,javascript:;
"
    发表于  2022-08    

      
        
    
    
",外观只能说见仁见智了，我不太在意外观，（比亚迪秦PLUS我觉得就挺好看的）。媳妇觉得这款外观好看，孩子们也挺喜欢，就买了。车身做工非常好，缝隙和用料都很实在。感觉大众很想把这款车做好。毕竟ID系列如果拉稀了，大众再想扭转印象就难了，很有可能会成为第二个诺基亚。车轮20寸，特斯拉Y改20寸得加8000，轮胎是缺气保用胎，后胎宽265，看着就很有安全感。这两天冰雪路面，很多车都在打滑，得益于这么宽的胎和这么重的车，作为后驱车，竟然影响不大。,https://image1.xcarimg.com/attachments/my/1/93/93/025_120.jpg,xuser1949302,三星会员,4.88,外观,5,内饰,4,续航,5,空间,5,舒适,5,动力,5,操控,5,性价比,5,购入信息,爱车车型,https://newcar.xcar.com.cn/m64788/,2022款ID.6 CROZZ高性能PRIME版,购入时间,2022/2/1,购车地点, [山西省],裸车价格,26万  (厂商指导价 33.69万),续航里程,280km,爱车简评,,爱车简评,为了接送孩子，俩娃的乘坐体验上，还是ID6CROZZ舒服些，特斯拉后座有点短了。而且，特斯拉后期的维护成本据说比较高，门把手更换就要上万，大众后期维护成本比较低。,,爱车评价,,,,,[最满意],乘坐比较舒适，整体配置比较高，座椅记忆 调节 加热 按摩 抬头显示 L2辅助驾驶，常规需要的基本都有。作为这个价位的大众，应该说这款车诚意满满，做工、静音，底盘感受都很好。,[不满意],电动车的通病啦，冬天续航缩水，尤其这两天大风降温大雪。在室外静置时间较长后，冷启动开始的电耗能达到正常的两倍以上，十公里后，车热起来后能好一些。,[外观],[内饰],内饰简约大方，下料不错，基本都是软性材质和真皮缝线。语音控制比较实用，切换个歌曲，接打电话比较安全，尤其这两天，前窗容易起雾，说一句开启除霜，三五秒搞定，不像以前，总是闹不清到底应该把空调调热还是调低。音响效果不错，但是并不是震撼的那种。氛围灯，孩子挺喜欢的，个人觉得无所谓，想关上省电，暂时还没找到怎么关闭。,[续航],电耗在预期之中，提车就是冬至了，提车那天还在零上，跑了一趟车管所挂牌，能耗17.4，这两天零下5-6度，基本都得20以上了。追加：今天室外三到五度，车从车库开出来没凉透，有的环山路，道很顺，跑出了15个多的电耗，非常满意，看来，春夏秋续航五百多公里应该没有问题,,[空间],,空间应该说毫无问题，前排中排都带分区空调，座椅加热，真皮打孔座椅，柔软度包裹性都非常好，最后排一般放倒，尾箱会比较大，临时短途应急，可以一个孩子躺在最后，而且不算超载。 ☆ 空间设计亮点：车上储物空间比较丰富用心，中控多层置物，扶手箱目测可以放下家用保温杯,[舒适],舒适性没的说，对比试驾了本田皓影、特斯拉Y、奔驰GLB200，无论静音还是底盘滤震还是座椅舒适感，都具有比较优势。新车基本没什么异味，开了PM2.5过滤和什么离子，基本感受不出来是新车。座椅加热和方向盘加热非常实用，在室外静置时间长了后，不想空调太影响续航的时候，把座椅加热和方向盘加热打开，就很舒服了，且耗电不高。使用很方便，不用启动也不用熄火，甚至不用开关灯，踩刹车就启动了 ，扭上档就能走，下车就关闭锁车了，到车库自动开灯，出车库自动关灯。,[动力],定位家用上下班，接送孩子，所以极限驾驶没有可能性。平时都是经济模式，应该说动力足够，想超车时，电门一深，车速即来，毫无迟滞。,[操控],放弃新势力的主要原因就是大众的底盘和操控功底，基本想打哪就敢指哪，转弯角度还多半圈。,[性价比],性价比应该说还不错，对比比亚迪唐，同价位配置更丰富一点。续航够用，安全配置齐全，驾驶辅助丰富，舒适性同价位头部区间，总体来说，是很实用的家用车。 购车：各种补贴都算上，优惠3个吧，选的珠光白，加2000，当天看完就订了。电车的驾驶体验，是同价位的燃油车没法比的，尽管还有很多不成熟的地方，慢慢补救吧。车位有公桩，还可以免费送家桩，晚上插上，设置好谷电开始充，早上7点前充好，应该说里程焦虑可以克服。衰减焦虑方面，8年之内有质保，不用担心，8年之后，总感觉电池技术会有突破了，即使没突破，相比八年前，现在的电池成本降到了以前的三分之一不到，将来应该也不会太贵了。 保养维护：送了首保免费，据说去了也就是检查检查，因为除了玻璃水、防冻液，空气滤芯之外，实在没啥换的。对比2000多的雅迪，除了定期换电池，车基本十几年，电机都没啥变化。四轮的品控应该也差不了多少吧。 品牌评价：大众ID系列建了厂家一对一服务群，应该说比较重视。,javascript:;
"
    发表于  2022-08    

      
        
    
    
",外观这方面我肯定是喜欢的，因为在这个看颜值的时代，每个人都是颜控，我也不例外，当初在网上看到这车的照片就觉得很气派，见到实车后更是迷住挪不动腿了，这外观看着确实硬朗霸气，尽显成熟的底气，看着也有辨识度。,https://image1.xcarimg.com/attachments/my/1/93/93/021_120.jpg,xuser1949302,三星会员,4.88,外观,5,内饰,5,续航,4,空间,5,舒适,5,动力,5,操控,5,性价比,5,购入信息,爱车车型,https://newcar.xcar.com.cn/m64787/,2022款ID.6 CROZZ长续航PRO版,购入时间,2022/2/1,购车地点, [重庆市],裸车价格,26万  (厂商指导价 29.39万),续航里程,300km,爱车简评,,爱车简评,ID.6 CROZZ最吸引我的就是空间和舒适性了，超过4.891米的车长，2.965米的轴距，从前到后分别是2 3 2的座椅分布，每一排座椅都有充足的空间,,爱车评价,,,,,[最满意],买这台车的时候我可是考虑了很久的，当然，对于大众ID.6 CROZZ 这台车，我可是打心底里的喜欢，目前让我最满意的就是这台车的空间，我之前的车子是一台轿车，开着确实憋屈，ID.6 CROZZ是一台中大型的SUV ，车内的乘坐空间蛮大的，车身尺寸也比较大，对我来说真的是太合适了。毕竟车子只是一台代步工具，空间大舒服，自己觉得合适那就行了。,[不满意],如果有非常不满意的地方，那我肯定也不会选择它了，目前只能说没有达到我的预期，除了内饰气味比较大之外，其他还真的没啥大问题，而且我感觉这台车的价位偏高了一点，优惠确实比较少。,[外观],[内饰],这台车的内饰风格也是很棒的，基本感觉不到那种塑料的廉价感，当然我最喜欢的还是液晶仪表盘，满满的科技感，还有中控的大屏，看着一目了然，开车过程中很省心，不过我要说一说这台车的座椅很软，坐着非常舒服，一点也不偷工减料，摸着很有质感。,[续航],我的这台车百公里电耗是16.7，官方续航601，实际上可以达到将近500公里，还算是不错的了，电耗高一点车子劲大，开着也舒服些，反正我从来没跑完过。,,[空间],,这台车的空间肯定是足够的，毕竟是七座的，特别是后排的空间，非常宽敞，即使是身高一米八的人坐上去也不会感到憋屈，更何况我们家就一个小孩，这个车的空间绝对是足够的。前不久的时候，我们一家人回了老家，带回了满满后备箱的特产，我发现这台车的后备箱能放不少东西，我想着等到国庆节了，到时候带着家人出去自驾游看看，应该也是蛮享受的。 ☆ 空间设计亮点：不得不说，换了这台车之后感觉还真的不一样，大车开着很有安全感，也很舒适。全景大天窗是我的最爱，虽然夏天有点晒，不过等着哪天出去自驾游了，躺在里面看星星还是不错的，而且这台车的前后都是独立悬挂，在减震方面做的不错。车子的隔音也很棒，而且电车的声音小，行驶的时候几乎听不到什么声音。,,,[动力],纯电动的车子开着确实比燃油车更加的舒服，动力肯定是不用担心的，车子提速非常快，特别是红绿灯起步的时候，这个是燃油车不能比的。开车还是安全第一，我买这台车的定位是家用，方便家里人出行，所以平时车里都是有老人跟小孩的，所以开的时候主要以舒适性为主，而且再大的动力对我来说只是提速快一点。而且我之前开轿车开习惯了，现在换了大车还真的有点不习惯，不过现在开了这么久了，慢慢的也就习惯了，而且电动汽车的驾驶体验和油车的完全不一样的感觉，车子提速快，开着很有劲。我很喜欢这台车的底盘，很高，坐在车上有一种居高临下的心态，让人很有自信，而且配置上也是应有尽有，360全景影像也是特别的清楚，全速自适应巡航，主动刹车这些配置也都有，对于我这个驾龄五年的老司机来说，操控真的不难。,,,[性价比],我当初买车的预算有三十万，再高点就承受不了了，毕竟现在疫情失业率还挺高的，三十万说不多也不多，说少也不少了，毕竟都是自己的血汗钱，现在的油价确实有点贵，所以我就想着买一台纯电的车子，我买车的时候看了好几款纯电SUV，其中国产车就看了几款，国产车也要十多万二十万左右了，还不如加钱买个合资车算了，更加保值，对于性价比这块，大众ID.6 CROZZ这台车价位确实有点偏高，水分有点大，而且优惠比较小，所以我觉得性价比一般。,javascript:;
"
    发表于  2022-08    

      
        
    
    
",大灯设计非常漂亮，晚上开车就是一种享受，另外做工方面比较有优势，接缝紧密，钣金工艺没问题,https://image1.xcarimg.com/attachments/my/1/93/93/006_120.jpg,xuser1949300,三星会员,4.88,外观,5,内饰,4,续航,5,空间,5,舒适,5,动力,5,操控,5,性价比,5,购入信息,爱车车型,https://newcar.xcar.com.cn/m64786/,2022款ID.6 CROZZ长续航PURE+版,购入时间,2022/2/1,购车地点, [辽宁省],裸车价格,26万  (厂商指导价 28.29万),续航里程,300km,爱车简评,,爱车简评,上一辆车是大众的老途观。现在新能源车很多人开，我也想尝尝鲜，还是比较信赖大众的，所以买电车也是选择ID.6 CROZZ,,爱车评价,,,,,[最满意],上一辆车也是大众，虽然是油车换电车，但是没有一点不适应。外形也是我喜欢的样式，越看越顺眼，而且配置挺高的。大气的外观 丰富的配置，美好的驾乘体验。支持车联网、还有语音控制识别等等，有着不错的互联体验。30万级最主流水准。作为一款中大型的Suv 家用非常大了,[不满意],车机确实有点难，必须拿着用户手册一点一点的学习。子菜单比较多，我年龄大了，确实搞不懂。 新能源车的卖点就是智能程度高，不的不吐槽的是中控屏略显小气,[外观],[内饰],内饰新颖了很多，对于大众车来说算是一种突破了，氛围灯好评，开起来很浪漫,[续航],大型SUV的电耗会高一点的，基本上维持在18/百公里，正常开500公里左右。冬天的续航就不行了，加上方向盘加热，座椅加热，还要开空调，掉电速度就很快。,[充电],[空间],续航：充满电可以开大概500公里，上下班用车还是很方便的。续航很真实，动态显示很人性。每天上班单程7km，没有焦虑。空间看个人需求，我觉得它的储物空间很丰富，乘坐空间也非常大，目前基本当五座开。,宽度只有一米八出头，但是轴距确实长，所以内部空间表现还是不错的,[舒适],虽然没有用双层隔音玻璃，但是玻璃也是加厚的，车内隔音效果确实不错，减震稍微硬了点。座椅包裹性好，软硬适中，各种辅助设施人性化，用起来方便，空间又大，就是一部旅行车，家用很舒服,[动力],加速比不了特斯拉，但是跟理想one有的比，红绿灯起步能赢过绝大部分油车。驾驶感受：它的车身底盘稳重，方向盘操控没有虚位，加速反应也快。车子很大，停车不方便，尤其是上下班，跟原来轩逸比大太多，停车太不方便。从没开过电车，开始感觉不适应，加速太猛了，跟车时不敢靠太近，新车刚上手，还有个磨合过程，比油车爽太多,[操控],之前开大众车，所以习惯了大众车的底盘和操控，开起来还是比较安心的。,[性价比],各种优惠下来，我觉得性价比不错，毕竟买的没有卖的精，我感觉还是被割韭菜了，但买车就是这样，你永远买不到最低价。性价比这一块还算蛮高了 20多万买到中大型的电车suv 开着放心,javascript:;
"
    发表于  2022-03    

      
        
    
    
",外观的风格还可以，我觉得还是挺有设计感的，我个人看下来还是比较喜欢的，因为他确实还是比较好看的，也值得你去细看。,https://image1.xcarimg.com/attachments/my/1/93/12/315_120.jpg,xuser1941231,支柱会员,5,外观,5,内饰,5,续航,5,空间,5,舒适,5,动力,5,操控,5,性价比,5,购入信息,爱车车型,https://newcar.xcar.com.cn/m61521/,2021款ID.6 CROZZ高性能PRIME版 ,购入时间,2021/11/1,购车地点, [天津市],裸车价格,33.48万  (厂商指导价 33.48万),续航里程,430km,爱车简评,,爱车简评,选择他的时候，就是觉得他价位可以接受，而且品质也还可以，所以也没有什么很大的纠结。,实拍图片,爱车评价,https://img1.xcarimg.com//review/20220309/76807fd1ff92eb478f0e49cf6f86c201.jpg-169x127.jpg,https://img1.xcarimg.com//review/20220309/952713814d2b708e2e37b5800c649bb2.jpg-169x127.jpg,https://img1.xcarimg.com//review/20220309/1dcec1dda001b9f612be07d72fb42d05.jpg-169x127.jpg,,[最满意],我比较满意这个车子的地方，就是觉得这一款车子他确实表现得还可以，因为它的配置还是比较好的，然后就是这个车子的油耗保持的还行。,[不满意],不太满意的地方，我觉得还挺多的，不管是减震效果还是隔音效果，都让我觉得并不是特别的满意。,[外观],[内饰],内饰还行吧，设计感一般，用起来的手感也还可以，反正没有什么大问题，异味异响的就还可以。,[续航],电耗的表现也还能接受。就是他的表现也挺稳定的，而且比我预期中其实要好很多。最起码还能续航430公里,,[空间],,空间上还行吧，主要看你自己的家庭所需了，我觉得目前来看，我们用起来是没有什么太大问题的。,[舒适],舒适性一个感受还可以嘛，这个车子的舒适性并不能是说他做的特别好的，因为它的缺点也挺多的，但是它的优点也是有的，就比如说它的座椅，空调的效果都还挺不错的，所以虽然说并不是一辆完美的车，但是做的也还凑合。,[动力],动力还可以，基本上起步各方面的都不会有什么特别大的问题，所以我觉得是可以接受的。,[操控],操控起来挺灵活的，而且确实是不难，主要是熟悉下应该都可以吧。,[性价比],性价比还行，目前来看用起来还是挺合适的，称不上是完美的，但是绝对是合适的。,javascript:;
"
    发表于  2022-03    

            
    
    
",外观也是我喜欢的类型，感觉近几年都比较流行这种款式，而且轮胎设计非常酷炫。,https://image1.xcarimg.com/attachments/my/1/93/31/516_120.jpg,xuser1943151,支柱会员,4.75,外观,5,内饰,4,续航,5,空间,4,舒适,5,动力,5,操控,5,性价比,5,购入信息,爱车车型,https://newcar.xcar.com.cn/m61521/,2021款ID.6 CROZZ高性能PRIME版 ,购入时间,2021/10/1,购车地点, [天津市],裸车价格,33.48万  (厂商指导价 33.48万),续航里程,450km,购入用途,上班,爱车简评,因为这台车是新能源车辆，自己也是一直都想买的，身边的朋友也有很多都跟我说新能源车辆有多好，我也是比较心动，再加上这台车的价格正好在我的预算之内，我也就没什么好犹豫的了，就买了。,实拍图片,爱车评价,https://img1.xcarimg.com//review/20220309/85bb4d87268c118f382ec464fcc7a5c5.jpg-169x127.jpg,https://img1.xcarimg.com//review/20220309/d4023842f8bef869d109f64e3d204ba5.jpg-169x127.jpg,https://img1.xcarimg.com//review/20220309/87a545d4f5bb189d9fc83f57be68ce56.jpg-169x127.jpg,https://img1.xcarimg.com//review/20220309/c47693084b7aab785d9c6266e46be77c.jpg-169x127.jpg,[最满意],最满意的就是这款车价格还算比较便宜，而且在用电的情况下也为我节约了一定的成本，买车还是要看是否经济实惠的，我也比较在意这一点。,[不满意],不满意的地方也有，因为如果是用作家用，感觉空间还是比我需要的要小了点，还有就是内饰不是特别精致，有的地方的做工我不太喜欢。,[外观],[内饰],内饰相对来说比较粗糙，有些地方塑料感比较强，就会显得有些廉价，我不是很喜欢。,[续航],电耗我觉得并不算高，而且平时充一次电可以用很久，还是挺方便的，续航时间也很长。,,[空间],,感觉前后排的空间表现都中规中矩，不是特别宽敞，而且主驾驶位头部离车顶只有不到一拳的距离，还是有些压迫感的，再加上后备箱虽然很平整，但实际上能放下的东西并不多，整体上都不是特别满意。,[舒适],舒适性我比较满意，因为目前为止也没有听到任何噪音，车辆减震效果也不错，座椅比较舒适，整体感觉都很好。,[动力],动力表现还是比较充足的，平时全家出行，车内满员的情况下也很够用，而且加速能力强，不担心出现什么问题。,[操控],操控起来比较简单，方向盘好掌握，转弯转向都很精准，车辆底盘稳定，也不会侧倾，而且油门和刹车都比较有线性。,[性价比],性价比还挺高的，价格比较合理，而且品牌值得信赖，大家的评价也都很高。,https://newcar.xcar.com.cn/5197/review/comment-429228.html
"
    发表于  2022-03    

            
    
    
",外形特别的亮眼，特别耐看，大灯设计超有感觉，具有超现实主义，很科幻轮毂尺寸挺大的，而且设计的很高大上,https://image1.xcarimg.com/attachments/my/1/93/31/515_120.jpg,xuser1943151,支柱会员,4.88,外观,5,内饰,5,续航,4,空间,5,舒适,5,动力,5,操控,5,性价比,5,购入信息,爱车车型,https://newcar.xcar.com.cn/m61521/,2021款ID.6 CROZZ高性能PRIME版 ,购入时间,2021/9/1,购车地点, [河北省],裸车价格,33.48万  (厂商指导价 33.48万),续航里程,440km,爱车简评,,爱车简评,这辆车的各方面我都挺喜欢的，空间动力造型都很不错，我平时也要运送货物，然后要出差接送我的客户，家里的人口也挺多的，他能满足我各方面的需求,实拍图片,爱车评价,https://img1.xcarimg.com//review/20220309/8b399d83f7b0fd722159c3c64ded89a6.jpg-169x127.jpg,https://img1.xcarimg.com//review/20220309/6b86d1585427353ee03292f0d64aba4f.jpg-169x127.jpg,https://img1.xcarimg.com//review/20220309/4a9616a4290b22801432bae43b2838e8.jpg-169x127.jpg,https://img1.xcarimg.com//review/20220309/e8e1b77869543521532d2e76d544aa31.jpg-169x127.jpg,[最满意],比较让我满意的地方，车子的做工还挺好的，不粗糙，车头的空隙不大，有许多不好的路面，他都可以通过底盘挺高的，空间非常实用，搬家拉货都可以，就像一个移动的，储物空间一样，很好用,[不满意],我最不满意的就是开空调的时候，续航里程下降比较快，开不到420公里,[外观],[内饰],内饰的氛围还不错，简简单单，一目了然，大屏幕很大气，所有的功能都集中在这块屏幕上，用起来很方便,[续航],电耗我很满意，超出了我的预料，在续航里程不多的情况下，它会提示你，你可以提前充上电，避免没电的麻烦.,[充电],[空间],充一次电可以续航440公里，我很满意,空间非常大，是他最好的地方，上次帮朋友搬家，两次就搬完，我中等身材身高一米七六，头部空间有三个拳头的距离,[舒适],舒适度挺高的，电机的声音很小，车内的隔音也非常不错，基本上不会受到外界的干扰,[动力],动力很不错，在满载的情况下，动力输出也挺猛的，然后爬坡非常给力，超车也挺迅速,[操控],方向盘指向还是挺精准的，小路口也能轻松通过,[性价比],性价比蛮高的，售后服务人员的态度很好，他会及时跟我沟通用车的情况，这辆车商务家用两不误，可以满足不同的需求,https://newcar.xcar.com.cn/5197/review/comment-429227.html
"
    发表于  2022-03    

            
    
    
",相比同级别的很多纯电动车来讲，大众这款车外观看起来明显要更运动，更有气势一些，整个车身线条看上去也特别饱满 。,https://image1.xcarimg.com/attachments/my/1/93/31/514_120.jpg,xuser1943151,支柱会员,4.88,外观,5,内饰,4,续航,5,空间,5,舒适,5,动力,5,操控,5,性价比,5,购入信息,爱车车型,https://newcar.xcar.com.cn/m61521/,2021款ID.6 CROZZ高性能PRIME版 ,购入时间,2021/10/1,购车地点, [山东省],裸车价格,33.48万  (厂商指导价 33.48万),续航里程,460km,购入用途,上班,爱车简评,当时就想选择一台纯电动车，刚开始的时候还是了解我们国产车比较多一些，但最终还是决定选择了这台大众纯电动车，因为相比之下我还是非常看好大众车的品质的，虽然说价格比较高，但相对肯定要更加省心一些,实拍图片,爱车评价,https://img1.xcarimg.com//review/20220309/160bb91812080aeb4e3635747c7a2718.jpg-169x127.jpg,https://img1.xcarimg.com//review/20220309/d07e3e228587a0c5004808322020fa27.jpg-169x127.jpg,https://img1.xcarimg.com//review/20220309/001dedd03497bfd9282728b2f11ecf2b.jpg-169x127.jpg,,[最满意],作为大众旗下的一台纯电动SUV，这台车子的外观设计还是很超前的，而且这台车子的驾驶感受也很棒，续航能力也是比较强的，车内的空间也挺大，实用性也没有任何问题，驾驶感受非常棒，而且用车成本也是非常低的。,[不满意],车子内部的用料还是比较一般的，而且本身的价格也的确是比较坚挺的，定价高，而且优惠力度也比较小。,[外观],[内饰],其实整个内饰看着还是很大气的，而且车内的配色也特别时尚，只不过就是用料不太好，因此整体的质感就略微有些下降。,[续航],电池的续航能力一直还都挺不错的，基本上能达到460公里左右,,[空间],,我感觉它的横纵向空间比同级别的很多车都要更大一点，前排座椅任意调节几乎不会影响到后排的正常乘坐，而且它的后备箱也是非常大的，放两三个大点的行李箱没有任何问题。,[舒适],座椅还蛮厚实的，后排的中间座椅也没有多么硬，而且前排的腰部支撑也是非常实用的,[动力],这台纯电动车的动力输出明显要更柔和一点，即使深踩加速踏板时它也会给人一种循序渐进的加速感。,[操控],这辆车的动能回收力度也很强，中开加速踏板的一瞬间减速也不是很突兀，轻盈的转向调教让人觉得车子开起来都是轻松惬意的。,[性价比],性价比这方面是有目共睹的，综合实力比较好,https://newcar.xcar.com.cn/5197/review/comment-429225.html
