publish,标题,图片,名称,名称1,评分,评分2,评分3,评分4,评分5,评分6,评分7,评分8,评分9,评分10,评分11,评分12,评分13,评分14,评分15,评分16,评分17,标题18,信息,信息19,信息20,信息21,信息22,信息23,信息24,信息25,信息26,标题27,purpose,标题28,jia_text,信息29,dw_22,dw_23,dw_2330,dw_1,dw_2,dw_131,dw_232,dw_5,dw_533,dw_3,dw_334,dw_4,dw_435,dw_6,dw_636,dw_7,dw_737,dw_8,dw_838,openall
"
    发表于  2021-02    

      
        
    
    
",奕泽最让我满意的就是他时尚又灵动的外观，一眼望去，一下子就能辨认出我的小奕泽，而且奕泽的油耗也是让我越来越爱，真的超级省油！,https://image1.xcarimg.com/attachments/my/1/88/45/481_120.jpg,xuser1894548,三星会员,4.63,外观,5,内饰,5,续航,4,空间,5,舒适,5,动力,5,操控,4,性价比,4,购入信息,爱车车型,购入时间,2021/1/1,购车地点,宜春恒阳丰田汽车销售服务有限公司 [江西省],裸车价格,23万  (厂商指导价 23.78万),续航里程,380km,购入用途,上班,爱车简评,动力很不错，动力输出也很线性，比较平稳。动力储备能力不用担心，超车爬坡都没问题，给我完美的驾驶体验,爱车评价,[最满意],[不满意],车辆高速行驶噪音有点大，市区内会好很多！后排空间一般般，但是能接受，毕竟是个紧凑型车。,[外观],[内饰],外观设计超级吸引我，犀利的大灯，刀锋一样，像是奕泽的眼睛，特别犀利，车身线条流畅，运动感十足，流背的尾部看上去就很酷，车尾的造型也是棱角分明,内饰简约而不失科技感，大量的软包材质摸上去也很舒服，蓝色的装饰线条拉升了车内氛围，中控台的布局规规整整，简单方便，对于简洁大方的内饰风格我很满意！,[续航],我对续航还是比较满意的，平均下来电耗也来说比燃油车更省钱，稍微会有点虚标，因为开车的时候都有开空调,[空间],作为紧凑型是车，前排空间特宽敞舒服，头部脚步空间很大，没有狭小的限制感！后排空间就逊色空些，但也没有拥挤感，不建议后排坐三个,[舒适],座椅很舒服，坐上去很柔软，内饰用料也很好，肉眼可见的软材质很多，美中不足的就是隔音效果，市区里还好，高速就会有些吵。,[动力],动力很不错2.0自吸发动机输出很线性，起步没有延迟，油门刹车相应也很灵敏，动力储备充裕，超车爬坡都没问题，市区超车也是游刃有余。,[操控],奕泽的操作都很简单，一看就会，很好上手，车的方向盘的指向也很精准，手感轻盈，刹车也很柔不突兀，动力响应很及时。,[性价比],第一次见到奕泽的时候就让我念念不忘，时尚年轻的外观真的让我忘不掉，了解后是2.0的发动机以后更是觉得这台小巧的奕泽有着这么好的动力储备，绝对错不了，听说还挺省油，后来发现真的超级省油，跟家人商量了一下，觉得性价比还不错，而且我这个刚步入社会的年轻人也应该有一辆属于年轻人的车子，最后决定选择了奕泽。,展开全部
"
    发表于  2021-02    

      
        
    
    
",油耗比较低，对这款车非常大的亮点，油费花销也不会太大,https://image1.xcarimg.com/attachments/my/1/87/62/455_120.jpg,gh1610073667,三星会员,4.63,外观,5,内饰,4,续航,5,空间,5,舒适,5,动力,5,操控,4,性价比,4,购入信息,爱车车型,购入时间,2021/1/1,购车地点,绵阳高新区丰田汽车销售服务有限公司 [四川省],裸车价格,23万  (厂商指导价 23.78万),续航里程,280km,购入用途,上班,爱车简评,车子操控起来其实还行，转向和变道的时候感觉还是很精准的，车子底盘也很不错，通过性也非常的好，驾驭起来还是很灵活的。,爱车评价,[最满意],[不满意],隔音效果不是很好，平时在市区开车还好，不是很吵，但是在高速上噪声就太明显了,[外观],[内饰],外观设计十分好看，犀利的大灯，炯炯有神。溜背的尾部设计非常炫酷，车身线条流畅，跑在路上回头率绝对高,内饰简约，软包材质摸上去手感也不错。中控台的设计比较规整，也很好操控,[续航],我对续航还是比较满意的，平均下来电耗也来说比燃油车更省钱，稍微会有点虚标，因为开车的时候都有开空调,[空间],前排空间还是很充足的，宽敞舒适。后排空间就一般了，正常坐没问题，但是就不能伸晨开腿。,[舒适],座椅很舒适，可以给我身体很好的支撑，长时间驾驶也不会腰酸背痛,[动力],动力很不错，动力输出也很线性，比较平稳。动力储备能力不用担心，超车爬坡都没问题，给我完美的驾驶体验,[操控],操控很简单，一看就会。有全景影像帮助，就算不怎么会开车的都可以上手,[性价比],买车还是要看缘分的，当时第一次看到奕泽就让我恋恋不忘，而且外观设计也比较年轻，符合我这个年龄,
"
    发表于  2021-02    

      
        
    
    
",车子满意的首先是车子的外观，这辆车子的外观造型可以说是突破了传统车型的设计，有棱有角，特别年轻，符合我的审美，充满了运动感。,https://image1.xcarimg.com/attachments/my/1/88/45/470_120.jpg,xuser1894547,三星会员,4.38,外观,5,内饰,4,续航,5,空间,5,舒适,4,动力,4,操控,4,性价比,4,购入信息,爱车车型,购入时间,2021/1/1,购车地点,绵阳高新区丰田汽车销售服务有限公司 [四川省],裸车价格,23万  (厂商指导价 23.78万),续航里程,380km,购入用途,上班,爱车简评,车子并不是很大，操控起来还是很灵活的，转向的时候特别轻松，而且稳定性也不错，底盘离地面间隙较高，通过性很好。,爱车评价,[最满意],[不满意],整体表现真的很不错，也没有说特别不满意，可能就是新车的味道感觉有点大吧，其他方面还是没有问题的。,[外观],[内饰],车子外观的设计真的是非常动感，个人还是比较喜欢他的这种年轻设计的，轮毅样式也很漂亮，车灯很帅气。车尾部的设计辨识度也很高。,车子内饰的整体设计的确是非常不错，虽然说不上特别豪华特别亮眼，但是整体的内饰设计真的很漂亮，而且颜色搭配也是非常舒服的，整体做工品质也很高。,[续航],我对续航还是比较满意的，平均下来电耗也来说比燃油车更省钱，稍微会有点虚标，因为开车的时候都有开空调,[空间],车子的空间表现我觉得真的是非常满意的，车子的长宽高都非常的不错，内部空间做的也是非常给力。后排坐三个人的话都是很轻松的。,[舒适],车子座椅的舒适性真的还不错，柔软性很好，舒适度上值得夸奖，坐在上面感觉整个人还是比较放松的，然后车子的隔音做的也还不错。,[动力],车在动力方面我觉得不算是太强，但是也不算是太弱车子起步提速还可以，超个车什么的没什么问题，作为年轻一族这个动力还是能满足的。,[操控],车子操控起来其实还行，转向和变道的时候感觉还是很精准的，车子底盘也很不错，通过性也非常的好，驾驭起来还是很灵活的。,[性价比],首先选择这辆车就是比较信得过丰田的口碑，然后车子的外观的确是非常年轻，是丰田里为数不多比较年轻的车型，但是也是特别喜欢这辆车，所以直接就提车了。,展开全部
"
    发表于  2021-02    

      
        
    
    
",最满意的就是它的外观非常时尚，线条流畅，运动感强，还有油耗很低，动力充沛，日常出行无压力。,https://image1.xcarimg.com/attachments/my/1/88/45/467_120.jpg,xuser1894546,三星会员,4.38,外观,5,内饰,4,续航,4,空间,5,舒适,5,动力,4,操控,4,性价比,4,购入信息,爱车车型,购入时间,2021/1/1,购车地点,哈密市华通丰田汽车销售服务有限公司 [新疆省],裸车价格,23万  (厂商指导价 23.78万),续航里程,8km,购入用途,上班,爱车简评,车子驾驭起来还行吧，我对于操控也没有太深的理解，坐在上面还是挺不错，视野比较好，通过性也非常的棒，所以驾驭起来很灵活。,爱车评价,[最满意],[不满意],不满意的地方就是新车味道比较重，我想这也许是每个新车的通病，也可以接受的。,,[内饰],,内饰说不上科技感十足，但是该有的功能都有，中控屏看起来也增加了几分的科技感，屏幕的面积不小，按键分布清晰用起了方便。,[续航],我对续航还是比较满意的，平均下来电耗也来说比燃油车更省钱，稍微会有点虚标，因为开车的时候都有开空调,[空间],前排主驾驶位空间没的说，非常宽敬，后排坐三个人也没有事，而且后备箱设计的也非常合理。,[舒适],这款车最大的亮点就是舒适性很好，从坐起来很舒服，坐一软硬适中，包括性也好，车内的噪音控制得非常棒，正常行驶一般听不到车外的声音。,[动力],动力还是可以的，家用来说是完全充足，加油门儿特别感很强烈，高速上超车也非常轻松，完全没有吃力的感觉，一点也不会担心动力的不足。,[操控],车子并不是很大，操控起来还是很灵活的，转向的时候特别轻松，而且稳定性也不错，底盘离地面间隙较高，通过性很好。,[性价比],看了很多车友的评价，我觉得丰田奕泽，表现得很好，油耗低，颜值也是我喜欢的类型，而且动力很足，性价比很高，最终选择了它。,展开全部
"
    发表于  2021-02    

      
        
    
    
",车子要说最满意的话应该还是车子的外观颜值吧，真的是挺漂亮的，线条流畅有城市感，然后车子的动力方面感觉也还不错，空间也挺大的。,https://image1.xcarimg.com/attachments/my/1/88/20/232_120.jpg,xuser1892023,三星会员,4.38,外观,5,内饰,4,续航,4,空间,5,舒适,4,动力,4,操控,5,性价比,4,购入信息,爱车车型,购入时间,2021/1/1,购车地点,榆林高新丰田汽车销售服务有限公司 [陕西省],裸车价格,23万  (厂商指导价 23.78万),续航里程,380km,购入用途,上班,爱车简评,车子操控起来比较轻松，毕竟车身不是太大，特别是超车的时候还有停车的时候，都能随心所欲，还是很省心的。,爱车评价,[最满意],[不满意],唯一觉得不太满意的就是感觉底盘偏硬一些，颠簸感还是有一些明显。,[外观],[内饰],车子外观真的还是挺不错的，整体造型年轻线条流畅，轮毂的样式也是相当的不错。看着还是比较顺眼的，白色的车身看起来更是年轻运动一些。,说的那是相对来说还是非常不错的，我觉得是满足了我的要求，豪华度不错，而且内饰的功能也很多，按键手感做的也很好，新车的味道把控的也很到位，没有太大。,[续航],我对续航还是比较满意的，平均下来电耗也来说比燃油车更省钱，稍微会有点虚标，因为开车的时候都有开空调,[空间],车子的空间其实还是很不错的，我的身材不算太高大，坐在车子里面能明显感觉到很宽松，腿部可以升职，后排的话坐三个人也非常不错。,[舒适],舒适性的话肯定是没问题的，应该是又被车型的设计上就非常舒服，特别适合短途出行，座椅柔软度好，空调响应速度快。,[动力],车子动力我觉得还行啊，车子前面段的动力感觉还是慢一点，后半段动力就已经非常不错了，超个车什么的还是比较轻松的。,[操控],车子驾驭起来还行吧，我对于操控也没有太深的理解，坐在上面还是挺不错，视野比较好，通过性也非常的棒，所以驾驭起来很灵活。,[性价比],特色的外观真的非常个性，当时就是比较喜欢车子的外形，比较符合年轻人的审美，因为自己的年纪还不算太大吧，所以对外观方面要求高一些，然后这辆车在油耗方面控制的也很低，车身质量也是比较信得过的。,展开全部
"
    发表于  2021-02    

      
        
    
    
",让我最满意的就是外观，外观炫酷的真的是不多见，尤其是前脸的造型，有一种似曾拥有的感觉，而且出色的外观设计风格正是我想要的。,https://image1.xcarimg.com/attachments/my/1/88/45/462_120.jpg,xuser1894546,三星会员,4.5,外观,5,内饰,4,续航,5,空间,4,舒适,4,动力,5,操控,5,性价比,4,购入信息,爱车车型,购入时间,2021/1/1,购车地点,六安鑫宝丰田汽车销售服务有限公司 [安徽省],裸车价格,23万  (厂商指导价 23.78万),续航里程,350km,购入用途,上班,爱车简评,外观的设计特别的时尚大气，辨识度很高，非常的性感和夸张，线条鲜明，给人一种很潮很炫的感觉。,爱车评价,[最满意],[不满意],不满意的感觉隔音处理的不是很到位，总感觉在行驶的过程中车内的噪音大。,[外观],[内饰],车子的外观总给我一种神来之笔的感觉，真的很炫酷尤其是这个车灯的造型真的非常锐利,内饰的颜色搭配非常好看，看起来不那么单调，而且整个内饰的布局也相当给力，中控屏那一块儿我很喜欢，感觉很有科技感。,[续航],我对续航还是比较满意的，平均下来电耗也来说比燃油车更省钱，稍微会有点虚标，因为开车的时候都有开空调,[空间],这辆车空间不是特别突出。是能够满足平时的用车要求，所以说坐五个人也不会太拥，只能说够用。而且后备箱也不算不大。,[舒适],车子的舒适性确实有所欠缺，最主要是隔音没有到位，平时在高速的时候，外面的噪音会传进车内，除了隔音，其他还是比较满意的。,[动力],车子的动力表现得一般般，毕竞排量不是很大，所以跑起来的时候还是挺快的，满足我平时的用车还是没有问题的，而且加速的时候也有很强的爆发力。,[操控],车子操控起来比较轻松，毕竟车身不是太大，特别是超车的时候还有停车的时候，都能随心所欲，还是很省心的。,[性价比],我买车的时候第一眼看到这辆车就被它的外观所吸引了，整个车子造型真的非常前卫，而且它的配置也很齐全，性价比很高，价格也符合我的预算就入手了。,展开全部
"
    发表于  2021-02    

      
        
    
    
",最满意的就是这款车的外观独特。时尚大气，而且配置很高，很符合我的喜好。,https://image1.xcarimg.com/attachments/my/1/88/25/079_120.jpg,gh1612764604,三星会员,4.88,外观,4,内饰,5,续航,5,空间,5,舒适,5,动力,5,操控,5,性价比,5,购入信息,爱车车型,购入时间,2021/1/1,购车地点,赣州同驰丰田汽车销售服务有限公司 [江西省],裸车价格,23万  (厂商指导价 23.78万),续航里程,380km,购入用途,上班,爱车简评,开起来很舒服，虽然车身比较小，但是稳定性却出奇的好，行驶的过程中车子特别的安稳。而且我非常喜欢他这个方向盘的握感，有一点重特别的舒服。,爱车评价,[最满意],[不满意],最不满意的就是隔音效果不太好，护窗挺小的，没有天窗，坐在后面感觉特别的压抑。,[外观],[内饰],外观的设计特别的时尚大气，辨识度很高，非常的性感和夸张，线条鲜明，给人一种很潮很炫的感觉。,内饰的设计非常的完美简单，很实用。中控是软质的材料手感特别好，提升了整个车的质感显得很高级。,[续航],我对续航还是比较满意的，平均下来电耗也来说比燃油车更省钱，稍微会有点虚标，因为开车的时候都有开空调,[空间],这款车的驾驶空间特别的舒适，平时我都是一个人开。很少坐在后排，坐过我的车都说后排有点压抑感。,[舒适],座椅的包裹性很强。乘坐特别的舒服。平时上下班开的比较多，驾驶室里特别的舒适。一点就不觉得累。,[动力],动力这一块我觉得还挺好的，反正平时都是自己在市区开，没有任何压力。够用我就很满足了。,[操控],方向盘比较轻盈，定位特别准很稳，开起来很顺，车身也比较稳。坐在车里一点也不摇晃。,[性价比],我本人比较喜欢个性一点的车，这样开出去心情比较愉悦。回头率很高，满足了小小的虚荣心。,展开全部
"
    发表于  2021-02    

      
        
    
    
",最满意的答案是这个外观了，车身隆起的线条真是太好看了，看起来肌肉感满满，就像那小钢炮一样。而且内部的装饰也很不错，中控那一条蓝色的线条点缀了整辆车。,https://image1.xcarimg.com/attachments/my/1/88/45/453_120.jpg,xuser1894545,三星会员,4.63,外观,5,内饰,5,续航,5,空间,4,舒适,4,动力,4,操控,5,性价比,5,购入信息,爱车车型,购入时间,2021/1/1,购车地点,临汾锦华丰田汽车销售服务有限公司 [山西省],裸车价格,23万  (厂商指导价 23.78万),续航里程,380km,购入用途,上班,爱车简评,这款车的外观官颜值真的很高，整个车看起来特别时尚大气，气场十足，前脸的识别度也很高。,爱车评价,[最满意],[不满意],这辆车整体的配置不太好，而且隔音这一块也是有待改进的感觉，行驶过程中车内的噪音太大,[外观],[内饰],我非常喜欢这辆车隆起的线条，真的就像鸡肉一样充满力量感，而且车身的造型也很不错，不会那么的臃肿，反而有一种流畅的美感。,内饰虽然单调，但是中控那一条蓝色的装饰真的是点亮了整个世界。让整个内饰变得不会那么的沉闷。,[续航],我对续航还是比较满意的，平均下来电耗也来说比燃油车更省钱，稍微会有点虚标，因为开车的时候都有开空调,[空间],空间方面的表现还不错，虽然后备箱的容积不行，但是乘坐的区域确实有保证，坐4个成年人进去没有任何问题。,[舒适],舒适性方面不太行，这辆车的隔音真的没有到位，行驶的过程中车内的噪音还是非常大的。减震也偏硬，过个减速带的话，后排也是比较颠。,[动力],一开始我还以为这辆车的动力会不强，但实际上2.0L的发动机在配上这个171匹的最大马力真的是非常有爆发力。现在我相信了，这就是一辆小钢炮。,[操控],开起来很舒服，虽然车身比较小，但是稳定性却出奇的好，行驶的过程中车子特别的安稳。而且我非常喜欢他这个方向盘的握感，有一点重特别的舒服。,[性价比],丰田起亚的车子虽然大部分的外观设计都不好看，但还是有个别非常不错的，比如说这一款丰田奕泽，我觉得它的外观很酷炫，隆起的线条就像鸡肉一样充满了力量感，而且它的价格还不高，整体的配置不错，作为一辆代步车是很实用的，所以我就入手了它。,展开全部
"
    发表于  2021-02    

      
        
    
    
",最满意的就这辆车的性价比和颜值了，这款车的性价比很高，价格也合适，配置完全够用，而且颜值也好高，看起来特别时尚一点就不会觉得没面子。,https://image1.xcarimg.com/attachments/my/1/88/45/448_120.jpg,xuser1894544,三星会员,4.38,外观,5,内饰,4,续航,4,空间,5,舒适,5,动力,4,操控,4,性价比,4,购入信息,爱车车型,购入时间,2021/1/1,购车地点, [四川省],裸车价格,23万  (厂商指导价 23.78万),续航里程,380km,购入用途,上班,爱车简评,车子比较小，所以开起来比较灵活，转弯的时候也没有太大转弯半径，我觉得挺好开的，车子停下来也很稳,爱车评价,[最满意],[不满意],最不满意的感觉，减震有点偏硬，特别是通过凸路面的时候可明显了。,[外观],[内饰],这款车的外观官颜值真的很高，整个车看起来特别时尚大气，气场十足，前脸的识别度也很高。,内饰看起来挺有质感，手感特别好，而且做工相当精细，该有的功能都有，中控屏布局的也合理。,[续航],我对续航还是比较满意的，平均下来电耗也来说比燃油车更省钱，稍微会有点虚标，因为开车的时候都有开空调,[空间],整车的乘坐空间是很不错的，家用是没有问题的，前排座椅调整好之后，后排可以轻松乘坐三个成年人，而且后备箱的容积也很充足。,[舒适],整体的舒适性很不错，座椅软硬适中，包括性强，比较贴合人的身体，长时间驾驶也不会觉得疲惫。空调制冷效果好，隔音也是不错，就是减震有点儿硬。,[动力],动力真的很充足，作为日常代步车完全够用，起步的时候就能感觉到强劲的动力，整体也比较平顺，高速提速一点也不含糊。,[操控],整体的操控非常好，驾驶起来有一种非常顺手的感觉，指向也很精准，完全可以做到质量打哪儿，油门刹车响应也比较快。看起来安全感十足。,[性价比],就是因为这款车性价比高，价格合适，作为日常代步车是完全没有问题的，油耗也低，特别经济实惠，所以选择了这款丰田奕泽,展开全部
"
    发表于  2021-02    

      
        
    
    
",我对于它的颜值还是非常满意的，有一种改装的感觉，看起来也挺协调的，而且蓝色的看上上去也蛮优雅的，整个感觉挺时尚,https://image1.xcarimg.com/attachments/my/1/88/01/383_120.jpg,gh1611626938,三星会员,4.38,外观,5,内饰,4,续航,4,空间,5,舒适,5,动力,4,操控,4,性价比,4,购入信息,爱车车型,购入时间,2021/1/1,购车地点, [四川省],裸车价格,23万  (厂商指导价 23.78万),续航里程,380km,购入用途,上班,爱车简评,最满意的地方是这款车的颜值很高，虽然市面上有不少的纯电动车，但是都没有这款车的外观好看，它有一种类似于改装的风格，但又很协调。,爱车评价,[最满意],[不满意],后排空间，我觉得还是稍微小了一点，所以整体这个空间感自由度80%吧，相对来说，前排还行，视野也比较宽阔,[外观],[内饰],造型看上去还是挺时尚的，而且我觉得开着他也非常的拉风,车里的感觉还是挺上档次的，但是皮革材料用的比较多，然后新车刚到手上，车里面的皮革臭味挺难闻的,[续航],我对续航还是比较满意的，平均下来电耗也来说比燃油车更省钱，稍微会有点虚标，因为开车的时候都有开空调,[空间],后排的座位的空间，我是觉得有一点局促了，腿部空间稍微有点挤,[舒适],皮革的味道挺难闻的，一直坐在车里面，闻着特别的头晕,[动力],起步非常快，而且超车也比较不吃力，我觉得动力还是纯电车的一个优势,[操控],车子比较小，所以开起来比较灵活，转弯的时候也没有太大转弯半径，我觉得挺好开的，车子停下来也很稳,[性价比],因为我自己对品牌丰田一种情怀所在吧，当时准备买电动车，也不知道买什么车子好，基本预算20万上下丰田奕泽ev油改电动车，看了一下觉得挺不错的，最后就选了,展开全部
