publish,标题,名称,名称1,名称2,评分,评分3,评分4,评分5,评分6,评分7,评分8,评分9,评分10,评分11,评分12,评分13,评分14,评分15,评分16,评分17,评分18,标题19,信息,信息_链接,信息20,信息21,信息22,信息23,信息24,信息25,信息26,信息27,标题28,purpose,purpose29,标题30,jia_text,信息31,标题32,图片,图片33,图片34,图片35,图片36,dw_22,dw_2237,dw_23,dw_2338,dw_1,dw_139,dw_2,dw_240,dw_3,dw_5,dw_341,dw_542,dw_4,dw_443,dw_6,dw_644,dw_7,dw_745,dw_8,dw_846,openall
"
    发表于  2022-09    

      
        
    
    
", [甘肃省],https://image1.xcarimg.com/attachments/my/1/94/02/055_120.jpg,xuser1950205,三星会员,4.88,外观,5,内饰,5,续航,4,空间,5,舒适,5,动力,5,操控,5,性价比,5,购入信息,爱车车型,https://newcar.xcar.com.cn/m60067/,2022款奥迪Q2L e-tron纯电智享型,购入时间,2022/3/1,购车地点,裸车价格,18万  (厂商指导价 24.38万),续航里程,200km,爱车简评,,,爱车简评,奥迪的品牌，科技感，配置，且电动车对于汽油车有太多的优势，加速响应快，无需加油，没有发动机噪音，不用担心发动机变速箱以后会产生各种小毛病等，且夏天开空调怠速基本不掉电，不像汽油车怠速费油有积碳等。,爱车评价,,,,,,,[最满意],首先就是动力啦，电动车的加速响应和快感，是一般汽油车完全无法比的，其次就是奥迪的品牌，科技感结合价格，在20万以内包括汽油车，也是无敌的，我的车由于是官方落地新的试驾车，顶配的基础上还选装了11个配置，包括电尾，BO音响，翻毛皮电动座椅等，标价27万左右，我买入价16万出个头，所以结合这个价格，自然性价比无敌，试想，16万的裸车能买到什么？,[不满意],天窗支架有异响，查了一下论坛，A3和Q2以及其他Q系列都有类似的通病。然后外后视镜折叠速度左右不一样快，而且一边有时候折不了，奥迪大众一家亲，也不奇怪，好在没有发动机变速箱，不用担心动力系统各种小毛病。 【空间】 前排空间可以，后排空间也够用，毕竟小型SUV，空间不能要求太多，平时就老婆和我开开，基本不坐人，最多同事家人临时搭个车，真要跑外面，家里有大车。 车内储物能力：后排座椅完全放倒，纯平后备箱，空间挺大，很实用，且低音炮周围可以放很多零碎杂物。,[外观],外观不错，个人觉得比Q3好看，老款Q3太圆润，新款Q3各种设计线条装饰太复杂，过犹不及，Q2还是比较干练的，外观方面，配的米其林浩悦4系列，且LED大灯照明效果很多，好过很多几十万的车，且转向灯也是流水，一个不落，完全符合奥迪的水准。 车灯设计：很好，远近光灯给优秀，近光铺路广，清晰，远光聚光性也不错，且全气候灯取代雾灯，横向照明也很强大，基本上无死角。,[内饰],做工不错，全液晶仪表盘，独立双区恒温空调，BO音响，翻毛皮电动座椅一应俱全。 ☆ 氛围灯：10色氛围灯很好看。而且不花哨，很配这个科技感很好的内饰。,,[续航],,基本上正常开，续航里程都是超过官方标称265公里的，高速和市区结合开过90公里，实际续航里程只少了70左右，总体而言，这个电池容量有这个续航很好了。 充电：快充基本上1小时从50公里充到260多公里，家用充电桩5个小时左右充满。 开空调电耗：夏天开空调基本上会占用续航里程的10%左右。,[舒适],总体而言还不错，就是有些路上底盘噪音比较明显，120码高速风噪有点明显，但在可接受范围内，毕竟小型SUV。,[动力],加速响应很快，比我之前开的2.4排量的汽油车好不知道多少了。,[操控],别说，这个纯电Q2L的指向性和操控性还真挺好，这点挺意外，方向盘虽然轻，但不假，比以前的奥迪要好。,[性价比],性价比无敌，新车优惠后也需要24万左右落地的车，17万多就可以落地，且满足我的一切用车需求。,展开全部
"
    发表于  2022-09    

      
        
    
    
", [河南省],https://image1.xcarimg.com/attachments/my/1/94/02/051_120.jpg,xuser1950205,三星会员,4.88,外观,5,内饰,4,续航,5,空间,5,舒适,5,动力,5,操控,5,性价比,5,购入信息,爱车车型,https://newcar.xcar.com.cn/m60067/,2022款奥迪Q2L e-tron纯电智享型,购入时间,2022/3/1,购车地点,裸车价格,18万  (厂商指导价 24.38万),续航里程,200km,爱车简评,,,爱车简评,驾驶感觉很好，很奥迪，避震虽然舒适但相对高端车型还是不够好，有点硬。,爱车评价,,,,,,,[最满意],我不喜欢天窗，下午4点到4s店第一次试驾和看车，5点交钱等上牌。驾驶感觉很好，很奥迪，避震虽然舒适但相对高端车型还是不够好，有点硬。提车刚好2个星期，全市区行驶了1000公里，因为还没装充电桩，都是在商场免费快充，每次充约半小时走人，相对油车省了起码600元油费，一年省个一万没问题。另外我说说高配和低配的差别，就是低配没有大灯高低调节，其它的和网上配置一样。还有我开了10天才发现原来气氛灯颜色可以改……一共有10种颜色选择……,[不满意],就是避震不是很舒服，其它配置本来就知道的，肯定是接受了才买。另外奥迪400确认这款车车机是登陆不了，就是说手机连接不到的，大家不用试了，看图片。另外车的wlan究竟有什么用呢？我知道怎么连接，但连接了以后手机也上不了网啊，那汽车这个热点用处是什么？,[外观],不过不失吧，买车之前压根没留意过这车，可以说第一眼看到就买了,[内饰],旧的奥迪内饰，好在价格便宜，但总体比旧款A4和A6的内饰显得年轻许多，当然新款内饰无敌，例如A3L,[空间],,前排谁来坐都没压力，后排谁来坐都有压力。后备箱的确有点小，我的东西都要分开装在两台车上…… 自动空调和预约充电：自动空调测试过可以，但一定要注意，有无这个车没有远程控制，就是说不能启动，那么自动空调到时间开启了，其实车没有启动，所以说明书上写的很清楚，这个功能用的是车头那个蓄电池的，问题就是这个蓄电池能支持空调多久？？？估计开个1小时都没电了吧……另外我试过几次，这样的空调没有通电后的制冷效果好。充电桩今天来安装，以后看看,,[舒适],空间和避震决定了舒适性一般，但如果一般城市道路坐两三个人还是可以接受的程度，暂时没开过高速不知道,[动力],低速没话说，超快，暂时都在市区，没上过100,[操控],经常开的车有X5，S，Rav4，大众，这两个星期都开Q2E，感觉操控就很德系，没什么特别好或坏,[性价比],我觉得这个价格性价比很高，我个人完全没有续航担忧，一来车库自己车位就可以充电，二来商场基本都有快充。如果270你说是电动爹，那么月销量3万台的五菱mini170怎么办？ 4S店售后服务：还好，一般这个水平的品牌都不错 购车：车价是低，但保险和装饰又贵点，送的龙膜和360，其它都没叫4s送了，赶时间 街上也不上：今天早上上的绿牌，这几天在街上还是看到有几部的，而且今天刚上好牌去吃饭，后面停了一辆红色的,展开全部
"
    发表于  2020-05    

      
        
    
    
",上海开隆汽车贸易有限公司 [上海市],https://image1.xcarimg.com/attachments/my/1/84/40/515_120.jpg,xuser1854051,三星会员,4.88,外观,5,内饰,5,续航,5,空间,5,舒适,5,动力,4,操控,5,性价比,5,购入信息,爱车车型,https://newcar.xcar.com.cn/m46799/,2019款奥迪Q2L e-tron纯电智享型,购入时间,2020/1/1,购车地点,裸车价格,19.3万  (厂商指导价 23.73万),续航里程,400km,购入用途,上班,接送小孩,爱车简评,内饰的做工还是很精致的，科技感的营造上面奥迪是老手了，唯一让我不是很满意的就是原厂的座椅材质居然是布的，看着很不显档次。,爱车评价,实拍图片,https://img1.xcarimg.com/review/20200512/ffeb8e96f61582a9aa72e97578de9c82.jpg-169x127.jpg,https://img1.xcarimg.com/review/20200512/8b882622fe3a809bee1b42594b42f099.jpg-169x127.jpg,https://img1.xcarimg.com/review/20200512/820f0335a9f609a7a9e857ffd020bb14.jpg-169x127.jpg,https://img1.xcarimg.com/review/20200512/f296d0a7dd75b43753975815ccc0c7fe.jpg-169x127.jpg,https://img1.xcarimg.com/review/20200512/2a2821337b1b243a74793d2301a5093e.jpg-169x127.jpg,[最满意],满意的地方当然是充满动感的外观设计了，尤其是亮黑的轮毂、后视镜和进气中网搭配起来看着特别的酷，后排还采用隐私玻璃，贴膜都省钱了，尾部单边双出的排气看着很运动，就是尾灯的造型感觉还是有大众POLO的影子。,[不满意],不满意的地方主要体现在两个方面，一个就是内饰座椅材质居然是布的，看着太不显档次感了，再有就是双离合的变速箱在市区内堵车的情况下缓行有些许的不平顺。,[外观],外观是我最满意的地方了，我觉得这辆车就是为年轻人设计打造的。,[内饰],内饰的做工还是很精致的，科技感的营造上面奥迪是老手了，唯一让我不是很满意的就是原厂的座椅材质居然是布的，看着很不显档次。,[空间],,空间]空间]因为平时就是我自己上下班用车，空间方面完全够用，偶尔坐上几个亲友和同事大家也都觉得还可以，后备箱的空间很规整，装载能力也很不错。,,[舒适],舒适性方面Q2L做的也很不错，底盘对于路面的震动和颠簸过滤的比较到位，整体的隔音做的也很好，座椅的舒适性也符合我的身形。,[动力],日常市区内驾驶完全够用了。,[操控],操控方面让我觉得不是很满意的地方就是在堵车缓慢行驶的时候变速箱油顿挫感，不是很平顺，如果车速上来之后就消失了，这点不是很满意。,[性价比],性价比这个问题就是一人一个想法，我觉得在目前优惠力度比较大的情况下，能买到一个豪华品牌的SUV车型，外观靓丽，我觉得很值。,展开全部
"
    发表于  2020-05    

      
        
    
    
",厦门大邦通商汽车贸易有限公司 [福建省],https://image1.xcarimg.com/attachments/my/1/84/40/512_120.jpg,xuser1854051,三星会员,4.25,外观,4,内饰,4,续航,4,空间,4,舒适,5,动力,4,操控,4,性价比,5,购入信息,爱车车型,https://newcar.xcar.com.cn/m46799/,2019款奥迪Q2L e-tron纯电智享型,购入时间,2020/2/1,购车地点,裸车价格,18.5万  (厂商指导价 23.73万),续航里程,310km,购入用途,上班,接送小孩,爱车简评,外观设计很符合我的审美，大嘴格栅气势十足，C柱的撞色饰板很酷，我很喜欢。,爱车评价,实拍图片,https://img1.xcarimg.com/review/20200512/ddc9a8b13ef8ba72d1fc4c34b23fedfb.jpg-169x127.jpg,https://img1.xcarimg.com/review/20200512/03e8ff0929e8001e87636447be4b4155.jpg-169x127.jpg,https://img1.xcarimg.com/review/20200512/0f8f7d892b77c6c858f55d64f9dcaa90.jpg-169x127.jpg,https://img1.xcarimg.com/review/20200512/9c4549664ee7517b66d9835baedb2083.jpg-169x127.jpg,https://img1.xcarimg.com/review/20200512/afd67ae5dbae5d326c525e2130d64863.jpg-169x127.jpg,[最满意],满意的地方当然是充满动感的外观设计了，尤其是亮黑的轮毂、后视镜和进气中网搭配起来看着特别的酷，后排还采用隐私玻璃，贴膜都省钱了，尾部单边双出的排气看着很运动，就是尾灯的造型感觉还是有大众POLO的影子。,[不满意],不满意的地方主要体现在两个方面，一个就是内饰座椅材质居然是布的，看着太不显档次感了，再有就是双离合的变速箱在市区内堵车的情况下缓行有些许的不平顺。,[外观],外观是我最满意的地方了，我觉得这辆车就是为年轻人设计打造的。,[内饰],内饰的做工还是很精致的，科技感的营造上面奥迪是老手了，唯一让我不是很满意的就是原厂的座椅材质居然是布的，看着很不显档次。,[空间],,空间]因为平时就是我自己上下班用车，空间方面完全够用，偶尔坐上几个亲友和同事大家也都觉得还可以，后备箱的空间很规整，装载能力也很不错。,,[舒适],舒适性方面Q2L做的也很不错，底盘对于路面的震动和颠簸过滤的比较到位，整体的隔音做的也很好，座椅的舒适性也符合我的身形。,[动力],日常市区内驾驶完全够用了。,[操控],操控方面让我觉得不是很满意的地方就是在堵车缓慢行驶的时候变速箱油顿挫感，不是很平顺，如果车速上来之后就消失了，这点不是很满意。,[性价比],性价比这个问题就是一人一个想法，我觉得在目前优惠力度比较大的情况下，能买到一个豪华品牌的SUV车型，外观靓丽，我觉得很值。,展开全部
"
    发表于  2020-05    

      
        
    
    
",上海一汽沪奥汽车销售有限公司 [上海市],https://image1.xcarimg.com/attachments/my/1/84/40/508_120.jpg,xuser1854050,三星会员,4.13,外观,4,内饰,4,续航,4,空间,4,舒适,4,动力,4,操控,4,性价比,5,购入信息,爱车车型,https://newcar.xcar.com.cn/m46799/,2019款奥迪Q2L e-tron纯电智享型,购入时间,2019/1/1,购车地点,裸车价格,19万  (厂商指导价 23.73万),续航里程,320km,购入用途,接送小孩,,爱车简评,车厢内豪华科技感十足，虽然我年纪有点大了，但是还是很喜欢这些新潮的玩意。我买了高配的Q2，就差选装一个氛围灯了，但是车厢内的科技一点都不输其他的同级别车型。,爱车评价,实拍图片,https://img1.xcarimg.com/review/20200512/f5efd8f95c9626fc149a521e89a11108.jpg-169x127.jpg,https://img1.xcarimg.com/review/20200512/5a13bf531c3eb0d342eebe7498be2817.jpg-169x127.jpg,https://img1.xcarimg.com/review/20200512/79e3e4d3e72950653795f14321f431fb.jpg-169x127.jpg,https://img1.xcarimg.com/review/20200512/fd0b2cfbf6f57218062b1d0742f9e6cb.jpg-169x127.jpg,https://img1.xcarimg.com/review/20200512/d4115d0029ef0c7b8cbdc3bf651523d6.jpg-169x127.jpg,[最满意],车厢内豪华科技感十足，虽然我年纪有点大了，但是还是很喜欢这些新潮的玩意。我买了高配的Q2，就差选装一个氛围灯了，但是车厢内的科技一点都不输其他的同级别车型。,[不满意],后备箱的大小一般，感觉有点不够用。好在家里还有其他车子，也挺好的。还有后排视野一般，不是非常通透，空间也只是刚刚够用。,[外观],年轻时尚，小小酷酷的样子非常好看，有点潮流感。车后侧还有熏黑处理，很新颖，很吸引眼球。老婆还特别买一些贴纸拉花，装饰在车上更加的漂亮可爱了。,[内饰],液晶的仪表很细腻，非常有档次非常好看，中控的屏幕也很大，还有倒车影像，日常挪车移库非常好使。麻雀虽小，五脏俱全，说的就是这种感觉，精致但不会太张扬。,[空间],[续航],前排的程度感受很好，空间也比较宽敞，有挺多的空间，日常上车就喜欢把手机掏出来，放到中空台上。就是后备箱的空间有点紧凑，放不了太多东西，日常载个货就比较困难。,车子轻没有任何问题，非常满意经济实惠。续航够用,[舒适],老婆感觉开起来感觉很可以，车子很轻。悬挂挺舒服的，座椅很好坐的，也不会腰酸背痛。不用特别留意减速带，碾过去也很稳重，车厢氛围感觉好舒服。,[动力],车子虽然小，但是发动机动力挺好的，反应很轻快，加速超车很好，很方便。跑高速，虽然后劲不大，但是挺稳定的，不会发飘。,[操控],转向手感很轻，转动起来不费力气。我觉得一台好车就是应该有这个样子，但是反应不是非常快，感觉有发虚。奥迪的车子好像通常就是这样子的。能接受，这也不是什么困扰的问题。,[性价比],这几年经济发展，车子也越来越便宜了。科技感也非常强，考虑到这两年手头比较宽裕，也想换一台车，一开始就像定位台德国的SUV低调一点。原先考虑大众车，但是确实是审美疲劳了，途观途岳，一点新意也没有，内饰也十分的老土。和老婆商量就去看看奥迪，那会儿到4S店看到了Q2L呀，感觉就很合心意，价格还便宜呢。当场就决定买了。,展开全部
"
    发表于  2020-05    

      
        
    
    
",内蒙古世嘉汽车销售服务有限公司 [内蒙古],https://image1.xcarimg.com/attachments/my/1/84/38/579_120.jpg,xuser1853857,三星会员,4.38,外观,4,内饰,5,续航,5,空间,4,舒适,4,动力,4,操控,4,性价比,5,购入信息,爱车车型,https://newcar.xcar.com.cn/m46799/,2019款奥迪Q2L e-tron纯电智享型,购入时间,2020/1/1,购车地点,裸车价格,20万  (厂商指导价 23.73万),续航里程,300km,购入用途,上班,接送小孩,爱车简评,外观设计依然是家族式设计，像个小精灵。巨大的中网以及四个圆圈衬托出了奥迪应有的气势。棱角分明很凶很酷很喜欢。,爱车评价,实拍图片,https://img1.xcarimg.com/review/20200510/52457614ce33ad4ad53ce708c8a1615d.jpg-169x127.jpg,https://img1.xcarimg.com/review/20200510/52b851d68fee5dbc728ccb6cd4e34cdb.jpg-169x127.jpg,https://img1.xcarimg.com/review/20200510/5121fc4d32061d880d5453e9e9302cad.jpg-169x127.jpg,https://img1.xcarimg.com/review/20200510/1a87ea69a24b2d0f7657df6a0d9633a5.jpg-169x127.jpg,https://img1.xcarimg.com/review/20200510/163fe64f59d0d5ae163ecd83af55e86f.jpg-169x127.jpg,[最满意],动力强，别看排量不大，但是动力很强，很有爆发力。虽然不能说在路上可以飙车，但是想跟人拼一下加速，没问题啊。,[不满意],空间，后排空间很小，如果是四个成年人乘坐这台车，长途行驶真的不是很舒服，这台车设计的时候没怎么考虑过后排乘客。,[外观],外观设计依然是家族式设计，像个小精灵。巨大的中网以及四个圆圈衬托出了奥迪应有的气势。棱角分明很凶很酷很喜欢。,[内饰],内饰的做工上我感觉德国人做的挺好，很年轻，不是奥迪以前那种古板的样子，富有活力以及运动感。,[空间],[续航],空间来说不大，主要是后排空间不大，可能是本身尺寸就小，属于紧凑级的SUV，所以前排空间够用的情况下，后排肯定是会受到影响。,续航不行，也就300多公里吧,[舒适],舒适性还可以，噪音控制的好，只要不是很极限的高转速，发动机声音小。底盘过滤震动处理的也很高级。,[动力],动力上不错，加速很好，只要你肯踩，大多是时候都会很快响应，连续降档，给你最大的动力，一瞬间推背感很强。而且双离合换挡够快够顺。,[操控],操控性特别好，德系车，德国味道，NVH控制的好，转向精准，方向灵活又没有虚位。变道超车，还是高速过弯，支撑性也很好。,[性价比],性价比上这台车在豪华品牌里是挺高的，作为入门级的奥迪，该有的配置都有，而且做工上也体现了豪华品牌的水准。,展开全部
"
    发表于  2020-05    

      
        
    
    
",长春通立汽车服务有限责任公司 [吉林省],https://image1.xcarimg.com/attachments/my/1/84/38/577_120.jpg,xuser1853857,三星会员,4.5,外观,4,内饰,4,续航,5,空间,5,舒适,5,动力,4,操控,4,性价比,5,购入信息,爱车车型,https://newcar.xcar.com.cn/m46799/,2019款奥迪Q2L e-tron纯电智享型,购入时间,2019/1/1,购车地点,裸车价格,23.2万  (厂商指导价 23.73万),续航里程,400km,购入用途,上班,购物,爱车简评,车厢内豪华科技感十足，虽然我年纪有点大了，但是还是很喜欢这些新潮的玩意。我买了高配的Q2，就差选装一个氛围灯了，但是车厢内的科技一点都不输其他的同级别车型。,爱车评价,实拍图片,https://img1.xcarimg.com/review/20200510/b500183d0d33260ac81554a1691dbe8a.jpg-169x127.jpg,https://img1.xcarimg.com/review/20200510/d490bab9236f12047df6473a7df9d7bd.jpg-169x127.jpg,https://img1.xcarimg.com/review/20200510/63f629b7db7633861ad24e898e438d10.jpg-169x127.jpg,https://img1.xcarimg.com/review/20200510/0cd0f1db61ab30df589fe8be5fd36ffc.jpg-169x127.jpg,https://img1.xcarimg.com/review/20200510/72add0c3a8abdea49b93102405fc9f2e.jpg-169x127.jpg,[最满意],车厢内豪华科技感十足，虽然我年纪有点大了，但是还是很喜欢这些新潮的玩意。我买了高配的Q2，就差选装一个氛围灯了，但是车厢内的科技一点都不输其他的同级别车型。,[不满意],后备箱的大小一般，感觉有点不够用。好在家里还有其他车子，也挺好的。还有后排视野一般，不是非常通透，空间也只是刚刚够用。,[外观],年轻时尚，小小酷酷的样子非常好看，有点潮流感。车后侧还有熏黑处理，很新颖，很吸引眼球。老婆还特别买一些贴纸拉花，装饰在车上更加的漂亮可爱了。,[内饰],液晶的仪表很细腻，非常有档次非常好看，中控的屏幕也很大，还有倒车影像，日常挪车移库非常好使。麻雀虽小，五脏俱全，说的就是这种感觉，精致但不会太张扬。,[空间],[续航],前排的程度感受很好，空间也比较宽敞，有挺多的空间，日常上车就喜欢把手机掏出来，放到中空台上。就是后备箱的空间有点紧凑，放不了太多东西，日常载个货就比较困难。,车子轻没有任何问题，非常满意经济实惠。续航够用,[舒适],老婆感觉开起来感觉很可以，车子很轻。悬挂挺舒服的，座椅很好坐的，也不会腰酸背痛。不用特别留意减速带，碾过去也很稳重，车厢氛围感觉好舒服。,[动力],车子虽然小，但是发动机动力挺好的，反应很轻快，加速超车很好，很方便。跑高速，虽然后劲不大，但是挺稳定的，不会发飘。,[操控],转向手感很轻，转动起来不费力气。我觉得一台好车就是应该有这个样子，但是反应不是非常快，感觉有发虚。奥迪的车子好像通常就是这样子的。能接受，这也不是什么困扰的问题。,[性价比],这几年经济发展，车子也越来越便宜了。科技感也非常强，考虑到这两年手头比较宽裕，也想换一台车，一开始就像定位台德国的SUV低调一点。原先考虑大众车，但是确实是审美疲劳了，途观途岳，一点新意也没有，内饰也十分的老土。和老婆商量就去看看奥迪，那会儿到4S店看到了Q2L呀，感觉就很合心意，价格还便宜呢。当场就决定买了。,展开全部
"
    发表于  2020-04    

      
        
    
    
",天津市永濠奥达汽车销售服务有限公司 [天津市],https://image1.xcarimg.com/attachments/my/1/84/05/970_120.jpg,xuser1850597,三星会员,4.5,外观,5,内饰,5,续航,4,空间,4,舒适,5,动力,4,操控,4,性价比,5,购入信息,爱车车型,https://newcar.xcar.com.cn/m46799/,2019款奥迪Q2L e-tron纯电智享型,购入时间,2020/1/1,购车地点,裸车价格,21万  (厂商指导价 23.73万),续航里程,320km,购入用途,上班,接送小孩,爱车简评,车厢内豪华科技感十足，虽然我年纪有点大了，但是还是很喜欢这些新潮的玩意。我买了高配的Q2，就差选装一个氛围灯了，但是车厢内的科技一点都不输其他的同级别车型。,爱车评价,实拍图片,https://img1.xcarimg.com/review/20200426/129474e022f32cc1c5a8356bfe6b887a.jpg-169x127.jpg,https://img1.xcarimg.com/review/20200426/b4e6ae303a46f1fa554cee835c8f5068.jpg-169x127.jpg,https://img1.xcarimg.com/review/20200426/b029f5e98beac4cb76e54217810288e0.jpg-169x127.jpg,https://img1.xcarimg.com/review/20200426/c32df1a9c82e4a34fcc827fbf1cdb873.jpg-169x127.jpg,https://img1.xcarimg.com/review/20200426/04cbb089ada9fd99673e387991a9849c.jpg-169x127.jpg,[最满意],最满意]满意的地方当然是充满动感的外观设计了，尤其是亮黑的轮毂、后视镜和进气中网搭配起来看着特别的酷，后排还采用隐私玻璃，贴膜都省钱了，尾部单边双出的排气看着很运动，就是尾灯的造型感觉还是有大众POLO的影子。,[不满意],不满意的地方主要体现在两个方面，一个就是内饰座椅材质居然是布的，看着太不显档次感了，再有就是双离合的变速箱在市区内堵车的情况下缓行有些许的不平顺。,[外观],外观是我最满意的地方了，我觉得这辆车就是为年轻人设计打造的。,[内饰],内饰的做工还是很精致的，科技感的营造上面奥迪是老手了，唯一让我不是很满意的就是原厂的座椅材质居然是布的，看着很不显档次,[空间],,空间]空间]因为平时就是我自己上下班用车，空间方面完全够用，偶尔坐上几个亲友和同事大家也都觉得还可以，后备箱的空间很规整，装载能力也很不错。,,[舒适],舒适性方面Q2L做的也很不错，底盘对于路面的震动和颠簸过滤的比较到位，整体的隔音做的也很好，座椅的舒适性也符合我的身形。,[动力],日常市区内驾驶完全够用了。,[操控],操控方面让我觉得不是很满意的地方就是在堵车缓慢行驶的时候变速箱油顿挫感，不是很平顺，如果车速上来之后就消失了，这点不是很满意。,[性价比],性价比这个问题就是一人一个想法，我觉得在目前优惠力度比较大的情况下，能买到一个豪华品牌的SUV车型，外观靓丽，我觉得很值。,展开全部
"
    发表于  2020-04    

      
        
    
    
",天津市中乒北奥汽车销售服务有限公司 [天津市],https://image1.xcarimg.com/attachments/my/1/84/05/916_120.jpg,xuser1850591,三星会员,4.25,外观,5,内饰,4,续航,4,空间,4,舒适,5,动力,4,操控,4,性价比,4,购入信息,爱车车型,https://newcar.xcar.com.cn/m46799/,2019款奥迪Q2L e-tron纯电智享型,购入时间,2020/1/1,购车地点,裸车价格,19万  (厂商指导价 23.73万),续航里程,300km,购入用途,上班,接送小孩,爱车简评,外观设计依然是家族式设计，像个小精灵。巨大的中网以及四个圆圈衬托出了奥迪应有的气势。棱角分明很凶很酷很喜欢。,爱车评价,实拍图片,https://img1.xcarimg.com/review/20200426/4ee9377d65586413a01edbf0e7ba0f69.jpg-169x127.jpg,https://img1.xcarimg.com/review/20200426/f833dcab65c7cace3fa776db6fc4c44b.jpg-169x127.jpg,https://img1.xcarimg.com/review/20200426/fb71eaf3b6ce08217c8366e8606b7258.jpg-169x127.jpg,https://img1.xcarimg.com/review/20200426/e88e38d05470c3394eb1e627594aabb2.jpg-169x127.jpg,https://img1.xcarimg.com/review/20200426/de36cdd2e98403171e30a310ace70e32.jpg-169x127.jpg,[最满意],最满意]动力强，别看排量不大，但是动力很强，很有爆发力。虽然不能说在路上可以飙车，但是想跟人拼一下加速，没问题啊。,[不满意],空间，后排空间很小，如果是四个成年人乘坐这台车，长途行驶真的不是很舒服，这台车设计的时候没怎么考虑过后排乘客。,[外观],外观设计依然是家族式设计，像个小精灵。巨大的中网以及四个圆圈衬托出了奥迪应有的气势。棱角分明很凶很酷很喜欢。,[内饰],内饰的做工上我感觉德国人做的挺好，很年轻，不是奥迪以前那种古板的样子，富有活力以及运动感。,[空间],[续航],空间来说不大，主要是后排空间不大，可能是本身尺寸就小，属于紧凑级的SUV，所以前排空间够用的情况下，后排肯定是会受到影响。,续航不行，也就300多公里吧,[舒适],舒适性还可以，噪音控制的好，只要不是很极限的高转速，发动机声音小。底盘过滤震动处理的也很高级。,[动力],动力上不错，加速很好，只要你肯踩，大多是时候都会很快响应，连续降档，给你最大的动力，一瞬间推背感很强。而且双离合换挡够快够顺。,[操控],操控性特别好，德系车，德国味道，NVH控制的好，转向精准，方向灵活又没有虚位。变道超车，还是高速过弯，支撑性也很好。,[性价比],性价比上这台车在豪华品牌里是挺高的，作为入门级的奥迪，该有的配置都有，而且做工上也体现了豪华品牌的水准。,展开全部
"
    发表于  2020-04    

      
        
    
    
",天津港保税区捷丰国际贸易有限公司 [天津市],https://image1.xcarimg.com/attachments/my/1/84/05/873_120.jpg,xuser1850587,三星会员,4.25,外观,4,内饰,4,续航,5,空间,4,舒适,4,动力,4,操控,4,性价比,5,购入信息,爱车车型,https://newcar.xcar.com.cn/m46799/,2019款奥迪Q2L e-tron纯电智享型,购入时间,2020/1/1,购车地点,裸车价格,18.4万  (厂商指导价 23.73万),续航里程,350km,购入用途,上班,接送小孩,爱车简评,车厢内豪华科技感十足，虽然我年纪有点大了，但是还是很喜欢这些新潮的玩意。我买了高配的Q2，就差选装一个氛围灯了，但是车厢内的科技一点都不输其他的同级别车型。,爱车评价,实拍图片,https://img1.xcarimg.com/review/20200426/b9d145d50fbf9a812bcaa916bcd0ab45.jpg-169x127.jpg,https://img1.xcarimg.com/review/20200426/cd839147ee2bf29279533cf90832a75e.jpg-169x127.jpg,https://img1.xcarimg.com/review/20200426/cfc13fe221fc98966a8b6b1c0f3c424d.jpg-169x127.jpg,https://img1.xcarimg.com/review/20200426/0ebd37ddf2b8de5f9b537ea49cf66160.jpg-169x127.jpg,https://img1.xcarimg.com/review/20200426/7a78670ad9d1a846b973ba1b6976ff44.jpg-169x127.jpg,[最满意],最满意]车厢内豪华科技感十足，虽然我年纪有点大了，但是还是很喜欢这些新潮的玩意。我买了高配的Q2，就差选装一个氛围灯了，但是车厢内的科技一点都不输其他的同级别车型。,[不满意],后备箱的大小一般，感觉有点不够用。好在家里还有其他车子，也挺好的。还有后排视野一般，不是非常通透，空间也只是刚刚够用。,[外观],年轻时尚，小小酷酷的样子非常好看，有点潮流感。车后侧还有熏黑处理，很新颖，很吸引眼球。老婆还特别买一些贴纸拉花，装饰在车上更加的漂亮可爱了。,[内饰],液晶的仪表很细腻，非常有档次非常好看，中控的屏幕也很大，还有倒车影像，日常挪车移库非常好使。麻雀虽小，五脏俱全，说的就是这种感觉，精致但不会太张扬。,[空间],[续航],前排的程度感受很好，空间也比较宽敞，有挺多的空间，日常上车就喜欢把手机掏出来，放到中空台上。就是后备箱的空间有点紧凑，放不了太多东西，日常载个货就比较困难。,车子轻没有任何问题，非常满意经济实惠。续航够用,[舒适],老婆感觉开起来感觉很可以，车子很轻。悬挂挺舒服的，座椅很好坐的，也不会腰酸背痛。不用特别留意减速带，碾过去也很稳重，车厢氛围感觉好舒服。,[动力],车子虽然小，但是发动机动力挺好的，反应很轻快，加速超车很好，很方便。跑高速，虽然后劲不大，但是挺稳定的，不会发飘。,[操控],转向手感很轻，转动起来不费力气。我觉得一台好车就是应该有这个样子，但是反应不是非常快，感觉有发虚。奥迪的车子好像通常就是这样子的。能接受，这也不是什么困扰的问题。,[性价比],这几年经济发展，车子也越来越便宜了。科技感也非常强，考虑到这两年手头比较宽裕，也想换一台车，一开始就像定位台德国的SUV低调一点。原先考虑大众车，但是确实是审美疲劳了，途观途岳，一点新意也没有，内饰也十分的老土。和老婆商量就去看看奥迪，那会儿到4S店看到了Q2L呀，感觉就很合心意，价格还便宜呢。当场就决定买了。,展开全部
