publish,标题,图片,名称,名称1,评分,评分2,评分3,评分4,评分5,评分6,评分7,评分8,评分9,评分10,评分11,评分12,评分13,评分14,评分15,评分16,评分17,标题18,信息,信息_链接,信息19,信息20,信息21,信息22,信息23,信息24,信息25,信息26,信息27,标题28,标题29,jia_text,信息30,dw_22,dw_2231,dw_23,dw_2332,dw_1,dw_133,dw_2,dw_3,dw_334,dw_4,dw_435,dw_6,dw_7,dw_636,dw_737,dw_8,dw_838,openall,purpose,purpose39
"
    发表于  2022-09    

      
        
    
    
",内饰方面，我觉得跟传统油车差别也不会太大，三幅式方向盘手感不错，仪表盘里面的信息显示也非常的清晰，上面的信息也挺丰富的。中控台的屏幕我也很喜欢，用起来很顺畅，清晰度就更加不用说了，上面的功能也有很多，它还支持carplay和carlife，这个就很方便，毕竟在同价位里面支持无线carplay和carlife的车型真的不多，它能做到这样，我觉得还是可以给它一个好评的。还有的就是它的挂挡方式是按键式的，这个按键式的不是一般的按键，它还有一个误操作的设计，倒车和前进挡的话是往上提的。车里面的材质都是软性的材质。,https://image1.xcarimg.com/attachments/my/1/94/01/829_120.jpg,xuser1950182,三星会员,4.88,外观,5,内饰,5,续航,5,空间,5,舒适,5,动力,5,操控,4,性价比,5,购入信息,爱车车型,https://newcar.xcar.com.cn/m64644/,2022款微蓝7纯电动SUV652E 互联智慧型,购入时间,2022/4/1,购车地点, [新疆省],裸车价格,15万  (厂商指导价 20.77万),续航里程,8km,爱车简评,爱车简评,主要是用来做上下班通勤的代步小车车吧，看了很多之后最后看到了这款车，它的颜色是我喜欢的浅蓝色，第一眼也是被这个颜色吸引住才去了解它的，到店里试驾过，感觉还不错，就定下了它。,爱车评价,[最满意],最满意就是它的小细节吧，它是有四门无钥匙进入的，这个人性化方面做得还是不错，还有的是它有第二排的隐私玻璃，这些我觉得做得都还是不错的,[不满意],没有电动尾门是我觉得它的一个小遗憾的地方吧，一开始我还以为会有配备的，结果没有，终究是我想多了。,[外观],车漆是浅蓝色的，跟它名字也算是有一个呼应吧，而且它车漆在太阳下看，是不同的一个光泽，这个还是挺特别的，我也很喜欢。然后它的车灯是led的，非常的好看，也很简约。车侧看的话呢，整台车给我的感觉是挺圆润的，可能是因为它的车身尺寸都很紧凑，但是又为了保证车内的空间，所以就感觉整台车相对来说会有一点点的圆润，不过我觉得也并不难看，这样的造型还是挺可爱的。然后它的后尾是有点上扬的，跟车头一样也是比较简约的。,[内饰],[空间],它的车尾箱给我感觉是挺圆润的，它里面的空间其实不算是特别大吧，它的纵深还是比较浅的，不过它底下还有一层储物格可以放东西。至于说它第二排的空间，我坐到后排的话，大概有个一拳三指的腿部空间，头部空间也还是可以的。,[舒适],它的座椅是比较软的，不过靠背稍微会有点硬，包裹性的话我觉得一般吧，不过整个的乘坐感觉我觉得还算是不错的。然后后排靠背的角度是刚刚好的我觉得，不过对大腿的承托吧就比较的一般。还有底盘的噪音稍微有一点点的大吧。,[动力],[操控],它的动力表现是那种，其实它不会给我很强的加速感，整体来说它还是属于循序渐进的那种表现。加速的话，它的推背感其实也不算是很强的，整体的话还是比较偏向家用的。,这个车的转向是有点沉的我觉得，如果是女生开的话应该会觉得累。它的踏板呢，相对来说是算灵敏一些的，但又不会说是特别的贼那种感觉吧。它的整个操控的感觉我觉得还是不错的，它给我的感觉就是很轻巧、很灵活的。,[性价比],性价比方面还算ok吧我认为，这台车的配置还是挺齐全的，购车方面的话最后是谈下来了一点优惠，还算不错。,展开全部,,
"
    发表于  2022-09    

      
        
    
    
",内饰做工精细很多的软材质包裹工艺上乘，像一些电子科技配置和手机互联功能也很多，最大的特点，这个车听歌曲很方便，都是一些在线的音乐，喜欢听音乐的人买这款车挺好。,https://image1.xcarimg.com/attachments/my/1/94/01/828_120.jpg,xuser1950182,三星会员,4.88,外观,5,内饰,5,续航,5,空间,4,舒适,5,动力,5,操控,5,性价比,5,购入信息,爱车车型,https://newcar.xcar.com.cn/m64644/,2022款微蓝7纯电动SUV652E 互联智慧型,购入时间,2022/4/1,购车地点,天津市四联汽车贸易有限公司 [天津市],裸车价格,16万  (厂商指导价 20.77万),续航里程,6km,爱车简评,爱车简评,考虑到新能源也看过很多其他品牌的车，但是相信别克这个品牌还是可以的，另外，自己单位里面也有同事开微蓝6的纯电动车，反馈也很好。,爱车评价,[最满意],这个车子提速很快，这个车子的提速感觉比之前开的3.0的汽油发动机提速还要快很多，特别是在原地起步，加速到60迈的时候，感觉这车是很无敌。 声音很安静，续航很长，平时在市里面开的话，充一次电能跑半个月，实际续航的里程和厂家公布的基本相同，夏天开空调制冷对续航影响很小，也就是占10%这个样子，夏天开空调影响续航里程的10%。 别克微蓝，这个车不用保养，纯电动的车子可以为日后的保养省去不少的费用，听售后的人说，只需要5000公里去检测一下，检查一下就行，像轮胎和这个防冻液嗯，还是要换的，但是这些钱的话都是一些，很久时间才会换的东西,[不满意],电动车在市里面开续航能力很强很强，但是跑高速的话费电就会很快，速度越快，续航就会越短，感觉这车子最高的车速按照经济省电的跑的话，就是100，如果说再往上的话，耗电量就很大，标的是510的续航跑高速，实际的话，最多就是400，跑得越快，连400都未必能够跑得到,[外观],巍澜的外观看起来是很时尚运动，有未来的感觉logo的旁边很细的两个灯显得很前卫，后尾部也是贯穿式的尾灯设计，非常的经典，之前很早的车别克的新世纪也采用贯穿式尾灯，现在的一些车，保时捷的新款卡宴也是贯穿式的尾灯。,[内饰],[空间],微蓝七的储物空间可以说是中规中矩，平时小件东西还是能够放得下，传统的放东西的地方，像中央扶手挂挡周围副驾驶手套箱和门内侧，空间都有。前排座椅的后面，如果说能够再设置一些储物袋，放一些报纸和书籍的地方就好了 后备厢容积：后备箱空间还可以，后排座椅放倒了之后，空间可以变得更大，这样子放一些常见的物品很方便，最喜欢这样的设计，不常用，但是用的时候可以用,[舒适],这个是顶配的车，带座椅的加热，冬天的时候会很好用，夏天的话倒无所谓，事件也很好，后排座椅的地板是平整化的，设计左右移动的时候很方便，后排座椅的空间也很宽敞，舒适性这一方面和普通燃油车没有区别。,[动力],[操控],这车提速很快在市区里面开车的话，很少车能够吵，这台车在起步的时候，方向也很轻盈，开起来的话，没有什么操控感，但是速度平顺性是无敌的，日常在市里面开的话也很实惠，充电很便宜，而且充一次电在市里面开，能够跑400多公里将近500公里，所以说用起来很实惠，另外，这个车也不用去加油站加油了，充电方面的朋友可以考虑新能源，真的是超乎想象的省。,开起来的话，在100码以内提速快，开起来稳挺好，这个车子跑的话，最高车速能跑到140左右，但是跑140的话就没有跑100续航里程的大 方向盘操控感：低速的时候方向盘有一点重，只是在原地起步的时候，原地打方向会有一点重，但是开起来的话就不重了，很灵活，跑郊区和跑高速都跑过，开起来的话，家用就比较合适。,[性价比],车子的价格16万多，不用交购置税，免购置税的性价比还是可以的，配置也很多智能驾驶辅助，音响也很不错，是博士音响，买了车之后用了有一个周的时间才把这些功能给研究透彻，另外，车里面安吉星的话，也是一个很实用的东西，可以检测胎压远程解锁开锁 购车：车子原价是21万多，提车16万多，正好赶上饭店做活动，所以试驾了一圈，感觉别克这个品牌和车子都不错，所以就买了,展开全部,,
"
    发表于  2022-09    

      
        
    
    
",内饰挺好看的，高科技十足，无线充电。都有，有安吉星服务、拼接内饰！电子式拍档！材质也可以！ 内饰材质：拼接的内饰，电子式排挡，车联网，BOSE音响，后排还有USB接口，环抱式中控台，中控大屏，安吉星服务！还有个超大天窗！看星星看风景很不错！,https://image1.xcarimg.com/attachments/my/1/94/01/827_120.jpg,xuser1950182,三星会员,4.88,外观,5,内饰,5,续航,4,空间,5,舒适,5,动力,5,操控,5,性价比,5,购入信息,爱车车型,https://newcar.xcar.com.cn/m64643/,2022款微蓝7纯电动SUV652E 互联智享型,购入时间,2022/6/1,购车地点, [吉林省],裸车价格,15万  (厂商指导价 18.77万),续航里程,9km,爱车简评,爱车简评,车价没有优惠。送了点礼品。政府有补贴，主要是自己看上了，老公也支持买。节能减排，为大环境出一份力，也还好、这个得自己定位吧！新能源车子大概价格都这样！别克这个牌子信任度还是蛮高的.,爱车评价,[最满意],优势一：合理的尺寸感觉对于女生来说车身大小适中，合理的续航达到了500KM的续航水平，另外价格也比较合适，配置方面最低配车就已经配备了包括6气囊，主动刹车，全速域ACC，车联网，无线carplay在内的丰富配置，反正日常使用的配置基本齐全了。优势二：很实用，前后排空间足够大，接送小孩，上下班使用或者一家人外出完全没有问题。优势三：优秀的驾乘质感，我感觉车子动力水平日常用比较舒服，没有特意追求加速的快感，让动力头段变得很冲。动力是渐踩渐有的，非常跟脚！再说说其他方面：1.电车静谧性表现不错没有噪音；2.超大天窗360度全景夜晚看夜景看星星应该不错；3.还有BOSE音响个人感觉很实用！4.不用担心限号问题，也不用上加油站排长队，自家楼下就有充电桩，快充40分钟就搞定！每周充一次电省钱！说说内饰：拼接的内饰，电子式排挡，后排还有USB接口，环抱式中控台，液晶中控大屏！另外还有安吉星服务！还有细说下空间：这个车空间真的没得说，简直就是空间管理大师，相对于同样车型的车简直不要太赞，别克V蓝7拥有2675mm轴间距，轴距与车身成比例接近63:100，在同级车里遥遥领先。因为是纯电动车V蓝7的无门槛纯平地板使进出更便利，乘坐更舒适。全车高达20处储物空。,[不满意],价格有些贵，没有优惠，现在有几千块钱政府补贴，狠了狠心拿下了。,[外观],外观是我们一家人中意的！运动气息十足、年轻阳光！蓝色一直是我的幸运色！所以找到这款车也感觉自己很幸运！颜色靓丽，好看，不像大街上的新能源不是白的就是白的。比较个性。小清新，看着舒服清爽！时尚淡蓝色新颖大气！符合我的审美需求。,[内饰],[空间],前排和后排空间都可以，我们一家三口是足够了！后备箱容积也可以！自我感觉。市内出行可以满足的。 乘坐空间：乘坐空间足够了、身高170坐前坐后都可以跷二郎腿！然后储物方面后备箱隔板还有非常深的一块儿储存空间！,[舒适],满分吧！静音非常好，座椅软硬适中设计的非常合理和人性化！真的是对家人的一种无声的爱！车内几乎没有异味。座椅软硬适中。包裹性不错。几乎没什么胎噪，隔音真的不错！ 座椅舒适性：舒适性给个满分吧！首先座椅软硬适中包裹感也强！ 车内噪音/异味：真的是很安静、静谧性非常好！没有什么噪音！驾驶时感觉很轻快明朗、还是很棒的！,[动力],[操控],动力方面不亚于油车、起步动力足！两种模式下都感觉不错、它动力不会很冲、还是比较温顺可控的。 动力杠杠的，提速超快，朋友在车上感觉有点晕。哈哈哈。大轮毂，配上米其林的轮胎，很吸睛。 跑高速：启动的速度挺快的、加速也平稳、顺畅日常使用完全没问题。,和动车感觉比较类似平稳平顺、操作起来还是比较顺手、刹车脚感也可以！ 刹车表现：刹车灵敏，指向精准。还有侧盲区预警。底盘也很舒服。 ☆ 自适应巡航：自动泊车的功能太友好了。因为我自己倒车入库不太行，偶尔还需要同事帮忙。这下自己就能搞定啦。,[性价比],别克这个品牌还是比较靠谱的吧、电车也基本都在这个价格！好的一点是保养方面会比油车省心、不用大额保养费.个人觉得还是物超所值、定价基本合理吧！,展开全部,,
"
    发表于  2022-09    

      
        
    
    
",内饰是浅色的，搭配深色车身，鲜明对比，很是好看，整体简单明了。内饰浅色，提升了整车的内部空间的视觉感。中控材料还算可以的，皮质的包覆还是很多的，塑料感比较少。各种电子设备也很全面，这个价位的还是都有的，差点的就是座椅织座椅（高一个配置才配真皮），也算是个小遗憾。另外就是没有通风功能，夏天天气热，即使开了空调后背和坐垫还是很热，想去改装一个，问了几个报价，都挺高，这个想法还在搁浅，希望这个夏天不要太热,https://image1.xcarimg.com/attachments/my/1/94/01/826_120.jpg,xuser1950182,三星会员,4.88,外观,5,内饰,5,续航,5,空间,5,舒适,4,动力,5,操控,5,性价比,5,购入信息,爱车车型,https://newcar.xcar.com.cn/m64643/,2022款微蓝7纯电动SUV652E 互联智享型,购入时间,2022/3/1,购车地点, [内蒙古],裸车价格,14万  (厂商指导价 18.77万),续航里程,7km,爱车简评,爱车简评,深思熟虑，还是选择了别克的微蓝7。购车的时候，由于是老别克车主增购，4s店给的优惠很给力，性价比很高！就毫不犹豫的选择了,爱车评价,[最满意],我最满意的是它的外观，短短胖胖，可爱萌萌哒！！提速很快，方向盘轻盈，指哪到哪！个人喜欢的蓝色，金属漆质地，随光线的变化，车身颜色光泽而随之变换。远看蓝黑，近看日蚀蓝，满满高级感。静音效果好，浅色内饰干净整洁，设计精致，动力够用。,[不满意],最不满意的就属它的后排空间了，前排我觉得还行，调调的话还是挺宽敞的。后排就是窄了点，我是个胖胖，170身高坐进去感觉有点局促！没有电动尾门，对于网购达人，每次大包小包的快递放进尾箱，甚是麻烦！没有折叠的后视镜，副驾驶手动调节的座椅，多次被朋友吐槽，搭我车副驾连个电动座椅都没有。,[外观],外观是买它的一个方面了。前脸外表胖胖萌萌，看鲜明好看，大灯与Logo连在一起，开灯的时候更显得好看了。立体感很好。尾部的布局方正简约，整体看起来也很大气。,[内饰],[空间],空间还是差了点，特别是后排的空间不适合我这种身高体胖的人，3人座位坐两个人还好，要是3个人就是很挤，坐起来也不舒服了，后备箱是比较正常的大小，放个行李箱和一两个箱子就满了，打开尾箱的那个垫，下面还有一个空间，可以放不少东西，就是放点小东西也不怕弄得到处是了。,[舒适],舒适性还可以，主要体现在三个方面，一是座椅，座椅的柔软度很舒适，刚刚好，包裹性也很好；二是底盘，减震效果很不错，即使经过颠簸的路段也不会太摇晃；三是隔音能力，不能说没有噪音，但是也很小的，听听歌什么的，就听不到什么噪音了。还有方向盘加热，碰撞预警，倒车可视，对于新手女司机，真是不错的选择。,[动力],[操控],动力是十分充足的，不管是启动还是超速的时候，推背感都很强，驾驶体验还是很不错的。不过到了100以上再提速，表现就没有开始那么优秀了。所以更适合城市道路使用。,操控方面的话还可以吧，方向盘的精准度很高，打哪指哪，皮质的方向盘摸起来手感很好，其他的辅助设备也很给力，倒车影像很高清，操作起来也方便不少。,[性价比],实用性方面性价比很高，就是空间还是差了点，要是人机对话交互的功能，科技再提升一点，就算完美了。不过时代在进步，一步到位也是不可以，,展开全部,,
"
    发表于  2020-11    

      
        
    
    
",内饰都做的很精致，摸起来，看起来都有一种高级感！二期，就是没啥异味，这个特别好，有点异味我都不咋受的的了。,https://image1.xcarimg.com/attachments/my/0/31/02/153_120.jpg,321pppz138,新手上路,4.75,外观,5,内饰,5,续航,5,空间,4,舒适,4,动力,5,操控,5,性价比,5,购入信息,爱车车型,https://newcar.xcar.com.cn/m55542/,2020款微蓝7纯电动SUV652E 互联智慧版,购入时间,2020/11/1,购车地点,浙江米家汽车销售有限公司 [浙江省],裸车价格,18.5万  (厂商指导价 19.98万),续航里程,500km,购入用途,爱车简评,车子整体性价比还是蛮高的，免费的充电桩，还有便宜的资费，电费，后期没保养成本，就整个车价格优惠不是特别多！其余都不错！,爱车评价,[最满意],最满意的就是车子的续航，特别省心，时时提醒，续航还是很准确的，基本稳稳当当！一次电充满差不多跑500，动力也很猛，一脚油门，贼快，比一般的汽油车跑的快好多！,[不满意],最不满意的，就车子的空间了，说是suv嘛，车自空间还是小了一点，后排还是没那么宽敞，没那舒适。其余就价格了，价格也没多少优惠，再低一点就好了。,[外观],外感还是挺好看的，蓝颜色的，挺养眼的，还有点运动f的感觉，好看！,[内饰],[空间],二排空间还是小了一点，没前排那么舒服，后后备箱也不是特别的大，日常出行都还可以，还好不怎带货，带点东西，看看客户还行。,[舒适],舒适性都还蛮高的，都还很舒服，就还是后排还是系了一点，没那么宽敞，其余的座椅啊，还是啥的都还挺满意!,[动力],[操控],动力还是比较充沛的，差不多一个来月，也没有什么时候感觉没力的感觉，加速的时候，还是很猛！高速上踩脚油门，推背感极强！,操控这一块，还是比较均衡，没啥特别的，基本就转向啊刹车啊，还是油门都和别的车没啥去别，也就没啥吧。丢还比较满意,,,展开全部,上班,购物
"
    发表于  2020-11    

      
        
    
    
",内饰整体颜色舒适，材质用料方面其实还能增加点豪华的材料，20万的车，也不是很便宜了嘛！储物空间还是挺丰富，还有个放钥匙的小曹。样式设计的比较有科技感，一键启动的按键挺大的，和它一排的按键灯的颜色也丰富。这个大屏起到了点睛的作用，科技感凸显。,https://image1.xcarimg.com/attachments/my/0/31/02/157_120.jpg,lcm686ntuw2,新手上路,4.75,外观,5,内饰,4,续航,5,空间,5,舒适,4,动力,5,操控,5,性价比,5,购入信息,爱车车型,https://newcar.xcar.com.cn/m55542/,2020款微蓝7纯电动SUV652E 互联智慧版,购入时间,2020/8/1,购车地点,郑州市金裕通汽车销售服务有限公司 [河南省],裸车价格,21.68万  (厂商指导价 19.98万),续航里程,500km,购入用途,爱车简评,当然，这个车以我的发展速度也就开上个5年吧！以后还会换别的车，到时候保值率希望高一点。,爱车评价,[最满意],动力挺让我惊讶了一下，以前没接触过纯电车的时候以为和老年代步车一样，走的特别慢，试驾以后才更加了解此车非彼车，是完全不一样的，我误会你了，加速性能甚至比汽油车还强些，就这一下，抓住了我的心，带给我一个不小的惊喜，试驾以后我才正视了纯电车确实是非常有潜能和后劲的，不说车的性能不错，国家也有支持，只要基础设施跟进了，以后也是能够成为主流的，毕竟环境问题急需解决，新能源很有发展的未来！,[不满意],这个发动的的时候不像汽油车一样有声音，这基本没什么声音，一开始还不太习惯，车内噪音主要就是电机的那个嗡嗡声，虽然很轻微，但正因为没有其他声音，就显得比较明显，刚开始真是不习惯，现在已经习惯了，基本可以忽略这个声音，其他的还没啥不太满意的地方，再开开看。,[外观],颜值方面SUV造型，底盘还比较低，城市SUV也不用做的太高，正好。这个卖家主推的浅蓝色就是好看，低调又不雷同，个性又不张扬，前后大灯都是条形设计，灯带，横向拉升了视觉，造型也不错。一个小区的，我开这个V7估计很快都会注意到我，外观颜色加上绿色的牌子，辨识度高！,[内饰],[空间],空间的话也没问题，电动车也是空间足够的，前排座椅调节，后排腿部也不拥挤，后备箱也挺拉货，最主要的是后备箱可以直接和车内连为一体，有需要啦东西比较多的时候也能拓展不少的空间，中号的行李箱立起来也能放下，高度也可以。我就像到夏天的时候来个野外自驾2日游，把后排与后备箱当床用，体验一把车内过夜的感觉。,[舒适],动力能跟上，首先心里就非常舒适，而且动力还能超人一等，现在开车还有点优越感，很踏实，不会输给别的车，身体舒适上也做的不错，座椅不硬，上下班40分钟的路程开下来PP不受罪，再远的距离还没试过，想来也不感受太差，减震的效果也能明显感受到，过个小坑不会太硬，就是摇摆的比较幅度大。,[动力],[操控],动力就是给我一开始惊喜的地方，原本以为电车会很肉，没想到刚刚相反，电车的起步非常给力，奥利给！想想也是哈，电传播的速度多快，起步给力，加速性能也良好，让我这个平时开车比较墨迹的人也有了高手的风范，变道配合上变道辅助这个系统，既能保证安全，也能不失时机的变道，让行车更加高效，菜鸟变大侠！,操控起来挺得心应手的，主要还是这个倒车镜盲区报警不错，变道不用提心吊胆，等于在看不到的盲区给加了一个雷达，开汽车来也是自信了不少，这个功能不错，转向的时候由于底盘也做的比较低，所以显得比较稳定，轮胎宽度也不错，如果轮胎太窄我心里上就有不稳的感觉。以前开过某车转弯太快失控过，所以我现在转弯还是有点心里阴影的。,[性价比],从日常用车来看，性价比挺高的，节能环保还剩了油钱，动力上是优势，心急的人也能开，配置方面也挺高，行车辅助啥的都有，后备箱容积挺大，拉的东西多，算是比较全面的车了。,展开全部,上班,
"
    发表于  2020-11    

      
        
    
    
",。仪表盘也是科技感十足，黑色钢琴烤漆的换挡地方也是深沉，配合按键的换挡方式，整体就是非常科技，非常前卫。后排地板采用了当下比较好的平地板设计，这样也显得后面的空间大，对中间座的人更加友好。,https://image1.xcarimg.com/attachments/my/0/31/02/152_120.jpg,gongchengij6,新手上路,4.75,外观,5,内饰,4,续航,5,空间,5,舒适,5,动力,5,操控,4,性价比,5,购入信息,爱车车型,https://newcar.xcar.com.cn/m52506/,2020款微蓝7纯电动SUV652E 互联智享版,购入时间,2020/9/1,购车地点,山西友通汽车贸易有限公司 [山西省],裸车价格,21.68万  (厂商指导价 17.98万),续航里程,500km,购入用途,爱车简评,豪华感不强，但科技感挺足，主要体现在前排，中控液晶屏幕够大，这点不错，显得比较有内容，中控的按键也很有科技感,爱车评价,[最满意],纯电节能环保，节能就是省钱，续航里程也够用，工信部纯电续航里程500公里、实际下来450公里左右，上下班用的最多，市里高峰期开油车挺费油，家里还有个1.5L赛欧3，以前就是它代步上下班，油耗上7.8个，没几天一箱油就见底，一个月也得加4箱，800的路费....，换个自动挡，还省钱的车，比较满意。,[不满意],虽然是SUV，但车整体看上去还是比较小的，我叫它小型SUV，同价位的汽油车都可以是中型SUV了，尺寸都比较大了，不过坐进去空间还不错，弥补了外型看上去小的劣势，有时候媳妇需要单独出门也开电车，她觉尺寸不小。因人而异，我还是希望能再大点，看上去也敞亮。,[外观],V7个头不高，显得比较精干，配上浅蓝这个纯纯的颜色，很适合年轻人开，前脸上的日行灯带很吸引眼睛，尾部的灯带也不错，开到街上也比较独特，毕竟绿牌子现在也是比较少，但明显能感受到越来越多，尤其现阶段人们开始关注电车，但还不像汽油车那么普遍，经常有人会问我开的咋样，用车感受什么的，估计也是看对了车，有些顾虑。,[内饰],[空间],小型SUV，车长不长，但轴距还可以，内部空间挺大，尤其是后备箱挺能装，SUV的后备箱比轿车的高很多，有大箱子之类的物品都可以放进去，，第二排也是通后背箱的，放倒靠背容积更大！今年过年回老丈人家，媳妇的大包小包应该难不倒我了，不会像以前，副驾的位置，后排大面积的都是大包小包！坐的不舒服，拥挤。,[舒适],行驶平稳，起步快但也挺稳的，座椅舒适度也还行，噪音方除了有点电机的嗡嗡声，其他杂音基本没有，还是个安静的地方，大屏也够大，看着舒服，后排腿部空间很充裕，不会感到憋屈，中间的地板也是平的，腿的活动空间也就变大了。,[动力],[操控],电车这个动力还挺充沛，刚刚起步、中段加速，后段加速都强，尤其是起步很快，配合它不大的车身，适合在拥挤的城市中穿梭，驾驶模式也有3种选择，运动、标准、舒适，开起来的变化也挺明显，不只是一个摆设配置。平时选标准就够用了，如果选运动，瞬间的提速感非常明显，反正选舒适，加速就显得平稳。,虽然是SUV，底盘离地间隙也不高，开起来有轿车的稳定感，三种模式随意选择，刹车软，需要更多的提前量，跟车距离得稍微远一点，尤其是开的比较快的时候，需要注意，开陌生车也是一样的，先得品一下刹车，要不然不是突然点头就是站不住。有一次给领导开车，第一次开单位车，刹车的时候直接然他点头！方向指向精准，转向不费力，助力刚刚好。,[性价比],这车平时开是很省钱的，从这点看，性价比还是非常高的，但我也不确定开个5年以后电车的二手行情会是个什么样子，保值不保值也不知道，但是，有一点还是可以确认的，开的时间越久，平时省下的费用就越多，相对的性价比越高，这也是电车的优势所在，节能环保，省钱的同时也给地球空气环境减负了。,展开全部,上班,购物
"
    发表于  2020-11    

      
        
    
    
",就不说豪华了，但是看着还是蛮精致的，这让我都有点冲动想要拥有它，而且它的功能真的好多都是我车上没有的，第一次使用，感觉像发现新大陆似的,https://image1.xcarimg.com/attachments/my/0/31/02/155_120.jpg,对流层的风tw,新手上路,5,外观,5,内饰,5,续航,5,空间,5,舒适,5,动力,5,操控,5,性价比,5,购入信息,爱车车型,https://newcar.xcar.com.cn/m55542/,2020款微蓝7纯电动SUV652E 互联智慧版,购入时间,2020/5/1,购车地点,宁波江北欣元汽车贸易有限公司 [浙江省],裸车价格,17.8万  (厂商指导价 19.98万),续航里程,500km,购入用途,爱车简评,电动车的动力真的不是油车能比的，起步什么的都会比油车快一些，所以使用起来真的连缺点都没有了,爱车评价,[最满意],那肯定是它的颜值拉，天蓝色真的看着很小清新，而且特别适合女孩子，还有它那胖胖的身材，真的是可爱到极致了。最主要的当然是它不需要加油啦，纯电动的，天然无污染，环保又节能，作为家用第二台车子的必备之选啊,[不满意],最不满意的这个用下来暂时还没有，只看到了它的优点,[外观],真的是一个胖小子，感觉跟吃多了一样，但是好可爱丫，这样小小的停车都方便,[内饰],[空间],空间的话对于她一个人开，孩子坐后面足够了，也不需要太大的车子，这样女孩子停车会比较方便，后备箱还是蛮大的，感觉能放好多东西,[舒适],座椅什么的舒适度还是蛮柔软的，包裹性也很好,,[操控],,操作起来真的好简单，而且方向盘也没有虚位，不要太好用,[性价比],没有购置税，后期不需要加油，保养也是几年一次，哇，不要太省钱哦，性价比太高了,,上班,接送小孩
"
    发表于  2020-11    

      
        
    
    
",内饰方面：拼接的内饰，电子式排挡，车联网，BOSE音响，后排还有USB接口，环抱式中控台，中控大屏，安吉星服务！还有个超大天窗！看星星看风景很不错！,https://image1.xcarimg.com/attachments/my/0/31/01/130_120.jpg,zhangchuanhu,新手上路,5,外观,5,内饰,5,续航,5,空间,5,舒适,5,动力,5,操控,5,性价比,5,购入信息,爱车车型,https://newcar.xcar.com.cn/m55542/,2020款微蓝7纯电动SUV652E 互联智慧版,购入时间,2020/9/1,购车地点,北京达世行汽车销售有限公司 [北京市],裸车价格,19.98万  (厂商指导价 19.98万),续航里程,500km,购入用途,爱车简评,方向盘比较轻，比较灵敏，操控起来很顺手，也配备了主动刹车功能，电车操控起来没有什么难度,爱车评价,[最满意],用车的成本会比较低，电耗比较低，充满电能开一周。车辆外观也是我个人喜欢的，运动感十足很有活力很年轻。车内的各项功能也齐全，操作起来也方便，代步上下班还是比较合适的！,[不满意],感觉刹车比较轻吧，需要踩到底才行。其他方面都还可以。,[外观],外观是我们一家人中意的！运动气息十足、年轻阳光！蓝色一直是我的幸运色！所以找到这款车也感觉自己很幸运！,[内饰],[空间],前排和后排空间都可以，我们一家三口是足够了！后备箱容积也可以！可以看图：,[舒适],舒适性给个满分吧！首先座椅软硬适中包裹感也强！其次真的是很安静、静谧性非常好！没有什么噪音！驾驶时感觉很轻快明朗、还是很棒的！,[动力],,动力方面不亚于油车、起步动力足！两种模式下都感觉不错、它动力不会很冲、还是比较温顺可控的。,,[性价比],别克这个品牌还是比较靠谱的吧、电车也基本都在这个价格！好的一点是保养方面会比油车省心、不用大额保养费.个人觉得还是物超所值、定价基本合理吧！,展开全部,上班,购物
"
    发表于  2020-10    

      
        
    
    
",内饰挺好看的，高科技十足，无线充电。都有。,https://image1.xcarimg.com/attachments/my/0/31/01/132_120.jpg,andyufx,新手上路,4.88,外观,5,内饰,5,续航,5,空间,5,舒适,5,动力,5,操控,5,性价比,4,购入信息,爱车车型,https://newcar.xcar.com.cn/m55542/,2020款微蓝7纯电动SUV652E 互联智慧版,购入时间,2020/10/1,购车地点,山西友通汽车贸易有限公司 [山西省],裸车价格,19.98万  (厂商指导价 19.98万),续航里程,500km,购入用途,爱车简评,新车上市，车价没有优惠。送了点礼品。政府有补贴，性价比就那样吧。主要是自己看上了，老公也支持买。节能减排，为大环境出一份力,爱车评价,[最满意],最满意的地方是，这个电动车提速比较快，而且这个车静音效果比较好，外观丑萌丑萌的，超级好看，符合我的气质??这个颜色也挺特别,[不满意],价格有些贵，没有优惠，现在有几千块钱政府补贴，狠了狠心拿下了。,[外观],丑萌丑萌的外观。颜色靓丽，好看，不像大街上的新能源不是白的就是白的。比较个性。,[内饰],[空间],空间还可以的，自我感觉。市内出行可以满足的。,[舒适],车内几乎没有异味。座椅软硬适中。包裹性不错。几乎没什么胎噪，隔音真的不错！不像我之前的车，开起来像开着个皮卡。,[动力],[操控],动力杠杠的，提速超快，朋友在车上感觉有点晕。哈哈哈。大轮毂，配上米其林的轮胎，很吸睛。,刹车灵敏，指向精准。还有侧盲区预警。底盘也很舒服。☆自动泊车入位：自动泊车的功能太友好了。因为我自己倒车入库不太行，偶尔还需要同事帮忙。这下自己就能搞定啦。,,,,上班,
