publish,标题,图片,名称,名称1,评分,评分2,评分3,评分4,评分5,评分6,评分7,评分8,评分9,评分10,评分11,评分12,评分13,评分14,评分15,评分16,评分17,标题18,信息,信息19,信息20,信息21,信息22,信息23,信息24,信息25,信息26,标题27,purpose,purpose28,标题29,jia_text,信息30,dw_22,dw_2231,dw_23,dw_2332,dw_1,dw_133,dw_2,dw_234,dw_5,dw_3,dw_335,dw_4,dw_436,dw_6,dw_637,dw_7,dw_738,dw_8,dw_839,openall
"
    发表于  2021-06    

      
        
    
    
",目前的综合能耗是25.0每百公里一次冲电20块钱 左右真的很节能,https://image1.xcarimg.com/attachments/my/1/90/32/854_120.jpg,xuser1913285,三星会员,4.63,外观,4,内饰,5,续航,5,空间,4,舒适,4,动力,5,操控,5,性价比,5,购入信息,爱车车型,购入时间,2021/4/1,购车地点, [辽宁省],裸车价格,20.3万  (厂商指导价 22.98万),续航里程,330km,购入用途,购物,接送小孩,爱车简评,之前主要开奥德赛和Q50L，家里也有BBA。MARVELR是用奥德赛置换的。我购车的时候就明确我一定要买一台智能电动车。最早关注的是Model3，后面也有考虑ES6，都试驾过。,爱车评价,[最满意],我满意的当然是这款车环保，行驶质感好，安静舒适，用上了就不想开油车了，但是电车还不能解决快充问题，现在只有MARVELR最香了,[不满意],最不满意的是起步有点肉，要深踩油门，还有就是减震有些太硬，但还是能够接受,[外观],这款车的外观设计十分漂亮，整车看起来大气稳重，特别是前脸的设计很独特，很有个性符合我的个人审美。,[内饰],内饰非常不错，个人坐进去，就像坐着船舱-样，给人一种安全感。能摸到的地方都是软性材料，很细腻，方向盘握着手感也不错。新车也基本没什么味道，尤其是家里有孩子的，这-点做的很不错。,[续航],[空间],这么大的车，间不用说，不论哪一排坐着都非常宽敞，座椅的角度还可以调节，储物空间也够用。,[舒适],隔音效果一般，但座椅的舒适性非常好，包裹性也很强，减震效果挺好，车内空调制冷迅速。,[动力],动力一般，毕竞车很大，起步的时候推背感没有那么强，在市区开足够了，超车提速都很顺手,[操控],未试驾过MARVELR之前，我是有点担忧的，毕竟是一台5米长，2.3吨的车。但是如果你驾驶的话会发现MARVELR很容易开，方向盘很轻，油门反应也很快。我选动力运动，转向舒适。这个请你去亲身试驾。,[性价比],自从有了二胎以后，家里的需求突然增多，我就想买个7座的大空间大车，看了很多款车；最后选择了MARVELR，个人我觉得这款车是二孩家庭必备的，而且价格比较便宜，全系高配，做工用料都很实在，空间油耗更是没的说,展开全部
"
    发表于  2021-06    

      
        
    
    
",我目前开到现在，就加了一箱油，长途油耗8.8表显，市区-直用纯电，电耗在17-20之间徘徊。,https://image1.xcarimg.com/attachments/my/1/90/32/842_120.jpg,xuser1913284,三星会员,4.63,外观,4,内饰,5,续航,5,空间,5,舒适,4,动力,4,操控,5,性价比,5,购入信息,爱车车型,购入时间,2021/4/1,购车地点, [西藏省],裸车价格,20.29万  (厂商指导价 22.98万),续航里程,329km,购入用途,接送小孩,自驾游,爱车简评,理由可能比较独特：为降低家人健康安全隐患选了MARVELR-没有使用沥青阻尼垫，车内其它材料也很环保，和沃尔沃有得比，但沃尔沃的价格变动幅度太大，销售给人一种不靠谱的感觉,爱车评价,[最满意],1、空间大，乘坐和驾驶都非常舒服。2、驱动模式，纯电动车的驾驶感受，又不像纯电那样有突兀的一冲一冲的感觉，家里人坐我的eu260都有晕车感觉，MARVELR对于乘客乘坐感受很友好。3、突出一个“新”，新造车，新能源，新科技。4、配置不低，用料实在。虽不是同行业里面最好的，相对于这个车价配这个配置已经很好了。5、性价比。看过很多车，byd唐dm，荣威漫威，蔚来es6。从各方面对比后，个人觉得MARVELR性价比还是不错。,[不满意],在用车中还是会碰到一些bug，是软件上的，不影响车子使用，比如MARVELR同学有时罢工不能唤醒，信号网络在有些地方连接不畅。,[外观],中庸，但不平凡，大进气格栅很霸气，独有的星环灯，很有B格。车大气却不张扬。外观感受：最最最吸弓的就是星环灯设计，尤其是在夜晚，去露天停车场拿车，这一解锁，所有的目光都会被吸引过来,[内饰],内饰用料很足，很多人说国产车就是堆配置，那我想说，进口车和合资车为什么不堆？说明国产车还是良心车，没有国产车，桑塔纳还是20万。,[续航],[空间],驾驶座有小憩功能，二排可以各种葛优躺，三排座椅放下就是孩子的活动天地后备厢容积：即使三排坐人，后备箱也是足够用，放两个18时的箱子是足够的。车内储物能力：这是唯一不够的，是减分项，不过可以留给自己更多DIY空间家人乘坐评价：开车垢，这是家人入睡最快的一辆车，哈哈哈。,[舒适],舒适性还是不错的，前面说了，因为车子大，空间好，所以乘坐的舒适性不言而喻。,[动力],只要不是在赛道上，动力足够。起步线性，高速上100-120也是杠杠滴。日常加速动力：不肉，深踩就有，有时往往已经超速了自己却还知道。动力平顺性：起步平顺，没有电车起步的眩晕感，对乘客体感很友好。,[操控],2吨多的车子，开起来却不笨重，停车时候有点略感冒汗，不怪车，实在是现在停车环境不好。自动泊车入位：这个自动泊车我还未试出来，听说后期OTA会解决车位识别率，很期待。车道保持辅助系统：adas非常好用，对于驾驶员长途驾车很大帮助，会轻松不少，减少司机疲劳驾驶的概率。,[性价比],此车为增购车，家里已经有一台续航260km的纯电车。MARVELR符合个人家庭用车的需求，六座又是新能源，且可以短途用电，长途可以用油。,展开全部
"
    发表于  2021-06    

      
        
    
    
",能耗说实在的，这么大这么重的车，这能耗挺可以的了，但是可能是冬天的缘故，与之前宣传的有些差别，内心还是有落差的,https://image1.xcarimg.com/attachments/my/1/90/32/836_120.jpg,xuser1913283,三星会员,4.63,外观,5,内饰,4,续航,4,空间,4,舒适,5,动力,5,操控,5,性价比,5,购入信息,爱车车型,购入时间,2021/4/1,购车地点, [青海省],裸车价格,20.28万  (厂商指导价 22.98万),续航里程,328km,购入用途,接送小孩,自驾游,爱车简评,外观够帅、空间够大、内饰够靓、功能够强、动力够用、声够静、价格够低、服务够好。平日上下班，家充用电，每公里成本六七分钱；偶尔跑长途高速，也不用有里程焦虑；,爱车评价,[最满意],之前没长时间开过电动车，发现电动车加速真的快，胆超安静，超车就是迅雷不及掩耳，的。且辅助驾驶很香，重新定义了驾驶的感觉，不再是枯燥乏味的踩油门门，给朋友演示的时候也从不掉链子，装b与实用共存！,[不满意],没有HUD，选装都不行，为啥不能有呢，我觉得用习惯了还是挺喜欢的。理想同学有的时候总抽风，感觉需要优化！尤其车刚启动的时候，基本上就是爱搭不理。给坐上车的朋友演示的时候，提心吊胆生怕它掉链子，赶紧优化优化吧！,[外观],四个大屏、科技感强；皮包裹，有豪华感；智能车，可OTA，可成长的车；新车没有任何异味，没有任何异响。,[内饰],内饰还是有提升空间的，全镀包裹，但我还是喜欢一些缟层次的设计感，营造车内豪华氛围，这内饰只能算中规中矩。,[续航],[空间],空间很好，尤其是第二排如果第三排不坐人，第二排简直豪华商务座椅。同时第三排如果坐成年人都是可以的。这点很优秀,[舒适],舒适性完全满足，看app里有吐槽，座椅太硬的，我倒没那么强烈的感觉，可能和我总开车坐的少有关系。,[动力],寻求强劲动力的朋友最好家里能装充电桩，电篇与电量低时，动动差距挺明显的。,[操控],操控没问题，就是自动泊车入位不知道为啥识别率不是太高，可能我还没研究明白。,[性价比],OTA是吸引我的一大原因，子远在升级在进化，我就觉得特别棒，哪里不满意的地方或者是缺陷，只要不是硬件方面的，基本都可以解决。外形大气，内部空间也不小，开了它就不愿意开别的了！,展开全部
"
    发表于  2021-06    

      
        
    
    
",到现在没超过十个油，驾驶习惯都在国外练出来的。一晚上三十块不到的电费开个百来公里，真便宜,https://image1.xcarimg.com/attachments/my/1/90/32/829_120.jpg,xuser1913282,三星会员,4.75,外观,5,内饰,5,续航,4,空间,5,舒适,5,动力,4,操控,5,性价比,5,购入信息,爱车车型,购入时间,2021/4/1,购车地点, [湖南省],裸车价格,20.27万  (厂商指导价 22.98万),续航里程,327km,购入用途,购物,接送小孩,爱车简评,那太多了，这款车出来1年了首次看到实车，试驾半小时当场拿下。主要吸引人的地方就是空间大，三胎六座的需求简直了。动力和续航方面足够用，可油可电非常完美。还有娱乐和音质方面不敢说有多好,爱车评价,[最满意],之前都在网上看看，国庆假期终于在宁波店见到实车了！！贼激动！车子的空间和智能感是我最满意的，四块大屏幕！六座！出去玩正好坐一群兄弟哈哈哈,[不满意],开了二十来天，天天开，省内到处跑，跑山、过弯、超车.…基本没啥不满意的，网评座椅硬，年轻的我腰好！！,[外观],星环灯很挑眼，开着我的babyblue，经常会有女孩子过来问我。。看中副驾驶能放电影呗，20寸的黑轮毂运动感很强，配起来是真的帅,[内饰],氛围灯忽略不计，屏幕很香，一个按键都没有，阅读灯都是触摸的，之前的车白内饰能把我洗吐，黑内饰灰尘一多就很明显，内饰颜色选择有点少，棕色无奈之选。。。昔响昔质一般般，要是还能送爱奇艺会员就美滋滋。门板需要装电吸门，又怕拆不好会有异响。。不敢动,[续航],[空间],我的体型就适合大车，做为一款中大型SUVMARVELR的身材我是很满意的，我一个单身狗本来就没啥东西，储物空间对我来说刚好够用，最后一排放倒能装好几个行李箱，一家三口出门也是我开车,[舒适],新车味道不大，胎噪也能接受的，米其林的轮胎还是可以的，毕竟贵啊。。玻璃隔音性不错，很满意，头枕舒服的，标配三个。。主驾空调调节可以做到盲操，人性化加分。家里有老人的话建议装踏板，车还是挺高的,[动力],百公里加速6.5S，电动车提速就是快，超车没毛病，油门一踩很快就破百了，作为SUV咱们不讲提速，应该说越野性，还没尝试过越野脱困，有机会试试，我的小黄基本都不开了，要烂在家里了,[操控],方向盘轻重可以调，市区轻一点开着舒服，自动泊车挺鸡肋，还经常识别不出来，还不如自己打几把方向来的快。。辅助驾驶好用，360度过弯亲身实测完全OK,[性价比],我的购车需求就是六座，SUV，四驱，因在用车君越旗舰配置很高，所以对各方面配置也有很高的要求，原本一直中意凯迪拉克XT6四驱高配，从刚上市就开始关注，无奈深知此车降价幅度大，一直等待合适的机会出手，或者干脆买辆公里数不多的二手XT6，直到发现身边有人买了这辆车，看遍了所有网上的评论和各种评测视频，最终决定出手，不得不说是真香，也许它并不完美，但是请你告诉我这个价位，我的需求还有哪个车能满足，恐怕差距也不是一般的大吧？特斯拉真的好，蔚来ES8也不差，但哪怕它电池先进到1000公里我也还是有里程焦虑，长途在外充电桩的普及度还需要时间发晨，我也总不能跑长途总是去充电桩一蹲个把点吧，而MARVELR在这种不多的长途跋涉中加油就跑！,展开全部
"
    发表于  2021-06    

      
        
    
    
",我跑了3000多公里的长途油耗表现，油耗是8.4升，就算一加医生9.4升，我也非常满意，如果在市区全部用电的话，基本上就很省钱了,https://image1.xcarimg.com/attachments/my/1/86/11/724_120.jpg,gh1601261958,用户被禁止发言,4.38,外观,4,内饰,4,续航,4,空间,4,舒适,5,动力,4,操控,5,性价比,5,购入信息,爱车车型,购入时间,2021/4/1,购车地点, [湖北省],裸车价格,20.26万  (厂商指导价 22.98万),续航里程,326km,购入用途,接送小孩,跑长途,爱车简评,喜欢带着家人一起去浪装的东西多，媳妇喜欢坐着安静舒服，没味道，深圳科技男喜欢3C电子对车也要求必须符合现代智能系统好用，能不断升级优化的特点,爱车评价,[最满意],最让我满意的地方就是在于他的空间设计方面了，真的让人眼前一亮，设计师的大胆创新也使得这辆车能够在同价位之中立于不败之地，我也是真的特别的喜欢。还有就是他的外观设计了，科技感满满，充满了未来风格。,[不满意],这辆车让我觉得最大的诟病的话，就是在于它的操作模式并不是特别的简明，对于一些新手来说的话上手是比较难的，没有一定的理解或者操纵经验的话，对新手来说确实是不太友好的。,[外观],外观设计科技感满满在搭配低调的车漆是真的特别的帅气。,[内饰],内饰我也是真的特别的喜欢，没有一点的塑料感，我感觉对得起这个价格。,[续航],[空间],空间构造方面绝对是他的点睛之笔，让整辆车的空间配置在同价位中绝对是顶尖的存在。,[舒适],车开起来是真的特别的舒服，发动机的噪音非常的小，电机噪音也是很小的，驾驶体验极佳。,[动力],动力方面绝对是充足的，我一家人出行完全没有任何压力，超车和爬坡都很轻松。,[操控],多种的操纵模式确实会让新手摸不着头脑，需要一定的技巧和熟练度才能去开好这辆车。,[性价比],讲真，当初我是想买沃尔沃系列的SUV，作为我的家用车的，因为我对空间方面的要求还是比较高的，所以选了很多都是不太满意，后面朋友给我介绍这辆MARVELR，说这辆车的空间设计配置绝对满足我的要求，我当初也是就着半信半疑的态度去4S店试驾了这辆车，果真他的空间是真的特别的宽敬，相较于同价位的SUV来说，这辆车的空间配置绝对是顶尖的存在，乘坐空间和储物空间都是非常充足的，再加上外观设计我也特别的喜欢，价格也是比较满意的，就拿下这辆车。,展开全部
"
    发表于  2021-06    

      
        
    
    
",暂时只跑了不到1000公里，我平时上下班纯电开得多，差不多开120公里就得充电。,https://image1.xcarimg.com/attachments/my/1/90/32/819_120.jpg,xuser1913281,三星会员,4.38,外观,4,内饰,4,续航,4,空间,5,舒适,4,动力,5,操控,4,性价比,5,购入信息,爱车车型,购入时间,2021/3/1,购车地点, [江西省],裸车价格,20.25万  (厂商指导价 22.98万),续航里程,325km,购入用途,购物,接送小孩,爱车简评,MARVELR是我买的第5台车，开过很多百万级豪华车，我对车的体验敏感性是很强的，所以我讲的可能比较详细。前面买过福克斯，蒙迪欧，名爵6，英菲尼迪Q50L，买MARVELR这个车的时候已经定了XC90。,爱车评价,[最满意],电车的加速性能和油车的动力从容和谐统一，真是驾驶和乘坐都满意的一台车；空间、车内配置也都符合甚至超越预期；赠送的充电桩装好之后，使用成本相对油车真是约等于不要钱，同时又没有纯电车的续航焦虑，哪儿都能去；作为奶爸车真的很均衡，几乎可以算没有缺点。,[不满意],悬挂很颠，甚至不如h6，有时候下马路牙子时底盘有异响，不知道是刹车还是悬挂的问题。高速各种提示音和警示音让人不爽尤其是娃娃在车上睡觉的时候，这个还不能关（个人比较喜欢凯迪拉克的震腰。电耗高，正常开显示180续航，高速能跑个90公里就不错了。综合120公里是极限不接受任何反驳。然后就是油箱太小，每次加满油满电显示800实际上600不到，出差跑高速要经常进加油站。,[外观],做工挺好的，这个可能是运气。听说有人提车的时候充电盖合得不是很服帖。,[内饰],除了设计感稍微欠缺，用料和实用性真的很满意。整体内饰配色也不错，高级感很足，前排的大屏很有科技感，事实用下来也不错。,[续航],[空间],空间足够，第三排坐170以下的成人毫无局促感，后备箱空间同级别里也算占优势的，很能装。,[舒适],市内通行，关上窗很安静，底盘在快速路上质感很好，坑洼的就没那么舒服了，我全部调成舒适，没开运动模式。高速上符合预期，基本上就是风噪。,[动力],MARVELR最大的优势在于，加速不会突兀，动力回收也不像其他电车那种踩刹车的感觉，很平滑的减速。,[操控],我一直用的运动手感，操控很好。转向很舒服，不输×3更不输XC90。,[性价比],本来想买皓影，结果碰撞成绩大家懂的，后面还想看下CR-V插混，可仔细一想CR-V和皓影不是一回事嘛，再说CR-V插混的配置参数一出来，和MARVELR差得实在有点多，就冒险吃螃蟹了。,展开全部
"
    发表于  2021-06    

      
        
    
    
",这款车续航大概180公里左右吧，没有具体的计算吧，感觉还是非常不错的。,https://image1.xcarimg.com/attachments/my/1/86/08/340_120.jpg,gh1600993949,用户被禁止发言,4.5,外观,5,内饰,4,续航,4,空间,5,舒适,4,动力,5,操控,5,性价比,4,购入信息,爱车车型,购入时间,2021/3/1,购车地点, [安徽省],裸车价格,20.24万  (厂商指导价 22.98万),续航里程,324km,购入用途,接送小孩,自驾游,爱车简评,偶然遥弯到MARVELR汽车的晨厅进去看看，第一印象是就是车还蛮大的，内饰蛮奢华的，只是..它是个电动车，有顾虑，试驾后发现还不错有些种草心痒痒，考虑到5坐车满载真的有些挤，冲动之下换了台新车，俗称奶霸神车。,爱车评价,[最满意],最满意的就是这款车的舒适享受了，内部的空间以及座椅的舒适性都是非常不错的，而且这款车的动力表现的也是非常充沛的。,[不满意],这款车的整体表现还是非常不错的，就是最后排的座椅空间表现的比较一般，而且储物空间设计的比较少。,[外观],外观的造型设计的确实非常的沉稳大气，整个车身的线条比例看上去还是非常协调的，前脸的造型辨识度还是非常高的。,[内饰],中控内饰的整体设计风格我还是比较满意的，做工和用料都不错，而且功能性也特别丰富，就是储物空间设计的不是特别合理。,[续航],[空间],这种类型的车前两排的空间都是非常宽敞的，只不过最后排的空间稍微有一些紧凑，后备箱个储物能力还是不错的。,[舒适],座椅的舒适性我还是很满意的，柔软度和包裹感都特别好，乘坐起来还是非常舒服的，而且这款车的隔音效果做的也是很出色的。,[动力],动力对于我来说是完全能够满足的，这款车的提速表现还是非常强劲的，即使是满载的情况下，动力表现的也是非常充沛的。,[操控],驾驶直管车还是非常轻松的，方向盘的手感还好，指向也特别精准，而且底盘的做工特别扎实，高速驾驶的时候车身的稳定性还是非常不错的。,[性价比],买这款车主要也是因为这款车的颜值不错，外观的造型设计的我特别喜欢，而且作为新能源的车型，这款车算是最令我满意的。,展开全部
"
    发表于  2021-06    

      
        
    
    
",刚提两局，正好赶上冬季，电耗肯定要打折了， 150公里续航，空调加热全开的话，打对折吧，这也在意料之中。,https://image1.xcarimg.com/attachments/my/1/84/88/207_120.jpg,gh1592529053,三星会员,4.38,外观,4,内饰,5,续航,4,空间,5,舒适,4,动力,5,操控,4,性价比,4,购入信息,爱车车型,购入时间,2021/3/1,购车地点, [江苏省],裸车价格,20.23万  (厂商指导价 22.98万),续航里程,323km,购入用途,接送小孩,自驾游,爱车简评,本人的购车意向就是电动汽车，之间也考虑过Model3和ES6，但前者进口价贵且品控差，而后者则预算偏高，所以最终权衡之下选择了MARVELR。,爱车评价,[最满意],颜值十分在线，我觉得开出去的话非常的拉风，而且说实话，之前有开出去，还有贝贝路人问这是什么车子？被别人夸我的车子特别的漂亮，我还是心里很高兴的，回头率非常高,[不满意],就是钢琴烤漆特别容易划伤，虽然说贴了膜就可以解决，但是贴了膜之后，手感又不太好，还有就是这个车门，如果没有点力气的话，就完全关不好，每次都要用力关,[外观],外观就不用谈了，很符合理工男审美，方方正正的，颜色也是没选错，很大气年轻。,[内饰],能摸到的地方基本都NAPA皮，手感一流，T字中控也中规中矩，很唬人哈，用料这块，理想没让人失望。,[续航],[空间],我觉得这个还是挺不错的，不会拥挤，坐在车里感觉很宽松,[舒适],座椅嘛，有些小硬，但坐习惯了还好，据说后排坐着舒服，我只是司机，并没体验过。,[动力],提速很线性，随给随有，并不突兀，动力回收也不错。,[操控],目前来说还算及格，感觉没有大众那种调较舒服，但也并不别扭，可能电子助力不同，有时候有些生硬，并无大碍。,[性价比],当时买车子的时候我也看了很多车子，对比了一下，我觉得非常符合我条件的，就是这款MARVELR，当时虽然没有，马上定下来，但是回去考虑了一下，我觉得买车要买个自己适合的，最后还是决定买它,展开全部
"
    发表于  2021-06    

      
        
    
    
",我目前的能耗是比较低的，是完全可以养得起的，现在就差不多每公里0.3元左右吧，这还是我没有在家里安装充电桩的情况下，如果在家里自己安了充电桩以后，我感觉会更便宜一些，养车成本非常低。,https://image1.xcarimg.com/attachments/my/1/87/31/282_120.jpg,gh1608622865,三星会员,4.5,外观,4,内饰,5,续航,4,空间,5,舒适,4,动力,4,操控,5,性价比,5,购入信息,爱车车型,购入时间,2021/3/1,购车地点, [浙江省],裸车价格,20.22万  (厂商指导价 22.98万),续航里程,322km,购入用途,购物,接送小孩,爱车简评,我满意的当然是这款车环保，行驶质感好，安静舒适，用上了就不想开油车了，但是电车还不能解决快充问题，现在只有MARVELR最香了,爱车评价,[最满意],满意的地方有很多，首先我感觉这款车看起来非常的舒服，他的动力非常的好加速感觉非常平滑，行驶起来也是很稳定的，然后操控这款车的感觉就非常好，然后就是他的空间比较大，三排的空间布局设计都非常的合理，还有最满意的肯定少不了颜值，可以这样说，关注这款车有很大一部分的原因都是因为这一款车比较帅气和时尚的颜值，毕竟你接触到一件新事物，最早就是接触到他的外观，他的前脸给了我眼前一亮的感觉，车身的线条又给我一种比较美的享受，然后他车的烤漆也是恰到好处，感觉就有一种不一样的气质就在吸引着我。,[不满意],目前这一款车的智能系统还不算特别的完善，这一点我在刚使用他的智能系统的时候，我都已经比较明显的感觉到了，尤其是它的自动步车，因为是比较常用的，所以很早就感受到了，总是那么不舒服，还有就是语音助手和软件也都没有那么好用他的智能系统感觉做的还是有一点问题的，并没有跟得上时代的步伐，所以我还是希望他能够在这一方面做到更好一点吧，其实在这一方面可能也是比较容易被忽略的一部分，但是我还是希望智能系统做的好一点，也方便了每一位车主。,[外观],外观是很帅气的，感觉外观很有辨识度，是我喜欢的那一种类型，其实萝卜青菜各有所爱，自己喜欢的就是最好的。,[内饰],车子的内饰是看起来比较有科技感的，主要体现在总共才那一篇，前面总共4个屏幕，看起来真的是很有科技感，整体的内饰风格看起来真的很不错。,[续航],[空间],空间是非常大，而且车内的利用率非常的高，感觉他的这个布局真的是太舒服了，感觉非常合理，没有任何不满意的，本身的空间又大，空间的布局也很合理，就非常舒服了。,[舒适],舒适星座的很棒，就算是在一些细碎和刻画的层面，也不会感觉到颠簸，感觉他的悬挂表现很好，还有它的空调温度分区控制，给我的感觉就非常的实用，而且可以在一定程度上提高车内的舒适度。,[动力],动力给我的体验是非常好的，因为他是混动的，在起步加速的时候用纯电动都感觉起步非常的快别看这一款车体型挺大，但是它的动力很强劲，开起来不会有很肉的感觉，动力输出很好。,[操控],我本来还是挺担心这一款车的操控的，因为这一款车的体型确实是比较大，我最近还没有开过这么大体型的一款车，但是最后发现这一款车还是比较容易去操控的，它的方向盘也是比较轻的，比较灵敏，比较精准，没有任何虚位，开起来很舒服。,[性价比],MARVELR这款车外形高端大气，省油，绿牌不限号，动力，配置都挺好，支持国产,展开全部
"
    发表于  2021-06    

      
        
    
    
",续航方面很强，能加油的电动车，完全不用顾虑续航的问题，现在电耗大概是百公里平均20吧，车子基本都没怎么加过油，现在显示的是6.7，除非是跑高速长途的时候，不然都很少机会用到油。,https://image1.xcarimg.com/attachments/my/1/90/32/796_120.jpg,xuser1913279,三星会员,4.38,外观,4,内饰,4,续航,5,空间,4,舒适,4,动力,5,操控,4,性价比,5,购入信息,爱车车型,购入时间,2021/3/1,购车地点, [云南省],裸车价格,20.21万  (厂商指导价 22.98万),续航里程,321km,购入用途,购物,接送小孩,爱车简评,选车的时候就是追求空间要比原来车大-些（以前用的紧凑型SUV），动力要好一些（原来2.0自吸CVT确实肉）。品牌没什么太大追求，过了那个追求品牌的年龄了（说白了就是穷）。,爱车评价,[最满意],首先这台车的配置是非常的高的，比较智能化，基本上你能想到的配置都有，而且主动安全的配置也是很齐全，在行驶过程中会非常的安心，而且空间也足够大，基本上你有东西往里塞就是了，它都能装得下，这台车子在行驶的过程中真的是无比的安静下，基本上是听不到任何的杂音的，隔音效果做得也非常好，因为是增程式电动汽车，所以在里程方面也是完全不用担心的，这一点我还是非常满意的，以后跑长途也是轻轻松松的。,[不满意],不满意的就是这个语音系统了，有时候在听歌的时候，我也没有任何指令，它就自动唤醒了，希望以后厂家可以的话就升级一下车机系统吧，因为车子结构的云因没有备胎，万一遇到爆胎的情况真的是很麻烦，虽然配备的补胎工具还是挺多的，但都不比换一个备胎要来得方便吧。,[外观],首先外观十分的霸气，车子很大，看起来就相当的大气，而且外观的细节处理得很好，又略带一点优雅，车灯的设计是这台车的亮点之一，环形的日行灯，真的在街上是独一无二的，很凸显高级感，尾灯也是采用了贯穿式的设计，虽然这种设计比较普遍了，但是跟日行灯搭配起来还是有仪式感的。,[内饰],内饰也是这车的一大亮点，简直不要太豪华啊，奔驰的内饰是朴实的豪华感，而MARVELR是先进的豪华感，各种高科技，四块大屏幕科技感十足，而且全车几乎都是真皮包裹，你能摸到地方都是软的，这个价格值了。,[续航],[空间],空间是MARVELR的特点，真的是在里面想怎么坐就怎么坐，不用说还有几拳距离几指距离，你直接去骚图片你就知道了，坐在里面真的随心所欲，还有后备箱的空间也是很满足我们家庭的需求，一般出游我们都会带好多行李，现在有了MARVELR完全不用担心行李会装不下的问题了。,[舒适],舒适性不错，基本没有什么噪音，会听到一点风噪跟路噪，乘坐的舒适性也非常好，完全达到这个级别的水准，而且座椅还有座椅加热跟座椅通风这两个功能，无论是冬天还是夏天都不用担心。,[动力],MARVELR的点电门调校跟大排量的仔细车很像，跟家里的雅阁没什么区别，响应、反馈也是非常的快，动力十足，加速也是比较平稳的，跟很多电动车不一样，一般电动车在加速的时候会有点很突然的感觉，就显得不平稳。而且还配备电动四驱系统，任何路段都不用担心,[操控],四种的驾驶模式，在操控上也带来了非常多的乐趣，运动模式下，整台车变得更加激进，刹车跟油门也变得更加灵敏了，方向也变得比较沉，在舒适模式下呢，就变回原来的舒适感了，方向也特别轻，很适合在城市开，慢慢的欣赏这繁华闹市。,[性价比],自从MARVELR在PPT造车阶段我就一直在关注，直到上市，我觉得就是它了，工科男MARVELR座驾，横平竖直，低调但不失特色，不过出于小心，还是继续观望，毕竟新势力第一部车，问题不会没有，能否适宜改掉，就要看车企功力了。,展开全部
