publish,标题,图片,名称,名称1,评分,评分2,评分3,评分4,评分5,评分6,评分7,评分8,评分9,评分10,评分11,评分12,评分13,评分14,评分15,评分16,评分17,标题18,信息,信息19,信息20,信息21,信息22,信息23,信息24,信息25,信息26,标题27,purpose,purpose28,标题29,jia_text,信息30,dw_22,dw_2231,dw_23,dw_2332,dw_1,dw_2,dw_133,dw_234,dw_3,dw_335,dw_4,dw_436,dw_5,dw_537,dw_6,dw_7,dw_738,dw_8,dw_839,openall
"
    发表于  2021-03    

      
        
    
    
",2.0的排量表现还不错，高速开140码绰绰有余的，还能再加，速度表现不错,https://image1.xcarimg.com/attachments/my/1/89/04/077_120.jpg,xuser1900407,三星会员,4.38,外观,5,内饰,4,空间,4,舒适,4,油耗,4,动力,5,操控,4,性价比,5,购入信息,爱车车型,购入时间,2021/2/1,购车地点,甘肃宝瑞德汽车服务有限公司 [甘肃省],裸车价格,25.3万  (厂商指导价 27.38万),当前油耗,7.3L/100km,购入用途,购物,接送小孩,爱车简评,要说最满意的就是这辆车的外观和价格了，现在开出去走到街上回头率挺高的，应该说比较吸引人吧，至于价格，讲到特别亲民，同等价位能有这么丰富的配置我已经很满意了，所以说这台车让我比较满意。,爱车评价,[最满意],车子设计我比较的喜欢，尚品家老款这一款新的更加的年轻，更加的活力四射,[不满意],这不满意的应该就是它的减震方面了吧，车内的舒适性还是有一些欠缺的，尤其是过节次来的时候，抖动感还是比较的强烈,[外观],[内饰],车子外观确实好看，黑爵这版本19寸大轮毂配上全景天窗，配置挺不错的了,内饰一眼看过去算不上豪华，但是越看越觉得她有非常高的内涵，质感非常不错，很细腻，舒服，车内也没有什么异味,[空间],车内的乘坐空间是挺宽敞的，后排可以放到平时累了还可以睡人,[舒适],这款车子减震方面有一些不足，过一些减速带和坑洼路段的震感还是比较的强烈，车内的乘做体验也是会大大下降了,[油耗],油耗的表现还可以接受吧，平时开区也是比较温柔的，目前感觉还是有一点高，不过首保之后肯定还能再降,[动力],[操控],整辆车开起来不敢说，还是挺不错的，方向盘的手感力道刚刚好，不轻不重，感觉还好,[性价比],当时预算也就20到25万之间，想买一款家用的cSUV，空间，舒适性方面，油耗方面都是我比较在意的地方，最终也是看了很多款车，做了许多的取舍，选择了这款本田CR-V首先他的空间容量确实不错，其次车内的舒适性和油耗表现也还可以，接受本田的品牌，我也比得认可，就迫不及待的入手了,展开全部
"
    发表于  2021-03    

      
        
    
    
",动力的表现非常的强劲。起步的时候就能感觉到很用力的推背感，高速的时候加速性能也很出色，超车十分轻松。,https://image1.xcarimg.com/attachments/my/1/89/04/070_120.jpg,xuser1900407,三星会员,4.63,外观,5,内饰,4,空间,4,舒适,4,油耗,5,动力,5,操控,5,性价比,5,购入信息,爱车车型,购入时间,2021/2/1,购车地点,新疆今宝汽车销售服务有限公司 [新疆省],裸车价格,25.29万  (厂商指导价 27.38万),当前油耗,7.3L/100km,购入用途,接送小孩,自驾游,爱车简评,我最满意的就是它的外观，这款SUV一眼看过去非常有运动感，充满了大气时尚，而且还有一种沉稳的感觉，同时又显得很年轻。,爱车评价,[最满意],最满意的就是这辆车的驾驶品质非常的出众。不管是动力的输出，还是方向盘的调校都是那么的恰到好处，驾驶起来游刃有余。,[不满意],不满意的就是内饰的设计少了一点现在流行的元素。尤其是中控屏的尺寸较小，使用起来不太方,,[内饰],,日系车的内饰都不怎么好看，更多的偏向家用的设计。按钮式换档节约了中控的空间，看起来十分的简洁。用料上还是挺不错的，大面积的软材料提升了整体的质感。,[空间],本田的空间表现没得说，作为一辆SUV绝对够用。不管是前排的视野，还是整体乘坐空间都可以满足一家人的正常出行。,[舒适],车辆的隔音效果非常好，几乎听不到任何的噪音。宽大的座椅造型和软硬合适的座椅材料，让我乘坐起来非常的舒适。,[油耗],作为混动版的车，油耗一直是它的主要卖点。我几乎都在市区用车，现在的综合油耗一直在5.5升左右，还是挺给力的。,[动力],[操控],方向盘的指向十分精准，手感稍微重一点，对路感有非常好的回馈。四驱系统增加了车辆的抓地效果，尤其是在湿滑路面行驶的时候很有信心。,[性价比],作为我人生的第一辆车，在选择的时候还是考虑了很多方面的因素。最后选择CR-V，主要因为它的品牌让我非常的信任。而且混动版的动力表现和操控也让我这个新手上手很轻松。在对比了配置之后，还是入手了顶配的车型。,展开全部
"
    发表于  2021-03    

      
        
    
    
",今年北京下了挺多场雪的，每当天气不好的时候，都不想出去上班，买了车之后，出门上班碰到恶劣天气，这个动力也是轻松拿下,https://image1.xcarimg.com/attachments/my/1/89/04/058_120.jpg,xuser1900405,三星会员,4.63,外观,5,内饰,4,空间,4,舒适,4,油耗,5,动力,5,操控,5,性价比,5,购入信息,爱车车型,购入时间,2021/2/1,购车地点,包头中晟汽车销售服务有限公司 [内蒙古],裸车价格,25.28万  (厂商指导价 27.38万),当前油耗,7.3L/100km,购入用途,购物,接送小孩,爱车简评,最满意的就是这辆车的空间，对于一个有二宝家庭来说，这个空间是完全能够满足家用的。,爱车评价,[最满意],买车之后最怕后悔了，想要的配置，后面要再加装的话，那真的是太麻烦，所以提车的时候跟老婆商量一下直接提顶配，这个选择还是很正确，多的抬头显示在驾驶过程中还是比较直观的，还有驾驶位的记忆功能和全车加热功能，晚上眼老婆偶尔出去夜宵的时候，提前把加热功能打开，还是比较得劲的，后排说是用来商务空间和舒服感也是完全没问题的,[不满意],语音识别控制的话，我觉得功能还是有点太少了，设计师在科技化这方面还需要学习一下,[外观],[内饰],年轻了不少，虽然在我心目中冒险家的外观真的是无敌，但是CRV也不差，特别是这19寸的大轮毅，帅呀,用料是真的很不错，座椅的功能配置也是还可以的，在北方我也用不上什么通风的功能，就是多媒体的话，我觉得科技智能化程度比较一般了,[空间],本田在空间方面的称号不是徒有虚名的，为我之后的宝宝出生做准备，现在空间用途最多的就是我老婆的购物车,[舒适],全车的真皮座椅，后排多的控制多媒体和加热功能，真是早买早享受，朋友都喜欢坐我的车出去,[油耗],九点多真的不高了，也挺冷的，车内功能经常开，空调也没闲着,[动力],[操控],多的车侧影像我觉得很不错的，有时候我坐在副驾驶也享受一把，能够比较轻松的让我老婆开车，因为操控比较简单,[性价比],之前跟朋友去首钢那边玩的时候，路上看到一辆林肯冒险家，太帅了，满眼的羡慕，也想拥有一辆，奈何想要的车款的价格不是我等负担得起，好吧，只能回归现实，最后在马自达CX-5和本田CRV里面纠结，还是选择了老朋友本田，这种熟悉感和安心感，别的品牌真的给不了，日常奔波已经很累了，买车这就任性一把，要提就提个顶配,展开全部
"
    发表于  2021-03    

      
        
    
    
",动力没得说，1.5t的机器一点没有小马拉大车的感觉，配上cvt变速箱也没有拖后腿，真心可以了，这个动力，随叫随有，超过四干转踩到底就没有太大感受了，有时候我愿意踩到6000转，vtec的声音有点上头！,https://image1.xcarimg.com/attachments/my/1/89/04/052_120.jpg,xuser1900405,三星会员,4.38,外观,4,内饰,4,空间,4,舒适,5,油耗,5,动力,4,操控,4,性价比,5,购入信息,爱车车型,购入时间,2021/2/1,购车地点,东风本田汽车和兴特约销售服务店 [内蒙古],裸车价格,25.27万  (厂商指导价 27.38万),当前油耗,7.3L/100km,购入用途,接送小孩,自驾游,爱车简评,前脸挺好看的，设计的很时尚，日行灯挺漂亮的，增加安全驾驶系数，侧面也不错，屁股就见仁见智了。安个尾翼后杠好很多，不多说，车无完车。,爱车评价,[最满意],本田的品质让我信心满满，特别是本田发动机，应该是这价位里最靠谱的了。,[不满意],最不满意当然是东风本田的做工了，买来没开多久就有异响，一直困扰我很久才去店里解决的，好在很好查找音源，可能店里的师傅也习惯了，也都知道哪里的问题了，其次就是噪音，太大了，噪音大廉价感就很明显，跑起来120km/h车里嗡嗡的，这点受不了啊，我准备到时候换个胎,[外观],[内饰],外观这东西因人而异吧，我觉得一般，媳妇觉得很帅，刚买了出了新款就变得帅气了，我喜欢黑武士版本的，正打算给贴个改色膜了，估计变个颜色会更加帅气吧，我觉得这东西无所谓！,内饰很是一般般，东风本田造车就没把心思放在车内，还不如雅阁内饰精致了，空调调节雅阁特别棒，怎么也不给crv配上呢，价格贵了东西反而没变好，这点无法理解，屏幕有点小，导航不好用..……,[空间],我身高176厘米，前排头部和腿部空间非常宽裕，后排空间十分宽敞。久坐也不会累。而且车子的高度完全够用，空间非常的宽裕，前排座椅空间宽敞，后排可以翘起腿。视野宽。后排放三大箱物品没问题，前排驾驶员扶手里的储物空间也很大。日常的物品绰绰有余。,[舒适],舒适型差了点，主要是噪音大廉价感就很明显，跑起来120km/h车里嗡嗡的，这点受不了啊，我准备到时候换个胎,[油耗],8.5个油确实很省油，这点没得说，我觉得suv能到这个水平的不多，都赶上油电混合的车了，这个本田发动机确实可以！,[动力],[操控],操控可以，可以给它个四颗星，毕竟是suv，能有这么出色的运动型已经是不错的事情了，对它不能要求太多.……,[性价比],家里有孩子，还是决定要买一辆实在的车子，本田虽然算不上什么豪车，但一定是一辆好车，上下班还能顺路接送孩子，也不用在意下雨怎么办，会不会淋湿孩子，坐公车能不能挤得上去，就是想买一辆实用的车子，选来选去，还是本田Crv比较适合我的要求。,展开全部
"
    发表于  2021-03    

      
        
    
    
",车子的动力方面我觉得够用了，我对于动力方面要求不是特别高，这款车的动力在起步的时候感觉还是肉了一点。后半段的动力就很给力了。,https://image1.xcarimg.com/attachments/my/1/89/04/046_120.jpg,xuser1900404,三星会员,4.5,外观,5,内饰,5,空间,5,舒适,4,油耗,4,动力,4,操控,4,性价比,5,购入信息,爱车车型,购入时间,2021/2/1,购车地点,大连嘉和润诚汽车销售服务有限公司 [辽宁省],裸车价格,25.26万  (厂商指导价 27.38万),当前油耗,7.3L/100km,购入用途,接送小孩,跑长途,爱车简评,最满意当然是空间了，超大的后排空间，比奥迪a6还大，视野也不错，乘坐起来还算可以，同级应该没有比这个更大的了，储物空间也很多，各种地方都很能放东西，尤其中央扶手箱……,爱车评价,[最满意],最满意当然是空间了，超大的后排空间，比奥迪a6还大，视野也不错，乘坐起来还算可以，同级应该没有比这个更大的了，其次就是经济性，油耗表现很突出，动力也很强劲，平时开车很随性，油耗并没有太高,[不满意],整体表现都非常不错，要说不满意可能就是我个人觉得他的胎噪声音过大了一点。,[外观],[内饰],车子的外观给人的感觉就是特别的耐看，特别大气，要不然这辆车子也不可能卖的这么好，整个车子给人的感觉就是蛮英俊的。辨识度也很高。,车子内饰的整体设计还是非常的精致，非常合理的，虽然说不上特别豪华吧，也没什么太大的亮点，但是用起来其实还可以。,[空间],车子的空间真的非常不错，坐在哪个位置上都非常的舒服，我1米78的身高调整好座椅之后坐在车子里真的是很宽松，一点也不会受到影响。,[舒适],车子座椅的舒适性真的不错，坐在上面感觉支撑性包裹性都很好，不管是高矮胖瘦坐到车上都是比较享受的，然后车子隔音做的有待加强。,[油耗],车子有和7.8个左右，总体来说还不错，也不算是太高的油耗，油耗方面控制的的确是挺优秀的。,[动力],[操控],车子操控起来手感舒服，转向变道很灵活，作为新手来讲也是可以随心所欲的驾驶的，感觉事业上比较好，车子底盘也很扎实，开起来不会太发飘。,[性价比],因为媳妇喜欢suv这种造型，家里又有了轿车，所以当时摇下号的时候很默契的选择了suv，从福特锐界，荣放，再到领克01，最后看到了crv，媳妇说这个空间大，确实同级空间很大，所以选择这款！,展开全部
"
    发表于  2021-03    

      
        
    
    
",我觉得这个马力还是十分充足的，起步的时候平稳线性动力输出的连贯性很棒，这一点确实比汽油强,https://image1.xcarimg.com/attachments/my/1/89/04/043_120.jpg,xuser1900404,三星会员,4.38,外观,5,内饰,4,空间,4,舒适,4,油耗,4,动力,5,操控,5,性价比,4,购入信息,爱车车型,购入时间,2021/2/1,购车地点,辽宁兴路汽车销售服务有限公司 [辽宁省],裸车价格,25.25万  (厂商指导价 27.38万),当前油耗,7.3L/100km,购入用途,购物,跑长途,爱车简评,买车之前看了好多款，最后选择他就是觉得他能给我安全感，而且车子的销量也足以证明这辆车子的质量保值率也是非常的不错。,爱车评价,[最满意],车子让我满意的地方还是很多的，首先从它的外观来说就非常的时尚大气，然后内饰的设计是非常的整洁沉稳，车子的空间也是非常大的。,[不满意],觉得这个车子的，倒车影像不是特别好，在晚上的时候像素挺渣的，中控屏看着大，又像是头脑发达，四肢简单的那一种，反应极慢，能够操作的地方也比较小,[外观],[内饰],我觉得车子是属于那种非常时髦大气的类型，尾灯的设计越看越喜欢，挺有档次的，感觉像一骑绝尘，留下一个唯美的背影一样,车里面的装饰我觉得还算是挺可以的了，不好也不差，说不上特别大的亮点，但是也说不出特别大的缺点，整体塑料感强了一些，而且车其反应也比较慢,[空间],车子内部我觉得还是十分宽敞的，我坐在前排，我觉得也挺宽松的，后排也还可以放倒，能够装比较大件的东西，很是不错,[舒适],在车里面，我觉得还是挺惬意的，车子对于外面噪音的隔绝还是做的比较到位的，几乎是可以忽略掉那些烦人的噪音,[油耗],这是让我最省心的一个点了，混动的油耗果然是不是盖的真的是省,[动力],[操控],我觉得这个车子开起来的感受是比较轻松的，ACC挺不错的，还有车道保持功能，城市开着的感觉就是好线性的油门和刹车，还有离合踏板的脚感都不会模糊,[性价比],虽然之前开的也是日系的车子，这一次看车子的话，也想换一种口味的，但是去去看了德系的车子，底盘调校的比较好，但是这个车子的外观又比较的中庸，看上去没有什么亮点，跟朋友一起去看的车子，朋友也给我很多参考的建议，最后我觉得还是选择日系车子，一个是开来也习惯，还有一个是日系的车子，比较节省油，在这方面我觉得能够节省开支还是非常不错的，心里能够有比较大的，放心，而且自己车子开下来的话也比较的敢踩油门,展开全部
"
    发表于  2021-03    

      
        
    
    
",配置的发动机，我觉得它尽最大的努力把所有的动力都发挥出来了，在城市，四驱的可能会有点没有用武之地，总之舍得给油就没问题,https://image1.xcarimg.com/attachments/my/1/89/01/065_120.jpg,gh1617151960,三星会员,4.5,外观,5,内饰,5,空间,4,舒适,4,油耗,4,动力,4,操控,5,性价比,5,购入信息,爱车车型,购入时间,2021/2/1,购车地点,吉林时利和汽车销售服务有限公司 [吉林省],裸车价格,25.24万  (厂商指导价 27.38万),当前油耗,7.2L/100km,购入用途,上班,接送小孩,爱车简评,满意的地方，我还是车子油耗是特别的不错的，这个油耗的数值相当的省油，我觉得车子百公里下来五个点，还是算比较不错的了,爱车评价,[最满意],从悦翔到CRV，空间有了质的飞跃，加上现在年龄到了，褪去了小年轻人那种青涩，这种沉稳大气，稍微带点商务的车才比较适合我，造型和线条都非常的流畅，现在可以省心很多了，之前的车隔段时间就出现点小毛病，保养和不断的修车费用，真是费了很大的心，现在这些问题彻底解决了，这两个月基本没毛病，口碑好，我看开到小朋友上大学不成问题,[不满意],抬头显示到晚上会有点看不太清，数据有点模糊，其他没问题,[外观],[内饰],前天看上去比较复杂一些，不过组合在一起非常的流畅，19寸的轮毂可不是每辆车都有，霸气大脚,抬头显示方便是方便，就是到晚上有点模糊，还有语音能控制的功能太少,[空间],总比我之前的悦翔好太多吧，跟邻居的皓影比起来也差不多，头顶空间大了很多，像原来坐在后排的话挤一挤是需要低头,[舒适],记忆功能能确保你每次上车都是最佳姿势，不用在开车过程中费力调整,[油耗],配置太多，前一个月还不太熟悉，而且基本在武汉市区，路况偶尔还是挺麻烦的，九点多油,[动力],[操控],方向盘比我想象中大一点，还好我的手也比较大，操作起来无压力,[性价比],见证了隔壁邻居三个月内领到驾照，并且立即购买了一辆本田皓影，看着我的小悦翔，越发不得劲，心里一直在盘算着换车，家里成员多，能省则省，但是我这里说的省，是后期保养，还有油耗这方面，不能为了一开始购车的费用而放弃后期长线保养费用，不贪多，只求好，家用车嘛，舒服就好，而且最好保值率要高，CRV是家用车榜首，看邻居的皓影开的也不错，本田还是靠得住，CRV提回来全家都满意,展开全部
"
    发表于  2021-03    

      
        
    
    
",动力还行、毕竟是个四驱、高速超车无压力、总 而言之、舍得加油、五菱动力都不会弱、看你怎 么开,https://image1.xcarimg.com/attachments/my/1/89/04/034_120.jpg,xuser1900403,三星会员,4.5,外观,5,内饰,4,空间,4,舒适,4,油耗,4,动力,5,操控,5,性价比,5,购入信息,爱车车型,购入时间,2021/2/1,购车地点,长春市成捷汽车销售服务有限公司 [吉林省],裸车价格,25.23万  (厂商指导价 27.38万),当前油耗,7.2L/100km,爱车简评,,,爱车简评,空间大，省油，适合家用，城市代步很好。品牌力强。整体感觉很不错。价格也不贵，后期保养便宜。后期出手保值率高。保有量大。,爱车评价,[最满意],外观设计风格年轻时尚、加上19寸大轮毂整体给人感觉非常大气,[不满意],1、做工太粗糙，缝隙太大！尤其后备箱！仔细看左右两侧缝隙大小还不一样！2、新车味道大，现在是冬天，味道散不出去，熏的脑袋疼！绝对是甲醒！3、噪音太大了，我的天，对于20万这个价格区间来说发动机的噪音本田敢说第二，别人绝对不敢称第一，这车无论冷车还是热车发动机的哒哒声都很大！,[外观],[内饰],车子的外观设计还是比较时尚的，我个人来说比较喜欢这台车子的外观设计，尤其是车子前脸的进气格栅设计，感觉看上去特别的霸气，而且车身流畅的线条设计，也是要给这台车子整体也是要加分不少的。另外这台车子的比例控制的是比较完美的，远远看上去这台车子比较匀称，整体并没有多大的突感，这给我带来的视觉体验还是挺不错的。,我个人觉得这台车子的内部设计有些过于简单了，虽然说车子买回来是要作为家用的，但是我个人来说是比较喜欢那种看上去精致一些的内部设计的，这样简单的内部设计总是给我带来一种莫名的廉价感。不过车子内部的中控屏幕还是挺讨人喜欢的，主要是中控屏幕的反应比较迅速，整体给我带来的使用体验感是挺优秀的。,[空间],空间足够了、对于家里有车的来说真的可以、储物空间的话还行、毕竟本田有个魔术空间、,[舒适],在他车子给人带来的舒适性还是比较高的，首先车子的减震设计的比较优秀，我平时开着这台车子，不管是走什么样的道路，坐在车子里面都没有多大的颠簸感。这一点对于车子上经常坐老人和小孩儿的家庭来说还是比较友好的。其次就是这台车子的隔音设计的比较完美，我平时坐在车子前排开车的时候，不管车子本身的速度如何，我坐在车子前排，几乎就没有听到过有什么来自车外的噪音存在。坐在车子里面相对来说是比较安静的，而且前后排之间可以无障碍的去进行交流。再加上这台车子的多媒体音效设计的是比较优秀的，平时一个人开车无聊的时候可以放上几首比较流行的歌曲来听听，这也是一件挺享受的事情。,[油耗],目前这台车子的平均油耗已经稳定在9.1升每百公里了，我个人对于车子现在这个油耗量还是挺满意的。我当时买车的时候，本来以为这么大的一台车子平均油耗量怎么也要10个以上呢，没想到这台车子的平均油耗才9个左右，车子的这一点确实是挺让人惊喜的。而且要知道车子买回来之后，我一直都是在市区里面来回的开开很少出远门，大多都知道失去里面开车有好两要稍微的高上那么一些，所以我认为这台车子能够把油耗量稳定在9个左右已经是挺不容易的了。,[动力],[操控],方向盘操控性准确、指哪打哪、就是个人觉得方 向盘有点大、360度摄像头很不错,[性价比],我当时选择这台车子是因为看中了车子的外观设计，我认为这台车子的外观设计的比较优秀，而且非常符合我的审美标准。另外再加上这台车子的价位设计的是比较合理的，刚好在我的预算之内，所以我当时就选择了这台车子。,展开全部
"
    发表于  2021-03    

      
        
    
    
",我买的是四驱动力十足开着也舒服在下雨下雪几 乎影响不到车的动力,https://image1.xcarimg.com/attachments/my/1/87/48/358_120.jpg,伊莲贝儿尤,三星会员,4.63,外观,5,内饰,4,空间,5,舒适,5,油耗,4,动力,4,操控,5,性价比,5,购入信息,爱车车型,购入时间,2021/2/1,购车地点,东风本田汽车尊跃特约销售服务店 [黑龙江省],裸车价格,25.22万  (厂商指导价 27.38万),当前油耗,7.2L/100km,购入用途,上班,购物,爱车简评,最满意当然是空间，够大，一家人出行也够用，后备箱还能装，其次视野好，LED大灯及自适应灯光挺好，很方便，cvt变速箱几乎无顿挫感够舒适，油耗可以接受，不挑食，92的粗粮就能养活！,爱车评价,[最满意],空间大油耗低而且价位合适很适合年轻家里人多 的购买车子外边也美观大气,[不满意],噪音大内饰简单没有美系那么好再开高速隔音效 果不是特别好都能听到打地盘的声音,[外观],[内饰],外观大气霸气十足看着特别舒服我买的是四驱黑 爵士更适合年轻男孩的选择,内饰实用简单大气而是设计特别合理真皮座椅而 且安全系数也特别高全车7个安全气囊,[空间],空间利用率特别好相比其他SUV空间特别大而且 这款日系车是其他车所没有的布局,[舒适],舒适型是最可以提的后排放下就是一张大床特别 适合短期郊区旅游空间利用率也特别大,[油耗],日系车本来就省油所以本田CRV在油耗方面也没 得说对有车一族来说特别合适就是油箱稍微小点 要不加一次油会用更久,[动力],[操控],操控简单易上手而且也特别方便和其他车一样中 规中矩不用胆心上手难,[性价比],买车前横向对比了一下，目标是20万左右的合资suv，考虑过奇骏、rav4、欧蓝德、探岳，奇骏技术老，内饰丑，并且马上要换代了，重要的是换代后外观奇葩，分体式大灯！杀马特有木有，rav4大彩电，设计师你长心了吗？还有那两个大旋钮！跟俩大萝卜似的？我多大的手啊？欧蓝德费油，技术更老！探岳不错，优惠也大，但感觉外观有点太稳重了！不太适合像我们这种上班族！感觉它更适合创业者！所以横向一对比，唑子里面拔大个！就crv突出一点，11月份定的车， 12月12日提的车。等了快一个月我的天！,展开全部
"
    发表于  2021-03    

      
        
    
    
",起步会肉一些，中段加速挺快的，超车没压力，加速也很线性，很匹配家用定位错,https://image1.xcarimg.com/attachments/my/1/89/04/021_120.jpg,xuser1900402,三星会员,4.63,外观,5,内饰,5,空间,4,舒适,4,油耗,4,动力,5,操控,5,性价比,5,购入信息,爱车车型,购入时间,2021/2/1,购车地点,河南鑫港源汽车销售服务有限公司 [河南省],裸车价格,25.21万  (厂商指导价 27.38万),当前油耗,7.2L/100km,购入用途,接送小孩,自驾游,爱车简评,内部还是十分阔气的，我觉得车子容量还是非常不错的，尤其是它的储物空间,爱车评价,[最满意],要说最满意的地方的话，我这个人是比较注重实用的，我觉得这个车子的空间还是十分的，阔气的用起来也是非常的舒心，坐在车里面的好感还是特别棒的，而且它的后备箱大大的开口也是一点都不小，放得下好多东西,[不满意],车漆太薄了，随便磕磕，分分钟掉漆，车机不是很好，自改carplay后体验满分，发动机噪音确实会大一些，整体能接受，打开音乐能盖过去，别的都挺好的，没有想象中的省油，能接吧,[外观],[内饰],燃油版黑爵士，很好看，如果原厂大灯重黑等那就更完美了哈，不过现在也很好看,整体做工可以，该软的都是软的，也很耐看，就是车机不是很满意,[空间],储物空间够用，后备箱很大，乘坐空间让人满意，我一米八九的个头，毫无压力，媳妇165可以轻松跷二郎腿，腿部，头部空间非常充足，而且车内横向也很宽敞，舒适度很好的,[舒适],乘客会很舒适，后排有独立出风口，横向空间，腿部空间和座椅支撑及柔软度都挺好的,[油耗],说实话没想象中省油，目前差不多4000km，综合8.7左右,[动力],[操控],整体来说很不错，方向盘握感，指向和刹车都挺得心应手，让人开着比较有信心,[性价比],当时选车的时候，我个人也比较纠结，当时第一一下看中的是马自达的阿特兹，但是我觉得那个车子的后排空间还是稍微小了一点，后面就放弃了，也没下文了，后来就看了，比较新一点，上市的本田crv，我觉得这个车子的空间还是挺不错的，因为suv，然后他相对来说消耗的话也比较低一些，这两点我觉得还是十分实用的，最后还是买下了它,展开全部
