publish,图片,名称,名称1,评分,评分2,评分3,评分4,评分5,评分6,评分7,评分8,评分9,评分10,评分11,评分12,评分13,评分14,评分15,评分16,评分17,标题,信息,信息18,信息19,信息20,信息21,信息22,信息23,信息24,信息25,标题26,purpose,标题27,jia_text,信息28,dw_22,dw_2229,dw_23,dw_2330,dw_1,dw_131,dw_2,dw_232,dw_3,dw_333,dw_4,dw_434,dw_5,dw_535,dw_6,dw_636,dw_7,dw_737,dw_8,dw_838,openall
"
    发表于  2021-11    

      
        
    
    
",https://image1.xcarimg.com/attachments/my/1/91/62/913_120.jpg,xuser1926291,三星会员,4.25,外观,4,内饰,4,空间,4,舒适,5,油耗,4,动力,4,操控,5,性价比,4,购入信息,爱车车型,购入时间,2021/3/1,购车地点,延安新易达汽车销售服务有限公司 [陕西省],裸车价格,23万  (厂商指导价 24.97万),当前油耗,8L/100km,购入用途,上班,爱车简评,这辆车的底盘在软中略微带了些厚重，很擅长化解坑洼路面带来的颠簸，座椅舒适，配置也比较高。,爱车评价,[最满意],这台车子留给我印象最好的地方当然是在本身的驾驶体验上面了，动力表现很出色，底盘也非常扎实，可以说本身真的...,[不满意],这台车子的燃油经济性还是比较一般，目前的综合油耗也已经在10个左右了，虽然说享受到了非常出色的动力，但所付...,[外观],最有看点的一定是它的外观了，悬浮式车顶使得它的侧身造型看起来紧凑而又有动感，车身多处的镀铬饰条也体现出了一定的高级感。,[内饰],外观风格比较运动一些，但内饰呈现出的是一种非常沉稳大方的感觉，再说用料和做工也都是非常到位的。,[空间],尺寸大，空间利用率非常高，因此在保证了宽敞的乘坐空间的同时丰富的储物空间用起来也很方便，包括后备箱也一点都不小。,[舒适],真皮方向盘的手感特别棒，完全没有必要缝方向盘套，而且座椅也很符合人体工学，我的驾驶位还有腰部支撑功能，跳上去整个人感觉还挺放松的。,[油耗],我平时开车确实不那么温柔，但这辆车的油耗也是真不低呀，现在的平均油耗都在10个左右了，反正是超出了我的预期。,[动力],因为我对动力的要求会比较高一些，所以说当时直接也就选择了1.8T版本，这台车子实际的动力表现也确实很棒，有着很强的动力爆发性，也有着充足的动力储备。,[操控],这台车子带给我们的驾驶体验还挺可以的，尤其是本身的底盘真的是非常给力的，而且车内的辅助性操控配置也比较丰富，全速自适应巡航系统也能让人开车更省心一点。,[性价比],小众才个性，这辆车在各个方面都很符合我的气质，重点是它的价位也没有想象中的那么高，我觉得标致4008部比同级别的其他车差。,展开全部
"
    发表于  2021-11    

      
        
    
    
",https://image1.xcarimg.com/attachments/my/1/91/62/911_120.jpg,xuser1926291,三星会员,4.38,外观,5,内饰,4,空间,4,舒适,4,油耗,4,动力,5,操控,4,性价比,5,购入信息,爱车车型,购入时间,2021/3/1,购车地点,介休市大康汽贸有限公司 [山西省],裸车价格,23万  (厂商指导价 24.97万),当前油耗,9L/100km,购入用途,上班,爱车简评,最有设计感的一定是它的前脸造型了，整个车头所带来的视觉冲击力非常强，这辆车开出去回头率都是超高的。,爱车评价,[最满意],动力表现是真的很不错了，而且不管是这台8AT变速箱还是本身的底盘都是非常给力的，同时整个车内的安全性配置也...,[不满意],就目前来讲，车子用的非常满意，本身也没有发现任何问题，要说不太满意的地方，唯一就是这台车子的保值率相对会...,[外观],“无边界”前脸是标致最新的家族化设计，看起来真的是既个性又时尚，而且它的车尾造型也是很酷的，狮爪尾灯辨识度极高。,[内饰],以简约为主的内饰风格看起来特别大方，车内的用料也特别好，每个律师看起来真的很有科幻感，用料也很不错。,[空间],这辆车的账面数据都如此优秀，空间肯定小不到哪里去，坐进车内也会发现它的座椅布局非常合理，包括整个后备箱空间也是比较大的。,[舒适],这辆车的底盘在软中略微带了些厚重，很擅长化解坑洼路面带来的颠簸，座椅舒适，配置也比较高。,[油耗],其实1.8T发动机也没有想象中的那么费油，而且这辆车又不必要非得加95号汽油，现在我这车的平均油耗在8.5左右。,[动力],初段的油门调校更为灵敏一点，所以每次起步都特别迅速，随着车速的提高它的动力输出也会更加平稳，这样的动力表现真的太棒了。,[操控],这台8AT变速箱的反应速度非常快，清晰的换挡逻辑很好的保证了行驶过程中的平顺性，还有就是主动刹车以及车道偏离预警等等也很好的保证了行驶安全性。,[性价比],尽管车子的综合实力还可以，但是它的保值率确实比较低的，所以对于我们车主来讲，最大的影响就是在后期想要卖车的时候确实会卖得更低一些。,展开全部
"
    发表于  2021-11    

      
        
    
    
",https://image1.xcarimg.com/attachments/my/1/91/62/908_120.jpg,xuser1926290,三星会员,4.38,外观,4,内饰,4,空间,5,舒适,5,油耗,4,动力,4,操控,5,性价比,4,购入信息,爱车车型,购入时间,2021/5/1,购车地点, [西藏省],裸车价格,23万  (厂商指导价 24.97万),当前油耗,8L/100km,购入用途,上班,爱车简评,我感觉它的减震特别舒服，而且座椅坐上去贴合度也很高，跟我预期中SUV车型所带来的乘坐感受完全不同。,爱车评价,[最满意],外观和内饰设计都非常漂亮，真的是有着一定的科幻感，而且这台1.6T的发动机还是很有实力的，动力非常强，同时油...,[不满意],这台车子后期的养车费用相对还是比较高的，同时本身的保值率也比较低一些，尽管说车子本身的实力很强，但这些问...,[外观],最有设计感的一定是它的前脸造型了，整个车头所带来的视觉冲击力非常强，这辆车开出去回头率都是超高的。,[内饰],简单大方的内饰风格特别符合我的审美，整体的布局一点都不凌乱，这样操作起来也不会出现误触的情况。,[空间],标致4008是一台车身尺寸更大的紧凑型SUV，所以它的空间表现也很是出色，前后排的乘坐空间都是极其宽敞的。,[舒适],后排地板中央的凸起一点都不高，而且全车座椅的填充也都挺软的，不管坐到哪个位置都特别舒服，座椅的贴合度非常高。,[油耗],毕竟1.6T的发动机排量不那么大，它的燃油经济性还是很出色的，市区以及高速等等各种路况的综合油耗就在8个出头。,[动力],这台1.6T的发动机驱动这辆车没有任何问题，只是动力输出不那么猛罢了，但车子开起来绝对不肉。,[操控],法系车的底盘一向都是很给力的，标致4008也不例外，紧绷而又扎实的底盘使得行驶质感特别高级。,[性价比],买车时确实享受到了一定的优惠，但是这辆车的维保费用真不便宜，配件比较贵一些，同时后期的保值率也比较低，所以综合这些来讲我觉得它的性价比并不高。,展开全部
"
    发表于  2021-11    

      
        
    
    
",https://image1.xcarimg.com/attachments/my/1/91/62/905_120.jpg,xuser1926290,三星会员,4.25,外观,4,内饰,5,空间,4,舒适,4,油耗,5,动力,4,操控,4,性价比,4,购入信息,爱车车型,购入时间,2021/3/1,购车地点,晋中新宝狮汽车贸易有限公司 [山西省],裸车价格,23万  (厂商指导价 24.97万),当前油耗,8L/100km,购入用途,上班,爱车简评,这款车子我觉得他的外观是时尚的，现在的车基本上都有着非常独特的设计感，这款车的给我的感觉是非常霸气的然后还有运动的元素也在里边，这就是这款车给我最大的感受。,爱车评价,[最满意],我满意的是这台车子的外观设计看上去真的非常帅，而且也比较大气，当然更大的尺寸确实是有着更加大的空间，就包...,[不满意],我觉得这台车子的油耗确实是比较高的，现在的综合平均油耗基本上在9个多，在我看来这还是比较高的。,[外观],最有看点的应该就是它的前脸造型了，简直太帅了，整个外观看起来确实很霸气。,[内饰],中控台的造型以及车内的配色都是非常时尚的，我特别喜欢这样的内饰风格，而且车内的配置特别丰富,[空间],标致4008的空间在日常生活和工作中都特别实用，不用担心空间的问题。,[舒适],我感觉它的减震特别舒服，而且座椅坐上去贴合度也很高，跟我预期中SUV车型所带来的乘坐感受完全不同。,[油耗],经常市区用车的话还是很费油的，目前它的平均油耗就在9个左右。,[动力],这辆车的动力输出属于“快而不猛”的类型，动力响应是挺积极的，但绝对不会出现特别窜的感觉，这样车子开着也就更加平稳了。,[操控],转向十分容易掌控，本身的指向性非常精准，中间也不存在太大的虚位，而且它的底盘调教也非常扎实。,[性价比],决定买这辆车之前我已经进行了全面的了解，4008后期的养车成本还是很低的，而且它的定价本身就更为实惠一些，性价比还可以。,展开全部
"
    发表于  2021-11    

      
        
    
    
",https://image1.xcarimg.com/attachments/my/1/91/62/892_120.jpg,xuser1926289,三星会员,4.25,外观,5,内饰,4,空间,4,舒适,4,油耗,4,动力,4,操控,5,性价比,4,购入信息,爱车车型,购入时间,2021/4/1,购车地点,荆州市狮源汽车销售服务有限公司 [湖北省],裸车价格,23万  (厂商指导价 24.97万),当前油耗,8L/100km,购入用途,上班,爱车简评,外观是那种很亮眼的设计，尤其喜欢我买的这个颜色，开着好看的车每天心情都会很好，这款车很有设计感，这也是这么多人喜欢它的原因吧。,爱车评价,[最满意],这一款车，是很运动的车型感觉很年轻很有活力的，车头的造型就能给人很不一般的视觉感受，价钱也比较合理。他的...,[不满意],因为动他强，随意这款车的油耗在八个左右，不算特备省油。,[外观],这款车子我觉得他的外观是时尚的，现在的车基本上都有着非常独特的设计感，这款车的给我的感觉是非常霸气的然后还有运动的元素也在里边，这就是这款车给我最大的感受。,[内饰],价格虽然不贵，但是内饰布局除了豪华感，屏幕的尺寸也是刚刚好，不是特别大，毕竟是合资车各方面做的真的是不错。,[空间],我选择这款车，当时只是想只要不要太小就行了，尽管不是太大，不过我一米把的身高做进去，也不会拥挤，所以空间方面也没有太多的犹豫。,[舒适],车子的舒适性还是不错的，个人觉得买车就是提高生活的乐趣的，给你一个安静舒适的驾驶空间买这个是挺重要的，隔音也真的挺好，其实去哦一虽说不是特别软的那种，但是坐上去也还是很舒服的，支撑各方面都比较好。,[油耗],每天上下班开，景观他的油耗八个左右，但我局的他的动力水平和这个油耗的丢彼是差不多的，毕竟涡轮增加的发送机，油耗肯定是稍微的高些的。,[动力],我是特别在乎车子的动力的，其实我局的空间小点无所谓，但是动力一定要好，这款车子我很喜欢在高速上驾驶哟喂它的动力提速真的很快，开起来很爽。,[操控],开起来真的很灵活，因为扫空方面确实做的很好，不管是他的方向指向，还是油门的踏板，都是属于很灵活的调校，一辆车开起来感受是最重要的，它关系到你这台车的看法和最能体现它的价值。,[性价比],这一款车的性价比还是很高的，很适合年轻人，更适合家庭用车。空间大，话很舒服。还有就是这个品牌懂的人自己喜欢，因为喜欢它的动力，然后价格优惠，还有我喜欢想要的配置，藩镇我是比较认可的，,展开全部
"
    发表于  2021-11    

      
        
    
    
",https://image1.xcarimg.com/attachments/my/1/91/62/882_120.jpg,xuser1926288,用户被禁止发言,4.5,外观,5,内饰,4,空间,4,舒适,4,油耗,5,动力,4,操控,5,性价比,5,购入信息,爱车车型,购入时间,2021/4/1,购车地点,阜阳市银狮汽车销售服务有限公司 [安徽省],裸车价格,23万  (厂商指导价 24.97万),当前油耗,8L/100km,购入用途,上班,爱车简评,车子的舒适性还是不错的，给你一个安静舒适的驾驶空间买这个是挺重要的，隔音也真的挺好，座椅坐上去也还是很舒服的，支撑各方面都比较好。,爱车评价,[最满意],该说不说，自从买了这辆车以后，省油多了，比之前的车节约太多了，整体配置啊，外观啊，动力都比较满意，开着很顺手。,[不满意],是空间吧，空间感觉不是很够用，尤其是二胎家庭，希望以后可以改进一下，孩子们坐在后面玩一会都觉得不是很宽敞。,[外观],外观是那种很亮眼的设计，尤其喜欢我买的这个颜色，开着好看的车每天心情都会很好，这款车很有设计感，这也是这么多人喜欢它的原因吧。,[内饰],内饰无功无过吧，不容易吸灰的材质，好打理，各种配置也很方便实用，这就很好了。,[空间],空间要是没有孩子的，可能够用了，有孩子以后，出门拿的东西也比较多，孩子们也坐在车里玩，还是有一点不够用，不过后备箱的储物空间是比较大的，能放很多东西。,[舒适],这个车子音效很好，车子结构的问题吧，整个隔音效果也不错，在车里开音乐，基本没有太大的噪音，很享受。,[油耗],我平时上下班用的比较多，油耗在我的接受范围内，毕竟这动力，还是需要一定的油耗维持的，光动力强，油耗又过于低的车，那也不现实。,[动力],这样标配的发动机还是有不错的动力的，驾驶感很不错，如果满分一百分的话，减震可以打90，多一分怕你骄傲，上高速，转弯很流畅，不错。,[操控],车子本身的安全配置还是很给力的，出门也比较放心，刹车，油门响应很快，方向盘指向精准，不容易打过头，车本身也很灵活，很容易驾驭的。,[性价比],我很喜欢这辆车，买到它以后，很符合我的心理预期，很不错。,展开全部
"
    发表于  2021-11    

      
        
    
    
",https://image1.xcarimg.com/attachments/my/1/91/62/876_120.jpg,xuser1926287,三星会员,4.5,外观,4,内饰,4,空间,5,舒适,5,油耗,4,动力,5,操控,5,性价比,4,购入信息,爱车车型,购入时间,2021/4/1,购车地点,邳州市亿达汽车销售服务有限公司 [江苏省],裸车价格,23万  (厂商指导价 24.97万),当前油耗,8L/100km,购入用途,上班,爱车简评,车子的舒适性还是不错的，厚重偏软的底盘特别擅长化解路面上的坑坑洼洼，除了用料很足的内饰以为，偌大的空间也增加了全家人乘坐的舒适性，大盘的调教提挺好的，后排感觉震动不大。,爱车评价,[最满意],首先价格相对的便宜些，在这样的价格同时又满足了我对车型的要求，我觉得也就是它了。我太喜欢它的颜值了。而且...,[不满意],这款车最大的缺点就是空间了，正常的个子还是可以的，但是，坐上180身高的人就有些不太舒服了，因为头部空间实在...,[外观],这款车子我最喜欢的就是它的外观了时尚运动的，让我第一眼就喜欢上了它。这也是我选择这款车的重要原因之一。,[内饰],说实话这款车价格虽然不贵，但是内饰做的也是相当的好的，，屏幕的尺寸是刚刚好，不是特别大，总之，不是很奢华，但是很时尚。,[空间],这款车的前排还相对好一些，乘坐起来的没什么问题，就是后排空间有些小。,[舒适],车子的舒适性还是不错的，给你一个安静舒适的驾驶空间买这个是挺重要的，隔音也真的挺好，座椅坐上去也还是很舒服的，支撑各方面都比较好。,[油耗],八个多的油耗，毕竟涡轮增加的发送机，油耗肯定是稍微的高些的。对于这样的车子，也不算太费油,[动力],这款车的动力是不错的，高速开也是非常舒服的，起步也快加速强，真的很不错。,[操控],开起来真的很灵活，方向盘也很轻柔，开起来没有任何压力。一看就懂，一学就会。,[性价比],这一款车的性价比还是很高的，有着很好的内饰设计，也有着很棒的外观，动力和操控的各方面都调教的很好，所以我觉各个方面做的的真的不错，而且有了优惠，所以我认为这是一款性价比不错的一台车。,展开全部
"
    发表于  2021-11    

      
        
    
    
",https://image1.xcarimg.com/attachments/my/1/91/62/872_120.jpg,xuser1926287,三星会员,4.63,外观,4,内饰,4,空间,5,舒适,5,油耗,5,动力,4,操控,5,性价比,5,购入信息,爱车车型,购入时间,2021/4/1,购车地点,荆州市狮源汽车销售服务有限公司 [湖北省],裸车价格,23万  (厂商指导价 24.97万),当前油耗,8L/100km,购入用途,上班,爱车简评,很典型的年轻化的设计，现在年轻人应该都挺喜欢的，车头，车尾比例也很协调，材质应该也是那种比较防撞击的耐用材质。,爱车评价,[最满意],这款车不止外观漂亮，空间也挺大，通常合资车的性能都挺好的，再说了这是老牌子的车，值得放心。,[不满意],最不满意的就是也许是新车的缘故刹车有些生硬。还有就是隔音问题，跑高速的时候，风噪比较大。,[外观],形象外观很帅气，这辆车的造型很时尚，颜值非常的高，它的大灯也是设计的非常的有个性。,[内饰],内饰布局很新颖，而且合理，而且还上档次，尤其是中控台的屏幕尺寸挺大的，用起来很方便很时尚。,[空间],坐在后排的空间很充足，膝盖与前排又出不多两个拳头的空间。四个成年人坐下来也不会太拥挤，前排的空间也很相当不错的,[舒适],车子的舒适性还是不错的，厚重偏软的底盘特别擅长化解路面上的坑坑洼洼，除了用料很足的内饰以为，偌大的空间也增加了全家人乘坐的舒适性，大盘的调教提挺好的，后排感觉震动不大。,[油耗],目前我的这台车综合在8.5左右，我个人觉得还好吧，这辆车的燃油经济兴趣是不错。,[动力],这款车子的动力挺足的，拥有者好的发送机和平稳的变速箱，尤其是到了高速上，就能充分的体现出来它的优势，那感觉真的是棒极了。,[操控],方向盘的虚位小指向特别清晰，开起来有驾驶感。辅助功能也特别的使用，有发动机起停的技术，上坡辅助，新车刹车脚感很重，还需要多磨合磨合。,[性价比],性价比很高的一辆车，很适合年轻人，价格不贵，配置挺高，这个车的性价比真的挺不错的。,展开全部
"
    发表于  2021-11    

      
        
    
    
",https://image1.xcarimg.com/attachments/my/1/91/62/868_120.jpg,xuser1926286,三星会员,4.25,外观,5,内饰,4,空间,5,舒适,3,油耗,4,动力,5,操控,4,性价比,4,购入信息,爱车车型,购入时间,2021/3/1,购车地点,常德双星星致汽车销售服务有限公司 [湖南省],裸车价格,23万  (厂商指导价 24.97万),当前油耗,8L/100km,购入用途,上班,爱车简评,这款车子我觉得他的外观是时尚的，现在的车基本上都有着非常独特的设计感，这款车的给我的感觉是非常霸气的然后还有运动的元素也在里边，这就是这款车给我最大的感受。,爱车评价,[最满意],刚开的时候，动力很足，提速的时候有明显的推背感，性能不错，前脸和大灯又好看，颜值，实力都在那摆着呢，买它不后悔。,[不满意],座椅不知道是什么材质的，不是很软，支撑力不是很好，坐时间长了，不太舒服，包裹性不是很好，夏天不知道会不会容易吸热。,[外观],很典型的年轻化的设计，现在年轻人应该都挺喜欢的，车头，车尾比例也很协调，材质应该也是那种比较防撞击的耐用材质。,[内饰],内饰比较耐看，我选的比较大众化的颜色，协调，看着不突兀就好了，我觉得还得是看着舒服的颜色，有的颜色看起来太突出了，容易眼睛疲劳。,[空间],反正是一家人坐在里面不挤，够用，也不顶膝盖，腿，还有宽裕的空间可以放东西，里面还有储物格，放东西足够，看着也舒服，别人家不知道，反正我们家够用了。,[舒适],空调很好用，冷热切换很快，就是座椅不太舒服，包裹性不是很好，不是很软的那种材质，放在别的地方应该很高档，放在座椅上就不太舒服了。,[油耗],油耗跑下来平均才8个多点，除了特殊路况，油耗，保养，维修加起来也不贵。,[动力],提速快，转弯也稳，这车本身的动力也是出了名的实在，我又不跑山区，就平时上班，或者附近去玩一玩，这动力够够的了。,[操控],自动的车都好开，车又不大，开着很灵活，除了刚买的那时候，有点掌握不了以外，后面适应以后，开着很好开。,[性价比],价格买的时候很优惠，开着也不错，也让我很省心，没出过什么毛病。,展开全部
"
    发表于  2021-11    

      
        
    
    
",https://image1.xcarimg.com/attachments/my/1/91/62/866_120.jpg,xuser1926286,三星会员,4.63,外观,4,内饰,4,空间,5,舒适,5,油耗,5,动力,5,操控,5,性价比,4,购入信息,爱车车型,购入时间,2021/3/1,购车地点,荆州市狮源汽车销售服务有限公司 [湖北省],裸车价格,23万  (厂商指导价 24.97万),当前油耗,8L/100km,购入用途,上班,爱车简评,这款车座椅用料舒适性不错，空间大坐起来舒服，新车没有刺鼻的味道，发动机噪音非常小，语音识别准确率不错,爱车评价,[最满意],这一款车，是很运动的车型感觉很年轻很有活力的，车头的造型就能给人很不一般的视觉感受，价钱也比较合理。他的...,[不满意],因为动他强，随意这款车的油耗在八个左右，不算特备省油。,[外观],这款车子我觉得他的外观是时尚的，现在的车基本上都有着非常独特的设计感，这款车的给我的感觉是非常霸气的然后还有运动的元素也在里边，这就是这款车给我最大的感受。,[内饰],价格虽然不贵，但是内饰布局除了豪华感，屏幕的尺寸也是刚刚好，不是特别大，毕竟是合资车各方面做的真的是不错。,[空间],我选择这款车，当时只是想只要不要太小就行了，尽管不是太大，不过我一米把的身高做进去，也不会拥挤，所以空间方面也没有太多的犹豫。,[舒适],车子的舒适性还是不错的，个人觉得买车就是提高生活的乐趣的，给你一个安静舒适的驾驶空间买这个是挺重要的，隔音也真的挺好，其实去哦一虽说不是特别软的那种，但是坐上去也还是很舒服的，支撑各方面都比较好。,[油耗],每天上下班开，景观他的油耗八个左右，但我局的他的动力水平和这个油耗的丢彼是差不多的，毕竟涡轮增加的发送机，油耗肯定是稍微的高些的。,[动力],我是特别在乎车子的动力的，其实我局的空间小点无所谓，但是动力一定要好，这款车子我很喜欢在高速上驾驶哟喂它的动力提速真的很快，开起来很爽。,[操控],开起来真的很灵活，因为扫空方面确实做的很好，不管是他的方向指向，还是油门的踏板，都是属于很灵活的调校，一辆车开起来感受是最重要的，它关系到你这台车的看法和最能体现它的价值。,[性价比],这一款车的性价比还是很高的，很适合年轻人，更适合家庭用车。空间大，话很舒服。还有就是这个品牌懂的人自己喜欢，因为喜欢它的动力，然后价格优惠，还有我喜欢想要的配置，藩镇我是比较认可的，,展开全部
