publish,标题,图片,名称,名称1,评分,评分2,评分3,评分4,评分5,评分6,评分7,评分8,评分9,评分10,评分11,评分12,评分13,评分14,评分15,评分16,评分17,标题18,信息,信息_链接,信息19,信息20,信息21,信息22,信息23,信息24,信息25,信息26,标题27,purpose,purpose28,标题29,jia_text,信息30,dw_22,dw_2231,dw_23,dw_2332,dw_1,dw_133,dw_2,dw_234,dw_3,dw_335,dw_4,dw_436,dw_5,dw_537,dw_6,dw_638,dw_7,dw_739,dw_8,dw_840,openall
"
    发表于  2022-10    

      
        
    
    
", [重庆市],https://image1.xcarimg.com/attachments/my/1/94/06/480_120.jpg,xuser1950648,三星会员,4.88,外观,5,内饰,5,空间,5,舒适,5,油耗,5,动力,5,操控,4,性价比,5,购入信息,爱车车型,https://newcar.xcar.com.cn/m66099/,2022款天逸 C5 AIRCROSS PHEV天逸BEYOND 1.6T PHEV版,购入时间,2022/1/1,购车地点,裸车价格,26万  (厂商指导价 23.17万),当前油耗,1.8L/100km,爱车简评,,,爱车简评,"对比了20~30万的所有混动SUV,这款性价比最高，舒适性最好，价格也很合理。",爱车评价,[最满意],车子噪音抑制的很好，开车听听轻音乐很享受，环境隔音还有待提高，卡车停旁边的发动机声音还是能听到，不过已经比很多B级轿车好很多了，高速很稳，120的时速跟八九十没多大差别，不看码速表感觉不出来，纯粹数字在攀升而已。,[不满意],目前还是新车，没有不满意的地方，非要找个不满意的地方，那就是充电不方便，公共充电桩都建在大卖场，大商场；付了电费还得付停车费，不方便；自己充电桩小区又不让装，装老家当摆设了！,[外观],外观开始是不喜欢的，显小，且加上银色猪鼻孔和两侧的银耳环，跟车身不协调啊，后来跟别的车停一起，发现也不小，看着看着就越看越顺眼了。新车缝隙均匀，用料足，前盖我按了下，按不动很厚实，内饰没异味。,[内饰],内饰设计上是比较时尚的，喜欢的人很喜欢，像名牌包包一样，不喜欢的就会觉得搭配过度了，看惯大众和日系那些朴素的内饰风格的人一般都不喜欢。这车内饰基本没什么异味，新车关着窗开也没啥感觉，只有在刚上车时能感觉到轻微的新车味，没有CRV的那种让人头疼的味道,[空间],本人身高175，空间足够用了，跟探岳和CRV的乘坐空间差不多，储物空间特别多，方便；跟那些中型SUV比也差不太多，也许就后备箱相比稍小一点，全家出游也完全够用。,[舒适],空调制冷很给力，但是大风量声音较响；减震偏硬，有点像宝马的底盘减震，正常公路开比较舒适，搓板路就有点震了，前排座椅包裹性不错，后排座椅靠背要是能调就更好了,[油耗],油耗6.7；后来公共充电桩充了四五次电，表显综合油耗4.3；手机APP上显示上周的油耗是2.0；充满电郊区纯电可开60公里左右，平均时速23；高速纯电可开55公里左右。,[动力],"加速很线性，动力充沛，空调音乐全开一点也不受影响，动力随踩随有,哪怕纯电续航0,也感觉不出来，亏电状态只有在安静的车库启动能感受到发动机启动，在行驶过程感觉不出来",[操控],操控很好，低速方向盘轻盈，中高速沉稳，急转弯和急调头比我原先的2部轿车要好很多，转弯半径较小，调头很容易，侧倾控制的非常好，50以内急变道和转弯几乎没有侧倾；4驱开泥泞的烂路特爽，2驱开不了的泥路，这车可以开。,[性价比],单看的话看不出性价比，觉得没有油车性价比高；但是跟其他品牌混动一对比，立马性价比显现出来了，其他品牌都是单电机，这款是前后双电机，比亚迪的双电机比这车还贵，亏电状态感受也没这车好；这车性价比很高，但有些配置是要加钱才有的,展开全部
"
    发表于  2022-10    

      
        
    
    
", [天津市],https://image1.xcarimg.com/attachments/my/1/94/06/478_120.jpg,xuser1950647,三星会员,4.88,外观,5,内饰,5,空间,5,舒适,5,油耗,4,动力,5,操控,5,性价比,5,购入信息,爱车车型,https://newcar.xcar.com.cn/m66099/,2022款天逸 C5 AIRCROSS PHEV天逸BEYOND 1.6T PHEV版,购入时间,2022/2/1,购车地点,裸车价格,26万  (厂商指导价 23.17万),当前油耗,1.8L/100km,爱车简评,,,爱车简评,此车在中国销量非常少、随时都有退出中国市场的可能，保值低，品牌知名度低，开着没面！但就是舍弃不了试驾此车的爽、流畅的感觉，犹豫出手，还好开了一年内让我失望！,爱车评价,[最满意],使用一年多，车提速快、加速轻盈、前脸后屁股观察高端大气有档次感；速度平稳，车身稳定一体感强，同样的路程省时；操作灵活，转弯半径小，爬坡能力强，打开四区，上路牙子如走平地；发动机启动声音非常低，当时在4S店保养车，与天逸C5油车比声音小多了，反正是越开越爱！,[不满意],过红绿灯时容易一马当先，到目前为止，与平行的车一块过红绿灯还没被落下过，易造成其它车主的不服，容易造成飙车，与和谐社会背道而驰，有时容易充能，起步过猛带给乘客推背感的同时，极容易晕车；还有，老婆开了几次，直接占为己有，我现在都捞不着开了。哎！对了，还有一点就是车后面的小电瓶有时没电，容易造成无法使用纯电模式，厂家应该改进一下，当然了，这也不影响我对她的爱，瑕不掩瑜！,[外观],个人有个人的看法吧，仁者见仁智者见智；我感觉：前天大气有档次，后定华丽又时髦（8888的尾灯我喜欢）；侧面就普通一般略显臃肿。,[内饰],内饰设计相对比较新颖，仪表盘显示清晰，科技感十足。 ☆ 车联网：正常用起来只能说还可以，开始连接的时间比较长，一般情况。,[空间],本人一米八，开车、乘坐都无压力，前、后座位很宽，可以执掌腿部，常坐不累，缺点看着座椅前空间不大，没面！实际坐进去腿部空间我还有一拳加4指左右；因为车长才4.51米，轴距2.73米，保证了前部乘坐空间就无法保证后备箱的空间里，后备箱实在有点寒颤！ ☆ 空间设计亮点：前中央扶手箱空间超大，分开式上盖非常方便取放物品，中央扶手箱非常大。,[舒适],前、后座位很宽，可以执掌腿部，常坐不累，缺点看着座椅前空间不大，没面！实际坐进去腿部空间我还有一拳加4指左右 车内噪音/异味：说道车内噪音。中低速噪音比同级别的车要低，高度的时候，胎噪、风噪太大，不知道发动机噪音如何；车内异味，这辆车真的是非常的好,[油耗],由于重量是消耗能量的主要因素（这也是日系车省油的主要原因，相近类型的车，如果把日系车的总重量和其它车辆配齐，恐怕就不省油了），所以高速行驶油耗也很难降得很低。,[动力],起步加速到目前为止还没遇到过对手（当然了，因为我们这儿是个小地方，豪车不多），140公里以内的提速非常有快，在每个速度段急加速都有推背感，140公里以上速度因限速，还从来没有试过，所以也没有发言权；踏板轻重个人认为正好；纯油加速行驶没有任何顿挫感，线性提速；电油切换非常平顺，不看仪表盘很难感觉出来是电机还是发动机，无电状态，纯发动机行驶，如果正常提升，也无顿挫感,[操控],高速行驶、过弯、刹车非常平稳、自信；一次晚上行驶在泰安到曲阜的路段上（这段因加宽路面经常左右换道），虽说视线不是太好，因为是晚上，高速上车辆不多，所以开的并不慢，以110多迈的速度行驶在一段很长的路上，突然发现前面修路变道，急忙刹车，行驶到变道处90度右转弯，刚转过弯发现2米多的前方有车，我草，马上就要亲吻前车了，紧急制动的同事继续右打方向以便错开前车，还好车头一沉立刻抬起，车刹住了,[性价比],性价比超高，买车前非常谨慎，把同级别的车试驾了一个遍，综合性能参数也比较了一个遍，30万以内的车无敌！,展开全部
"
    发表于  2021-06    

      
        
    
    
",山西东联汽车销售有限公司(东风雪铁龙) [山西省],https://image1.xcarimg.com/attachments/my/1/90/47/170_120.jpg,xuser1914717,三星会员,4.63,外观,4,内饰,5,空间,4,舒适,5,油耗,4,动力,5,操控,5,性价比,5,购入信息,爱车车型,https://newcar.xcar.com.cn/m54561/,2020款天逸 C5 AIRCROSS PHEV1.6T 四驱插混悦享型,购入时间,2020/4/1,购车地点,裸车价格,22.3万  (厂商指导价 23.47万),当前油耗,7.3L/100km,购入用途,接送小孩,自驾游,爱车简评,对于我们这个普通家庭来说，买车算是一件大事了，跟家人也跑了很多4s店，看了很多款车，最后买了这辆天逸，理由就是它性价比很高，优惠幅度比较大，而且各方面的表现也不输同级别的合资suV。,爱车评价,[最满意],最满意的就是它富有设计感的外观，可能有的人会觉得它过于另类，但是我个人还是很喜欢的，很多小的设计真的很用心，每次都能给我惊喜。,[不满意],天逸各方面的表现都还算符合我的心理预期，没有什么特别不满意的地方，还是那句话，既然选择了，就不会后悔。,[外观],天逸外观很大气，同时也有suv的厚重感，led的车灯很有设计感，不管是头灯还是尾灯，点亮以后都非常有辨识度。,[内饰],内饰跟外观风格差不多，同样很有设计感，游艇式的换挡杆设计新颖，手感也不错。做工用料还是一如既往的扎实，这点法系车一直做的不错。,[空间],空间对我们这个普通的三口之家来说，还是非常够用的，前排很宽敞，主驾和副驾都不会有压抑感，后排也很大，而且并没有很高的凸起，实用性大大提升。,[舒适],座椅调教是我很喜欢的感觉，比德系车更软一些，又比日系车支撑性更好。隔音可以给个80分吧，日常的市区通勤，车厢里还是挺安静的。,[油耗],仪表显示的百公里平均油耗是8.6升，可以说比上不足比下有余吧，基本满意。,[动力],1.6t的动力可以说满足日常家用吧，并没有我想象中的强，不过平时超个车变个道还是很轻松的，偶尔来个急加速也没啥问题。,[操控],说到操控就必须说说法系车的底盘调教了，过一些减速带或者有一些烂路，底盘完全不会有零散的感觉，非常的整，让我开起来很有信心。方向盘转向手感也很好，灵活性不输轿车。,[性价比],选择雪铁龙天逸主要是因为它性价比很高，特别是悦享型，功能配置很全面，价格还有一定的优惠。而且雪铁龙这个品牌在中国市场的口碑不错，质量方面不用太过担心。,展开全部
"
    发表于  2021-06    

      
        
    
    
",兰州奔马汽车销售服务有限公司 [甘肃省],https://image1.xcarimg.com/attachments/my/1/90/38/763_120.jpg,gh1624189843,三星会员,4.63,外观,5,内饰,4,空间,5,舒适,4,油耗,5,动力,5,操控,4,性价比,5,购入信息,爱车车型,https://newcar.xcar.com.cn/m54561/,2020款天逸 C5 AIRCROSS PHEV1.6T 四驱插混悦享型,购入时间,2020/4/1,购车地点,裸车价格,22.29万  (厂商指导价 23.47万),当前油耗,7.3L/100km,购入用途,购物,接送小孩,爱车简评,记得当时选车的时候，看到这台车的第一眼就喜欢上了，他感觉这台车就是为我设计的，整个造型，我是非常非常喜欢。然后和家里人商量了一下，就很果断的订了这台车。,爱车评价,[最满意],首先外观是自己比较满意的，百年版增加了自动大灯矩阵式LED大灯标配的phc避震（虽然没传说中的件牛逼）内饰用料环保，新车气味几天基本就很淡了（某自媒体检测的结果基本秒杀市面上的大部分车型）定速巡航换挡拨片自动感应雨刮全液晶仪表盘全景天窗四门一键升窗前后侧气帘，表带花纹设计的座椅，百年版独有的配色，自带卡来福这个比较好用，不用再贴个手机支架，还有传说中的1500兆帕的热成型钢加持安全感多一点,[不满意],这个车最不满意的是车子本身对phc的过度宣传，真实行驶质感也需要看实际路况，并不适合各种崎岖的路况，副驾驶的脑残靠背旋钮调节，这个是差点导致我不入手天逸的一个重要原因，2020款的一些实用小细节的减配也很不应该，后排座椅的一键放倒这么实用的功能竞然就取消了….手套箱的一个小灯泡你竟然也取消了，真不知道神龙是不是想把雪铁龙彻底搞毁,[外观],外观真的见仁见智了，我觉得可以打95分，扣的5分在后排门框那个镀铭位置，，百年版的熏黑顶让整车看起来有点小了，不够霸气，不过百年版相对悦享减配少点,[内饰],内饰做工还是相当可以的，比较细致，档把是最吸引我的地方，很有逼格，中控大屏就稍微鸡肋了一点。扶手箱空间大，但是分割做的很差，或许只能放放红酒..…次故障-内饰：车机一开机就自动开启电台这个在停车场会被吓死,[空间],空间不是法系车的擅长领域，凑合吧，人机工学比日系还是差点，驾手套箱那叫一打开吓一跳哦.…除了一本用户手册完全没法放物品，,[舒适],舒适性在这个价格区间还算可以的，静音做的不错，比crv好太多，胎噪有点明显，开了一段时间发现这车还是很挑路开的，软路面有小起伏的路段开起来是很写意的那种，硬路面或者连续有密集起伏的路段那简直是噩梦,[油耗],确实不省油，市区轻轻松松10个油高速定速巡航6- 7个油当然这是表显，实际还是要综合一下加油的具体升数来算才准确,[动力],1.6t的动力应该是调教问题，想飙车你可以绕道了，这车只能慢悠悠的开，起步地板油他也不会很积极的,[操控],看起来笨开起来不笨，过弯支撑性好，相对4008会差点底盘悬架支撑：高速公路行驶还是不错的，特别高速过弯支撑性不错,[性价比],选择天意最大的原因是因为自己特别喜欢c4毕加索，最后考虑到毕加索的后期零件跟车型太旧，退而求其次选择了天逸，车不可否认是好车，但是保值率确实有点不好看,展开全部
"
    发表于  2021-06    

      
        
    
    
",鄂尔多斯市汇福鑫汽车销售有限责任公司 [内蒙古],https://image1.xcarimg.com/attachments/my/1/90/46/626_120.jpg,xuser1914662,三星会员,4.63,外观,5,内饰,4,空间,5,舒适,5,油耗,5,动力,4,操控,4,性价比,5,购入信息,爱车车型,https://newcar.xcar.com.cn/m54561/,2020款天逸 C5 AIRCROSS PHEV1.6T 四驱插混悦享型,购入时间,2020/4/1,购车地点,裸车价格,22.28万  (厂商指导价 23.47万),当前油耗,7.3L/100km,购入用途,接送小孩,自驾游,爱车简评,选择这台车子主要是因为它的品牌够响亮，性价比还是挺高的，安全性能也很可靠，另外在空间设计上也符合我的使用需求。一家人商量之后都觉得选这台车子不会错。,爱车评价,[最满意],这款车的价位不高。但是配置还是非常不错的。最满意的就是这款车的配置。很多配置我觉得都用的到。很多人都说合资车的配置很低。但是我觉得现在的合资车配置还都挺高的。,[不满意],唯一不满意的地方就是后备箱没有我想象中的那么大。如果后备箱的空间能够再大一点就更好了。,[外观],外观看上去还是比较时尚的。我觉得比较符合大众的审美观。很适合年轻人。很多人看到这样的外观应该都会心动的。,[内饰],我还是比较喜欢这种内饰的设计。看起来不会太张扬。但是又不会很普通。非常有自己独特的个性。做工和用料也不错。,[空间],空间还是可以的。我对空间还是较为满意的。乘坐空间非常的宽敞。前后排空间都够用。后排坐三个人也不会很拥挤。就是后备箱没有我想象中的那么大。因为我平时装东西比较多。经常就把后备箱装满了。,[舒适],这台车的座椅包裹性很强。皮质也很柔软。我上去很舒服。再加上这台车的隔音效果很好。所以从各方面来说，它的舒适性都是不错的。,[油耗],我觉得这台车很节省油了。很多人都说SUV的油耗高。但实际上我觉得这个车的油耗跟轿车的油耗是差不多的。目前我的综合油耗是8.6。还是给了我蛮大的惊喜的。,[动力],提速真的是很给力的。只要踩油门速度就能起来。而且我想夸奖的是这个车换挡几乎没有任何的顿挫感。非常的平顺。开起来很舒服。,[操控],操控起来没有任何的压力。因为车身比较小巧，非常的方便停车。就算是转弯的时候，也丝毫不用担心这个车会重心不稳。,[性价比],当时我没有注意到这款车。是我的朋友在卖车。所以推荐的我选择这款车。我还是比较相信他的眼光的。看了之后也觉得比较适合自己。然后再带我的家人来看。家人同意之后我才买的。,展开全部
"
    发表于  2021-06    

      
        
    
    
",辽宁鼎鑫汽车贸易有限公司 [辽宁省],https://image1.xcarimg.com/attachments/my/1/90/22/113_120.jpg,gh1623116153,三星会员,4.63,外观,5,内饰,5,空间,5,舒适,5,油耗,4,动力,4,操控,5,性价比,4,购入信息,爱车车型,https://newcar.xcar.com.cn/m54561/,2020款天逸 C5 AIRCROSS PHEV1.6T 四驱插混悦享型,购入时间,2020/4/1,购车地点,裸车价格,22.27万  (厂商指导价 23.47万),当前油耗,7.3L/100km,购入用途,接送小孩,自驾游,爱车简评,因为自己准备买车，所以在网上查了非常多车的资料，最主要是因为有小孩，所以考虑比较多的还是suv型的车，了解了一下觉得雪铁龙的挺不错，然后自己和老婆一起去4s店看的时候觉得天逸这款非常好,爱车评价,[最满意],最满意的就是这款车子的外观了我觉得它的外观 和我的形象特别的符合简直就是为我量身定做开 在路上有一种特别酷的感觉,[不满意],最不满意的我觉得就是这款车子的胎噪声音了它 的胎噪声音会有一点大在行车过程中噪音会传到 车内,[外观],外观设计我觉得是非常好看的颜色非常的靓丽开 在路上回头率很高而且我是一个比较爱要面子的 女孩子这款车完全是给足了我的面子,[内饰],内饰的设计我觉得很有运动风感觉特别的飒不过 我觉得触摸起来在一些接缝处和边缘处的处理不 够细腻皮革的手感感觉有一点偏硬,[空间],我对空间的要求并不高因为我自己其实个子也不 是太高坐在车内绰绰有余家人坐在后排也不会觉 得拥挤,[舒适],这款车主打的就是舒适性所以对于这款车的舒适 我还是很满意的坐在车内包裹性非常的不错座椅 软硬适中底盘的通过性也非常的高,[油耗],对这款车的油耗我其实是能够接受的因为我是个 女生对油耗的把握不是特别的足经常猛踩油门走 走停停油耗会消耗得更多一点,[动力],这款车不适合激烈驾驶操作起来会有一些找不着 节奏感对于我这个女生来说动力不需要太强劲只 要满足我日常需求就够了,[操控],自从提了这款车以后我就经常开车到郊外去游玩 它的操控我觉得还挺满意的很容易上手刹刹车也 比较灵敏,[性价比],虽然我是个女孩子但是我对各种车子是非常的喜 爱的性格大大咧咧的只要男孩子爱过的事情我几 乎都有去涉及看到这款车的时候我第一眼是被它 的外观给吸引然后经过介绍人的介绍我觉得这款 车真的很适合我的个性很符合我的要求所以要求 就定了这款车,展开全部
"
    发表于  2021-06    

      
        
    
    
",长春市龙翔汽车贸易有限公司 [吉林省],https://image1.xcarimg.com/attachments/my/1/90/47/158_120.jpg,xuser1914715,三星会员,4.5,外观,4,内饰,5,空间,4,舒适,4,油耗,5,动力,5,操控,5,性价比,4,购入信息,爱车车型,https://newcar.xcar.com.cn/m54561/,2020款天逸 C5 AIRCROSS PHEV1.6T 四驱插混悦享型,购入时间,2020/4/1,购车地点,裸车价格,22.26万  (厂商指导价 23.47万),当前油耗,7.3L/100km,购入用途,接送小孩,自驾游,爱车简评,买天逸的就是因为它的性价比，首先对雪铁龙这个品牌一直有很好的印象，身边朋友很多开雪铁龙的，对它的评价都挺高，还是很皮实耐用的。,爱车评价,[最满意],最满意的就是它的外观，前脸精致时尚，侧面腰线流畅动感，车尾简约大气，整个车身非常有设计感，可以说百看不厌，另外它的日间行车灯造型犀利，辨识度非常高，在路上一眼就能认出来。,[不满意],不满意的就是它的隔音效果不是很好，跑个高速感觉胎噪比较明显。,[外观],天逸的外观很有设计感，前脸用了很多镀铭装饰条，看起来很精致，侧面圆润流畅，还有一些撞色的小设计，非常时尚。,[内饰],内饰同样也不缺乏设计感和时尚感，拼色的内饰看起来很高级，用料也很厚道，触手可及都有软性材质包裹，另外很多细节都处理的很好，偶尔发现的小设计也让我很满意。,[空间],车内空间还是很大的，前排头部空间很充足，视野也特别开阔，完全不觉得压抑，后排腿部空间也很不错，我176的身高，完全不用担心顶腿，而且后排座椅还支持比例放倒，从而获得更大的后备箱空间，灵活性很好。,[舒适],座椅很厚重，坐上去有陷入感，坐上去就像家里的大沙发。隔音表现不够好，城市路面上还算安静，跑高速的时候噪音就比较明显了。,[油耗],油耗不算低，目前表显油耗一直徘徊在11升左右，可能是因为经常堵车的原因吧，这也没什么办法。,[动力],我买的1.8t的车型，动力表现还是很不错的，除了在起步的时候会有一点点肉以外，涡轮介入以后提速非常迅猛，变速箱和油门配合的很好，平时超个车还是很轻松的。,[操控],天逸是偏向舒适性的调教，坐在驾驶位视线很开阔，方向盘握感舒服，转向不费力，每天上下班路上开着很舒服。,[性价比],我很喜欢天逸的外观，车身圆润厚实，虽然很多设计显得有些个性，但是很讨喜，而且路上并不多见，开出去回头率还是很高的。,展开全部
"
    发表于  2021-06    

      
        
    
    
",哈尔滨市博能汽车销售有限公司 [黑龙江省],https://image1.xcarimg.com/attachments/my/1/90/05/747_120.jpg,gh1622342608,三星会员,4.63,外观,5,内饰,5,空间,4,舒适,5,油耗,5,动力,4,操控,5,性价比,4,购入信息,爱车车型,https://newcar.xcar.com.cn/m54561/,2020款天逸 C5 AIRCROSS PHEV1.6T 四驱插混悦享型,购入时间,2020/3/1,购车地点,裸车价格,22.25万  (厂商指导价 23.47万),当前油耗,7.3L/100km,购入用途,购物,接送小孩,爱车简评,先是有了购车的想法，然后就开始了漫长的看车过程，选这个台车我做了很多的功课，看了不是测评，无论是从做还是用料方面都很不错。亲自试驾之后也觉得这个车很不错，而且性价比很高。,爱车评价,[最满意],最满意的地方，外观我个人觉得很漂亮也大气，空间家用足够了，虽然后备箱小点，但是也不常用也够用了。我买的是1.6T的，动力还行。不考虑油耗的话，一般的车也跑不过我。最主要的是这款车性价比超高。轮胎用的是米其林的，法系车还是有良心的。,[不满意],刚买一个月的时候，中控屏突然黑屏死机。到了4S店，断电重启了一下好了，问是什么毛病，维修师傅也说不出来所以然。每次发动都要预热一下感觉麻烦。变速箱太不智能，手动就是摆设，电脑不显示升档，自己想升档升不上去。,[外观],这个外观是仁者见仁，智者见智的事。我觉得挺高端大气上档次的。,[内饰],内饰很舒服我没有异味，自己加了真皮座椅。后悔了本来没味的，后加的座套味太大。,[空间],空间很好，本人175老婆孩子坐后面一点不拥挤。 完全够用了。翘个二郎腿没问题。,[舒适],座椅很舒服，全景天窗很良心，迎合了国人的口味，足够大的天窗也是我选择它的一大原因，采光效果杠杠滴，躺在车里晒晒太阳真的是舒服极了。,[油耗],油耗还能接受吧，毕竟是SUV，不能跟轿车一样。目前没过磨合期，市里10个左右，高速8个左右,[动力],1.8T的动力真的够用，我还特意去跑了泥泞的烂路，没有让我失望，提速很给力，超车变道很有信心。,[操控],多功能方向盘的操作十分的便利，真皮的方向盘采用的也是双色的设计，精准度很好，同时拉高了整车的档次。,[性价比],选车经历了很痛苦的抉择，从车型到品牌每一次都很纠结。最后综合考虑选择了雪铁龙天逸。,展开全部
"
    发表于  2021-06    

      
        
    
    
",洛阳诚狮汽车服务有限公司 [河南省],https://image1.xcarimg.com/attachments/my/1/90/46/571_120.jpg,gh1624587994,三星会员,4.5,外观,4,内饰,4,空间,4,舒适,5,油耗,5,动力,5,操控,4,性价比,5,购入信息,爱车车型,https://newcar.xcar.com.cn/m54561/,2020款天逸 C5 AIRCROSS PHEV1.6T 四驱插混悦享型,购入时间,2020/3/1,购车地点,裸车价格,22.24万  (厂商指导价 23.47万),当前油耗,7.2L/100km,购入用途,购物,接送小孩,爱车简评,这么多年自己辛辛苦苦工作也是存下了一点钱，想买一款性价比高一些的车子，让自己的生活品质好好的提升一下，这台车子的价格在我的买车预算范围之内，而且销量和口碑都是非常不错的，我觉得很适合我,爱车评价,[最满意],车子的外观确实好看，所以我非常的喜欢，我这个人其他方面的追求也不是太高，主要就是希望能买一台自己看着顺眼造型时尚的车子，这台车子做到了,[不满意],也没有什么不太满意的地方，车子提回来到现在表现一直都还蛮不错的，确实给我的生活品质带来了一定的提升,[外观],车子的外观造型还是非常的时尚的，而且我特别喜欢的就是它的车头设计，我觉得非常的有个性，百看不厌，选择一台自己喜欢的车子，也是我的一个梦想吧，这台车子让我实现了,[内饰],这台车子的内饰其实算不上豪华，但是整体的做工应该称得上比较精致了，用料上也是比较厚道的，用手摸上去就能感觉到车子的品质还是非常不错的,[空间],这台车子的空间是可以的，平时的话自己一个人开，有时间的情况下带着家人一起出门，感觉满载的时候车子也不会太拥挤，后排的空间还是非常宽裕的,[舒适],这台车子的舒适性我觉得还是可以的，因为座椅设计的不错，挺柔软，减震调教的也还不错，坑坑洼洼的路段也是走过的，感觉震荡感还行，不会太明显能接受,[油耗],因为每天都要开车上下班，早上和晚上都是比较堵车的，错开高峰期通行的话车子的油耗还不错，但是如果堵在路上的时候，油耗就会比较高，现在的综合油耗我觉得也能接受,[动力],这台车子的动力，我觉得平时代步完全没有问题，在城市道路离开的时候是非常舒服的，而且我开车的时候一般都开着空调跑，感觉开着空调动力也没有变弱太多，加速同样是很快的,[操控],这台车子的操控不难，我觉得车身大小合适，本身就是比较好操控的，另外就是方向盘也比较灵敏，刹车油门也比较线性，所以整体的操控感是非常的优越的,[性价比],买车的目的是为了提升一下自己的生活品质吧，感觉有车的话自己上下班能够方便一些，也能在休息的时候带着家人出去玩耍一下，因为这个目的，所以开始在网上看车，选中了这台车子，是因为比较喜欢它的外观造型，另外就是价格对我来说也比较合理，让我能够没有太大的压力就提车,展开全部
"
    发表于  2021-06    

      
        
    
    
",河南省富达汽车销售服务有限公司 [河南省],https://image1.xcarimg.com/attachments/my/1/90/22/217_120.jpg,gh1623118344,三星会员,4.75,外观,5,内饰,5,空间,5,舒适,4,油耗,5,动力,5,操控,4,性价比,5,购入信息,爱车车型,https://newcar.xcar.com.cn/m54561/,2020款天逸 C5 AIRCROSS PHEV1.6T 四驱插混悦享型,购入时间,2020/3/1,购车地点,裸车价格,22.23万  (厂商指导价 23.47万),当前油耗,7.2L/100km,购入用途,接送小孩,自驾游,爱车简评,原本没有想换车开了十一年的自动挡轿车感觉自己觉得车况还是不错的，得心应手可老婆开不惯手动挡嚷嚷着要换车，预算也就是15到20万左右那好换就要换suv的因为之前我开的就是轿车所以得换看了荣放标致crv天逸,爱车评价,[最满意],天逸有很多不错的地方如果是家用偶尔走走山路天逸扎实的底盘和203mm的离地间隙和phc完全没啥问题减震真的不错，法系车的设计总体来说还是那么的超前行驶起来还是很稳的很安静，高速时候方向盘很沉稳定感不赖，内饰用料厚道,[不满意],雪铁龙天逸C5这车有人反映有轻微的烧机油，可我多次观察未发现有烧机油现象。倒是冷却液在今年夏天时发现低于下限了，联系4S店添加了一些，自已加的，最不满意雪铁龙4S店大少，很多城市没有，这点不太方便。,[外观],天逸外观还是很满意的，尤其是它内饰，让我难忘。棕色整体内饰，黑色、棕色、白色形成撞色，看起来既不过于艳丽，也不至于太单调，就是那种让人看起来温暖舒适。另外，它PHC自适应系统值得拥有。,[内饰],天逸C5内饰十分精致，布局十分合理。还有这种双色搭配设计，的确与众不同。功能配置也到位，配置相当了得，多功能方向盘，方向盘下还有换挡拨片，这个价位的车少有啊。,[空间],我对空间需求特别大，所以天逸的空间是相当够用。实际体验的话，本人1米78，把驾驶位调到最亮才能顶到头，调成自己合适的坐姿，腿离中控台还有挺大宽度，中控台不会顶腿，头顶也还有一拳多空间。,[舒适],天逸的舒适性还是可以的，座椅的设计很符合人体工学，坐着非常的贴合头部的位置很轻松包裹性很好坐着人好像嵌入进去啦，开着出远门没啥区别,[油耗],油耗比我预期要低一点，感觉跟自己的驾车习惯有关每个人不一样,[动力],天逸C5动力方面选的1.6T，马力满足日常家用和自驾完全OK，轻压油门就能有一种推背反应，方向盘转向也精准，而且握着有种扎实感觉，安全。,[操控],天逸看起来架子挺大，但开起来十分灵巧，方向轻巧，油门刹车都灵敏，速度也来得快，变速箱平顺，驾控是车随心所动，得心应手，没有任何笨重感与迟缓，开得流畅。双大屏洋气配置，中控屏触控灵敏度赶平板。,[性价比],雪铁龙天逸C5是一款不错的城市SUV车型，如果你在乎是保值率那法系你就不用考虑。,展开全部
