publish,标题,名称,名称1,名称2,评分,评分3,评分4,评分5,评分6,评分7,评分8,评分9,评分10,评分11,评分12,评分13,评分14,评分15,评分16,评分17,评分18,标题19,信息,信息_链接,信息20,信息21,信息22,信息23,信息24,信息25,信息26,信息27,信息28,标题29,jia_text,信息30,dw_22,dw_2231,dw_23,dw_2332,dw_1,dw_133,dw_2,dw_234,dw_5,dw_535,dw_3,dw_336,dw_4,dw_6,dw_637,dw_8,dw_838,up_链接,up,dw_11,dw_1139,dw_7,dw_740
"
    发表于  2023-07    

      
        
    
    
",空间还是非常不错的，虽然车子的车身并不是同级别中最大的，但是在空间的设计方面是比较合理的，所以无论坐在哪个座位上，都会感到宽敞明亮。,https://image1.xcarimg.com/attachments/my/1/94/93/167_120.jpg,xuser1959316,三星会员,4.88,外观,5,内饰,4,续航,5,空间,5,舒适,5,动力,5,操控,5,性价比,5,购入信息,爱车车型,https://newcar.xcar.com.cn/m66651/,2023款AION VPlus 70 智领版 三元锂,购入时间,2023/6/1,购车地点, [黑龙江省],裸车价格,18万  (厂商指导价 18.98万),续航里程,400km,爱车简评,最满意的就是各种配置应有尽有，操控配置带来的是轻松的操控感受，智能配置带来的是一种智能化的体验，让我享受了高科技的乐趣。,爱车评价,[最满意],我认为这台车子最明显的优势还是这更好的驾驶体验以及现在比较出色的需要能力，同时整个车子的外观设计也确实相当漂亮的，看上去非常有个性，都是整个车子的内部配置也是比较高的，尽管说我们买的这个也是次低配车型，但车内的配置水平还是很可以的，而且这台车子的内部空间也非常大，所带来的乘坐体验也是非常不错的,[不满意],我觉得这台车子的设计的确没有那么人性化，首先就是没有比较常用的物理按键，而且很多比较常用的功能也放在二级菜单，操作起来还是不太方便。,[外观],封闭式车头是这大多数纯电动车都会采用的设计，不过这台车子两侧的分体是大灯让它的前脸多了几分个性化色彩，从侧面看上去双色车身和上扬的腰线以及这幅机甲风格的轮毂也在很大程度上增强了整台车的运动气息，而且整个车子的车漆工艺也非常棒。,[内饰],这台车子的内饰采用了十分简洁的设计理念，整体看上去确实挺大气的，而且车子内部的配置也确实比较高，中控屏幕的尺寸很大，内部的功能非常丰富，但取消常用的实体按键和旋钮还是有些不方便，尤其是内置在二级菜单里的空调开关用起来就很麻烦。,[续航],这辆车的电池续航可圈可点，满电行驶里程可达到400公里左右，目前的表显电耗是15.8kwh/100km，偶尔需要远途出行也没有太大问题，毕竟我们这边的充电桩主还是比较普遍的，更何况平时要跑的长途也很少。,[空间],朋友在我买车之前也入手了一台中型的SUV探界者，虽然AION V的定位是一台旧型的SUV，但我觉得这台车的车身尺寸甚至还要比探界者略大一些，车内的乘坐空间相当宽敞，全平的后排地板也保证了中间位置的腿部空间，还有头顶的巨大天幕也让车内显得更加通透。,[舒适],[动力],对于一台电动车来讲，这台车子的动力爆发性是比较强的，但整体的调校，各个速度阶段下动力都不会太窜，而且电动助力的转向也是颇有质感的，虽然它的体格比较大，但这辆车开起来会给人一种十分轻盈的感觉。,[性价比],我这一款是次低配车型，但辅助性操控配置还是很全面的，而且车机系统的功能也很丰富，再说纯电动车日后的养车成本不会太高，我觉得这台车还是很值得入手的。,javascript:;,展开全部,[充电],这台车子的成本挺低的，一公里也就一毛左右的费用。,[操控],如果只是生活用车，选这个车是绝对没错的，在城市的道路上行驶，车子的动力表现是一种比较平缓的输出，会带来非常平稳的感受。但如果想体验驾驶激情的话，可能就会小小的失望了。
"
    发表于  2023-07    

      
        
    
    
",空间就是看个人的接受和用途了，我买来就是上下班代步，偶尔带着老婆和孩子外出旅游，这个空间对一家三口来说是正合适的。,https://image1.xcarimg.com/attachments/my/1/94/93/165_120.jpg,xuser1959316,三星会员,4.88,外观,4,内饰,5,续航,5,空间,5,舒适,5,动力,5,操控,5,性价比,5,购入信息,爱车车型,https://newcar.xcar.com.cn/m66651/,2023款AION VPlus 70 智领版 三元锂,购入时间,2023/6/1,购车地点,上海星品宝黎汽车销售服务有限公司 [上海市],裸车价格,18万  (厂商指导价 18.98万),续航里程,400km,爱车简评,从里到外的科技感，营造得不错，这是我很满意的地方，不仅仅在于颜值，多媒体配置在科技方面的表现也是很超前的。,爱车评价,[最满意],费用真是太低了。这可不仅仅是和燃油车相比，和同级别的其他车相比，它的用电也是极少的。我打听了一下朋友的那台纯电车，百公里用电都是15千瓦时往上，我的才14.2。,[不满意],第一次测满电续航里程时就不太满意，当时是420公里，后来天气越来越冷，基本维持在410公里，在我看来，这个续航是有点低了。再就是价格问题，我觉得接近19万的定价也有点小高。看着外观挺高大上的，没想到内饰这么简陋，也不能说简陋，其实用料和做工倒是也可以，就是这个设计没有那么高级。,[外观],设计方面是比较时尚的，另外有一种很强烈的科技感，这也是现在新能源车普遍采用的风格了。外观确实高大上，有比较浓重的纯电动车风格，看起来时尚又科幻。我还特别留意了一下漆面的喷涂，厚度还不错，整个车身的漆面也比较均匀。,[内饰],内饰注重的并不是时尚，而是实用性，所以整个中控台的布局简约大气，用着顺手，看着也协调。,[续航],买车的时候就有点冷了，用到十月底的时候算了一下，平均续航是440公里，现在稍微低了一点，能达到430。,[空间],空间方面，我个人感觉他比几款同级别的车型要宽松一点，其实我对空间的需求倒是也不大，平时就是我一个人开车，但大车坐着就是舒服。,[舒适],[动力],当初第一次开这台车时，感觉它的动力在起步时是非常猛烈的，速度响应的很快，现在带给我更多的是轻松的驾乘感受。,[性价比],这车的实力确实不俗，开着也挺舒服的，但我觉得价格应该再便宜点，现在接近19万的价格并没有太大的竞争优势，也就是我对这台车情有独钟吧，觉得它很适合我。这个价格在我看来是不贵的，不知道别人怎么想，因为我感觉买一台车既要看做工，还要看性能和质量，各方面都满意才能买下来。,javascript:;,展开全部,[充电],最担心的问题还是出现了，充一次电基本上可以跑一周左右的时间，其实在市区里用这个续航也是够了，但是考虑到将来还是想出去旅游的，就害怕续航持续下降，满足不了需求。,[操控],开起来和燃油车的感受差不多，如果说动力差别的话，就是这台车的起步更猛一点，后期加速感都差不多了。
"
    发表于  2023-07    

      
        
    
    
",不得不说AION V就是我的梦中情车，空间相当大，我之前一直开的是燃油车，突然换上电车之后，才知道电车后排空间这么好，纯平地台，坐在里面的感觉很宽敞，很舒服。,https://image1.xcarimg.com/attachments/my/1/94/93/164_120.jpg,xuser1959316,三星会员,4.88,外观,5,内饰,4,续航,5,空间,5,舒适,5,动力,5,操控,5,性价比,5,购入信息,爱车车型,https://newcar.xcar.com.cn/m66655/,2023款AION VPlus 80 智领版 三元锂,购入时间,2023/7/1,购车地点, [河北省],裸车价格,20万  (厂商指导价 20.48万),续航里程,500km,爱车简评,时尚的外观总是让我很开心，它的线条真的很流畅，给人一种很舒适的感觉。轮胎的造型也很漂亮，还很有厚度，也很有安全感。,爱车评价,[最满意],我对它最满意的应该就是颜值这一块，出去玩的时候，也为我赚足了回头率。我第一次就被它的配色所吸引到了，觉得它的设计风格以及颜色搭配非常有魅力。,[不满意],可能也觉得稍微有一点不满的就是新车刚拿回来的时候有一点味道，不过这也是每个新车都不可避免的问题。,[外观],这个车绝对是我第一眼就看上的，它也属于百看不厌的类型，现在这买了也好久了，还是觉得很帅。车尾部的设计很有格调，特别是当灯亮起的那一瞬间，真的很好。,[内饰],内饰除了味道之外，其它地方表现都是非常好的，刚进入车内就觉得中控的布局是很合理的，看起来也非常养眼，座椅的包裹度也比较好，刚开始坐在车上的时候就会觉得非常舒服。车子的性价比也还可以，因为是电车，所以后期的用车成本真是聊胜于无，现在出门开车也不用算油耗了，本身价格也不贵。,[续航],现在温度还是比较低的，早晨上班的时候都比较早，所以也会开空调。目前能够开到八折，我觉得没有什么问题。,[空间],我们一家三口用AION VPlus完全没问题，这是一个非常适合家用的电车。就算人多出门旅游的时候，后排还可以轻松的坐下三个成年人，坐在里面感觉不到任何的束缚感，感觉非常轻松自在。在同级别车里，基本上是无敌的状态了，它的空间真的很大，不管是前排还是后排都有很大的富裕。后备箱空间也非常大，出门的行李都可以放在里面。,[舒适],[动力],开起来就是和燃油车不一样，电动车很安静，加速的时候也很轻盈，在路上加速的时候能够感受到推背感。方向盘也是非常轻巧的，刹车踩起来灵活度高，回弹快，很不错。,[性价比],车内是可以连接WiFi热电的，很方便，手机APP远程可以控制车门，充电，空调等等各种功能也很方便。,javascript:;,展开全部,[充电],目前刚拿回来车，真的很激动而且用电之后就是感觉出行没有成本一样，所以总是出去玩，当然是以城市道路为主的，所以续航目前看起来很乐观。,[操控],我平常开车还是比较佛系的，但是它的动力确实比较充沛。转向也很精准，各种智能化的配置，让操控变得简单了起来。
"
    发表于  2023-07    

      
        
    
    
",车里的转性材料比较多，但是没有什么难闻的气味，在环保上是比较到位的。,https://image1.xcarimg.com/attachments/my/1/94/93/162_120.jpg,xuser1959316,三星会员,4.88,外观,5,内饰,4,续航,5,空间,5,舒适,5,动力,5,操控,5,性价比,5,购入信息,爱车车型,https://newcar.xcar.com.cn/m66655/,2023款AION VPlus 80 智领版 三元锂,购入时间,2023/6/1,购车地点, [黑龙江省],裸车价格,20万  (厂商指导价 20.48万),续航里程,500km,爱车简评,设计的风格简约大气，前后比例十分协调，我个人觉得还是很符合我的审美。,爱车评价,[最满意],三个地方很满意，第一是满电续航里程比较高，可以达到540。第二是设计感比较强，从里到外都很有个性。第三是智能配置很好用。我对它最满意的应该就是颜值这一块，出去玩的时候，也为我赚足了回头率。我第一次就被它的配色所吸引到了，觉得它的设计风格以及颜色搭配非常有魅力。,[不满意],在驾驶过程中，我感觉这个底盘有点低，好处是车身比较稳，但是缺点也来了，就是每次开车总是怕碰着磕着。买新能源车就要接受它需要频繁充电的问题，但是我觉得像我选择的这种版本。它的充电频率和我平常开油车去加油的频率相差无几。,[外观],自从有了电动车，我就觉得比燃油车好看太多了，虽然没有宽大的前格栅，但我还挺喜欢这种科幻新潮的设计。,[内饰],内饰不管是从观感还是触感上都非常的好，你永远都可以相信埃安。,[续航],买车之前看一些网评，发现大部分网友都说，纯电车的续航打的折扣差不多是七八折，我的车实际续航只少了60公里，挺不错了。,[空间],尺寸在同级别的车型里，属于中上游水平，虽然不是最大的，但这个空间设计和整体的布局挺不错，满足了驾乘需要，也能满足载物储物的需要。 本人身高177，体重145斤，坐在驾驶位上感觉还是很ok的，完全没有问题。调整到合适的姿势之后，头部空间还能够有两拳。而腿部空间剩余的就更多了，像我坐进去之后，后排坐一个成年人也是完全没有问题的。现在周末还会带着老婆孩子一起出去玩，一家人开这个车完全没有压力。,[舒适],[动力],动力发挥挺不错的，加速时能够切身感觉到这个速度上升的很快。底盘稳定，方向轻松，唯一的缺点就是底盘过于低了，路感不太好。,[性价比],不算其他费用，这个车的价格不到18万，比我的预算高了一点点，但是冲着车子的实力和性能表现，我认为多花点钱也是值得的。,javascript:;,展开全部,[充电],现在温度还是比较低的，早晨上班的时候都比较早，所以也会开空调。目前能够开到八折，我觉得没有什么问题。,[操控],我平常开车还是比较佛系的，但是它的动力确实比较充沛。转向也很精准，各种智能化的配置，让操控变得简单了起来。
"
    发表于  2023-07    

            
    
    
",起步不肉，动力很好，比油车完全是两个概念，刹车在节能模式下有点软，单踏板模式适合市区，基本很少踩刹车,https://image1.xcarimg.com/attachments/my/1/88/11/440_120.jpg,xuser1891144,青铜长老,3.88,外观,3,内饰,3,续航,5,空间,5,舒适,4,动力,4,操控,3,性价比,4,购入信息,爱车车型,https://newcar.xcar.com.cn/m66654/,2023款AION VPlus 70 智享七座版 三元锂,购入时间,2023/2/1,购车地点, [湖南省],裸车价格,20.68万  (厂商指导价 20.68万),续航里程,2.5km,爱车简评,这台车子的动力爆发性是比较强的，但整体的调校，各个速度阶段下动力都不会太窜，而且电动助力的转向也是颇有质感的，虽然它的体格比较大，但这辆车开起来会给人一种十分轻盈,爱车评价,[最满意],驾驶感打爆油车，起步和低速很安静，没有发动机噪音。后排空空间无敌，老婆和孩子很喜欢后排的乘坐舒适性，对比以前的车。外形酷炫符合新时代审美。悬架很软，舒适性很好,[不满意],用节能模式的时候刹车较软，刹车信心不足，但是用单踏板模式就很适合，拖拽感可以接受。后备箱空间没有预期的大，后备箱较高，建议可以取消备胎，增加后备箱空间。全系列都是全景天幕，不给配全景天窗，有点担心夏天热，还好店里送了幕布，也担心天幕玻璃会不会容易裂开,[外观],当时在店里就看到这造型不错 车头造型 很完美，自己看图吧,[内饰],内饰都是软性材质，很舒服 内饰用料 对比以前的车子，现在的内饰一目了然,[续航],在市区都是家用充电桩，一天也开不到几百公里，所以完全没有焦虑，出个区县的差，有时候续航不够就用用快充，店里说一个月用一次慢充校正一下电池就好，觉得不错，毕竟一个月要回一次家嘛，哈哈，其实每周都回的,[空间],排空间无敌，家里领导和孩子很满意 后备厢容积 后备箱空间没有预期的大，地台较高，本来下部分空间还很好，可以有个备胎，建议优化一下 第二排空间 完美的二排空间，有个小桌板更好 车内储物能力 储物能力直接上图，堪称移动工作室，完美加完美,[舒适],[动力],动力十足推背感十足,[性价比],感觉比家里的奇骏还要大，但是其实车身尺寸也差不多，就感觉有点奇怪，不知道为什么 购车时没什么优惠，不过看到很多人选择这个品牌，也有很多网约车选这个品牌，证明质量好，品质有保证，无脑选，哈哈哈哈,https://newcar.xcar.com.cn/4864/review/comment-434580.html,展开全部,,,,
"
    发表于  2023-07    

      
        
    
    
",开起来和燃油车的感受差不多，如果说动力差别的话，就是这台车的起步更猛一点，后期加速感都差不多了。,https://image1.xcarimg.com/attachments/my/1/88/11/443_120.jpg,xuser1891144,青铜长老,4,外观,4,内饰,4,续航,4,空间,4,舒适,3,动力,4,操控,4,性价比,5,购入信息,爱车车型,https://newcar.xcar.com.cn/m66654/,2023款AION VPlus 70 智享七座版 三元锂,购入时间,2023/1/1,购车地点, [吉林省],裸车价格,20.68万  (厂商指导价 20.68万),续航里程,2.5km,爱车简评,我这一款是次低配车型，但辅助性操控配置还是很全面的，而且车机系统的功能也很丰富，再说纯电动车日后的养车成本不会太高，我觉得这台车还是很值得入手的,爱车评价,[最满意],费用真是太低了。这可不仅仅是和燃油车相比，和同级别的其他车相比，它的用电也是极少的。我打听了一下朋友的那台纯电车，百公里用电都是15千瓦时往上，我的才14.2。,[不满意],看着外观挺高大上的，没想到内饰这么简陋，也不能说简陋，其实用料和做工倒是也可以，就是这个设计没有那么高级。,[外观],外观确实高大上，有比较浓重的纯电动车风格，看起来时尚又科幻。我还特别留意了一下漆面的喷涂，厚度还不错，整个车身的漆面也比较均匀。,[内饰],外观设计挺张扬的，我还是更喜欢个性张扬的风格，内饰设计就比较一般了，虽然走的是简洁风，但也不能这么朴素啊,[续航],买车的时候就有点冷了，用到十月底的时候算了一下，平均续航是440公里，现在稍微低了一点，能达到430。,[空间],空间就是看个人的接受和用途了，我买来就是上下班代步，偶尔带着老婆和孩子外出旅游，这个空间对一家三口来说是正合适的。,[舒适],[动力],动力十足推背感十足,[性价比],这个价格在我看来是不贵的，不知道别人怎么想，因为我感觉买一台车既要看做工，还要看性能和质量，各方面都满意才能买下来。,javascript:;,展开全部,,,,
"
    发表于  2023-07    

            
    
    
",动力果然像我听说的那样，纯电动车跑起来比燃油车还要有劲，尤其是后段加速的时候，真是猛烈十足,https://image1.xcarimg.com/attachments/my/1/88/39/045_120.jpg,xuser1893904,青铜长老,4.13,外观,4,内饰,4,续航,4,空间,4,舒适,5,动力,3,操控,4,性价比,5,购入信息,爱车车型,https://newcar.xcar.com.cn/m66653/,2023款AION VPlus 70 智享科技版 三元锂,购入时间,2023/2/1,购车地点, [河北省],裸车价格,19.98万  (厂商指导价 19.98万),续航里程,2.5km,爱车简评,内饰和外观的风格差不多，也是在时尚中添加了科技的元素。另外值得一提的是，做工很不错，没有丝毫的粗糙感,爱车评价,[最满意],让我最满意的是这个操控感。因为我是第一次开纯电车，所以在开车的时候总是小心翼翼的。后来发现其实车子很好操控，比很多燃油车还要好开。,[不满意],我觉得这台车子的设计的确没有那么人性化，首先就是没有比较常用的物理按键，而且很多比较常用的功能也放在二级菜单，操作起来还是不太方便。,[外观],封闭式车头是这大多数纯电动车都会采用的设计，不过这台车子两侧的分体是大灯让它的前脸多了几分个性化色彩，从侧面看上去双色车身和上扬的腰线以及这幅机甲风格的轮毂也在很大程度上增强了整台车的运动气息，而且整个车子的车漆工艺也非常棒。,[内饰],这台车子的内饰采用了十分简洁的设计理念，整体看上去确实挺大气的，而且车子内部的配置也确实比较高，中控屏幕的尺寸很大，内部的功能非常丰富，但取消常用的实体按键和旋钮还是有些不方便，尤其是内置在二级菜单里的空调开关用起来就很麻烦。,[续航],大概纯电动车也是需要磨合期的，这个咱也不太懂，毕竟也是第一次开纯电车，现在的续航里程我不是很满意，满电情况下只有412。成本似乎也有点高，百公里15.7千瓦时，按照这个级别，我听说人家其他的车才14点多,[空间],空间表现不能说绝对让人满意吧，但是我觉得在这个级别里，这台车的空间表现还是很有优势的。看着尺寸都差不多，但是空间设计非常合理，每个小地方都利用起来了，可以放很多日常用品。,[舒适],[动力],动力十足,[性价比],我这一款是次低配车型，但辅助性操控配置还是很全面的，而且车机系统的功能也很丰富，再说纯电动车日后的养车成本不会太高，我觉得这台车还是很值得入手的。,https://newcar.xcar.com.cn/4864/review/comment-434578.html,展开全部,,,,
"
    发表于  2023-07    

            
    
    
",如果只是生活用车，选这个车是绝对没错的，在城市的道路上行驶，车子的动力表现是一种比较平缓的输出，会带来非常平稳的感受。但如果想体验驾驶激情的话，可能就会小小的失望了。,https://image1.xcarimg.com/attachments/my/1/88/39/069_120.jpg,xuser1893906,青铜长老,3.88,外观,3,内饰,4,续航,5,空间,4,舒适,4,动力,4,操控,3,性价比,4,购入信息,爱车车型,https://newcar.xcar.com.cn/m66653/,2023款AION VPlus 70 智享科技版 三元锂,购入时间,2023/1/1,购车地点, [天津市],裸车价格,19.98万  (厂商指导价 19.98万),续航里程,2.5km,爱车简评,性价比和外观审美一样，也要看自己的感受了，我是根据车子的综合表现做出的评价，我认为这台车的性价比还是高的。,爱车评价,[最满意],最满意的就是各种配置应有尽有，操控配置带来的是轻松的操控感受，智能配置带来的是一种智能化的体验，让我享受了高科技的乐趣。,[不满意],目前唯一不太满意的就是这个车的动力，比我想象的要平缓，没有那么猛烈的表现，在体验驾驶激情的时候差了点意思 。,[外观],外观这方面还是要看每个人的喜好吧，我挺喜欢爱车这种优雅大气的感觉，从侧面看还有一种运动气质，蛮不错的。,[内饰],内饰最好的地方是做工，许多地方处理得很精致，看上去就像是20多万的车。,[续航],首先，这台车子的成本挺低的，一公里也就一毛左右的费用。然后再给续航能力点个大大的赞，实际的续航数据只比官方数据少60公里左右，对这一点我是很满意的。,[空间],空间还是非常不错的，虽然车子的车身并不是同级别中最大的，但是在空间的设计方面是比较合理的，所以无论坐在哪个座位上，都会感到宽敞明亮,[舒适],[动力],动力十足推背感十足,[性价比],整体性价比挺不错的，买车的时候虽然优惠的不算多，但销售员的服务态度不错，还送了一套脚垫，心里也蛮舒服的。,https://newcar.xcar.com.cn/4864/review/comment-434577.html,展开全部,,,,
"
    发表于  2023-04    

      
        
    
    
",座椅是仿皮的，做工还是比较精细，座椅设计的包裹性也强，坐起来比较舒服。方向盘是真皮材质，手感好，不打滑，软硬适中。,https://image1.xcarimg.com/attachments/my/1/94/67/268_120.jpg,xuser1956726,三星会员,4.88,外观,5,内饰,5,续航,5,空间,5,舒适,4,动力,5,操控,5,性价比,5,购入信息,爱车车型,https://newcar.xcar.com.cn/m66650/,2023款AION VPlus 70 智领版 磷酸铁锂,购入时间,2023/3/1,购车地点, [青海省],裸车价格,14万  (厂商指导价 18.98万),续航里程,500km,爱车简评,"车身小巧好开，里面乘坐空间又很大，前排后排腿部空间都比同级别车要大，对比过小鹏G3,内部空间比小鹏G3明显大很多。续航里程较长，平时使用成本低。",爱车评价,[最满意],AION Y这车作为埃安家族的畅销车型，可以说是一招鲜吃遍天的典型。当初选车时先后试驾过几何A、海豚、秦plus、元plus、小鹏G3、P5，最终选择AION Y却是因为在打开后排车门的一瞬间被折服了。在4米4的紧凑车身里给到了我能想象到的最极致空间，把我这种主要用车场景是带娃的奶爸拿捏的死死的。,[不满意],要说做不满意的地方就是22款全系减配了FM，只有网络收音机，AUX接口也在大智能时代被淘汰掉了。我的智领版更是连后档加热和雨刮也减配掉了。再有不能说是不满意吧，只能算是遗憾，毕竟有限的空间都给后排了，自然后备箱的空间就捉襟见肘了。,[外观],个人相当喜欢这种方方正正的两厢车，一切以实用为前提。我的是冰川蓝，相较21款没有了橙色的撞色搭配，虽然少了点儿俏皮，却显得这个蓝色更清亮了一些。 我闺女则是对大灯的设计很满意，一直说这是化妆车车。,[内饰],我的内饰是清新马卡龙，相当年轻化的内饰，很对我的胃口。方面只能说一般般了，只有扭力梁，该颠颠，无功无过。 内饰用料：不过大部分是硬质的，只有中央的扶手箱，车门搭手的地方这些经常会触碰的地方是软包的，我倒不是太在意这个，毕竟平时摸的少看得多。,[续航],车子的标准续航是500公里，但是电车基本是没有能跑到标准续航的，基本上续航情况就是春秋9折，夏天8折，冬天6折，而冬天高速直接打骨折，只剩不到5折差不多240公里左右。,[空间],身高175，在第二排可以轻松翘二郎腿，这空间也够我放进一个大皮墩的。毕竟也是类似SUV的车型，头部空间大概两拳有余，也够我1米的小闺女偶尔在座椅上蹦蹦。 ☆ 空间设计亮点：最大的亮点就能能在这么紧凑的空间里提供这种无敌的后排空间了，而且前排座椅可以完全放平，和后排连成一体，搭配上官方的单／双人床垫，以及电车先天的畅想空调优势，可玩性很高。同时车门还是可以90度打开的，如果像我一样家庭用车，自己甘愿做一个老老实实的司机的话，这车在这个价位上真是绝了。 后备厢容积：毕竟车身有限，后排宽敞了后备箱自然就捉紧一些。前后空间我放了一个较大的儿童三轮推车就差不多了，纵向得益于方方正正的设计还算宽裕。,[舒适],[动力],起步/加速动力：虽然是一款实用为先的家用车，但得益于电驱随叫随到扭矩特性，起步加速还是相当快的，尝试过半载情况下运动模式0-100km/h加速大概还是能到七八秒的样子。后端的话100以内提速还是很快，但到了110以后就不是很给力了。,[性价比],最开始看AION Y的时候才13w就可以买次顶配，一个是等指标，一个是犹豫，结果就等来了2万块的涨幅。不过对于我这种对空间最敏感的带娃家庭来说，它仍然是这个价位上我的Dream Car。,javascript:;,展开全部,[充电],感觉电车能耗主要跟天气和时速有关，没有完整的估算过续航，按电耗来说吧。官方给的标准电耗是13.8，实际使用夏天空调开的比较大、温和驾驶表显能耗平均在14到18之间，秋天凉快了能在13左右，高速上90公里左右能耗和市区差不多，踩到120时候能耗就往18 19去了。冬季我空调24度1档大概电耗在22左右。虽然打折不少，但也不至于是虚标王。 公共充电桩：坐标北京房山，身边的公共桩单就我常用的app，3km以内就有10个充电站，没有私桩倒也不是很焦虑。基本没有出现过排队的情况，只是电价相对私桩来说贵一些，根据时段和地理位置不同在7毛到1块8之间波动，我常用的时段及电站基本是1块2到1块4。,[操控],转向助力我一直用标准，感觉很轻盈，个人感觉没什么虚位指向很精准。
"
    发表于  2023-04    

      
        
    
    
",整体驾驶比较舒服。,https://image1.xcarimg.com/attachments/my/1/94/67/264_120.jpg,xuser1956726,三星会员,4.88,外观,5,内饰,5,续航,4,空间,5,舒适,5,动力,5,操控,5,性价比,5,购入信息,爱车车型,https://newcar.xcar.com.cn/m66650/,2023款AION VPlus 70 智领版 磷酸铁锂,购入时间,2023/3/1,购车地点,上海弘仁宝裕新能源汽车销售服务有限公司 [上海市],裸车价格,14万  (厂商指导价 18.98万),续航里程,300km,爱车简评,在4米4的紧凑车身里给到了我能想象到的最极致空间，把我这种主要用车场景是带娃的奶爸拿捏的死死的。,爱车评价,[最满意],外观设计个性鲜明，深得我心；空间比较大，特别是后备箱很大，后排还可放到，直接变成一张小床；使用成本极低，一公里可以做到1毛以内，越用越省钱。,[不满意],高速行驶质感不好，感觉底盘比较松散，风噪和胎噪比较大，转弯的支撑性也不是很好。,[外观],总体来说外观比较简单但又很鲜明，没有特别的过度装饰，这一点我比较喜欢。车头是一个家族式的设计，埃安的车基本上都长这样比较有辨识度。,[内饰],内饰设计在这个价位来说还可以，座椅为仿皮材质，缝线基本是黄色还是比较新颖。空调效果也很好，夏天的时候很冷。 座椅舒适性：座椅做起来比较软，坐久了不会太累。但是有一点，后排中间的位置坐着不是特别舒服，长途开车不适宜坐人，而且仿皮材质不吸汗，坐久了屁股都湿了，我还专门买了垫子。,[续航],车子的标准续航是500公里，但是电车基本是没有能跑到标准续航的，基本上续航情况就是春秋9折，夏天8折，冬天6折，而冬天高速直接打骨折，只剩不到5折差不多240公里左右。,[空间],虽然是紧凑级的suv，但是空间表现依旧不错，加上视野高，坐在车内给人的感觉空间是非常大的 乘坐空间：车身比较高，坐着没有一点拥挤感，完全没有轿车带给人的压迫感，第二排坐满人也不会有拥挤感，非常不错。 后备厢容积：平时出去耍，一家人的行李随便拉，完全没有任何问题。白天出去郊游，直接把后排放到，躺在车里吹风很是惬意。,[舒适],[动力],低速加速非常快，电车都这样，红绿灯口我基本上都是最先冲出去的，但是高速加速就不太行了。车子的刹车调的不是很线性，前段刹车不是很明显，但是后段反应有很灵敏，可能是动能回收的问题吧。反正市区代步完全没有问题。 开空调/满载加速：高速上坐上5个人开着空调，加速和小排量自吸车没有什么区别，动力很肉，还特别费电，高速上超个车非常危险。,[性价比],不到14w的车价，就能买到续航500公里的车，性价比很高，同级别里竞争力很强，而且开的越多越划算。,javascript:;,展开全部,[充电],充电时间：家里没有充电桩，基本上都是在外面充电，价格分时间段，我一般都会晚上9点以后去，充满一次电时间一个多小时，花费一般在40块左右，还是比较划算的。,[操控],转向助力我一直用标准，感觉很轻盈，个人感觉没什么虚位指向很精准。 起步/加速动力：虽然是一款实用为先的家用车，但得益于电驱随叫随到扭矩特性，起步加速还是相当快的，尝试过半载情况下运动模式0-100km/h加速大概还是能到七八秒的样子。后端的话100以内提速还是很快，但到了110以后就不是很给力了。
