publish,标题,图片,名称,名称1,评分,评分2,评分3,评分4,评分5,评分6,评分7,评分8,评分9,评分10,评分11,评分12,评分13,评分14,评分15,评分16,评分17,标题18,信息,信息19,信息20,信息21,信息22,信息23,信息24,信息25,信息26,标题27,purpose,标题28,jia_text,信息29,dw_22,dw_2230,dw_23,dw_2331,dw_1,dw_132,dw_2,dw_233,dw_3,dw_4,dw_334,dw_435,dw_6,dw_636,dw_7,dw_737,dw_8,openall
"
    发表于  2022-05    

      
        
    
    
",因为自己的预算不是很高，所以就想挑选一款性价比较高的车型，看来看去就选择了这款车。,https://image1.xcarimg.com/attachments/my/1/93/60/482_120.jpg,xuser1946048,三星会员,5.00,外观,5,内饰,5,空间,5,舒适,5,油耗,5,动力,5,操控,5,性价比,5,购入信息,爱车车型,购入时间,2021-03-01,购车地点,北京东南得利卡汽车贸易有限公司 [北京市],裸车价格,19万  (厂商指导价 19.78万),当前油耗,8L/100km,购入用途,上班,爱车简评,整台车子我觉得配置方面挺好的，另外就是外观造型方面其实设计的也算是比较吸引人了，相对来讲选择的时候，一开始我真的是被它的外观所打动了，车身的造型比较亮丽,爱车评价,[最满意],我最满意的就是这款车的颜值和性价比了，整车的设计看起来比较大气，开在路上也很有面子，然后就是性价比很高，价格比较实惠。,[不满意],我觉得这台车子让我目前不太满意的地方，主要是在新车刚提回来的时候有特别大的异味。,[外观],这台车子我觉得外观造型方面的话是好看的，选车的时候确实是外观一开始吸引到了我，整个车身的造型非常的协调帅气。,[内饰],内饰看起来挺有质感的，摸上去手感特别的好，就是刚提车的时候异味特别重，而且持续时间很长,[空间],[舒适],整车的乘坐空间还是比较不错的，家用是完全足够了，而且在第三排不用的情况下，后备箱的容积也很充足。,整体的舒适度还不错，座椅软硬适中，包裹性很强，比较贴合人的身体，长时间驾驶不会特别疲惫，但是减震效果特别差，过个小减速带都能抖三抖。,[动力],这台车子我觉得在动力方面的话也可以，整个车子的动力还是够用的，平时出行的时候完全不需要担心动力不足。,[操控],整车的操控非常的好，驾驶起来有一种丝滑般的享受，方向盘的指向非常精准，完全可以做到指哪打哪，刹车的响应也很灵敏。,[性价比],展开全部
"
    发表于  2022-05    

      
        
    
    
",就到手价来说，我个人认为还是非常高的了。也为自己的选择庆幸。,https://image1.xcarimg.com/attachments/my/1/93/60/481_120.jpg,xuser1946048,三星会员,5.00,外观,5,内饰,5,空间,5,舒适,5,油耗,5,动力,5,操控,5,性价比,5,购入信息,爱车车型,购入时间,2021-04-01,购车地点,北京菱顺汽车销售有限公司 [北京市],裸车价格,18万  (厂商指导价 19.78万),当前油耗,8L/100km,购入用途,上班,爱车简评,选择这款车本人就是suv迷，剩下的就是价格性价比问题了。在我选车车过程中欧蓝德的性价比确实很高，新车差不多都有接近2万元的优惠了,爱车评价,[最满意],还行吧，就是满足我一直以来想要一部的愿望。车子本身还是很满意的，开起来相比轿车更有气势感。特别是从下车那刻踩着踏车板真的很有范，这种感觉轿车给不了你的。,[不满意],最不满意的就是油耗可能高些了，当初如果选择2.0的版本可以省点。,[外观],外观方面因人而异吧。欧蓝德的外观给我感觉时尚大气。,[内饰],内饰全黑的风格，属于运动型的。看起来很清新脱俗。,[空间],[舒适],空间还是蛮实用的，毕竟是款七座的车，虽然空间说不上有多豪华。空间刚好六一用了一次七座，第三排坐小孩或身高不高的没啥问题。平时不用的时候就放倒下来变成宽敞的后备箱。,高速风噪有点大，整体质感挺满意的。座椅是仿真皮的坐起来舒适性还不错。,[动力],自吸的发动机，虽然没有涡轮增压的爆发力强，但起步只要你舍得给油推背感还是有的。空调开启时对发动机的负担没有什么多大影响。,[操控],方向转弯时很精准，指哪打哪。动力在哪一般脱困都没问题。悬架适合，它调教还是城市suv。刹车也很稳定给力。,[性价比],展开全部
"
    发表于  2022-05    

      
        
    
    
",净车下来不到20万哦，放眼对比同级别的车都做不到这个价格，厂家还赠送了3次的免费保养。买这车非常的实惠。,https://image1.xcarimg.com/attachments/my/1/93/60/479_120.jpg,xuser1946047,三星会员,5.00,外观,5,内饰,5,空间,5,舒适,5,油耗,5,动力,5,操控,5,性价比,5,购入信息,爱车车型,购入时间,2021-04-01,购车地点,天津市润濠汽车销售服务有限公司（三菱） [天津市],裸车价格,19万  (厂商指导价 19.78万),当前油耗,8L/100km,购入用途,上班,爱车简评,综合起来，欧蓝德算同级别佼佼者，三菱的口碑加上销量摆在那里。同级别挺出色的了。个人觉得缺点有。优点也有。看自己选择。这车就是省心，油耗动力空间，家用车的需求。,爱车评价,[最满意],"欧蓝德是广汽三菱的堿市级的suu,这辆车颜值很高,辨识度很强。开着非常省心,舒服,油耗也是不错的表现，非常喜欢这辆车。很适合我这位老司机。又便宜又省心,然后白色的外观特别靓丽大方。",[不满意],目前还没有，一定要水的话那就是新车时味道有点大了。,[外观],外观还是很大气的一台车，非常符合我个人气质的车。对比过crv外观，觉得还是欧蓝德更帅气。,[内饰],内饰的设计是非常居家款的，原装的屏幕尺寸大小刚刚好。中央的扶手箱深度也很适合拿放东西,[空间],[舒适],空间不多聊，就一个字大，我身高1.8米左右都觉得宽敞，如果对车空间有要求冲着这款车来就对了。,舒适性还是挺好的，特别是中间的扶手箱，放上去很舒服，长途开车真的很舒适。,[动力],欧蓝德2.4排量真不是吹的，家用妥妥的，高速超车也很轻松的，推背感还是有的。,[操控],操控方面很顺手的，有倒车影像开起来特别安全。自动驻车挺好用的。,[性价比],
"
    发表于  2022-05    

      
        
    
    
",这是一款性价比很高的车 ，七座还得是四驱的 ，那只有十几万 ，日系的品质也很让人放心，空间很大很宽敞，整体来说全家都很喜欢 。,https://image1.xcarimg.com/attachments/my/1/93/60/475_120.jpg,xuser1946047,三星会员,5.00,外观,5,内饰,5,空间,5,舒适,5,油耗,5,动力,5,操控,5,性价比,5,购入信息,爱车车型,购入时间,2021-05-01,购车地点,湖南炜坤汽车销售服务有限公司 [湖南省],裸车价格,19万  (厂商指导价 19.78万),当前油耗,8L/100km,购入用途,上班,爱车简评,欧蓝德七座可以说是动力十足，空间很大 全家老少一起出去游玩都很舒服 ，它的性价比高是有口皆碑的 ，销量也一直很好 ，如果质量不好的话，怎么会有这么多人买呢。,爱车评价,[最满意],要说最满意的就是它的性价比真的挺高的 ，首先它的大空间 ，他的钱牌 所以很大很宽敞 中间一排也很舒服，后面一排稍微有点挤。如果把座椅放倒后，后备箱的空间是很大的 放几个行李箱都不是问题 。,[不满意],要说不满意的就是他的车胎噪和风噪在高速上稍微有一点大 ，其他的没有什么不满意的地方,[外观],外观简单大气让人看着很舒服，整体造型比较大气 ，然后当组的造型很美观 ，亮度很高 照射的也很远 ，二一款的车跟二零款的最大的区别就是车子的轮毂发生了变化 ，21款的轮毂看起来更加的漂亮,[内饰],内饰的做工精细 ，整体看起来很不错 ，那我买的时候 车内有一点新车的味道 ，过了几个月就没有了,[空间],[舒适],空间设计上有很多实用的地方 ，中央扶手很宽很用着很顺手 ，手机槽也正合适 ，后备箱能装很多的物品，最后一排放倒后真的是很大 而且很平整 ，尾箱的开口宽度也很合适 ，第一排的空间很大。第二排正合适，第三排 稍微有一点拥挤 。家里两个孩子 两个老人，开着这个车去旅游还绰绰有余 ，以前小的轿车 五个座，带了孩子带不了老人 ，为了全家出去的时候能更方便一点，买了这辆七座的欧蓝德 。,乘坐的舒适性很高 ，所以软硬度适中还舒服 第三排靠背角度正合适 ，前两排的 空间很大 第三排稍微拥挤一点 ，空调的温度分区控制 使得后排的人也能享受空调带来的凉爽 降温效果很快 ，悬架减震的舒适性，在连续过减速带 坑洼路面是减震效果不错 。,[动力],跑高速动力十足 在高速上超个车也很容易 。起步加速动力很足，开空调和满载的时候 动力也没有太明显的不足 ，在一些拥挤的路段 动力输出很平顺 。,[操控],方向盘操控灵敏度很好很轻 ，转向精准 转弯半径很小 。控制能力能有效预防转弯过度或转向不足 。在高速过弯时 ，还有稳定轮胎 抓地力和悬架支撑力表现的都很好 ，刹车灵敏 稳定性高，为我们的安全出行提供了一些必要的保障 。,[性价比],展开全部
"
    发表于  2022-05    

      
        
    
    
",性价比太高了，我也是果断放弃威兰达来选择欧蓝德的,https://image1.xcarimg.com/attachments/my/1/93/60/474_120.jpg,xuser1946047,三星会员,5.00,外观,5,内饰,5,空间,5,舒适,5,油耗,5,动力,5,操控,5,性价比,5,购入信息,爱车车型,购入时间,2021-04-01,购车地点,北京中进锦旺汽车销售服务有限公司 [北京市],裸车价格,19万  (厂商指导价 19.78万),当前油耗,8L/100km,购入用途,上班,爱车简评,亲戚的推荐下我们奔着三菱欧蓝德去了，各方面的一一对比还是欧蓝德的性价比高哦，不是高一点是高很多。外观车型也比威兰达霸气很多，欧蓝德还有一个七座的版本可以选的。一锤定音就选了欧蓝德了。,爱车评价,[最满意],这款车最满意的就是空间了，我是特意选的七座车，当你需要七座的时候可以满足你的出行，不需要七座后面一排也是可以收起来的，非常的方便可靠。平时基本出行都是5个座位就足够的了，七座只是一个备用而已，可以选七座当然是七座咯，价钱也是差不了多少的。,[不满意],不太满意的就是耗油问题了，油耗比我预估的高一点，可能当时如果选2.0排量的就可能省点油了，,[外观],外观很霸气，车身的线条走的也是很流畅。尾部位置设计的也是很结实,[内饰],内饰简单大方，做工的工艺还是比较不错的,[空间],[舒适],空间绝对是这款车特点，前后排的人坐的很是宽敞，后排的储物空间也足够大了。,舒适性挺好的，座椅的包裹性很强。软硬程度刚刚好。,[动力],动力不错很猛，之前开1.6排量的车，现在开2.4排量的有点不习惯起来了。2.4排量的超车太有信心了,[操控],操控很好。车子大台不过操控起来真的随心所欲，也没有觉得驾驶困难，方向盘还是很好打的。,[性价比],
"
    发表于  2022-05    

      
        
    
    
",性价比很高，也促使我放弃冠道选择欧蓝德顶配版。,https://image1.xcarimg.com/attachments/my/1/93/60/469_120.jpg,xuser1946046,用户被禁止发言,5.00,外观,5,内饰,5,空间,5,舒适,5,油耗,5,动力,5,操控,5,性价比,5,购入信息,爱车车型,购入时间,2021-03-01,购车地点,北京菱顺汽车销售有限公司 [北京市],裸车价格,19万  (厂商指导价 19.78万),当前油耗,8L/100km,购入用途,上班,爱车简评,本田的冠道是计划的车型，不过冠道低配都价格都要比欧蓝德顶配还要贵些，一点优惠都没有，配置也是比较低的。再三的折磨下欧蓝德还是香的，顶配的车型还有2万的优惠,爱车评价,[最满意],最满意的是还是性价比了，性价比实在太高了。我也是果断购买了顶配版，配置各方面都是非常的丰富，外观设计也是很大气的，开起来倍有范。,[不满意],没有什么不满意的，如果说不满意的就是可能等车的时间有点长了，我买顶配的没有现货，要等一个星期时间，销售也很会做，也给我多赠送2比保养。,[外观],外观方面可能要见仁见智的了，我看欧蓝德比较上眼的。轮毂造型不错。,[内饰],内饰的用料都不错，触摸起来手感很舒服。真皮座椅看起来也是很高档。,,[舒适],,舒适性挺好的，前排都是电动座椅。后排也有独立的出风口和USB充电口。,[动力],动力基本是可以满足你应付各种超车的，现在出的车很少有2.4自吸大排量的了。动力输出的平顺性很好，一点都没有感觉到顿挫感。,[操控],操控上最满意的就是方向盘了，它的转向非常轻松的，是我开过的车最好转的方向盘。还有主动刹车功能，在行驶时大大提高安全性。,[性价比],
"
    发表于  2022-05    

      
        
    
    
",之前在汽车之家上也比较过许多车，在同价位里面自吸加四驱加七座只有欧蓝德了,https://image1.xcarimg.com/attachments/my/1/93/60/465_120.jpg,xuser1946046,三星会员,5.00,外观,5,内饰,5,空间,5,舒适,5,油耗,5,动力,5,操控,5,性价比,5,购入信息,爱车车型,购入时间,2021-04-01,购车地点,北京菱顺汽车销售有限公司 [北京市],裸车价格,19万  (厂商指导价 19.78万),当前油耗,8L/100km,购入用途,上班,爱车简评,之前在汽车之家上也比较过许多车，在同价位里面自吸加四驱加七座只有欧蓝德了,爱车评价,[最满意],车子驾驶起来还不错的，虽然是CVT变速箱的，但是配上2.4的发动机提速反应还是比较灵敏的。发动机排量虽大但是油耗不算高,[不满意],要说不满意的地方，这个车子减震有点硬，过个减速带感觉非常生硬。,[外观],外观还是很耐看的，看着很大气的。LED的大灯还是比较给力的，还带日间行车灯,[内饰],内饰中规中矩吧，不算落后也没有什么太新颖的地方。仪表盘依然是双筒的设计加上中间一小块信息显示屏，这是刚提车时的公里数,[空间],[舒适],对于空间不论是前排还是后排都是非常宽裕的，后备箱把后面的两个小座位收起来得到的空间也是非常大的。至于第三排空间，和其它七座的SUV差不多，都是应急用一下，平时都不会去坐，成人短距离委屈一下还好，长时间就算了，毕竟蜷缩那里久了太难受。这里值得重点夸一下的是，第二排座椅可以完全放平，连同第三排加上后备箱可以得到一块超大的平整空间，躺两个成年人睡觉一点问题没有。,舒适性方面，座椅坐着还是蛮舒服的，主副驾驶带加热功能，主驾的电动调节也不错。靠背包裹性很好，倚上面非常贴身。,[动力],平时开都是打开节能模式的，但是主要深踩油门发动机反应还是非常迅速的。动力也是随叫随到，虽然和CVT变速箱搭档，但是提速还算灵敏，毕竟2.4的排量摆在那里。当时挑车的时候也考虑过2.0排量的，但是一看到车的块头摆在那，这么大的一个，还是选大排量一点。 上坡动力：对于上坡还担心变速箱反应不行，试过几次之后感觉担心完全多于。一般地下车库的坡毫无压力 。也在雨后乡间小路上试过它的通过性，打开四驱还是非常稳当的。 开空调/满载动力：这么大排量的发动机开空调不论市区还是高速对动力影响微乎其微，没感觉到车有啥多于负担。车子坐了五个一百七八十斤的成人加上一部分行李，提速也没有感觉车有多少吃力，依然稳稳当当平顺加速,[操控],操控还是不错的，电动方向助力还是很轻盈的，高速方向也很稳。,[性价比],展开全部
"
    发表于  2022-05    

      
        
    
    
",皮实耐用，保值率比较高，小姐姐，售后服务还是比较好的，我建议想买车的人们可以考虑一下，这款车非常值得购买,https://image1.xcarimg.com/attachments/my/1/93/60/463_120.jpg,xuser1946046,三星会员,5.00,外观,5,内饰,5,空间,5,舒适,5,油耗,5,动力,5,操控,5,性价比,5,购入信息,爱车车型,购入时间,2021-07-01,购车地点,北京中进锦旺汽车销售服务有限公司 [北京市],裸车价格,19万  (厂商指导价 19.78万),当前油耗,8L/100km,购入用途,上班,爱车简评,欧蓝德这款车性价比高，保值率比较高，空间大，可以载着一家人出去玩，很多实用性的东西，倒车影像，多功能方向盘等等，都是一些很实用的东西，总的来说，性价比还是很高的,爱车评价,[最满意],三菱欧蓝德这款车属于日系车，保值率很高，皮实耐用，七座的，那外光设计很大，风强热的设计比较独特，用了很多亮片设计，显得很高档，设计很靓，车身做工也很精细仪表中控台设计合理使用很方便，内部设置虽然算不算雍容华贵？也算是中规中矩去旅游的时候，后备箱放几个行李箱，还挺宽敞的，降温效果也很快，悬架偏舒适，对一些小的坑洼路面也能很好的过滤掉，所以也很舒适全家一起出去都可以，孩子也非常喜欢这款车,[不满意],空间比较大，储物箱也很大，嗯，就是车内略有异味，车身比较长，然后拐弯的时候有点不太方便，配置稍微低了一点，只能在配置和内饰上多下点功夫算了，让他在这品质会更好欧蓝德后排座椅比较硬，影响舒适感,[外观],曝光大气车灯设计，独特车轮设计比较符合我理想中的,[内饰],简单中规中矩，还是比较符合这人们的使用方式,,[舒适],,还是比较舒适的，座椅也比较舒适，车内略有异味，总的来说还好，减震系统感到非常的舒适性好,[动力],起步稳快，上坡的时候感觉不费劲儿就上去了，温度上来快动力不减，活动力十足，在平坦的道路上行驶动力平稳性好，如果有一小坡小坑的话，没有感到颠簸就过去了,[操控],而方向盘灵活精准，使用起来更随心应手，底盘稳定性好，刹车也是比较灵活的，平稳的，总而言之，特别喜欢这辆车,[性价比],展开全部
"
    发表于  2022-05    

      
        
    
    
",购车的时候也看了很多车。包括别克和福特。最后在朋友的帮助下选择了这款欧兰德。身边也有好几个朋友选择欧兰德的。4S店的小伙子认真的帮我介绍了这款车的各项性能。我和老婆两个人也在4S店试驾了几次。感觉还是选择一些大品牌的车比较好，而且日系的车在全球卖的都挺好的。他的主要优点就是车子皮实耐用，不管是发动机还是电子元件都挺不错的。有个朋友的老款欧蓝德都好几年了没有维修过。我选择了一家离家很近的4S店。主要就是考虑以后维护保养，还有维修。总的来说购车过程还挺愉快的，4S店还送了几次保养。,https://image1.xcarimg.com/attachments/my/1/93/60/459_120.jpg,xuser1946045,三星会员,5.00,外观,5,内饰,5,空间,5,舒适,5,油耗,5,动力,5,操控,5,性价比,5,购入信息,爱车车型,购入时间,2021-03-01,购车地点,湖南炜坤汽车销售服务有限公司 [湖南省],裸车价格,19万  (厂商指导价 19.78万),当前油耗,9L/100km,购入用途,上班,爱车简评,选择这款车的理由挺简单的。主要是他的空间大SUV的车运动感十足。他的品牌也是很响亮的，开出去很有面子。开着车去接孩子，上学放学孩子也很开心。在这个看脸的时代，欧兰德的前脸可以说是很出众的。,爱车评价,[最满意],要说最满意的地方就是他的空间很大，SUV的车空间比轿车要大，纵向空间也很大，在里面坐着没有压抑感。而且SUV的车视野很宽阔。,[不满意],全家人都挺喜欢这辆车的，每次出门都争着要开它。家里的一部轿车闲置在车库里，没人开了。,[外观],孩子的前脸可以说是设计的很有特点，也很漂亮。前脸的亮片式设计，不仅增加了车子的立体感，更增加了它的美观度。三菱这个标就越看越舒服。从侧面看他的腰身很细长。大灯的设计也很漂亮。最后一组的造型很有特点，亮度和照射范围都很好。新款车的轮毂挺漂亮的，亮亮的条状造型看着既厚重又美观，车门下部的亮片设计看着就高档。给车子增加了不少分。车子的做工也算是精细，缝隙都挺窄的。车子的外皮硬度很高。车漆很厚很亮，都说日系车的外皮很薄，但我感觉他欧兰德的车身还算是挺硬实的。,[内饰],与手机连接拨打电话，使用导航时反应迅速。也很方便，打电话的时候不用拿手机映射后界面美观很好操作，而且大屏的辨识度很高。画面很清晰。坐在车子内听听音乐，听听广播，新闻在上班途上也不错，音质也挺清晰。新车有异味，三个月以后就好了。内部没有出现过异响的问题。中控大屏画面清晰。像素挺高的，连接蓝牙很方便。,[空间],[舒适],我的身高1米8，坐在驾驶位上，头部还有很大的空间。后排座椅也很宽敞。后备箱容积能放好几个行李箱，有一次出门都带了一个小型的烧烤架去野外烧烤。总的来说全家出行这款车都能够满足。车子内部也设计了很多能放小东西的部件。手机槽杯架设计的都挺好的，中控扶手箱设计的也很到位。门板的储物格也能放很多东西。后备箱开口很大。放一些大件的物品也挺方便。,座椅加热功能在冬天的时候做上去很暖和。空调温度分区控制能提升乘坐空间的舒适性，后排的人也很舒服。车子的风噪在高速上行驶的时候速度超过120迈，稍微有一点。空调温度分区控制可以使我们的乘坐空间很快的降温。新车刚买的时候有一点味道，现在基本上没有了，其实这个问题很好解决，在网上买几个炭包放在车内就能很好的吸附车内的异味和一些甲醛。悬架减震也挺好的，在一些小的坑洼路面基本上感觉不到。前段时间回农村，老家在一些泥泞的道路上，也没感觉太颠簸。,[动力],2.0升自吸气的发动机，跑高速的时候超车并线完全不是问题。只要稍加油门起步还是挺快的。上坡的时候动力十足。满载和开空调的时候也没感觉动力太弱，毕竟SUV的车2.0的发动机还是搭配的蛮好的。,[操控],刹车辅助功能。能为我们的安全出行提供保障，能及时并增加刹车力度，缩短刹车距离，方向盘转向很轻，刹车很灵敏，踏板的高度正合适。底盘调效的很稳，在高速行驶过弯的时候，几乎没有倾斜感。,[性价比],展开全部
"
    发表于  2022-05    

      
        
    
    
",买车的时候优惠力度还算是挺大的。4S店送了几次保养还挺不错。后期保养费用不高，买车之前看了挺多的车，后来朋友都说这款车保值率挺高的，性价比也挺高的。将来置换车的时候也贴不了多少钱，所以还是选择了这款车。毕竟这款车的品牌效应和一些主要构件还是挺耐用的。路上也看到过很多欧兰德的老款和新款的车，如果口碑不好的话，不会有那么多人去买的。,https://image1.xcarimg.com/attachments/my/1/93/60/453_120.jpg,xuser1946045,三星会员,5.00,外观,5,内饰,5,空间,5,舒适,5,油耗,5,动力,5,操控,5,性价比,5,购入信息,爱车车型,购入时间,2021-04-01,购车地点,北京菱顺汽车销售有限公司 [北京市],裸车价格,19万  (厂商指导价 19.78万),当前油耗,19L/100km,购入用途,上班,爱车简评,都说合资车品质高。在和家人做了横向和纵向的比较之后，合资车也看了好几款。还是听从朋友的劝告，买了这款车。还是看中这款车的品质，朋友的车都几年没有修过。,爱车评价,[最满意],要说最满意的就是他的空间，欧兰德的空间还是挺大的。前排座椅坐着挺舒服，媳妇儿坐在副驾驶上，腿都能伸开，孩子坐在后排座椅上，都可以躺着了，出去玩的时候，后排放了两个行李箱，一点都不拥挤很宽敞，开口还挺大的，媳妇儿还挺喜欢这款车的，只夸我眼光好。,[不满意],用车过程中没有什么不满意的，这款车全家都挺喜欢的。唯一的一点小毛病就是车内有一点异味，估计时间长了就会好了。开车之前先通一会儿气。,[外观],儿子漂不漂亮？看底下的图片。前脸设计大方简洁。三菱的标志也很显大气。格栅的设计也很有特点。在太阳底下一照，车子车漆很亮。显得高档大气。轮毂设计的太豪华。,[内饰],真的有很多挺实用的功能，通过车联网看一些新闻，还有导航都挺方便。实时导航电话听音乐等语音控制功能。让我们解放双手，更好的开车，用语音控制就行。手机互联映射功能与手机联网，拨打电话使用导航到天灵敏反应迅速。大屏导航清晰度挺高。在路上开车喜欢听一点音乐，他的音质还是挺清晰的。在听DJ音乐的时候音质是挺清晰的。不像其他差的音响声音大，就有一种破锣的感觉，欧蓝德的音响就没有这种感觉。,[空间],[舒适],空间挺大的，前排两个座坐着都挺舒服，座椅也挺宽敞，身高1米8的男士坐上去，头部还有一段距离。内部设计了很多小格子。放手机和放水杯都挺方便。后备箱还能放很多的东西，毕竟SUV的车，车子的后尾部比较高，后备箱的开口也挺大。拉一些小的货物也可以。底板挺平整的。后排座椅座三个人完全没有问题。,车子的乘坐空间很大。前后排都很舒服，身高1米8的大个子坐上去头部还有一段距离。座椅的软硬度适中。包裹性很好。座椅的电动加热功能很好，有好几档可以调节。冬天的时候坐上去不感觉凉。座椅热乎乎的，很舒服。后排座椅也挺舒服。在高速上行驶，车内稍微有一点噪音。还稍微有那么一点点异味儿。全家减震功能做的也是不错，在乡下的泥泞路上行走，也没感觉很颠簸。,[动力],在跑高速的时候，只要舍得给油动力，完全不是问题。轻轻松松能够跑到120迈。不论是日常加速还是起步动力都很足。每次回老家都要拉很多的菜回去，后备箱装很多菜，动力也完全不是问题。空调和满载的时候也不感觉动力不足。回老家的时候要过一个土路的大河堤，给点油轻轻松松就上去了，也没感觉有很大的颠簸感，动力和舒适性都挺好。,[操控],车子的操控很简便快捷。倒车影像屏幕清晰，反应很迅速。车子的刹车辅助功能能有效的为我们的安全驾驶提供保障，并能及时增加刹车力度，缩短刹车距离。方向盘转向很轻，转向很精准。 刹车灵敏，而且增加了刹车辅助功能。踏板挺轻的，高度也合适。底盘的稳定性还是不错的，在高速行驶过弯和并线的时候，稍微有一点点侧倾现象。,[性价比],展开全部
