publish,标题,图片,名称,名称1,评分,评分2,评分3,评分4,评分5,评分6,评分7,评分8,评分9,评分10,评分11,评分12,评分13,评分14,评分15,评分16,评分17,标题18,信息,信息19,信息20,信息21,信息22,信息23,信息24,信息25,信息26,标题27,purpose,purpose28,标题29,jia_text,信息30,dw_22,dw_2231,dw_23,dw_1,dw_132,dw_2,dw_233,dw_3,dw_334,dw_4,dw_435,dw_5,dw_536,dw_6,dw_637,dw_7,dw_738,dw_8,dw_839,openall
"
    发表于  2021-07    

      
        
    
    
",目前来说用着还不错，两个月开下来也没有给我带来任何的不舒服的感觉，整体满意，后续再看表现吧,https://image1.xcarimg.com/attachments/my/1/89/77/313_120.jpg,gh1620792085,三星会员,4.75,外观,4,内饰,5,空间,5,舒适,5,油耗,4,动力,5,操控,5,性价比,5,购入信息,爱车车型,购入时间,2021/4/1,购车地点,四川宏羽新迪汽车销售服务有限公司 [四川省],裸车价格,20.3万  (厂商指导价 20.58万),当前油耗,8.3L/100km,购入用途,自驾游,跑长途,爱车简评,买东西我就喜欢选与众不同的，斯巴鲁XV这款车，感觉品质上来说还是非常不错的，主要是在于内在特别的有质量，内饰做工也是特别豪华的。,爱车评价,[最满意],最满意的当然是操控性好了，另外空间的大和安全性都是我最满意的，当时同价位的车也做过对比，最终综合优劣势还是选择了斯巴鲁XV,[不满意],[外观],外观方面我特别喜欢，因为它给我的感觉就是时尚大气，开出去绝对是非常霸气的，跟轿车的感觉完全不一样，让我感觉特别好,[内饰],内饰设计感非常强烈，然后中控台的科技感满满，最主要是它的整体感觉特别豪华，和这个价位非常符合,[空间],本人身高180，第一排和第二排空间都是没有问题的，车身的高度也是不错的，车身宽度也可以，家用车很灵活，各种组合，非常满意。,[舒适],舒适性表现非常不错，座椅柔软舒适，皮革很柔软，底盘减震很积极，车内隔音效果也比较安静。,[油耗],油耗表现很有惊喜，目前百公里油耗在10个油左右，毕竞车身尺寸大，而且有四驱系统，还是很不错的。,[动力],动力方面对于我来说完全够用，平时日常超车都绝对没有问题！起步的时候非常快，一点都不会有搓顿感，只要你深踩油门肯给油，起步的时候还是会有明显的推背感！,[操控],感觉车子的稳定性还挺强的！平时我也喜欢自驾游，跑山路过急转弯路段时，坐在车内都不会有明显的侧倾感！而且方向盘的指位也比较精准，操控起来非常的灵活！,[性价比],当时选择这款车是因为我的亲戚有一辆，我感觉车子外观颜值都还挺高的！然后去店里试驾了一下，感觉操控性这些都很强，驾驶起来非常轻松，所以就选择了斯巴鲁XV！,展开全部
"
    发表于  2021-07    

      
        
    
    
",总体来说这款车我都是非常满意的，要是非要说有一点的话呢，也就是刚买回来的时候稍微有一点味道吧。,https://image1.xcarimg.com/attachments/my/1/90/83/195_120.jpg,xuser1918319,三星会员,4.5,外观,5,内饰,5,空间,5,舒适,4,油耗,4,动力,4,操控,5,性价比,4,购入信息,爱车车型,购入时间,2021/4/1,购车地点,武汉市美华恒贸易有限公司 [湖北省],裸车价格,20.29万  (厂商指导价 20.58万),当前油耗,8.3L/100km,购入用途,接送小孩,跑长途,爱车简评,一直就对于这种旅行车情有独钟，所以当时买的时候就直接去四s店试驾了，试驾以后感觉这款车的动力表现非常的好，外观和内饰都挺不错，所以就直接买了。,爱车评价,[最满意],最满意的就是这款车非常宽敞的空间，还有特别齐全的配置。而且这款车的底盘也比较高，停车的时候非常的方便，有的时候没有地方停，就直接上到马路牙边儿很方便。,[不满意],[外观],外观很硬朗，虽然全车的线条比较圆润，但是看着就给人一种很厚重的感觉，很喜欢这样低调的车型，但又却富有力量感。,[内饰],内饰整体给我的感觉就是大气沉稳，没有特别多的花哨的设计，但却都很实用，真皮的座椅，多功能方向盘，比较喜欢这类的，方向盘用起来很顺手，而且整个中控台的设计偏商务，很满意这样的内饰。,[空间],这款车的空间确实是非常的大了，平时出去玩儿非常的宽敞，而且感觉后排挤挤总共坐4个人，后排的座椅可以放到后备箱一瓶，因为个人喜欢自驾游，所以出去的时候累了直接放倒躺着，非常的舒服。,[舒适],车的舒适性很好，座椅包裹性很强，而且前排的座椅是可以电动调节的，很方便，后排还带有空调的分区，很人性化的设计，而且这个车的影响效果也不错，隔音效果很好，这样在车里听着歌特别的舒服。,[油耗],这款车的当前油耗是8.6，我觉得已经非常省油了，毕竟这款车的车重比较重，而且排量也比较大，开出这样的油耗还是很满意的，而且这样的一款车竟然还是加92号的汽油，可以说燃油经济性很好了。,[动力],动力也足够用了，这款车搭载的是2.5自然吸气的发动机，平时开在路上，速度提升的很快，而且比较平顺，深踩油门儿还会有推背感，上坡也容易超车，没有压力。,[操控],车的操控性很好，尤其是底盘儿特别的稳，没有之前听说SUV那种测情感比较严重的现象置换车，转弯的时候即使速度稍微快一些也能够很好的调整，而且方向盘轻重比较适合，没有因为太轻而出现用力过猛的现象，指向比较精准。,[性价比],选择这款车，主要就是想买一款结实耐用的车，而且由于之前一直都是开轿车，所以想换一款SUV的车，如果想要动力还有配置都够用的话，那只能是价格稍高一些的，所以经过一众的对比，选择了这款车。,展开全部
"
    发表于  2021-07    

      
        
    
    
",总体来说没有什么特别不满意的因为是进口车之前一直担心售后服务的问题但是不必要担心这方面库存固件充足维修应该不会像其他进口车需要那么久如果距远远的话确实要很久但是我在长沙本地还是比较方便的。,https://image1.xcarimg.com/attachments/my/1/90/83/192_120.jpg,xuser1918319,三星会员,4.5,外观,4,内饰,5,空间,4,舒适,5,油耗,4,动力,4,操控,5,性价比,5,购入信息,爱车车型,购入时间,2021/4/1,购车地点,安徽钧升汽车销售服务有限公司 [安徽省],裸车价格,20.28万  (厂商指导价 20.58万),当前油耗,8.3L/100km,购入用途,购物,接送小孩,爱车简评,我选择这款车的原因是因为它的空间非常的大那时候我把我后排座椅放倒到了一边然后拖过一次自行车不折叠的那种所以我就觉得它空间非常的实用。,爱车评价,[最满意],这辆车令我满意的就是它的空间非常的合适而且它的价位是我的能力范围之内而且还是整车的进口车性价比很高整体效果也很棒之前看的马自达感觉不太对所以最后选择了这辆车而且还是全时四驱车试驾感觉非常的棒。,[不满意],[外观],外观气质这一块我感觉这辆车拿捏的紧紧的，非常的不错。而且外观真的设计的非常的吸引女孩子的目光，我觉得很棒。,[内饰],内饰部分总体设计的，还是非常的不错的，尤其是他那个中控屏，我觉得设计得非常的棒，对于我这个有一点路痴的人来说，导航的时候特别的好用。,[空间],我觉得这辆车的空间非常的宽敞，而且这是一辆中型的SUV，所以空间不管怎么说都不会小到哪里去。所以对于空间这一块，我个人还是比较满意的。,[舒适],舒适性这一块总体来说还是比较符合我的需求的，毕竟这样子的车本来就不能要求太高的舒适度，不过还是超了我的预期的。就是它的悬架减震做的不是特别的好，不过可以接受。,[油耗],油耗这方面作为中型的SUV，我觉得还算是比较能够让人接受的。而且这也不是一款日系车，所以对于油耗这一块并没有太大的感觉。,[动力],动力这一块个人感觉还是比较充足的，虽然我不怎么飙车和追求刺激，不过对于动力这一块还是稍稍的会有一点要求的，我感觉这辆车能够满足我的要求。,[操控],车子非常的灵活，即便是它的车身这么大也并不会有多大的印象，方向盘的虚位并不是很大，油门和刹车响应的也是非常的迅速，操控起来特别的简单上手。,[性价比],选择这款车主要还是因为它的外观吧，我觉得它的外观设计的非常的不错，在憨憨的气质中又微微的带了一点可爱和霸气，这是这个价位的车基本做不到的外观，所以我觉得这辆车的外观很独一无二。然后就是这个价位了，这个价位我觉得还是比较合理的，买的时候虽然没有什么优惠幅度，不过还能够接受。,展开全部
"
    发表于  2021-07    

      
        
    
    
",最不满意的就是这款车的发动机踩油门声音较大，刹车最后时有异响声。,https://image1.xcarimg.com/attachments/my/1/90/83/190_120.jpg,xuser1918319,三星会员,4.63,外观,5,内饰,5,空间,4,舒适,4,油耗,5,动力,5,操控,5,性价比,4,购入信息,爱车车型,购入时间,2021/4/1,购车地点,云南华东汽车销售有限公司 [云南省],裸车价格,20.27万  (厂商指导价 20.58万),当前油耗,8.3L/100km,购入用途,购物,接送小孩,爱车简评,成都这座城市生活节奏确实会比较慢一些，可能是由于自己工作的缘故，工作比较清闲，一个礼拜也就上个三四天的班，还有大把的时间是空余在那里的，原来自己是个挺宅的人，都不愿意出门，但是想想这样一直下去也不行,爱车评价,[最满意],最满意的都这款车的内饰，我感觉它的内饰非常的豪华，我就假死起来了。感受也让我觉得非常好。还有就是这款车的动力真的是感觉它的动力是源源不断的。,[不满意],[外观],这辆车身外观设计动感，车头霸气，车身线条有力量，大灯也特别的帅气，看过去像一个等待捕食的老虎，开出去回头率百分百。,[内饰],这款车的内饰做得很好，整体风格简约又不简单，平凡中透露着一股大气，看着非常的低调奢华有内涵，中控台做得也非常不错，很漂亮。,[空间],空间还用说嘛，这辆车子的空间真的是太宽敞了，后排坐三个人非常轻松，每个位置都可以轻松的翘起二郎腿，后备箱也特别的宽敬，可以放很多东西。,[舒适],舒适性还是很好的，座椅非常的舒服，软硬适中，对腰部的支撑性很好，长时间驾驶也不会觉得累，空调制冷效果也很好，夏天非常凉快。,[油耗],我感觉这款车的油耗还是比较高的，基本也是在市区内驾驶，高速偶尔跑一跑。油耗在10个左右，勉强能接受吧。,[动力],动力对我来说足够了，这款车起步阶段不会肉，提速也非常快，市区内驾驶非常轻松，高速超车也没有压力。,[操控],这款车的方向盘比较轻巧，操控起来手感比较好，指向很精准，平时转弯掉头都非常的轻松，过弯的时候也不会飘，没有侧倾感。,[性价比],我本身就是一个比较与众不同的人，比较个性，所以我买的车肯定也不会和大家一样，我看来看去还是觉得这款斯巴鲁XV还是很不错的。特别是感觉它的内饰也很特别。,展开全部
"
    发表于  2021-07    

      
        
    
    
",唯一不满意的话，应该就是油耗方面的话，确实是比较大一点，但是这也是小问题啦，既然选择这款车，这点油耗就不算什么,https://image1.xcarimg.com/attachments/my/1/89/71/285_120.jpg,gh1620466517,三星会员,4.63,外观,5,内饰,5,空间,5,舒适,4,油耗,4,动力,4,操控,5,性价比,5,购入信息,爱车车型,购入时间,2021/4/1,购车地点,贵州斯巴鲁汽车销售服务有限公司 [贵州省],裸车价格,20.26万  (厂商指导价 20.58万),当前油耗,8.3L/100km,购入用途,接送小孩,自驾游,爱车简评,选择这款车，也是因为自己想有一款与众不同的车子吧！在这个价位中，其实可以选择很多，算是宝马，奔驰这种豪华品牌，但是不想跟其他人一样，我对宝马，奔驰没什么想法因为家里已经有一台了,爱车评价,[最满意],最满意的话，应该就是他的舒适度，这款车的舒适度真的是非常的好，而且在这么舒适的环境下行驶，真的是一件非常舒服的事情，方向盘的手感也特别的好，而且隔音方面的话做的也是非常到位,[不满意],[外观],外观方面的话，还是比较满意的，整体看起来也是非常的帅气，整体的协调也是非常的不错，轮毂的样式也非常帅气，还是比较喜欢的,[内饰],内饰方面的话比较单一，这样风格也就一般般吧，但是它的配置方面的话确实是不错的，用料材质也是非常的好,[空间],空间方面的话，这款车的空间真的是非常的大，感觉后备箱打开的那一刻，感觉什么都可以装得下，讲道理，简直是出家旅行必备的神车啊,[舒适],这款车的舒适性真的是非常的好，整体让我非常的满意，座椅非常柔软，隔音方面做得也非常好，基本上没什么声音,[油耗],因为是新车嘛，油耗有点高还没下来，几乎是在10个点左右，过红绿灯时有自动启停，很好用。我个人觉得操控好的车才更安全，在躲避危险的时候也更重要，让人开着也安心。,[动力],动力方面的话也是比较强劲的一款车，这款车只要你给足了油，还能给你带来一定的推背感，真的是非常的强劲,[操控],操控方面的话，这款车真的是比较容易上手的，方向盘精准，刹车也比较灵敏，而且在这么舒适的情况下驾驶着这款车，操控这款车难道不是一种享受吗？,[性价比],选择这部车当然是因为他的空间方面真的特别大，而且这部车的安全性挺高的，配置比较丰富，这就是这款车的舒适性，真的是非常的满意，这款车的座椅做起来真的跟沙发一模一样，外观的话也是比较好看的类型,展开全部
"
    发表于  2021-07    

      
        
    
    
",就是怕后期保养与维护不怎么方便，配件方面也是进口的，价格也是比较高的。,https://image1.xcarimg.com/attachments/my/1/90/77/400_120.jpg,gh1626744772,三星会员,4.38,外观,4,内饰,4,空间,4,舒适,5,油耗,5,动力,5,操控,4,性价比,4,购入信息,爱车车型,购入时间,2021/3/1,购车地点,柳州市美博汽车销售有限公司 [广西省],裸车价格,20.25万  (厂商指导价 20.58万),当前油耗,8.3L/100km,购入用途,购物,接送小孩,爱车简评,这部车也是经朋友介绍，不管是从安全性方面来考虑都是非常不错的，各方面的配置，整个车型下来自己都非常的喜欢，所以再去店里看完后果断的购车。,爱车评价,[最满意],最满意的地方就是它的空间非常的大，两个孩子在后排加上父母都还有很多的空间，后备箱也是挺大的，有时候和老婆出门度蜜月行李箱放进去还有很多空间放其他的物品。,[不满意],[外观],外观这一方面这款车是非常出色的，车身的线条设计非常完美，看起来非常有运动感，整体给人有一种霸气的感觉。,[内饰],内饰方面的话总体来说还是可以的，尤其是方向盘的手感，真的摸起来超级舒服，驾驶起来非常的棒。,[空间],空间方面没的说空间特别大，对我来说这款车空间给我的感觉是非常的好的，整体也是非常舒服。,[舒适],舒适感，我觉得这款车做到了还是比较到位的隔音方面的话做的也是非常ok，驾驶起来也没有什么噪声。,[油耗],耗油方面确实比我想象中的较大，但是没有想到超出我的预算。,[动力],动力方面的话也是非常有爆发力的，而且在换挡的情况下也是比较平顺的。,[操控],操控方面的话比较简单，这款车操作也没有想象中的那么难。,[性价比],买这款车的原因是因为考虑到家里的人，孩子和老婆还有爸妈，除了上下班还要去学校接孩子，这辆车的空间非常的大所以才选择到这款车。,展开全部
"
    发表于  2021-07    

      
        
    
    
",其实这款车提示到现在也没有多久吧，目前还没有发现什么特别不满意的地方，如果一定要说的话，就是感觉这款车车漆会有一些薄，这也是亲身体验过的，有条件的话之后会去做一些修改,https://image1.xcarimg.com/attachments/my/1/90/83/184_120.jpg,xuser1918318,三星会员,4.75,外观,5,内饰,5,空间,5,舒适,5,油耗,4,动力,4,操控,5,性价比,5,购入信息,爱车车型,购入时间,2021/3/1,购车地点,广西百事成汽车销售服务有限公司 [广西省],裸车价格,20.24万  (厂商指导价 20.58万),当前油耗,8.2L/100km,购入用途,接送小孩,自驾游,爱车简评,选择这款车也是因为我比较看中SUV的性能，我看SUV的车也是蛮多的吧，我做了很多的功课，感觉就是众多的SUV都是油耗比较高的，还有就是价格也是非常的高的，直到我看到了这款进口的斯巴鲁XV,爱车评价,[最满意],最满意的就是这款车的颜值的外观造型设计的非常与众不同，看起来还是非常有独特的气场，而且这款车的配置也是非常不错的，辅助性的功能特别全面。,[不满意],[外观],外观的造型设计我确实非常的喜欢，看起来还是非常稳重大气的，整个车身的线条设计的是非常漂亮的，最喜欢的就是前脸的大灯设计，非常的犀利。,[内饰],中控内饰的整体设计倒是比较普通，毕竟这款车的价格已经不算低了，看着并不是特别的有档次，而且储物空间搭配的也比较少。,[空间],乘坐的空间对于我来说是完全能够满足的，前排座椅和后排座椅的腿部空间都是非常宽敞的，而且这款车的后备箱也特别大，装载能力还是很强的。,[舒适],前排座椅的舒适性我还是非常满意的，柔软度和包裹感都特别好，后排座椅如果满载的情况下，舒适性还是会有些影响的，毕竟中间位置凸起得实在太明显了。,[油耗],综合油耗大概百公里10个油左右吧，毕竟是以城市出行为主，油耗的表现我还是非常满意的。,[动力],动力对于我来说是完全能够满足的，这款车的提速感受我还是非常满意的，满载的情况下动力输出依然是非常强劲的，高速驾驶的时候动力储备也是很足的。,[操控],驾驶这款车还是比较轻松的，方向盘的手感很好，指向也特别精准，而且底盘的做工特别扎实，高速驾驶的时候，车身的稳定性还是非常不错的，辅助性的功能可以说是非常全面了。,[性价比],买这款车的时候就是觉得这款车的外观我特别的喜欢，造型设计的还是非常出色的，而且这款车的动力表现也特别好，完全能够满足我的需求。,展开全部
"
    发表于  2021-07    

      
        
    
    
",这款车子综合方面的性能我都比较喜欢，没有什么不喜欢的地方，如果油耗量再低一些，这款车子就更加的满意了。,https://image1.xcarimg.com/attachments/my/1/90/83/182_120.jpg,xuser1918318,三星会员,4.5,外观,5,内饰,5,空间,5,舒适,5,油耗,4,动力,4,操控,4,性价比,4,购入信息,爱车车型,购入时间,2021/3/1,购车地点,海南皇冠实业有限公司(斯巴鲁) [海南省],裸车价格,20.23万  (厂商指导价 20.58万),当前油耗,8.2L/100km,购入用途,接送小孩,自驾游,爱车简评,选择这款车的原因是因为日系品牌的车辆口碑和质量都是很不错的，也是因为自己也比较喜欢斯巴鲁这个品牌，所以说在自己的预算之内，选择了斯巴鲁XV这一款试驾之后，感觉各方面都非常的不错，也是比较符合我的要求,爱车评价,[最满意],这款车子的内饰和外观方面是我非常满意的地方。看着特别的高档，车子的配置很高。价格方面也很划算。,[不满意],[外观],这款车子的外观方面设计也非常的时尚。车身的线条很流畅。大灯的设计也很洋气，外观方面是我比较喜欢的一款风格。,[内饰],这款车子的内饰方面设计也很高档豪华。配置方面也非常的丰富，该有的功能都有。内饰方面我也是非常喜欢的地方。,[空间],这款车子的空间我感觉也非常的大，坐进去比较宽敞。后备箱的储物空间设计的也非常合理，出行特别方便,[舒适],这款车子的舒适度也比较高，车内没有什么异味，异响。空间也很大，座椅也很软坐着也很舒服。舒适度还是非常高的。,[油耗],这款车子的油耗量方面比较高一些，也可能跟我的行驶路段和开车习惯有一定关系，好一点的路况油耗量还比较适中。,[动力],这款车子的动力方面我感觉也非常的不错。轻踩油门就很有推背感。完全能够满足我日常对动力方面的需求。,[操控],这款车子的方向盘手感比较不错，操控起来比较轻松。而且刹车和油门系统的反应比较迅速。车身也很灵活，操控起来比较得心应手,[性价比],因为这款车子的内饰，还有外观方面都是我非常喜欢的。，而且性价比很高。这个价位能买到这么高配置的车，感觉特别的划算。,展开全部
"
    发表于  2021-07    

      
        
    
    
",隔音、密封和做工扎实性还有待提高；副驾座椅不是电动调节，有电子驻车但没加自动驻车，有点掉价也不太方便。,https://image1.xcarimg.com/attachments/my/1/90/82/612_120.jpg,xuser1918261,三星会员,4.5,外观,4,内饰,4,空间,5,舒适,5,油耗,5,动力,5,操控,4,性价比,4,购入信息,爱车车型,购入时间,2021/3/1,购车地点,唐山市冀东斯巴鲁汽车销售有限公司 [河北省],裸车价格,20.22万  (厂商指导价 20.58万),当前油耗,8.2L/100km,购入用途,接送小孩,自驾游,爱车简评,性价比很高，个人看法，买车至今没后悔的想法，要颜有颜，要操控有操控，配置也不少，性价比是有的。,爱车评价,[最满意],ES使用非常方便、可靠；全时四驱，跑在路上妥妥的安全感；音响系统效果不错；LED大灯系统远近光自适应带随动；操控性不输欧美系；油耗不高；配置丰富。,[不满意],[外观],这车是一款跨界车，外观是这车的一大亮点，值得一提的是这车的轮毂是他的亮点，驾驶起来整车的外观还是很有回头率的，虽然我本人不是颜控，但是这车的外观还是成功的征服了我。,[内饰],内饰总体不错，车内异味不大，使用过一段时间就基本没什么味道了。中控台的档次也不错，内饰包围部分的阻尼也满意。,[空间],乘坐空间对于我身高不高的人算足够，如果身高太高的人会有点显小；储物空间还不错，特别开门把手处不是镂空设计非常好；后备箱尚可，比轿车大。,[舒适],整车舒适性表现很不错，但不是那种特别好的感觉，但是相较我开过的其他日系国产suV好多了，后排空间也可以，家人满意。不过，风燥、胎噪会有一些，车门的封闭性还可以，但整体隔音一般般了，但是还在接受的范围之内。,[油耗],目前的油耗9.8，市内跑居多，还经常开空调， 2.0的排量能有这样的油耗我还是很满意的，对于这样的一款SUV来说的话很经济省油，和预期的相差无几，个人对于油耗没有什么异议。,[动力],xv采用2.0升排量的水平对置发动机，目前夏季开着空调油耗9.8，个人感觉不错了，平时驾驶马力足够，动力肯定没问题，油门也很灵敏，一点就有，家用的话动力上不用担心。,[操控],说起操控开车的信心很足，本身离地间隙足够用，视野不错，过弯很稳，侧倾很小，而且操控也向来是斯巴鲁的一个强项吧，即使是SUV，驾驶起来也并没有感觉很笨重，整车操控上手快，操控灵活。,[性价比],安全性能高，全时四驱SUV，ES辅助驾驶系统，顶配配置丰富，整车进口，价格正好在预算左右，油耗不高，斯巴鲁一向以安全著称。,展开全部
"
    发表于  2021-07    

      
        
    
    
",最不满意的地方，就是车子的内饰太过于简约朴素，没有什么特别让人眼前一亮的地方。,https://image1.xcarimg.com/attachments/my/1/90/61/450_120.jpg,gh1625556606,三星会员,4.5,外观,4,内饰,5,空间,5,舒适,5,油耗,5,动力,4,操控,4,性价比,4,购入信息,爱车车型,购入时间,2021/3/1,购车地点,石家庄鑫山汽车销售服务有限公司 [河北省],裸车价格,20.21万  (厂商指导价 20.58万),当前油耗,8.2L/100km,购入用途,购物,接送小孩,爱车简评,选择理由，当然是因为它的外观咯，还有就是家人朋友跟我推荐斯巴鲁这个品牌他是日系的，所以它的安全性能是完全不用担心的，因为是有家庭的，所以在这方面会比较看重,爱车评价,[最满意],对这款车最满意的地方，首先就是他的颜值方面，外观看起来特别的有型，给人一种很英气的感觉。,[不满意],[外观],车子的外观看上去特别的简单，但其实就特别的有内涵，给我的直观感受就是看起来特别的英气，所以我给外观满分。,[内饰],他的整体内饰用料也都不错，塑料面积占多一些但是整体还是很不错的。然后就是他的GPS比较不够灵敏,[空间],空间方面的评价，我给的是满分，首先因为我平常但是我朋友们出门吃饭，他们坐在后排也不会太过拥挤，然后车子的储物格子储物能力还挺棒的。,[舒适],车子舒适性，隔音效果特别的棒，在车里什么车牌照身后的发动机的声音，根本就听不到到，所以给舒适性满分。,[油耗],车子的油耗方面的话呢，我给的是满分，原因是，因为她在高速路上的耗油，对我来说还算比较低的，所以还算挺省心的,[动力],车子的动力方面的话，有一次我上高速的时候，想试试油门的能力，于是就踩了油门，然后车子产生的动力特别足，所以动力满分,[操控],操控性能的话呢，首先车子的方向盘，握起来特别的容易上手，然后油门，刹车，这些配置都挺棒的，所以操作性能上，我给满分。,[性价比],选这款车的理由，首先也是被他的高颜值所吸引了，他给我的感觉就是特别的干练又简约，然后车子的动力也特别的充足。,展开全部
