publish,标题,名称,名称1,名称2,评分,评分3,评分4,评分5,评分6,评分7,评分8,评分9,评分10,评分11,评分12,评分13,评分14,评分15,评分16,评分17,评分18,标题19,信息,信息_链接,信息20,信息21,信息22,信息23,信息24,信息25,信息26,信息27,信息28,标题29,purpose,purpose30,purpose31,purpose32,标题33,标题34,信息35,图片,图片36,图片37,图片38,图片39,图片40,图片41
"
    发表于  2023-08    

            
    
    
",比亚迪护卫舰07的这款车融合了豪华与实用，提供了极致的驾乘体验。,https://image1.xcarimg.com/attachments/my/1/95/11/522_120.jpg,倔强猪猪不服,三星会员,4.63,外观,5,内饰,4,空间,5,舒适,5,油耗,4,动力,4,操控,5,性价比,5,购入信息,爱车车型,https://newcar.xcar.com.cn/m67967/,2023款护卫舰07DM-i 100KM 旗舰型,购入时间,2023/6/1,购车地点, [山东省],裸车价格,22.88万  (厂商指导价 22.88万),当前油耗,4.5L/100km,购入用途,上班,购物,自驾游,泡妞,爱车简评,实拍图片,爱车评价,https://img1.xcarimg.com//review/20230827/491a6194e9345edcafc058e167b7da33.jpg-169x127.jpg,https://img1.xcarimg.com//review/20230827/e2d701c8904775f6332cd1d17fe7964f.jpg-169x127.jpg,https://img1.xcarimg.com//review/20230827/29d6458ca15a93b2bc7547a4fc0457b6.jpg-169x127.jpg,https://img1.xcarimg.com//review/20230827/5ecca356c8f66cd0e82189dcaf6861ad.jpg-169x127.jpg,,,
"
    发表于  2023-08    

            
    
    
",这车的性价比是很好的，续航还靠谱，动力也是很够劲，带着家人出去游玩空间也很够用。,https://image1.xcarimg.com/attachments/my/1/94/82/627_120.jpg,xuser1958262,青铜长老,4.63,外观,4,内饰,4,空间,5,舒适,5,油耗,5,动力,4,操控,5,性价比,5,购入信息,爱车车型,https://newcar.xcar.com.cn/m67969/,2023款护卫舰07DM-i 205KM 旗舰型,购入时间,2023/4/1,购车地点,聊城市豪迪汽车销售有限公司 [山东省],裸车价格,25.98万  (厂商指导价 25.98万),当前油耗,5.7L/100km,爱车简评,,,,,爱车简评,实拍图片,爱车评价,https://img1.xcarimg.com//review/20230809/a0693f3179dcf8400044fd00a27a9c51.jpg-169x127.jpg,https://img1.xcarimg.com//review/20230809/d1c93f2da7b748872803699b4400b647.jpg-169x127.jpg,https://img1.xcarimg.com//review/20230809/fc9fe45a984ba225f144b23b083771ff.jpg-169x127.jpg,https://img1.xcarimg.com//review/20230809/99072de504886431d2da9c9df58b7ec8.jpg-169x127.jpg,https://img1.xcarimg.com//review/20230809/572fdd746f405568f38302ad4066fb59.jpg-169x127.jpg,https://img1.xcarimg.com//review/20230809/708571dc00ee4914f3decaafca9ecf55.jpg-169x127.jpg,https://img1.xcarimg.com//review/20230809/29d4e1acc30d66690bcea4d3d0b5750b.jpg-169x127.jpg
"
    发表于  2023-07    

      
        
    
    
",我是颜值控，喜欢护卫航07的外观，大气、霸气、帅气，挺有运动风范！,https://image1.xcarimg.com/attachments/my/1/94/89/327_120.jpg,xuser1958932,三星会员,4.88,外观,5,内饰,4,空间,5,舒适,5,油耗,5,动力,5,操控,5,性价比,5,购入信息,爱车车型,https://newcar.xcar.com.cn/m67970/,2023款护卫舰07DM-p 175KM 四驱旗舰型,购入时间,2023/5/1,购车地点, [黑龙江省],裸车价格,28万  (厂商指导价 28.98万),当前油耗,4L/100km,爱车简评,,,,,爱车简评,,爱车评价,,,,,,,
"
    发表于  2023-07    

      
        
    
    
",这款车的尾灯很让人心动，尾灯是贯穿是的，非常炫酷时尚，深得我心。 海洋美感：轮毂也非常吸引人，造型很别致，轮毂颜色明暗对比显得很有动感。,https://image1.xcarimg.com/attachments/my/1/94/89/326_120.jpg,xuser1958932,三星会员,4.88,外观,5,内饰,4,空间,5,舒适,5,油耗,5,动力,5,操控,5,性价比,5,购入信息,爱车车型,https://newcar.xcar.com.cn/m67970/,2023款护卫舰07DM-p 175KM 四驱旗舰型,购入时间,2023/5/1,购车地点, [上海市],裸车价格,28万  (厂商指导价 28.98万),当前油耗,4L/100km,爱车简评,,,,,爱车简评,,爱车评价,,,,,,,
"
    发表于  2023-06    

      
        
    
    
",空间够大，混动车型很省油，平常上路基本不用油，也就是上高速的时候会用一下,https://image1.xcarimg.com/attachments/my/1/94/58/646_120.jpg,xuser1955864,青铜长老,4.88,外观,5,内饰,5,空间,5,舒适,5,油耗,5,动力,5,操控,5,性价比,4,购入信息,爱车车型,https://newcar.xcar.com.cn/m64369/,2023款护卫舰07DM-i 100KM 豪华型,购入时间,2023/6/1,购车地点, [山东省],裸车价格,20.28万  (厂商指导价 20.28万),当前油耗,4.4L/100km,购入用途,购物,自驾游,跑长途,,爱车简评,实拍图片,爱车评价,https://img1.xcarimg.com//review/20230627/02ed6d88d8353d3a9f213889791cda23.jpg-169x127.jpg,https://img1.xcarimg.com//review/20230627/fdbb21b2fb2b87ae87a0a297e67a853f.jpg-169x127.jpg,https://img1.xcarimg.com//review/20230627/182e84524d5561bf807f4465c0ecf65b.jpg-169x127.jpg,https://img1.xcarimg.com//review/20230627/2dbe20c312ca9fe0877b8dc11868300d.jpg-169x127.jpg,https://img1.xcarimg.com//review/20230627/407837a9cbd38277733b4f662ecd4c05.jpg-169x127.jpg,https://img1.xcarimg.com//review/20230627/4c28038c11693ceb274cf006055e8ad3.jpg-169x127.jpg,https://img1.xcarimg.com//review/20230627/7a3d3b57707f775fcc98ee72ef50edbf.jpg-169x127.jpg
"
    发表于  2023-06    

      
        
    
    
",满足5口之家日常所需，简直太舒适宽敞了，今年的新宝贝，全家都非常喜欢。护卫舰07，属于中大型SUV，特别适合家里小孩多的，在后排完全不打挤，。带家里三个小孩，很放心，后排足够他们活动，也方便老人照看不打挤。,https://image1.xcarimg.com/attachments/my/1/94/86/156_120.jpg,xuser1958615,三星会员,5,外观,5,内饰,5,空间,5,舒适,5,油耗,5,动力,5,操控,5,性价比,5,购入信息,爱车车型,https://newcar.xcar.com.cn/m67969/,2023款护卫舰07DM-i 205KM 旗舰型,购入时间,2023/4/1,购车地点, [四川省],裸车价格,25.98万  (厂商指导价 25.98万),当前油耗,26L/100km,购入用途,上班,购物,接送小孩,自驾游,爱车简评,实拍图片,爱车评价,https://img1.xcarimg.com//review/20230623/d477b55a6e8df72e33c89a8c54136e18.jpg-169x127.jpg,https://img1.xcarimg.com//review/20230623/97581eeb5639483f9bc9542cf4a3f5a5.jpg-169x127.jpg,https://img1.xcarimg.com//review/20230623/c5f8f8d1fda83f7f1ec7da2b72e80794.jpg-169x127.jpg,https://img1.xcarimg.com//review/20230623/6662003b2cf9e0667f5ded5e747b4023.jpg-169x127.jpg,https://img1.xcarimg.com//review/20230623/d7c15d7679b914666726c2dfac7ff401.jpg-169x127.jpg,https://img1.xcarimg.com//review/20230623/4a7c3fd5243ebd4d7e4a8af1742cda9f.jpg-169x127.jpg,https://img1.xcarimg.com//review/20230623/b107290a9048794c8f4ea0bdc4ef3a22.jpg-169x127.jpg
"
    发表于  2023-04    

            
    
    
","当用上比亚迪的护卫舰07以后才知道什么叫做大五座的SUV,空间大的可以跷二郎腿的车，那有理由不爱。",https://image1.xcarimg.com/attachments/my/1/94/69/944_120.jpg,减肥不掉秤,三星会员,4.5,外观,5,内饰,4,空间,5,舒适,5,油耗,4,动力,4,操控,4,性价比,5,购入信息,爱车车型,https://newcar.xcar.com.cn/m67967/,2023款护卫舰07DM-i 100KM 旗舰型,购入时间,2023/2/1,购车地点, [山东省],裸车价格,22.88万  (厂商指导价 22.88万),当前油耗,4L/100km,购入用途,上班,购物,自驾游,越野,爱车简评,实拍图片,爱车评价,https://img1.xcarimg.com//review/20230423/f129bbf4647f8f6b34d4014bfc917cf8.jpg-169x127.jpg,https://img1.xcarimg.com//review/20230423/1d574dff4e96630e24bd8abec96bba5f.jpg-169x127.jpg,https://img1.xcarimg.com//review/20230423/a1c89749f8701b215ac6d9978f63ee17.jpg-169x127.jpg,https://img1.xcarimg.com//review/20230423/a1ce615a63df7bff6fad194e3a447598.jpg-169x127.jpg,https://img1.xcarimg.com//review/20230423/037164fbce10fe3975560c1c2f0d4e11.jpg-169x127.jpg,https://img1.xcarimg.com//review/20230423/f60ea3109687971bdef81682945546d4.jpg-169x127.jpg,https://img1.xcarimg.com//review/20230423/adb5cb349bce27654e13f2e9b6a3492a.jpg-169x127.jpg
"
    发表于  2023-04    

      
        
    
    
",护卫舰07这个车子很有魅力，外观的运动设计，想要一款高性价比的车，生活越来越便利，必定要买一款颜值高并且时尚帅气的车，尤其动力这块，感觉还不错，感觉开起来很舒服，超级平顺。,https://image1.xcarimg.com/attachments/my/1/94/67/254_120.jpg,xuser1956725,三星会员,4.88,外观,5,内饰,5,空间,4,舒适,5,油耗,5,动力,5,操控,5,性价比,5,购入信息,爱车车型,https://newcar.xcar.com.cn/m66432/,2023款护卫舰07DM-i 100KM 尊贵型,购入时间,2023/3/1,购车地点, [山西省],裸车价格,21万  (厂商指导价 21.58万),当前油耗,5.9L/100km,爱车简评,,,,,爱车简评,,爱车评价,,,,,,,
"
    发表于  2023-04    

      
        
    
    
",车辆功能上还是非常全的，基本上我需要的，它都有，而且车上有网络，平常还能搁车上刷刷抖音，孩子搁车上还能用喜马拉雅听故事。,https://image1.xcarimg.com/attachments/my/1/94/67/253_120.jpg,xuser1956725,三星会员,4.75,外观,5,内饰,5,空间,5,舒适,5,油耗,5,动力,5,操控,4,性价比,4,购入信息,爱车车型,https://newcar.xcar.com.cn/m67968/,2023款护卫舰07DM-i 205KM 尊贵型,购入时间,2023/2/1,购车地点,天津市津维瑞通汽车销售有限公司 [天津市],裸车价格,21万  (厂商指导价 24.58万),当前油耗,9L/100km,爱车简评,,,,,爱车简评,,爱车评价,,,,,,,
"
    发表于  2023-04    

      
        
    
    
",支持苹果手机或者安卓手机NFC解锁钥匙，这个功能简直太棒了，我超级喜欢！,https://image1.xcarimg.com/attachments/my/1/94/67/251_120.jpg,xuser1956725,三星会员,4.75,外观,4,内饰,5,空间,5,舒适,5,油耗,5,动力,4,操控,5,性价比,5,购入信息,爱车车型,https://newcar.xcar.com.cn/m64369/,2023款护卫舰07DM-i 100KM 豪华型,购入时间,2023/2/1,购车地点,山西诺维兰集团运城瑞和汽车销售服务有限公司 [山西省],裸车价格,20万  (厂商指导价 20.28万),当前油耗,7L/100km,爱车简评,,,,,爱车简评,,爱车评价,,,,,,,
