publish,标题,图片,名称,评分,评分1,评分2,评分3,评分4,评分5,评分6,评分7,评分8,评分9,评分10,评分11,评分12,评分13,评分14,评分15,评分16,标题17,信息,信息_链接,信息18,信息19,信息20,信息21,信息22,信息23,信息24,信息25,信息26,标题27,purpose,purpose28,purpose29,标题30,jia_text,信息31,dw_1,dw_132,dw_23,dw_2,dw_2333,dw_234,dw_3,dw_335,dw_4,dw_236,dw_437,dw_238,dw_6,dw_639,dw_7,dw_740,dw_8,dw_841,openall
"
    发表于  2021-06    

      
        
    
    
",tomyingfgm,https://image1.xcarimg.com/attachments/my/0/31/05/970_120.jpg,新手上路,4.88,外观,5,内饰,4,续航,5,空间,5,舒适,5,动力,5,操控,5,性价比,5,购入信息,爱车车型,https://newcar.xcar.com.cn/m56569/,2021款爱驰U5 ING+,购入时间,2021/3/1,购车地点, [山东省],裸车价格,18.5万  (厂商指导价 20.99万),续航里程,500km,购入用途,上班,接送小孩,,爱车简评,空间绝对没问题，坐人空间也大，后备箱的使用空间也非常强大，这一点我非常满意,爱车评价,[外观],外观颜值很高，没得说，在路上跑回头率超高的，所到之处都有人回头看我，哈哈,[不满意],[最满意],减震方面能改进一下就好了，颠簸有些明显，有的一些比较高的减速带没有完美的过滤掉,当时爱驰在商场做车展，一眼就被外观吸引了，外观很好看，虽然设计很简约，但是车头很大，显得很有气场,,,[舒适],[内饰],座椅的包裹性很不错，舒适性也很高，毕竟家用车，舒适度高还是很重要的，美中不足的就是减震偏软，再调试一下就好了。,内饰很有科技感，特别是大屏部分，个人感觉横屏比竖屏要好看很多，我本人很讨厌竖屏上面多出来的那一块，很别扭，操控也挺顺手的,[动力],动力很足，提速很快，尤其是起步，非常快，个人感觉比燃油车的提速还要快。,[操控],作为一枚老司机，爱驰U5的操控真的算得上是上乘了，方向盘也是指哪打哪，没什么虚位，就算是新手也能很好的驾驭,[性价比],性价比很高，尤其是后续用车，不用加油，也不用保养油钱都省下了。,
"
    发表于  2021-06    

      
        
    
    
",长沙猛子gnr3,https://image1.xcarimg.com/attachments/my/0/31/05/972_120.jpg,新手上路,4.88,外观,5,内饰,4,续航,5,空间,5,舒适,5,动力,5,操控,5,性价比,5,购入信息,爱车车型,https://newcar.xcar.com.cn/m56569/,2021款爱驰U5 ING+,购入时间,2021/3/1,购车地点, [上海市],裸车价格,18.64万  (厂商指导价 20.99万),续航里程,500km,购入用途,上班,购物,接送小孩,爱车简评,性价比真的是很高了，现在的新能源车动辄都要三十多万，爱驰U5不到二十的价格就能有这样的表现，真的是很不错的了。,爱车评价,[外观],外观是我最喜欢的地方，简洁大方上档次，车身线条流畅完美，颜值超高,[不满意],[最满意],刚开车2个月，目前最不满意的就是感觉音箱不是品牌的音箱，音质还不错，但是和牌子的音箱音质还是差一些。,最喜欢的就是他的高颜值，外观非常大气，看过第一眼就很难再喜欢上别的车，内饰也比较舒服，适合家里有老人和孩子的人选择。,[空间],空间绝对是没话说，当时决定买它也是因为相中了他的超大空间，无论外观还是内饰都显得非常威猛,[舒适],[内饰],舒适性做的很不错，车内的软包做的非常舒服，再加上前后独立悬挂，避震性能也非常好，舒适感属上乘。,内饰的话没什么亮点，就是很简单的设计，无功无过,[动力],感觉爱驰的调教还是不错的，没有普通电动车那种一脚猛冲的感受，加速更像是油车的感觉，不会是急加速，所以他的这个行驶感受真的超出我的想象，相当给力。,[操控],操控性能不错，感觉方向盘要比燃油车的更加轻盈，转向也很精准，一个字，稳！,,,
"
    发表于  2021-05    

      
        
    
    
",david0831jl1,https://image1.xcarimg.com/attachments/my/0/31/05/973_120.jpg,新手上路,4.88,外观,5,内饰,4,续航,5,空间,5,舒适,5,动力,5,操控,5,性价比,5,购入信息,爱车车型,https://newcar.xcar.com.cn/m56569/,2021款爱驰U5 ING+,购入时间,2021/1/1,购车地点, [山东省],裸车价格,22.99万  (厂商指导价 20.99万),续航里程,500km,购入用途,上班,购物,接送小孩,爱车简评,动力输出很棒，随踩随来，运动模式下，动力输出更直接，像我平时上下班开的话，超个车根本不在话下,爱车评价,[外观],外观挺简约大气，我很喜欢这种设计，比起花里胡哨的外观我还是更喜欢这种简单大方没什么罗嗦的设计,[不满意],[最满意],如果非说最不不满意，可能就是内饰吧，过于简单了，如果能够再有设计感一些就好了,外观、空间和动力吧，外观应该是我最满意的地方，尤其是黑色配这么大的一款车，很大气。车内空间也很大，动力也很充沛，对于家用车来说，空间大这一点我非常满意,[空间],空间很大，我个子比较高，试过几款车下来还是觉得爱驰是我坐着最舒服的,[舒适],[内饰],隔音做的非常棒，座椅的包裹性做的也很好，带家人出门的时候家人也说前后排坐起来都很舒服,内饰过于简单了，整体没什么太大的亮点，感觉还可以再做得更精细一点。,,,[操控],方向盘挺轻的，转向也是指哪打哪，没什么虚位,[性价比],耗电低，经济实惠，当然性价比OK了，不然我也不会选择这款车。,
"
    发表于  2021-05    

      
        
    
    
",golf2001x,https://image1.xcarimg.com/attachments/my/0/31/05/967_120.jpg,新手上路,5,外观,5,内饰,5,续航,5,空间,5,舒适,5,动力,5,操控,5,性价比,5,购入信息,爱车车型,https://newcar.xcar.com.cn/m59237/,2021款爱驰U5 标准续航 PURE智净版,购入时间,2021/2/1,购车地点, [陕西省],裸车价格,20.99万  (厂商指导价 17.99万),续航里程,500km,购入用途,上班,购物,接送小孩,爱车简评,性价比超高，家用特别合适，后续也没什么多余的保养费用，也不用加油，基本相当于一笔消费，不用养车，比燃油车要省太多钱了。,爱车评价,[外观],最满意的就是爱驰U5的外观，简约大气，绝对符合现在年轻人崇尚简约美的理念，无论是整车的前脸还是车的侧身线条，我都很满意。,[不满意],[最满意],目前来看没什么不满意的地方，以后再找吧。,最满意的绝对是外观，简约，大气，稳重，很利落的设计，而且车身线条也很流畅，比现在市面上大部分的新能源汽车还是强不少的。,[空间],空间这方面我觉得做的相当不错，最重要的是利用率非常高，没什么浪费的空间，大大小小的地方都能利用起来，我还是挺满意的。,[舒适],[内饰],舒适性非常棒，特别是减震这方面，过减速带或者小一点的台阶都可以轻松过滤掉，车身也不晃，不像这个价位的车该有的表现,内饰很好，材料也很舒适，尤其是整车座椅的包裹材料都非常软，很适合老人和孩子乘坐。,[动力],动力绝对强劲，加速的话比其它车要好很多，就算是满载动力也足够，打消了我一直以来对“电车不如燃油车动力强劲”的顾虑。,[操控],操控太稳了，一等一的赞，就算是跑高速方向盘也不会飘，安全性很高。,,,
"
    发表于  2021-04    

      
        
    
    
",iqbsex146,https://image1.xcarimg.com/attachments/my/0/31/05/968_120.jpg,新手上路,4.75,外观,4,内饰,5,续航,5,空间,5,舒适,5,动力,4,操控,5,性价比,5,购入信息,爱车车型,https://newcar.xcar.com.cn/m59238/,2021款爱驰U5 长续航 PURE智净版,购入时间,2021/3/1,购车地点, [四川省],裸车价格,20.99万  (厂商指导价 19.99万),续航里程,500km,购入用途,上班,自驾游,,爱车简评,买车前看了ES6加上选装要50万，特斯拉model3也35万了，我选的爱驰落地在20左右，性价比高很多。,爱车评价,[外观],爱驰的设计比较大胆前卫，适合我们这样比较追求潮流的年轻人。,[不满意],[最满意],车子总体很不错，没什么不满意的地方，很不错的！,适合自己的就是最好的，无论是价格还是产品都蛮合适，之前对比过蔚来和特斯拉，价格都超预算太多，爱驰的性价比很高。,[空间],空间非常满意，尤其是后排，因为没有中央隆起，所以坐起来非常舒服。,[舒适],[内饰],隔音好，座椅柔软舒服，家人都爱坐，那舒适性肯定很棒了。,车内科技感很强的，基本上都是触控或者语音控制，简化了人机交互体验，车内的接缝也很均匀，做工不错。,[动力],百公里加速7秒多的车，在汽油车里面相当于2.0T动力了，加速非常快。,[操控],底盘调校的比较运动，方向也很精准，开起来非常顺手。,,,
"
    发表于  2021-02    

      
        
    
    
",11110kz8,https://image1.xcarimg.com/attachments/my/0/30/74/407_120.jpg,新手上路,4.63,外观,4,内饰,4,续航,5,空间,5,舒适,5,动力,4,操控,5,性价比,5,购入信息,爱车车型,https://newcar.xcar.com.cn/m56568/,2021款爱驰U5 ING,购入时间,2020/12/1,购车地点, [四川省],裸车价格,20.99万  (厂商指导价 18.69万),续航里程,500km,购入用途,上班,购物,自驾游,爱车简评,在20W级别的新能源车里面爱驰U5不论在续航，智能驾驶，操控性来说都属于性价比比较高的了,爱车评价,[外观],整车考虑的是一个安全型，前脸圆润宽，面积越大受力跟均匀外观设计比较圆滑，在晚上的时候开灯更帅。,[不满意],[最满意],不满意的就是续航，虽然之前听说新能源汽车续航大部分都是虚标，但是实际上要多一点儿，这个nedc续航503，实际上跑的话也就410到450km左右，城市里面400多是没有问题，高速路上最多也就跑到380到390左右我觉得这点儿还是要改进的，而且车机30分钟之内很卡，这个也是很多新能源车的通病，不能很顺滑的操作，而且语音操控在之前会错误识别，经常莫名切歌，年后的话车子ota升级已经解决了这个问题。现在在成都的售后服务点比较少，听说后续会多设几个售后服务中心，目前位置的话只有一个，还是不方便的。,家里人一直开惯开燃油车，不管是自然吸气还是涡轮增压，都能听到那种发动机加速的轰轰声，这是一种刺激同时也是一种噪音，选择新能源汽车，也是因为它电机的声音很小几乎听不到，选择爱驰U5也是因为试驾过后真实的感受过静音真的不错，包括车子的操控性，之前在网上了解过爱驰u5出口过欧盟国家，操控性偏向于德系的感觉，车子压过路面上小石子，坑洼的路段你能真实的感受到压过去，爱驰U5有很多人性化的设计，爱驰U5方向盘是扁平的并不是常规的圆形，在我看来这样的好处可以让驾驶人能清楚的知道自己的方向盘是否是正的。这一点还是比较人性化的。,[空间],后备箱空间，这也是我看重的。我现在的用车场景。需要后备箱能装一些东西。后备箱的储物能力是我看过这么多车里面算是最好关键的是后排放下来能与后备箱呈一条水平线。后排：后排空间，因为是正向开发的平台所以，能给车内留很多的空间后排空间大小也是同级别算是最大的了，大概三拳半的距离。,[舒适],[内饰],买一台新能源汽车它和燃油车的区别就是，它到你手上并不是像燃油车一样是一个很死的配置，它会后续OTA升级让车变得跟智能。这个也就是年后升级的版本，的确比之前要好座椅舒适性：这个座椅刚坐上去的时候很硬，但是坐久了就会越来越舒服，有一些太软的座椅开久就会疲倦，这点儿其实是不错的包围性很好,内饰比较简约，爱驰更加追求智能互动，大部分东西都可以用语音操控，所以车内按钮很少，这点儿还是不错的,[动力],动力方面相当于2.0T的燃油车的动力，但是因为是电控的响应速度会比燃油车快得多，所以在起步和提速方面要快的多。,[操控],在操控方面，在行驶的途中去故意的走一些坑洼路段，你能感受很清楚，有一些偏德系的感觉，后续我也在网上查到爱驰汽车的研发中心在德国。,,,展开全部
"
    发表于  2021-02    

      
        
    
    
",huntercju,https://image1.xcarimg.com/attachments/my/0/30/74/408_120.jpg,新手上路,5,外观,5,内饰,5,续航,5,空间,5,舒适,5,动力,5,操控,5,性价比,5,购入信息,爱车车型,https://newcar.xcar.com.cn/m56571/,2021款爱驰U5 PRO+,购入时间,2020/8/1,购车地点, [四川省],裸车价格,22.99万  (厂商指导价 24.99万),续航里程,500km,购入用途,上班,接送小孩,,爱车简评,爱驰这款车采用的是头枕和背靠一体的设计，运动感十足，座椅的皮质感也不错，软硬适中，太软的话支撑性又不够了。,爱车评价,[外观],乍看第一眼觉得车子并不亮眼，但是还比较耐看☆故障-外观：目前没有出现质量问题☆外观感受：沉稳大气吧车灯设计：简介明了，线条比较少，整洁钣金车漆：颜色还算耐脏车身及车轮：焊缝真的很均匀，缝隙也比较小,,[内饰],,典型的北欧风格，跟沃尔沃风格比较类似。☆故障-内饰：没有出现任何问题☆车联网：每个月10G流量还够用，屏幕一般吧就和奔驰E级的那个屏幕差不多大。☆氛围灯：颜色好像就一种吧☆GPS导航系统：导航实时联网，还可以，语音就可以控制☆内饰设计风格：北欧风格内饰异味异响：内饰没有异味，满足欧盟的环保标准不是盖的多媒体：音质一般，高保真级别吧内饰材质：座椅材料还是比较好的，nappa级别的满意,[空间],后排空间很宽大，中间没有隆起很舒服，翘个二郎腿没问题。☆空间设计亮点：空间确实大，而且下方还有比较理想的私密储物空间，爱了爱了后备厢容积：后备箱下方还有比较大的储物空间。,[舒适],,座椅真皮没得说摸起来还是很舒服的，车子里面也没有异味，☆PM2.5过滤装：有赠送一个PM2.5过滤器还是比较实用的。☆空调温度分区控制：双驱空调，后排有独立出风口，而且是扩散式的不会吹感冒。☆后座空调出风口：独立出风口座椅舒适性：软硬适中，包裹性比较好。车内噪音：没有发动机所以很安静，也就高速上会有风噪和胎噪。空调：制冷效果来得很快，制热稍慢（相对来说）☆车内消毒方式：有空气净化器，消毒的话没听过什么车可以自动消毒悬架减震舒适性：减震干脆，比较偏德系车,,[动力],动力随时踩随时来，电车反映速度有车是远远比不上的，运动模式下就更直接了，再说我一般不飙车，好好开车动力绝对够用了。☆故障-动力系统：目前没有发生过任何故障，去售后也是做系统升级。经济/运动模式加速：节能模式下我电耗在14左右，高速上18.5左右算意料之中的。跑高速：虽然销售给我说系统限速是160，但是固执的还是开到过170，就是开快了电耗会比较高。,[操控],操控其实还是比较灵敏的，指哪儿打哪儿，方向盘轻重也可以调节。☆故障-操控系统：目前没有出现过故障☆自动泊车入位：自动泊车自己没怎么用过，没有发言权，但是看过他们第三代泊车的视频，人不用呆在车里，下车后车子自动停进车位里面，好像也挺高科技的，下次升级应该就可以体验了。☆车道保持辅助系统：车道保持系统还是很好用的，自己目前亲测很好很方便。☆并线辅助：用过这功能，挺实用的后方有车过来车子后视镜有提醒，声音也有提醒，倒车的时候还有开门的时候都有提醒，挺实用的。方向盘操控感：没有虚位置，软硬可调。底盘悬架支撑：支持感觉良好，减震干脆，没有异响。刹车表现：制动效果比较理想，而且有陡坡缓降，一般是大型车才会配备的，这车居然也有，而且下坡的时候还会反向充电。,[性价比],电费便宜，保养便宜，还不交购置税，算算账都会觉得便宜购车：我是按揭拿了两年免息，还不错保养维护：没送保养，2W公里保养一次，300块钱左右随便开。4S店售后服务：去过两次都是做系统ota升级。到店还是挺热情。品牌评价：品牌知名度比较小，确实是这个品牌的弱势，但是是金子总会发光的，群里面这么多车住还没有谁后悔买爱驰，说明爱驰还是可以的。,展开全部
"
    发表于  2021-02    

      
        
    
    
",wuwui,https://image1.xcarimg.com/attachments/my/0/30/74/406_120.jpg,新手上路,4.5,外观,5,内饰,4,续航,5,空间,5,舒适,5,动力,4,操控,4,性价比,4,购入信息,爱车车型,https://newcar.xcar.com.cn/m56382/,2021款爱驰U5 SE,购入时间,2021/1/1,购车地点, [江苏省],裸车价格,20万  (厂商指导价 16.69万),续航里程,500km,购入用途,上班,购物,接送小孩,爱车简评,当时购买预算是20万以内上路，结果稍微超出一点，感觉价格有点偏高，毕竟品牌知名度还没出来,爱车评价,[外观],外观还比较大气，是我喜欢的,[不满意],[最满意],价格偏高，目前路上跑的不多，不知道售后能不能跟上,空间很大，前后排很宽敞，老人坐上去不压抑,[空间],我是南方人，178身高，坐上去头部空间绰绰有余,[舒适],[内饰],过颠簸路面避震还舒适，车内也没有任何异味，空间也大，前后排坐着都很舒服,是自己喜欢的黑色内饰，耐脏性好,[动力],电动车起步比我以前开的燃油车快多了，打空调动力影响没感觉,[操控],方向盘是椭圆形设计，一下子不适应,,,
"
    发表于  2021-02    

      
        
    
    
",bdijrsw1,https://image1.xcarimg.com/attachments/my/0/30/74/405_120.jpg,新手上路,4.75,外观,5,内饰,5,续航,5,空间,5,舒适,5,动力,4,操控,4,性价比,5,购入信息,爱车车型,https://newcar.xcar.com.cn/m58362/,2020款爱驰U5 LITE,购入时间,2021/2/1,购车地点, [江苏省],裸车价格,20.99万  (厂商指导价 21.99万),续航里程,500km,购入用途,上班,购物,接送小孩,爱车简评,这款车的使用和后续保养成本还是很低的，日常不用保养，家里充电，每公里也就0.08元，相当省钱，20万的价位能买到这么大的车很实惠了,爱车评价,[外观],外观大气，无进气格栅很前卫，全车LED大灯，车门接缝均匀，做工很棒,[不满意],[最满意],车机导航更新慢，AI语音反映慢，高速风噪大,最直观的就是空间大，外观大气，无进气格栅很前卫，行驶品质好,[空间],爱驰U5的空间还是蛮大的，一家人用车很实用，后备箱放宝宝椅、旅行箱还有很大的空间，后排的空间更是没的说，翘二郎腿都行☆空间设计亮点：车内空间大，无论是后排还是后备箱，后排有2拳半的富余，后备箱能放折叠自行车,[舒适],[内饰],座椅：爱驰这款车采用的是头枕和背靠一体的设计，运动感十足，座椅的皮质感也不错，软硬适中，太软的话支撑性又不够了。噪音方面：平时在市区60码以下可以说是相当的静音，起步很舒适，没有燃油车的段挫感异味：这点爱驰控制的挺好的，基本车内没啥异味,爱驰这款车采用的是头枕和背靠一体的设计，运动感十足，座椅的皮质感也不错，软硬适中，太软的话支撑性又不够了。,[动力],电动车的加速不用多加赘述了，一脚油门就可享受推背的快感，轻松爬坡,[操控],爱驰这款车的调教很舒服，有德系车的架势品质，转向还是灵敏的，但可能是SUV和车身大的原因，弯大的时候还是会飘,,,展开全部
"
    发表于  2021-01    

      
        
    
    
",kenthmp05,https://image1.xcarimg.com/attachments/my/0/30/70/222_120.jpg,新手上路,4.88,外观,5,内饰,4,续航,5,空间,5,舒适,5,动力,5,操控,5,性价比,5,购入信息,爱车车型,https://newcar.xcar.com.cn/m56570/,2021款爱驰U5 PRO,购入时间,2020/12/1,购车地点, [山东省],裸车价格,22.99万  (厂商指导价 22.99万),续航里程,500km,购入用途,上班,接送小孩,自驾游,爱车简评,动力输出强劲，在日常通勤，高速上完全够用。经济/运动模式加速：经济模式提速给力，运动模式推背感十足。总体性能体验非常好。,爱车评价,[外观],整车铸造件多，车门车架都是一体冲压而成，提升安全性的同时也增加了密封性。,[不满意],[最满意],内饰设计略显单调，还有外观造型稍有保守。,对比过众多电动品牌，二十万级我首选爱驰，紧凑型的车身尺寸却有着中大型的轴距，乘用空间，宽敞舒适；动力充沛，说来就来；方向精准，指哪打哪；底盘扎实，软硬恰好；上钢下铝，搭配得当；欧盟品质，德系风格；尊享智能，越级享受；综上所述，远超同级。,[空间],前排空间调节自如，中排空间宽敞舒适，后排装载方便。☆空间设计亮点：中排座垫可灵活反转，让后排全平放倒后呈全平状态。乘坐空间：无论驾驶位还是乘客位，1.75米的我随便坐进去，无论头部还是腿部都有两三拳以上的空间，空间相当充裕，很是满意。后备厢容积：后备箱，常态下三四个中型行李箱都可以放下，把第二排放倒后空间更大，1.75米的人平躺过去后门依然正常关上，无阻碍。车内储物能力：车内储物格还是蛮多的，四门边都有储物格，主副驾座椅后也有网状储物格。家人乘坐评价：能满足一家人的日常出行，无论腿部还是头部空间都相当不错。,[舒适],[内饰],其他品牌新车总会有一股味道，但爱驰新车竟然一点气味都没有，同时车内也还有空气净化器，使得车内空气质量更加好。座椅舒适性：座椅软硬适中，同时头枕做成与沃尔沃同款，保护颈椎，贴心。,三折屏的仪表盘，新颖别致，科技感强，非常满意。☆GPS导航系统：导航精准，对路况的预判准确，更新及时没有延时。☆车联网：语音识别灵敏，能连续对话，但系统语音要更年轻化就好了。,,,[操控],方向精准，转向也很清晰，基本上是指哪打哪。底盘悬架支撑：底盘扎实，适应各种复杂路况，悬挂软硬适中。☆车道保持辅助系统：车道保持系统能及时纠正偏离，非常人性化。方向盘操控感：方向盘转向轻盈灵活，没有虚位，操纵舒适。,[性价比],同价位相比，配置丰富；同配置相比，价格实惠。,展开全部
