publish,标题,名称,名称1,名称2,评分,评分3,评分4,评分5,评分6,评分7,评分8,评分9,评分10,评分11,评分12,评分13,评分14,评分15,评分16,评分17,评分18,标题19,信息,信息_链接,信息20,信息21,信息22,信息23,信息24,信息25,信息26,信息27,信息28,标题29,purpose,purpose30,purpose31,标题32,jia_text,标题33,图片,图片34,图片35,图片36,图片37,信息38,dw_22,dw_2239,dw_23,dw_2340,dw_1,dw_141,dw_2,dw_5,dw_11,dw_542,dw_1143,dw_3,dw_344,dw_4,dw_445,dw_6,dw_646,dw_7,dw_747,dw_8,dw_848
"
    发表于  2022-06    

            
    
    
",内饰很规矩，没有槽点，个人感觉有略微的保守了，可以在放开一点，目前尚可接受。,https://image1.xcarimg.com/attachments/my/1/85/84/677_120.jpg,xuser1868467,支柱会员,5,外观,5,内饰,5,续航,5,空间,5,舒适,5,动力,5,操控,5,性价比,5,购入信息,爱车车型,https://newcar.xcar.com.cn/m60055/,2021款Mustang Mach-E追风全驱豪华版（长续航）,购入时间,2022/3/1,购车地点, [河北省],裸车价格,36.8万  (厂商指导价 34.99万),续航里程,530km,购入用途,上班,购物,,爱车简评,之前听身边朋友说买了德系的纯电车续航不是很理想冬天都不到200公里的续航，所以一直也没敢比划电动车，这次听销售小姐姐介绍这个车的续航这么有保证，试驾后果断下订。,实拍图片,https://img1.xcarimg.com//review/20220620/25a6b145148457c5297e4334ed271065.jpg-169x127.jpg,https://img1.xcarimg.com//review/20220620/ea9e6211a9d3f1d3c52346ef7e0b14c6.jpg-169x127.jpg,https://img1.xcarimg.com//review/20220620/f7f34f06b9a486815bea97713249d5b1.jpg-169x127.jpg,,,爱车评价,[最满意],外形最喜欢了，比较满意操控，动力和跑车的声浪。作为一个电马的铁粉，对于车的喜爱要高于常人，一直完燃油车，朋友的电车特某某、某想等都比划过。偶然逛街遇到电马试驾一番瞬间就爱了。,[不满意],方向盘的设计不太喜欢，没有高级感。不是通风座椅，30W 的车没有通风座椅有点不能接受。,[外观],外观很拉风，身边朋友都很喜欢，他们也准备比划一个，组车队。,[内饰],[续航],,现在油价这么贵，电车真的非常的香。百公里耗能费用也就20-30元之间。表显续航很精准，没发现有虚电现象。建议快充，很节约时间。,,[空间],175厘米的身高80KG的体重，感觉空间错错有余，后排空间很大。空间可以满足一切合理需求，由于传统燃油车的发动机都在前机盖下方，而电车的马达多数体积都很小且都在后方，所以多出一个“前背箱”,[舒适],内饰舒适性优秀，座椅设计科学，体验舒适，用料考究。,[动力],加速很快实操与广发数据相符，就算起步是上坡，也感觉不到加速缓。,[操控],操控精准，很哇晒！全车感应系统非常灵敏，非常的智能。,[性价比],还是被它的颜值吸引了，陪媳妇逛铁西华润某汇商场偶然间路过这个电马展厅，我和媳妇都被它的优美外形吸引了，试驾之后感觉与燃油车开起来是一样的，特别是不羁模式，推背感很猛，而且还带有模拟音浪，很过瘾，最最主要的操控真的是汽车界的大牛级别，基本满足了我对汽车的所有幻想。性价比特别高，个人感觉高于特某某，动力、外观、价格、颜值都很给力
"
    发表于  2022-06    

            
    
    
",内饰的话走的就是比较年轻的路线，门板和仪表台用的布料真的深得我心，内门把手设计也不错，竖直的中控屏越看越顺眼，哈哈哈,https://image1.xcarimg.com/attachments/my/1/85/84/686_120.jpg,xuser1868468,支柱会员,5,外观,5,内饰,5,续航,5,空间,5,舒适,5,动力,5,操控,5,性价比,5,购入信息,爱车车型,https://newcar.xcar.com.cn/m60054/,2021款Mustang Mach-E无疆后驱豪华版（长续航）,购入时间,2022/4/1,购车地点, [河北省],裸车价格,29.8万  (厂商指导价 28.89万),续航里程,560km,购入用途,上班,购物,自驾游,爱车简评,福特也是老品牌了，所以也是挺信任的。在整个试驾过程中，更加的心动了，所以买车还是要试驾了以后才能做决定,实拍图片,https://img1.xcarimg.com//review/20220620/126f6f64339e56a6f80aa63ba0757cf6.jpg-169x127.jpg,https://img1.xcarimg.com//review/20220620/dd46561c8e4b9fd424e4e737db221b68.jpg-169x127.jpg,https://img1.xcarimg.com//review/20220620/3fbcf76e5b20b4cf5d334d70e485cd19.jpg-169x127.jpg,https://img1.xcarimg.com//review/20220620/4bf26f2e4cd0b1826c4dc293baed24c2.jpg-169x127.jpg,,爱车评价,[最满意],Mustang Mach-E绝对是我的首选，妥妥的颜值担当，外观吸引我进店的，还保留了赛车的模拟音浪，开上这辆马绝对是大街上最靓的车。当时我是直接去店里试驾的，体验它的操控，转弯的时候非常稳，而且滤振效果非常不错，车辆静谧性很好，开起来很舒服，驾驶感让我体验了人车合一！一点不夸张，真的。朋友们去试驾了就知道了！,[不满意],整个车子也没啥不满意的，要说的话就是中控屏要是可以横竖切换就好了，板板正正竖在那里总感觉有点奇怪，其他的我挑不出啥毛病了。。。,[外观],外观就不多说了，真的帅，外观真的没话说，比较有特色的就是按钮的门把手，保证了侧面的流畅度，简直浑然一体，前脸部分肌肉感十足，一辆运动轿跑谁不爱呢,[内饰],[续航],,目前充过一次电，表显续航一共掉了780公里，实际跑了558公里，打了个七折，系统里面显示电耗15kwh，但是感觉不对啊，这个数字有点对不上，80.3度电池按这个电耗算可以跑530多公里，只能说后期使用我在观察，因为有充电桩，充电还是很方便，我还没用过外面的充电桩,,[空间],空间方面2984的轴距，整车看上去就很大，坐进去不会觉得压抑，整个空间感是非常宽裕的，前排中控有无线充电，显得整个空间很干净，后排也有中央扶手和杯架，后排空间我闺蜜175做进去挺好的啊，头顶一拳半，腿部多余出来两拳，大家自己衡量一下啊我做个比喻，它的方向盘是可以上下前后调节的，根据个人情况来。整体空间我还是满意的,[舒适],舒适性很不错，坐上去很舒服，关键是开起来舒服，没有一点噪音，头顶上方那个全景天幕，也是双层夹胶玻璃，现在这么热的天气，隔热效果不错，我也是挺意外的,[动力],我作为女司机，觉得这个动力很好了，有个GT版本的3.65百公里加速，我觉得不适合上路，平常咱也开不了那么快。所以我果断选择了长续航的版本，开起来很平顺，单踏板模式我刚刚接触电车有点不适应，刚刚油转电的我，还需要适应一下的,[操控],方向盘的握感很好，电马转向偏轻，我个人更喜欢偏重一点的手感，底盘机械素质很扎实，但悬挂不是那种硬邦邦的感觉，估计是厂家特意往家用舒适方向调软了，但是韧劲还在。它的优势就在于驾控上面。。这一点完胜很多电动车，也是我的首选的原因,[性价比],性价比的话，电马性价比最好的就是我买的这个无疆后驱豪华版的，续航不错，配置也不错，三种独特的驾驶模式，这三种驾驶模式区别也很大，开起来很像油车，驾驶感觉也很好的，外形是真的好看。而且福特这个百年品牌值得信任的，性价比很高
"
    发表于  2022-06    

      
        
    
    
",内饰说实话，刚开始看车的时候真的不习惯，现在的电车，除了一个大屏啥都没有了，现在开的多了也就习惯了。,https://image1.xcarimg.com/attachments/my/1/85/84/703_120.jpg,xuser1868470,支柱会员,5,外观,5,内饰,5,续航,5,空间,5,舒适,5,动力,5,操控,5,性价比,5,购入信息,爱车车型,https://newcar.xcar.com.cn/m61663/,2021款Mustang Mach-E无疆后驱版（长续航）,购入时间,2022/3/1,购车地点, [上海市],裸车价格,27.8万  (厂商指导价 28.20万),续航里程,490km,爱车简评,,,,爱车简评,首先，绿牌－之前限号把我弄得真的很烦，所以就想着一定要换一个绿牌得车，第二就是外观，电马颜值真的在我看来是电车里面颜值拔尖的存在了,实拍图片,https://img1.xcarimg.com//review/20220620/113455ca63550f26548db7e14ceabdee.jpg-169x127.jpg,https://img1.xcarimg.com//review/20220620/44d6c19cddf968072006afef401c1fec.jpg-169x127.jpg,https://img1.xcarimg.com//review/20220620/a188815dd693f66363f0465ca55af591.jpg-169x127.jpg,,,爱车评价,[最满意],用车成本和不限号，简直起飞，充了2次电，每次不超过50块钱，比起之前加油一次4-500简直爽到爆炸，不限号就不用说了吧，油车限号真的很麻烦，而且我之前限周五，如果想周五下班出去玩个周末就没办法下班就出发，反正很不爽。,[不满意],现在这个车还在蜜月期，还没发现什么不满意的地方。,[外观],颜值很高，但是必须要扣字，大家如果看过车屁股就都懂了；整体车子感觉非常z扎实，有那种美系车的厚重感。,[内饰],[续航],,电耗现在看起来还行，跑过一次高速，实际里程和掉电量差不多能够达到90%左右。,,[空间],空间还是非常充足的，比较是一款跨界SUV，后备箱足够的大，就是门把手的位置是隐藏的开门拉手，个人感觉没啥用还占地方,[舒适],不知道是因为调校偏运动还是咋样，整体悬架偏硬，过个减速带很颠。,[动力],电车的动力那简直是不摆了，油门轻轻一点，动力说来就来，时速80超车轻轻松松，到了120再想往上都非常容易。,[操控],这个车之前了解的时候销售就说过操控是按照福特的高性能车来调校的，其实我对于这个确实不太了解和关注，开起来舒服就可以了，但是有一点电车很舒服的就是在高速上，跑起来特别稳，我觉得可能是因为电池全部在底盘的位置，所以开起来完全没有那种轻的车子飘的感觉。,[性价比],长续航28还是比较良心的，之前本来是关注X斯拉的，但是无奈涨价太厉害了，比起之前涨了4W5左右了，我觉得我不能当这个韭菜，所以还是算了
"
    发表于  2022-06    

            
    
    
",科技感很强，中控屏特别大，15.5英寸，就像平板电脑，操控起来非常流畅，看导航接打电话都很省事，清晰度高，语音交互也很顺畅。,https://image1.xcarimg.com/attachments/my/1/85/84/711_120.jpg,xuser1868471,支柱会员,5,外观,5,内饰,5,续航,5,空间,5,舒适,5,动力,5,操控,5,性价比,5,购入信息,爱车车型,https://newcar.xcar.com.cn/m58954/,2021款Mustang Mach-EGT First Edition,购入时间,2022/4/1,购车地点, [河北省],裸车价格,36.89万  (厂商指导价 37.99万),续航里程,390km,爱车简评,,,,爱车简评,作为90后的年轻人，买车看的就是外观设计。第一眼看到电马的时候就被那奔腾的野马所吸引，我自己就是属马的，所以看到电马的车标就很心动。车身的线条流畅，溜背的造型运动，这也是我入手这款车的主要原因。,实拍图片,https://img1.xcarimg.com//review/20220620/659df6814e41eb8f299efe92d7b73331.jpg-169x127.jpg,https://img1.xcarimg.com//review/20220620/3bbf6f07f287a94ddaa20e4288776363.jpg-169x127.jpg,https://img1.xcarimg.com//review/20220620/bbc7db88b38270f9535c5d32c21c4a0b.jpg-169x127.jpg,https://img1.xcarimg.com//review/20220620/4eee5c243215b279d47b383592aafeaf.jpg-169x127.jpg,https://img1.xcarimg.com//review/20220620/dfd745d7b666dc7a83a819fbc4618e96.jpg-169x127.jpg,爱车评价,[最满意],电马的空间表现非常合理，乘坐起来宽大舒适，一家五口人满载出行，完全没有不存在拥挤的问题；而且后备厢的空间，过了年走亲戚的时候，放八九个礼品盒很轻松。,[不满意],这款车的价格有点超了我的预期，没办法，架不住喜欢，反正也不大在乎续航，买FE就是冲着颜值和动力去的，帅就完事了~,[外观],肌肉线条的设计，视觉冲击力很强，增添了三柱式元素的挑眉大灯，LED光源，很灵动，20寸的轮毂，加上红色卡钳骚的一批好吗！,[内饰],[续航],,刚入手的时候，气温也就15度左右，平常市区里行驶，续航350左右，这是在开空调出行的情况下。现在的气温在20度以上，甚至偶尔是30度，所以续航在400以上。,,[空间],我个子182，体重180，调整好坐姿后，后排的乘坐空间很宽敞，10岁的儿子想怎么玩就怎么玩，能躺能坐。后备厢的话，去体育场带儿子去玩，不仅能放下他的折叠自行车，还能放下其他一些东西。,[舒适],加热的座椅功能，在冬天的时候很实用，开启远程，提前加热，等坐到车里的时候，很舒服。,[动力],电马的动力能够带给我激情驾驭，超车完全那没有压力，毕竟是双电机的359千瓦的功率，200的最高车速，虽然我自己也喜欢畅快驾驭，但偶尔的130就行，不管怎么样，这车的动力真的是不俗，迅猛。,[操控],方向盘的设计很合理，驾驶过程中，左边的按键是自主驾驶用到的，右边的按键基本上是控制中控屏的，而且手感轻盈，驾驭起来轻松。,[性价比],电马不论是颜值，还是空间以及动力、续航等等，都是很优秀的。虽然价格小贵，但整体的性能还是很均衡的。
"
    发表于  2022-06    

            
    
    
",内饰只能说一般，说好不好，说差不差，内饰简约的风格，车机还是非常灵敏顺畅，车内也有无线充电，唯一不喜欢的就是那块中控大屏，板板正正的，看起来不是那么喜欢，不过有时候看看感觉像是ipad的，之后慢慢去习惯它,https://image1.xcarimg.com/attachments/my/1/85/99/017_120.jpg,xuser1869901,支柱会员,5,外观,5,内饰,5,续航,5,空间,5,舒适,5,动力,5,操控,5,性价比,5,购入信息,爱车车型,https://newcar.xcar.com.cn/m62595/,2021款Mustang Mach-EGT,购入时间,2022/3/1,购车地点, [河北省],裸车价格,36.69万  (厂商指导价 36.99万),续航里程,460km,购入用途,上班,购物,自驾游,爱车简评,第一是外观，会发光的车标，肌肉外观，经典三柱尾灯，前引擎盖拉长的帅气，现在路上还少见，在大街上开着绝对回头率很高，第二就是操控，在转弯的时候，整个悬架支撑非常好,实拍图片,https://img1.xcarimg.com//review/20220620/545708d66e5b07591621e809b411bb93.jpg-169x127.jpg,https://img1.xcarimg.com//review/20220620/d5c706118b03674adf9e8b5625548502.jpg-169x127.jpg,https://img1.xcarimg.com//review/20220620/f1b8ffefae2c63f583bc9b1a0ce6e0b4.jpg-169x127.jpg,https://img1.xcarimg.com//review/20220620/c683aff40354079e3ce4c0762aa6f45f.jpg-169x127.jpg,https://img1.xcarimg.com//review/20220620/6061d76acebcf7562935259c4572c48a.jpg-169x127.jpg,爱车评价,[最满意],第一次看到这个车是在网上，觉得外观好帅！当时看到百公里加速3.65秒，立即在网上预约了试驾，后来进店试乘试驾过程中，操控以及动力我非常满意，包括静谧效果也很好。我第一辆车就是买的福特的锐际，作为福特老车主对福特也是非常认可的，所以这次电马我也毫不犹豫的就订了,[不满意],不满意的其实还是内饰上面，没有想象中的那么好，关键是中间这块方方正正的中控屏还没看习惯，用起来车机还是非常流畅的，就当做章哥ipad的把，慢慢也就看习惯的。。。其他方面都满意,[外观],外观一个字帅！太帅了，肌肉型车身，鲨鱼鼻的前脸，尤其是这个会发光的车标，朋友看了都说好看～我提车的第二周去贴了个改色车模，骚黄好看吧～回购率杠杠的！我朋友也准备下定了,[内饰],,[充电],,官方续航490km，我每天上下班开空调，开音乐等等，用下来实际续航400不到，基本满足日常需求，电损不大，虚电情况可观。免费帮我安装了充电桩，平时下班回到家。没有电的情况下，充满也就4.5个小时，基本也就第二天上班又是满电，平时急用车，可以去外面的快充充电站，一次充满实测只要30分钟，完全让我没有里程焦虑。。。,[空间],空间还算过的去，我175身高做进去不会觉得压抑，做进去也正好，后备箱和前备箱的容积也正好满足我日常的空间，后排家里人坐着评价都很好，车内舒适环境都ok的,[舒适],平常喜欢在车里听听音乐，因为音响和动力让我选择了GT，效果真的牛，这个只有亲身体会才能知道音响的效果了。车子静谧性简直是绝了，双层夹胶玻璃的效果确实不错，旁边的摩托车开过去，基本听不到声音。超级大的全景天幕也是蛮好看，出去玩的时候真的视野绝绝子,[动力],动能衰竭不明显，没有明显顿挫感，提速很顺畅，点一脚电门就有感觉了，全力踩下电门踏板，推背感很强，起步就像是在飞了，哈哈哈一点不夸张，从它224的电动机功率来看，就知道它的加速水准不会弱的，不羁模式yyds。,[操控],整体的底盘非常整齐，然后道路通过性非常好，以及滤震效果也非常好，过减速带和坑洼路段不会抖动，很顺畅，整体底盘在有了操控情况下又不颠而显得非常有韧性。然后以4730mm车长、2984mm的轴距里面使得整体很稳。,[性价比],这款车裸车37不到，选择这款顶配的，也不考虑啥性价比了，要是纠结买这款车哪个性价比高的话，我建议是考虑长续航版本的那个30.99那款性价比高。希望能给小伙伴们一个参考了
"
    发表于  2022-06    

            
    
    
",内饰方面，比较简洁，15.5英寸的中控大屏，加上操作车子的转动按键和电子手刹，操作简单，看起来也很爽快舒服，没有燃油车那种密密麻麻的感觉,https://image1.xcarimg.com/attachments/my/1/93/67/306_120.jpg,xuser1946730,三星会员,4.88,外观,5,内饰,5,续航,5,空间,4,舒适,5,动力,5,操控,5,性价比,5,购入信息,爱车车型,https://newcar.xcar.com.cn/m62595/,2021款Mustang Mach-EGT,购入时间,2022/6/1,购车地点, [重庆市],裸车价格,36.99万  (厂商指导价 36.99万),续航里程,492km,购入用途,上班,购物,接送小孩,爱车简评,平时不跑长途，平时就在市区，买电车要省钱一些，何况现在油价这么贵，其次，在纯电车子里面，对比了不少车型，我觉得电马的车型要好看很多,实拍图片,https://img1.xcarimg.com//review/20220616/e380296ac3a1ef382ec4ec9605ec4f48.jpg-169x127.jpg,https://img1.xcarimg.com//review/20220616/dfe5700cc5073556d66e213f179e4bcb.jpg-169x127.jpg,https://img1.xcarimg.com//review/20220616/f49baff7f5e55659574f17e04850dfa8.jpg-169x127.jpg,https://img1.xcarimg.com//review/20220616/ddc17977d1898c00ca4de4dc35cb5c63.jpg-169x127.jpg,https://img1.xcarimg.com//review/20220616/c7162df95a70ae665690a7cf00d48e69.jpg-169x127.jpg,爱车评价,[最满意],电马配套的BO音响，前面一排加上左右两边的音响，音乐听起来简直太舒服了,[不满意],开起来的感觉很爽，尤其是红路灯加速的时候，就是坐在车里，车身看起来要长很多，稍微有点不习惯，不知道其他人有没有这种感觉,[外观],线条看起来就很有气质，再加上野马的那个尾灯设计，给人一种跑车的感觉，这也是我相对更喜欢电马，跑来试驾的原因,[内饰],,[充电],,充电速度蛮快的，试驾回来的时候只剩40%的电，回到店里聊天的功夫，就充到了80%，也就20几分钟，还挺方便，市区现在基本都有很多充电的位置，倒是不用担心没电,[空间],空间方面，一般吧，中规中矩，我是174的个子，后排坐直，大概还有两拳的距离，不能说多大，家用带个娃足够了,[舒适],电马的座椅蛮舒服的，靠背的时候，感觉可以靠的很实，不容易累，车内也没有什么异味，不会熏的头昏,[动力],动力方面，电马的速度很喜欢，尤其是在起步和超车的时候，效率蛮快的，毕竟是3.65的加速度,[操控],电马的操控性不错，变道超车时候，它的指向性很准，变过去之后，可以很好的找准方向，不会飘，就是方向盘的舒适度，可能要根据每个人的不同来定，我开的时候是不羁模式，方向盘比较沉，女孩子开的话，可能稍微有点辛苦,[性价比],性价比方面，试驾给我的体验蛮好，不管是从车子的配置方面，动力加速方面，还是从外形我都很喜欢，但是具体的对比，以后有车子了，我再来分享
"
    发表于  2022-04    

            
    
    
",内饰设计时尚，用料也很良心，新车没有异味，科技感十足。,https://image1.xcarimg.com/attachments/my/1/91/73/273_120.jpg,xuser1927327,支柱会员,5,外观,5,内饰,5,续航,5,空间,5,舒适,5,动力,5,操控,5,性价比,5,购入信息,爱车车型,https://newcar.xcar.com.cn/m59814/,2021款Mustang Mach-E跃世后驱版（标准续航）,购入时间,2021/10/1,购车地点, [山东省],裸车价格,26.5万  (厂商指导价 24.99万),续航里程,450km,爱车简评,,,,爱车简评,电马的外观我就爱了；还有人会质疑纯电车的技术，但我选择相信国家，因为国家也在走新能源路线。,实拍图片,https://img1.xcarimg.com//review/20220417/e1bcc9dd66f54efd9c26070d19ce8895.jpg-169x127.jpg,https://img1.xcarimg.com//review/20220417/d12be38a41e7ca48be0540e844c76874.jpg-169x127.jpg,,,,爱车评价,[最满意],不得不说，Mach-E的外观设计的非常的惊艳，大溜背造型非常耐看，长车头的设计显得运动感十足，渐亮车标带来仪式感的上车体验，开在路上总是有人盯着看。,[不满意],手续办的有些繁琐，等的时间比较长，想起当天来就头大。,[外观],外观见仁见智吧，关键是老婆喜欢，平时也是她用车，她喜欢就好。,[内饰],[续航],[充电],续航没有问题，现在天气渐暖，续航逐渐回升，不错。,一般情况充电都挺方便的，直流半个小时就的差不多了，相较于用油成本很节省了。,[空间],驾驶位和后排位置都是宽敞的，随手的东西有地安置。我东西也不多，单是前备箱空间就足够我放的。,[舒适],座椅的坐感很软，但是不缺乏支撑性，长途驾驶过程不会好疲惫。,[动力],电马的提速很快，销售员跟我说百公里提速只需6.5秒，我没有测算过，但可以明显的感受到推背感，能量回收能很快适应。,[操控],指向性精准指哪儿打哪儿，过弯轻松，无侧倾，电门脚感丝滑。,[性价比],从看车到下订到提车，每个环节我都是比较满意的，家里也装了充电桩，去远的地方出门也不限行。一辆老牌车企的电动车技术和售后也是让我比较信任的，但是这款性价比也还行。
"
    发表于  2022-04    

            
    
    
",内饰中规中矩吧，当时还是看了很多电车品牌，Mustang的内饰也就平均水平吧，但是内饰的用料还是比较实在。,https://image1.xcarimg.com/attachments/my/1/92/02/480_120.jpg,xuser1930248,青铜长老,4.88,外观,5,内饰,5,续航,5,空间,5,舒适,4,动力,5,操控,5,性价比,5,购入信息,爱车车型,https://newcar.xcar.com.cn/m59814/,2021款Mustang Mach-E跃世后驱版（标准续航）,购入时间,2021/9/1,购车地点, [浙江省],裸车价格,26.5万  (厂商指导价 24.99万),续航里程,460km,爱车简评,,,,爱车简评,车型大小适中，内饰简洁大气，颜值超高，很多朋友都来问我这个是什么车，整个车身的线条颜色我都很喜欢,实拍图片,https://img1.xcarimg.com//review/20220417/b009543779e8f5154202a7a35a4c7590.jpg-169x127.jpg,https://img1.xcarimg.com//review/20220417/c0c0d9195ab0f54452b26cdabfcb6779.jpg-169x127.jpg,https://img1.xcarimg.com//review/20220417/5b3038e41dcb328e0050ec3fec50a94b.jpg-169x127.jpg,,,爱车评价,[最满意],喜欢他的外形，从以前就喜欢mustang，竟然有电车，并且沿袭了家族式经典元素，车头很动感，马标亮起的时候又很有科技感。,[不满意],高速上的隔音不大行，上次外出的时候，在高速上，速度大概在110迈左右，胎噪声音还是比较大的。,[外观],电马的外观完全可以用精致、科技来形容，而现在很多电车都是圆润的那种，我个人审美更偏向于电马一些。,[内饰],[续航],[充电],官方给的续航里程是513KM，自己开的话可能达不到人家的数据，续航这块还真没有担心过.。,我上下班通勤 不定时的出门办事，一个星期多充一次电，也没有很感觉充电很麻烦。,[空间],空间还是挺足的，驾驶空间没问题，视野很好；后排放倒后就算运点东西也完全没压力，前备箱的实用性很高。,[舒适],车内环境舒适度没问题，座椅的软硬程度不管是小孩还是老人评价都很好。,[动力],动力那就没得说，电车和油车比起来不管是起步还是中途提速，都很给力，感觉这个单电机版本比我那台2.0T的油车动力都要好得多。,[操控],平时开惯了大车，这个车开起来有一种精悍的感觉，不像大车那么笨重，地盘也很厚重的感觉，开起来很稳。,[性价比],在同等价位的电车里面，不管从外观、性能驾驶操作方面都是性价比很高的
"
    发表于  2022-04    

      
        
    
    
",内饰和油车完全不同，开惯了油车，坐进这个车里面就发现啥也没有，就只有中间一个大屏。中央扶手里面用料还是很有质感。,https://image1.xcarimg.com/attachments/my/1/91/73/449_120.jpg,xuser1927344,青铜长老,4.88,外观,5,内饰,5,续航,5,空间,5,舒适,4,动力,5,操控,5,性价比,5,购入信息,爱车车型,https://newcar.xcar.com.cn/m59814/,2021款Mustang Mach-E跃世后驱版（标准续航）,购入时间,2021/9/1,购车地点, [山西省],裸车价格,26.5万  (厂商指导价 24.99万),续航里程,450km,爱车简评,,,,爱车简评,我市内跑得多，便想换辆新能源车开，这样出行的时候，不仅出行的时候方便，而且也经济实用。,实拍图片,https://img1.xcarimg.com//review/20220417/ac99786e353e296150887e8fa6a396a9.jpg-169x127.jpg,https://img1.xcarimg.com//review/20220417/5edd87a2bc39c2a2c84959ef5255c3ea.jpg-169x127.jpg,https://img1.xcarimg.com//review/20220417/8fb4728d24301a0ebe97eebee93ee5a4.jpg-169x127.jpg,,,爱车评价,[最满意],颜值非常高，简直是太帅了，一直在关注Mustang，要知道一直来都是以肌肉车出现在大众眼中，不论是颜值还是性能动力，都有着出色的表现。,[不满意],不满意的地方就是行驶在高速感觉噪音有点大。,[外观],侧面线条流畅柔和，溜背式的造型赋予了不错的运动属性，隆起的肌肉轮廓更是展现出强烈的力量感。,[内饰],[续航],[充电],这个续航还是挺准的，之前听说有的电车上高速续航就掉的特别快，这个车的续航我觉得比较准确的了。,和我油车相比的话，这个充电的时间间隔比我油车加油的间隔还略长。,[空间],一家人坐在里面都不感觉闷，后排看上去有点拥挤，但实际坐上去伸腿，活动都没有问题，而且不像其他车座椅尤为舒适，得到全家人的肯定。,[舒适],高速的时候，风噪比较大，不知道是轮胎的原因还是隔音做的不好。,[动力],电车的提速比起油车还是厉害的多，不管式起步还是超车，动力随时都有，舒服。,[操控],我只能说现在才明白，指哪打哪是什么意思，这个车就给我这种感觉。略带阻尼的转向、线性的电门和刹车，简直太棒了。,[性价比],车子外观帅气，配置上也很实用，而且后续养车成本也在哪里，很省钱，性价比高。
"
    发表于  2022-04    

            
    
    
",内饰用料还是比较高级的，门上能摸到的地方都是用的皮质，手感挺舒服的。,https://image1.xcarimg.com/attachments/my/1/84/95/461_120.jpg,杭漂的柚子,青铜长老,5,外观,5,内饰,5,续航,5,空间,5,舒适,5,动力,5,操控,5,性价比,5,购入信息,爱车车型,https://newcar.xcar.com.cn/m59814/,2021款Mustang Mach-E跃世后驱版（标准续航）,购入时间,2021/10/1,购车地点, [江西省],裸车价格,26.5万  (厂商指导价 24.99万),续航里程,450km,爱车简评,,,,爱车简评,选择这个车最主要的就是因为是电车啊！充一次电才30多块钱，比加油省不少钱。,实拍图片,https://img1.xcarimg.com//review/20220417/b62df1729a78d5c61ef0da15fa07ebba.jpg-169x127.jpg,https://img1.xcarimg.com//review/20220417/52d89d9e3ba9e5e50a3efef0c419793a.jpg-169x127.jpg,https://img1.xcarimg.com//review/20220417/abd4d89d41bff9ffa212234ef0411407.jpg-169x127.jpg,,,爱车评价,[最满意],快充仅需要四十五分钟，慢充也4个小时就充好了，每天晚上充电只要三十多，再看看现在的油价，既省时既省钱。,[不满意],暂时还没发现让我不满意的，等我再开一段时间看看，还有待发掘。,[外观],前脸家族式的激进运动设计，犀利的LED大灯，大尺寸的多边形中网，整体的运动感浓郁。,[内饰],[续航],[充电],续航这没担心过。,快充不到半小时就到80了（快充也就只能到这了，要满还得用慢充），相较于用油成本很节省了。,[空间],电马的乘坐空间很宽敞，上次我们一行五人坐进去，没有压抑感；后备厢很宽敞，放我装潢用的工具什么的绰绰有余。,[舒适],空调是前后左右都可以单独调节的，这个挺好的，我觉得也能够降低耗电量，毕竟我绝大多数时间就我一个人用车，那我其实只需要开主驾驶空调就可以了。,[动力],电车的感觉简直就很爽了，一脚油门下去，感觉车头一抬，整个车是弹出去的。,[操控],操控对于我来说是多余的，但是电马的销售给我说这台电车的亮点就是操控，但是我平时开车还算挺温柔的，所以也没有多少感觉。,[性价比],整体感觉还是不错，整体的配置还是能够对得起这个价格，而且野马这个品牌还算是有面的品牌。
