publish,标题,名称,名称1,名称2,评分,评分3,评分4,评分5,评分6,评分7,评分8,评分9,评分10,评分11,评分12,评分13,评分14,评分15,评分16,评分17,评分18,标题19,信息,信息_链接,信息20,信息21,信息22,信息23,信息24,信息25,信息26,信息27,信息28,标题29,jia_text,信息30,dw_22,dw_2231,dw_23,dw_2332,dw_1,dw_133,dw_2,dw_234,dw_5,dw_535,dw_3,dw_336,dw_4,dw_6,dw_637,dw_8,dw_838,up_链接,up,dw_11,dw_1139,dw_7,dw_740
"
    发表于  2023-07    

      
        
    
    
",车身长度接近四米八，宽度接近两米，这样的尺寸带来的空间还是很不错的，坐在驾驶室里，前后左右都很宽敞，后排的空间安排也很合理，有充裕的腿部空间和头部空间。,https://image1.xcarimg.com/attachments/my/1/94/92/259_120.jpg,xuser1959225,三星会员,4.88,外观,5,内饰,5,续航,4,空间,5,舒适,5,动力,5,操控,5,性价比,5,购入信息,爱车车型,https://newcar.xcar.com.cn/m68535/,2023款零跑C11纯电 580四驱性能版,购入时间,2023/5/1,购车地点, [福建省],裸车价格,20万  (厂商指导价 20.98万),续航里程,480km,爱车简评,最吸人眼球的当然是这三块大屏幕了，按照车身标准来看，中控液晶屏的尺寸真是不小了，画面质感也很不错，尤其是副驾的这个娱乐屏，上面的娱乐功能挺多的，给我带来了很多乐趣。,爱车评价,[最满意],车身设计感很强，和另外几款车比优势挺明显的，这个颜值真是超高的，买下来之后，朋友和同事都觉得我这是买了一台30多万的车，因为它不仅仅是颜值高，做工还挺精致的，用料也都很厚道。,[不满意],都说新能源车起步猛，我怎么没感觉到啊？是不是对一些操控还不够熟练的缘故？我总感觉它的起步很一般，平稳性是有的，但并没有传说中的那么激烈。在空间表现方面，驾乘空间确实够宽敞了，但是后备箱的开口有点低，东西不大还好，如果放一些大一点的东西，就有些吃力了。,[外观],外形非常有设计感，流线型的车身让它有很高的辨识度，车头的设计也很巧妙，据说这样的车头有降低风阻的作用，这一点咱也不懂，就是看着挺帅气的。毕竟是我毕业后的第一台车，也是我人生的第一台车，在选择方面肯定很慎重了，除了保证实力和性能之外，我对外形也是有要求的，这台车的外形很大气，符合我的审美定向。,[内饰],设计风格高级又豪华，我觉得这台车的样子不仅可以当家用车，也可以用来做商务车，它的精致度和豪华度值得点赞。,[续航],本来对增程车型还挺有兴趣的，后来想了想，还是买纯电的更节能，主要是家里就有充电桩，根本没有什么充电或者续航的焦虑。,[空间],都说新能源车起步猛，我怎么没感觉到啊？是不是对一些操控还不够熟练的缘故？我总感觉它的起步很一般，平稳性是有的，但并没有传说中的那么激烈。在空间表现方面，驾乘空间确实够宽敞了，但是后备箱的开口有点低，东西不大还好，如果放一些大一点的东西，就有些吃力了。,[舒适],[动力],坊间传说纯电动车动力很猛，对此我只能表示遗憾了，这一点我确实没感觉到，我就是觉得这个动力挺平稳的，至于猛烈，真是没有这样的体验。,[性价比],价格自然是能接受的，不然也不可能买下来了，用车成本不高，整体看起来还不错。,javascript:;,展开全部,[充电],目前表现还可以，基本上没有续航焦虑，十天左右充一次电吧，充完之后能跑500多公里。,[操控],除了后期加速稍有迟缓，没让我体验到推背感之外，其他情况都是挺不错的，尤其是在起步的时候，动力还是挺强劲的。
"
    发表于  2023-07    

      
        
    
    
",内饰挺豪华，就是真皮太容易有褶皱了，不过这是通病没办法,https://image1.xcarimg.com/attachments/my/1/94/92/257_120.jpg,xuser1959225,三星会员,4.75,外观,5,内饰,4,续航,5,空间,5,舒适,4,动力,5,操控,5,性价比,5,购入信息,爱车车型,https://newcar.xcar.com.cn/m68535/,2023款零跑C11纯电 580四驱性能版,购入时间,2023/6/1,购车地点, [河南省],裸车价格,22万  (厂商指导价 20.98万),续航里程,480km,爱车简评,而且整车的品质也相当可以，开了3600公里，给我最深的印象就是性能是真的出色，开起来很有趣，而且智能化程度也相当高！,爱车评价,[最满意],动力强的一匹 ，四驱双电机秒杀路上99%的车，21款是4.5秒 ，23款直接升级到3.97秒，一脚踩下去就感觉有人踹了你一脚，也可以理解成跳楼机的感觉，2吨多的中型suv圆润的外观下，蕴藏着澎湃的动力，这是最满意的一点，也是同级别suv最便宜的四驱车型了，然后说下外观配置，无边框车门确实很帅，很吸睛，但同时有得必有失，隔音方面略差一些，整体静谧性还不错，前贯穿大灯还有灯语，晚上解锁的时候很帅，内饰方面Napa真皮，三联屏和8155的智能芯片，都是加分项，给这台c11锦上添花，现在正值夏天，座椅通风也非常实用，冬天也可以用座椅加热和方向盘加热，整体的配置和智能化确实没得挑，89度的三元锂电池，续航也比较扎实一些，现在的温度 不开空调基本能一比一，开空调所有电车都一样，车内空间得益于c11的超长轴距表现也非常不错，家人都夸赞空间比之前的轿车大了很多 ，后备箱更不用说了 ，又高又深，装东西或者拉货物都非常足够 ，还可以放到应急当房车，配合新ota的露营功能，真是满满的科技感，是真切的能感觉到电车的飞速发展！！希望可以继续ota一些新功能，让我的c11 常开 常新 。,[不满意],车机屏幕的黑边比较宽，尤其是副驾驶这块屏幕，看上去确实比较影响档次，还有这个logo设计我还是有些不太喜欢。,[外观],前长后短的车身比例和比较大的车身尺寸看起来也太酷了，还有无框车门和贯穿式尾灯在很大程度上增强了整个车子的外观时尚感，不过对于零跑的这个logo还是有些不太喜欢。,[内饰],整个车子的内部设计看上去是真心很漂亮，简洁大方，而且用料和做工水平也很可以，中控台上这三块大屏也太有科技感了，而且内部功能也很丰富，全液晶仪表显示的内容也特别全面，不过就是这个屏幕的黑边的确是有些宽，点亮之后感觉还是不太上档次。,[续航],即便是这段时间已经需要开空调的情况下的续航达成率也是可圈可点的，满电续航能达到480公里左右，现在的表显电耗是21.8kwh/100km。,[空间],这台中型SUV的车内空间相当宽敞，再加上全景天窗也让车内显得特别通透，毫不夸张的说坐在我这车上整个人都觉得舒畅了很多，而且这台车子的后备箱空间也是相当大的。,[舒适],[动力],我们所入手的这个是性能版车型，官方所给出的零百加速时间是四秒多，我也没有专门测过零百加速，但值得肯定的是它的动力响应还是非常迅速的，而且底盘也很稳，车轮的抓地力也特别强，,[性价比],性价比确实是挺高的，毕竟我们所入手的这个也是性能版车型，其实也就是高配了，21万大的价格真的是很良心了！主要是整个车内的用料和配置水平也相当高，所以说我觉得这也的确是很划算的。,javascript:;,展开全部,[充电],在济南现在的温度，大概8-9折，没具体估算过，主要看脚法,[操控],整个车子开起来特别有安全感，同时也不缺乏驾驶乐趣。
"
    发表于  2023-07    

            
    
    
",操控上很好上手，操控感很好，有比较多的辅助功能，这车给我带来的推背感已经完全足够了，提车当天运动模式一脚电门下去就到90了，红绿灯起步是油车们可望不可即的。,https://image1.xcarimg.com/attachments/my/1/88/39/091_120.jpg,xuser1893909,青铜长老,4.38,外观,5,内饰,3,续航,4,空间,5,舒适,5,动力,5,操控,4,性价比,4,购入信息,爱车车型,https://newcar.xcar.com.cn/m68534/,2023款零跑C11纯电 650智享版,购入时间,2023/6/1,购车地点, [内蒙古],裸车价格,19.98万  (厂商指导价 18.98万),续航里程,8km,爱车简评,空间很大，家用合适，后备箱可以放很多东西类。非常喜欢 家人喜欢,爱车评价,[最满意],最满意的是内饰方面，我觉得做工用料很有质感，风格有特色。当我去试驾打开车门的那一瞬间，就觉得零跑C11很大很宽敞。而现在开起来也确实如此，后排坐三个成年男子都没有问题，上次我哥们儿来，我们五个大老爷们儿坐在车里出去玩，也没有觉得挤，动力还很给力。,[不满意],无。 目前行驶1700KM总体评价香的一塌糊涂，网上传闻 车子异响，车子哪里有问题，目前我都没有遇到。。。我是4月份产的，或许已经改进了。 唯一有个缺点就是，千万不要亏电跑。。不然増程器真的是吃奶劲都用出来了。。很吵。。其他没有缺点了,[外观],零跑C11造型比较适合女士开，侧面两条线很有感觉，车把手这里没有凸起，看着更漂亮。,[内饰],内饰我必须得表扬，当我打开门的那一瞬间，就感觉这个内饰做的非常好，它的质感以及材质设计等都非常不错。内饰给人的第一印象很清新，触感冰冰凉凉的很好摸，中控大屏好有科,[续航],我开车并不算很暴力，但是现在天气比较热，总是喜欢开空调，确实有所影响，不过我家充电非常方便，倒也没有什么焦虑。能耗是在我的接受范围内，续航有180公里左右，基本是一个星期充一次电。,[空间],空间真的很不错，我买车主要是为了家用，反正像我们是一家三口，有的时候朋友来，有的时候家里老人来坐在里面都完全没有问题。后备箱也很能装，它能够放得下好几个人的行李箱身高160，零跑C11一坐进去就觉得比较宽敞，尤其头部空间最为满意，后备箱的空间就比较小，放大物品是不好放，减震效果相当好，座椅也很柔软，还有静音性做的好。,[舒适],[动力],动力十足 推背感十足,[性价比],只能说这个价位能买到零跑C11已经很不错了，操控好，内饰漂亮，我愿意花这个钱买它。,https://newcar.xcar.com.cn/5065/review/comment-434570.html,展开全部,,,,
"
    发表于  2023-07    

            
    
    
",底盘好评，很整很韧，同时兼顾了舒适性，改进了老款细碎的颠簸过多的问题，有点德系车底盘的高级感,https://image1.xcarimg.com/attachments/my/1/88/39/116_120.jpg,xuser1893911,青铜长老,4.38,外观,5,内饰,4,续航,5,空间,5,舒适,3,动力,5,操控,4,性价比,4,购入信息,爱车车型,https://newcar.xcar.com.cn/m68534/,2023款零跑C11纯电 650智享版,购入时间,2023/5/1,购车地点, [甘肃省],裸车价格,19.98万  (厂商指导价 18.98万),续航里程,8km,爱车简评,当我去试驾打开车门的那一瞬间，就觉得零跑C11很大很宽敞。而现在开起来也确实如此，后排坐三个成年男子都没有问题，上次我哥们儿来，我们五个大老爷们儿坐在车里出去玩，也没有觉得挤，动力还很给,爱车评价,[最满意],做工用料：前双叉臂后五连杆，全铝合金悬架，外观内饰细节表现不错 2.驾驶感受：底盘质感相比老款纯电版，有了明显提升，更韧更稳，更具高级感；动力比超出预期，提速很快，还没上高速，不知道120迈往上的加速性能如何；转向不算精准，中规中矩，转弯半径不算小。总体满意，表现均衡，作为家用车来说非常适合 3.空间大小：前排坐姿高，方向盘大，开起来很有安全感，后排无论是横向纵向还是头顶空间，表现都十分优异，后备箱平整宽大，纵深更是优秀，大五座，非二胎家庭全家出行非常够用 4.智能化：比传统燃油车优秀很多，手机app远程控制和语音识别方面非常好用 5.外观内饰：外形尺寸很大，但看起来却很秀气，可能与圆润的外观设计有关系，不是很夸张但不失科技感的外观，很符合我的审美；内饰方面，虽然不是很喜欢全是大屏幕没有实体按键的设计，但纳帕真皮座椅、麂皮绒的面板，无框车门，还是比较显档次的,[不满意],作为今年车市价格的搅局者，虽然价格厚道，但一些基础性的配置确实不应该没有：日间行车灯、无钥匙进入、后视镜加热、化妆镜照明灯、电动尾门、后排座椅调节等等，毕竟有的在五六年前的传统燃油车上已经是标配，而有些是更是安全性配置，希望后续车型能够更新完善,[外观],珠圆玉润，前卫但不夸张，增程版的天幕灰显得沉稳有质感,[内饰],我更喜欢机械感强的东西，对新势力这样无实体按键的设计无感，但除开这点，内饰还是不错的,[续航],有人说电充不满，我没有这个问题，充满刚好是标称的180公里纯电续航，可能更程序升级有关系，提车五天，平均每天40公里，纯市区偶尔开空调，电耗15-16，这个天气续航基本达到了1:1,[空间],无论是乘坐空间，还是后备箱空间包括车内储物空间，都是大大的好评,[舒适],[动力],动力十足 推背感十足,[性价比],只能说这个价位能买到零跑C11已经很不错了，操控好，内饰漂亮，我愿意花这个钱买它。,https://newcar.xcar.com.cn/5065/review/comment-434569.html,展开全部,,,,
"
    发表于  2023-07    

            
    
    
",加速迅捷，转向也精准，刹车很线性，不会有那种控制不住刹车的感觉，能让你踩刹车的同时心里有十足的把握能让车子停在你想让它停到的地方。 座椅非常软，后排座椅比前排还要更软，很舒服。车内的噪音控制也做的很不错。,https://image1.xcarimg.com/attachments/my/1/88/39/127_120.jpg,xuser1893912,青铜长老,4.88,外观,5,内饰,5,续航,5,空间,5,舒适,4,动力,5,操控,5,性价比,5,购入信息,爱车车型,https://newcar.xcar.com.cn/m68533/,2023款零跑C11纯电 500智享版,购入时间,2023/5/1,购车地点, [甘肃省],裸车价格,16.98万  (厂商指导价 16.98万),续航里程,8km,爱车简评,不要攀比。 刹车灵敏性 刹车给我的感觉是非常线性的，不会出现那种点头的感觉。,爱车评价,[最满意],最满意的肯定还是无框门啦，帅的一比。另外整体的外观我也很满意的，屁股像保时捷，哈哈，不算蹭哈，我真觉得像。内饰也很满意，碳灰内饰实际感官偏白，看着非常有质感，有豪车的既视感。虽然可能会不那么耐脏。哈哈。还有音响很满意，12个扬声器 专业调音，出来的效果刚刚的。然后，座椅也很舒服，很软，后排座椅比前排更软。你好小零也很智能，常用的功能都可以通过小零来实现。,[不满意],唯一不满意的地方就是，有一些其实不值钱的小功能（怀挡指示灯和升窗器按钮指示灯）被省略掉了，有点可惜。虽然不影响使用，但会有点影响逼格。嘿嘿。,[外观],外观属于是长在了我的审美上。造型低调且出众。车尾看上去有点保时捷的味道，车头的设计感也非常好，不张扬，看着很舒服。再加上4.7 米的车长，整个车子看上去非常的帅气。,[内饰],中控台的三联屏很好用，还可以自定义下载一些软件。可以给车辆露营增加非常多的乐趣非常奢华，纳帕皮也是名不虚传。质感非常好。,[续航],因为我的上下班路程只有10公里，所以180舒享版对我也是完全够用。180公里的续航，对于我来说每周只需要充一次电就够用了。,[空间],"我身高172,140斤，前面座椅调节到合适的位置以后，后排空间可以说是奇大无比，这就是2900 轴距带来的优势了，后备箱的空间也非常之大，把后排座椅放倒以后，直接变成双人床，带孩子出去露营，直接可以住在车里了。哈哈哈 车内储物能力 非常充足，很多没想到的地方都做了储物格。门边储物格，中控台储物格，扶手箱储物格，后备箱板下面还有一层储物格，真的非常够用",[舒适],[动力],动力十足推背感十足 刹车灵敏性 刹车给我的感觉是非常线性的，不会出现那种点头的感觉。 操控 方向盘轻盈，单手操控也很灵活。让我很意外，毕竟车重2吨以上了,[性价比],零跑的性价比可以说非常无敌了。尽管丐版有少了不少功能，但它仍旧是性价比非常高的一款车。,https://newcar.xcar.com.cn/5065/review/comment-434568.html,展开全部,,,,
"
    发表于  2023-07    

            
    
    
",这一点真的要表扬一下增程款。之前试驾过22款的纯电，底盘真的有点拉，像开船，晃的厉害，增程版在这方面进步很大！！ 前双叉臂对侧倾的控制非常到位，后五连杠对舒适型和运动型的把控也做得很不错，毕竟硬件堆在这里了，下限不会低。,https://image1.xcarimg.com/attachments/my/1/88/39/138_120.jpg,xuser1893913,青铜长老,4.38,外观,4,内饰,5,续航,4,空间,4,舒适,4,动力,4,操控,5,性价比,5,购入信息,爱车车型,https://newcar.xcar.com.cn/m68533/,2023款零跑C11纯电 500智享版,购入时间,2023/5/1,购车地点, [吉林省],裸车价格,16.98万  (厂商指导价 16.98万),续航里程,8km,爱车简评,极致性价比，这一点没的说了，也是我买这个车的最大原因之一！我很喜欢,爱车评价,[最满意],最满意的地方就是性价比了，这个价位，这个空间，虽然配置相比顶配少了一些，但是依然是无敌一样的存在！,[不满意],如果说有不满意的地方，那就是相比纯电减少的那些配置，比如后视镜加热这种，也没多少钱给砍了，自己加装要破线狠麻烦。,[外观],外观不激进也不保守，属于比较圆润的类型，很耐看，无边框门虽然现在已经不是什么很高门槛的东西了，但绝对是加分项。 增程版正面相比纯电版多了一些进气孔，我选的天幕灰版本，进气孔和下面的进气格栅看起来都不明显。 侧面是c11最好看的一个角度，长轴距的优势让这辆车从视觉上看就觉得很修长。 背面最显眼的就是这个贯穿式的尾灯了，看起来还是相当不错的。,[内饰],三连屏的设计科技感还是有的，如果能把三块屏做在同一水平线上，高级感会更突出。因为选装了5000的舒适包，中控也是nappa真皮包裹，摸上去很舒服。 特别说一句，如果加了5000的舒适包，座椅是老款座椅，头枕处不带镂空的，介意者慎选。,[续航],自己算下来差不多是17，馈电油耗不到7，基本和官方标呢差不多，几乎是1：1，这点真的超出了我的预期。当然也可能跟现在天气好有一定的关系，总之现在充满电，纯电续航在切换到燃油之前（纯电优先模式），差不多可以跑150公里，很满意,[空间],空间是我买这辆车的主要原因，将近4米8的车身，超过2米9的轴距，车内空间完全够用，后备箱也足够深，我174的身高调好座椅，后排有4拳多的距离。 后备厢容积 后排放倒，铺上充气床垫，秒变1米8大床，出去玩的时候偶尔趟一下，还是很爽的。,[舒适],[动力],动力十足 推背感十足,[性价比],极致性价比，这一点没的说了，也是我买这个车的最大原因之一,https://newcar.xcar.com.cn/5065/review/comment-434567.html,展开全部,,,,
"
    发表于  2023-06    

      
        
    
    
",我选了纳帕真皮选配，质感不错，很柔软，新款座椅包裹也更好了，支撑更富弹性。,https://image1.xcarimg.com/attachments/my/1/94/82/312_120.jpg,xuser1958231,三星会员,4.75,外观,5,内饰,5,续航,5,空间,4,舒适,5,动力,5,操控,5,性价比,4,购入信息,爱车车型,https://newcar.xcar.com.cn/m68532/,2023款零跑C11纯电 500舒享版,购入时间,2023/5/1,购车地点, [江苏省],裸车价格,15万  (厂商指导价 15.58万),续航里程,450km,爱车简评,车机反应也快，语音识别很准，三连屏是亮点，加装了1万5的选装包，配置杠杠的，座椅按摩通风加热，这也是我选车的硬条件，开车再也不累，变成了一种享受。,爱车评价,[最满意],前几天带家里亲戚，加上我一共五个人，我们一起出去吃饭，早上比较早，给前后排都安排了座椅加热，除了后排坐在了中间的亲戚，其实亲戚都夸赞，零跑的座椅加热，烫屁股哈哈哈，热的很快，大概几分钟就已经很烫了，这时候只需要改成一档保温即可。,[不满意],前排是单层玻璃，但是玻璃很厚，在高架上，开到80的时候，风噪的影响依然比较小，当然了，高速140以上的时候，风噪也是真不小，我的运气不错，没有遇到过异响漏风啥情况。,[外观],这车的颜值太高了，我一开始想选星空银，但是看了试驾车，打消了念头，还是选了沉稳大气的黑色，不得不说，真的耐看，越看越喜欢。老婆小孩也非常喜欢，同事也觉得颜值高，不过唯一的缺点就是需要勤洗，起码一周一次是需要的，,[内饰],内饰用料：内饰不错 没有塑料感，能用皮的地方都是皮质的 三个方向盘是亮点，家里亲戚第一回坐，都问，副驾的屏幕可以用吗，我说哈哈哈对可以看电视,[续航],电耗：续航说实话只能是中等偏上水平啦，也有可能是我驾驶比较暴力，而且开车必开按摩空调，所以能耗没那么低，但毕竟车子2吨，而且我有家桩，这个完全不是问题，我觉得比起驾驶体验，续航什么的可以放后面，毕竟我也不是天天开长途，否则就选增程了,,,[舒适],[动力],我一开始上手调的是起步平稳，动能回收较弱，方向标准，这车开起来就无限接近油车的那种熟悉感，后来我调成起步强劲，动能回收强劲，方向运动，这车就完全是电车的驾驶感觉了，开起来快感十足，不过如果不是老司机，建议起步还是稳点安全哦。,,,javascript:;,展开全部,[充电],在淮安开车，市区内，续航无敌。13.7的电耗，真甩起来开。,[操控],改款底盘比老款真的好太多了，没那么软了，滤震完也没那么碎了，可以说是两个感觉，当然硬件素质在这，还是有进步的空间。
"
    发表于  2023-06    

      
        
    
    
",乘坐很舒适，是个不错的选择，开起来也很顺畅。,https://image1.xcarimg.com/attachments/my/1/94/82/310_120.jpg,xuser1958231,三星会员,4.75,外观,4,内饰,4,续航,5,空间,5,舒适,5,动力,5,操控,5,性价比,5,购入信息,爱车车型,https://newcar.xcar.com.cn/m68532/,2023款零跑C11纯电 500舒享版,购入时间,2023/5/1,购车地点, [福建省],裸车价格,15万  (厂商指导价 15.58万),续航里程,480km,爱车简评,驾驶感受，底盘整体支撑还不错，比老款要好，没有老款那么晃，跑山路过弯信心很足，U形弯一把就过，侧倾抑制的比较到位。动力充沛，很少能用到地板油，甚至半油门都用的较少，基本市区开带一点油门速度就起来了。,爱车评价,[最满意],第一个是外观，确实非常漂亮，周围看到这款车 的人没一个说丑的，整个车身线条简洁流畅，没有什么过多的棱角锐角和杀马特设计，可以说大气简洁，温润如玉。其次是内饰，因为我自己有点强迫症，所以对这种左右对称的三连屏设计非常喜欢，但我一些朋友觉得这个三联屏设计有点丑，边框有点宽，这就属于仁者见仁智者见智了。 另外内饰大范围皮革包裹，初看确实让人感觉豪华感满满，但细看的话，细节做的还是不够到位，包括一些接缝不均匀，没对齐之类的小瑕疵，但对于十来万的车，我觉得这个水平也是可以接受的。 第二个是空间很大，不管是前排后排都很宽敞，包括后备箱很大，后备箱下面也有足够的储物空间。,[不满意],第一是车机应用少，QQ音乐，喜马拉雅，爱奇艺等一些常用的应用都没有，视频软件只有一个咪咕视频还只能副驾，中控屏只能分屏看，无法做到全屏，不知道后续应用商店会不会推送更多软件。另外储存偷偷减配不事先告知，32g内存目前提车半个多月没装什么软件就已经用了14g了，后续是否够用存疑。 第二是电耗，目前所在城市20多度，纯市区开，强动能回收，空调开eco模式24度，平均速度估计也就二三十码的情况下，跑了三箱电，平均打7.2折。要知道我基本连半油门都很少，都是带点油门开，这么轻柔的脚法在温度适宜的春季都只能能打7.2折，我已经不敢想象七八月份高温天气和冬天的续航了。,[外观],外观完美，买它70%的原因就是因为外观，完全长在我的审美点上。 车身做工：做工一半，车门塑料饰板和车身装配不够严丝合缝，车身缝隙不太均匀。,[内饰],大范围皮革包裹，很有豪华感，如果做工装配在精细一点就更好了。,[续航],20多度的春季，不跑高速纯市区温柔开都只能7.2折，这个续航有点差。如果是在高温夏季是这个折扣那就没问题，但春季的话还是差了点，至少8折才像样。,[空间],空间宽敞，车内坐五人不压抑。后备箱宽大，下面的储物格也很大。,[舒适],[动力],在15万这个级别，C11的驾驶感受是没得黑的，悬挂用料摆在这，下线就比别人的上线都高了。 起步/加速动力：油门响应灵敏，动力充沛，只要稍微带点油门速度就起来了。,[性价比],在十五万这个价位，你还真没有其他选择，他就是妥妥的性价比第一，在硬件方面，即使减配过后， 他还是超值的。,javascript:;,展开全部,[充电],离家比较近的地方有充电桩，一般半个小时就可以充满电。,[操控],跑高速：跑高速稍微有点难以保持直线，不知是不是方向盘太灵敏了，据群里的车友说方向盘换运动模式会好点。
"
    发表于  2023-06    

      
        
    
    
",说说乘坐空间很宽敞一家出行空间很富裕，非常的舒适。,https://image1.xcarimg.com/attachments/my/1/94/82/308_120.jpg,xuser1958230,三星会员,4.88,外观,5,内饰,5,续航,5,空间,4,舒适,5,动力,5,操控,5,性价比,5,购入信息,爱车车型,https://newcar.xcar.com.cn/m68531/,2023款零跑C11增程 285舒享版,购入时间,2023/4/1,购车地点, [山东省],裸车价格,20万  (厂商指导价 16.58万),续航里程,230km,爱车简评,小零互动超精准语音控制，很多功能都可以通过语音唤醒，解放双手安全性也高。座椅舒适度很好，Nappa真皮座椅，包裹性好可通风加热，座椅放倒后躺着也很舒服，午休是个不错的选择，或者是把后排座椅放平空间会更大。,爱车评价,[最满意],作为一款中型SUV，首先外观很吸引我，前脸格栅设计，看上去很时尚，颜值担当，车身尺寸4780/1905/1675mm，轴距为2930mm，整体车身修长大气，流线型设计加分不少，当时选的星空银外观，雾紫内饰，提到车后还是很惊艳的，颜色搭配的很亮眼，整体用料扎实，细节各方面都做的很精致，有不输于豪车的体验。在配置上也是很全面，拥有无边框车门，隐藏式门把手，超大观景天窗，豪华三连屏设计，车机搭载高通骁龙8155芯片，支持音乐、视频、投屏、导航等功能，还有k歌模式，影音娱乐效果超赞。,[不满意],配上两把钥匙就更完美了，还有那个日行灯也是一个小小的遗憾，安装行车记录仪需要重新走线，希望后期能改善一下,[外观],外观大气，流线性好，帅气十足，颜控必选。,,,[续航],续航：在家安了充电桩，日常上班一个周冲一次，续航无压力。,[空间],乘车空间很大，一家四口空间足够，后备箱容积也不小，储物空间非常充足，前后排空间都很大。后备箱也可存放很多东西。,[舒适],[动力],驾驶感受：提速很快，动力很足，方向盘灵活好操作，刹车很灵敏，转弯稳定性好，跑高速也很稳当。,,,javascript:;,展开全部,[充电],充电比较快。,,
"
    发表于  2023-06    

      
        
    
    
",驾驶整体很舒适。,https://image1.xcarimg.com/attachments/my/1/94/82/306_120.jpg,xuser1958230,三星会员,4.75,外观,5,内饰,4,续航,5,空间,5,舒适,5,动力,4,操控,5,性价比,5,购入信息,爱车车型,https://newcar.xcar.com.cn/m68531/,2023款零跑C11增程 285舒享版,购入时间,2023/5/1,购车地点, [上海市],裸车价格,24万  (厂商指导价 16.58万),续航里程,300km,爱车简评,底盘有任性，就算过坑坑洼洼的路面，后排乘客也不会被颠起，希望工程师们能更优化一下悬挂，减少晃动，行驶更平稳。,爱车评价,[最满意],首先是颜值，看对眼才会了解它的内在，C11 颜值在线，时尚又稳重，不会特别夸张浮夸，但耐看。 其次是空间，够大，设计合理，很多地方可以实际运用。 驾驶质感，纯电别的驾驶质感，提速并线，刹车，都是随叫随到，爽！,[不满意],自动泊车功能最不满意，有等于没有，车位识别差，对周边环境要求奇高，实际使用根本用不上。 另外一点，氛围灯的造型设计与等颜色设计能不能向奔驰学习下，难看。,[外观],零跑C11 去年在杭州见过，当时就觉得外观颜值不错，不算惊艳，但时尚又沉稳，不会特别夸张张扬，但是耐看。 车尾造型：车尾造型致敬保时捷 MACAN，很经典很耐看,[内饰],我提的是天幕灰顶配，nappa 真皮桌椅，翻皮天幕顶，中控储物仓也是真皮包裹，这内饰质感直接超越了其价格。 内饰用料：皮的质感不错，软硬适中，不会软踏踏的，有承托。,[续航],官方标纯电续航 285公里，我开纯电模式，一般剩余 65 公里左右，增程器就开始介入，加上用的里程，实际大概续航在 200 公里左右，目前跑了 2416 公里，app 显示平均电耗 18kWh，油耗 1.5L，加过三次油，两次 200元，一次 130元，最近一加满油跑了 29 公里，车机显示油耗 7.8L（因为是全程增程器发电行驶），油剩余 588 公里，能耗表现还算不错。,[空间],我 170，做在主驾副驾，后座任何一个位置，空间都卓卓有余，宽松的很，也问过后座乘客乘坐体验，反馈很宽松，很舒适。 ☆ 空间设计亮点：中控设计是亮点，因为怀档是设计，中间可以很好的利用起来，中控储物仓足够大，侧门储物仓设计也是相当实用贴心。,[舒适],[动力],我之前开过奥迪 Q5，一直喜欢德系的驾驶质感，零跑 C11 这款增程版双叉臂+五连杆的悬挂，确实为底盘加分，纯电车的动力输出+驾驶体验，在 60-100 公里之间体验最为流畅，动力随叫随到。,[性价比],入门版 14.98w，顶配+满包 20.38w，对标它的配置，颜值，内饰，空间，驾驶质感，智能化，我认为目前还没有一辆车有它性价比高。 购车优惠：2 月份盲订 1000 抵 5000，5000 锁单再送 3000 选装包抵用金，等于优惠 7000，这力度也是可以，要是能再有国家或者地方优惠就好了。,javascript:;,展开全部,[充电],充电时间：43 度电，快充充满基本在 100 分钟左右。,[操控],起步/加速动力：运动模式下，红灯起步加速非常爽，对一辆超 2 吨的车来说，非常难得，轻松模式下，起步 2 秒后动力也是随叫随到。
