publish,标题,名称,名称1,名称2,评分,评分3,评分4,评分5,评分6,评分7,评分8,评分9,评分10,评分11,评分12,评分13,评分14,评分15,评分16,评分17,评分18,标题19,信息,信息_链接,信息20,信息21,信息22,信息23,信息24,信息25,信息26,信息27,信息28,标题29,标题30,信息31,图片,图片32,图片33,图片34,dw_22,dw_2235,dw_23,dw_2336,dw_1,dw_137,dw_2,dw_238,dw_3,dw_339,dw_4,dw_440,dw_5,dw_7,dw_541,dw_742,dw_6,dw_8,dw_643,dw_844,up_链接,up
"
    发表于  2023-07    

            
    
    
",一体式运动座椅在我内心是内饰最让人喜欢的地方，翻毛皮的材质，前排座椅还都是电动的有加热功能，副驾驶还加入了通风功能，人坐上去贴合的很好。,https://image1.xcarimg.com/attachments/my/1/88/39/138_120.jpg,xuser1893913,青铜长老,4.25,外观,5,内饰,4,空间,4,舒适,4,油耗,4,动力,4,操控,4,性价比,5,购入信息,爱车车型,https://newcar.xcar.com.cn/m66639/,2023款领克01新能源1.5TD EM-P 晨曦版,购入时间,2023/5/1,购车地点, [上海市],裸车价格,21.38万  (厂商指导价 22.38万),当前油耗,3L/100km,爱车简评,实拍图片,爱车评价,https://img1.xcarimg.com//review/20230713/aa4358c2204203a95a8c805babe135eb.png-169x127.jpg,https://img1.xcarimg.com//review/20230713/b7d2a5999c6c724279a982dc5a2f5234.png-169x127.jpg,https://img1.xcarimg.com//review/20230713/eb2ec32754aace69c15f2828ba355a89.png-169x127.jpg,https://img1.xcarimg.com//review/20230713/e404b44fc3e69727e2ecb2958a55487e.png-169x127.jpg,[最满意],行驶品质感好，底盘韧性足，行驶稳定性好，操控好。2、市区行驶静音性好，音响效果好。3、可油可电，上下班基本用纯电模式，使用成本极低，周末出去游玩可用智能模式，油耗非常低。,[不满意],时速80以上胎噪有点大 有些车机设置每次启动需要重新设置不人性化 车载百度地图走错路有时候会飘移，反应很,[外观],"外形动感犀利，不太常规，但欣赏起来也同样帅气，符合多数人的审美。车身做工精良。
领克01EMP侧面照 
领克01EMP后面照 
领克01雪中照",[内饰],"内饰用料好，做工精致，豪华感强。真皮座椅，nubuck翻毛皮，乘坐舒适。配置高，主驾和副驾均由座椅通风和加热功能，有方向盘加热功能，都能通过车机语音控制，非常方便。车自带AQS空气质量管理系统，配套CN95多功能空调滤芯，能过滤PM2.5。
内饰用料好，质感舒适。 
车上配了车载灭火器。",[空间],领克01EMP的前排空间正常，我身高180cm，能调到自己合适位置。后排中规中矩，够用，但不太宽敞。后备箱容积正常。 后排空间正常够用，地台中间有隆起。,[舒适],驾驶有3种模式，纯电，智能，运动。平时上下班就用纯电模式，加速平顺，力度大，超车轻松。智能模式就是油电混用，和纯电模式驾驶感受一样，提速优秀，城市超车轻松实现。运动模式推背感强，轻轻一点就会往前冲，城市路况不适合用。 驾驶领克01EMP偶遇领克05。,[油耗],,油耗好像也没怎么变过，一直都是4.8L左右，好像插电式混动的不用像燃油车那样磨合，纯电续航虽然不高，但是也能用啦，主要综合油耗够低。,,[动力],[性价比],动力十足推背感十足,领克的车借鉴沃尔沃的技术较多，用的底盘也是吉利和沃尔沃联合开发的CMA平台，在很多看不到的地方，车身用钢材，安全标准偏高，这样能解释领克01在欧洲、中保研均能收获5星。所以单纯轮性价比，表面看不太高，实则较高。,https://newcar.xcar.com.cn/3707/review/comment-434647.html,展开全部
"
    发表于  2023-07    

            
    
    
",空间部分还是有亮点的，它的后备箱是感应式的哦，而且前面的座椅可以压倒，这样后排完全是通开的了，感觉我家大电视都能放进去,https://image1.xcarimg.com/attachments/my/1/88/39/143_120.jpg,xuser1893914,青铜长老,4.25,外观,5,内饰,4,空间,4,舒适,5,油耗,3,动力,4,操控,5,性价比,4,购入信息,爱车车型,https://newcar.xcar.com.cn/m66639/,2023款领克01新能源1.5TD EM-P 晨曦版,购入时间,2023/4/1,购车地点, [山东省],裸车价格,21.38万  (厂商指导价 22.38万),当前油耗,3L/100km,爱车简评,实拍图片,爱车评价,https://img1.xcarimg.com//review/20230713/945de5bd6cd0c4d48d91b5d85ec02eef.png-169x127.jpg,https://img1.xcarimg.com//review/20230713/4cbf1221e57b1a5058e4d62e4f1f4002.png-169x127.jpg,https://img1.xcarimg.com//review/20230713/d8108d19d1fecc77b09368f633ee0f52.png-169x127.jpg,https://img1.xcarimg.com//review/20230713/9b6dce5f7cfdd6424462e3a286f58bdf.png-169x127.jpg,[最满意],对外观的执念也是造成我今年才买车的原因，以前我也关注过领克的汽车，但是总觉得少点什么，直到领克01 EM-P出现，它的尾灯让我心动了，和流行的贯穿式尾灯不同，它的是断开式的，而且中间还有领克的标识装饰，整个的车尾因为有了它辨识度更高了，还有车头有LED日间行车灯，大灯高度可调，有自适应远近光和自动头灯，造型还是分段式的，上面蛙眼凸出式的造型也是非常个性的，虽然有的元素老款有，但是放在新款上面我觉得才更时尚潮流！,[不满意],虽然车里有扶手箱手套箱等储物，但是实际有点小，我看人家好多国产车的扶手箱做的很大，能放不少东西呢，领克01 EM－P这样的真的就是放钥匙专用盒子了。还有一个只能怪领克小气，它的副驾驶座椅没有通风功能，就有点像很多车型副驾驶座椅没有电动座椅一样,[外观],说它是顶流颜值是我发自内心的，买车之后我也一直关注同价位新出的汽车，但是设计都是大同小异的，只有领克01 EM-P让我觉得百看不厌，够时尚够潮流。,[内饰],座椅我是喜欢的，毕竟一体式造型非常运动，不过唯一小缺憾是副驾驶座椅没有通风功能；车内材质还是不错的，车门中控台饰板上面都有软性包裹，摸上去软软的要比那种硬塑料好太多,[空间],空间部分还是有亮点的，它的后备箱是感应式的哦，而且前面的座椅可以压倒，这样后排完全是通开的了，感觉我家大电视都能放进去。乘坐空间主要是前排用的多，我这后排很少坐人，就以我180的身高作为参考吧，我在前排坐头顶还有一拳，再后排也一样，腿部还有两拳半左右，两条腿随意活动，完全不担心碰到。车内储物还是小的，中央扶手盒人家都是有多大做多大，领克01 EM-P这明显觉得还能向周围扩散的。,[舒适],领克01 EM-P匹配的3挡DHT变速箱，在混动车里面这也是非常有实力的，动力感受不输同级燃油车。它有540度影像和全速自适应巡航系统，城市道路高速行驶，领克01 EM-P一样轻松，三幅式平底方向盘转向也很精准呢。,[油耗],,油耗好像也没怎么变过，一直都是4L左右，好像插电式混动的不用像燃油车那样磨合，纯电续航虽然不高，但是也能用啦，主要综合油耗够低。,,,[性价比],,别看买的顶配，我仍然觉得买领克01 EM-P性价比很高，因为它的高颜值能让我出门成为焦点，也因为我是第一个买顶配的人，领克各种贴心的服务呐！,https://newcar.xcar.com.cn/3707/review/comment-434646.html,展开全部
"
    发表于  2023-07    

            
    
    
",感觉领克01新能源车里面的储物空间不是很多，而且即使是有储物空间的话也不够大，不过后备箱的空间还是可以的,https://image1.xcarimg.com/attachments/my/1/88/39/151_120.jpg,xuser1893915,青铜长老,4,外观,4,内饰,4,空间,4,舒适,4,油耗,4,动力,4,操控,4,性价比,4,购入信息,爱车车型,https://newcar.xcar.com.cn/m66638/,2023款领克01新能源1.5TD EM-P PM,购入时间,2023/3/1,购车地点, [上海市],裸车价格,20.18万  (厂商指导价 21.18万),当前油耗,2.5L/100km,爱车简评,实拍图片,爱车评价,https://img1.xcarimg.com//review/20230713/7160127e77eb9e49ffc188cfee84d644.png-169x127.jpg,https://img1.xcarimg.com//review/20230713/581309ba696baceab0edd3a65c33a0d2.png-169x127.jpg,https://img1.xcarimg.com//review/20230713/e26f766de603a8fbb22471b3a23ad132.png-169x127.jpg,https://img1.xcarimg.com//review/20230713/f458abf66d13c399b1bba497374b9c2b.png-169x127.jpg,[最满意],我的这台领克01新能源综合下来不管是动力操控还是隔音和底盘等方方面面都很满意。外观没得说，领克的家族式设计还是很有辨识度的。方向盘的握感也很不错，虽然之前没开过什么好车，不理解指向精准的具体含义，但确实方向盘转动的角度和车头是一致的，轻微一打就有了，平时开车的时候也很有信心。领克01新能源驾驶的时候能让我感受到充足的动力，城市里面超车也是没有什么问题的。隔音的效果也很不错，就算是在高速驾驶的时候，也是很安静的。,[不满意],让我不满意的就是领克01新能源的空间了，也不能说是小，只是比较普通吧，没有我想象中的大。尤其是后排空间，我身高180，坐后排是稍微紧张，还有就是车里面的储物空间比较少。,[外观],我买完领克01 EM-P还去过一次他们店里，刚好看到那个四驱版本的领克01，20寸轮毂真的让它帅气了不少，如果都是这么大的轮毂那真就无敌啦！,[内饰],整体来说我还是很喜欢领克01的内饰设计的，尤其是中控台这一部分，有一种科技感，基本都是软性材质的包裹，所以一上车就能给到我高级感。座椅的用料也同样如此，触摸上去的感受也很不错。不过就是我感觉新车的内饰味道有点大，后期解决就是放了一些柚子皮和活性炭包，再加上开窗通风的方式来解决的。,[空间],我买这台领克01新能源，不仅仅是用来代步和家用的，有的时候也需要拉一些单位需要的货物，领克01新能源整体给我的感觉就是够用，但是如果说空间有多么大的话，其实也没有。家人乘坐评价：领克01新能源的后排空间对于我来说一般般吧，我自己身高一米八，尝试在后排座的时候发现腿部空间还是有一点紧张的，还有就是因为后排的中央地台有凸起，有一次我爸妈和孩子坐我的车，就在说这个凸起很影响乘坐的空间，反正如果要坐中间的话，就需要叉开腿坐，感觉不是特别的方便。,[舒适],我自己是非常喜欢领克01新能源给到我的驾驶感受，平时我也很喜欢开这台车，不管是从动力还是从操控角度来说的话，都是属于一流的水准了。有那种拖拽感，到真正跑起来的时候，发动机介入了马力就更棒了，想超谁就超谁，不仅是在城市中表现还可以，哪怕是在高速道路上驾驶的话也很不错，到了后期，想在加速的话，还是有动力的。底盘稳定性：领克01新能源实际开下来的感受，我认为它的底盘调整的也很好，是那种不硬不软，过弯的时候也不会有什么侧倾，走一些烂路的时候，几乎感受不到什么弹跳，所以我对这个底盘也是很满意的,[油耗],,其实我买车的时候就知道了领克01新能源的油耗不会高到哪里去的，事实上也是如此的，我的领克01新能源油耗目前来看的话，百公里油耗就在4.7个油耗的，还是完全在我的预期反正之内的。,,[动力],[性价比],动力积极性：别看是一台SUV，但其实动力一点都不马虎，平时起步的时候就会用纯电模式来跑一跑，不仅起步快，而且换挡也很顺畅，,前前后后所有费用加起来我是花了二十多万，可以买到领克01而且还是新能源版本的，已经是非常满意的了，外观很好看，动力开起来也不错，感觉性价比还是挺高的。4S店售后服务：领克4S店的服务很不错，从前期的买车到后期的提车和养车，4S店都是无微不至的，还经常打电话问我用车情况，很关怀。,https://newcar.xcar.com.cn/3707/review/comment-434645.html,展开全部
"
    发表于  2023-07    

      
        
    
    
",它的性价比还是挺高的，各方面考虑都比较好，经济实惠，适合我这上班族平常代步走路，。,https://image1.xcarimg.com/attachments/my/1/88/39/155_120.jpg,xuser1893915,青铜长老,4.5,外观,5,内饰,4,空间,4,舒适,5,油耗,3,动力,5,操控,5,性价比,5,购入信息,爱车车型,https://newcar.xcar.com.cn/m66638/,2023款领克01新能源1.5TD EM-P PM,购入时间,2023/5/1,购车地点, [重庆市],裸车价格,20.18万  (厂商指导价 21.18万),当前油耗,2L/100km,爱车简评,实拍图片,爱车评价,https://img1.xcarimg.com//review/20230713/2201c09b80faaed00a66ec3dc51e0610.png-169x127.jpg,https://img1.xcarimg.com//review/20230713/420f32c8e0636478ec94cb5a538e7134.png-169x127.jpg,https://img1.xcarimg.com//review/20230713/08497659a8343b308cb5a8c33d57a4d2.png-169x127.jpg,https://img1.xcarimg.com//review/20230713/c5cdc73cce0f154611e0ea719c931cb2.png-169x127.jpg,[最满意],最满意的是它的外观，见到它的第一眼就被吸引了，看中它的设计风格，外观的感觉不笨重，很有灵性。到现在一共开了三个月，两千多公里下来体验还是很不错滴，尤其是在操控这一块儿，我自己01燃油的也开过不少次，感觉phev版本也是因为有个电池的缘故吧，整个车子的操控是好了不少，尤其是过一些高速弯道的时候整个车子更加的贴合地面，还有就是这首任车主的不限里程不限年限的质保也算得上是我买它的一个强心剂，虽然这么几个月开下来没有任何的毛病但也能让我父母挑不出刺，,[不满意],不满意的就是它的胎噪有点大，跑高速的时候容易有噪音，隔音效果不好，声音有一点大。,[外观],它的外观层次分明，线条明确。低端大气上档次，开出去非常的又漂亮长排面，相信大家的眼光。,[内饰],它的内饰比较简单，连中控台都简约大气，也不凌乱，非常的有格调，很划算。,[空间],前车视野开阔，左右驾驶位都比较宽松，腿部也能自由伸展开，后排座椅也比较宽松，上下前后都有两拳的距离，不拥挤，至于后备箱，轻松能放三四个行李箱，居家旅行的不二人选。 驾驶感受 它的动力还是挺大的，爆发性挺强的，不受限制，输出很稳定，提速也快，在需要超车的路段一点也不含糊，在需要超车的路段给力很快，有强烈的推背感，一点也不马虎。,[舒适],它的舒适型还可以，座椅不偏不倚刚刚好，有后期的感觉，隔音效果一般，容易产生噪音，胎噪，影响人的体验,,[操控],,它的操作还是比较简单的，方向盘轻便，指哪打哪，也不需要多费力，在转弯的路边也不存在飘的问题，很稳定。,,[性价比],,它的性价比还是挺高的，各方面考虑都比较好，经济实惠，适合我这上班族平常代步走路，。,javascript:;,展开全部
"
    发表于  2021-04    

      
        
    
    
",外观的造型设计的确实非常的时尚帅气，整个车身的线条设计的非常流畅，前面的中网以及大灯的设计都是非常具有辨识度的。,https://image1.xcarimg.com/attachments/my/1/89/26/881_120.jpg,xuser1902688,三星会员,5,外观,5,内饰,5,空间,5,舒适,5,油耗,5,动力,5,操控,5,性价比,5,购入信息,爱车车型,https://newcar.xcar.com.cn/m57371/,2021款领克01混动1.5TD PHEV Halo,购入时间,2021/2/1,购车地点,云南东峻天领汽车销售服务有限公司 [云南省],裸车价格,22.2万  (厂商指导价 22.67万),当前油耗,9L/100km,爱车简评,,爱车评价,,,,,[最满意],最满意的就是这款车的驾驶感受了，辅助性的配置还是非常丰富的，算是比较容易上手的车了，动力表现的也是很优秀的。,[不满意],这款车的车机反应不灵敏，而且发动机的噪音比较明显。,[外观],外观的造型设计的确实非常的时尚帅气，整个车身的线条设计的非常流畅，前面的中网以及大灯的设计都是非常具有辨识度的。,[内饰],中控内饰的整体设计感觉我还是比较满意的，多功能的方向盘实用性还是很高的，储物空间搭配的也不错。,[空间],乘坐的空间对于我来讲还是能够满足的，前排座椅和后排座椅的腿部空间都是非常够用的，而且后备箱装载能力也不错。,[舒适],座椅的支撑性和包裹感还是很满意的，乘坐起来也特别舒服，隔音的效果比较一般，高速驾驶的时候胎噪声还是很明显的。,[油耗],[操控],综合油耗大概百公里9个油左右吧，油耗的表现我还是非常满意的。,驾驶这款车还是非常轻松的，底盘的做工特别扎实，高速驾驶的时候车身的稳定性也不错，辅助性的配置都是特别实用的，对于新手来讲算是比较容易上手的车了。,[动力],[性价比],动力对于我来讲是完全能够满足的，这款车的提速表现还是非常强劲的，满载的情况下动力表现的也是非常充沛的。,这款车的颜值确实非常的高级，喜欢这种造型别致的风格开在路上就显得与众不同，而且这款车的性价比也是非常不错的，值得这个价格。,javascript:;,展开全部
"
    发表于  2021-04    

      
        
    
    
",它的外观，整体外观非常的时尚帅气很有个性，内饰的用料和做工都非常的细心，摸起来质感非常的舒服，操控起来也非常的简单，方向盘比较的灵敏，刹车很线性，而且刹车距离很短。,https://image1.xcarimg.com/attachments/my/1/88/01/677_120.jpg,gh1611631896,支柱会员,5,外观,5,内饰,5,空间,5,舒适,5,油耗,5,动力,5,操控,5,性价比,5,购入信息,爱车车型,https://newcar.xcar.com.cn/m57371/,2021款领克01混动1.5TD PHEV Halo,购入时间,2021/2/1,购车地点,潍坊航达汽车销售服务有限公司 [山东省],裸车价格,22.3万  (厂商指导价 22.67万),当前油耗,9L/100km,爱车简评,,爱车评价,,,,,[最满意],最满意的是它的外观，整体外观非常的时尚帅气很有个性，内饰的用料和做工都非常的细心，摸起来质感非常的舒服，操控起来也非常的简单，方向盘比较的灵敏，刹车很线性，而且刹车距离很短。,[不满意],最不满意的是底盘偏硬在路过坑洼路段，特别是连续坑洼路段时，会有比较明显的颠簸感，驾乘体验不是太好。新车的味道不是很大，但如果对气味比较明显的人会感觉到不太舒服。,[外观],外观的设计看起来非常的高级，在各个细节方面的处理，也完全达到了我的心里预期。尤其是车子的侧面，腰线流畅，看起来很有运动感，可以打满分。唯一不好的是它的尾巴感觉有点和车身不是特别的协调,[内饰],那是很有质感，在用料方面有软有硬，无论软硬摸起来手感都非常的舒服。中控和仪表盘都是液晶显示清晰度很好，而且看起来很有科技感，中控台微微偏向驾驶侧的设计很人性化，缝线处理的很细腻摸起来很舒服。,[空间],空间方面的表现我还是挺满意的，车上一些小的储物空间设计的比较人性化，方便放手机和一些其他小东西。在驾乘空间方面的表现规规矩矩，完全够用，后备箱的容积很深，空间分配比较合理，使用方便。,[舒适],前排座椅的包裹感和支撑感都非常的好，但个人感觉前排的座椅没有后排的座椅柔软，后排坐起来要更舒服些。对于风噪和胎噪的过滤还是比较不错，但在大声放音乐时，车窗会有抖动的现象发生。,[油耗],[操控],在油耗方面的表现中规中矩，具体的油耗数据需要根据本人的驾驶习惯和当时的路况来看。,刹车和油门调校的都比较灵敏，而且。方向盘的转向比较轻盈指向很准，在驾驶的时候会比较的轻松，车子配备的各种驾驶辅助功能也是比较的灵敏好用，悬架很稳，转向时不会有明显的倾斜，能够体验到一定的驾驶乐趣。,[动力],[性价比],动力还是让人比较有信心的，油门的反应灵敏，刹车也比较的线性，在路上也可以很快完成超车，先踩油门加速时能够感觉到轻微的推背感。车子配备了多种驾驶模式能够满足在不同情况下的驾驶需求。,领克01无论是从它的外观到内饰，或者从操控感到安全性方面，都给了我很大的惊喜，而且它的配置在同级别的车型里面都是比较优秀的。总的来说性价比非常的高，相信他在路上的表现也不会令我失望。,javascript:;,展开全部
"
    发表于  2021-04    

      
        
    
    
",外观设计我还是很满意的，感觉整体的设计风格我还是很满意的，非常符合我的审美要求。,https://image1.xcarimg.com/attachments/my/1/89/26/869_120.jpg,xuser1902686,三星会员,5,外观,5,内饰,5,空间,5,舒适,5,油耗,5,动力,5,操控,5,性价比,5,购入信息,爱车车型,https://newcar.xcar.com.cn/m57371/,2021款领克01混动1.5TD PHEV Halo,购入时间,2021/2/1,购车地点,青岛蔚来汽车销售有限公司 [山东省],裸车价格,22.2万  (厂商指导价 22.67万),当前油耗,9L/100km,爱车简评,,爱车评价,,,,,[最满意],最满意的还是感觉这款车子的颜值不错，而且空间表现也非常优秀，没什么问题。,[不满意],不满意的地方也没什么，就是感觉车子的胎噪声音还是比较明显的。,[外观],外观设计我还是很满意的，感觉整体的设计风格我还是很满意的，非常符合我的审美要求。,[内饰],内饰没什么大问题，做工还是非常精致的，而且用料也比较厚道。,[空间],这款车子的空间我还是比较满意的，感觉没什么大问题，车内的储物空间也非常丰富。,[舒适],舒适性还是挺好的，座椅很舒服，就是隔音降噪的表现稍微差了点意思。,[油耗],[操控],油耗感觉还是比较实用的，没什么大问题，正常的家用代步压力也不大。,操控还是很满意的，方向盘指向很准确，而且刹车和油门反应也特别的灵敏。,[动力],[性价比],动力表现还是很好的，起步没什么肉感，而且动力也是随叫随到的，正常代步肯定足够了。,选择这款车子主要还是因为价格比较合适，而且各方面的性能也都不错。,,
"
    发表于  2021-04    

      
        
    
    
",车子外观给人的感觉还是非常的个性，非常漂亮的，特别符合年轻人审美，造型上没问题，然后车子的配置也是非常的给力。,https://image1.xcarimg.com/attachments/my/1/89/26/863_120.jpg,xuser1902686,三星会员,5,外观,5,内饰,5,空间,5,舒适,5,油耗,5,动力,5,操控,5,性价比,5,购入信息,爱车车型,https://newcar.xcar.com.cn/m57371/,2021款领克01混动1.5TD PHEV Halo,购入时间,2021/2/1,购车地点,上海通孚祥领云汽车销售服务有限公司 [上海市],裸车价格,22万  (厂商指导价 22.67万),当前油耗,9L/100km,爱车简评,,爱车评价,,,,,[最满意],车子到手之后整几天下来真的是非常的棒，其实要说让我最满意的画还是车子外观，的确是非常跟手开出去也是比较有面子的，车身颜色也是很好看，内饰也足够豪华。,[不满意],整体表现都很好，要说不满意的话，可能就是新车的味道大一点，隔音的话稍差一点，其他方面还是不错的。,[外观],车子外观给人的感觉还是非常的个性，非常漂亮的，特别符合年轻人审美，造型上没问题，然后车子的配置也是非常的给力。,[内饰],车的内饰相对来说真的是非常豪华了，所有的配置都有，而且看上去特别的帅气，有自己的设计风格，用起来手感上也是非常舒服，手能摸到的地方都是软包。,[空间],车子空间真的还不错，前排后排的空间都足够大了，后排乘坐头部和腿部空间也很充足，不会觉得有拥挤压抑的感,[舒适],座椅的舒适度真的不错，坐在上面感觉支撑性包裹性都挺好的，而且车子的空调反应速度非常的快。还有就是车子的音响效果也是非常棒的。,[油耗],[操控],综合油耗9个左右，个人觉得还是比较能接受的。也不算是太高。,操控风格，我个人觉得还是比较满意的方法，转向变道很灵活，而且车子底盘也很扎实，驾驭起来完全没有任何问,[动力],[性价比],车子动力的话，我个人觉得还是比较满意的，车子起步提速可以说是挺快的，超车的话很轻松，上高速也能感觉到明显的推背感。,首先说零克的车子还是非常不错的，不管是从质量还是外观上来说都非常的棒，符合我个人审美，然后价格上也比较符合我的要求。所以当时直接就买了。,javascript:;,展开全部
"
    发表于  2021-04    

      
        
    
    
",造型设计的确实非常的漂亮，前脸的造型辨识度还是非常高的，大灯以及轮毂的设计我都特别喜欢。,https://image1.xcarimg.com/attachments/my/1/89/26/853_120.jpg,xuser1902685,三星会员,5,外观,5,内饰,5,空间,5,舒适,5,油耗,5,动力,5,操控,5,性价比,5,购入信息,爱车车型,https://newcar.xcar.com.cn/m57371/,2021款领克01混动1.5TD PHEV Halo,购入时间,2021/3/1,购车地点,长沙天泰汽车销售服务有限公司 [湖南省],裸车价格,22.2万  (厂商指导价 22.67万),当前油耗,9L/100km,爱车简评,,爱车评价,,,,,[最满意],最满意的就是这款车的驾驶感受了，算是一款比较容易上手的车了，辅助性的配置还是非常丰富的，性价比也特别,[不满意],这款车的整体表现还是非常不错的，就是悬架减震调效的比较硬。,[外观],外观的造型设计的确实非常的漂亮，前脸的造型辨识度还是非常高的，大灯以及轮毂的设计我都特别喜欢。,[内饰],中控内饰的整体造型风格我还是非常满意的，做工和用料还是很不错的，多功能的方向盘实用性也特别高。,[空间],前排座椅的空间还是非常够用的，后排座椅的腿部空间表现的比较一般，满载的情况下还是会影响到舒适性。,[舒适],座椅的支撑性和包裹感我还是很满意的，乘坐起来也特别舒服，隔音的效果比较一般，高速驾驶的时候胎噪声还是很明显的。,[油耗],[操控],综合油耗大概百公里8~9个油左右吧，油耗的表现我还是非常满意的。,驾驶这款车还是非常轻松的，发向盘的手感很好，指向也特别精准，而且辅助性的配置也特别丰富，对于新手来讲算是比较容易上手的车。,[动力],[性价比],动力对于我来说是完全能够满足的，这款车的提速表现还是非常强劲的，满载的情况下也是毫无压力的。,买这款车也是看中了这款车的颜值，外观的设计确实非常的漂亮，作为日常出行代步车也是非常适合的，完全能够满足我的需求。,javascript:;,展开全部
"
    发表于  2021-04    

      
        
    
    
",这台车子在外观造型方面的话也是非常不错的，我觉得整体的车身设计上比较大气，属于四平八稳的那种感觉。,https://image1.xcarimg.com/attachments/my/1/89/26/839_120.jpg,xuser1902683,三星会员,5,外观,5,内饰,5,空间,5,舒适,5,油耗,5,动力,5,操控,5,性价比,5,购入信息,爱车车型,https://newcar.xcar.com.cn/m57371/,2021款领克01混动1.5TD PHEV Halo,购入时间,2021/3/1,购车地点,成都慧航汽车销售服务有限公司 [四川省],裸车价格,22万  (厂商指导价 22.67万),当前油耗,9L/100km,爱车简评,,爱车评价,,,,,[最满意],我最满意的地方还是这台车子的配置上，因为在设置方面的话，我觉得比较符合日常用车的一个实际情况。,[不满意],我觉得这台车子让我不太满意的地方，就是在驾车出行的时候，感觉这台车子的噪音明显一些。,[外观],这台车子在外观造型方面的话也是非常不错的，我觉得整体的车身设计上比较大气，属于四平八稳的那种感觉。,[内饰],内饰方面的话也很不错，车内但凡用手能触及到的地方，基本上也都是柔软的材料，另外功能方面的是符合实际的使用需求的。,[空间],这台车子在空间方面的话我觉得是非常不错的，乘车空间完全可以用宽敞又舒适来形容了，平时乘坐起来的时候空间是毫无压力的。,[舒适],这台车子我觉得它的舒适性方面的话也还可以，就是在出行的时候我觉得噪音问题会稍稍偏大一点。,[油耗],[操控],这台车子在油耗方面的话我觉得还不错，综合油耗值目前不是过分的偏高，在高速路段的表现还是特别优秀的 。,这台车子我觉得在驾驶操控起来的时候也是非常不错的，它的方向盘转动起来轻松操控性能不错，开起来的时候也给我一种很安全的感觉。,[动力],[性价比],这台车子我觉得在动力方面的话还是不错的，在出行的时候它的动力输出还是比较强悍的，我觉得动力方面真的是很好了。,我最终会选择这台车子，我觉得还是因为它的性价比所导致的吧，别的车子我也看了很多，但是终究还是觉得这台车子的配置方面做得更加的符合实际需求,javascript:;,展开全部
