字段1_文本,字段2,时间,字段3
Miller118,"【选购车型】
2月底下的1000元盲订，3.2下定，后来没有5000元选装锁单，取消了订单，在3月8日又下定，11号锁单，最终选定的是180增程版，瓦尔登绿+雾紫+5000元包，不带天窗；
购车前在BYD宋Pro交了订金，但BYD今年不降价，不降价，不降价，还提价，无奈，还得等车，最终综合考虑了外观、空间和底盘，感觉C11的180增程版是更适合我的选择。

青岛的购车消费券妙光，没有抢到，也是无奈！
【为什么选】
二月份看到了零跑的增程，关键是性价比，便宜，据说还挺智能，加上头条漫山遍野的广告投送。丐中丐版起售价才14.98！虽然有证但没有真正上手，所以选一款价格在10-20万的车。
还有2.93的轴距！双叉臂+五连杆！还有一点空间大，大空间！这些都是初见零跑的印象，也埋下了最终选定了C11的种子。考虑平常上班通勤距离不长，去单位开会也就60公里，觉得180的增程已经完全够我用了，又想要更多的配置，所以加了个5000的选装大包，加上4000元优惠，3000选装优惠，经销商的2000元优惠，送膜垫。
裸车价14.98+0.5-0.4-0.3-0.2=14.58
【交车仪式】
平时不用车，通勤地铁，本想着怎么也得5月份交车，结果4月7号告诉我已经运输了，9号就到青岛了，真不科学！
4.11单位请了一天假，赶到即墨提车，没啥人，丐中丐，没有行李架，但看起来也很帅呀，18寸的轮毂不大，够用，加上瓦尔登绿的外观，洋气十足，比较喜欢，然后开始验车，漆面完好，在地下停车场停了2天，基本上没什么毛病，请的验车师傅对着车辆一顿检测，最终也没检测出什么问题，最后贷款，交钱、拍照，合同，乱七八糟，5000元的保险加上牌，中午去四楼吃的鱼，下午，销售委托他人带我去上牌的时候，半个小时搞定，中间选的车牌也不错。再去贴膜，结束已经下午四点。
车已提，但心里慌得很，我是新手，战战兢兢上路，结果在加油站蹭了一辆外卖电动摩托，25公分的划痕，首血就这么没了。
心里痛的很，新车为什么来的这么不是时候！
【外观内饰】
车身外观造型哪里最深得你心?展开说说内饰的设计布局、用料及配色，坐在车内是否有着豪车般的属实体验呢?整体的车身做工怎么样，厚度及硬度如何呢?
外观还行吧，颜色是瓦尔登绿，因为职业的原因，很是喜欢；内饰是岩灰+雾紫，Nappa真皮，因为加了5000的包，所以22款的座椅，后排杯架，怀挡，三联屏。在懂车帝论坛里看到的乱七八糟的问题是挺多，但毕竟价格在那，期望值没有那么高，不出大问题就好，小问题可以忍受。也没有什么异响，漏雨等问题，座椅舒适度都挺不错，符合我的预期。
【驾驶感受】
提完车是4点，在老司机的陪同下，上高速，全程80，一路上鸣笛声不断，我是新手我怕谁，何况是临牌！一开始慌的不行，包括车机导航没有声音，使用不熟悉，总感觉不得劲，还总有嗡嗡的声音，后面才知道那是行人提示音，把这个一关，嗡嗡声瞬间没了；纯电感觉动力都很充沛，车里很静，过弯侧向支撑给的很到位。唯一的不适就是感觉会一点晃。
【空间体验】
空间是我选择C11的重要原因之一，因为老人回老家总是带巨多的东西，鸡蛋、油菜都要带，还要带大米、菜籽油，所以选了零跑。尤其是后排空间简直离谱，主驾正常坐姿，进到后排，还可以翘二郎腿，地台也是纯平的，坐3个成年人不在话下；尾箱空间也挺大，把后排一放倒，已经开始想象开着C11去露营了。用了几天后发现用来午睡也挺好，但是最近天气不好，就还没试过在车上午休。
【智能体验】
因为选择的是丐中丐，拿到车的能用的智能配置并不多，目前体验了三联屏、APP控车、小零等；辅助驾驶只有定速巡航，高速用起来还是很舒服的，还可以通过调节定速巡航的速度去实现加速和制动，期待后期OTA升级后全适应定速巡航和车道保持。360确实挺好用的，整一个星期进小区停车都是用360，无数次惊险刺激的事情，媳妇都说快吓出心脏病了。
小零挺好使，关灯开灯都用它。但电台总是无缘无故跳出来，经常性吓一跳，也不知道啥原因【亮眼配置】
性价比无敌，因为选的丐中丐，在这个价位，广告推送是无框车门、双叉臂+五连杆、后驱、全景天幕、超大的空间，就感觉空间感挺好，其他没有感觉

【问题】
1.这车没有行车记录仪，花了600装了一个。2.放哪了不动每天跑10公里的电，不知道是我设置的问题，还是车的问题。3.360有盲区。4.电台无缘无故自己播放。
【推荐意向】
如果有朋友要买车，我会推荐一下，但我是新手，不知道其他的车什么感觉，这车适合有家用需求的朋友，性价比、空间很满意。",2023/5/9,青岛
麦迪哥丶深圳,"终于轮到我写提车经历了，还是挺激动，27岁，人生第一辆车。
【购车经历】
看了有3个多月，预算控制在15万以内。
从最开始想买轿车，看998的秦到银河L6，到零跑C01，然后发现C11只比C01贵了4千，然后开始看SUV，C11纸面数据确实香，当时同价位的SUV都打不过，外形尺寸轴距入门续航，前双插臂后多连杆，在15万这个价位，深得我心。担心的也有，例如装配工艺，异响，售后，车机，品牌。。。但最后还是选择了他，可能是因为外观，确实很合我的胃口，深蓝S7的外观不是我的爱，所以就定C11了，后来听到小道消息，说c11后面会涨价，所以就赶紧在年前下了定金，2月提了车，结果被刺成了刺猬，至少亏1万😂

【空间表现】
轴距在这边，后排空间是很宽敞的，后排还有座椅加热（加包了），适合爸妈长辈去坐。前排坐着感觉还行，napa真皮看着挺好看，坐起来没有c10舒服。而且座椅包裹性一般，每天来回总通勤80公里，腰还是有点酸。但整体空间满意的，以后有了小孩，按个宝宝椅，应该也不会挤。

【续航】
200增程，实际wltc表显就160，我快速路跑的多，实际也就140-145。在深圳，晚上不会掉里程。


【驾驶感受】
很出色！轻松模式下的起步加速不是很冲，是很平顺的加速，我个人很喜欢这种感觉，一点都不运动。其他车也没开过，底盘肯定比比亚迪同价位要舒服，这也是我没有选比亚迪的原因。也比银河L7舒服。唯一就是座椅，坐的感觉一般，也可能是单程通勤要1个小时造成的？不太清楚。

【充电时间】
还好，没有其他车的对比。

【智能化】
捞的很，特别是语音交互，可以说是人工智障。不过15万的车，也没打算要求啥智能化。ACC LCC不好用，聊胜于无，其他像华为的车，特斯拉，也没体验过，不知道好的辅助驾驶是啥样的。

【最满意】
底盘，外观，空间

【最不满意】
刹车，前半程太敏感，轻踩都会急刹。特别是每天早上开车出发，很明显。至于大灯，目前还没用到远光，异响也没听到，听群里大佬，可能要1000公里以上才会有。

整体有80分，后续再更新~",2024/3/8,深圳
用软件控制挖掘机炒菜,【空间表现】 车外看起来空间大，其实因为车的宽度偏窄，坐起来没有想象中那么舒适 【续航】 第一天晚上花了半个小时看了几台新能源车，第二天上午花了几分钟看了下c11就下定了，当时看懂车帝说180有150公里的续航，觉得150公里用一天应该也还够用，就直接下定买了。没想到开回来自己试了下，续航只有120公里不到，连着两天都是靠烧油回到家。 表显只剩20公里的时候，増程器介入，随着车速到了40开始，明显的发动机哒哒声开始比较明显，车速60码开始，増程器进入高速运转模式，明显开始有啸叫的感觉。 【充电时间】 每天晚上家充桩4个小时左右，7kw的充电速度，每天晚上都得充电，不充满电第二天铁定得烧油，目前正在买好一点的随车充，准备走到哪里充到哪里。 【智能化】 只能说是电车的最低配吧，语音有点傻，但是应该对得住这个价位？APP方面，没有其他需求，就是放个音乐接个电话，所以倒没有在意，实在要用复杂功能的话，用carlink就行。 【最不满意】 续航比较虚，电耗23.6kwh，每天基本上开八九十公里就増程器介入了，续航太悬了，这个发动机的油耗也比较感人。 其他车友说的异响是你的倒是还没发现，可能因为风噪大、胎噪大、増程器噪音大盖住了？ 动力太弱了，电门踩到底也没有太多提速感。 没有电尾门，手动关有时关不紧，打开又要费点劲，找时间改一个。 【购车经历】 早上9点到交付点提车上牌，9.40回到公司充电，简单高效。 【驾驶感受】 一般般，可能天天开es6，对比感觉这车动力和9秒的百米加速匹配不上，动力自定义到强劲，对比其他电车还是还是提速不够，没有推背感。 【乘坐体验】 还没乘坐过，提车8天除了两三天没用之外，自己没坐过。开了413公里，底盘有点紧。 急转弯和急刹车时给人信心有点不足,2024/3/12,长沙
Gino_叶增渝,车外观比较不错，所以选的c11。当时预算比较低看的是哪吒u，后来因缘际会看了c11，看了c11，u就开不上了。c11大气许多。 续航心里还是有数的，当时高速猛跑差不多6折，那么城区道路应该就差不多七折八折之间所以我得502也差不多，开下来应该也就是370-380左右。 充电时间这个就因为功率问题差别比较厉害了。刚提车，慢充6.1左右的功率，我朋友极氪001在我这冲有6.6左右。在24年的ota之后，想只有5.6的功率。虽然基本上都是睡一觉就满电，但是这功率降的，也太离谱。快充也不稳定，40-80之间都有过，当然这个和充电站也有关系。 智能驾驶之类我没考虑，当时选的丐版。只是减配行车记录仪我是无语。这个应该标配。毕竟人人都会后加。我后加了一个雨感取电的行车记录仪。然后24款一出，好家伙，就23丐版没有电动门把手。 驾驶感受确实比较拉胯，相对于试驾的哪吒u让我惊艳连连，c11就让人感受就是用最好的料，做最烂的调教。路稍微不好一丢丢，基本就是开船了。 还有一方面，售后很烂，真的很烂，稍微扯皮点的事情就是厂家推给销售中心和售后中心，其实大家心知肚明就是厂家的问题。厂家就是让售后来沟通。沟通有问题。那厂家继续让售后沟通。厂家在自己问题上永远是不作为的。 ota升级之后不能降级，希望厂家能把ota降级给到售后中心，我ota之后的驾驶感受真不如升级之前。例如中控下方控制键增多，但是却取消了后挡风除雾按键，问题是语音控制除霜除雾加热都唤醒不了，还有就是雨刮小雨也刮的飞快，没有ota之前精准。这就很稀烂了，问了之后，只能等待下次ota。建议朋友们没事也不要跟随最新版本。,2024/3/11,嘉兴
用户3092837492515,- 无框车门：美观的同时也带来了一些问题，由于没有车门框的阻挡，高速行驶时的风噪较大，影响了驾乘舒适度。 - 灯光配置：只有顶配车型配备了LED日间行车灯，而许多车主认为LED大灯组的远近光亮度不够。 - 选装配置：一些舒适性配置如座椅通风、座椅加热、腰部支撑电动调节、自动防眩目内后视镜、电动尾门、Vtol放电插座等需要额外花费15000元选装。这些配置在新能源汽车中已成为标准配置，但零跑C11增程智享300并未将其纳入基本车型中，且这些配置也没法单独选装。- 高速电耗：高速续航达成率六折左右，120的时速电耗约25左右，比一些其他品牌的汽车稍高。 - 空间：主驾储物空间稍少，后备箱也不算大。,2024/2/25,济南
特雷尔小哥,【购车经历】 第一辆车是在16年2月家里给买的凯美瑞，空间大，油耗低，舒适性好，质量稳定可靠，后期维保费用省，是辆不错的家用好车，随着时代发展，提速慢，配置低（低配连ESP和胎压报警探测雷达都没有），内饰过时的缺点慢慢凸显，因为通勤距离远，于是就寻思着置换一辆电车能节省点油费，需要较为明确:价格区间15万左右；最好是辆SUV；动力强；空间大；配置丰富点。从22年下半年开始关注新能源汽车，当时国补政策还有加上锂电池原料价格上涨，新能源汽车价格居高不下，令人望而却步，终于到了23年锂电池原料下跌新能源汽车价格也慢慢下调。从小鹏P7，埃安y和s，比亚迪汉，秦plus，宋plus，看的车很多也很杂，什么价位都有，起初是没有关注零跑的，毕竟这个品牌还是缺少知名度和市场的认可，因为我还是倾向于买纯电，但当时市面上15万左右的纯电车太少了，看来看去只有埃安S还比较合心意，差点下定，最终因为这车开网约车的居多，外观也差强人意，配置也不高，最后放弃了。23年3月零跑发布新款C11和C01，纯电车价格下探到15万区间，开始关注这个品牌。外观，动力，配置各方面都不错，作为年轻人也更容易接受新势力汽车品牌，支持国产，最后在23年12月底定下零跑C11纯电舒享版，提车非常快，四天就提到车了。 【提车价格】 裸车价15.58万-厂家尾款优惠5000=15.08万，减去各种补贴+保险6400多=14.97万落地 【智能化】 因为是丐版，智能化程度不高只能说够用吧，毕竟零跑也不是主打智驾的，我也不经常上高速，对我而言并不是难以接受。车机系统不能安装第三方应用，我是习惯听QQ音乐的，原机是酷狗和网易云音乐，所以每次都连手机蓝牙听歌，不是很方便，而且每次连接上蓝牙之后手机端已经在播放音乐，但是车里并不能同步响应，要按下方向盘上的右滚轮才会播放，不知道是什么原因。 【驾驶感受】 悬挂方面对比之前的凯美瑞过坡路感觉有点颠，但还能接受。转向轻盈，指向准，凯美瑞打方向比较笨重。 【动力表现】 前段加速挺快的，稍稍踩下电门速度就上来了，路上超车没压力，但是动力储备好像并不是很足。 【空间表现】 空间很大，不管是驾驶位还是后排，副驾可以跷二郎腿了，特别是后备厢的空间表现，后排放倒可以放张床，感觉挺适合露营的？ 【续航】 因为是在冬天买的车，续航是有打折的，充满电表显502公里，在0到5度的气温下实际续航在350公里左右，还算满意，对于续航问题我觉得影响最大的还是气温，天气热一点续航就好很多。 【充电时间】 装了送的充电桩，但是因为电表离车位很远，超了55米线，花了两千多，肉疼。 总结以上感受，我认为零跑C11还是辆性价比不错的家用车，瑕不掩瑜，当然每个人的需求不同，对车子的侧重点也不同，我只是站在我个人角度来评价这辆车，仅代表我个人观点。最后希望国产电车能越来越好吧，祝各位车友能早日提到自己称心如意的车！,2024/2/16,绍兴
柠萘,23年底看着选中的，赶着过年开车回老家用，就在年前提了车。总体来说当时看15万价位的纯电车选择不多，深蓝，id4，都不太喜欢，元普拉斯我都去对比看过，就是价格拿不下来。 整车内饰颜色搭配，内部空间来说一家人都挺满意的，后备箱稍微矮了点，比原来的奇骏没那么能装了，对于带娃都家庭也还够用。 虽然零跑现在销量一般，不过在路上还是能看到几台的，经常在上下班的时候遇到，t03也有不少。希望零跑越来越好！ 说说续航吧，提车1个多月就春节回老家了，340公里的路程有一段堵车半小时，满电满载开了290才去充电，到服务区就剩下20公里续航，电量在4%吧。续航打6折，有些车主5折，主要看开多快。平时市区上下班在9折左右，我是广东地区，温度较高，对续航比较友好，我觉得续航还是可以了。对了，我的丰巢电池😅 零跑底盘用料还是比较扎实的，就是调教还需要加强，过坎后排还是比较抖的。还有就是车内异响的问题相信各位老车主都遇到过，不过想想15万的价位有点异响也就接受了，我原来20万的奇骏也会异响，没有完美的车，价格适合自己预期就好。 智能化方面我没选智享版，没体验过就不乱说了，车机的话我也就开个导航，放个音乐，没有其他用途，也没啥好介绍的。 整体驾驶感受还是可以的，我自己开电车不晕车，我坐电车会晕车，好在我家里人坐电车也不晕车。我平时都开的最大动能回收，能省些电。 保险是5200，问了保险公司电车不能注册滴滴，顺风车，否则都可能拒保，有需要的车主准车主最好先问一下。,2024/3/4,广州
简单才会完美,"刚上市就定了
因为目标很明确，就是买增程电动，或者长续航插混，满足城市用电，高速用油的需求
其实小毛病还是有的，但是没有论坛说的那么夸张！成年人了，得要有自己的主见，任何车子都是有好有坏的！深入了解缺点，能接受，那么他就是适合你的

【空间表现】
整体空间表现很好，后排很大，后排座椅放倒也可以露营睡觉，我本人178，不垫床垫躺平直绰绰有余

【续航】
极限纯电续航好好开市区小200，高速续航110，极限纯电165左右，整体能满足城市用电，高速用油的需求

【充电时间】
百分之20充到百分之90，特来电快充大概50分钟左右

【智能化】
跟燃油车比，有优势
跟小鹏，理想，特斯拉等等新势力比要弱一点

【驾驶感受】
整体就是舒适取向的，不够运动，但是足够让你舒适，有电车晕车的小伙伴可以试试零跑，会有意外惊喜
【最不满意】
最不满意的就是当时4s店的交付时间！产能不足，让我晚提车了一个月！一直拖着，谁催就给谁交车，完全不按照订单先后来！

【购车经历】
当时购车目标就是增程电动，或者长续航插混
首先理想one，当时理想one库存优惠完26落地，有点超预算了
比亚迪的车不考虑，不做过多评价
其次就是问界m5，当时有一辆试驾车顶配裸车价20，很心动差点订了，无奈老婆闲空间小
深蓝s7迟迟不公布售价，吊人胃口，最终没等得了，但是作为三十岁的男人还是喜欢零跑c11.这种中庸稳重点的造型
夫妻车上阵???",2023/9/20,南京
樾墙,从今年年初开始看出，一开始考虑新款宋和深蓝s7和银河l7，六月份都上市之后都去试驾一下，这三辆车或多或少有一些我不能接受的小毛病。宋配置太低，纯电续航也少，深蓝没有仪表因为我戴眼镜晚上hud看的不是很清楚，银河l7是车机确实不流畅。等到七月份最后去逛街的时候家门口商场零跑店看了一下c11增程，发现意外的好，尤其是天幕灰外观➕雾紫内饰第一眼就喜欢上了。然后试驾了一下各个方面都很平均，没有让我无法忍受的方面。 【空间表现】 空间表现肯定是越级的，我188裸高坐前排头顶一圈空间，双腿放的也很舒服很自然。后排170左右可以翘二郎腿，后备箱空间也大。 【续航】 续航可能因为我脚法比较温柔，驾驶模式选的轻松，动能回收弱，百公里电耗只有14.5kwh，180续航30度电能轻轻松松跑到180。目前加了200块钱油还没有用到，有机会高速跑油试一下，群友普遍反应高速油耗6-7个城市5-6个。 【充电时间】 充电时间这个看充电桩功率，c11全息都有快慢充，上次在商场的充电桩70kwh，40分钟充满。 【智能化】 智能化挺满意的，车机很流畅不卡，就是高德地图版本比较老，系统比较封闭下不了软件细小功能还是和大厂没办法比较等后续ota更新吧。 【最不满意】 最不满意可能就是大包还是太贵了，要是能8000拿下大包性价比就很高了。 【驾驶感受】 零跑的底盘配置是同级别最好的，也没有群里反映的悬架较软，我觉得过城市低洼挺有韧性的 ！！！ 补充最重要的一点c11全系大灯都很拉胯，如果经常跑乡村小路强烈建议改装，6近8远价格差不多在2300包安装。希望官方出个大灯更新。,2023/9/1,宁波
晓,因工作需要工作日保底100公里以上通勤路程，海南这个油价实在加不起了，因此萌生了买辆电车的念头。因为家里有2辆油车了，本着只是买辆代步车的想法，最初是奔着比亚迪元PLUS去的，但是元胖子的内饰是真的劝退我了，然后家里人就说要不去看看宋PLUSEV，看完觉得还行，就是有点小贵，就想跟销售砍砍价的。当时去的是那种汽车集团，有很多品牌的车子在售，销售就说要不看看店里面的零跑C11，比宋PLUSEV要便宜，然后就去看了。（其实买车前也在网上参考了很多意见，也看到过有人说零跑C11性价比很高，但由于品牌的关系，家里长辈还是建议买比亚迪。）结果看到C11实车后，被惊艳到了，整体的外观和内饰都非常符合我的审美，我老妈也觉得很满意。当时店里只有那一台展车，没办法试驾，于是就找了个时间去海口试驾了一下，当时试驾车由于没贴膜，在外面晒了一上午，从我上车试驾到试驾结束，车内温度都没有降下来😂差点就由于这个原因劝退了，后面联系到一位老乡车友，进了车友群跟其他车友交流了一下，就下定决心订车了，9月10号下的订单，25号提的车，赶上了最后一批带5000小包的舒享版，个人感觉很值！主打的就是一个性价比！提车到今天提车刚好一个月，说一说这个一个月来下来的感受。 续航方面:我天天跑高速，120时速以下8折，速度再高的话电耗会很高。市区基本在1:1，这点符合甚至超出了我的预期。 空间方面:对于空间非常满意，后排座椅放倒我可以把车当床睡😂 至于外观和内饰方面，这个就不予评论了，毕竟萝卜青菜，各有所爱。至于网上说的那些异响啊别的问题，我目前还没遇到。 最后再说一下槽点:第一就是底盘调的偏软了，过坑洼路段的时候会有点晃悠；第二就是这个大灯是真的不够亮！希望厂家能重视一下，晚上下雨开高速真的看不清！ 目前就这些反馈，希望能对意向车主提供一些帮助。,2023/10/25,海口
