publish,标题,名称,名称1,评分,评分2,评分3,评分4,评分5,评分6,评分7,评分8,评分9,评分10,评分11,评分12,评分13,评分14,评分15,评分16,评分17,标题18,信息,信息_链接,信息19,信息20,信息21,信息22,信息23,信息24,信息25,信息26,信息27,标题28,purpose,purpose29,purpose30,purpose31,标题32,jia_text,标题33,图片,图片34,信息35,dw_22,dw_2236,dw_23,dw_4,dw_2337,dw_438,dw_1,dw_7,dw_139,dw_740,dw_8,dw_2,dw_841,dw_242,dw_5,dw_543,dw_11,dw_3,dw_1144,dw_345,dw_6,dw_646,up_链接,up
"
    发表于  2023-09    

      
        
    
    
",一次就好44,https://image1.xcarimg.com/attachments/my/1/73/09/873_120.jpg,青铜长老,4.88,外观,4,内饰,5,续航,5,空间,5,舒适,5,动力,5,操控,5,性价比,5,购入信息,爱车车型,https://newcar.xcar.com.cn/m69280/,2023款问界M5纯电后驱智驾版,购入时间,2023/6/1,购车地点, [贵州省],裸车价格,28.98万  (厂商指导价 28.98万),续航里程,185km,购入用途,上班,购物,接送小孩,,爱车简评,对于电车来说，电池价格才是在整辆车中占比最大的，所以买车的时候我也要考虑到将来换电池，电池的技术怎么样？AITO问界m5电芯品牌是宁德时代的，车也是由华为打造的，所以在整辆车的质量上边，我是比较信任的,实拍图片,https://img1.xcarimg.com//review/20230922/46b9826cd4dbc33b9509de593eba7c46.png-169x127.jpg,https://img1.xcarimg.com//review/20230922/56d03e1e0bef87dfe3224efff9f39039.png-169x127.jpg,爱车评价,[最满意],总的来说，车是好车，外观也很漂亮，车的智驾方面很多功能很好用，尤其适合停车技术或者开车技术不太好的朋友，至少在开车的过程中可以省心很多。,[不满意],[舒适],这款车的尾部设计不是特别好看，可能是不太符合我的审美观念，觉得有一点短了，后背的空间也就不是很充足,坐着挺舒服的，没有什么不适,[外观],[操控],这款车的外观很大气，底盘也比较高，所以不用担心遇到一些坑洼路段会挂到底盘，车的漆也很亮堂，车身流畅。,现在的车在驾驶操作方面越来越人性化，这款车之前没有自驾班，所以也不是太考虑，智驾版也是最近才出，这款车出了智驾版后，销量也挺好，现在的年轻人会更喜欢一些国产品牌，主要是国产的质量和人性化方面，设计师总会考虑到人民群众更喜欢的，尤其是最近几年国产崛起。AITO问界M5这款车是有智能驾驶的，不用白不用,[性价比],[内饰],买了这台车以后，到现在还没有后悔的感觉，越开越喜欢，每次停车后都忍不住多看两眼,这款车的内饰比较偏简约，没有太多复杂的装饰，但是简单的内饰并不代表里面简陋，但是车的内饰整体质感很高，亲自感受以后才知道还是对得起这个价格。,[续航],续航方面，纯电续航534千米，只能算中等偏上的水平。好的地方是充电速度比较快，续航都是真实续航，没有虚标，显示多少续航就能跑多远，可以提醒我及时补电,[充电],[空间],充电挺快的，平时用车也不耽误,AI TO问界m5是属于中型的SUV，五门五座，不管是驾驶室还是副驾驶以及后排空间还是挺宽的，一般家庭完全够用。,[动力],一般都在市区开，所以起步也很稳，没有延迟,javascript:;,展开全部
"
    发表于  2023-09    

      
        
    
    
",南城忆潇湘洞,https://image1.xcarimg.com/attachments/my/1/76/98/720_120.jpg,支柱会员,5,外观,5,内饰,5,续航,5,空间,5,舒适,5,动力,5,操控,5,性价比,5,购入信息,爱车车型,https://newcar.xcar.com.cn/m69280/,2023款问界M5纯电后驱智驾版,购入时间,2023/5/1,购车地点, [江苏省],裸车价格,28.89万  (厂商指导价 28.98万),续航里程,255km,购入用途,上班,购物,接送小孩,自驾游,爱车简评,外观运动感强烈，流线型车身加怎么看怎么喜欢，内饰做工用料扎实，除了木质条纹外，其他部位基本都用皮质包裹。,实拍图片,https://img1.xcarimg.com//review/20230922/4404f4065361fc588bac8d4254b5506f.jpg-169x127.jpg,https://img1.xcarimg.com//review/20230922/043ab9c32e7ac86a102f69d6fba93790.jpg-169x127.jpg,爱车评价,[最满意],动力上，电车有油车很难比得上的优势，电机直接输出动力，不经过变速箱，动力来得更直接，最直观的体验就是给油就走，一点不拖沓,[不满意],,目前还没有不是很满意的地方，后期给大家更新看看哈,,[外观],[操控],外观运动感强烈，流线型车身加怎么看怎么喜欢，内饰做工用料扎实，除了木质条纹外，其他部位基本都用皮质包裹,这车开起来，非常稳，我也只想得到这个词来形容，底盘给人一种高级的感觉，确实和10万车型松散的感觉有很大的不一样,[性价比],[内饰],自从开了这车以后，我感觉多了很多乐趣，性价比杠杠的,后排座椅空间也很宽敞，媳妇和孩子都很满意，特别是华为音响的效果非常好，孩子赞不绝口,[续航],AITO问界M 5增程版纯电续航为255公里，增程版总续航更是达到1200多公里,,[空间],,后排座椅空间也很宽敞，媳妇和孩子都很满意，特别是华为音响的效果非常好，孩子赞不绝口,[动力],动力上，电车有油车很难比得上的优势，电机直接输出动力，不经过变速箱，动力来得更直接，最直观的体验就是给油就走，一点不拖沓,,
"
    发表于  2023-09    

      
        
    
    
",眼眸殘情,https://image1.xcarimg.com/attachments/my/1/73/09/914_120.jpg,支柱会员,5,外观,5,内饰,5,续航,5,空间,5,舒适,5,动力,5,操控,5,性价比,5,购入信息,爱车车型,https://newcar.xcar.com.cn/m69279/,2023款问界M5增程四驱智驾版,购入时间,2023/8/1,购车地点, [北京市],裸车价格,29.98万  (厂商指导价 29.98万),续航里程,210km,购入用途,上班,,,,爱车简评,提车差不多一个月的样子，整体使用感受还是很不错，外观帅气，开出去很拉风，内饰有格调，驾驶感受很赞！,实拍图片,https://img1.xcarimg.com//review/20230922/37d6d44329da2bfedb7174fc634e4892.jpg-169x127.jpg,https://img1.xcarimg.com//review/20230922/5418dbb940aedf49d4c465eb20c376db.jpg-169x127.jpg,爱车评价,[最满意],对它满意的地方还挺多，比如：外观、动力、续航、空间等等、,[不满意],[舒适],缺点方面主要都是软件系统的一些小瑕疵，这车硬件方面并没有什么问题，只是希望以后OTA升级能尽快解决这些小问题。,舒适性做的也可以，首先车内隔音效果做的挺好，不管上高速还是在市区，车内基本不会有什么噪音的感觉，其次，座椅的包裹性很好，对腰部的承托很到位,[外观],[操控],外观设计新颖大气，是我喜欢的设计，隐藏电动门把手的设计更是提升了车子的高度，显得科技感满满。,电车响应真的非常快，开起来很舒服，底盘调教的也比较好。方向盘不像一般电车比较轻，还是很好把控的，从油车到电车并没有不适感。,[性价比],[内饰],车子本身有着丰富的配置还有驾驶感受也不错，在同级别中我觉得性价比还是高的,内饰做工和用料都是杠好的，座椅用料也厚道，摸着很舒服，颜色搭配也很舒适，有种赏心悦目的感觉,[续航],续航上，纯电续航标注180，确实可以开到200，有点虚标，不过是反向的，这个让我万万么想到，可能是工况的原因吧，具体的不太了解，反正知道这车续航方面没虚的就对了。,[充电],[空间],充电也方便，快充模式下半个小时就能完成,空间布局合理够用就好了，后备箱我觉得很宽敞，可以放不少东西，出门再也不用担心东西多,[动力],动力的话我觉得舒适模式就够了，实际上这车是有几种模式，其他模式对于我来说还有点激进，动力太猛暂时还不好把控，舒适模式好操控一点，等车开熟了再尝试其他模式。,javascript:;,展开全部
"
    发表于  2023-09    

            
    
    
",xuser1125460,https://image1.xcarimg.com/attachments/my/1/11/54/603_120.jpg,支柱会员,4.88,外观,5,内饰,5,续航,5,空间,5,舒适,5,动力,5,操控,5,性价比,4,购入信息,爱车车型,https://newcar.xcar.com.cn/m69280/,2023款问界M5纯电后驱智驾版,购入时间,2023/8/1,购车地点, [四川省],裸车价格,29.98万  (厂商指导价 28.98万),续航里程,520km,购入用途,上班,购物,自驾游,,爱车简评,选这款的理由很简单，我觉得这款性价比最高，用车场景就是城市代步，双电机的动力在城市里面也施展不开，单电机可能更合适，最关键的是有智能驾驶，车机跟另外几个版本也没有区别，感觉很合适。,实拍图片,https://img1.xcarimg.com//review/20230922/558ce8ec2f9ba8667f2fd8c460103d0d.jpg-169x127.jpg,https://img1.xcarimg.com//review/20230922/7be4be3fdcfcaceebdf69120c282b5b3.jpg-169x127.jpg,爱车评价,[最满意],刚提的纯电后驱智驾版，提车后第一时间升级了车机，以前的车机感受不太了解，反正现在用着很顺手，流畅、智能。360全景影像经过电脑处理后看起来像是游戏里面的第三视角，可以随便调节从任何角度看这台车。HUAWEI ADS 2.0高阶智能驾驶体验不错，最开始很紧张，后面越来越放心，自己开在城市里面非常方便。总的来说比较满意，享受到了很多不一样的东西。,,[舒适],,第二排的舒适性中等偏上，前后座的距离很大，我身高175，坐在上面脚怎么伸都可以，座椅还比较软，但是头部空间一般，在车外看着这车挺大挺高的，进入车内发现地台基本纯平的，舒适感非常不错。,,[操控],,安静、动力好、开着轻松。只有一个电机，行驶中很安静。踩油门有推背感，我很喜欢这车城市里面加速的感觉，反应很快，加速超车很有信心。方向盘的阻尼偏重，这个设计我很满意，我比较喜欢开方向盘重一点的车。前后方预警很灵敏，有时候距离还挺远就开始提示，我觉得有点太频繁了，把预警的距离调到了最短。,[性价比],,23款纯电后驱智驾版，坐标成都，裸车价29.98万，没有现金优惠，赠送了几万块的权益，还不错。,,,,,,,,,,https://newcar.xcar.com.cn/5440/review/comment-435048.html,展开全部
"
    发表于  2023-09    

            
    
    
",xuser1183909,https://image1.xcarimg.com/attachments/my/1/17/39/092_120.jpg,青铜长老,4.88,外观,4,内饰,5,续航,5,空间,5,舒适,5,动力,5,操控,5,性价比,5,购入信息,爱车车型,https://newcar.xcar.com.cn/m69280/,2023款问界M5纯电后驱智驾版,购入时间,2023/7/1,购车地点, [重庆市],裸车价格,28.98万  (厂商指导价 28.98万),续航里程,530km,购入用途,上班,购物,自驾游,,爱车简评,第一次去主要是静态体验了一下，在我心里面整体感觉有70分，回家后越想越觉得喜欢，于是又找了个周末去店里面试驾，预约过程很顺利，开了十公里左右最大的感受就是特别好开。,实拍图片,https://img1.xcarimg.com//review/20230922/1b61fd0f2e5fcfc716ff2dbab496a3f1.jpg-169x127.jpg,https://img1.xcarimg.com//review/20230922/9e903505426763060c7f62422eecb857.jpg-169x127.jpg,爱车评价,[最满意],提车两个月仍然很有新鲜感，此前对AITO问界M5纯电智驾版的了解不多，今年三月份的时候无意间在网上看到智驾版即将上市的消息，再一看价格，着实让我有点行动，手里开的车有些年份了，换车也提上了日程，M5智驾版上市以后，我抱着随便瞧一瞧的心态去店里面看了一下，销售人员非常热情，也非常专业的给我讲解这台车的相关配置和信息。本来这车在我心目中已经有70分了，试驾之后就直接80分往上了，很自然的就定了车。,[不满意],[舒适],各方面表现都还可以，没什么不满意的。,舒适感不错的，家里人都说坐着舒服。,[外观],[操控],颜值方面大同小异，没有太惊艳的地方，现在车辆也都差不多的，我主要考虑到驾驶的感受和安全性会比较重要，颜值对我说来说不是很重要。,关于操控，我认为这是一台开着有激情的车，动力不用担心，相当充沛，油门和刹车都比较线性。转向精准没有虚位，过弯的时候特别爽，整车开起来的路感是比较清晰的，路面的情况驾驶员都能感觉的到。,[性价比],[内饰],关于价格，我是买的是纯电后驱智驾版，车价没有优惠，我也没有置换。做的三年免息贷款，首付6层17万，月供3300。保险买的不是很多，就买了车损和第三方责任险，总共5千出头。,做工精致，也没什么异味，之前去试驾有些车气味就比较重。,[续航],省钱，没考虑油车。,[充电],[空间],现在充电那么方便，和物管打好招呼就可以在车位安装充电桩。充电来说不是什么问题。,家用还可以，坐着也不会感觉到拥挤。,[动力],动力方面很不错，汽车系统语言控制，自动泊车，智能又便捷。,https://newcar.xcar.com.cn/5440/review/comment-435047.html,展开全部
"
    发表于  2023-09    

            
    
    
",xuser1740988,https://image1.xcarimg.com/attachments/my/1/73/09/881_120.jpg,青铜长老,4.88,外观,5,内饰,5,续航,5,空间,5,舒适,4,动力,5,操控,5,性价比,5,购入信息,爱车车型,https://newcar.xcar.com.cn/m69280/,2023款问界M5纯电后驱智驾版,购入时间,2023/7/1,购车地点, [江苏省],裸车价格,28.98万  (厂商指导价 28.98万),续航里程,160km,购入用途,上班,购物,接送小孩,,爱车简评,颜值在线、空间也大、续航够长，它的配置不管是鸿蒙智能座舱还是智能驾驶辅助系统，都是在新能源汽车中配置，算是顶配的,实拍图片,https://img1.xcarimg.com//review/20230921/4e18e10841208f3188cab9d07da8b543.jpg-169x127.jpg,https://img1.xcarimg.com//review/20230921/168881dc724f3389c20406a52145bbfb.jpg-169x127.jpg,爱车评价,[最满意],所以还是选择带智能驾驶的会好些，我比较满意这款车的底盘调教，在遇到不平整的路段，这款车的减震效果还是很好的,[不满意],[舒适],隔音也做的不错啊，在高速上会有一些音噪，但并不大。,汽车的系统越来越智能，开车的过程还是比以前的车更省心，以前会觉得智能驾驶不是特别重要，其实人都有想偷懒的时候，一旦用过智能驾驶，以后还是不想用传统的车。,[外观],[操控],这款车的外观前脸看一眼就很有时尚气息，而且有很多自己独特的设计，比如这款车的车鼻子像一个鲨鱼一样，线条特别流畅，再加上他20寸轮毂，十分具有运动感，也体现了它的与众不同。,我买的是纯电智驾版，我看中这款车，主要就是他有辅助驾驶功能，我个人倒是不太需要智能驾驶，但我老婆开车的技术并不是很好，有时候考虑到她也需要开车，,[性价比],[内饰],AITO问界M5颜值在线、空间也大、续航够长，它的配置不管是鸿蒙智能座舱还是智能驾驶辅助系统，都是在新能源汽车中配置，算是顶配的，并且它的底盘和悬架也并不比其他豪华型的车差到哪里去，材质和隔音效果也明显，比其他的车型提高的更多,内饰比较简单，不像现在制造的车那样，有很多复杂的装饰和大屏幕，车的仪表台都是软质的皮质包裹起来，座椅也有通风加热功能，这款车给人的感觉就是第一眼看起来很惊艳，而且是越看越喜欢。,[续航],30万左右没有超出我的预算，价格方面我也比较满意，主要是我没想到30万左右可以买到这么称心如意，并且带有智能驾驶的纯电车，汽车的配置我也很满意，续航里程也是实际的，充电方便也挺快，具体呢，还是要留给时间来考验，但目前来看，这款车还是值得。,[充电],[空间],这款车给我的感觉很舒适，开车的过程也很安静，不会像油车那样启动的时候还有很大的声音，在100码以内几乎都没什么声音，上高速会有，AITO问界M5驾驶时方向盘很轻，转弯也特别稳。,车比较宽，对于空间来说是一个优点，但是对于在一些商场停车位比较紧张的地段，车太宽也成为了一个缺点，就是停车位窄的地方不太好停进去。但这在空间方面也成为了AITO问界M5的优点。,[动力],在市区开着是足够了，满电的情况下可以跑160公里,https://newcar.xcar.com.cn/5440/review/comment-435045.html,展开全部
"
    发表于  2023-09    

      
        
    
    
",古坡叶落脚,https://image1.xcarimg.com/attachments/my/1/76/98/731_120.jpg,支柱会员,4.88,外观,5,内饰,5,续航,5,空间,5,舒适,5,动力,5,操控,4,性价比,5,购入信息,爱车车型,https://newcar.xcar.com.cn/m69281/,2023款问界M5纯电四驱智驾版,购入时间,2023/3/1,购车地点, [北京市],裸车价格,28.98万  (厂商指导价 30.98万),续航里程,560km,购入用途,上班,购物,接送小孩,自驾游,爱车简评,我感觉问界M5智驾版的设计还是比较出众的，整车的造型像是流线型的模样，莫名有种张力在里面，配合进气格栅，整体效果比较稳重，踏实，所以看到这车的第一眼就被吸引了。,实拍图片,https://img1.xcarimg.com//review/20230921/896a0938f586e9f05aa6a504138980cf.jpg-169x127.jpg,,爱车评价,[最满意],我感觉问界M5智驾版的设计还是比较出众的，整车的造型像是流线型的模样，莫名有种张力在里面，配合进气格栅，整体效果比较稳重，踏实，所以看到这车的第一眼就被吸引了。,[不满意],[舒适],这车的很多功能我都没琢磨透。后期再更新心得,驾驶过程中身体还是很轻松的，座位柔软,[外观],[操控],外观是我觉得还不错，问界M5智驾版不像其他SUV一样高大胖,主要是因为我想等车再熟悉一点了再使用智能驾驶。这车的很多功能我都没琢磨透,[性价比],[内饰],对于同价位的车型来说，这车的性价比可以给个99分了,内饰最吸引我的就是这块15.6英寸的中控大屏,[续航],续航里程是1300多公里，现在开了1200多公里，续航显示还有600多公里,[充电],[空间],每天在家里自己的充电桩上面充,前排调好驾驶位后，后排的膝盖到驾驶位有两拳多的距离，头顶也有一拳半，总体上在后边坐着属于比较宽敞的,[动力],整体效果比较稳重，踏实,,
"
    发表于  2023-09    

      
        
    
    
",太空空空,https://image1.xcarimg.com/attachments/my/1/76/99/013_120.jpg,青铜长老,4.75,外观,5,内饰,5,续航,5,空间,5,舒适,4,动力,5,操控,4,性价比,5,购入信息,爱车车型,https://newcar.xcar.com.cn/m69279/,2023款问界M5增程四驱智驾版,购入时间,2023/5/1,购车地点, [广东省],裸车价格,28.98万  (厂商指导价 29.98万),续航里程,560km,购入用途,上班,接送小孩,自驾游,,爱车简评,全景天幕透亮，后排乘客反应空间敞亮。隔音好。关了车窗，车内很安静。,实拍图片,https://img1.xcarimg.com//review/20230921/d2ee042e91b64475703d77885e1e2703.jpg-169x127.jpg,https://img1.xcarimg.com//review/20230921/bf89f93771d7d9775ead60b0c5cd6abc.jpg-169x127.jpg,爱车评价,[最满意],滤震效果太棒了，底盘确实扎实。,[不满意],[舒适],反正我感觉不太方便。其实NFC功能的交通卡我不太用的，但是又不能删。怎么把华为的车钥匙和交通卡换个位置呢？,舒适模式下，我只要不踩油门，就会慢慢减速，很适合上下班开城市道路，省电。,[外观],[操控],全景天幕透亮，,但是显示消耗的里程怎么和高德告诉我的里程一样，甚至更少，难道空调音乐都不耗电的么?。,[性价比],[内饰],里程很扎实，我开车，开空调，听音乐，夜间也开灯的。,隔音好，关了车窗，车内很安静。,[续航],续航太长后也是一种烦恼，长时间不拿发动机来跑一跑我还真担心会坏。,[充电],[空间],很适合上下班开城市道路，省电。,我这身高体重，坐在主驾后面，很宽敞的(主驾是个200斤的胖子)。,[动力],不夸张的说，这是油车不能比的，开着舒服。,,
"
    发表于  2023-09    

      
        
    
    
",xuser1527653,https://image1.xcarimg.com/attachments/my/1/51/76/532_120.jpg,支柱会员,4.38,外观,5,内饰,3,续航,5,空间,4,舒适,3,动力,5,操控,5,性价比,5,购入信息,爱车车型,https://newcar.xcar.com.cn/m69281/,2023款问界M5纯电四驱智驾版,购入时间,2023/7/1,购车地点, [重庆市],裸车价格,30.98万  (厂商指导价 30.98万),续航里程,370km,购入用途,上班,,,,爱车简评,对这款车整体的满意度还是很高的，选择它作为家用车也是经过深思熟虑，总的来说，还是值得！,实拍图片,https://img1.xcarimg.com//review/20230921/c7ca1b217a2dc7adbca6428e67007fd6.jpg-169x127.jpg,https://img1.xcarimg.com//review/20230921/2167a8bdedfe149bf299568b092843ca.jpg-169x127.jpg,爱车评价,[最满意],车子让我满意的地方还多，首先第一点就是它的外观，高颜值高设计，我喜欢。第二点动力，4.5秒的加速成绩，完全不用担心。第三点车机系统，好用还很方便。.,[不满意],[舒适],个人感觉座椅长度不够长，并且还没有腿托，我身高175，坐在驾驶位大腿还要空一截，后排座椅也存在这个问题，还有就是座椅不够柔软，只能算中上水平，好在这车的内饰没啥异味。,座椅长度不是特别长，并且还没有腿托，柔软度也没有我想象中那么好，只能算中上水平，好在这车的内饰没啥异味。,[外观],[操控],前脸两侧的大灯显得车子很有精气神，侧面线条设计时尚有力，提升了车子的运动感，尾部造型圆润，给我稳重的安全感。,上手简单，就算是新手也很好操控，方向盘轻盈，开起来不费力。,[性价比],[内饰],性价比仁者见仁智者见智，我觉得是不错。,简单大气的内饰设计，让车子看起来更有科技感。隔音做的不错胎噪风燥都很小，高速路上即使速度超过了120码，在车里都听不到什么胎噪和风噪，如果再把音乐打开，完完全全的盖过所有声音。,[续航],续航里程够用，选它作为家用车我觉得是可以的。,[充电],[空间],充电快，小区门口就设置了充电桩，完全没有续航压力,车内空间够用，我178的身高，坐在前排头部还有一圈的位置，后排日常坐下三个人也没有问题。,[动力],我选的四驱版，动力非常猛，超车绝对是随便超，偶尔开下运动模式体验一下极致的推背感,javascript:;,展开全部
"
    发表于  2023-09    

      
        
    
    
",青岛啤酒tsin,https://image1.xcarimg.com/attachments/my/1/05/76/402_120.jpg,支柱会员,5,外观,5,内饰,5,续航,5,空间,5,舒适,5,动力,5,操控,5,性价比,5,购入信息,爱车车型,https://newcar.xcar.com.cn/m69281/,2023款问界M5纯电四驱智驾版,购入时间,2023/5/1,购车地点, [江苏省],裸车价格,30.98万  (厂商指导价 30.98万),续航里程,200km,购入用途,上班,购物,接送小孩,自驾游,爱车简评,车子开回来很久了说一下AITO问界M5纯电智驾版在我眼里脱颖而出的原因吧。,实拍图片,https://img1.xcarimg.com//review/20230921/8f9d5bafcc96939f1299c89a2228ce6d.jpg-169x127.jpg,https://img1.xcarimg.com//review/20230921/eb61881179b35556ef4f90f437589af9.jpg-169x127.jpg,爱车评价,[最满意],内饰风格我比较喜欢，我对AITO问界M5纯电智驾版内饰的评价就是很温馨，,[不满意],[舒适],车子用了这么久了没有什么不满意的地方，有了这车我的出行生活方便了许多,主要还是想体验些新鲜一点的东西，智能驾驶就让电车的可玩性变高了。,[外观],[操控],我去店里第一次看到它的时候，第一反应就是前脸特别像外星人，大灯简直太像眼睛啦，有点炫酷。整体外观比较圆润，车身线条很流畅，虽然看着简洁，但仔细一看又觉得很多细节都特别有意思，前挡风玻璃的正上方有个隆起的激光雷达，很显眼，光看外观就感觉这车很有科技感。,方向盘的力度恰到好处，转向的精准度也非常高，我开了没几次就能完全上手了。,[性价比],[内饰],AITO问界M5纯电智驾版刚好30万以内就能落地。当然肯定有比它更便宜的电车，但是在有智能驾驶的电车里面，AITO问界M5纯电智驾版算得上比较便宜的一台车，其他的基本上都是三十大几万，有点超过我的预算了，我最开始的打算就是花30万买一台智能一点的电车，智能驾驶要有，买电车也不是单纯的为了代步，主要还是想体验些新鲜一点的东西，智能驾驶就让电车的可玩性变高了。,内饰很有质感，中控屏幕的大小合适，功能分区做得井井有条。我看的其他几台车的内饰都是清一色的大连屏，这点我不是很喜欢。,[续航],续航表现我也是很满意的,[充电],[空间],我家有充电桩一点呀不用担心，没电的时候充上就好,因为是自己开所以对空间方面没什么要求。我觉得还不错,[动力],开起来很轻松，性能输出比较稳定，超车加速的话平顺性也很好。,javascript:;,展开全部
