字段1_文本,字段2,字段3
张皮皮7680,2023-09-06 首次发表,"
            
                
                    7637km
                    
                    行驶里程
                
                
                
                
                
                    16.0kWh
                    春秋电耗
                
                
                
                
                
                
                    440公里
                    春秋续航
                
                
                
                

                
                
                    18.59万
                    裸车购买价
                
                
                    2023-07
                    购买时间
                
                
                    广州
                    购买地点
                
            
            
    
        
            
        
    
    

    
        $(document).ready(function () {
            var koubeiid = 5137084;

        });

    


            
                最满意
                这个车最满意的就是，就是无与伦比的乘坐空间，反正我做过同价位甚至是更高价位的车，没有任何一台车的乘坐空间能与埃安VP（五座）相提并论。
无论是前排主副驾空间，还是后排乘客的空间，本人身高175，体重190+，无论是在主副驾还是在后排乘坐，前后左右宽度和头顶高度都是无比舒适，三个人坐后排也非常合适，与其他同级别SUV相比，就是头等舱和经济舱的区别。
另外一个特别满意的点就是座椅的感觉，软硬非常适中，前排座椅可以纯平放倒，对于经常外在出差或者需要午休的我，设计非常友好，休息时候空调的耗电量，一小时相当于5公里左右的消耗量，这种消耗可以接受的，尤其是广东珠三角地区使用，冬天几乎可以忽略不计，充电也非常方便，目前没有里程焦虑。
            
            
                最不满意
                最不满意的地方就是为了做大驾乘仓的空间，牺牲了尾箱的尺寸，尾箱深度相较于同级别SUV（之前开的是传祺GS4混动），个人感觉最少少了10-15cm。
            

            

    空间
        
            
            
        
        5
    
    
    空间设计个人给到95分以上，因为对我个人而言，这辆车属于增购车辆，属于上下班通勤用车（上下班往返100公里，插混车都扛不住费用），广东省内使用优先选择这辆车，就不会有太多后备箱使用的机会，把平时不怎么使用的空间，增加到了前后排的乘坐空间，真的坐过我车的人没有一个不喊哇噻的，埃安的车辆空间设计师要加鸡腿！
    
    
    
    
    


    
    
    
    


    
    
    
    


    
        ☆ 空间设计亮点
        个人感觉中控扶手箱的设计挺用心的，既为手部提供了支撑力，又合计利用中控位置的竖向空间，储物空间相较于其他车辆发了很多。
        
        
    
    
    
    


    






                

    驾驶感受
        
            
            
        
        5
    
    
    之前开的也是广汽的插电混动，感觉城市内部电车驾驶体验感是普通燃油车无法比拟的，我老婆的325Li M高速会开的更舒服一些，但是在市内道路，我老婆嚷嚷着要跟我换车开。
    
    






            

            




            

    续航
        
            
            
        
        4
    
    
    官方续航里程500km，实际上市内的话，420-450km没啥问题，但是所有电动车的高速续航都很虚，目测广深跑一趟来回，330-370km的样子，不过买之前就了解过了，算符合心理预期。
每两三天在家里充一次电，一小时充6-7度电左右（一小时9%），基本上0点-8点，就能充满了，阶梯用电也才2毛7一度电，一共也才15块钱就可以充70%-80%，比以前有车省钱多了，有私人充电桩真的太幸福、太友好了。
    
    
    
    
    


    





            
            

    外观
        
            
            
        
        5
    
    
    外观我和我老婆也是很喜欢的，属于圆胖圆胖的感觉，我老婆在之前买GS4混动时候，就很想买途观L（老款），圆圆胖胖超可爱，现在终于买了一辆她满意的车车。
关于一个大老爷们为啥选紫色，就是因为APP下定的一直不排产（据说是因为选了黑色），后来等了一个月实在等不及了，果断选择店里现车（天窗版选择太少），又需要黑色内饰，只有这淡紫色合适。
一开始还想着去贴个改色膜，但是后来开着开着，发现这个颜色真的挺好看挺耐脏，就是有点不太适合大兄弟开，转念一想老婆喜欢这个色，就由她去吧（其实自己也不想改了）
    
    
    
    
    


    





            

    内饰
        
            
            
        
        5
    
    
    内饰做工中规中矩，基本上能直接摸到的地方都是软包，座椅虽然不是真皮座椅，但是皮质也还算舒服，软硬程度的舒适性也非常不错，同事们坐过都赞口不绝，我已经放弃了公司午休床了，VP已经成为我的午休神器了。
    
    





            

    性价比
        
            
            
        
        5
    
    
    性价比还行，因为订车就是在6月25日订的，没有任何优惠，最后送了备胎和终身免费保养。
    
    





            
                

    智能化
        
            
            
        
        5
    
    
    24款比23款语音交互有所升级，已经可以连续识别指令，不需要一个指令执行完再去执行下一个指令，就比如我需要空调调整24度，关闭全车车窗，打开内循环，打开座椅通风，这些指令可以一次性就说完车辆就会执行了，语音识别也算比较清晰。
车机自带的app有个我老婆特别喜欢的视频app“芒果TV”，每次我老婆上车就打开芒果TV看综艺，她对这车非常满意，基本只要一家人出来，就会选择这辆车，名副其实的家庭有AI的suv。
目前还不支持QQ音乐和腾讯视频，这是稍微有点遗憾的地方，听音乐个人还是习惯用QQ音乐，不过无大碍，蓝牙播放也很方便，上车自动就连接了。
    
    
    
    
    


    




            

            



        "
福州车友2325635,2023-08-23 首次发表,"
            
                
                    1000km
                    
                    行驶里程
                
                
                
                
                
                
                    12.0kWh
                    夏季电耗
                
                
                
                
                
                
                    500公里
                    夏季续航
                
                
                

                
                    400公里
                    冬季续航
                
                
                    20.29万
                    裸车购买价
                
                
                    2023-06
                    购买时间
                
                
                    福州
                    购买地点
                
            
            
    
    

    
        $(document).ready(function () {
            var koubeiid = 5115498;

        });

    


            
                最满意
                选择AION V Plus也是经过多重筛选，最终还是觉得VP的空间更实用，还有底盘也够高，方便出去自驾游，户外露营什么的，也是因为VP才有跟家人更多的相处时间。动力还非常好了，这么大的车，开起来非常轻快，无论是加速踏板，转向，刹车，都能给你轻盈的感觉。完全不觉得在开一台大车，动力非常满意了，这么大的🚗，开起来非常轻快，无论是加速踏板，转向，刹车都能给我一种全新的感觉，完全不觉得在开大车，外观脉冲蓝也非常好看 高端大气上档次，很有未来感设计感觉，分体式大灯，很是满意，非常不错，内饰做工也非常满意，还有就是车内的空间也是非常的大，家人身高不算高大，空间足够使用，乘坐的也非常舒服，每个位置都很大，综合来说的话性价比还是非常的高，18万这个价位，可以选择的还是很多，但是仔细分析，从品牌，市场效应，产品实力看其实也没多少合适的，通过对比比亚迪，特斯拉 小鹏，领跑等等还觉得其他有点小，最后还是选择了埃安，质量不错，信的过
            
            
                最不满意
                底盘过坑晃动比较大只能说舒适和操控不可前得
            

            

    空间
        
            
            
        
        5
    
    
    18万这个价位，可以选择的还是很多的，但是仔细分析，从品牌，市场效应，产品力看其实也没多少合适的，对比过比亚迪，还有小鹏其他的都比较小众。最后也是因为埃安信得过，路上也这么多在跑，质量过关。
    
    
    
    
    


    
    
    
    


    






                

    驾驶感受
        
            
            
        
        5
    
    
    驾驶感觉动力非常满意不错很好开一个很不错品牌
    
    
    
    
    


    
    
    
    


    






            

            




            

    续航
        
            
            
        
        5
    
    
    因为夏天经常开空调，电车的优势非常凸显，可以提前开空调，停车也随便在车里呆着很方便呢。甚至可以在车内吃吃喝喝都可以，所以夏天空调的频率使用是非常高的，所以电耗也相对上升，在我看来，电耗只是数字，没必要太在意，在正常开的话，市内大概17电耗，高速也要19吧。
    
    





            
            

    外观
        
            
            
        
        5
    
    
    外观方面当然是喜欢这台车的比较高达，而且很有未来感的线条设计，尤其这种少有的分体式大灯设计，刚开始看到还是很特别的
    
    
    
    
    


    





            

    内饰
        
            
            
        
        5
    
    
    内饰做工其实是满意的，门板中控台都有皮质包裹，算是比较良心，加上银色的点缀，让车看起来有高级感。
    
    
    
    
    


    





            

    性价比
        
            
            
        
        5
    
    
    18万这个价位，可以选择的还是很多的，但是仔细分析，从品牌，市场效应，产品力看其实也没多少合适的，对比过比亚迪，还有小鹏其他的都比较小众。最后也是因为埃安信得过，路上也这么多在跑，质量过关。
    
    
    
    
    


    
    
    
    


    





            
                

    智能化
        
            
            
        
        5
    
    
    车内车机很好用系统更新很快导航很准真心推荐
    
    




            

            



        "
权权权,2023-08-21 首次发表,"
            
                
                    1100km
                    
                    行驶里程
                
                
                
                
                
                
                    18.0kWh
                    夏季电耗
                
                
                
                
                
                
                    420公里
                    夏季续航
                
                
                

                
                
                    18.59万
                    裸车购买价
                
                
                    2023-07
                    购买时间
                
                
                    连云港
                    购买地点
                
            
            
    
        
            
        
    
    

    
        $(document).ready(function () {
            var koubeiid = 5112007;

        });

    


            
                最满意
                最满意的地方就是空间，空间很大，用网上的流行语言说在后排坐着翘二郎腿，真让人羡慕，哈哈哈。
入手不到一个月，开了1000多公里，感觉操作很简单，和油车最大的区别就是起步快，是真的快，虽然埃安vpuls起步和其他电车比不算最好，但是和油车比算很优秀，其次就是驾驶平稳，地盘非常好，当时去4s店看，就是看好这种底盘。因为平时就是上下班代步用，家里4口人想空间大一点。所以看到第一眼就非常满意，果断下手买下，70科技版。
            
            
                最不满意
                因为刚开了一个月左右，还没发现什么大问题，续航的话还比较满意，因为一直开空调，满电差不多打7-8折。
            

            

    空间
        
            
            
        
        5
    
    
    空间没话说，就是一个字大，当时就是看好他的空间。一家四口坐的空空荡荡的，尤其是后排跷二郎腿还有空间，中间的扶手稍微改动了一下，感觉储物空间又多了，档位变成了怀档。
    
    
    
    
    


    
        乘坐空间
        我身高180，坐驾驶位一点都不挤，然后再去后排试了一下，前面还有4拳左右。空间是真的大，关键前排可以放倒，秒变大床。
        
        
    
    
    
    


    
    
    
    


    
    
    
    


    






                

    驾驶感受
        
            
            
        
        5
    
    
    加速很快，因为之前开的都是油车。换了电车，起步是真的快，没有什么动挫感，尤其是突然加速，超车就是一脚的事，有5种模式，暂时只用了3种，后面慢慢感受，方向盘轻重正好，刹车每种模式都不一样，很容易适应。
    
    
    
    
    


    






            

            




            

    续航
        
            
            
        
        4
    
    
    暂时1000多公里，夏天一直开空调，整体百公里用电18.5左右，没有满电满放过，500公里续航估计400公里肯定能跑到，家里装了充电桩，充满电的话要8个多小时，整体比较满意，后面继续测试看看单踏板模式，好多人说单踏板回收电能，耗电少。
    
    
    
    
    


    
    
    
    


    





            
            

    外观
        
            
            
        
        5
    
    
    外观的话和老款没有什么区别，整体来说不算丑，个人感觉有点胖胖的，所以大家都叫他胖V，当时选的全吸引也叫变色龙，就是在太阳底下会变颜色，但是个人感觉太阳底下颜色不怎么好看，还是没有阳光的情况下比较好看，有点蓝蓝的。车的整体流线还是比较满意的，毕竟空间大嘛。
    
    
    
    
    


    
    
    
    


    
    
    
    


    





            

    内饰
        
            
            
        
        5
    
    
    首先我想说的是新车味道一点都不大，整体内饰选择是黑色的，成稳大气，那是有没有还行，不算太简单。我选的是70科技版，该有的配置都有了。好多功能都没用，什么香氛，空气指数等等。
    
    
    
    
    


    
    
    
    


    
    
    
    


    





            

    性价比
        
            
            
        
        5
    
    
    性价比还算可以，因为是新款第一批买的，18.59裸车价，落地价格也是18.59，其他都免了，保养的话还没去过，售后也没问题，埃安这个品牌因为y和s销量摆在那，不会让人失望的。
    
    
    
    
    


    





            
                

    智能化
        
            
            
        
        5
    
    
    操作车的能用语音基本都可以，关闭车窗天窗，开启空调，开启雨刮器，播放音乐导航等等等等。没有出现卡顿现象。语音可以选择不同的说话方式，感觉电车的功能很多很多，后面还需要自己慢慢去了解，慢慢学习怎么操作。
    
    




            

            



        "
afq68zf,2024-03-09 首次发表,"
            
                
                    3567km
                    
                    行驶里程
                
                
                
                
                
                    18.8kWh
                    春秋电耗
                
                
                
                
                
                
                    425公里
                    春秋续航
                
                
                
                

                
                
                    20.93万
                    裸车购买价
                
                
                    2023-12
                    购买时间
                
                
                    杭州
                    购买地点
                
            
            
    
        
            
        
        
            
        
        
            
        
        
            
        
        
            
        
        
            
        
    
    

    
        $(document).ready(function () {
            var koubeiid = 5308631;

        });

    


            
                最满意
                最满意的是舒适度，除了电车的噪音小之外，座椅的设计也很重要，坐在驾驶位上，感觉靠背的硬度和坐垫的柔软度刚刚好，正好我还有腰椎间盘突出的老毛病，这样一个设计合理的座椅真是太香了。
            
            
                最不满意
                外形没有那么如意吧，我其实看中了另一个车的外观，但是那台车的实力不行，配置有点少，座椅也不舒服，后来就在颜值和实力之间选择了后者。
            

            

    空间
        
            
            
        
        5
    
    
    空间还是挺大的，驾驶位座椅可以放下来，工作累的时候就能在车里休息一会儿了。后备箱的空间也不错，上次帮领导拉东西，一下子装了好几大箱，给我节约了不少时间呢。
    
    






                

    驾驶感受
        
            
            
        
        5
    
    
    提速很稳，起步相当快，几乎是脚刚碰到踏板，速度就提上了，操控方面，只要熟练了，驾驶起来都会非常流畅。
    
    






            

            




            

    续航
        
            
            
        
        5
    
    
    最冷的时候续航是420公里左右，有时天气暖和了，路况也比较好，续航就能达到440左右，我还是挺满意的。
    
    





            
            

    外观
        
            
            
        
        4
    
    
    外形有点一般，只能说看着挺顺眼的，与时尚前卫还有一定的距离，不知道是不是我要求太高了。
    
    





            

    内饰
        
            
            
        
        5
    
    
    内饰的整体表现是很有科技感的，用料很不错，都是电动车，有的车里就有很浓重的气味，它就没有这个问题。
    
    





            

    性价比
        
            
            
        
        4
    
    
    价格稍微高了一点点，这是买车时的感觉，现在用着不错，也觉得物有所值了，毕竟一分钱一分货嘛，那些便宜的，无论是实力还是做工都不行。
    
    





            
                

    智能化
        
            
            
        
        5
    
    
    智能化的表现我还是很满意的，像远程启动，还有各种驾驶硬件，功能非常多样化，日常开车的时候也很有实用性。
    
    




            

            



        "
武汉车友1876326,2024-03-09 首次发表,"
            
                
                    2238km
                    
                    行驶里程
                
                
                
                
                
                    18.2kWh
                    春秋电耗
                
                
                
                
                
                
                    290公里
                    春秋续航
                
                
                
                

                
                
                    15.72万
                    裸车购买价
                
                
                    2024-01
                    购买时间
                
                
                    武汉
                    购买地点
                
            
            
    
        
            
        
        
            
        
        
            
        
        
            
        
        
            
        
    
    

    
        $(document).ready(function () {
            var koubeiid = 5308547;

        });

    


            
                最满意
                最满意的地方就是价格公道，实力较强，还有我对售后服务也挺满意的，人家这个跟踪服务做得真是到位，经常会提醒用车的一些注意事项。
            
            
                最不满意
                也不是太严重的问题，就是两个小缺点吧，第一，速度在60以上的时候有风噪声，不过平时都是在市里开，噪音不是那么明显。第二，车机系统偶有卡顿，流畅度不是那么好。
            

            

    空间
        
            
            
        
        5
    
    
    从外观看，尺寸不算大，但空间利用率还真是高的，两排座椅都很宽敞，里面的小储物格也都很丰富。
    
    






                

    驾驶感受
        
            
            
        
        5
    
    
    每个人感受不同吧，我开着的时候就觉得这个车提速比较快，方向盘和刹车都很灵敏，倒车的时候有360度全景影像的帮助，也不是什么难事儿。
    
    






            

            




            

    续航
        
            
            
        
        5
    
    
    续航和我想象的差不多，天气冷的时候，续航会受点影响，用电也会高一点，这也没什么，到了夏天就会好起来的。
    
    





            
            

    外观
        
            
            
        
        5
    
    
    车头设计挺好看的，车身线条很流畅，到了尾部的时候略显平淡，不过整体感觉还不错，挺时尚的。
    
    





            

    内饰
        
            
            
        
        4
    
    
    看车的时候听见关门的声音，我认为这个钢板还是很厚重的，但不知道是哪里做得不到位，隔音效果一般，速度快的时候还是能听见外面的风噪声。
    
    





            

    性价比
        
            
            
        
        5
    
    
    性价比挺好的，在买车的时候，我就觉得这个车从价格和实力上来说，都比其他车好一点，再加上用车之后，每隔一段时间4s店就会跟踪服务，这一点还挺好的，让我用着更踏实了。
    
    





            
                

    智能化
        
            
            
        
        4
    
    
    大部分时间表现的都可以，奇怪的是，每次导航时，车机的流畅度都很好，但看视频就会有卡顿感。
    
    




            

            



        "
思念幻化成了海,2024-03-07 首次发表,"
            
                
                    3317km
                    
                    行驶里程
                
                
                
                
                
                    18.0kWh
                    春秋电耗
                
                
                
                
                
                
                    355公里
                    春秋续航
                
                
                
                

                
                
                    19.35万
                    裸车购买价
                
                
                    2023-12
                    购买时间
                
                
                    广州
                    购买地点
                
            
            
    
        
            
        
        
            
        
        
            
        
        
            
        
        
            
        
        
            
        
    
    

    
        $(document).ready(function () {
            var koubeiid = 5307702;

        });

    


            
                最满意
                最满意的地方就是用着很顺手，各方面都很合适。再就是这些智能化配置帮助挺大的，本来不喜欢开车，现在有了中控屏幕和各种娱乐功能，开车变成一种享受了。
            
            
                最不满意
                价格有点高吧，原来没打算花这么多钱的，本来是想在19万之内解决，现在裸车价格就已经超出预算了，不过根据目前的表现来看，也算是物有所值。
            

            

    空间
        
            
            
        
        5
    
    
    还有七座版本，不过我们家就一家三口开这台五座的车，足够使用了，而且两排座椅都很宽大，这在车里一点也没觉得拥挤。
    
    






                

    驾驶感受
        
            
            
        
        5
    
    
    买这台车就是上下班代步，偶尔带着媳妇孩子外出自驾游，这个车的舒适度还是比较强的，开着也很轻松，只要踩下踏板，提速是杠杠的。
    
    






            

            




            

    续航
        
            
            
        
        5
    
    
    续航目前的平均数据是355公里，天气越来越暖和了，续航有上升的趋势，这也在情理之中。用电情况有的时候16，有的时候19，平均下来18个电吧。
    
    





            
            

    外观
        
            
            
        
        5
    
    
    这个车的漆面喷涂的很均匀，设计上和其他车差不多，就是这个车漆的均匀程度让我很满意。再就是用的板材很厚重，所以坐在车里的时候，不会被外面的噪音打扰。
    
    





            

    内饰
        
            
            
        
        4
    
    
    内饰表现还是挺好的，设计上是我喜欢的类型，做工也没有粗糙的地方，唯一不好的就是有点气味。
    
    





            

    性价比
        
            
            
        
        4
    
    
    目前的用车感受还不错，感觉这个车是买对了，说句老实话，当时买的时候心里还是犹豫不定的，主要是价格有点高。
    
    





            
                

    智能化
        
            
            
        
        5
    
    
    双区域的唤醒识别，还有手机APP远程功能，车里的中控液晶屏涵盖的功能都全了，导航，听音乐，看视频都没问题。
    
    




            

            



        "
吃果酱味奶糖,2024-03-07 首次发表,"
            
                
                    4517km
                    
                    行驶里程
                
                
                
                
                
                    18.6kWh
                    春秋电耗
                
                
                
                
                
                
                    345公里
                    春秋续航
                
                
                
                

                
                
                    17.20万
                    裸车购买价
                
                
                    2023-11
                    购买时间
                
                
                    广州
                    购买地点
                
            
            
    
        
            
        
        
            
        
        
            
        
        
            
        
        
            
        
    
    

    
        $(document).ready(function () {
            var koubeiid = 5307289;

        });

    


            
                最满意
                封闭式前脸设计，我很喜欢，看起来是很简洁的设计，但整体表现出来的是很大气的感觉。再就是做工比较精致，这比我看的另外几款车都好。
            
            
                最不满意
                充电成本不高，但是这个车的续航表现一般吧，现在是冬天，还不好说，等到夏天再看看。
            

            

    空间
        
            
            
        
        4
    
    
    因为是七座车型，从外面看，尺寸是挺大的，但是毕竟是三排的设置，所以最后一排的空间没有那么宽敞，长途乘坐的话，可能会觉得累一点。
    
    






                

    驾驶感受
        
            
            
        
        5
    
    
    驾驶感受是非常棒的，我开油车的时候总免不了手忙脚乱，这个车的驾控就简单了，只要踩下踏板走就是了，想减速的时候抬起脚来就能解决。
    
    






            

            




            

    续航
        
            
            
        
        4
    
    
    买车之前有心理准备，销售员也实话实说了，但是现在的续航还是让我不够满意，要求不高，只要能达到400公里就行啊
    
    





            
            

    外观
        
            
            
        
        5
    
    
    封闭式前脸是电动车的特点之一，不过这个车的大灯很有特色，让它在众多电动车里，一下子就显得与众不同了。
    
    





            

    内饰
        
            
            
        
        5
    
    
    内饰和外形一样，看上去也是简洁时尚，整体用料还不错，值得大赞的是做工，每个细节都很精致，没有一点拉垮的地方。
    
    





            

    性价比
        
            
            
        
        5
    
    
    价格还行吧，买的时候就接受这个价格了，感觉拥有这个配置的车都差不多，这台车的又是是样子好看，做工精致。
    
    





            
                

    智能化
        
            
            
        
        5
    
    
    其实现在燃油车也有很多智能化配置了，但是比来比去，我还是觉得电动车的科技含量更高一点。现在用着最顺手的就是语音识别控制和360度全景影像，尤其是后者，只要是倒车或者过狭窄的通道，这个功能是少不了用的。
    
    




            

            



        "
广州车友8142121,2024-02-07 首次发表,"
            
                
                    6164km
                    
                    行驶里程
                
                
                
                
                
                
                
                    16.0kWh
                    冬季电耗
                
                
                
                
                
                
                     300公里
                     冬季续航
                
                

                
                
                    17.00万
                    裸车购买价
                
                
                    2023-09
                    购买时间
                
                
                    广州
                    购买地点
                
            
            
    
    

    
        $(document).ready(function () {
            var koubeiid = 5293480;

        });

    


            
                最满意
                车内空间很大，带娃家庭必备，而且外观也好看，而且购买的过程服务体验也很好，提车速度是很快的，颜色非常耐看，阳光下还会一闪一闪的，特别好看，空间足够大，小孩在车上可以自由活动，很满意，赠送了充电桩，安装也是很快捷便利的，买了很多埃安的配件车饰，都挺满意的，也赠送了保养之类的，这款车型拥有时尚、运动感十足的外观设计，尤其是其独特的前脸设计和大胆的线条，更是让人印象深刻。此外，24款埃安V plus还配备了许多高端车型的配置，如LED大灯、全景天窗等，这些配置不仅提升了车辆的豪华感，也增加了其实用性。
            
            
                最不满意
                续航还是有所欠缺，如果能增加续航就更好了
            

            

    空间
        
            
            
        
        5
    
    
    空间很大很足够，感觉二胎家庭有两个小孩也没有什么问题
    
    






                

    驾驶感受
        
            
            
        
        5
    
    
    驾驶感受舒适，很静音，男女都可以，声音很安静
    
    






            

            




            

    续航
        
            
            
        
        4
    
    
    续航的时长不太够，还需要进一步加强，高速开只有六成左右
    
    





            
            

    外观
        
            
            
        
        5
    
    
    外观很好看，颜色特别亮眼耐看，里面嗯配饰也算不错的
    
    
    
    
    


    
    
    
    


    
    
    
    


    





            

    内饰
        
            
            
        
        5
    
    
    做工精细，用料好，也没有什么异味，黑色挺好看的
    
    





            

    性价比
        
            
            
        
        5
    
    
    对比过比亚迪，好太多了，性价比也很高，适合年家庭代步使用
    
    





            
                

    智能化
        
            
            
        
        5
    
    
    智能化做的还是可以，买的最基础的版本，很喜欢，电车开起来不费力，出去游玩的次数都多了
    
    




            

            



        "
一颗汤圆子,2024-02-04 首次发表,"
            
                
                    1150km
                    
                    行驶里程
                
                
                
                
                
                
                
                    18.0kWh
                    冬季电耗
                
                
                
                
                
                
                     380公里
                     冬季续航
                
                

                
                
                    17.99万
                    裸车购买价
                
                
                    2023-12
                    购买时间
                
                
                    上海
                    购买地点
                
            
            
    
        
            
        
    
    

    
        $(document).ready(function () {
            var koubeiid = 5292325;

        });

    


            
                最满意
                最满意的首先必须是空间，真的超级大，对比家里油车直接多出来了一倍的空间，之前逢年过节回家跟搬家一样车子塞得满满的现在丝毫无压力，而且车门将近90度开合老人小孩都很方便，后排空间也是无敌，去露营装个小桌子小椅子都没问题。然后就是音响和中控，感觉就是影院级别的，超级赞！中控大屏也非常赞，躺在车上追个剧惬意的很。安全大概也是值得一提的一面，至今0自然底气很足。
            
            
                最不满意
                大概是被打上了网约车标签了吧，不过我倒是觉得没什么，毕竟车子自己用舒服就好。然后还有就是感觉胎噪有点大，雨天更明显些。
            

            

    空间
        
            
            
        
        5
    
    
    北方妹子对空间要求还是挺高的，这款车子乘坐起来很方便，视野又好，尤其后排空间让人惊叹，也是因为空间大才选择了它，小孩子安全座椅自行车什么的都好装。储物盒也很大，可以装很多小物件。后备箱的空间也很大，家用无敌。
    
    






                

    驾驶感受
        
            
            
        
        5
    
    
    起步不肉，动力挺足的，日常通勤用绝对可以，高速超车动力也很足。车子开起来也很稳，很舒适，后排也不像有些电车坐起来会晕。整体平稳舒适。
    
    
    
    
    


    






            

            




            

    续航
        
            
            
        
        5
    
    
    上海用车，平时就上下班周末出去玩开一开，冬天开空调满电能开380左右，夏天还不清楚，毕竟才买没多久，充电很方便到处都是快充站，一周充一次就差不多够用了，充电时在车里追个剧时间不到2小时很快就过去了。
    
    





            
            

    外观
        
            
            
        
        5
    
    
    我选的是极地白的外观，颜色低调也比较有质感，这个颜色老公开着也合适，还挺商务的。在SUV里面颜值我认为算比较高的，车身线条流畅，车灯样式也蛮新颖的，亮度也适中。
    
    
    
    
    


    





            

    内饰
        
            
            
        
        5
    
    
    深色内饰很耐脏，做工精细细节处理的很到位，新车提车时几乎没有味道，座椅软硬适中，坐时间久也不觉得累，隔音有点小瑕疵，感觉雨刮器声音有点大。
    
    
    
    
    


    





            

    性价比
        
            
            
        
        5
    
    
    车子性价比我觉得挺高的，之前有看零跑C11，确实挺漂亮的没得说，但感觉还是国企更稳定一些吧，上海4S店也蛮多的不用担心售后什么的，车子优惠力度也可以，还做了免息贷款感觉还是挺好的，品牌信心还是有的。另外销售也很热情，讲的很让你心动，有时候也是看眼缘，接待的小姐姐亲和力十足，给足你体验感也是选择埃安的主要原因。今天去保养车子还送了口红礼盒，客户维护这方面有点超出期待值了~
    
    
    
    
    


    





            
                

    智能化
        
            
            
        
        5
    
    
    自动泊车轻松搞定，对于有娃家庭来说太友好了，还有智驾模式，目前还没有合适的时机操作，心里还是有点小期待的，语音识别也很流畅，全息影响用起来真的太方便了，再也不用担心边边角角的盲区。系统升级也很方便，不得不说科技真的是改变生活，方便生活呀。车机也很流畅，目前为止都很满意。
    
    




            

            



        "
wlwx1028,2024-01-14 首次发表,"
            
                
                    3358km
                    
                    行驶里程
                
                
                
                
                
                
                
                    21.0kWh
                    冬季电耗
                
                
                
                
                
                
                     380公里
                     冬季续航
                
                

                
                
                    22.96万
                    裸车购买价
                
                
                    2023-10
                    购买时间
                
                
                    南京
                    购买地点
                
            
            
    
        
            
        
        
            
        
        
            
        
        
            
        
        
            
        
    
    

    
        $(document).ready(function () {
            var koubeiid = 5275920;

        });

    


            
                最满意
                整体表现我是相当满意的，这个车的实力在同级别里肯定是数一数二的，根据我看车的情况，它在我的心目中就是第一名。
            
            
                最不满意
                也谈不上不满意，如果真的不满意，就不可能掏钱买下来了，只能说有点小意见吧，第一就是价格贵了点，第二就是车机系统有时会卡一下。
            

            

    空间
        
            
            
        
        5
    
    
    这个车的定位是紧凑型车，但是坐在车里可真没有紧凑的感觉，对我们一家人来说反而很宽敞。
    
    






                

    驾驶感受
        
            
            
        
        5
    
    
    不知道大家开过碰碰车吗，我第一次开电动车的时候就有那种感觉，真是很轻松，就像开个玩具车一样。现在又学会了很多功能的使用，带来的乐趣就更多了。
    
    






            

            




            

    续航
        
            
            
        
        4
    
    
    续航怎么说呢？只能说可以理解吧，冬天用空调暖风的时间比较多，耗电自然也会增多，所以续航有所下降也是情理之中的事。
    
    





            
            

    外观
        
            
            
        
        5
    
    
    白天的效果就已经很时尚了，晚上打开大灯，那种感觉比白天还要强烈，这个外形真是好的没话说，不知道别人怎么看，反正它是长在我的审美上了。
    
    





            

    内饰
        
            
            
        
        5
    
    
    坐到车里，马上就能感觉到高级感，一些细节的地方采用了独特前卫的设计，带来的是一种轻松的氛围感，每次坐在车里都感觉心情舒畅。
    
    





            

    性价比
        
            
            
        
        4
    
    
    车子的综合能力不错，我选的也不是最高版本的感觉，这个配置也已经够用了，如果说价格的话，我觉得稍微贵了那么一点点。
    
    





            
                

    智能化
        
            
            
        
        4
    
    
    车机系统偶尔会出现卡顿吧，整体表现还是不错的，就是有时看视频会有一卡一卡的问题，平时用导航还是可以的。
    
    




            

            



        "
