字段1_文本,字段2,字段3
鼓楼骑行家,2023-02-13 首次发表,"
            
                
                    4680km
                    
                    行驶里程
                
                
                
                
                
                
                
                    23.0kWh
                    冬季电耗
                
                
                
                
                
                
                     370公里
                     冬季续航
                
                

                
                
                    21.80万
                    裸车购买价
                
                
                    2022-10
                    购买时间
                
                
                    北京
                    购买地点
                
            
            
    
        
            
        
    
    

    
        $(document).ready(function () {
            var koubeiid = 4816006;

        });

    


            
                最满意
                最满意的就是极湃1开出去还是挺有面子的。整车看着还是挺小巧可爱的，车漆颜色也是分外好看。像过节走亲访友、工作时候开出去拜访客户都比较有面子，而且纯电车保养维修都简单便宜。
            
            
                最不满意
                提车的周期其实挺长的，价格感觉有点小贵，主要是没赶上优惠的时候购买。
            

            

    空间
        
            
            
        
        5
    
    
    极湃1虽然从外面看着比较小，但是车内空间还是挺大的。像我妹165的身高开车觉得挺宽敞的，座椅还得稍微往前挪一下。我是180的身高，坐前排也就稍微往后挪一点，头顶还有1拳多的距离吧。而且我这腿也不会碰到方向盘，所以开这车感觉很舒坦。车内各种储物小空间还是挺多的，中控前面放水杯的杯架比较深，还是扶手箱里面也挺能装的。门板的储物格我感觉容积也挺深的，能装下不少东西。后备箱还是挺大的，上次去机场接人，放了两个大箱子也没啥问题。
    
    
    
    
    


    
    
    
    


    
    
    
    


    






                

    驾驶感受
        
            
            
        
        5
    
    
    我真挺喜欢极湃1的驾驶感，原来老说纯电车开着容易晕车，但是我感觉我这车就不会。起步的时候挺快的，而且没有什么噪音。电门踩多少极湃1的动力就给多少，关键给的还不会很突兀，所以不会感觉很晕。刹车踏板调节的也不错，不会感觉踩着很硬的，所以急刹刹的住刹的快。车底的底盘看着距地面的距离还是挺高的，也不会担心开过减速带的时候卡底盘。
    
    
    
    
    


    






            

            




            

    续航
        
            
            
        
        5
    
    
    续航整体比较少，但是百公里耗电却不高，像现在天冷冬天老得开暖风，差不多百公里耗电得在23个左右吧。上次跑高速，满电跑个350公里还是可以的，而且高速服务区现在公共充电桩也挺多的，所以也养成了随用随充的习惯。其实极湃1的续航我感觉更时候日常通勤用，上下班开着还是挺好的。
    
    





            
            

    外观
        
            
            
        
        5
    
    
    非常喜欢我这车的车漆颜色，而且我觉得车头的线条设计的简洁又漂亮，而且车脸的设计与众不同是那种方方正正又有点圆润，和车身搭配起来看着还是挺不错的。而且车尾的线条设计的挺年轻的，车尾灯看着示宽效果还是挺好的。我感觉车身做工不错，摸着手感很丝滑。
    
    
    
    
    


    
    
    
    


    





            

    内饰
        
            
            
        
        5
    
    
    内饰整体风格看着很好，座椅缝线很精致，摸着也能感觉用料很高级。座椅坐着很柔软，坐垫可以说软硬适中吧，座椅边边是圆角的设计，这样坐着腿部很舒服。另外就是车内音响音质不错，环绕声效果一级棒。车内也没有什么异味，这点很适合我这种鼻子灵敏的人。
    
    





            

    性价比
        
            
            
        
        4
    
    
    等新车的周期比较长，当时购车比较着急，所以也没有什么优惠，感觉价格稍微有点小贵。但是感觉服务不错，毕竟当时刚提车的时候，车内很多设备不会用，他们都能耐心解答。
    
    





            
                

    智能化
        
            
            
        
        5
    
    
    中控屏用着还不错，也没有什么卡顿，显现色彩还是不错的。而且那个AR实时导航我用着不错，感觉非常适合我们这种不习惯看导航的人。
    
    
    
    
    


    




            

            



        "
别憋着放吧,2023-02-08 首次发表,"
            
                
                    2600km
                    
                    行驶里程
                
                
                
                
                
                
                
                    20.0kWh
                    冬季电耗
                
                
                
                
                
                
                     380公里
                     冬季续航
                
                

                
                
                    21.80万
                    裸车购买价
                
                
                    2022-11
                    购买时间
                
                
                    北京
                    购买地点
                
            
            
    
    

    
        $(document).ready(function () {
            var koubeiid = 4807654;

        });

    


            
                最满意
                我最满意部分的话，首先这车是本田首款电动汽车，所有这个本田首款电动汽车是我首先最满意的，其次的话，自然就是电动汽车这个纯电能源，因为是用纯电的，对比以往的汽油车使用成本费用，真的我现在的这辆纯电极湃1在使用成本费用上，真的是节省不少，这是我其次满意的，还有另外就是这车外观我也喜欢，我觉得看着挺有科技感的，挺前卫的样子，外观上我最喜欢的点睛之笔就是前脸车标，能点亮的车标，我觉得真的挺好看的。
            
            
                最不满意
                极湃1这车要让我说什么真的最让我不满意的话，我暂时还真的是没有，但不过我也有那么一点不满意的地方，我就是觉得这车要是体量在大一点就更好了，虽然现在这车的空间我是能接受的，但我觉得这车要是能在大一点的话，那我肯定是觉得更好了。
            

            

    空间
        
            
            
        
        4
    
    
    这车空间的话，我觉得现有的空间对我来说是够用的，车内前后排都还是比较松快的，还有储物空间也够用，总的来说是能满足我现有需求的，但不过这车要说能在大的话，那我认为肯定是更好了。
    
    
    
    
    


    
    
    
    


    






                

    驾驶感受
        
            
            
        
        5
    
    
    极湃1实际驾驶感受的话，简单直白的说，那就是挺好开的，细说的话，这车我觉得好开的点，首先是动力上的表现挺不错的，其次的话，这车控制上也比较轻松，方向盘挺轻的，转向时候感觉也挺精准的，然后这车隔音方面也比较优秀，车内噪音控制的也挺不错的。所以整个的驾驶感受的话，我觉得挺不错了。
    
    
    
    
    


    
    
    
    


    
    
    
    


    






            

            




            

    续航
        
            
            
        
        5
    
    
    在这个续航能力上，我感觉实际用着没有什么问题，我这车是以日常代步为目的使用的，极湃1的实际续航能力，是可以满足我现有的使用需求的，对此我表示满意。
    
    





            
            

    外观
        
            
            
        
        5
    
    
    外观上面，我对极湃1外观感觉的话，我觉得这车看着挺有科技感的，比较前卫的车，毕竟是本田首款电动汽车，感觉真的外观看上去科技感非常足，这里就提一个我觉得看着很科技感的地方，那就是车头的标志，我这车的车头标志本田大LOGO是可以点亮的，晚上点亮的时候，看着贼有科技感。
    
    
    
    
    


    
    
    
    


    





            

    内饰
        
            
            
        
        5
    
    
    内饰部分的话，我觉得可以，最起码内饰设计的是我喜欢的风格，简约中看的出来大气，我觉得挺好的，内饰我最喜欢的是中控的超大屏幕，看着就显霸气，用着的话，也是相当好用的。
    
    





            

    性价比
        
            
            
        
        5
    
    
    性价比是觉得可以的，这车买的时候交定金就给了优惠，并且我觉得这车实际用着的使用开销也不错。
    
    





            
                

    智能化
        
            
            
        
        5
    
    
    智能化我觉得满足的，这车智能方面我觉得还是够好的，我对这车的疲劳监测功能印象还是挺深刻的，感觉挺智能化的。
    
    
    
    
    


    




            

            



        "
苏州车友3317766,2023-01-17 首次发表,"
            
                
                    3000km
                    
                    行驶里程
                
                
                
                
                
                
                
                    19.0kWh
                    冬季电耗
                
                
                
                
                
                
                     350公里
                     冬季续航
                
                

                
                
                    21.80万
                    裸车购买价
                
                
                    2022-11
                    购买时间
                
                
                    苏州
                    购买地点
                
            
            
    
    

    
        $(document).ready(function () {
            var koubeiid = 4785296;

        });

    


            
                最满意
                我对这辆极湃1还是很满意的，如果非要说最满意的话，还真有点难以取舍。那我我就说说，这车有什么地方让我大吃一惊！首先，我对这辆车的外观很喜欢。从设计上来看，确实有点像纯电动汽车，但又别有一番独特的设计风格，感觉看着挺有前卫科技感的，我特别喜欢车头的标志，能够点亮的大本田标志，真的看着挺酷的，另外，这辆车在这个动力方面的话，也让我大吃一惊，以前我开的是纯汽油车，反正动力上挺肉的，并且加速时候老有顿挫感，但作为电动汽车的极湃1，让我有了不一样的感觉，动力真的挺强的，加速时候真的挺快的，而且加速时候那种平顺感真的也是感觉非常不错的，总之我是挺满意的。
            
            
                最不满意
                我稍微有点介意不太满意的是实际续航的表现，不过确实现在也是冬天，受到一些环境因素的影响，电池的电感觉用的比较快，实际的续航稍微能力有点下降，就没有给说到的标准续航能力那么高，实际续航大致要打个7折，也就开个350公里左右的话，就要必须充电了，要不充的话，就有抛锚的风险了。所以续航没有那么高，是我唯一有点不满意的地方。
            

            

    空间
        
            
            
        
        5
    
    
    空间我觉得算是够用的，这车空间设计的还是挺合理的，空间没有很大，但是到并没有感觉这车空间小，反正是感觉还挺松快的。
    
    
    
    
    


    
    
    
    


    






                

    驾驶感受
        
            
            
        
        5
    
    
    要说我的极湃1驾驶感受，那我第一个必须要说的是动力真好，这车动力我觉得是真的足，需要提速的时候，这真的是随叫随到，提速真是挺快的，而且还有关键感受不错的，就是提速的时候，感觉非常的平顺，一点顿挫没有，这感觉还是挺好的，驾驶感受的话，总的来说这车很好开。
    
    
    
    
    


    






            

            




            

    续航
        
            
            
        
        4
    
    
    续航这一块的表现，要说还是能接受，因为平时使用的话，还是够用的，但唯一就是实际续航比给说到的标准续航有所以下降，这是我稍微有点不满意的。
    
    





            
            

    外观
        
            
            
        
        5
    
    
    这辆车的外观很特别，虽然看起来像是一辆纯电动车，但是却有一种独特的气质。反正我是当初看到极湃1这车以后，我是一眼就记住了。所以一辆车的外观我是觉得非常重要的，我这极湃1我是认为在外观方面还是挺出众的，要说对外观方面，我最喜欢什么，那么我觉得前脸的车标我特别的喜欢，因为车标是能够点亮的，晚上开的话，看到亮亮的大标志，真的感觉很不错。
    
    
    
    
    


    
    
    
    


    





            

    内饰
        
            
            
        
        5
    
    
    我觉得极湃1内饰最好的那就是中控的超大屏幕，真的看着就气派，不过内饰其他方面，无论是做工还是用料上也都不错。
    
    





            

    性价比
        
            
            
        
        5
    
    
    这车性价比我实际使用了以后，我是觉得性价比还是挺高的了，纯电使用成本低，维护也少，车的价格买时候也不高。
    
    





            
                

    智能化
        
            
            
        
        5
    
    
    智能方面我觉得语音功能还有疲劳监测是让我觉得最智能的功能。
    
    
    
    
    


    




            

            



        "
zxq8966,2023-09-08 首次发表,"
            
                
                    5690km
                    
                    行驶里程
                
                
                
                
                
                    18.0kWh
                    春秋电耗
                
                
                
                
                
                
                    420公里
                    春秋续航
                
                
                
                

                
                
                    21.80万
                    裸车购买价
                
                
                    2023-04
                    购买时间
                
                
                    呼和浩特
                    购买地点
                
            
            
    
        
            
        
        
            
        
        
            
        
        
            
        
        
            
        
    
    

    
        $(document).ready(function () {
            var koubeiid = 5140119;

        });

    


            
                最满意
                最满意的话，首先我是觉得这车的价格真的挺合适的，因为这车是合资车，我当时看的不少合资车，差不多同级别的电动汽车，都要比这车价格贵，所以我首先最满意的是极湃1的价格，差不多全下来二十万的价格，我觉得真的还是挺合适的，其次的话，就是这车品质以及配置，这车是本田的首款新能源电动汽车，它的品质以及配置我全看下来以后，真的是觉得是当时我看的车里面性价最高的，毕竟别的都没有我这极湃1的价格合适，最后的话，就是实际使用上真是觉得这车挺好用的，开着挺轻松，并且还挺节省使用上的费用的。
            
            
                最不满意
                我不满意的就是这车的整个大小，其实现有的大小还是够用的，但要是这车能造成更大尺寸的SUV的话，那样我觉得就更完美的了。
            

            

    空间
        
            
            
        
        4
    
    
    空间其实吧，要是按照这个尺寸的话，我是也真的没有觉得这车空间有什么不好，反正平时用着是真的够用了，但要说追求完美的话，我觉得极湃1这车要是能设计的尺寸更大一些的话，那才更加的完美。
    
    






                

    驾驶感受
        
            
            
        
        5
    
    
    实际用的话，我感觉极湃1真的算是开着不错的车了，反正真的轻松的，并且这车比别的电动汽车驾驶感受更好的地方，就是动能回收的时候，感觉车的减速没有很明显，无论是加速还是减速，都挺平顺的，这是我觉得最好的地方。
    
    






            

            




            

    续航
        
            
            
        
        5
    
    
    实际用的话，我感觉极湃1真的算是开着不错的车了，反正真的轻松的，并且这车比别的电动汽车驾驶感受更好的地方，就是动能回收的时候，感觉车的减速没有很明显，无论是加速还是减速，都挺平顺的，这是我觉得最好的地方。
    
    





            
            

    外观
        
            
            
        
        5
    
    
    外观上的话，我挺喜欢极湃1外观的设计，我觉得有科技感，这外观就是萝卜白菜各有所爱，我的车，我自己喜欢就好了。
    
    





            

    内饰
        
            
            
        
        5
    
    
    我觉得内饰除了简约以外，这车的内饰布局我觉得设计的也不错，就用着的话，感觉还是非常方便的。
    
    





            

    性价比
        
            
            
        
        5
    
    
    我觉得性价比的话，极湃1很高了，合资的新能源汽车中，它的价格挺合适的了。
    
    





            
                

    智能化
        
            
            
        
        5
    
    
    智能上面，我感觉这车智能化功能是挺丰富的，像疲劳监测功能，就很智能的了啊。
    
    




            

            



        "
外面下雨了,2023-09-08 首次发表,"
            
                
                    5600km
                    
                    行驶里程
                
                
                
                
                
                    15.0kWh
                    春秋电耗
                
                
                
                
                
                
                    420公里
                    春秋续航
                
                
                
                

                
                
                    21.80万
                    裸车购买价
                
                
                    2023-04
                    购买时间
                
                
                    北京
                    购买地点
                
            
            
    
        
            
        
    
    

    
        $(document).ready(function () {
            var koubeiid = 5140102;

        });

    


            
                最满意
                这极湃1什么让我很满意，我觉得这车首先看着样子我觉得很满意，我觉得在颜值的设计上，这车设计的挺新颖的，视觉效果上我觉得看着科技感挺足的，车头标志的点亮效果，我觉得设计的非常有水平，看着就很大气。
            
            
                最不满意
                我其实觉得这极湃1的话，如果这车整个设计的更大一点的话，那更完美，虽说现在这车大小也能满足我使用需求，日常出行还是够用的了，不过肯定是空间越大越好，所以这车要是整车尺寸能设计的更大，变成中型SUV的话，那我感觉这车会更棒的。
            

            

    空间
        
            
            
        
        4
    
    
    极湃1这车空间上我觉得使用的话，还是能接受的，这车空间还是可以满足我日常使用的，但不过要说不满意的话，我当然还是希望这车能设计更大一点，要是设计成中型SUV的话，我觉得极湃1这车就更棒了。
    
    
    
    
    


    
    
    
    


    






                

    驾驶感受
        
            
            
        
        5
    
    
    总的来说，我觉得这车开着挺自在的，没有任何不好开的情况，这车给我最好的驾驶感受，就是加速的时候，感觉这车真的是提速挺平顺的，没有任何不适的感觉，车速就提上来了，
    
    






            

            




            

    续航
        
            
            
        
        5
    
    
    我对于续航表现也是觉得可以的，这车续航反正我正常上下班通勤够用了，主要是我回家就充电，所以从来还真的没有什么续航上的担忧，因为从来没出现过快没电的情况。
    
    





            
            

    外观
        
            
            
        
        5
    
    
    我选的极湃1在外观上面，我觉得这车设计挺新颖的，并且看着真的是觉得科技感挺十足的。
    
    
    
    
    


    
    
    
    


    





            

    内饰
        
            
            
        
        5
    
    
    内饰不是那种特别靓丽的颜色，我是我喜欢的风格，简约时尚有品质。
    
    
    
    
    


    





            

    性价比
        
            
            
        
        5
    
    
    极湃1性价比还是偏实惠的，这车不是那种老贵的合资车，价格上我觉得挺亲民的，配置上也不错。
    
    





            
                

    智能化
        
            
            
        
        5
    
    
    智能化的应用也挺好的，像疲劳监测功能，是这车我用着觉得最智能的。
    
    




            

            



        "
路见不平八一杠,2023-08-13 首次发表,"
            
                
                    5223km
                    
                    行驶里程
                
                
                
                
                
                
                    13.1kWh
                    夏季电耗
                
                
                
                
                
                
                    430公里
                    夏季续航
                
                
                

                
                
                    13.40万
                    裸车购买价
                
                
                    2023-07
                    购买时间
                
                
                    济南
                    购买地点
                
            
            
    
    

    
        $(document).ready(function () {
            var koubeiid = 5098978;

        });

    


            
                最满意
                满意中规中矩。空调非常给力，动力提速很猛，感觉比1.5T猛动力还平顺。谈不上太好也不算坏，就这样吧，家用足够用了，续航都是实表的，充电也挺快，首保就是检查一下啥也不用换😂跑了几趟高速小长途也很满意，等有空开回老家试试😁
            
            
                最不满意
                车漆还是一如既往地薄，比杜蕾斯还薄，还有就是车门下裙边居然能看见电池组，当初看车的时候没注意，离地间隙太低了，总怕刮到电池，这个设计的太不用心了。中控大屏功能性太少，音响太差了，还不能改怕影响三包。
            

            

    空间
        
            
            
        
        5
    
    
    后备箱稍微小点，座椅坐着哈还行
    
    
        后备厢容积
        日常出行够用
        
        
    






                

    驾驶感受
        
            
            
        
        5
    
    
    加速猛还平稳，也没有发动机噪音了
    
    
        开空调/满载加速
        满载开空调一点也感觉不出来，不像小排量燃油车有明显的动力衰减
        
        
    
        起步/加速动力
        三种模式特别是运动模式的嘎嘎推背😁
        
        
    






            

            




            

    续航
        
            
            
        
        5
    
    
    续航够用，满电不开空调能430多，开空调380左右，秋冬还不知道
    
    
        表显续航准确性
        实表续航很准确
        
        
    
        公共充电桩
        晚上在自己家充电桩用慢充充电，出门玩找充电站用快充就行
        
        
    





            
            

    外观
        
            
            
        
        5
    
    
    外观挺好看就是电动版缤智
    
    
    
    
    


    
    
    
    


    
    
    
    


    
        车身做工
        车漆就是太薄像杜蕾斯一样薄
        
        
    
    
    
    


    
    
    
    


    
    
    
    


    





            

    内饰
        
            
            
        
        5
    
    
    氛围灯最满意，其它中规中矩吧，就那样吧不可能给你软包
    
    
    
    
    


    
    
    
    


    
    
    
    


    





            

    性价比
        
            
            
        
        5
    
    
    不算贵也不算便宜，能买完全是舍弃不了情怀
    
    





            
                

    智能化
        
            
            
        
        5
    
    
    用着还行吧很少用嫌麻烦
    
    
        App远程控制
        这个功能很好用，充电、断电、开锁车门，开空调啥的
        
        
    




            

            



        "
莆田车友3639407,2023-06-14 首次发表,"
            
                
                    960km
                    
                    行驶里程
                
                
                
                
                
                
                    15.0kWh
                    夏季电耗
                
                
                
                
                
                
                    350公里
                    夏季续航
                
                
                

                
                    300公里
                    冬季续航
                
                
                    14.00万
                    裸车购买价
                
                
                    2023-06
                    购买时间
                
                
                    莆田
                    购买地点
                
            
            
    
    

    
        $(document).ready(function () {
            var koubeiid = 5008744;

        });

    


            
                最满意
                提速快，续航8.5折，希望电池耐用，隔音差，风躁大，配备音响音质不好，还不如旧车。就是电机提速好，其他的日后在来评论。但是觉得本田还是不错的，价格降了，材质用的差了，我提车15万
            
            
                最不满意
                风躁大，音质差，续航一般，希望电池还能再提升到800公里里程。
            

            

    空间
        
            
            
        
        4
    
    
    实用，有同款的可以入群哦
    
    
    
    
    


    
        ☆ 空间设计亮点
        空间设计不错，充足，家用也可以，前排还可以放倒休息
        
        
    
    
    
    


    






                

    驾驶感受
        
            
            
        
        4
    
    
    运动模式起步有点冲，非常好用
    
    
    
    
    


    
        起步/加速动力
        起步动机快，分节能运动动力很好
        
        
    
    
    
    


    






            

            




            

    续航
        
            
            
        
        3
    
    
    续航打9折，不知道怎么算的，我没开到400公里900公里充了4次电
    
    





            
            

    外观
        
            
            
        
        4
    
    
    喜欢白色适合个人爱好，本田外观材质做的也好，希望这车耐开
    
    





            

    内饰
        
            
            
        
        4
    
    
    满意，做工大众化，皮质比较普通，希望耐脏
    
    
    
    
    


    





            

    性价比
        
            
            
        
        3
    
    
    价格偏高，但是能用个6年值了，提车15万，开车6天车轮开出个洞了有点坑，这技术牛了，
    
    
    
    
    


    





            
                

    智能化
        
            
            
        
        3
    
    
    方便便捷，实时看车状态，中控屏不太实用，太大用处少
    
    




            

            



        "
疯一样的小保哥,2023-06-08 首次发表,"
            
                
                    7060km
                    
                    行驶里程
                
                
                
                
                
                
                    15.0kWh
                    夏季电耗
                
                
                
                
                
                
                    415公里
                    夏季续航
                
                
                

                
                
                    21.80万
                    裸车购买价
                
                
                    2022-11
                    购买时间
                
                
                    北京
                    购买地点
                
            
            
    
        
            
        
        
            
        
        
            
        
        
            
        
    
    

    
        $(document).ready(function () {
            var koubeiid = 4999135;

        });

    


            
                最满意
                对于极湃1，我最喜欢的就是车子的外观了。无论是车头、车尾、车身腰线，我感觉都是黄金比例，凑在一起看着很舒服。
            
            
                最不满意
                新车开回来，车内有一股子比较难以接受的味道，但是经过半个月的开窗换气，这股子味道神奇消散了！
            

            

    空间
        
            
            
        
        5
    
    
    内部空间其实挺大的，我虽然身材比较胖，个头比较高，差不多是180，但是坐在主驾和后排，都感觉蛮宽敞的。车内的储物格也安排的挺多的，尤其门板储物格的开口，超乎寻常的大。
    
    
    
    
    


    






                

    驾驶感受
        
            
            
        
        5
    
    
    小车就是开着轻松！转向清晰、加速畅快，虽然是纯电车，但是速度起来坐着不会感觉很晕，确实比我坐过的一些纯电车要更舒服。
    
    
    
    
    


    






            

            




            

    续航
        
            
            
        
        5
    
    
    没有在意过续航，因为自家小区就有充电桩，所以想充电的时候，开回去充电即可。
    
    





            
            

    外观
        
            
            
        
        5
    
    
    极湃1这辆车的颜值确实很不赖，尤其我选的氧气蓝的车身色，确实开在路上回头率挺高的呢。上次开去机场接朋友，他是第一次看到我这辆车，都觉得很心动。
    
    





            

    内饰
        
            
            
        
        5
    
    
    车内饰主打就是简约时尚，是我喜欢的风格。双拼的缝线看起来干净利落，车内的氛围灯布置的位置，也是恰到好处。
    
    





            

    性价比
        
            
            
        
        5
    
    
    购车的时候给了不小的优惠，纯电车也不用交购置税，确实性价比很不错。
    
    





            
                

    智能化
        
            
            
        
        5
    
    
    我最喜欢的莫过于极湃1车内的很多智能化配置，尤其中控大屏用着很不赖，那个AR实景导航挺好用的，现在开车我都自信了很多。
    
    




            

            



        "
ak7ngq6,2023-06-07 首次发表,"
            
                
                    7480km
                    
                    行驶里程
                
                
                
                
                
                
                    14.8kWh
                    夏季电耗
                
                
                
                
                
                
                    435公里
                    夏季续航
                
                
                

                
                
                    21.80万
                    裸车购买价
                
                
                    2022-12
                    购买时间
                
                
                    南阳
                    购买地点
                
            
            
    
        
            
        
        
            
        
        
            
        
    
    

    
        $(document).ready(function () {
            var koubeiid = 4997599;

        });

    


            
                最满意
                续航能力还挺强的，内饰也没有异味，我还挺满意的。
            
            
                最不满意
                后半程的动力不太足，也不算什么大问题，家用也是足够的。
            

            

    空间
        
            
            
        
        5
    
    
    虽然车子的尺寸不是很大，但车内的空间还挺大的。身高180坐在车内，也不会觉得压抑难受。
    
    






                

    驾驶感受
        
            
            
        
        4
    
    
    整个加速算得上快，但不猛。市区内通勤开开还是不错的，但高速后半段会显得有些力不从心。
    
    






            

            




            

    续航
        
            
            
        
        5
    
    
    续航表现还是不错的，冬天续航的折损也不怎么高，更别说现在天气已经转暖了！反正日常通勤，一周也就充一次电。
    
    





            
            

    外观
        
            
            
        
        5
    
    
    车子的颜值还是很高的，看起来小巧可爱，没有SUV那种笨重的感觉。
    
    
    
    
    


    





            

    内饰
        
            
            
        
        5
    
    
    车内整体的设计风格都不错，舒适度高，车内也没有任何异味。
    
    





            

    性价比
        
            
            
        
        5
    
    
    本田是一个信得过的品牌，这车用来代步还挺合适的。整体看，我觉得极湃1的性价比还挺高的。
    
    





            
                

    智能化
        
            
            
        
        5
    
    
    配置挺丰富的，智能化方面的表现也不错。其实我也不是很追求智能科技啦，毕竟车买来就是代步的，我开车也不太习惯用那些辅助驾驶系统，还是自己开心里更踏实。
    
    




            

            



        "
w1004489946,2023-05-12 首次发表,"
            
                
                    4516km
                    
                    行驶里程
                
                
                
                
                
                
                
                    19.5kWh
                    冬季电耗
                
                
                
                
                
                
                     430公里
                     冬季续航
                
                

                
                
                    21.80万
                    裸车购买价
                
                
                    2023-01
                    购买时间
                
                
                    济南
                    购买地点
                
            
            
    
    

    
        $(document).ready(function () {
            var koubeiid = 4955553;

        });

    


            
                最满意
                这车我最满意的就是开着不晕车，舒适度一下提升了不少呢，感觉比绝大多数的纯电车都也要好呢。
            
            
                最不满意
                车内稍微会有些味道，也不知道什么时候能彻底散去。
            

            

    空间
        
            
            
        
        5
    
    
    极湃的空间我认为还是可以的，我们家是三口人，乘坐空间是完全没问题的。
    
    
    
    
    


    






                

    驾驶感受
        
            
            
        
        5
    
    
    这车的驾驶感受是真的不错，车子开着都不会晕车，家人朋友都说舒适度很高。
    
    
    
    
    


    






            

            




            

    续航
        
            
            
        
        5
    
    
    续航的话，我这车是顶配，官方续航510公里，能跑430公里就挺不错的了。
    
    





            
            

    外观
        
            
            
        
        5
    
    
    极湃1的外观设计好看，颜色也好看，我太喜欢这款车了。
    
    
    
    
    


    
    
    
    


    





            

    内饰
        
            
            
        
        4
    
    
    车内的设计还是不错的，这样的中控屏我还是头一次见，整体来说内饰不错。只是，车内会有些味道，不是很好呀。
    
    
    
    
    


    





            

    性价比
        
            
            
        
        5
    
    
    性价比还可以啦，主要我挺喜欢这车的，目前表现也都挺好。
    
    





            
                

    智能化
        
            
            
        
        5
    
    
    对于智能这块儿，我的要求并不是特别高，我觉得汽车还是要开着舒服就成。
    
    




            

            



        "
